"Production Type","2022 [MW]"
"Biomass","647"
"Fossil Brown coal/Lignite","7560"
"Fossil Coal-derived gas","284"
"Fossil Gas","3807"
"Fossil Hard coal","19073"
"Fossil Oil","393"
"Fossil Oil shale","n/e"
"Fossil Peat","n/e"
"Geothermal","n/e"
"Hydro Pumped Storage","1591"
"Hydro Run-of-river and poundage","321"
"Hydro Water Reservoir","464"
"Marine","n/e"
"Nuclear","n/e"
"Other","1524"
"Other renewable","n/e"
"Solar","6664"
"Waste","n/e"
"Wind Offshore","n/e"
"Wind Onshore","7950"
"Total Grand capacity","50278"
