"Production Type","2022 [MW]"
"Biomass","410"
"Fossil Brown coal/Lignite","7250"
"Fossil Coal-derived gas","380"
"Fossil Gas","1240"
"Fossil Hard coal","1200"
"Fossil Oil","0"
"Fossil Oil shale","n/e"
"Fossil Peat","n/e"
"Geothermal","n/e"
"Hydro Pumped Storage","1172"
"Hydro Run-of-river and poundage","356"
"Hydro Water Reservoir","753"
"Marine","n/e"
"Nuclear","4040"
"Other","0"
"Other renewable","410"
"Solar","2053"
"Waste","100"
"Wind Offshore","n/e"
"Wind Onshore","339"
"Total Grand capacity","19703"
