"Production Type","2022 [MW]"
"Biomass","130"
"Fossil Brown coal/Lignite","N/A"
"Fossil Coal-derived gas","25"
"Fossil Gas","94"
"Fossil Hard coal","N/A"
"Fossil Oil","52"
"Fossil Oil shale","1371"
"Fossil Peat","N/A"
"Geothermal","N/A"
"Hydro Pumped Storage","N/A"
"Hydro Run-of-river and poundage","4"
"Hydro Water Reservoir","N/A"
"Marine","N/A"
"Nuclear","N/A"
"Other","13"
"Other renewable","N/A"
"Solar","370"
"Waste","17"
"Wind Offshore","N/A"
"Wind Onshore","326"
"Total Grand capacity","2402"
