"Production Type","2022 [MW]"
"Biomass","213"
"Fossil Brown coal/Lignite","1007"
"Fossil Coal-derived gas","n/e"
"Fossil Gas","3974"
"Fossil Hard coal","42"
"Fossil Oil","425"
"Fossil Oil shale","n/e"
"Fossil Peat","n/e"
"Geothermal","3"
"Hydro Pumped Storage","n/e"
"Hydro Run-of-river and poundage","33"
"Hydro Water Reservoir","28"
"Marine","n/e"
"Nuclear","1916"
"Other","N/A"
"Other renewable","70"
"Solar","2524"
"Waste","49"
"Wind Offshore","n/e"
"Wind Onshore","323"
"Total Grand capacity","10607"
