"Production Type","2022 [MW]"
"Biomass","700"
"Fossil Brown coal/Lignite","n/e"
"Fossil Coal-derived gas","n/e"
"Fossil Gas","6819"
"Fossil Hard coal","n/e"
"Fossil Oil","398"
"Fossil Oil shale","n/e"
"Fossil Peat","n/e"
"Geothermal","n/e"
"Hydro Pumped Storage","1308"
"Hydro Run-of-river and poundage","185"
"Hydro Water Reservoir","n/e"
"Marine","n/e"
"Nuclear","5943"
"Other","19"
"Other renewable","n/e"
"Solar","4788"
"Waste","384"
"Wind Offshore","2254"
"Wind Onshore","2787"
"Total Grand capacity","25585"
