"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Croatia (HR)","Generation - Solar  [MW] Intraday / Croatia (HR)","Generation - Solar  [MW] Current / Croatia (HR)","Generation - Wind Offshore  [MW] Day Ahead/ Croatia (HR)","Generation - Wind Offshore  [MW] Intraday / Croatia (HR)","Generation - Wind Offshore  [MW] Current / Croatia (HR)","Generation - Wind Onshore  [MW] Day Ahead/ Croatia (HR)","Generation - Wind Onshore  [MW] Intraday / Croatia (HR)","Generation - Wind Onshore  [MW] Current / Croatia (HR)"
"03.03.2022 16:00 - 03.03.2022 17:00","10","10","10","n/e","n/e","n/e","68","68","83"
"03.03.2022 17:00 - 03.03.2022 18:00","1","1","1","n/e","n/e","n/e","53","53","73"
"03.03.2022 18:00 - 03.03.2022 19:00","0","0","0","n/e","n/e","n/e","38","37","63"
"03.03.2022 19:00 - 03.03.2022 20:00","0","0","0","n/e","n/e","n/e","24","24","54"
"03.03.2022 20:00 - 03.03.2022 21:00","0","0","0","n/e","n/e","n/e","13","13","38"
"03.03.2022 21:00 - 03.03.2022 22:00","0","0","0","n/e","n/e","n/e","15","15","28"
"03.03.2022 22:00 - 03.03.2022 23:00","0","0","0","n/e","n/e","n/e","24","24","28"
"03.03.2022 23:00 - 04.03.2022 00:00","0","0","0","n/e","n/e","n/e","36","37","27"
"04.03.2022 00:00 - 04.03.2022 01:00","0","0","0","n/e","n/e","n/e","43","33","33"
"04.03.2022 01:00 - 04.03.2022 02:00","0","0","0","n/e","n/e","n/e","58","48","48"
"04.03.2022 02:00 - 04.03.2022 03:00","0","0","0","n/e","n/e","n/e","82","71","71"
"04.03.2022 03:00 - 04.03.2022 04:00","0","0","0","n/e","n/e","n/e","111","121","121"
"04.03.2022 04:00 - 04.03.2022 05:00","0","0","0","n/e","n/e","n/e","160","173","173"
"04.03.2022 05:00 - 04.03.2022 06:00","0","0","0","n/e","n/e","n/e","212","222","222"
"04.03.2022 06:00 - 04.03.2022 07:00","1","1","1","n/e","n/e","n/e","268","273","273"
"04.03.2022 07:00 - 04.03.2022 08:00","8","8","8","n/e","n/e","n/e","314","307","307"
"04.03.2022 08:00 - 04.03.2022 09:00","19","19","19","n/e","n/e","n/e","330","323","323"
"04.03.2022 09:00 - 04.03.2022 10:00","31","31","31","n/e","n/e","n/e","329","324","324"
"04.03.2022 10:00 - 04.03.2022 11:00","39","39","39","n/e","n/e","n/e","331","328","353"
"04.03.2022 11:00 - 04.03.2022 12:00","42","42","42","n/e","n/e","n/e","314","313","351"
"04.03.2022 12:00 - 04.03.2022 13:00","39","39","39","n/e","n/e","n/e","288","289","298"
"04.03.2022 13:00 - 04.03.2022 14:00","31","31","31","n/e","n/e","n/e","283","283","285"
"04.03.2022 14:00 - 04.03.2022 15:00","24","24","24","n/e","n/e","n/e","295","292","280"
"04.03.2022 15:00 - 04.03.2022 16:00","15","15","15","n/e","n/e","n/e","331","327","318"
"04.03.2022 16:00 - 04.03.2022 17:00","6","6","6","n/e","n/e","n/e","380","377","348"
"04.03.2022 17:00 - 04.03.2022 18:00","1","1","1","n/e","n/e","n/e","447","445","420"
"04.03.2022 18:00 - 04.03.2022 19:00","0","0","0","n/e","n/e","n/e","531","527","514"
"04.03.2022 19:00 - 04.03.2022 20:00","0","0","0","n/e","n/e","n/e","591","588","598"
"04.03.2022 20:00 - 04.03.2022 21:00","0","0","0","n/e","n/e","n/e","627","625","656"
"04.03.2022 21:00 - 04.03.2022 22:00","0","0","0","n/e","n/e","n/e","649","648","663"
"04.03.2022 22:00 - 04.03.2022 23:00","0","0","0","n/e","n/e","n/e","659","656","670"
"04.03.2022 23:00 - 05.03.2022 00:00","0","0","0","n/e","n/e","n/e","658","655","666"
"05.03.2022 00:00 - 05.03.2022 01:00","0","0","0","n/e","n/e","n/e","647","658","658"
"05.03.2022 01:00 - 05.03.2022 02:00","0","0","0","n/e","n/e","n/e","647","654","654"
"05.03.2022 02:00 - 05.03.2022 03:00","0","0","0","n/e","n/e","n/e","644","648","648"
"05.03.2022 03:00 - 05.03.2022 04:00","0","0","0","n/e","n/e","n/e","644","647","647"
"05.03.2022 04:00 - 05.03.2022 05:00","0","0","0","n/e","n/e","n/e","652","664","664"
"05.03.2022 05:00 - 05.03.2022 06:00","0","0","0","n/e","n/e","n/e","664","676","676"
"05.03.2022 06:00 - 05.03.2022 07:00","0","0","0","n/e","n/e","n/e","670","676","676"
"05.03.2022 07:00 - 05.03.2022 08:00","5","5","5","n/e","n/e","n/e","674","683","683"
"05.03.2022 08:00 - 05.03.2022 09:00","15","15","15","n/e","n/e","n/e","676","681","681"
"05.03.2022 09:00 - 05.03.2022 10:00","25","25","25","n/e","n/e","n/e","678","714","714"
"05.03.2022 10:00 - 05.03.2022 11:00","31","31","31","n/e","n/e","n/e","673","679","699"
"05.03.2022 11:00 - 05.03.2022 12:00","32","32","32","n/e","n/e","n/e","668","670","687"
"05.03.2022 12:00 - 05.03.2022 13:00","29","29","29","n/e","n/e","n/e","660","663","681"
"05.03.2022 13:00 - 05.03.2022 14:00","25","25","25","n/e","n/e","n/e","670","673","676"
"05.03.2022 14:00 - 05.03.2022 15:00","19","19","19","n/e","n/e","n/e","688","689","707"
"05.03.2022 15:00 - 05.03.2022 16:00","10","10","10","n/e","n/e","n/e","710","711","745"
"05.03.2022 16:00 - 05.03.2022 17:00","4","4","4","n/e","n/e","n/e","725","725","770"
"05.03.2022 17:00 - 05.03.2022 18:00","1","1","1","n/e","n/e","n/e","736","735","769"
"05.03.2022 18:00 - 05.03.2022 19:00","0","0","0","n/e","n/e","n/e","747","745","774"
"05.03.2022 19:00 - 05.03.2022 20:00","0","0","0","n/e","n/e","n/e","750","749","770"
"05.03.2022 20:00 - 05.03.2022 21:00","0","0","0","n/e","n/e","n/e","753","752","766"
"05.03.2022 21:00 - 05.03.2022 22:00","0","0","0","n/e","n/e","n/e","747","747","764"
"05.03.2022 22:00 - 05.03.2022 23:00","0","0","0","n/e","n/e","n/e","742","740","745"
"05.03.2022 23:00 - 06.03.2022 00:00","0","0","0","n/e","n/e","n/e","731","731","742"
"06.03.2022 00:00 - 06.03.2022 01:00","0","0","0","n/e","n/e","n/e","728","738","738"
"06.03.2022 01:00 - 06.03.2022 02:00","0","0","0","n/e","n/e","n/e","727","736","736"
"06.03.2022 02:00 - 06.03.2022 03:00","0","0","0","n/e","n/e","n/e","724","734","734"
"06.03.2022 03:00 - 06.03.2022 04:00","0","0","0","n/e","n/e","n/e","722","732","732"
"06.03.2022 04:00 - 06.03.2022 05:00","0","0","0","n/e","n/e","n/e","724","733","733"
"06.03.2022 05:00 - 06.03.2022 06:00","0","0","0","n/e","n/e","n/e","717","728","728"
"06.03.2022 06:00 - 06.03.2022 07:00","0","0","0","n/e","n/e","n/e","711","723","723"
"06.03.2022 07:00 - 06.03.2022 08:00","7","7","7","n/e","n/e","n/e","703","715","715"
"06.03.2022 08:00 - 06.03.2022 09:00","17","17","17","n/e","n/e","n/e","692","692","692"
"06.03.2022 09:00 - 06.03.2022 10:00","25","25","25","n/e","n/e","n/e","685","696","696"
"06.03.2022 10:00 - 06.03.2022 11:00","32","32","32","n/e","n/e","n/e","675","684","679"
"06.03.2022 11:00 - 06.03.2022 12:00","33","33","33","n/e","n/e","n/e","661","661","660"
"06.03.2022 12:00 - 06.03.2022 13:00","30","30","30","n/e","n/e","n/e","638","638","640"
"06.03.2022 13:00 - 06.03.2022 14:00","25","25","25","n/e","n/e","n/e","628","628","630"
"06.03.2022 14:00 - 06.03.2022 15:00","19","19","19","n/e","n/e","n/e","618","618","618"
"06.03.2022 15:00 - 06.03.2022 16:00","11","11","11","n/e","n/e","n/e","617","617","624"
"06.03.2022 16:00 - 06.03.2022 17:00","5","5","5","n/e","n/e","n/e","613","613","611"
"06.03.2022 17:00 - 06.03.2022 18:00","1","1","1","n/e","n/e","n/e","612","612","623"
"06.03.2022 18:00 - 06.03.2022 19:00","0","0","0","n/e","n/e","n/e","616","616","603"
"06.03.2022 19:00 - 06.03.2022 20:00","0","0","0","n/e","n/e","n/e","616","616","627"
"06.03.2022 20:00 - 06.03.2022 21:00","0","0","0","n/e","n/e","n/e","610","610","601"
"06.03.2022 21:00 - 06.03.2022 22:00","0","0","0","n/e","n/e","n/e","604","604","596"
"06.03.2022 22:00 - 06.03.2022 23:00","0","0","0","n/e","n/e","n/e","596","596","580"
"06.03.2022 23:00 - 07.03.2022 00:00","0","0","0","n/e","n/e","n/e","587","587","570"
"07.03.2022 00:00 - 07.03.2022 01:00","0","0","0","n/e","n/e","n/e","568","553","553"
"07.03.2022 01:00 - 07.03.2022 02:00","0","0","0","n/e","n/e","n/e","566","576","576"
"07.03.2022 02:00 - 07.03.2022 03:00","0","0","0","n/e","n/e","n/e","572","584","584"
"07.03.2022 03:00 - 07.03.2022 04:00","0","0","0","n/e","n/e","n/e","582","594","594"
"07.03.2022 04:00 - 07.03.2022 05:00","0","0","0","n/e","n/e","n/e","593","607","607"
"07.03.2022 05:00 - 07.03.2022 06:00","0","0","0","n/e","n/e","n/e","607","620","620"
"07.03.2022 06:00 - 07.03.2022 07:00","0","0","0","n/e","n/e","n/e","618","622","622"
"07.03.2022 07:00 - 07.03.2022 08:00","7","7","7","n/e","n/e","n/e","623","616","616"
"07.03.2022 08:00 - 07.03.2022 09:00","17","17","17","n/e","n/e","n/e","617","625","625"
"07.03.2022 09:00 - 07.03.2022 10:00","26","26","26","n/e","n/e","n/e","613","632","642"
"07.03.2022 10:00 - 07.03.2022 11:00","32","32","32","n/e","n/e","n/e","604","605","621"
"07.03.2022 11:00 - 07.03.2022 12:00","33","33","33","n/e","n/e","n/e","590","591","589"
"07.03.2022 12:00 - 07.03.2022 13:00","33","33","33","n/e","n/e","n/e","569","568","586"
"07.03.2022 13:00 - 07.03.2022 14:00","29","29","29","n/e","n/e","n/e","556","555","594"
"07.03.2022 14:00 - 07.03.2022 15:00","23","23","23","n/e","n/e","n/e","549","550","584"
"07.03.2022 15:00 - 07.03.2022 16:00","16","16","16","n/e","n/e","n/e","547","548","582"
"07.03.2022 16:00 - 07.03.2022 17:00","7","7","7","n/e","n/e","n/e","562","563","619"
"07.03.2022 17:00 - 07.03.2022 18:00","1","1","1","n/e","n/e","n/e","604","605","651"
"07.03.2022 18:00 - 07.03.2022 19:00","0","0","0","n/e","n/e","n/e","650","651","654"
"07.03.2022 19:00 - 07.03.2022 20:00","0","0","0","n/e","n/e","n/e","696","697","702"
"07.03.2022 20:00 - 07.03.2022 21:00","0","0","0","n/e","n/e","n/e","719","722","735"
"07.03.2022 21:00 - 07.03.2022 22:00","0","0","0","n/e","n/e","n/e","740","743","749"
"07.03.2022 22:00 - 07.03.2022 23:00","0","0","0","n/e","n/e","n/e","754","758","766"
"07.03.2022 23:00 - 08.03.2022 00:00","0","0","0","n/e","n/e","n/e","757","763","755"
"08.03.2022 00:00 - 08.03.2022 01:00","0","0","0","n/e","n/e","n/e","750","755","755"
"08.03.2022 01:00 - 08.03.2022 02:00","0","0","0","n/e","n/e","n/e","748","749","749"
"08.03.2022 02:00 - 08.03.2022 03:00","0","0","0","n/e","n/e","n/e","739","744","744"
"08.03.2022 03:00 - 08.03.2022 04:00","0","0","0","n/e","n/e","n/e","734","740","740"
"08.03.2022 04:00 - 08.03.2022 05:00","0","0","0","n/e","n/e","n/e","732","746","746"
"08.03.2022 05:00 - 08.03.2022 06:00","0","0","0","n/e","n/e","n/e","740","753","753"
"08.03.2022 06:00 - 08.03.2022 07:00","1","1","1","n/e","n/e","n/e","742","756","756"
"08.03.2022 07:00 - 08.03.2022 08:00","9","9","9","n/e","n/e","n/e","744","755","755"
"08.03.2022 08:00 - 08.03.2022 09:00","21","21","21","n/e","n/e","n/e","736","729","729"
"08.03.2022 09:00 - 08.03.2022 10:00","31","31","31","n/e","n/e","n/e","746","748","708"
"08.03.2022 10:00 - 08.03.2022 11:00","38","38","38","n/e","n/e","n/e","745","740","684"
"08.03.2022 11:00 - 08.03.2022 12:00","39","39","39","n/e","n/e","n/e","745","742","742"
"08.03.2022 12:00 - 08.03.2022 13:00","37","37","37","n/e","n/e","n/e","746","747","747"
"08.03.2022 13:00 - 08.03.2022 14:00","34","34","34","n/e","n/e","n/e","750","750","745"
"08.03.2022 14:00 - 08.03.2022 15:00","26","26","26","n/e","n/e","n/e","747","749","722"
"08.03.2022 15:00 - 08.03.2022 16:00","19","19","19","n/e","n/e","n/e","749","751","722"
"08.03.2022 16:00 - 08.03.2022 17:00","9","9","9","n/e","n/e","n/e","736","738","729"
"08.03.2022 17:00 - 08.03.2022 18:00","1","1","1","n/e","n/e","n/e","711","713","704"
"08.03.2022 18:00 - 08.03.2022 19:00","0","0","0","n/e","n/e","n/e","679","680","678"
"08.03.2022 19:00 - 08.03.2022 20:00","0","0","0","n/e","n/e","n/e","660","659","643"
"08.03.2022 20:00 - 08.03.2022 21:00","0","0","0","n/e","n/e","n/e","649","647","634"
"08.03.2022 21:00 - 08.03.2022 22:00","0","0","0","n/e","n/e","n/e","637","635","621"
"08.03.2022 22:00 - 08.03.2022 23:00","0","0","0","n/e","n/e","n/e","625","624","598"
"08.03.2022 23:00 - 09.03.2022 00:00","0","0","0","n/e","n/e","n/e","615","614","592"
"09.03.2022 00:00 - 09.03.2022 01:00","0","0","0","n/e","n/e","n/e","560","540","540"
"09.03.2022 01:00 - 09.03.2022 02:00","0","0","0","n/e","n/e","n/e","539","494","494"
"09.03.2022 02:00 - 09.03.2022 03:00","0","0","0","n/e","n/e","n/e","528","489","489"
"09.03.2022 03:00 - 09.03.2022 04:00","0","0","0","n/e","n/e","n/e","519","481","481"
"09.03.2022 04:00 - 09.03.2022 05:00","0","0","0","n/e","n/e","n/e","512","484","484"
"09.03.2022 05:00 - 09.03.2022 06:00","0","0","0","n/e","n/e","n/e","514","505","505"
"09.03.2022 06:00 - 09.03.2022 07:00","1","1","1","n/e","n/e","n/e","517","518","518"
"09.03.2022 07:00 - 09.03.2022 08:00","9","9","9","n/e","n/e","n/e","503","516","516"
"09.03.2022 08:00 - 09.03.2022 09:00","23","23","23","n/e","n/e","n/e","491","504","504"
"09.03.2022 09:00 - 09.03.2022 10:00","33","33","33","n/e","n/e","n/e","507","523","523"
"09.03.2022 10:00 - 09.03.2022 11:00","41","41","41","n/e","n/e","n/e","531","532","575"
"09.03.2022 11:00 - 09.03.2022 12:00","43","43","43","n/e","n/e","n/e","553","554","563"
"09.03.2022 12:00 - 09.03.2022 13:00","42","42","42","n/e","n/e","n/e","572","572","567"
"09.03.2022 13:00 - 09.03.2022 14:00","37","37","37","n/e","n/e","n/e","593","592","576"
"09.03.2022 14:00 - 09.03.2022 15:00","28","28","28","n/e","n/e","n/e","594","593","561"
"09.03.2022 15:00 - 09.03.2022 16:00","19","19","19","n/e","n/e","n/e","591","587","569"
"09.03.2022 16:00 - 09.03.2022 17:00","9","9","9","n/e","n/e","n/e","577","574","564"
"09.03.2022 17:00 - 09.03.2022 18:00","1","1","1","n/e","n/e","n/e","543","538","492"
"09.03.2022 18:00 - 09.03.2022 19:00","0","0","0","n/e","n/e","n/e","496","492","420"
"09.03.2022 19:00 - 09.03.2022 20:00","0","0","0","n/e","n/e","n/e","454","451","436"
"09.03.2022 20:00 - 09.03.2022 21:00","0","0","0","n/e","n/e","n/e","419","416","416"
"09.03.2022 21:00 - 09.03.2022 22:00","0","0","0","n/e","n/e","n/e","392","390","402"
"09.03.2022 22:00 - 09.03.2022 23:00","0","0","0","n/e","n/e","n/e","370","368","326"
"09.03.2022 23:00 - 10.03.2022 00:00","0","0","0","n/e","n/e","n/e","350","349","346"
"10.03.2022 00:00 - 10.03.2022 01:00","0","0","0","n/e","n/e","n/e","332","339","339"
"10.03.2022 01:00 - 10.03.2022 02:00","0","0","0","n/e","n/e","n/e","316","328","328"
"10.03.2022 02:00 - 10.03.2022 03:00","0","0","0","n/e","n/e","n/e","319","331","331"
"10.03.2022 03:00 - 10.03.2022 04:00","0","0","0","n/e","n/e","n/e","334","342","342"
"10.03.2022 04:00 - 10.03.2022 05:00","0","0","0","n/e","n/e","n/e","357","359","359"
"10.03.2022 05:00 - 10.03.2022 06:00","0","0","0","n/e","n/e","n/e","390","393","393"
"10.03.2022 06:00 - 10.03.2022 07:00","1","1","1","n/e","n/e","n/e","431","436","436"
"10.03.2022 07:00 - 10.03.2022 08:00","7","7","7","n/e","n/e","n/e","466","468","468"
"10.03.2022 08:00 - 10.03.2022 09:00","16","16","16","n/e","n/e","n/e","504","501","501"
"10.03.2022 09:00 - 10.03.2022 10:00","21","21","21","n/e","n/e","n/e","523","520","520"
"10.03.2022 10:00 - 10.03.2022 11:00","27","27","27","n/e","n/e","n/e","578","575","585"
"10.03.2022 11:00 - 10.03.2022 12:00","30","30","30","n/e","n/e","n/e","618","616","616"
"10.03.2022 12:00 - 10.03.2022 13:00","31","31","31","n/e","n/e","n/e","645","641","632"
"10.03.2022 13:00 - 10.03.2022 14:00","29","29","29","n/e","n/e","n/e","652","649","630"
"10.03.2022 14:00 - 10.03.2022 15:00","25","25","25","n/e","n/e","n/e","643","642","645"
"10.03.2022 15:00 - 10.03.2022 16:00","19","19","19","n/e","n/e","n/e","623","623","606"
"10.03.2022 16:00 - 10.03.2022 17:00","9","9","9","n/e","n/e","n/e","594","597","599"
"10.03.2022 17:00 - 10.03.2022 18:00","1","1","1","n/e","n/e","n/e","559","563","554"
"10.03.2022 18:00 - 10.03.2022 19:00","0","0","0","n/e","n/e","n/e","531","536","536"
"10.03.2022 19:00 - 10.03.2022 20:00","0","0","0","n/e","n/e","n/e","505","511","497"
"10.03.2022 20:00 - 10.03.2022 21:00","0","0","0","n/e","n/e","n/e","487","494","452"
"10.03.2022 21:00 - 10.03.2022 22:00","0","0","0","n/e","n/e","n/e","478","484","412"
"10.03.2022 22:00 - 10.03.2022 23:00","0","0","0","n/e","n/e","n/e","473","478","396"
"10.03.2022 23:00 - 11.03.2022 00:00","0","0","0","n/e","n/e","n/e","474","477","405"
"11.03.2022 00:00 - 11.03.2022 01:00","0","0","0","n/e","n/e","n/e","465","436","436"
"11.03.2022 01:00 - 11.03.2022 02:00","0","0","0","n/e","n/e","n/e","467","448","448"
"11.03.2022 02:00 - 11.03.2022 03:00","0","0","0","n/e","n/e","n/e","476","450","450"
"11.03.2022 03:00 - 11.03.2022 04:00","0","0","0","n/e","n/e","n/e","487","452","452"
"11.03.2022 04:00 - 11.03.2022 05:00","0","0","0","n/e","n/e","n/e","497","461","461"
"11.03.2022 05:00 - 11.03.2022 06:00","0","0","0","n/e","n/e","n/e","507","487","487"
"11.03.2022 06:00 - 11.03.2022 07:00","1","1","1","n/e","n/e","n/e","507","492","492"
"11.03.2022 07:00 - 11.03.2022 08:00","11","11","11","n/e","n/e","n/e","503","494","494"
"11.03.2022 08:00 - 11.03.2022 09:00","25","25","25","n/e","n/e","n/e","493","490","490"
"11.03.2022 09:00 - 11.03.2022 10:00","36","36","36","n/e","n/e","n/e","487","483","458"
"11.03.2022 10:00 - 11.03.2022 11:00","47","47","47","n/e","n/e","n/e","466","463","423"
"11.03.2022 11:00 - 11.03.2022 12:00","50","50","50","n/e","n/e","n/e","426","422","387"
"11.03.2022 12:00 - 11.03.2022 13:00","50","50","50","n/e","n/e","n/e","385","382","374"
"11.03.2022 13:00 - 11.03.2022 14:00","47","47","47","n/e","n/e","n/e","357","355","335"
"11.03.2022 14:00 - 11.03.2022 15:00","41","41","41","n/e","n/e","n/e","344","342","322"
"11.03.2022 15:00 - 11.03.2022 16:00","29","29","29","n/e","n/e","n/e","339","336","310"
"11.03.2022 16:00 - 11.03.2022 17:00","15","15","15","n/e","n/e","n/e","354","351","309"
"11.03.2022 17:00 - 11.03.2022 18:00","2","2","2","n/e","n/e","n/e","394","392","345"
"11.03.2022 18:00 - 11.03.2022 19:00","0","0","0","n/e","n/e","n/e","444","442","394"
"11.03.2022 19:00 - 11.03.2022 20:00","0","0","0","n/e","n/e","n/e","460","457","460"
"11.03.2022 20:00 - 11.03.2022 21:00","0","0","0","n/e","n/e","n/e","463","460","463"
"11.03.2022 21:00 - 11.03.2022 22:00","0","0","0","n/e","n/e","n/e","463","461","465"
"11.03.2022 22:00 - 11.03.2022 23:00","0","0","0","n/e","n/e","n/e","460","459","463"
"11.03.2022 23:00 - 12.03.2022 00:00","0","0","0","n/e","n/e","n/e","451","450","454"
"12.03.2022 00:00 - 12.03.2022 01:00","0","0","0","n/e","n/e","n/e","460","460","460"
"12.03.2022 01:00 - 12.03.2022 02:00","0","0","0","n/e","n/e","n/e","452","452","452"
"12.03.2022 02:00 - 12.03.2022 03:00","0","0","0","n/e","n/e","n/e","448","447","447"
"12.03.2022 03:00 - 12.03.2022 04:00","0","0","0","n/e","n/e","n/e","444","444","444"
"12.03.2022 04:00 - 12.03.2022 05:00","0","0","0","n/e","n/e","n/e","439","438","438"
"12.03.2022 05:00 - 12.03.2022 06:00","0","0","0","n/e","n/e","n/e","432","431","431"
"12.03.2022 06:00 - 12.03.2022 07:00","1","1","1","n/e","n/e","n/e","428","426","426"
"12.03.2022 07:00 - 12.03.2022 08:00","11","11","11","n/e","n/e","n/e","413","410","410"
"12.03.2022 08:00 - 12.03.2022 09:00","26","26","26","n/e","n/e","n/e","378","374","374"
"12.03.2022 09:00 - 12.03.2022 10:00","37","37","37","n/e","n/e","n/e","340","334","314"
"12.03.2022 10:00 - 12.03.2022 11:00","46","46","46","n/e","n/e","n/e","298","290","270"
"12.03.2022 11:00 - 12.03.2022 12:00","49","49","49","n/e","n/e","n/e","244","236","196"
"12.03.2022 12:00 - 12.03.2022 13:00","49","49","49","n/e","n/e","n/e","188","181","128"
"12.03.2022 13:00 - 12.03.2022 14:00","47","47","47","n/e","n/e","n/e","150","142","94"
"12.03.2022 14:00 - 12.03.2022 15:00","40","40","40","n/e","n/e","n/e","126","116","64"
"12.03.2022 15:00 - 12.03.2022 16:00","28","28","28","n/e","n/e","n/e","120","112","71"
"12.03.2022 16:00 - 12.03.2022 17:00","14","14","14","n/e","n/e","n/e","119","110","72"
"12.03.2022 17:00 - 12.03.2022 18:00","2","2","2","n/e","n/e","n/e","114","103","79"
"12.03.2022 18:00 - 12.03.2022 19:00","0","0","0","n/e","n/e","n/e","100","90","89"
"12.03.2022 19:00 - 12.03.2022 20:00","0","0","0","n/e","n/e","n/e","83","73","74"
"12.03.2022 20:00 - 12.03.2022 21:00","0","0","0","n/e","n/e","n/e","65","56","56"
"12.03.2022 21:00 - 12.03.2022 22:00","0","0","0","n/e","n/e","n/e","57","52","52"
"12.03.2022 22:00 - 12.03.2022 23:00","0","0","0","n/e","n/e","n/e","50","47","46"
"12.03.2022 23:00 - 13.03.2022 00:00","0","0","0","n/e","n/e","n/e","47","46","25"
"13.03.2022 00:00 - 13.03.2022 01:00","0","0","0","n/e","n/e","n/e","30","23","23"
"13.03.2022 01:00 - 13.03.2022 02:00","0","0","0","n/e","n/e","n/e","33","25","25"
"13.03.2022 02:00 - 13.03.2022 03:00","0","0","0","n/e","n/e","n/e","34","32","32"
"13.03.2022 03:00 - 13.03.2022 04:00","0","0","0","n/e","n/e","n/e","36","36","36"
"13.03.2022 04:00 - 13.03.2022 05:00","0","0","0","n/e","n/e","n/e","41","41","41"
"13.03.2022 05:00 - 13.03.2022 06:00","0","0","0","n/e","n/e","n/e","44","44","44"
"13.03.2022 06:00 - 13.03.2022 07:00","2","2","2","n/e","n/e","n/e","46","46","46"
"13.03.2022 07:00 - 13.03.2022 08:00","13","13","13","n/e","n/e","n/e","43","43","43"
"13.03.2022 08:00 - 13.03.2022 09:00","26","26","26","n/e","n/e","n/e","35","34","34"
"13.03.2022 09:00 - 13.03.2022 10:00","37","37","37","n/e","n/e","n/e","22","16","16"
"13.03.2022 10:00 - 13.03.2022 11:00","46","46","46","n/e","n/e","n/e","20","19","9"
"13.03.2022 11:00 - 13.03.2022 12:00","50","50","50","n/e","n/e","n/e","31","29","19"
"13.03.2022 12:00 - 13.03.2022 13:00","49","49","49","n/e","n/e","n/e","43","42","42"
"13.03.2022 13:00 - 13.03.2022 14:00","46","46","46","n/e","n/e","n/e","50","51","51"
"13.03.2022 14:00 - 13.03.2022 15:00","37","37","37","n/e","n/e","n/e","52","52","52"
"13.03.2022 15:00 - 13.03.2022 16:00","27","27","27","n/e","n/e","n/e","49","49","55"
"13.03.2022 16:00 - 13.03.2022 17:00","13","13","13","n/e","n/e","n/e","41","41","41"
"13.03.2022 17:00 - 13.03.2022 18:00","2","2","2","n/e","n/e","n/e","31","30","30"
"13.03.2022 18:00 - 13.03.2022 19:00","0","0","0","n/e","n/e","n/e","26","25","30"
"13.03.2022 19:00 - 13.03.2022 20:00","0","0","0","n/e","n/e","n/e","19","19","19"
"13.03.2022 20:00 - 13.03.2022 21:00","0","0","0","n/e","n/e","n/e","11","11","11"
"13.03.2022 21:00 - 13.03.2022 22:00","0","0","0","n/e","n/e","n/e","10","10","10"
"13.03.2022 22:00 - 13.03.2022 23:00","0","0","0","n/e","n/e","n/e","17","17","12"
"13.03.2022 23:00 - 14.03.2022 00:00","0","0","0","n/e","n/e","n/e","24","23","15"
"14.03.2022 00:00 - 14.03.2022 01:00","0","0","0","n/e","n/e","n/e","30","20","20"
"14.03.2022 01:00 - 14.03.2022 02:00","0","0","0","n/e","n/e","n/e","36","26","26"
"14.03.2022 02:00 - 14.03.2022 03:00","0","0","0","n/e","n/e","n/e","43","31","31"
"14.03.2022 03:00 - 14.03.2022 04:00","0","0","0","n/e","n/e","n/e","49","43","43"
"14.03.2022 04:00 - 14.03.2022 05:00","0","0","0","n/e","n/e","n/e","56","54","54"
"14.03.2022 05:00 - 14.03.2022 06:00","0","0","0","n/e","n/e","n/e","53","51","51"
"14.03.2022 06:00 - 14.03.2022 07:00","2","2","2","n/e","n/e","n/e","50","48","48"
"14.03.2022 07:00 - 14.03.2022 08:00","12","12","12","n/e","n/e","n/e","38","36","36"
"14.03.2022 08:00 - 14.03.2022 09:00","25","25","25","n/e","n/e","n/e","20","20","20"
"14.03.2022 09:00 - 14.03.2022 10:00","36","36","36","n/e","n/e","n/e","11","11","5"
"14.03.2022 10:00 - 14.03.2022 11:00","45","45","45","n/e","n/e","n/e","7","7","4"
"14.03.2022 11:00 - 14.03.2022 12:00","47","47","47","n/e","n/e","n/e","11","11","11"
"14.03.2022 12:00 - 14.03.2022 13:00","46","46","46","n/e","n/e","n/e","17","17","17"
"14.03.2022 13:00 - 14.03.2022 14:00","42","42","42","n/e","n/e","n/e","26","26","26"
"14.03.2022 14:00 - 14.03.2022 15:00","34","34","34","n/e","n/e","n/e","34","34","33"
"14.03.2022 15:00 - 14.03.2022 16:00","26","26","26","n/e","n/e","n/e","40","40","54"
"14.03.2022 16:00 - 14.03.2022 17:00","12","12","12","n/e","n/e","n/e","41","42","56"
"14.03.2022 17:00 - 14.03.2022 18:00","2","2","2","n/e","n/e","n/e","38","40","39"
"14.03.2022 18:00 - 14.03.2022 19:00","0","0","0","n/e","n/e","n/e","28","30","30"
"14.03.2022 19:00 - 14.03.2022 20:00","0","0","0","n/e","n/e","n/e","16","19","19"
"14.03.2022 20:00 - 14.03.2022 21:00","0","0","0","n/e","n/e","n/e","11","13","13"
"14.03.2022 21:00 - 14.03.2022 22:00","0","0","0","n/e","n/e","n/e","11","12","12"
"14.03.2022 22:00 - 14.03.2022 23:00","0","0","0","n/e","n/e","n/e","12","12","12"
"14.03.2022 23:00 - 15.03.2022 00:00","0","0","0","n/e","n/e","n/e","12","11","11"
"15.03.2022 00:00 - 15.03.2022 01:00","0","0","0","n/e","n/e","n/e","9","10","10"
"15.03.2022 01:00 - 15.03.2022 02:00","0","0","0","n/e","n/e","n/e","8","10","10"
