"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Croatia (HR)","Generation - Solar  [MW] Intraday / Croatia (HR)","Generation - Solar  [MW] Current / Croatia (HR)","Generation - Wind Offshore  [MW] Day Ahead/ Croatia (HR)","Generation - Wind Offshore  [MW] Intraday / Croatia (HR)","Generation - Wind Offshore  [MW] Current / Croatia (HR)","Generation - Wind Onshore  [MW] Day Ahead/ Croatia (HR)","Generation - Wind Onshore  [MW] Intraday / Croatia (HR)","Generation - Wind Onshore  [MW] Current / Croatia (HR)"
"03.01.2022 10:00 - 03.01.2022 11:00","14","14","14","n/e","n/e","n/e","86","85","70"
"03.01.2022 11:00 - 03.01.2022 12:00","16","16","16","n/e","n/e","n/e","76","76","61"
"03.01.2022 12:00 - 03.01.2022 13:00","15","15","15","n/e","n/e","n/e","72","72","70"
"03.01.2022 13:00 - 03.01.2022 14:00","10","10","10","n/e","n/e","n/e","67","67","39"
"03.01.2022 14:00 - 03.01.2022 15:00","6","6","6","n/e","n/e","n/e","52","51","12"
"03.01.2022 15:00 - 03.01.2022 16:00","3","3","3","n/e","n/e","n/e","37","36","15"
"03.01.2022 16:00 - 03.01.2022 17:00","0","0","0","n/e","n/e","n/e","24","24","23"
"03.01.2022 17:00 - 03.01.2022 18:00","0","0","0","n/e","n/e","n/e","18","17","33"
"03.01.2022 18:00 - 03.01.2022 19:00","0","0","0","n/e","n/e","n/e","20","19","32"
"03.01.2022 19:00 - 03.01.2022 20:00","0","0","0","n/e","n/e","n/e","34","34","44"
"03.01.2022 20:00 - 03.01.2022 21:00","0","0","0","n/e","n/e","n/e","48","48","57"
"03.01.2022 21:00 - 03.01.2022 22:00","0","0","0","n/e","n/e","n/e","56","57","75"
"03.01.2022 22:00 - 03.01.2022 23:00","0","0","0","n/e","n/e","n/e","69","69","71"
"03.01.2022 23:00 - 04.01.2022 00:00","0","0","0","n/e","n/e","n/e","73","75","76"
"04.01.2022 00:00 - 04.01.2022 01:00","0","0","0","n/e","n/e","n/e","81","94","94"
"04.01.2022 01:00 - 04.01.2022 02:00","0","0","0","n/e","n/e","n/e","97","113","113"
"04.01.2022 02:00 - 04.01.2022 03:00","0","0","0","n/e","n/e","n/e","134","135","135"
"04.01.2022 03:00 - 04.01.2022 04:00","0","0","0","n/e","n/e","n/e","156","156","156"
"04.01.2022 04:00 - 04.01.2022 05:00","0","0","0","n/e","n/e","n/e","180","179","179"
"04.01.2022 05:00 - 04.01.2022 06:00","0","0","0","n/e","n/e","n/e","211","211","211"
"04.01.2022 06:00 - 04.01.2022 07:00","0","0","0","n/e","n/e","n/e","241","245","245"
"04.01.2022 07:00 - 04.01.2022 08:00","0","0","0","n/e","n/e","n/e","273","251","251"
"04.01.2022 08:00 - 04.01.2022 09:00","3","3","3","n/e","n/e","n/e","300","267","267"
"04.01.2022 09:00 - 04.01.2022 10:00","7","7","7","n/e","n/e","n/e","323","309","309"
"04.01.2022 10:00 - 04.01.2022 11:00","12","12","12","n/e","n/e","n/e","341","336","305"
"04.01.2022 11:00 - 04.01.2022 12:00","16","16","16","n/e","n/e","n/e","369","367","311"
"04.01.2022 12:00 - 04.01.2022 13:00","16","16","16","n/e","n/e","n/e","414","414","316"
"04.01.2022 13:00 - 04.01.2022 14:00","11","11","11","n/e","n/e","n/e","443","443","334"
"04.01.2022 14:00 - 04.01.2022 15:00","7","7","7","n/e","n/e","n/e","452","451","382"
"04.01.2022 15:00 - 04.01.2022 16:00","3","3","3","n/e","n/e","n/e","468","465","397"
"04.01.2022 16:00 - 04.01.2022 17:00","0","0","0","n/e","n/e","n/e","489","486","421"
"04.01.2022 17:00 - 04.01.2022 18:00","0","0","0","n/e","n/e","n/e","519","519","423"
"04.01.2022 18:00 - 04.01.2022 19:00","0","0","0","n/e","n/e","n/e","544","548","475"
"04.01.2022 19:00 - 04.01.2022 20:00","0","0","0","n/e","n/e","n/e","568","571","480"
"04.01.2022 20:00 - 04.01.2022 21:00","0","0","0","n/e","n/e","n/e","582","580","521"
"04.01.2022 21:00 - 04.01.2022 22:00","0","0","0","n/e","n/e","n/e","601","596","539"
"04.01.2022 22:00 - 04.01.2022 23:00","0","0","0","n/e","n/e","n/e","615","611","542"
"04.01.2022 23:00 - 05.01.2022 00:00","0","0","0","n/e","n/e","n/e","624","621","615"
"05.01.2022 00:00 - 05.01.2022 01:00","0","0","0","n/e","n/e","n/e","591","555","555"
"05.01.2022 01:00 - 05.01.2022 02:00","0","0","0","n/e","n/e","n/e","597","561","561"
"05.01.2022 02:00 - 05.01.2022 03:00","0","0","0","n/e","n/e","n/e","606","574","574"
"05.01.2022 03:00 - 05.01.2022 04:00","0","0","0","n/e","n/e","n/e","612","572","572"
"05.01.2022 04:00 - 05.01.2022 05:00","0","0","0","n/e","n/e","n/e","608","570","570"
"05.01.2022 05:00 - 05.01.2022 06:00","0","0","0","n/e","n/e","n/e","610","568","568"
"05.01.2022 06:00 - 05.01.2022 07:00","0","0","0","n/e","n/e","n/e","615","579","579"
"05.01.2022 07:00 - 05.01.2022 08:00","0","0","0","n/e","n/e","n/e","617","589","589"
"05.01.2022 08:00 - 05.01.2022 09:00","4","4","4","n/e","n/e","n/e","620","601","601"
"05.01.2022 09:00 - 05.01.2022 10:00","8","8","8","n/e","n/e","n/e","624","628","657"
"05.01.2022 10:00 - 05.01.2022 11:00","13","13","13","n/e","n/e","n/e","641","646","676"
"05.01.2022 11:00 - 05.01.2022 12:00","16","16","16","n/e","n/e","n/e","665","668","668"
"05.01.2022 12:00 - 05.01.2022 13:00","14","14","14","n/e","n/e","n/e","682","683","689"
"05.01.2022 13:00 - 05.01.2022 14:00","10","10","10","n/e","n/e","n/e","682","681","682"
"05.01.2022 14:00 - 05.01.2022 15:00","7","7","7","n/e","n/e","n/e","671","670","684"
"05.01.2022 15:00 - 05.01.2022 16:00","3","3","3","n/e","n/e","n/e","639","639","656"
"05.01.2022 16:00 - 05.01.2022 17:00","0","0","0","n/e","n/e","n/e","624","625","661"
"05.01.2022 17:00 - 05.01.2022 18:00","0","0","0","n/e","n/e","n/e","616","617","659"
"05.01.2022 18:00 - 05.01.2022 19:00","0","0","0","n/e","n/e","n/e","617","618","594"
"05.01.2022 19:00 - 05.01.2022 20:00","0","0","0","n/e","n/e","n/e","636","637","600"
"05.01.2022 20:00 - 05.01.2022 21:00","0","0","0","n/e","n/e","n/e","643","644","612"
"05.01.2022 21:00 - 05.01.2022 22:00","0","0","0","n/e","n/e","n/e","639","640","637"
"05.01.2022 22:00 - 05.01.2022 23:00","0","0","0","n/e","n/e","n/e","637","634","645"
"05.01.2022 23:00 - 06.01.2022 00:00","0","0","0","n/e","n/e","n/e","614","610","644"
"06.01.2022 00:00 - 06.01.2022 01:00","0","0","0","n/e","n/e","n/e","619","634","634"
"06.01.2022 01:00 - 06.01.2022 02:00","0","0","0","n/e","n/e","n/e","581","589","589"
"06.01.2022 02:00 - 06.01.2022 03:00","0","0","0","n/e","n/e","n/e","550","560","560"
"06.01.2022 03:00 - 06.01.2022 04:00","0","0","0","n/e","n/e","n/e","566","546","546"
"06.01.2022 04:00 - 06.01.2022 05:00","0","0","0","n/e","n/e","n/e","561","523","523"
"06.01.2022 05:00 - 06.01.2022 06:00","0","0","0","n/e","n/e","n/e","564","528","528"
"06.01.2022 06:00 - 06.01.2022 07:00","0","0","0","n/e","n/e","n/e","558","509","509"
"06.01.2022 07:00 - 06.01.2022 08:00","0","0","0","n/e","n/e","n/e","567","527","527"
"06.01.2022 08:00 - 06.01.2022 09:00","2","2","2","n/e","n/e","n/e","565","525","525"
"06.01.2022 09:00 - 06.01.2022 10:00","4","4","4","n/e","n/e","n/e","557","519","519"
"06.01.2022 10:00 - 06.01.2022 11:00","8","8","8","n/e","n/e","n/e","537","537","501"
"06.01.2022 11:00 - 06.01.2022 12:00","11","11","11","n/e","n/e","n/e","531","532","493"
"06.01.2022 12:00 - 06.01.2022 13:00","10","10","10","n/e","n/e","n/e","538","540","512"
"06.01.2022 13:00 - 06.01.2022 14:00","10","10","10","n/e","n/e","n/e","550","551","534"
"06.01.2022 14:00 - 06.01.2022 15:00","6","6","6","n/e","n/e","n/e","574","575","546"
"06.01.2022 15:00 - 06.01.2022 16:00","3","3","3","n/e","n/e","n/e","619","619","596"
"06.01.2022 16:00 - 06.01.2022 17:00","0","0","0","n/e","n/e","n/e","664","664","666"
"06.01.2022 17:00 - 06.01.2022 18:00","0","0","0","n/e","n/e","n/e","699","700","701"
"06.01.2022 18:00 - 06.01.2022 19:00","0","0","0","n/e","n/e","n/e","728","728","721"
"06.01.2022 19:00 - 06.01.2022 20:00","0","0","0","n/e","n/e","n/e","743","743","715"
"06.01.2022 20:00 - 06.01.2022 21:00","0","0","0","n/e","n/e","n/e","751","751","739"
"06.01.2022 21:00 - 06.01.2022 22:00","0","0","0","n/e","n/e","n/e","767","767","758"
"06.01.2022 22:00 - 06.01.2022 23:00","0","0","0","n/e","n/e","n/e","773","773","761"
"06.01.2022 23:00 - 07.01.2022 00:00","0","0","0","n/e","n/e","n/e","774","774","801"
"07.01.2022 00:00 - 07.01.2022 01:00","0","0","0","n/e","n/e","n/e","772","785","785"
"07.01.2022 01:00 - 07.01.2022 02:00","0","0","0","n/e","n/e","n/e","771","781","781"
"07.01.2022 02:00 - 07.01.2022 03:00","0","0","0","n/e","n/e","n/e","759","778","778"
"07.01.2022 03:00 - 07.01.2022 04:00","0","0","0","n/e","n/e","n/e","751","761","761"
"07.01.2022 04:00 - 07.01.2022 05:00","0","0","0","n/e","n/e","n/e","734","743","743"
"07.01.2022 05:00 - 07.01.2022 06:00","0","0","0","n/e","n/e","n/e","716","724","724"
"07.01.2022 06:00 - 07.01.2022 07:00","0","0","0","n/e","n/e","n/e","699","702","702"
"07.01.2022 07:00 - 07.01.2022 08:00","0","0","0","n/e","n/e","n/e","665","674","674"
"07.01.2022 08:00 - 07.01.2022 09:00","5","5","5","n/e","n/e","n/e","612","619","619"
"07.01.2022 09:00 - 07.01.2022 10:00","15","15","15","n/e","n/e","n/e","531","511","511"
"07.01.2022 10:00 - 07.01.2022 11:00","24","24","24","n/e","n/e","n/e","453","451","401"
"07.01.2022 11:00 - 07.01.2022 12:00","29","29","29","n/e","n/e","n/e","390","389","336"
"07.01.2022 12:00 - 07.01.2022 13:00","28","28","28","n/e","n/e","n/e","330","329","253"
"07.01.2022 13:00 - 07.01.2022 14:00","23","23","23","n/e","n/e","n/e","292","291","210"
"07.01.2022 14:00 - 07.01.2022 15:00","14","14","14","n/e","n/e","n/e","278","277","191"
"07.01.2022 15:00 - 07.01.2022 16:00","5","5","5","n/e","n/e","n/e","277","276","214"
"07.01.2022 16:00 - 07.01.2022 17:00","0","0","0","n/e","n/e","n/e","292","289","246"
"07.01.2022 17:00 - 07.01.2022 18:00","0","0","0","n/e","n/e","n/e","306","303","270"
"07.01.2022 18:00 - 07.01.2022 19:00","0","0","0","n/e","n/e","n/e","314","309","242"
"07.01.2022 19:00 - 07.01.2022 20:00","0","0","0","n/e","n/e","n/e","316","310","260"
"07.01.2022 20:00 - 07.01.2022 21:00","0","0","0","n/e","n/e","n/e","307","301","252"
"07.01.2022 21:00 - 07.01.2022 22:00","0","0","0","n/e","n/e","n/e","299","294","252"
"07.01.2022 22:00 - 07.01.2022 23:00","0","0","0","n/e","n/e","n/e","304","300","278"
"07.01.2022 23:00 - 08.01.2022 00:00","0","0","0","n/e","n/e","n/e","314","311","291"
"08.01.2022 00:00 - 08.01.2022 01:00","0","0","0","n/e","n/e","n/e","228","262","262"
"08.01.2022 01:00 - 08.01.2022 02:00","0","0","0","n/e","n/e","n/e","239","261","261"
"08.01.2022 02:00 - 08.01.2022 03:00","0","0","0","n/e","n/e","n/e","250","265","265"
"08.01.2022 03:00 - 08.01.2022 04:00","0","0","0","n/e","n/e","n/e","255","267","267"
"08.01.2022 04:00 - 08.01.2022 05:00","0","0","0","n/e","n/e","n/e","263","275","275"
"08.01.2022 05:00 - 08.01.2022 06:00","0","0","0","n/e","n/e","n/e","267","279","279"
"08.01.2022 06:00 - 08.01.2022 07:00","0","0","0","n/e","n/e","n/e","278","286","286"
"08.01.2022 07:00 - 08.01.2022 08:00","0","0","0","n/e","n/e","n/e","289","299","299"
"08.01.2022 08:00 - 08.01.2022 09:00","4","4","4","n/e","n/e","n/e","295","302","302"
"08.01.2022 09:00 - 08.01.2022 10:00","13","13","13","n/e","n/e","n/e","281","253","253"
"08.01.2022 10:00 - 08.01.2022 11:00","20","20","20","n/e","n/e","n/e","259","280","240"
"08.01.2022 11:00 - 08.01.2022 12:00","23","23","23","n/e","n/e","n/e","260","275","195"
"08.01.2022 12:00 - 08.01.2022 13:00","22","22","22","n/e","n/e","n/e","279","280","216"
"08.01.2022 13:00 - 08.01.2022 14:00","19","19","19","n/e","n/e","n/e","299","299","178"
"08.01.2022 14:00 - 08.01.2022 15:00","13","13","13","n/e","n/e","n/e","319","318","218"
"08.01.2022 15:00 - 08.01.2022 16:00","4","4","4","n/e","n/e","n/e","349","346","257"
"08.01.2022 16:00 - 08.01.2022 17:00","0","0","0","n/e","n/e","n/e","393","387","315"
"08.01.2022 17:00 - 08.01.2022 18:00","0","0","0","n/e","n/e","n/e","427","418","302"
"08.01.2022 18:00 - 08.01.2022 19:00","0","0","0","n/e","n/e","n/e","452","440","355"
"08.01.2022 19:00 - 08.01.2022 20:00","0","0","0","n/e","n/e","n/e","459","447","346"
"08.01.2022 20:00 - 08.01.2022 21:00","0","0","0","n/e","n/e","n/e","459","449","320"
"08.01.2022 21:00 - 08.01.2022 22:00","0","0","0","n/e","n/e","n/e","451","444","444"
"08.01.2022 22:00 - 08.01.2022 23:00","0","0","0","n/e","n/e","n/e","434","432","430"
