MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Latvia (LV),Generation - Solar  [MW] Intraday / Latvia (LV),Generation - Solar  [MW] Current / Latvia (LV),Generation - Wind Offshore  [MW] Day Ahead/ Latvia (LV),Generation - Wind Offshore  [MW] Intraday / Latvia (LV),Generation - Wind Offshore  [MW] Current / Latvia (LV),Generation - Wind Onshore  [MW] Day Ahead/ Latvia (LV),Generation - Wind Onshore  [MW] Intraday / Latvia (LV),Generation - Wind Onshore  [MW] Current / Latvia (LV)
03.01.2022 10:00 - 03.01.2022 11:00,n/e,n/e,n/e,n/e,n/e,n/e,8,13,13
03.01.2022 11:00 - 03.01.2022 12:00,n/e,n/e,n/e,n/e,n/e,n/e,10,17,17
03.01.2022 12:00 - 03.01.2022 13:00,n/e,n/e,n/e,n/e,n/e,n/e,11,17,17
03.01.2022 13:00 - 03.01.2022 14:00,n/e,n/e,n/e,n/e,n/e,n/e,10,17,17
03.01.2022 14:00 - 03.01.2022 15:00,n/e,n/e,n/e,n/e,n/e,n/e,11,11,11
03.01.2022 15:00 - 03.01.2022 16:00,n/e,n/e,n/e,n/e,n/e,n/e,10,10,10
03.01.2022 16:00 - 03.01.2022 17:00,n/e,n/e,n/e,n/e,n/e,n/e,7,7,7
03.01.2022 17:00 - 03.01.2022 18:00,n/e,n/e,n/e,n/e,n/e,n/e,8,8,8
03.01.2022 18:00 - 03.01.2022 19:00,n/e,n/e,n/e,n/e,n/e,n/e,8,8,8
03.01.2022 19:00 - 03.01.2022 20:00,n/e,n/e,n/e,n/e,n/e,n/e,10,10,10
03.01.2022 20:00 - 03.01.2022 21:00,n/e,n/e,n/e,n/e,n/e,n/e,9,9,9
03.01.2022 21:00 - 03.01.2022 22:00,n/e,n/e,n/e,n/e,n/e,n/e,11,11,11
03.01.2022 22:00 - 03.01.2022 23:00,n/e,n/e,n/e,n/e,n/e,n/e,12,12,12
03.01.2022 23:00 - 04.01.2022 00:00,n/e,n/e,n/e,n/e,n/e,n/e,16,17,17
04.01.2022 00:00 - 04.01.2022 01:00,n/e,n/e,n/e,n/e,n/e,n/e,25,18,18
04.01.2022 01:00 - 04.01.2022 02:00,n/e,n/e,n/e,n/e,n/e,n/e,19,22,22
04.01.2022 02:00 - 04.01.2022 03:00,n/e,n/e,n/e,n/e,n/e,n/e,20,23,23
04.01.2022 03:00 - 04.01.2022 04:00,n/e,n/e,n/e,n/e,n/e,n/e,22,29,29
04.01.2022 04:00 - 04.01.2022 05:00,n/e,n/e,n/e,n/e,n/e,n/e,26,32,32
04.01.2022 05:00 - 04.01.2022 06:00,n/e,n/e,n/e,n/e,n/e,n/e,26,34,34
