MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Netherlands (NL),Generation - Solar  [MW] Intraday / Netherlands (NL),Generation - Solar  [MW] Current / Netherlands (NL),Generation - Wind Offshore  [MW] Day Ahead/ Netherlands (NL),Generation - Wind Offshore  [MW] Intraday / Netherlands (NL),Generation - Wind Offshore  [MW] Current / Netherlands (NL),Generation - Wind Onshore  [MW] Day Ahead/ Netherlands (NL),Generation - Wind Onshore  [MW] Intraday / Netherlands (NL),Generation - Wind Onshore  [MW] Current / Netherlands (NL)
29.03.2022 04:45 - 29.03.2022 05:00,0,0,n/e,150,150,150,211,211,211
29.03.2022 05:00 - 29.03.2022 05:15,0,0,n/e,148,148,148,207,207,207
29.03.2022 05:15 - 29.03.2022 05:30,0,0,n/e,148,148,148,208,208,208
29.03.2022 05:30 - 29.03.2022 05:45,0,0,n/e,149,149,149,214,214,214
29.03.2022 05:45 - 29.03.2022 06:00,0,0,n/e,149,149,149,215,215,215
29.03.2022 06:00 - 29.03.2022 06:15,0,0,n/e,150,150,150,222,222,222
29.03.2022 06:15 - 29.03.2022 06:30,0,0,n/e,152,152,152,225,225,225
29.03.2022 06:30 - 29.03.2022 06:45,0,0,n/e,154,154,154,232,232,232
29.03.2022 06:45 - 29.03.2022 07:00,0,0,n/e,156,156,156,236,236,236
29.03.2022 07:00 - 29.03.2022 07:15,0,0,n/e,158,158,158,241,241,241
29.03.2022 07:15 - 29.03.2022 07:30,11,11,n/e,161,161,161,247,247,247
29.03.2022 07:30 - 29.03.2022 07:45,23,23,n/e,164,164,164,252,252,252
29.03.2022 07:45 - 29.03.2022 08:00,34,34,n/e,167,167,167,255,255,255
29.03.2022 08:00 - 29.03.2022 08:15,46,46,n/e,170,170,170,261,261,261
29.03.2022 08:15 - 29.03.2022 08:30,117,117,n/e,173,173,173,267,267,267
29.03.2022 08:30 - 29.03.2022 08:45,189,189,n/e,178,178,178,271,271,271
29.03.2022 08:45 - 29.03.2022 09:00,261,261,n/e,183,183,183,273,273,273
29.03.2022 09:00 - 29.03.2022 09:15,334,334,n/e,188,188,188,277,277,277
29.03.2022 09:15 - 29.03.2022 09:30,414,414,n/e,193,193,193,279,279,279
29.03.2022 09:30 - 29.03.2022 09:45,492,492,n/e,199,199,199,281,281,281
29.03.2022 09:45 - 29.03.2022 10:00,572,572,n/e,205,205,205,283,283,283
29.03.2022 10:00 - 29.03.2022 10:15,654,654,n/e,211,211,211,289,289,289
29.03.2022 10:15 - 29.03.2022 10:30,737,737,n/e,220,220,220,292,292,292
29.03.2022 10:30 - 29.03.2022 10:45,814,814,n/e,231,231,231,297,297,297
29.03.2022 10:45 - 29.03.2022 11:00,894,894,n/e,242,242,242,305,305,305
29.03.2022 11:00 - 29.03.2022 11:15,973,973,n/e,254,254,254,308,308,308
29.03.2022 11:15 - 29.03.2022 11:30,1086,1086,n/e,265,265,265,320,320,320
29.03.2022 11:30 - 29.03.2022 11:45,1198,1198,n/e,276,276,276,331,331,331
29.03.2022 11:45 - 29.03.2022 12:00,1311,1311,n/e,287,287,287,343,343,343
29.03.2022 12:00 - 29.03.2022 12:15,1422,1422,n/e,297,297,297,356,356,356
29.03.2022 12:15 - 29.03.2022 12:30,1478,1478,n/e,306,306,306,369,369,369
29.03.2022 12:30 - 29.03.2022 12:45,1534,1534,n/e,314,314,314,386,386,386
29.03.2022 12:45 - 29.03.2022 13:00,1589,1589,n/e,321,321,321,400,400,400
29.03.2022 13:00 - 29.03.2022 13:15,1644,1644,n/e,328,328,328,416,416,416
29.03.2022 13:15 - 29.03.2022 13:30,1671,1671,n/e,334,334,334,432,432,432
29.03.2022 13:30 - 29.03.2022 13:45,1695,1695,n/e,340,340,340,448,448,448
29.03.2022 13:45 - 29.03.2022 14:00,1720,1720,n/e,345,345,345,463,463,463
29.03.2022 14:00 - 29.03.2022 14:15,1744,1744,n/e,350,350,350,479,479,479
29.03.2022 14:15 - 29.03.2022 14:30,1827,1827,n/e,353,353,353,494,494,494
29.03.2022 14:30 - 29.03.2022 14:45,1911,1911,n/e,356,356,356,511,511,511
29.03.2022 14:45 - 29.03.2022 15:00,1993,1993,n/e,359,359,359,527,527,527
29.03.2022 15:00 - 29.03.2022 15:15,2078,2078,n/e,361,361,361,544,544,544
29.03.2022 15:15 - 29.03.2022 15:30,2025,2025,n/e,367,367,367,562,562,562
29.03.2022 15:30 - 29.03.2022 15:45,1973,1973,n/e,376,376,376,581,581,581
29.03.2022 15:45 - 29.03.2022 16:00,1924,1924,n/e,385,385,385,601,601,601
29.03.2022 16:00 - 29.03.2022 16:15,1872,1872,n/e,394,394,394,621,621,621
29.03.2022 16:15 - 29.03.2022 16:30,1789,1789,n/e,405,405,405,640,640,640
29.03.2022 16:30 - 29.03.2022 16:45,1703,1703,n/e,418,418,418,658,658,658
29.03.2022 16:45 - 29.03.2022 17:00,1619,1619,n/e,431,431,431,677,677,677
29.03.2022 17:00 - 29.03.2022 17:15,1534,1534,n/e,444,444,444,696,696,696
29.03.2022 17:15 - 29.03.2022 17:30,1488,1488,n/e,465,465,465,725,725,725
29.03.2022 17:30 - 29.03.2022 17:45,1442,1442,n/e,493,493,493,768,768,768
29.03.2022 17:45 - 29.03.2022 18:00,1396,1396,n/e,522,522,522,809,809,809
29.03.2022 18:00 - 29.03.2022 18:15,1351,1351,n/e,550,550,550,853,853,853
29.03.2022 18:15 - 29.03.2022 18:30,1211,1211,n/e,573,573,573,906,906,906
29.03.2022 18:30 - 29.03.2022 18:45,1071,1071,n/e,590,590,590,974,974,974
29.03.2022 18:45 - 29.03.2022 19:00,932,932,n/e,608,608,608,1042,1042,1042
29.03.2022 19:00 - 29.03.2022 19:15,790,790,n/e,625,625,625,1110,1110,1110
29.03.2022 19:15 - 29.03.2022 19:30,655,655,n/e,650,650,650,1189,1189,1189
29.03.2022 19:30 - 29.03.2022 19:45,519,519,n/e,682,682,682,1280,1280,1280
29.03.2022 19:45 - 29.03.2022 20:00,384,384,n/e,714,714,714,1371,1371,1371
29.03.2022 20:00 - 29.03.2022 20:15,250,250,n/e,746,746,746,1464,1464,1464
29.03.2022 20:15 - 29.03.2022 20:30,184,184,n/e,767,767,767,1510,1510,1510
29.03.2022 20:30 - 29.03.2022 20:45,124,124,n/e,777,777,777,1511,1511,1511
29.03.2022 20:45 - 29.03.2022 21:00,60,60,n/e,786,786,786,1512,1512,1512
29.03.2022 21:00 - 29.03.2022 21:15,0,0,n/e,796,796,796,1514,1514,1514
29.03.2022 21:15 - 29.03.2022 21:30,0,0,n/e,808,808,808,1516,1516,1516
29.03.2022 21:30 - 29.03.2022 21:45,0,0,n/e,822,822,822,1523,1523,1523
29.03.2022 21:45 - 29.03.2022 22:00,0,0,n/e,837,837,837,1531,1531,1531
29.03.2022 22:00 - 29.03.2022 22:15,0,0,n/e,851,851,851,1537,1537,1537
29.03.2022 22:15 - 29.03.2022 22:30,0,0,n/e,870,870,870,1544,1544,1544
29.03.2022 22:30 - 29.03.2022 22:45,0,0,n/e,892,892,892,1551,1551,1551
29.03.2022 22:45 - 29.03.2022 23:00,0,0,n/e,914,914,914,1561,1561,1561
29.03.2022 23:00 - 29.03.2022 23:15,0,0,n/e,937,937,937,1568,1568,1568
29.03.2022 23:15 - 29.03.2022 23:30,0,0,n/e,935,935,935,1551,1551,1551
29.03.2022 23:30 - 29.03.2022 23:45,0,0,n/e,910,910,910,1505,1505,1505
29.03.2022 23:45 - 30.03.2022 00:00,0,0,n/e,885,885,885,1460,1460,1460
30.03.2022 00:00 - 30.03.2022 00:15,0,0,n/e,519,519,519,996,996,996
30.03.2022 00:15 - 30.03.2022 00:30,0,0,n/e,508,508,508,973,973,973
30.03.2022 00:30 - 30.03.2022 00:45,0,0,n/e,497,497,497,953,953,953
30.03.2022 00:45 - 30.03.2022 01:00,0,0,n/e,485,485,485,930,930,930
30.03.2022 01:00 - 30.03.2022 01:15,0,0,n/e,473,473,473,906,906,906
30.03.2022 01:15 - 30.03.2022 01:30,0,0,n/e,463,463,463,880,880,880
30.03.2022 01:30 - 30.03.2022 01:45,0,0,n/e,455,455,455,850,850,850
30.03.2022 01:45 - 30.03.2022 02:00,0,0,n/e,446,446,446,821,821,821
30.03.2022 02:00 - 30.03.2022 02:15,0,0,n/e,437,437,437,791,791,791
30.03.2022 02:15 - 30.03.2022 02:30,0,0,n/e,424,424,424,769,769,769
30.03.2022 02:30 - 30.03.2022 02:45,0,0,n/e,405,405,405,755,755,755
30.03.2022 02:45 - 30.03.2022 03:00,0,0,n/e,387,387,387,742,742,742
30.03.2022 03:00 - 30.03.2022 03:15,0,0,n/e,368,368,368,728,728,728
30.03.2022 03:15 - 30.03.2022 03:30,0,0,n/e,355,355,355,713,713,713
30.03.2022 03:30 - 30.03.2022 03:45,0,0,n/e,347,347,347,699,699,699
30.03.2022 03:45 - 30.03.2022 04:00,0,0,n/e,339,339,339,683,683,683
30.03.2022 04:00 - 30.03.2022 04:15,0,0,n/e,332,332,332,669,669,669
30.03.2022 04:15 - 30.03.2022 04:30,0,0,n/e,325,325,325,656,656,656
30.03.2022 04:30 - 30.03.2022 04:45,0,0,n/e,320,320,320,641,641,641
30.03.2022 04:45 - 30.03.2022 05:00,0,0,n/e,315,315,315,626,626,626
30.03.2022 05:00 - 30.03.2022 05:15,0,0,n/e,310,310,310,611,611,611
30.03.2022 05:15 - 30.03.2022 05:30,0,0,n/e,306,306,306,588,588,588
30.03.2022 05:30 - 30.03.2022 05:45,0,0,n/e,302,302,302,554,554,554
30.03.2022 05:45 - 30.03.2022 06:00,0,0,n/e,298,298,298,523,523,523
30.03.2022 06:00 - 30.03.2022 06:15,0,0,n/e,294,294,294,490,490,490
30.03.2022 06:15 - 30.03.2022 06:30,0,0,n/e,288,288,288,465,465,465
30.03.2022 06:30 - 30.03.2022 06:45,0,0,n/e,279,279,279,446,446,446
30.03.2022 06:45 - 30.03.2022 07:00,0,0,n/e,271,271,271,430,430,430
30.03.2022 07:00 - 30.03.2022 07:15,0,0,n/e,262,262,262,413,413,413
30.03.2022 07:15 - 30.03.2022 07:30,18,18,n/e,259,259,259,406,406,406
30.03.2022 07:30 - 30.03.2022 07:45,39,39,n/e,261,261,261,410,410,410
30.03.2022 07:45 - 30.03.2022 08:00,59,59,n/e,263,263,263,416,416,416
30.03.2022 08:00 - 30.03.2022 08:15,79,79,n/e,264,264,264,420,420,420
30.03.2022 08:15 - 30.03.2022 08:30,257,257,n/e,265,265,265,424,424,424
30.03.2022 08:30 - 30.03.2022 08:45,438,438,n/e,265,265,265,424,424,424
30.03.2022 08:45 - 30.03.2022 09:00,616,616,n/e,266,266,266,425,425,425
30.03.2022 09:00 - 30.03.2022 09:15,797,797,n/e,266,266,266,425,425,425
30.03.2022 09:15 - 30.03.2022 09:30,992,992,n/e,267,267,267,431,431,431
30.03.2022 09:30 - 30.03.2022 09:45,1187,1187,n/e,271,271,271,441,441,441
30.03.2022 09:45 - 30.03.2022 10:00,1382,1382,n/e,274,274,274,451,451,451
30.03.2022 10:00 - 30.03.2022 10:15,1575,1575,n/e,277,277,277,460,460,460
30.03.2022 10:15 - 30.03.2022 10:30,1768,1768,n/e,280,280,280,475,475,475
30.03.2022 10:30 - 30.03.2022 10:45,1955,1955,n/e,283,283,283,498,498,498
30.03.2022 10:45 - 30.03.2022 11:00,2144,2144,n/e,286,286,286,524,524,524
30.03.2022 11:00 - 30.03.2022 11:15,2334,2334,n/e,290,290,290,546,546,546
30.03.2022 11:15 - 30.03.2022 11:30,2266,2266,n/e,294,294,294,563,563,563
30.03.2022 11:30 - 30.03.2022 11:45,2196,2196,n/e,299,299,299,570,570,570
30.03.2022 11:45 - 30.03.2022 12:00,2126,2126,n/e,304,304,304,582,582,582
30.03.2022 12:00 - 30.03.2022 12:15,2057,2057,n/e,309,309,309,590,590,590
30.03.2022 12:15 - 30.03.2022 12:30,2135,2135,n/e,312,312,312,603,603,603
30.03.2022 12:30 - 30.03.2022 12:45,2211,2211,n/e,314,314,314,616,616,616
30.03.2022 12:45 - 30.03.2022 13:00,2289,2289,n/e,317,317,317,633,633,633
30.03.2022 13:00 - 30.03.2022 13:15,2366,2366,n/e,319,319,319,649,649,649
30.03.2022 13:15 - 30.03.2022 13:30,2400,2400,n/e,322,322,322,662,662,662
30.03.2022 13:30 - 30.03.2022 13:45,2434,2434,n/e,324,324,324,676,676,676
30.03.2022 13:45 - 30.03.2022 14:00,2470,2470,n/e,327,327,327,692,692,692
30.03.2022 14:00 - 30.03.2022 14:15,2501,2501,n/e,330,330,330,707,707,707
30.03.2022 14:15 - 30.03.2022 14:30,2425,2425,n/e,332,332,332,715,715,715
30.03.2022 14:30 - 30.03.2022 14:45,2353,2353,n/e,334,334,334,719,719,719
30.03.2022 14:45 - 30.03.2022 15:00,2275,2275,n/e,336,336,336,720,720,720
30.03.2022 15:00 - 30.03.2022 15:15,2201,2201,n/e,337,337,337,723,723,723
30.03.2022 15:15 - 30.03.2022 15:30,2147,2147,n/e,340,340,340,727,727,727
30.03.2022 15:30 - 30.03.2022 15:45,2090,2090,n/e,345,345,345,730,730,730
30.03.2022 15:45 - 30.03.2022 16:00,2034,2034,n/e,349,349,349,736,736,736
30.03.2022 16:00 - 30.03.2022 16:15,1979,1979,n/e,354,354,354,740,740,740
30.03.2022 16:15 - 30.03.2022 16:30,1891,1891,n/e,363,363,363,743,743,743
30.03.2022 16:30 - 30.03.2022 16:45,1801,1801,n/e,377,377,377,749,749,749
30.03.2022 16:45 - 30.03.2022 17:00,1711,1711,n/e,391,391,391,753,753,753
30.03.2022 17:00 - 30.03.2022 17:15,1621,1621,n/e,404,404,404,759,759,759
30.03.2022 17:15 - 30.03.2022 17:30,1486,1486,n/e,425,425,425,767,767,767
30.03.2022 17:30 - 30.03.2022 17:45,1353,1353,n/e,453,453,453,781,781,781
30.03.2022 17:45 - 30.03.2022 18:00,1218,1218,n/e,481,481,481,793,793,793
30.03.2022 18:00 - 30.03.2022 18:15,1081,1081,n/e,509,509,509,806,806,806
30.03.2022 18:15 - 30.03.2022 18:30,971,971,n/e,524,524,524,824,824,824
30.03.2022 18:30 - 30.03.2022 18:45,862,862,n/e,527,527,527,843,843,843
30.03.2022 18:45 - 30.03.2022 19:00,750,750,n/e,529,529,529,868,868,868
30.03.2022 19:00 - 30.03.2022 19:15,639,639,n/e,532,532,532,888,888,888
30.03.2022 19:15 - 30.03.2022 19:30,533,533,n/e,531,531,531,917,917,917
30.03.2022 19:30 - 30.03.2022 19:45,426,426,n/e,529,529,529,949,949,949
30.03.2022 19:45 - 30.03.2022 20:00,320,320,n/e,526,526,526,982,982,982
30.03.2022 20:00 - 30.03.2022 20:15,214,214,n/e,523,523,523,1015,1015,1015
30.03.2022 20:15 - 30.03.2022 20:30,161,161,n/e,518,518,518,1026,1026,1026
30.03.2022 20:30 - 30.03.2022 20:45,108,108,n/e,511,511,511,1018,1018,1018
30.03.2022 20:45 - 30.03.2022 21:00,54,54,n/e,504,504,504,1011,1011,1011
30.03.2022 21:00 - 30.03.2022 21:15,0,0,n/e,497,497,497,1003,1003,1003
30.03.2022 21:15 - 30.03.2022 21:30,0,0,n/e,495,495,495,996,996,996
30.03.2022 21:30 - 30.03.2022 21:45,0,0,n/e,497,497,497,990,990,990
30.03.2022 21:45 - 30.03.2022 22:00,0,0,n/e,500,500,500,987,987,987
30.03.2022 22:00 - 30.03.2022 22:15,0,0,n/e,503,503,503,981,981,981
30.03.2022 22:15 - 30.03.2022 22:30,0,0,n/e,508,508,508,976,976,976
30.03.2022 22:30 - 30.03.2022 22:45,0,0,n/e,517,517,517,970,970,970
30.03.2022 22:45 - 30.03.2022 23:00,0,0,n/e,526,526,526,964,964,964
30.03.2022 23:00 - 30.03.2022 23:15,0,0,n/e,535,535,535,960,960,960
30.03.2022 23:15 - 30.03.2022 23:30,0,0,n/e,533,533,533,948,948,948
30.03.2022 23:30 - 30.03.2022 23:45,0,0,n/e,520,520,520,931,931,931
30.03.2022 23:45 - 31.03.2022 00:00,0,0,n/e,507,507,507,912,912,912
31.03.2022 00:00 - 31.03.2022 00:15,0,0,n/e,718,718,718,1520,1520,1520
31.03.2022 00:15 - 31.03.2022 00:30,0,0,n/e,726,726,726,1530,1530,1530
31.03.2022 00:30 - 31.03.2022 00:45,0,0,n/e,736,736,736,1538,1538,1538
31.03.2022 00:45 - 31.03.2022 01:00,0,0,n/e,745,745,745,1546,1546,1546
31.03.2022 01:00 - 31.03.2022 01:15,0,0,n/e,754,754,754,1553,1553,1553
31.03.2022 01:15 - 31.03.2022 01:30,0,0,n/e,770,770,770,1562,1562,1562
31.03.2022 01:30 - 31.03.2022 01:45,0,0,n/e,791,791,791,1568,1568,1568
31.03.2022 01:45 - 31.03.2022 02:00,0,0,n/e,812,812,812,1577,1577,1577
31.03.2022 02:00 - 31.03.2022 02:15,0,0,n/e,833,833,833,1583,1583,1583
31.03.2022 02:15 - 31.03.2022 02:30,0,0,n/e,838,838,838,1582,1582,1582
31.03.2022 02:30 - 31.03.2022 02:45,0,0,n/e,827,827,827,1576,1576,1576
31.03.2022 02:45 - 31.03.2022 03:00,0,0,n/e,816,816,816,1567,1567,1567
31.03.2022 03:00 - 31.03.2022 03:15,0,0,n/e,805,805,805,1560,1560,1560
31.03.2022 03:15 - 31.03.2022 03:30,0,0,n/e,792,792,792,1554,1554,1554
31.03.2022 03:30 - 31.03.2022 03:45,0,0,n/e,779,779,779,1550,1550,1550
31.03.2022 03:45 - 31.03.2022 04:00,0,0,n/e,765,765,765,1546,1546,1546
31.03.2022 04:00 - 31.03.2022 04:15,0,0,n/e,751,751,751,1543,1543,1543
31.03.2022 04:15 - 31.03.2022 04:30,0,0,n/e,735,735,735,1542,1542,1542
31.03.2022 04:30 - 31.03.2022 04:45,0,0,n/e,717,717,717,1539,1539,1539
31.03.2022 04:45 - 31.03.2022 05:00,0,0,n/e,699,699,699,1538,1538,1538
31.03.2022 05:00 - 31.03.2022 05:15,0,0,n/e,682,682,682,1537,1537,1537
31.03.2022 05:15 - 31.03.2022 05:30,0,0,n/e,658,658,658,1525,1525,1525
31.03.2022 05:30 - 31.03.2022 05:45,0,0,n/e,629,629,629,1506,1506,1506
31.03.2022 05:45 - 31.03.2022 06:00,0,0,n/e,600,600,600,1484,1484,1484
31.03.2022 06:00 - 31.03.2022 06:15,0,0,n/e,571,571,571,1463,1463,1463
31.03.2022 06:15 - 31.03.2022 06:30,0,0,n/e,544,544,544,1442,1442,1442
31.03.2022 06:30 - 31.03.2022 06:45,0,0,n/e,518,518,518,1427,1427,1427
31.03.2022 06:45 - 31.03.2022 07:00,0,0,n/e,491,491,491,1410,1410,1410
31.03.2022 07:00 - 31.03.2022 07:15,0,0,n/e,465,465,465,1393,1393,1393
31.03.2022 07:15 - 31.03.2022 07:30,7,7,n/e,442,442,442,1377,1377,1377
31.03.2022 07:30 - 31.03.2022 07:45,14,14,n/e,422,422,422,1363,1363,1363
31.03.2022 07:45 - 31.03.2022 08:00,23,23,n/e,402,402,402,1348,1348,1348
31.03.2022 08:00 - 31.03.2022 08:15,29,29,n/e,382,382,382,1333,1333,1333
31.03.2022 08:15 - 31.03.2022 08:30,95,95,n/e,371,371,371,1325,1325,1325
31.03.2022 08:30 - 31.03.2022 08:45,164,164,n/e,370,370,370,1327,1327,1327
31.03.2022 08:45 - 31.03.2022 09:00,231,231,n/e,369,369,369,1326,1326,1326
31.03.2022 09:00 - 31.03.2022 09:15,299,299,n/e,368,368,368,1326,1326,1326
31.03.2022 09:15 - 31.03.2022 09:30,368,368,n/e,369,369,369,1337,1337,1337
31.03.2022 09:30 - 31.03.2022 09:45,437,437,n/e,370,370,370,1355,1355,1355
31.03.2022 09:45 - 31.03.2022 10:00,507,507,n/e,372,372,372,1373,1373,1373
31.03.2022 10:00 - 31.03.2022 10:15,575,575,n/e,373,373,373,1390,1390,1390
31.03.2022 10:15 - 31.03.2022 10:30,644,644,n/e,372,372,372,1410,1410,1410
31.03.2022 10:30 - 31.03.2022 10:45,713,713,n/e,370,370,370,1437,1437,1437
31.03.2022 10:45 - 31.03.2022 11:00,782,782,n/e,368,368,368,1460,1460,1460
31.03.2022 11:00 - 31.03.2022 11:15,852,852,n/e,365,365,365,1483,1483,1483
31.03.2022 11:15 - 31.03.2022 11:30,924,924,n/e,370,370,370,1476,1476,1476
31.03.2022 11:30 - 31.03.2022 11:45,996,996,n/e,382,382,382,1440,1440,1440
31.03.2022 11:45 - 31.03.2022 12:00,1070,1070,n/e,394,394,394,1402,1402,1402
31.03.2022 12:00 - 31.03.2022 12:15,1143,1143,n/e,406,406,406,1367,1367,1367
31.03.2022 12:15 - 31.03.2022 12:30,1188,1188,n/e,417,417,417,1339,1339,1339
31.03.2022 12:30 - 31.03.2022 12:45,1231,1231,n/e,427,427,427,1317,1317,1317
31.03.2022 12:45 - 31.03.2022 13:00,1276,1276,n/e,437,437,437,1296,1296,1296
31.03.2022 13:00 - 31.03.2022 13:15,1323,1323,n/e,447,447,447,1275,1275,1275
31.03.2022 13:15 - 31.03.2022 13:30,1340,1340,n/e,458,458,458,1263,1263,1263
31.03.2022 13:30 - 31.03.2022 13:45,1361,1361,n/e,471,471,471,1255,1255,1255
31.03.2022 13:45 - 31.03.2022 14:00,1382,1382,n/e,484,484,484,1242,1242,1242
31.03.2022 14:00 - 31.03.2022 14:15,1400,1400,n/e,496,496,496,1234,1234,1234
31.03.2022 14:15 - 31.03.2022 14:30,1358,1358,n/e,514,514,514,1275,1275,1275
31.03.2022 14:30 - 31.03.2022 14:45,1313,1313,n/e,536,536,536,1363,1363,1363
31.03.2022 14:45 - 31.03.2022 15:00,1268,1268,n/e,559,559,559,1451,1451,1451
31.03.2022 15:00 - 31.03.2022 15:15,1225,1225,n/e,581,581,581,1541,1541,1541
31.03.2022 15:15 - 31.03.2022 15:30,1194,1194,n/e,602,602,602,1650,1650,1650
31.03.2022 15:30 - 31.03.2022 15:45,1165,1165,n/e,621,621,621,1780,1780,1780
31.03.2022 15:45 - 31.03.2022 16:00,1136,1136,n/e,640,640,640,1911,1911,1911
31.03.2022 16:00 - 31.03.2022 16:15,1104,1104,n/e,660,660,660,2042,2042,2042
31.03.2022 16:15 - 31.03.2022 16:30,1055,1055,n/e,684,684,684,2163,2163,2163
31.03.2022 16:30 - 31.03.2022 16:45,1004,1004,n/e,712,712,712,2274,2274,2274
31.03.2022 16:45 - 31.03.2022 17:00,955,955,n/e,741,741,741,2385,2385,2385
31.03.2022 17:00 - 31.03.2022 17:15,905,905,n/e,770,770,770,2496,2496,2496
31.03.2022 17:15 - 31.03.2022 17:30,820,820,n/e,833,833,833,2608,2608,2608
31.03.2022 17:30 - 31.03.2022 17:45,732,732,n/e,931,931,931,2723,2723,2723
31.03.2022 17:45 - 31.03.2022 18:00,647,647,n/e,1029,1029,1029,2840,2840,2840
31.03.2022 18:00 - 31.03.2022 18:15,559,559,n/e,1126,1126,1126,2957,2957,2957
31.03.2022 18:15 - 31.03.2022 18:30,503,503,n/e,1195,1195,1195,3076,3076,3076
31.03.2022 18:30 - 31.03.2022 18:45,445,445,n/e,1233,1233,1233,3194,3194,3194
31.03.2022 18:45 - 31.03.2022 19:00,392,392,n/e,1272,1272,1272,3311,3311,3311
31.03.2022 19:00 - 31.03.2022 19:15,334,334,n/e,1311,1311,1311,3433,3433,3433
31.03.2022 19:15 - 31.03.2022 19:30,282,282,n/e,1341,1341,1341,3535,3535,3535
31.03.2022 19:30 - 31.03.2022 19:45,229,229,n/e,1361,1361,1361,3621,3621,3621
31.03.2022 19:45 - 31.03.2022 20:00,176,176,n/e,1381,1381,1381,3707,3707,3707
31.03.2022 20:00 - 31.03.2022 20:15,123,123,n/e,1402,1402,1402,3794,3794,3794
31.03.2022 20:15 - 31.03.2022 20:30,93,93,n/e,1417,1417,1417,3871,3871,3871
31.03.2022 20:30 - 31.03.2022 20:45,60,60,n/e,1426,1426,1426,3942,3942,3942
31.03.2022 20:45 - 31.03.2022 21:00,32,32,n/e,1435,1435,1435,4012,4012,4012
31.03.2022 21:00 - 31.03.2022 21:15,0,0,n/e,1445,1445,1445,4082,4082,4082
31.03.2022 21:15 - 31.03.2022 21:30,0,0,n/e,1450,1450,1450,4157,4157,4157
31.03.2022 21:30 - 31.03.2022 21:45,0,0,n/e,1452,1452,1452,4238,4238,4238
31.03.2022 21:45 - 31.03.2022 22:00,0,0,n/e,1453,1453,1453,4322,4322,4322
31.03.2022 22:00 - 31.03.2022 22:15,0,0,n/e,1455,1455,1455,4403,4403,4403
31.03.2022 22:15 - 31.03.2022 22:30,0,0,n/e,1458,1458,1458,4480,4480,4480
31.03.2022 22:30 - 31.03.2022 22:45,0,0,n/e,1463,1463,1463,4548,4548,4548
31.03.2022 22:45 - 31.03.2022 23:00,0,0,n/e,1468,1468,1468,4615,4615,4615
31.03.2022 23:00 - 31.03.2022 23:15,0,0,n/e,1473,1473,1473,4682,4682,4682
31.03.2022 23:15 - 31.03.2022 23:30,0,0,n/e,1476,1476,1476,4719,4719,4719
31.03.2022 23:30 - 31.03.2022 23:45,0,0,n/e,1477,1477,1477,4717,4717,4717
31.03.2022 23:45 - 01.04.2022 00:00,0,0,n/e,1479,1479,1479,4718,4718,4718
01.04.2022 00:00 - 01.04.2022 00:15,0,0,n/e,1471,1471,1471,4761,4761,4761
01.04.2022 00:15 - 01.04.2022 00:30,0,0,n/e,1472,1472,1472,4773,4773,4773
01.04.2022 00:30 - 01.04.2022 00:45,0,0,n/e,1473,1473,1473,4778,4778,4778
01.04.2022 00:45 - 01.04.2022 01:00,0,0,n/e,1475,1475,1475,4784,4784,4784
01.04.2022 01:00 - 01.04.2022 01:15,0,0,n/e,1476,1476,1476,4792,4792,4792
01.04.2022 01:15 - 01.04.2022 01:30,0,0,n/e,1475,1475,1475,4801,4801,4801
01.04.2022 01:30 - 01.04.2022 01:45,0,0,n/e,1474,1474,1474,4810,4810,4810
01.04.2022 01:45 - 01.04.2022 02:00,0,0,n/e,1472,1472,1472,4821,4821,4821
01.04.2022 02:00 - 01.04.2022 02:15,0,0,n/e,1470,1470,1470,4832,4832,4832
01.04.2022 02:15 - 01.04.2022 02:30,0,0,n/e,1468,1468,1468,4827,4827,4827
01.04.2022 02:30 - 01.04.2022 02:45,0,0,n/e,1466,1466,1466,4811,4811,4811
01.04.2022 02:45 - 01.04.2022 03:00,0,0,n/e,1464,1464,1464,4797,4797,4797
01.04.2022 03:00 - 01.04.2022 03:15,0,0,n/e,1462,1462,1462,4778,4778,4778
01.04.2022 03:15 - 01.04.2022 03:30,0,0,n/e,1460,1460,1460,4762,4762,4762
01.04.2022 03:30 - 01.04.2022 03:45,0,0,n/e,1458,1458,1458,4746,4746,4746
01.04.2022 03:45 - 01.04.2022 04:00,0,0,n/e,1456,1456,1456,4731,4731,4731
01.04.2022 04:00 - 01.04.2022 04:15,0,0,n/e,1454,1454,1454,4716,4716,4716
01.04.2022 04:15 - 01.04.2022 04:30,0,0,n/e,1453,1453,1453,4698,4698,4698
01.04.2022 04:30 - 01.04.2022 04:45,0,0,n/e,1451,1451,1451,4677,4677,4677
01.04.2022 04:45 - 01.04.2022 05:00,0,0,n/e,1449,1449,1449,4656,4656,4656
01.04.2022 05:00 - 01.04.2022 05:15,0,0,n/e,1448,1448,1448,4637,4637,4637
01.04.2022 05:15 - 01.04.2022 05:30,0,0,n/e,1447,1447,1447,4613,4613,4613
01.04.2022 05:30 - 01.04.2022 05:45,0,0,n/e,1448,1448,1448,4585,4585,4585
01.04.2022 05:45 - 01.04.2022 06:00,0,0,n/e,1450,1450,1450,4559,4559,4559
01.04.2022 06:00 - 01.04.2022 06:15,0,0,n/e,1451,1451,1451,4532,4532,4532
