MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Estonia (EE),Generation - Solar  [MW] Day Ahead/ Estonia (EE),Generation - Solar  [MW] Day Ahead/ Estonia (EE),Generation - Wind Offshore  [MW] Day Ahead/ Estonia (EE),Generation - Wind Offshore  [MW] Intraday / Estonia (EE),Generation - Wind Offshore  [MW] Current / Estonia (EE),Generation - Wind Onshore  [MW] Day Ahead/ Estonia (EE),Generation - Wind Onshore  [MW] Day Ahead/ Estonia (EE),Generation - Wind Onshore  [MW] Day Ahead/ Estonia (EE)
20.04.2022 19:00 - 20.04.2022 20:00,2,2,2,n/e,n/e,n/e,163,163,163
20.04.2022 20:00 - 20.04.2022 21:00,0,0,0,n/e,n/e,n/e,159,159,159
20.04.2022 21:00 - 20.04.2022 22:00,0,0,0,n/e,n/e,n/e,152,152,152
20.04.2022 22:00 - 20.04.2022 23:00,0,0,0,n/e,n/e,n/e,144,144,144
20.04.2022 23:00 - 21.04.2022 00:00,0,0,0,n/e,n/e,n/e,134,134,134
21.04.2022 00:00 - 21.04.2022 01:00,0,0,0,n/e,n/e,n/e,126,126,126
21.04.2022 01:00 - 21.04.2022 02:00,0,0,0,n/e,n/e,n/e,120,120,120
21.04.2022 02:00 - 21.04.2022 03:00,0,0,0,n/e,n/e,n/e,117,117,117
21.04.2022 03:00 - 21.04.2022 04:00,0,0,0,n/e,n/e,n/e,115,115,115
21.04.2022 04:00 - 21.04.2022 05:00,0,0,0,n/e,n/e,n/e,114,114,114
21.04.2022 05:00 - 21.04.2022 06:00,7,7,7,n/e,n/e,n/e,109,109,109
21.04.2022 06:00 - 21.04.2022 07:00,41,41,41,n/e,n/e,n/e,103,103,103
21.04.2022 07:00 - 21.04.2022 08:00,109,109,109,n/e,n/e,n/e,82,82,82
21.04.2022 08:00 - 21.04.2022 09:00,198,198,198,n/e,n/e,n/e,77,77,77
21.04.2022 09:00 - 21.04.2022 10:00,255,255,255,n/e,n/e,n/e,85,85,85
21.04.2022 10:00 - 21.04.2022 11:00,284,284,284,n/e,n/e,n/e,101,101,101
21.04.2022 11:00 - 21.04.2022 12:00,294,294,294,n/e,n/e,n/e,122,122,122
21.04.2022 12:00 - 21.04.2022 13:00,294,294,294,n/e,n/e,n/e,137,137,137
21.04.2022 13:00 - 21.04.2022 14:00,289,289,289,n/e,n/e,n/e,146,146,146
21.04.2022 14:00 - 21.04.2022 15:00,275,275,275,n/e,n/e,n/e,150,150,150
21.04.2022 15:00 - 21.04.2022 16:00,236,236,236,n/e,n/e,n/e,151,151,151
21.04.2022 16:00 - 21.04.2022 17:00,158,158,158,n/e,n/e,n/e,150,150,150
21.04.2022 17:00 - 21.04.2022 18:00,76,76,76,n/e,n/e,n/e,141,141,141
21.04.2022 18:00 - 21.04.2022 19:00,20,20,20,n/e,n/e,n/e,136,136,136
21.04.2022 19:00 - 21.04.2022 20:00,1,1,1,n/e,n/e,n/e,121,121,121
21.04.2022 20:00 - 21.04.2022 21:00,0,0,0,n/e,n/e,n/e,119,119,119
21.04.2022 21:00 - 21.04.2022 22:00,0,0,0,n/e,n/e,n/e,105,105,105
21.04.2022 22:00 - 21.04.2022 23:00,0,0,0,n/e,n/e,n/e,95,95,95
21.04.2022 23:00 - 22.04.2022 00:00,0,0,0,n/e,n/e,n/e,85,85,85
22.04.2022 00:00 - 22.04.2022 01:00,0,0,0,n/e,n/e,n/e,78,78,78
22.04.2022 01:00 - 22.04.2022 02:00,0,0,0,n/e,n/e,n/e,67,67,67
22.04.2022 02:00 - 22.04.2022 03:00,0,0,0,n/e,n/e,n/e,58,58,58
22.04.2022 03:00 - 22.04.2022 04:00,0,0,0,n/e,n/e,n/e,48,48,48
22.04.2022 04:00 - 22.04.2022 05:00,0,0,0,n/e,n/e,n/e,39,39,39
22.04.2022 05:00 - 22.04.2022 06:00,7,7,7,n/e,n/e,n/e,30,30,30
22.04.2022 06:00 - 22.04.2022 07:00,36,36,36,n/e,n/e,n/e,22,22,22
22.04.2022 07:00 - 22.04.2022 08:00,105,105,105,n/e,n/e,n/e,13,13,13
22.04.2022 08:00 - 22.04.2022 09:00,181,181,181,n/e,n/e,n/e,7,7,7
22.04.2022 09:00 - 22.04.2022 10:00,240,240,240,n/e,n/e,n/e,7,7,7
22.04.2022 10:00 - 22.04.2022 11:00,264,264,264,n/e,n/e,n/e,8,8,8
22.04.2022 11:00 - 22.04.2022 12:00,272,272,272,n/e,n/e,n/e,11,11,11
22.04.2022 12:00 - 22.04.2022 13:00,264,264,264,n/e,n/e,n/e,13,13,13
22.04.2022 13:00 - 22.04.2022 14:00,246,246,246,n/e,n/e,n/e,14,14,14
22.04.2022 14:00 - 22.04.2022 15:00,219,219,219,n/e,n/e,n/e,15,15,15
22.04.2022 15:00 - 22.04.2022 16:00,183,183,183,n/e,n/e,n/e,18,18,18
22.04.2022 16:00 - 22.04.2022 17:00,125,125,125,n/e,n/e,n/e,23,23,23
22.04.2022 17:00 - 22.04.2022 18:00,59,59,59,n/e,n/e,n/e,24,24,24
22.04.2022 18:00 - 22.04.2022 19:00,15,15,15,n/e,n/e,n/e,24,24,24
22.04.2022 19:00 - 22.04.2022 20:00,2,2,2,n/e,n/e,n/e,25,25,25
22.04.2022 20:00 - 22.04.2022 21:00,0,0,0,n/e,n/e,n/e,27,27,27
22.04.2022 21:00 - 22.04.2022 22:00,0,0,0,n/e,n/e,n/e,29,29,29
22.04.2022 22:00 - 22.04.2022 23:00,0,0,0,n/e,n/e,n/e,33,33,33
22.04.2022 23:00 - 23.04.2022 00:00,0,0,0,n/e,n/e,n/e,37,37,37
23.04.2022 00:00 - 23.04.2022 01:00,0,0,0,n/e,n/e,n/e,26,26,26
23.04.2022 01:00 - 23.04.2022 02:00,0,0,0,n/e,n/e,n/e,30,30,30
23.04.2022 02:00 - 23.04.2022 03:00,0,0,0,n/e,n/e,n/e,36,36,36
23.04.2022 03:00 - 23.04.2022 04:00,0,0,0,n/e,n/e,n/e,41,41,41
23.04.2022 04:00 - 23.04.2022 05:00,0,0,0,n/e,n/e,n/e,45,45,45
23.04.2022 05:00 - 23.04.2022 06:00,5,5,5,n/e,n/e,n/e,47,47,47
23.04.2022 06:00 - 23.04.2022 07:00,32,32,32,n/e,n/e,n/e,46,46,46
23.04.2022 07:00 - 23.04.2022 08:00,90,90,90,n/e,n/e,n/e,53,53,53
23.04.2022 08:00 - 23.04.2022 09:00,158,158,158,n/e,n/e,n/e,52,52,52
23.04.2022 09:00 - 23.04.2022 10:00,206,206,206,n/e,n/e,n/e,53,53,53
23.04.2022 10:00 - 23.04.2022 11:00,235,235,235,n/e,n/e,n/e,72,72,72
23.04.2022 11:00 - 23.04.2022 12:00,247,247,247,n/e,n/e,n/e,92,92,92
23.04.2022 12:00 - 23.04.2022 13:00,248,248,248,n/e,n/e,n/e,109,109,109
23.04.2022 13:00 - 23.04.2022 14:00,245,245,245,n/e,n/e,n/e,123,123,123
23.04.2022 14:00 - 23.04.2022 15:00,229,229,229,n/e,n/e,n/e,137,137,137
23.04.2022 15:00 - 23.04.2022 16:00,194,194,194,n/e,n/e,n/e,150,150,150
23.04.2022 16:00 - 23.04.2022 17:00,137,137,137,n/e,n/e,n/e,163,163,163
23.04.2022 17:00 - 23.04.2022 18:00,69,69,69,n/e,n/e,n/e,173,173,173
23.04.2022 18:00 - 23.04.2022 19:00,16,16,16,n/e,n/e,n/e,180,180,180
23.04.2022 19:00 - 23.04.2022 20:00,2,2,2,n/e,n/e,n/e,196,196,196
23.04.2022 20:00 - 23.04.2022 21:00,0,0,0,n/e,n/e,n/e,197,197,197
23.04.2022 21:00 - 23.04.2022 22:00,0,0,0,n/e,n/e,n/e,187,187,187
23.04.2022 22:00 - 23.04.2022 23:00,0,0,0,n/e,n/e,n/e,188,188,188
23.04.2022 23:00 - 24.04.2022 00:00,0,0,0,n/e,n/e,n/e,190,190,190
24.04.2022 00:00 - 24.04.2022 01:00,0,0,0,n/e,n/e,n/e,191,191,191
24.04.2022 01:00 - 24.04.2022 02:00,0,0,0,n/e,n/e,n/e,191,191,191
24.04.2022 02:00 - 24.04.2022 03:00,0,0,0,n/e,n/e,n/e,190,190,190
24.04.2022 03:00 - 24.04.2022 04:00,0,0,0,n/e,n/e,n/e,190,190,190
24.04.2022 04:00 - 24.04.2022 05:00,0,0,0,n/e,n/e,n/e,192,192,192
24.04.2022 05:00 - 24.04.2022 06:00,6,6,6,n/e,n/e,n/e,194,194,194
24.04.2022 06:00 - 24.04.2022 07:00,26,26,26,n/e,n/e,n/e,196,196,196
24.04.2022 07:00 - 24.04.2022 08:00,65,65,65,n/e,n/e,n/e,194,194,194
24.04.2022 08:00 - 24.04.2022 09:00,97,97,97,n/e,n/e,n/e,194,194,194
24.04.2022 09:00 - 24.04.2022 10:00,126,126,126,n/e,n/e,n/e,203,203,203
24.04.2022 10:00 - 24.04.2022 11:00,135,135,135,n/e,n/e,n/e,207,207,207
24.04.2022 11:00 - 24.04.2022 12:00,137,137,137,n/e,n/e,n/e,214,214,214
24.04.2022 12:00 - 24.04.2022 13:00,138,138,138,n/e,n/e,n/e,219,219,219
24.04.2022 13:00 - 24.04.2022 14:00,128,128,128,n/e,n/e,n/e,223,223,223
24.04.2022 14:00 - 24.04.2022 15:00,106,106,106,n/e,n/e,n/e,217,217,217
24.04.2022 15:00 - 24.04.2022 16:00,81,81,81,n/e,n/e,n/e,219,219,219
24.04.2022 16:00 - 24.04.2022 17:00,56,56,56,n/e,n/e,n/e,213,213,213
24.04.2022 17:00 - 24.04.2022 18:00,30,30,30,n/e,n/e,n/e,214,214,214
24.04.2022 18:00 - 24.04.2022 19:00,10,10,10,n/e,n/e,n/e,210,210,210
24.04.2022 19:00 - 24.04.2022 20:00,1,1,1,n/e,n/e,n/e,207,207,207
24.04.2022 20:00 - 24.04.2022 21:00,0,0,0,n/e,n/e,n/e,199,199,199
24.04.2022 21:00 - 24.04.2022 22:00,0,0,0,n/e,n/e,n/e,193,193,193
24.04.2022 22:00 - 24.04.2022 23:00,0,0,0,n/e,n/e,n/e,180,180,180
24.04.2022 23:00 - 25.04.2022 00:00,0,0,0,n/e,n/e,n/e,161,161,161
25.04.2022 00:00 - 25.04.2022 01:00,0,0,0,n/e,n/e,n/e,142,142,142
25.04.2022 01:00 - 25.04.2022 02:00,0,0,0,n/e,n/e,n/e,126,126,126
25.04.2022 02:00 - 25.04.2022 03:00,0,0,0,n/e,n/e,n/e,107,107,107
25.04.2022 03:00 - 25.04.2022 04:00,0,0,0,n/e,n/e,n/e,101,101,101
25.04.2022 04:00 - 25.04.2022 05:00,0,0,0,n/e,n/e,n/e,93,93,93
25.04.2022 05:00 - 25.04.2022 06:00,4,4,4,n/e,n/e,n/e,90,90,90
25.04.2022 06:00 - 25.04.2022 07:00,15,15,15,n/e,n/e,n/e,82,82,82
25.04.2022 07:00 - 25.04.2022 08:00,35,35,35,n/e,n/e,n/e,69,69,69
25.04.2022 08:00 - 25.04.2022 09:00,51,51,51,n/e,n/e,n/e,57,57,57
25.04.2022 09:00 - 25.04.2022 10:00,68,68,68,n/e,n/e,n/e,46,46,46
25.04.2022 10:00 - 25.04.2022 11:00,85,85,85,n/e,n/e,n/e,40,40,40
25.04.2022 11:00 - 25.04.2022 12:00,96,96,96,n/e,n/e,n/e,35,35,35
25.04.2022 12:00 - 25.04.2022 13:00,101,101,101,n/e,n/e,n/e,33,33,33
25.04.2022 13:00 - 25.04.2022 14:00,104,104,104,n/e,n/e,n/e,28,28,28
25.04.2022 14:00 - 25.04.2022 15:00,97,97,97,n/e,n/e,n/e,28,28,28
25.04.2022 15:00 - 25.04.2022 16:00,85,85,85,n/e,n/e,n/e,28,28,28
25.04.2022 16:00 - 25.04.2022 17:00,64,64,64,n/e,n/e,n/e,24,24,24
25.04.2022 17:00 - 25.04.2022 18:00,32,32,32,n/e,n/e,n/e,35,35,35
25.04.2022 18:00 - 25.04.2022 19:00,10,10,10,n/e,n/e,n/e,31,31,31
25.04.2022 19:00 - 25.04.2022 20:00,2,2,2,n/e,n/e,n/e,32,32,32
25.04.2022 20:00 - 25.04.2022 21:00,0,0,0,n/e,n/e,n/e,28,28,28
25.04.2022 21:00 - 25.04.2022 22:00,0,0,0,n/e,n/e,n/e,28,28,28
25.04.2022 22:00 - 25.04.2022 23:00,0,0,0,n/e,n/e,n/e,38,38,38
25.04.2022 23:00 - 26.04.2022 00:00,0,0,0,n/e,n/e,n/e,27,27,27
26.04.2022 00:00 - 26.04.2022 01:00,1,1,1,n/e,n/e,n/e,51,51,51
26.04.2022 01:00 - 26.04.2022 02:00,1,1,1,n/e,n/e,n/e,52,52,52
26.04.2022 02:00 - 26.04.2022 03:00,1,1,1,n/e,n/e,n/e,53,53,53
26.04.2022 03:00 - 26.04.2022 04:00,1,1,1,n/e,n/e,n/e,53,53,53
26.04.2022 04:00 - 26.04.2022 05:00,1,1,1,n/e,n/e,n/e,52,52,52
26.04.2022 05:00 - 26.04.2022 06:00,7,7,7,n/e,n/e,n/e,51,51,51
26.04.2022 06:00 - 26.04.2022 07:00,33,33,33,n/e,n/e,n/e,48,48,48
26.04.2022 07:00 - 26.04.2022 08:00,99,99,99,n/e,n/e,n/e,42,42,42
26.04.2022 08:00 - 26.04.2022 09:00,178,178,178,n/e,n/e,n/e,40,40,40
26.04.2022 09:00 - 26.04.2022 10:00,236,236,236,n/e,n/e,n/e,44,44,44
26.04.2022 10:00 - 26.04.2022 11:00,255,255,255,n/e,n/e,n/e,54,54,54
26.04.2022 11:00 - 26.04.2022 12:00,254,254,254,n/e,n/e,n/e,74,74,74
26.04.2022 12:00 - 26.04.2022 13:00,242,242,242,n/e,n/e,n/e,90,90,90
26.04.2022 13:00 - 26.04.2022 14:00,227,227,227,n/e,n/e,n/e,92,92,92
26.04.2022 14:00 - 26.04.2022 15:00,213,213,213,n/e,n/e,n/e,92,92,92
26.04.2022 15:00 - 26.04.2022 16:00,179,179,179,n/e,n/e,n/e,95,95,95
26.04.2022 16:00 - 26.04.2022 17:00,128,128,128,n/e,n/e,n/e,94,94,94
26.04.2022 17:00 - 26.04.2022 18:00,56,56,56,n/e,n/e,n/e,91,91,91
26.04.2022 18:00 - 26.04.2022 19:00,13,13,13,n/e,n/e,n/e,78,78,78
26.04.2022 19:00 - 26.04.2022 20:00,2,2,2,n/e,n/e,n/e,73,73,73
26.04.2022 20:00 - 26.04.2022 21:00,1,1,1,n/e,n/e,n/e,78,78,78
26.04.2022 21:00 - 26.04.2022 22:00,1,1,1,n/e,n/e,n/e,88,88,88
26.04.2022 22:00 - 26.04.2022 23:00,1,1,1,n/e,n/e,n/e,96,96,96
26.04.2022 23:00 - 27.04.2022 00:00,1,1,1,n/e,n/e,n/e,101,101,101
27.04.2022 00:00 - 27.04.2022 01:00,0,0,0,n/e,n/e,n/e,104,104,104
27.04.2022 01:00 - 27.04.2022 02:00,0,0,0,n/e,n/e,n/e,96,96,96
27.04.2022 02:00 - 27.04.2022 03:00,0,0,0,n/e,n/e,n/e,85,85,85
27.04.2022 03:00 - 27.04.2022 04:00,0,0,0,n/e,n/e,n/e,76,76,76
27.04.2022 04:00 - 27.04.2022 05:00,1,1,1,n/e,n/e,n/e,67,67,67
27.04.2022 05:00 - 27.04.2022 06:00,8,8,8,n/e,n/e,n/e,58,58,58
27.04.2022 06:00 - 27.04.2022 07:00,55,55,55,n/e,n/e,n/e,48,48,48
27.04.2022 07:00 - 27.04.2022 08:00,128,128,128,n/e,n/e,n/e,43,43,43
27.04.2022 08:00 - 27.04.2022 09:00,204,204,204,n/e,n/e,n/e,47,47,47
27.04.2022 09:00 - 27.04.2022 10:00,261,261,261,n/e,n/e,n/e,54,54,54
27.04.2022 10:00 - 27.04.2022 11:00,284,284,284,n/e,n/e,n/e,51,51,51
27.04.2022 11:00 - 27.04.2022 12:00,287,287,287,n/e,n/e,n/e,56,56,56
27.04.2022 12:00 - 27.04.2022 13:00,284,284,284,n/e,n/e,n/e,48,48,48
27.04.2022 13:00 - 27.04.2022 14:00,276,276,276,n/e,n/e,n/e,40,40,40
27.04.2022 14:00 - 27.04.2022 15:00,257,257,257,n/e,n/e,n/e,38,38,38
27.04.2022 15:00 - 27.04.2022 16:00,215,215,215,n/e,n/e,n/e,37,37,37
27.04.2022 16:00 - 27.04.2022 17:00,149,149,149,n/e,n/e,n/e,37,37,37
27.04.2022 17:00 - 27.04.2022 18:00,74,74,74,n/e,n/e,n/e,37,37,37
27.04.2022 18:00 - 27.04.2022 19:00,20,20,20,n/e,n/e,n/e,35,35,35
27.04.2022 19:00 - 27.04.2022 20:00,4,4,4,n/e,n/e,n/e,33,33,33
27.04.2022 20:00 - 27.04.2022 21:00,0,0,0,n/e,n/e,n/e,31,31,31
27.04.2022 21:00 - 27.04.2022 22:00,0,0,0,n/e,n/e,n/e,31,31,31
27.04.2022 22:00 - 27.04.2022 23:00,0,0,0,n/e,n/e,n/e,31,31,31
27.04.2022 23:00 - 28.04.2022 00:00,0,0,0,n/e,n/e,n/e,30,30,30
28.04.2022 00:00 - 28.04.2022 01:00,0,0,0,n/e,n/e,n/e,36,36,36
28.04.2022 01:00 - 28.04.2022 02:00,0,0,0,n/e,n/e,n/e,34,34,34
28.04.2022 02:00 - 28.04.2022 03:00,0,0,0,n/e,n/e,n/e,31,31,31
28.04.2022 03:00 - 28.04.2022 04:00,0,0,0,n/e,n/e,n/e,27,27,27
28.04.2022 04:00 - 28.04.2022 05:00,1,1,1,n/e,n/e,n/e,23,23,23
28.04.2022 05:00 - 28.04.2022 06:00,8,8,8,n/e,n/e,n/e,18,18,18
28.04.2022 06:00 - 28.04.2022 07:00,38,38,38,n/e,n/e,n/e,13,13,13
28.04.2022 07:00 - 28.04.2022 08:00,105,105,105,n/e,n/e,n/e,10,10,10
28.04.2022 08:00 - 28.04.2022 09:00,174,174,174,n/e,n/e,n/e,12,12,12
28.04.2022 09:00 - 28.04.2022 10:00,231,231,231,n/e,n/e,n/e,17,17,17
28.04.2022 10:00 - 28.04.2022 11:00,246,246,246,n/e,n/e,n/e,27,27,27
28.04.2022 11:00 - 28.04.2022 12:00,237,237,237,n/e,n/e,n/e,39,39,39
28.04.2022 12:00 - 28.04.2022 13:00,220,220,220,n/e,n/e,n/e,51,51,51
28.04.2022 13:00 - 28.04.2022 14:00,189,189,189,n/e,n/e,n/e,64,64,64
28.04.2022 14:00 - 28.04.2022 15:00,146,146,146,n/e,n/e,n/e,75,75,75
28.04.2022 15:00 - 28.04.2022 16:00,112,112,112,n/e,n/e,n/e,83,83,83
28.04.2022 16:00 - 28.04.2022 17:00,81,81,81,n/e,n/e,n/e,89,89,89
28.04.2022 17:00 - 28.04.2022 18:00,45,45,45,n/e,n/e,n/e,89,89,89
28.04.2022 18:00 - 28.04.2022 19:00,19,19,19,n/e,n/e,n/e,86,86,86
28.04.2022 19:00 - 28.04.2022 20:00,5,5,5,n/e,n/e,n/e,85,85,85
28.04.2022 20:00 - 28.04.2022 21:00,0,0,0,n/e,n/e,n/e,86,86,86
28.04.2022 21:00 - 28.04.2022 22:00,0,0,0,n/e,n/e,n/e,88,88,88
28.04.2022 22:00 - 28.04.2022 23:00,0,0,0,n/e,n/e,n/e,91,91,91
28.04.2022 23:00 - 29.04.2022 00:00,0,0,0,n/e,n/e,n/e,91,91,91
29.04.2022 00:00 - 29.04.2022 01:00,0,0,0,n/e,n/e,n/e,97,97,97
29.04.2022 01:00 - 29.04.2022 02:00,0,0,0,n/e,n/e,n/e,90,90,90
29.04.2022 02:00 - 29.04.2022 03:00,0,0,0,n/e,n/e,n/e,82,82,82
29.04.2022 03:00 - 29.04.2022 04:00,0,0,0,n/e,n/e,n/e,74,74,74
29.04.2022 04:00 - 29.04.2022 05:00,0,0,0,n/e,n/e,n/e,67,67,67
29.04.2022 05:00 - 29.04.2022 06:00,8,8,8,n/e,n/e,n/e,62,62,62
29.04.2022 06:00 - 29.04.2022 07:00,41,41,41,n/e,n/e,n/e,58,58,58
29.04.2022 07:00 - 29.04.2022 08:00,117,117,117,n/e,n/e,n/e,54,54,54
29.04.2022 08:00 - 29.04.2022 09:00,186,186,186,n/e,n/e,n/e,61,61,61
29.04.2022 09:00 - 29.04.2022 10:00,238,238,238,n/e,n/e,n/e,58,58,58
29.04.2022 10:00 - 29.04.2022 11:00,264,264,264,n/e,n/e,n/e,55,55,55
29.04.2022 11:00 - 29.04.2022 12:00,280,280,280,n/e,n/e,n/e,52,52,52
29.04.2022 12:00 - 29.04.2022 13:00,279,279,279,n/e,n/e,n/e,60,60,60
29.04.2022 13:00 - 29.04.2022 14:00,268,268,268,n/e,n/e,n/e,52,52,52
29.04.2022 14:00 - 29.04.2022 15:00,245,245,245,n/e,n/e,n/e,55,55,55
29.04.2022 15:00 - 29.04.2022 16:00,202,202,202,n/e,n/e,n/e,59,59,59
29.04.2022 16:00 - 29.04.2022 17:00,146,146,146,n/e,n/e,n/e,64,64,64
29.04.2022 17:00 - 29.04.2022 18:00,79,79,79,n/e,n/e,n/e,69,69,69
29.04.2022 18:00 - 29.04.2022 19:00,21,21,21,n/e,n/e,n/e,68,68,68
29.04.2022 19:00 - 29.04.2022 20:00,4,4,4,n/e,n/e,n/e,64,64,64
29.04.2022 20:00 - 29.04.2022 21:00,0,0,0,n/e,n/e,n/e,59,59,59
29.04.2022 21:00 - 29.04.2022 22:00,0,0,0,n/e,n/e,n/e,53,53,53
29.04.2022 22:00 - 29.04.2022 23:00,0,0,0,n/e,n/e,n/e,49,49,49
29.04.2022 23:00 - 30.04.2022 00:00,0,0,0,n/e,n/e,n/e,47,47,47
30.04.2022 00:00 - 30.04.2022 01:00,0,0,0,n/e,n/e,n/e,50,50,50
30.04.2022 01:00 - 30.04.2022 02:00,0,0,0,n/e,n/e,n/e,45,45,45
30.04.2022 02:00 - 30.04.2022 03:00,0,0,0,n/e,n/e,n/e,38,38,38
30.04.2022 03:00 - 30.04.2022 04:00,0,0,0,n/e,n/e,n/e,34,34,34
30.04.2022 04:00 - 30.04.2022 05:00,0,0,0,n/e,n/e,n/e,29,29,29
30.04.2022 05:00 - 30.04.2022 06:00,8,8,8,n/e,n/e,n/e,17,17,17
30.04.2022 06:00 - 30.04.2022 07:00,39,39,39,n/e,n/e,n/e,13,13,13
30.04.2022 07:00 - 30.04.2022 08:00,111,111,111,n/e,n/e,n/e,4,4,4
30.04.2022 08:00 - 30.04.2022 09:00,198,198,198,n/e,n/e,n/e,4,4,4
30.04.2022 09:00 - 30.04.2022 10:00,247,247,247,n/e,n/e,n/e,6,6,6
30.04.2022 10:00 - 30.04.2022 11:00,270,270,270,n/e,n/e,n/e,10,10,10
30.04.2022 11:00 - 30.04.2022 12:00,284,284,284,n/e,n/e,n/e,17,17,17
30.04.2022 12:00 - 30.04.2022 13:00,277,277,277,n/e,n/e,n/e,27,27,27
30.04.2022 13:00 - 30.04.2022 14:00,259,259,259,n/e,n/e,n/e,41,41,41
30.04.2022 14:00 - 30.04.2022 15:00,229,229,229,n/e,n/e,n/e,55,55,55
30.04.2022 15:00 - 30.04.2022 16:00,187,187,187,n/e,n/e,n/e,62,62,62
30.04.2022 16:00 - 30.04.2022 17:00,127,127,127,n/e,n/e,n/e,64,64,64
30.04.2022 17:00 - 30.04.2022 18:00,74,74,74,n/e,n/e,n/e,72,72,72
30.04.2022 18:00 - 30.04.2022 19:00,19,19,19,n/e,n/e,n/e,58,58,58
30.04.2022 19:00 - 30.04.2022 20:00,4,4,4,n/e,n/e,n/e,50,50,50
30.04.2022 20:00 - 30.04.2022 21:00,0,0,0,n/e,n/e,n/e,52,52,52
30.04.2022 21:00 - 30.04.2022 22:00,0,0,0,n/e,n/e,n/e,50,50,50
30.04.2022 22:00 - 30.04.2022 23:00,0,0,0,n/e,n/e,n/e,52,52,52
30.04.2022 23:00 - 01.05.2022 00:00,0,0,0,n/e,n/e,n/e,53,53,53
01.05.2022 00:00 - 01.05.2022 01:00,0,0,0,n/e,n/e,n/e,50,50,50
01.05.2022 01:00 - 01.05.2022 02:00,0,0,0,n/e,n/e,n/e,46,46,46
01.05.2022 02:00 - 01.05.2022 03:00,0,0,0,n/e,n/e,n/e,46,46,46
01.05.2022 03:00 - 01.05.2022 04:00,0,0,0,n/e,n/e,n/e,44,44,44
01.05.2022 04:00 - 01.05.2022 05:00,0,0,0,n/e,n/e,n/e,40,40,40
01.05.2022 05:00 - 01.05.2022 06:00,9,9,9,n/e,n/e,n/e,34,34,34
01.05.2022 06:00 - 01.05.2022 07:00,41,41,41,n/e,n/e,n/e,24,24,24
01.05.2022 07:00 - 01.05.2022 08:00,85,85,85,n/e,n/e,n/e,16,16,16
01.05.2022 08:00 - 01.05.2022 09:00,135,135,135,n/e,n/e,n/e,11,11,11
01.05.2022 09:00 - 01.05.2022 10:00,176,176,176,n/e,n/e,n/e,12,12,12
01.05.2022 10:00 - 01.05.2022 11:00,209,209,209,n/e,n/e,n/e,14,14,14
01.05.2022 11:00 - 01.05.2022 12:00,215,215,215,n/e,n/e,n/e,17,17,17
01.05.2022 12:00 - 01.05.2022 13:00,220,220,220,n/e,n/e,n/e,19,19,19
01.05.2022 13:00 - 01.05.2022 14:00,208,208,208,n/e,n/e,n/e,21,21,21
01.05.2022 14:00 - 01.05.2022 15:00,190,190,190,n/e,n/e,n/e,22,22,22
01.05.2022 15:00 - 01.05.2022 16:00,164,164,164,n/e,n/e,n/e,22,22,22
01.05.2022 16:00 - 01.05.2022 17:00,129,129,129,n/e,n/e,n/e,22,22,22
01.05.2022 17:00 - 01.05.2022 18:00,80,80,80,n/e,n/e,n/e,24,24,24
01.05.2022 18:00 - 01.05.2022 19:00,25,25,25,n/e,n/e,n/e,24,24,24
01.05.2022 19:00 - 01.05.2022 20:00,4,4,4,n/e,n/e,n/e,29,29,29
01.05.2022 20:00 - 01.05.2022 21:00,0,0,0,n/e,n/e,n/e,30,30,30
01.05.2022 21:00 - 01.05.2022 22:00,0,0,0,n/e,n/e,n/e,35,35,35
01.05.2022 22:00 - 01.05.2022 23:00,0,0,0,n/e,n/e,n/e,44,44,44
01.05.2022 23:00 - 02.05.2022 00:00,0,0,0,n/e,n/e,n/e,34,34,34
02.05.2022 00:00 - 02.05.2022 01:00,0,0,0,n/e,n/e,n/e,31,31,31
02.05.2022 01:00 - 02.05.2022 02:00,0,0,0,n/e,n/e,n/e,29,29,29
02.05.2022 02:00 - 02.05.2022 03:00,0,0,0,n/e,n/e,n/e,28,28,28
02.05.2022 03:00 - 02.05.2022 04:00,0,0,0,n/e,n/e,n/e,28,28,28
02.05.2022 04:00 - 02.05.2022 05:00,0,0,0,n/e,n/e,n/e,29,29,29
02.05.2022 05:00 - 02.05.2022 06:00,9,9,9,n/e,n/e,n/e,29,29,29
02.05.2022 06:00 - 02.05.2022 07:00,43,43,43,n/e,n/e,n/e,43,43,43
02.05.2022 07:00 - 02.05.2022 08:00,106,106,106,n/e,n/e,n/e,42,42,42
02.05.2022 08:00 - 02.05.2022 09:00,176,176,176,n/e,n/e,n/e,43,43,43
02.05.2022 09:00 - 02.05.2022 10:00,223,223,223,n/e,n/e,n/e,69,69,69
02.05.2022 10:00 - 02.05.2022 11:00,228,228,228,n/e,n/e,n/e,86,86,86
02.05.2022 11:00 - 02.05.2022 12:00,221,221,221,n/e,n/e,n/e,121,121,121
02.05.2022 12:00 - 02.05.2022 13:00,217,217,217,n/e,n/e,n/e,156,156,156
02.05.2022 13:00 - 02.05.2022 14:00,171,171,171,n/e,n/e,n/e,182,182,182
02.05.2022 14:00 - 02.05.2022 15:00,153,153,153,n/e,n/e,n/e,199,199,199
02.05.2022 15:00 - 02.05.2022 16:00,133,133,133,n/e,n/e,n/e,209,209,209
