MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Estonia (EE),Generation - Solar  [MW] Day Ahead/ Estonia (EE),Generation - Solar  [MW] Day Ahead/ Estonia (EE),Generation - Wind Offshore  [MW] Day Ahead/ Estonia (EE),Generation - Wind Offshore  [MW] Intraday / Estonia (EE),Generation - Wind Offshore  [MW] Current / Estonia (EE),Generation - Wind Onshore  [MW] Day Ahead/ Estonia (EE),Generation - Wind Onshore  [MW] Day Ahead/ Estonia (EE),Generation - Wind Onshore  [MW] Day Ahead/ Estonia (EE)
03.01.2022 12:00 - 03.01.2022 13:00,2,2,2,n/e,n/e,n/e,17,17,17
03.01.2022 13:00 - 03.01.2022 14:00,1,1,1,n/e,n/e,n/e,18,18,18
03.01.2022 14:00 - 03.01.2022 15:00,0,0,0,n/e,n/e,n/e,19,19,19
03.01.2022 15:00 - 03.01.2022 16:00,0,0,0,n/e,n/e,n/e,22,22,22
03.01.2022 16:00 - 03.01.2022 17:00,0,0,0,n/e,n/e,n/e,27,27,27
03.01.2022 17:00 - 03.01.2022 18:00,0,0,0,n/e,n/e,n/e,29,29,29
03.01.2022 18:00 - 03.01.2022 19:00,0,0,0,n/e,n/e,n/e,30,30,30
03.01.2022 19:00 - 03.01.2022 20:00,0,0,0,n/e,n/e,n/e,31,31,31
03.01.2022 20:00 - 03.01.2022 21:00,0,0,0,n/e,n/e,n/e,32,32,32
03.01.2022 21:00 - 03.01.2022 22:00,0,0,0,n/e,n/e,n/e,36,36,36
03.01.2022 22:00 - 03.01.2022 23:00,0,0,0,n/e,n/e,n/e,42,42,42
03.01.2022 23:00 - 04.01.2022 00:00,0,0,0,n/e,n/e,n/e,39,39,39
04.01.2022 00:00 - 04.01.2022 01:00,0,0,0,n/e,n/e,n/e,46,46,46
04.01.2022 01:00 - 04.01.2022 02:00,0,0,0,n/e,n/e,n/e,49,49,49
04.01.2022 02:00 - 04.01.2022 03:00,0,0,0,n/e,n/e,n/e,52,52,52
04.01.2022 03:00 - 04.01.2022 04:00,0,0,0,n/e,n/e,n/e,58,58,58
04.01.2022 04:00 - 04.01.2022 05:00,0,0,0,n/e,n/e,n/e,65,65,65
04.01.2022 05:00 - 04.01.2022 06:00,0,0,0,n/e,n/e,n/e,77,77,77
04.01.2022 06:00 - 04.01.2022 07:00,0,0,0,n/e,n/e,n/e,91,91,91
04.01.2022 07:00 - 04.01.2022 08:00,0,0,0,n/e,n/e,n/e,101,101,101
04.01.2022 08:00 - 04.01.2022 09:00,0,0,0,n/e,n/e,n/e,107,107,107
04.01.2022 09:00 - 04.01.2022 10:00,1,1,1,n/e,n/e,n/e,104,104,104
04.01.2022 10:00 - 04.01.2022 11:00,2,2,2,n/e,n/e,n/e,97,97,97
04.01.2022 11:00 - 04.01.2022 12:00,3,3,3,n/e,n/e,n/e,89,89,89
04.01.2022 12:00 - 04.01.2022 13:00,2,2,2,n/e,n/e,n/e,78,78,78
04.01.2022 13:00 - 04.01.2022 14:00,1,1,1,n/e,n/e,n/e,69,69,69
04.01.2022 14:00 - 04.01.2022 15:00,0,0,0,n/e,n/e,n/e,61,61,61
04.01.2022 15:00 - 04.01.2022 16:00,0,0,0,n/e,n/e,n/e,58,58,58
04.01.2022 16:00 - 04.01.2022 17:00,0,0,0,n/e,n/e,n/e,57,57,57
04.01.2022 17:00 - 04.01.2022 18:00,0,0,0,n/e,n/e,n/e,56,56,56
04.01.2022 18:00 - 04.01.2022 19:00,0,0,0,n/e,n/e,n/e,52,52,52
04.01.2022 19:00 - 04.01.2022 20:00,0,0,0,n/e,n/e,n/e,48,48,48
04.01.2022 20:00 - 04.01.2022 21:00,0,0,0,n/e,n/e,n/e,44,44,44
04.01.2022 21:00 - 04.01.2022 22:00,0,0,0,n/e,n/e,n/e,42,42,42
04.01.2022 22:00 - 04.01.2022 23:00,0,0,0,n/e,n/e,n/e,41,41,41
04.01.2022 23:00 - 05.01.2022 00:00,0,0,0,n/e,n/e,n/e,30,30,30
05.01.2022 00:00 - 05.01.2022 01:00,0,0,0,n/e,n/e,n/e,22,22,22
05.01.2022 01:00 - 05.01.2022 02:00,0,0,0,n/e,n/e,n/e,21,21,21
05.01.2022 02:00 - 05.01.2022 03:00,0,0,0,n/e,n/e,n/e,19,19,19
05.01.2022 03:00 - 05.01.2022 04:00,0,0,0,n/e,n/e,n/e,20,20,20
05.01.2022 04:00 - 05.01.2022 05:00,0,0,0,n/e,n/e,n/e,20,20,20
05.01.2022 05:00 - 05.01.2022 06:00,0,0,0,n/e,n/e,n/e,21,21,21
05.01.2022 06:00 - 05.01.2022 07:00,0,0,0,n/e,n/e,n/e,24,24,24
05.01.2022 07:00 - 05.01.2022 08:00,0,0,0,n/e,n/e,n/e,26,26,26
05.01.2022 08:00 - 05.01.2022 09:00,0,0,0,n/e,n/e,n/e,30,30,30
05.01.2022 09:00 - 05.01.2022 10:00,1,1,1,n/e,n/e,n/e,36,36,36
05.01.2022 10:00 - 05.01.2022 11:00,4,4,4,n/e,n/e,n/e,40,40,40
05.01.2022 11:00 - 05.01.2022 12:00,4,4,4,n/e,n/e,n/e,44,44,44
05.01.2022 12:00 - 05.01.2022 13:00,4,4,4,n/e,n/e,n/e,46,46,46
05.01.2022 13:00 - 05.01.2022 14:00,1,1,1,n/e,n/e,n/e,48,48,48
05.01.2022 14:00 - 05.01.2022 15:00,0,0,0,n/e,n/e,n/e,51,51,51
05.01.2022 15:00 - 05.01.2022 16:00,0,0,0,n/e,n/e,n/e,53,53,53
05.01.2022 16:00 - 05.01.2022 17:00,0,0,0,n/e,n/e,n/e,59,59,59
05.01.2022 17:00 - 05.01.2022 18:00,0,0,0,n/e,n/e,n/e,59,59,59
05.01.2022 18:00 - 05.01.2022 19:00,0,0,0,n/e,n/e,n/e,58,58,58
05.01.2022 19:00 - 05.01.2022 20:00,0,0,0,n/e,n/e,n/e,55,55,55
05.01.2022 20:00 - 05.01.2022 21:00,0,0,0,n/e,n/e,n/e,46,46,46
05.01.2022 21:00 - 05.01.2022 22:00,0,0,0,n/e,n/e,n/e,38,38,38
05.01.2022 22:00 - 05.01.2022 23:00,0,0,0,n/e,n/e,n/e,34,34,34
05.01.2022 23:00 - 06.01.2022 00:00,0,0,0,n/e,n/e,n/e,49,49,49
06.01.2022 00:00 - 06.01.2022 01:00,0,0,0,n/e,n/e,n/e,50,50,50
06.01.2022 01:00 - 06.01.2022 02:00,0,0,0,n/e,n/e,n/e,55,55,55
06.01.2022 02:00 - 06.01.2022 03:00,0,0,0,n/e,n/e,n/e,60,60,60
06.01.2022 03:00 - 06.01.2022 04:00,0,0,0,n/e,n/e,n/e,71,71,71
06.01.2022 04:00 - 06.01.2022 05:00,0,0,0,n/e,n/e,n/e,82,82,82
06.01.2022 05:00 - 06.01.2022 06:00,0,0,0,n/e,n/e,n/e,99,99,99
06.01.2022 06:00 - 06.01.2022 07:00,0,0,0,n/e,n/e,n/e,115,115,115
06.01.2022 07:00 - 06.01.2022 08:00,0,0,0,n/e,n/e,n/e,123,123,123
06.01.2022 08:00 - 06.01.2022 09:00,0,0,0,n/e,n/e,n/e,130,130,130
06.01.2022 09:00 - 06.01.2022 10:00,1,1,1,n/e,n/e,n/e,143,143,143
06.01.2022 10:00 - 06.01.2022 11:00,1,1,1,n/e,n/e,n/e,156,156,156
06.01.2022 11:00 - 06.01.2022 12:00,1,1,1,n/e,n/e,n/e,161,161,161
06.01.2022 12:00 - 06.01.2022 13:00,1,1,1,n/e,n/e,n/e,156,156,156
06.01.2022 13:00 - 06.01.2022 14:00,0,0,0,n/e,n/e,n/e,151,151,151
06.01.2022 14:00 - 06.01.2022 15:00,0,0,0,n/e,n/e,n/e,142,142,142
06.01.2022 15:00 - 06.01.2022 16:00,0,0,0,n/e,n/e,n/e,132,132,132
06.01.2022 16:00 - 06.01.2022 17:00,0,0,0,n/e,n/e,n/e,126,126,126
06.01.2022 17:00 - 06.01.2022 18:00,0,0,0,n/e,n/e,n/e,115,115,115
06.01.2022 18:00 - 06.01.2022 19:00,0,0,0,n/e,n/e,n/e,101,101,101
06.01.2022 19:00 - 06.01.2022 20:00,0,0,0,n/e,n/e,n/e,90,90,90
06.01.2022 20:00 - 06.01.2022 21:00,0,0,0,n/e,n/e,n/e,87,87,87
06.01.2022 21:00 - 06.01.2022 22:00,0,0,0,n/e,n/e,n/e,96,96,96
06.01.2022 22:00 - 06.01.2022 23:00,0,0,0,n/e,n/e,n/e,111,111,111
06.01.2022 23:00 - 07.01.2022 00:00,0,0,0,n/e,n/e,n/e,138,138,138
07.01.2022 00:00 - 07.01.2022 01:00,0,0,0,n/e,n/e,n/e,177,177,177
07.01.2022 01:00 - 07.01.2022 02:00,0,0,0,n/e,n/e,n/e,183,183,183
07.01.2022 02:00 - 07.01.2022 03:00,0,0,0,n/e,n/e,n/e,188,188,188
07.01.2022 03:00 - 07.01.2022 04:00,0,0,0,n/e,n/e,n/e,186,186,186
07.01.2022 04:00 - 07.01.2022 05:00,0,0,0,n/e,n/e,n/e,176,176,176
07.01.2022 05:00 - 07.01.2022 06:00,0,0,0,n/e,n/e,n/e,166,166,166
07.01.2022 06:00 - 07.01.2022 07:00,0,0,0,n/e,n/e,n/e,154,154,154
07.01.2022 07:00 - 07.01.2022 08:00,0,0,0,n/e,n/e,n/e,149,149,149
07.01.2022 08:00 - 07.01.2022 09:00,1,1,1,n/e,n/e,n/e,146,146,146
07.01.2022 09:00 - 07.01.2022 10:00,1,1,1,n/e,n/e,n/e,141,141,141
07.01.2022 10:00 - 07.01.2022 11:00,3,3,3,n/e,n/e,n/e,132,132,132
07.01.2022 11:00 - 07.01.2022 12:00,3,3,3,n/e,n/e,n/e,118,118,118
07.01.2022 12:00 - 07.01.2022 13:00,3,3,3,n/e,n/e,n/e,102,102,102
07.01.2022 13:00 - 07.01.2022 14:00,2,2,2,n/e,n/e,n/e,84,84,84
07.01.2022 14:00 - 07.01.2022 15:00,0,0,0,n/e,n/e,n/e,70,70,70
07.01.2022 15:00 - 07.01.2022 16:00,0,0,0,n/e,n/e,n/e,56,56,56
07.01.2022 16:00 - 07.01.2022 17:00,0,0,0,n/e,n/e,n/e,42,42,42
07.01.2022 17:00 - 07.01.2022 18:00,0,0,0,n/e,n/e,n/e,32,32,32
07.01.2022 18:00 - 07.01.2022 19:00,0,0,0,n/e,n/e,n/e,24,24,24
07.01.2022 19:00 - 07.01.2022 20:00,0,0,0,n/e,n/e,n/e,17,17,17
07.01.2022 20:00 - 07.01.2022 21:00,0,0,0,n/e,n/e,n/e,13,13,13
07.01.2022 21:00 - 07.01.2022 22:00,0,0,0,n/e,n/e,n/e,13,13,13
07.01.2022 22:00 - 07.01.2022 23:00,0,0,0,n/e,n/e,n/e,14,14,14
07.01.2022 23:00 - 08.01.2022 00:00,0,0,0,n/e,n/e,n/e,17,17,17
08.01.2022 00:00 - 08.01.2022 01:00,0,0,0,n/e,n/e,n/e,14,14,14
