MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Czech Republic (CZ),Generation - Solar  [MW] Intraday / Czech Republic (CZ),Generation - Solar  [MW] Day Ahead/ Czech Republic (CZ),Generation - Wind Offshore  [MW] Day Ahead/ Czech Republic (CZ),Generation - Wind Offshore  [MW] Intraday / Czech Republic (CZ),Generation - Wind Offshore  [MW] Current / Czech Republic (CZ),Generation - Wind Onshore  [MW] Day Ahead/ Czech Republic (CZ),Generation - Wind Onshore  [MW] Intraday / Czech Republic (CZ),Generation - Wind Onshore  [MW] Current / Czech Republic (CZ)
31.03.2022 04:00 - 31.03.2022 05:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
31.03.2022 05:00 - 31.03.2022 06:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
31.03.2022 06:00 - 31.03.2022 07:00,1,1,1,n/e,n/e,n/e,n/e,n/e,n/e
31.03.2022 07:00 - 31.03.2022 08:00,32,32,32,n/e,n/e,n/e,n/e,n/e,n/e
31.03.2022 08:00 - 31.03.2022 09:00,107,107,107,n/e,n/e,n/e,n/e,n/e,n/e
31.03.2022 09:00 - 31.03.2022 10:00,199,199,199,n/e,n/e,n/e,n/e,n/e,n/e
31.03.2022 10:00 - 31.03.2022 11:00,261,261,261,n/e,n/e,n/e,n/e,n/e,n/e
31.03.2022 11:00 - 31.03.2022 12:00,304,304,304,n/e,n/e,n/e,n/e,n/e,n/e
31.03.2022 12:00 - 31.03.2022 13:00,289,289,289,n/e,n/e,n/e,n/e,n/e,n/e
31.03.2022 13:00 - 31.03.2022 14:00,269,269,269,n/e,n/e,n/e,n/e,n/e,n/e
31.03.2022 14:00 - 31.03.2022 15:00,207,207,207,n/e,n/e,n/e,n/e,n/e,n/e
31.03.2022 15:00 - 31.03.2022 16:00,165,165,165,n/e,n/e,n/e,n/e,n/e,n/e
31.03.2022 16:00 - 31.03.2022 17:00,110,110,110,n/e,n/e,n/e,n/e,n/e,n/e
31.03.2022 17:00 - 31.03.2022 18:00,50,50,50,n/e,n/e,n/e,n/e,n/e,n/e
31.03.2022 18:00 - 31.03.2022 19:00,16,16,16,n/e,n/e,n/e,n/e,n/e,n/e
31.03.2022 19:00 - 31.03.2022 20:00,1,1,1,n/e,n/e,n/e,n/e,n/e,n/e
31.03.2022 20:00 - 31.03.2022 21:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
31.03.2022 21:00 - 31.03.2022 22:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
31.03.2022 22:00 - 31.03.2022 23:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
31.03.2022 23:00 - 01.04.2022 00:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
01.04.2022 00:00 - 01.04.2022 01:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
01.04.2022 01:00 - 01.04.2022 02:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
01.04.2022 02:00 - 01.04.2022 03:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
01.04.2022 03:00 - 01.04.2022 04:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
01.04.2022 04:00 - 01.04.2022 05:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
01.04.2022 05:00 - 01.04.2022 06:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
01.04.2022 06:00 - 01.04.2022 07:00,1,1,1,n/e,n/e,n/e,n/e,n/e,n/e
01.04.2022 07:00 - 01.04.2022 08:00,26,26,26,n/e,n/e,n/e,n/e,n/e,n/e
01.04.2022 08:00 - 01.04.2022 09:00,90,90,90,n/e,n/e,n/e,n/e,n/e,n/e
01.04.2022 09:00 - 01.04.2022 10:00,169,169,169,n/e,n/e,n/e,n/e,n/e,n/e
01.04.2022 10:00 - 01.04.2022 11:00,256,256,256,n/e,n/e,n/e,n/e,n/e,n/e
01.04.2022 11:00 - 01.04.2022 12:00,326,326,326,n/e,n/e,n/e,n/e,n/e,n/e
01.04.2022 12:00 - 01.04.2022 13:00,341,341,341,n/e,n/e,n/e,n/e,n/e,n/e
01.04.2022 13:00 - 01.04.2022 14:00,327,327,327,n/e,n/e,n/e,n/e,n/e,n/e
01.04.2022 14:00 - 01.04.2022 15:00,281,281,281,n/e,n/e,n/e,n/e,n/e,n/e
01.04.2022 15:00 - 01.04.2022 16:00,216,216,216,n/e,n/e,n/e,n/e,n/e,n/e
01.04.2022 16:00 - 01.04.2022 17:00,159,159,159,n/e,n/e,n/e,n/e,n/e,n/e
01.04.2022 17:00 - 01.04.2022 18:00,76,76,76,n/e,n/e,n/e,n/e,n/e,n/e
01.04.2022 18:00 - 01.04.2022 19:00,22,22,22,n/e,n/e,n/e,n/e,n/e,n/e
01.04.2022 19:00 - 01.04.2022 20:00,1,1,1,n/e,n/e,n/e,n/e,n/e,n/e
01.04.2022 20:00 - 01.04.2022 21:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
01.04.2022 21:00 - 01.04.2022 22:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
01.04.2022 22:00 - 01.04.2022 23:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
01.04.2022 23:00 - 02.04.2022 00:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
02.04.2022 00:00 - 02.04.2022 01:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
02.04.2022 01:00 - 02.04.2022 02:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
02.04.2022 02:00 - 02.04.2022 03:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
02.04.2022 03:00 - 02.04.2022 04:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
02.04.2022 04:00 - 02.04.2022 05:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
02.04.2022 05:00 - 02.04.2022 06:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
02.04.2022 06:00 - 02.04.2022 07:00,1,1,1,n/e,n/e,n/e,n/e,n/e,n/e
02.04.2022 07:00 - 02.04.2022 08:00,43,43,43,n/e,n/e,n/e,n/e,n/e,n/e
02.04.2022 08:00 - 02.04.2022 09:00,141,141,141,n/e,n/e,n/e,n/e,n/e,n/e
02.04.2022 09:00 - 02.04.2022 10:00,254,254,254,n/e,n/e,n/e,n/e,n/e,n/e
02.04.2022 10:00 - 02.04.2022 11:00,358,358,358,n/e,n/e,n/e,n/e,n/e,n/e
02.04.2022 11:00 - 02.04.2022 12:00,440,440,440,n/e,n/e,n/e,n/e,n/e,n/e
02.04.2022 12:00 - 02.04.2022 13:00,455,455,455,n/e,n/e,n/e,n/e,n/e,n/e
02.04.2022 13:00 - 02.04.2022 14:00,423,423,423,n/e,n/e,n/e,n/e,n/e,n/e
02.04.2022 14:00 - 02.04.2022 15:00,375,375,375,n/e,n/e,n/e,n/e,n/e,n/e
02.04.2022 15:00 - 02.04.2022 16:00,305,305,305,n/e,n/e,n/e,n/e,n/e,n/e
02.04.2022 16:00 - 02.04.2022 17:00,209,209,209,n/e,n/e,n/e,n/e,n/e,n/e
02.04.2022 17:00 - 02.04.2022 18:00,109,109,109,n/e,n/e,n/e,n/e,n/e,n/e
02.04.2022 18:00 - 02.04.2022 19:00,34,34,34,n/e,n/e,n/e,n/e,n/e,n/e
02.04.2022 19:00 - 02.04.2022 20:00,3,3,3,n/e,n/e,n/e,n/e,n/e,n/e
02.04.2022 20:00 - 02.04.2022 21:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
02.04.2022 21:00 - 02.04.2022 22:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
02.04.2022 22:00 - 02.04.2022 23:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
02.04.2022 23:00 - 03.04.2022 00:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
03.04.2022 00:00 - 03.04.2022 01:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
03.04.2022 01:00 - 03.04.2022 02:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
03.04.2022 02:00 - 03.04.2022 03:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
03.04.2022 03:00 - 03.04.2022 04:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
03.04.2022 04:00 - 03.04.2022 05:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
03.04.2022 05:00 - 03.04.2022 06:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
03.04.2022 06:00 - 03.04.2022 07:00,2,2,2,n/e,n/e,n/e,n/e,n/e,n/e
03.04.2022 07:00 - 03.04.2022 08:00,96,96,96,n/e,n/e,n/e,n/e,n/e,n/e
03.04.2022 08:00 - 03.04.2022 09:00,302,302,302,n/e,n/e,n/e,n/e,n/e,n/e
03.04.2022 09:00 - 03.04.2022 10:00,545,545,545,n/e,n/e,n/e,n/e,n/e,n/e
03.04.2022 10:00 - 03.04.2022 11:00,766,766,766,n/e,n/e,n/e,n/e,n/e,n/e
03.04.2022 11:00 - 03.04.2022 12:00,928,928,928,n/e,n/e,n/e,n/e,n/e,n/e
03.04.2022 12:00 - 03.04.2022 13:00,1004,1004,1004,n/e,n/e,n/e,n/e,n/e,n/e
03.04.2022 13:00 - 03.04.2022 14:00,894,894,894,n/e,n/e,n/e,n/e,n/e,n/e
03.04.2022 14:00 - 03.04.2022 15:00,763,763,763,n/e,n/e,n/e,n/e,n/e,n/e
03.04.2022 15:00 - 03.04.2022 16:00,586,586,586,n/e,n/e,n/e,n/e,n/e,n/e
03.04.2022 16:00 - 03.04.2022 17:00,410,410,410,n/e,n/e,n/e,n/e,n/e,n/e
03.04.2022 17:00 - 03.04.2022 18:00,229,229,229,n/e,n/e,n/e,n/e,n/e,n/e
03.04.2022 18:00 - 03.04.2022 19:00,86,86,86,n/e,n/e,n/e,n/e,n/e,n/e
03.04.2022 19:00 - 03.04.2022 20:00,5,5,5,n/e,n/e,n/e,n/e,n/e,n/e
03.04.2022 20:00 - 03.04.2022 21:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
03.04.2022 21:00 - 03.04.2022 22:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
03.04.2022 22:00 - 03.04.2022 23:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
03.04.2022 23:00 - 04.04.2022 00:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
04.04.2022 00:00 - 04.04.2022 01:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
04.04.2022 01:00 - 04.04.2022 02:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
04.04.2022 02:00 - 04.04.2022 03:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
04.04.2022 03:00 - 04.04.2022 04:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
04.04.2022 04:00 - 04.04.2022 05:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
04.04.2022 05:00 - 04.04.2022 06:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
04.04.2022 06:00 - 04.04.2022 07:00,2,2,2,n/e,n/e,n/e,n/e,n/e,n/e
04.04.2022 07:00 - 04.04.2022 08:00,145,145,145,n/e,n/e,n/e,n/e,n/e,n/e
04.04.2022 08:00 - 04.04.2022 09:00,501,501,501,n/e,n/e,n/e,n/e,n/e,n/e
04.04.2022 09:00 - 04.04.2022 10:00,877,877,877,n/e,n/e,n/e,n/e,n/e,n/e
04.04.2022 10:00 - 04.04.2022 11:00,1130,1130,1130,n/e,n/e,n/e,n/e,n/e,n/e
04.04.2022 11:00 - 04.04.2022 12:00,1257,1257,1257,n/e,n/e,n/e,n/e,n/e,n/e
04.04.2022 12:00 - 04.04.2022 13:00,1318,1318,1318,n/e,n/e,n/e,n/e,n/e,n/e
04.04.2022 13:00 - 04.04.2022 14:00,1521,1521,1521,n/e,n/e,n/e,n/e,n/e,n/e
04.04.2022 14:00 - 04.04.2022 15:00,1364,1364,1364,n/e,n/e,n/e,n/e,n/e,n/e
04.04.2022 15:00 - 04.04.2022 16:00,1198,1198,1198,n/e,n/e,n/e,n/e,n/e,n/e
04.04.2022 16:00 - 04.04.2022 17:00,922,922,922,n/e,n/e,n/e,n/e,n/e,n/e
04.04.2022 17:00 - 04.04.2022 18:00,519,519,519,n/e,n/e,n/e,n/e,n/e,n/e
04.04.2022 18:00 - 04.04.2022 19:00,143,143,143,n/e,n/e,n/e,n/e,n/e,n/e
04.04.2022 19:00 - 04.04.2022 20:00,5,5,5,n/e,n/e,n/e,n/e,n/e,n/e
04.04.2022 20:00 - 04.04.2022 21:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
04.04.2022 21:00 - 04.04.2022 22:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
04.04.2022 22:00 - 04.04.2022 23:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
04.04.2022 23:00 - 05.04.2022 00:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
05.04.2022 00:00 - 05.04.2022 01:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
05.04.2022 01:00 - 05.04.2022 02:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
05.04.2022 02:00 - 05.04.2022 03:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
05.04.2022 03:00 - 05.04.2022 04:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
05.04.2022 04:00 - 05.04.2022 05:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
05.04.2022 05:00 - 05.04.2022 06:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
05.04.2022 06:00 - 05.04.2022 07:00,2,2,2,n/e,n/e,n/e,n/e,n/e,n/e
05.04.2022 07:00 - 05.04.2022 08:00,20,20,20,n/e,n/e,n/e,n/e,n/e,n/e
05.04.2022 08:00 - 05.04.2022 09:00,75,75,75,n/e,n/e,n/e,n/e,n/e,n/e
05.04.2022 09:00 - 05.04.2022 10:00,166,166,166,n/e,n/e,n/e,n/e,n/e,n/e
05.04.2022 10:00 - 05.04.2022 11:00,255,255,255,n/e,n/e,n/e,n/e,n/e,n/e
05.04.2022 11:00 - 05.04.2022 12:00,346,346,346,n/e,n/e,n/e,n/e,n/e,n/e
05.04.2022 12:00 - 05.04.2022 13:00,424,424,424,n/e,n/e,n/e,n/e,n/e,n/e
05.04.2022 13:00 - 05.04.2022 14:00,506,506,506,n/e,n/e,n/e,n/e,n/e,n/e
05.04.2022 14:00 - 05.04.2022 15:00,495,495,495,n/e,n/e,n/e,n/e,n/e,n/e
05.04.2022 15:00 - 05.04.2022 16:00,342,342,342,n/e,n/e,n/e,n/e,n/e,n/e
05.04.2022 16:00 - 05.04.2022 17:00,253,253,253,n/e,n/e,n/e,n/e,n/e,n/e
05.04.2022 17:00 - 05.04.2022 18:00,145,145,145,n/e,n/e,n/e,n/e,n/e,n/e
05.04.2022 18:00 - 05.04.2022 19:00,55,55,55,n/e,n/e,n/e,n/e,n/e,n/e
05.04.2022 19:00 - 05.04.2022 20:00,4,4,4,n/e,n/e,n/e,n/e,n/e,n/e
05.04.2022 20:00 - 05.04.2022 21:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
05.04.2022 21:00 - 05.04.2022 22:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
05.04.2022 22:00 - 05.04.2022 23:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
05.04.2022 23:00 - 06.04.2022 00:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
06.04.2022 00:00 - 06.04.2022 01:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
06.04.2022 01:00 - 06.04.2022 02:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
06.04.2022 02:00 - 06.04.2022 03:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
06.04.2022 03:00 - 06.04.2022 04:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
06.04.2022 04:00 - 06.04.2022 05:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
06.04.2022 05:00 - 06.04.2022 06:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
06.04.2022 06:00 - 06.04.2022 07:00,4,4,4,n/e,n/e,n/e,n/e,n/e,n/e
06.04.2022 07:00 - 06.04.2022 08:00,66,66,66,n/e,n/e,n/e,n/e,n/e,n/e
06.04.2022 08:00 - 06.04.2022 09:00,192,192,192,n/e,n/e,n/e,n/e,n/e,n/e
06.04.2022 09:00 - 06.04.2022 10:00,355,355,355,n/e,n/e,n/e,n/e,n/e,n/e
06.04.2022 10:00 - 06.04.2022 11:00,524,524,524,n/e,n/e,n/e,n/e,n/e,n/e
06.04.2022 11:00 - 06.04.2022 12:00,646,646,646,n/e,n/e,n/e,n/e,n/e,n/e
06.04.2022 12:00 - 06.04.2022 13:00,736,736,736,n/e,n/e,n/e,n/e,n/e,n/e
06.04.2022 13:00 - 06.04.2022 14:00,747,747,747,n/e,n/e,n/e,n/e,n/e,n/e
06.04.2022 14:00 - 06.04.2022 15:00,698,698,698,n/e,n/e,n/e,n/e,n/e,n/e
06.04.2022 15:00 - 06.04.2022 16:00,666,666,666,n/e,n/e,n/e,n/e,n/e,n/e
06.04.2022 16:00 - 06.04.2022 17:00,553,553,553,n/e,n/e,n/e,n/e,n/e,n/e
06.04.2022 17:00 - 06.04.2022 18:00,362,362,362,n/e,n/e,n/e,n/e,n/e,n/e
06.04.2022 18:00 - 06.04.2022 19:00,127,127,127,n/e,n/e,n/e,n/e,n/e,n/e
06.04.2022 19:00 - 06.04.2022 20:00,9,9,9,n/e,n/e,n/e,n/e,n/e,n/e
06.04.2022 20:00 - 06.04.2022 21:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
06.04.2022 21:00 - 06.04.2022 22:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
06.04.2022 22:00 - 06.04.2022 23:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
06.04.2022 23:00 - 07.04.2022 00:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
07.04.2022 00:00 - 07.04.2022 01:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
07.04.2022 01:00 - 07.04.2022 02:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
07.04.2022 02:00 - 07.04.2022 03:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
07.04.2022 03:00 - 07.04.2022 04:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
07.04.2022 04:00 - 07.04.2022 05:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
07.04.2022 05:00 - 07.04.2022 06:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
07.04.2022 06:00 - 07.04.2022 07:00,5,5,5,n/e,n/e,n/e,n/e,n/e,n/e
07.04.2022 07:00 - 07.04.2022 08:00,103,103,103,n/e,n/e,n/e,n/e,n/e,n/e
07.04.2022 08:00 - 07.04.2022 09:00,331,331,331,n/e,n/e,n/e,n/e,n/e,n/e
07.04.2022 09:00 - 07.04.2022 10:00,612,612,612,n/e,n/e,n/e,n/e,n/e,n/e
07.04.2022 10:00 - 07.04.2022 11:00,814,814,814,n/e,n/e,n/e,n/e,n/e,n/e
07.04.2022 11:00 - 07.04.2022 12:00,972,972,972,n/e,n/e,n/e,n/e,n/e,n/e
07.04.2022 12:00 - 07.04.2022 13:00,992,992,992,n/e,n/e,n/e,n/e,n/e,n/e
07.04.2022 13:00 - 07.04.2022 14:00,927,927,927,n/e,n/e,n/e,n/e,n/e,n/e
07.04.2022 14:00 - 07.04.2022 15:00,804,804,804,n/e,n/e,n/e,n/e,n/e,n/e
07.04.2022 15:00 - 07.04.2022 16:00,698,698,698,n/e,n/e,n/e,n/e,n/e,n/e
07.04.2022 16:00 - 07.04.2022 17:00,446,446,446,n/e,n/e,n/e,n/e,n/e,n/e
07.04.2022 17:00 - 07.04.2022 18:00,206,206,206,n/e,n/e,n/e,n/e,n/e,n/e
07.04.2022 18:00 - 07.04.2022 19:00,56,56,56,n/e,n/e,n/e,n/e,n/e,n/e
07.04.2022 19:00 - 07.04.2022 20:00,4,4,4,n/e,n/e,n/e,n/e,n/e,n/e
07.04.2022 20:00 - 07.04.2022 21:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
07.04.2022 21:00 - 07.04.2022 22:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
07.04.2022 22:00 - 07.04.2022 23:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
07.04.2022 23:00 - 08.04.2022 00:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
08.04.2022 00:00 - 08.04.2022 01:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
08.04.2022 01:00 - 08.04.2022 02:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
08.04.2022 02:00 - 08.04.2022 03:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
08.04.2022 03:00 - 08.04.2022 04:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
08.04.2022 04:00 - 08.04.2022 05:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
08.04.2022 05:00 - 08.04.2022 06:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
08.04.2022 06:00 - 08.04.2022 07:00,5,5,5,n/e,n/e,n/e,n/e,n/e,n/e
08.04.2022 07:00 - 08.04.2022 08:00,131,131,131,n/e,n/e,n/e,n/e,n/e,n/e
08.04.2022 08:00 - 08.04.2022 09:00,394,394,394,n/e,n/e,n/e,n/e,n/e,n/e
08.04.2022 09:00 - 08.04.2022 10:00,703,703,703,n/e,n/e,n/e,n/e,n/e,n/e
08.04.2022 10:00 - 08.04.2022 11:00,904,904,904,n/e,n/e,n/e,n/e,n/e,n/e
08.04.2022 11:00 - 08.04.2022 12:00,960,960,960,n/e,n/e,n/e,n/e,n/e,n/e
08.04.2022 12:00 - 08.04.2022 13:00,961,961,961,n/e,n/e,n/e,n/e,n/e,n/e
08.04.2022 13:00 - 08.04.2022 14:00,977,977,977,n/e,n/e,n/e,n/e,n/e,n/e
08.04.2022 14:00 - 08.04.2022 15:00,704,704,704,n/e,n/e,n/e,n/e,n/e,n/e
08.04.2022 15:00 - 08.04.2022 16:00,317,317,317,n/e,n/e,n/e,n/e,n/e,n/e
08.04.2022 16:00 - 08.04.2022 17:00,146,146,146,n/e,n/e,n/e,n/e,n/e,n/e
08.04.2022 17:00 - 08.04.2022 18:00,55,55,55,n/e,n/e,n/e,n/e,n/e,n/e
08.04.2022 18:00 - 08.04.2022 19:00,19,19,19,n/e,n/e,n/e,n/e,n/e,n/e
08.04.2022 19:00 - 08.04.2022 20:00,3,3,3,n/e,n/e,n/e,n/e,n/e,n/e
08.04.2022 20:00 - 08.04.2022 21:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
08.04.2022 21:00 - 08.04.2022 22:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
08.04.2022 22:00 - 08.04.2022 23:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
08.04.2022 23:00 - 09.04.2022 00:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
09.04.2022 00:00 - 09.04.2022 01:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
09.04.2022 01:00 - 09.04.2022 02:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
09.04.2022 02:00 - 09.04.2022 03:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
09.04.2022 03:00 - 09.04.2022 04:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
09.04.2022 04:00 - 09.04.2022 05:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
09.04.2022 05:00 - 09.04.2022 06:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
09.04.2022 06:00 - 09.04.2022 07:00,4,4,4,n/e,n/e,n/e,n/e,n/e,n/e
09.04.2022 07:00 - 09.04.2022 08:00,65,65,65,n/e,n/e,n/e,n/e,n/e,n/e
09.04.2022 08:00 - 09.04.2022 09:00,228,228,228,n/e,n/e,n/e,n/e,n/e,n/e
09.04.2022 09:00 - 09.04.2022 10:00,427,427,427,n/e,n/e,n/e,n/e,n/e,n/e
09.04.2022 10:00 - 09.04.2022 11:00,620,620,620,n/e,n/e,n/e,n/e,n/e,n/e
09.04.2022 11:00 - 09.04.2022 12:00,791,791,791,n/e,n/e,n/e,n/e,n/e,n/e
09.04.2022 12:00 - 09.04.2022 13:00,871,871,871,n/e,n/e,n/e,n/e,n/e,n/e
09.04.2022 13:00 - 09.04.2022 14:00,682,682,682,n/e,n/e,n/e,n/e,n/e,n/e
09.04.2022 14:00 - 09.04.2022 15:00,629,629,629,n/e,n/e,n/e,n/e,n/e,n/e
09.04.2022 15:00 - 09.04.2022 16:00,804,804,804,n/e,n/e,n/e,n/e,n/e,n/e
09.04.2022 16:00 - 09.04.2022 17:00,660,660,660,n/e,n/e,n/e,n/e,n/e,n/e
09.04.2022 17:00 - 09.04.2022 18:00,350,350,350,n/e,n/e,n/e,n/e,n/e,n/e
09.04.2022 18:00 - 09.04.2022 19:00,143,143,143,n/e,n/e,n/e,n/e,n/e,n/e
09.04.2022 19:00 - 09.04.2022 20:00,12,12,12,n/e,n/e,n/e,n/e,n/e,n/e
09.04.2022 20:00 - 09.04.2022 21:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
09.04.2022 21:00 - 09.04.2022 22:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
09.04.2022 22:00 - 09.04.2022 23:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
09.04.2022 23:00 - 10.04.2022 00:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
10.04.2022 00:00 - 10.04.2022 01:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
10.04.2022 01:00 - 10.04.2022 02:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
10.04.2022 02:00 - 10.04.2022 03:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
10.04.2022 03:00 - 10.04.2022 04:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
10.04.2022 04:00 - 10.04.2022 05:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
10.04.2022 05:00 - 10.04.2022 06:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
10.04.2022 06:00 - 10.04.2022 07:00,6,6,6,n/e,n/e,n/e,n/e,n/e,n/e
10.04.2022 07:00 - 10.04.2022 08:00,140,140,140,n/e,n/e,n/e,n/e,n/e,n/e
10.04.2022 08:00 - 10.04.2022 09:00,437,437,437,n/e,n/e,n/e,n/e,n/e,n/e
10.04.2022 09:00 - 10.04.2022 10:00,712,712,712,n/e,n/e,n/e,n/e,n/e,n/e
10.04.2022 10:00 - 10.04.2022 11:00,912,912,912,n/e,n/e,n/e,n/e,n/e,n/e
10.04.2022 11:00 - 10.04.2022 12:00,1043,1043,1043,n/e,n/e,n/e,n/e,n/e,n/e
10.04.2022 12:00 - 10.04.2022 13:00,1047,1047,1047,n/e,n/e,n/e,n/e,n/e,n/e
10.04.2022 13:00 - 10.04.2022 14:00,887,887,887,n/e,n/e,n/e,n/e,n/e,n/e
10.04.2022 14:00 - 10.04.2022 15:00,831,831,831,n/e,n/e,n/e,n/e,n/e,n/e
10.04.2022 15:00 - 10.04.2022 16:00,953,953,953,n/e,n/e,n/e,n/e,n/e,n/e
10.04.2022 16:00 - 10.04.2022 17:00,762,762,762,n/e,n/e,n/e,n/e,n/e,n/e
