MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Czech Republic (CZ),Generation - Solar  [MW] Intraday / Czech Republic (CZ),Generation - Solar  [MW] Day Ahead/ Czech Republic (CZ),Generation - Wind Offshore  [MW] Day Ahead/ Czech Republic (CZ),Generation - Wind Offshore  [MW] Intraday / Czech Republic (CZ),Generation - Wind Offshore  [MW] Current / Czech Republic (CZ),Generation - Wind Onshore  [MW] Day Ahead/ Czech Republic (CZ),Generation - Wind Onshore  [MW] Intraday / Czech Republic (CZ),Generation - Wind Onshore  [MW] Current / Czech Republic (CZ)
03.01.2022 05:00 - 03.01.2022 06:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
03.01.2022 06:00 - 03.01.2022 07:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
03.01.2022 07:00 - 03.01.2022 08:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
03.01.2022 08:00 - 03.01.2022 09:00,45,45,45,n/e,n/e,n/e,n/e,n/e,n/e
03.01.2022 09:00 - 03.01.2022 10:00,202,202,202,n/e,n/e,n/e,n/e,n/e,n/e
03.01.2022 10:00 - 03.01.2022 11:00,406,406,406,n/e,n/e,n/e,n/e,n/e,n/e
03.01.2022 11:00 - 03.01.2022 12:00,533,533,533,n/e,n/e,n/e,n/e,n/e,n/e
03.01.2022 12:00 - 03.01.2022 13:00,643,643,643,n/e,n/e,n/e,n/e,n/e,n/e
03.01.2022 13:00 - 03.01.2022 14:00,527,527,527,n/e,n/e,n/e,n/e,n/e,n/e
03.01.2022 14:00 - 03.01.2022 15:00,242,242,242,n/e,n/e,n/e,n/e,n/e,n/e
03.01.2022 15:00 - 03.01.2022 16:00,60,60,60,n/e,n/e,n/e,n/e,n/e,n/e
03.01.2022 16:00 - 03.01.2022 17:00,2,2,2,n/e,n/e,n/e,n/e,n/e,n/e
03.01.2022 17:00 - 03.01.2022 18:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
03.01.2022 18:00 - 03.01.2022 19:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
03.01.2022 19:00 - 03.01.2022 20:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
03.01.2022 20:00 - 03.01.2022 21:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
03.01.2022 21:00 - 03.01.2022 22:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
03.01.2022 22:00 - 03.01.2022 23:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
03.01.2022 23:00 - 04.01.2022 00:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
04.01.2022 00:00 - 04.01.2022 01:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
04.01.2022 01:00 - 04.01.2022 02:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
04.01.2022 02:00 - 04.01.2022 03:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
04.01.2022 03:00 - 04.01.2022 04:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
04.01.2022 04:00 - 04.01.2022 05:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
04.01.2022 05:00 - 04.01.2022 06:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
04.01.2022 06:00 - 04.01.2022 07:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
04.01.2022 07:00 - 04.01.2022 08:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
04.01.2022 08:00 - 04.01.2022 09:00,3,3,3,n/e,n/e,n/e,n/e,n/e,n/e
04.01.2022 09:00 - 04.01.2022 10:00,12,12,12,n/e,n/e,n/e,n/e,n/e,n/e
