MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Slovakia (SK),Generation - Solar  [MW] Intraday / Slovakia (SK),Generation - Solar  [MW] Day Ahead/ Slovakia (SK),Generation - Wind Offshore  [MW] Day Ahead/ Slovakia (SK),Generation - Wind Offshore  [MW] Intraday / Slovakia (SK),Generation - Wind Offshore  [MW] Current / Slovakia (SK),Generation - Wind Onshore  [MW] Day Ahead/ Slovakia (SK),Generation - Wind Onshore  [MW] Intraday / Slovakia (SK),Generation - Wind Onshore  [MW] Day Ahead/ Slovakia (SK)
03.01.2022 12:00 - 03.01.2022 13:00,80,80,80,n/e,n/e,n/e,1,1,1
03.01.2022 13:00 - 03.01.2022 14:00,60,60,60,n/e,n/e,n/e,1,1,1
03.01.2022 14:00 - 03.01.2022 15:00,22,22,22,n/e,n/e,n/e,1,1,1
03.01.2022 15:00 - 03.01.2022 16:00,2,2,2,n/e,n/e,n/e,1,1,1
03.01.2022 16:00 - 03.01.2022 17:00,0,0,0,n/e,n/e,n/e,1,1,1
03.01.2022 17:00 - 03.01.2022 18:00,0,0,0,n/e,n/e,n/e,1,1,1
03.01.2022 18:00 - 03.01.2022 19:00,0,0,0,n/e,n/e,n/e,1,1,1
03.01.2022 19:00 - 03.01.2022 20:00,0,0,0,n/e,n/e,n/e,1,1,1
03.01.2022 20:00 - 03.01.2022 21:00,0,0,0,n/e,n/e,n/e,1,1,1
03.01.2022 21:00 - 03.01.2022 22:00,0,0,0,n/e,n/e,n/e,1,1,1
03.01.2022 22:00 - 03.01.2022 23:00,0,0,0,n/e,n/e,n/e,1,1,1
03.01.2022 23:00 - 04.01.2022 00:00,0,0,0,n/e,n/e,n/e,1,1,1
04.01.2022 00:00 - 04.01.2022 01:00,0,0,0,n/e,n/e,n/e,1,1,1
04.01.2022 01:00 - 04.01.2022 02:00,0,0,0,n/e,n/e,n/e,1,1,1
04.01.2022 02:00 - 04.01.2022 03:00,0,0,0,n/e,n/e,n/e,1,1,1
04.01.2022 03:00 - 04.01.2022 04:00,0,0,0,n/e,n/e,n/e,1,1,1
04.01.2022 04:00 - 04.01.2022 05:00,0,0,0,n/e,n/e,n/e,1,1,1
04.01.2022 05:00 - 04.01.2022 06:00,0,0,0,n/e,n/e,n/e,1,1,1
04.01.2022 06:00 - 04.01.2022 07:00,0,0,0,n/e,n/e,n/e,1,1,1
04.01.2022 07:00 - 04.01.2022 08:00,10,10,10,n/e,n/e,n/e,1,1,1
04.01.2022 08:00 - 04.01.2022 09:00,29,29,29,n/e,n/e,n/e,1,1,1
04.01.2022 09:00 - 04.01.2022 10:00,55,55,55,n/e,n/e,n/e,1,1,1
04.01.2022 10:00 - 04.01.2022 11:00,85,85,85,n/e,n/e,n/e,1,1,1
04.01.2022 11:00 - 04.01.2022 12:00,90,90,90,n/e,n/e,n/e,1,1,1
04.01.2022 12:00 - 04.01.2022 13:00,80,80,80,n/e,n/e,n/e,1,1,1
04.01.2022 13:00 - 04.01.2022 14:00,60,60,60,n/e,n/e,n/e,1,1,1
04.01.2022 14:00 - 04.01.2022 15:00,22,22,22,n/e,n/e,n/e,1,1,1
04.01.2022 15:00 - 04.01.2022 16:00,2,2,2,n/e,n/e,n/e,1,1,1
04.01.2022 16:00 - 04.01.2022 17:00,0,0,0,n/e,n/e,n/e,1,1,1
04.01.2022 17:00 - 04.01.2022 18:00,0,0,0,n/e,n/e,n/e,1,1,1
04.01.2022 18:00 - 04.01.2022 19:00,0,0,0,n/e,n/e,n/e,1,1,1
04.01.2022 19:00 - 04.01.2022 20:00,0,0,0,n/e,n/e,n/e,1,1,1
04.01.2022 20:00 - 04.01.2022 21:00,0,0,0,n/e,n/e,n/e,1,1,1
04.01.2022 21:00 - 04.01.2022 22:00,0,0,0,n/e,n/e,n/e,1,1,1
04.01.2022 22:00 - 04.01.2022 23:00,0,0,0,n/e,n/e,n/e,1,1,1
04.01.2022 23:00 - 05.01.2022 00:00,0,0,0,n/e,n/e,n/e,1,1,1
05.01.2022 00:00 - 05.01.2022 01:00,0,0,0,n/e,n/e,n/e,1,1,1
05.01.2022 01:00 - 05.01.2022 02:00,0,0,0,n/e,n/e,n/e,1,1,1
05.01.2022 02:00 - 05.01.2022 03:00,0,0,0,n/e,n/e,n/e,1,1,1
05.01.2022 03:00 - 05.01.2022 04:00,0,0,0,n/e,n/e,n/e,1,1,1
05.01.2022 04:00 - 05.01.2022 05:00,0,0,0,n/e,n/e,n/e,1,1,1
05.01.2022 05:00 - 05.01.2022 06:00,0,0,0,n/e,n/e,n/e,1,1,1
05.01.2022 06:00 - 05.01.2022 07:00,0,0,0,n/e,n/e,n/e,1,1,1
05.01.2022 07:00 - 05.01.2022 08:00,0,0,0,n/e,n/e,n/e,1,1,1
05.01.2022 08:00 - 05.01.2022 09:00,5,5,5,n/e,n/e,n/e,1,1,1
05.01.2022 09:00 - 05.01.2022 10:00,15,15,15,n/e,n/e,n/e,1,1,1
05.01.2022 10:00 - 05.01.2022 11:00,20,20,20,n/e,n/e,n/e,1,1,1
05.01.2022 11:00 - 05.01.2022 12:00,25,25,25,n/e,n/e,n/e,1,1,1
05.01.2022 12:00 - 05.01.2022 13:00,25,25,25,n/e,n/e,n/e,1,1,1
05.01.2022 13:00 - 05.01.2022 14:00,15,15,15,n/e,n/e,n/e,1,1,1
05.01.2022 14:00 - 05.01.2022 15:00,5,5,5,n/e,n/e,n/e,1,1,1
05.01.2022 15:00 - 05.01.2022 16:00,0,0,0,n/e,n/e,n/e,1,1,1
05.01.2022 16:00 - 05.01.2022 17:00,0,0,0,n/e,n/e,n/e,1,1,1
05.01.2022 17:00 - 05.01.2022 18:00,0,0,0,n/e,n/e,n/e,1,1,1
05.01.2022 18:00 - 05.01.2022 19:00,0,0,0,n/e,n/e,n/e,1,1,1
05.01.2022 19:00 - 05.01.2022 20:00,0,0,0,n/e,n/e,n/e,1,1,1
05.01.2022 20:00 - 05.01.2022 21:00,0,0,0,n/e,n/e,n/e,1,1,1
05.01.2022 21:00 - 05.01.2022 22:00,0,0,0,n/e,n/e,n/e,1,1,1
05.01.2022 22:00 - 05.01.2022 23:00,0,0,0,n/e,n/e,n/e,1,1,1
05.01.2022 23:00 - 06.01.2022 00:00,0,0,0,n/e,n/e,n/e,1,1,1
06.01.2022 00:00 - 06.01.2022 01:00,0,0,0,n/e,n/e,n/e,1,1,1
06.01.2022 01:00 - 06.01.2022 02:00,0,0,0,n/e,n/e,n/e,1,1,1
06.01.2022 02:00 - 06.01.2022 03:00,0,0,0,n/e,n/e,n/e,1,1,1
06.01.2022 03:00 - 06.01.2022 04:00,0,0,0,n/e,n/e,n/e,1,1,1
06.01.2022 04:00 - 06.01.2022 05:00,0,0,0,n/e,n/e,n/e,1,1,1
06.01.2022 05:00 - 06.01.2022 06:00,0,0,0,n/e,n/e,n/e,1,1,1
06.01.2022 06:00 - 06.01.2022 07:00,0,0,0,n/e,n/e,n/e,1,1,1
06.01.2022 07:00 - 06.01.2022 08:00,10,10,10,n/e,n/e,n/e,1,1,1
06.01.2022 08:00 - 06.01.2022 09:00,40,40,40,n/e,n/e,n/e,1,1,1
06.01.2022 09:00 - 06.01.2022 10:00,75,75,75,n/e,n/e,n/e,1,1,1
06.01.2022 10:00 - 06.01.2022 11:00,110,110,110,n/e,n/e,n/e,1,1,1
06.01.2022 11:00 - 06.01.2022 12:00,120,120,120,n/e,n/e,n/e,1,1,1
06.01.2022 12:00 - 06.01.2022 13:00,110,110,110,n/e,n/e,n/e,1,1,1
06.01.2022 13:00 - 06.01.2022 14:00,75,75,75,n/e,n/e,n/e,1,1,1
06.01.2022 14:00 - 06.01.2022 15:00,30,30,30,n/e,n/e,n/e,1,1,1
06.01.2022 15:00 - 06.01.2022 16:00,5,5,5,n/e,n/e,n/e,1,1,1
06.01.2022 16:00 - 06.01.2022 17:00,0,0,0,n/e,n/e,n/e,1,1,1
06.01.2022 17:00 - 06.01.2022 18:00,0,0,0,n/e,n/e,n/e,1,1,1
06.01.2022 18:00 - 06.01.2022 19:00,0,0,0,n/e,n/e,n/e,1,1,1
