MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Slovakia (SK),Generation - Solar  [MW] Intraday / Slovakia (SK),Generation - Solar  [MW] Day Ahead/ Slovakia (SK),Generation - Wind Offshore  [MW] Day Ahead/ Slovakia (SK),Generation - Wind Offshore  [MW] Intraday / Slovakia (SK),Generation - Wind Offshore  [MW] Current / Slovakia (SK),Generation - Wind Onshore  [MW] Day Ahead/ Slovakia (SK),Generation - Wind Onshore  [MW] Intraday / Slovakia (SK),Generation - Wind Onshore  [MW] Day Ahead/ Slovakia (SK)
02.03.2022 21:00 - 02.03.2022 22:00,0,0,0,n/e,n/e,n/e,1,1,1
02.03.2022 22:00 - 02.03.2022 23:00,0,0,0,n/e,n/e,n/e,1,1,1
02.03.2022 23:00 - 03.03.2022 00:00,0,0,0,n/e,n/e,n/e,1,1,1
03.03.2022 00:00 - 03.03.2022 01:00,0,0,0,n/e,n/e,n/e,1,1,1
03.03.2022 01:00 - 03.03.2022 02:00,0,0,0,n/e,n/e,n/e,1,1,1
03.03.2022 02:00 - 03.03.2022 03:00,0,0,0,n/e,n/e,n/e,1,1,1
03.03.2022 03:00 - 03.03.2022 04:00,0,0,0,n/e,n/e,n/e,1,1,1
03.03.2022 04:00 - 03.03.2022 05:00,0,0,0,n/e,n/e,n/e,1,1,1
03.03.2022 05:00 - 03.03.2022 06:00,0,0,0,n/e,n/e,n/e,1,1,1
03.03.2022 06:00 - 03.03.2022 07:00,0,0,0,n/e,n/e,n/e,1,1,1
03.03.2022 07:00 - 03.03.2022 08:00,70,70,70,n/e,n/e,n/e,1,1,1
03.03.2022 08:00 - 03.03.2022 09:00,180,180,180,n/e,n/e,n/e,1,1,1
03.03.2022 09:00 - 03.03.2022 10:00,230,230,230,n/e,n/e,n/e,1,1,1
03.03.2022 10:00 - 03.03.2022 11:00,260,260,260,n/e,n/e,n/e,1,1,1
03.03.2022 11:00 - 03.03.2022 12:00,250,250,250,n/e,n/e,n/e,1,1,1
03.03.2022 12:00 - 03.03.2022 13:00,240,240,240,n/e,n/e,n/e,1,1,1
03.03.2022 13:00 - 03.03.2022 14:00,220,220,220,n/e,n/e,n/e,1,1,1
03.03.2022 14:00 - 03.03.2022 15:00,160,160,160,n/e,n/e,n/e,1,1,1
03.03.2022 15:00 - 03.03.2022 16:00,60,60,60,n/e,n/e,n/e,1,1,1
03.03.2022 16:00 - 03.03.2022 17:00,5,5,5,n/e,n/e,n/e,1,1,1
03.03.2022 17:00 - 03.03.2022 18:00,0,0,0,n/e,n/e,n/e,1,1,1
03.03.2022 18:00 - 03.03.2022 19:00,0,0,0,n/e,n/e,n/e,1,1,1
03.03.2022 19:00 - 03.03.2022 20:00,0,0,0,n/e,n/e,n/e,1,1,1
03.03.2022 20:00 - 03.03.2022 21:00,0,0,0,n/e,n/e,n/e,1,1,1
03.03.2022 21:00 - 03.03.2022 22:00,0,0,0,n/e,n/e,n/e,1,1,1
03.03.2022 22:00 - 03.03.2022 23:00,0,0,0,n/e,n/e,n/e,1,1,1
03.03.2022 23:00 - 04.03.2022 00:00,0,0,0,n/e,n/e,n/e,1,1,1
04.03.2022 00:00 - 04.03.2022 01:00,0,0,0,n/e,n/e,n/e,1,1,1
04.03.2022 01:00 - 04.03.2022 02:00,0,0,0,n/e,n/e,n/e,1,1,1
04.03.2022 02:00 - 04.03.2022 03:00,0,0,0,n/e,n/e,n/e,1,1,1
04.03.2022 03:00 - 04.03.2022 04:00,0,0,0,n/e,n/e,n/e,1,1,1
04.03.2022 04:00 - 04.03.2022 05:00,0,0,0,n/e,n/e,n/e,1,1,1
04.03.2022 05:00 - 04.03.2022 06:00,0,0,0,n/e,n/e,n/e,1,1,1
04.03.2022 06:00 - 04.03.2022 07:00,1,1,1,n/e,n/e,n/e,1,1,1
04.03.2022 07:00 - 04.03.2022 08:00,11,11,11,n/e,n/e,n/e,1,1,1
04.03.2022 08:00 - 04.03.2022 09:00,56,56,56,n/e,n/e,n/e,1,1,1
04.03.2022 09:00 - 04.03.2022 10:00,126,126,126,n/e,n/e,n/e,1,1,1
04.03.2022 10:00 - 04.03.2022 11:00,166,166,166,n/e,n/e,n/e,1,1,1
04.03.2022 11:00 - 04.03.2022 12:00,186,186,186,n/e,n/e,n/e,1,1,1
04.03.2022 12:00 - 04.03.2022 13:00,191,191,191,n/e,n/e,n/e,1,1,1
04.03.2022 13:00 - 04.03.2022 14:00,161,161,161,n/e,n/e,n/e,1,1,1
04.03.2022 14:00 - 04.03.2022 15:00,111,111,111,n/e,n/e,n/e,1,1,1
04.03.2022 15:00 - 04.03.2022 16:00,51,51,51,n/e,n/e,n/e,1,1,1
04.03.2022 16:00 - 04.03.2022 17:00,6,6,6,n/e,n/e,n/e,1,1,1
04.03.2022 17:00 - 04.03.2022 18:00,0,0,0,n/e,n/e,n/e,1,1,1
04.03.2022 18:00 - 04.03.2022 19:00,0,0,0,n/e,n/e,n/e,1,1,1
04.03.2022 19:00 - 04.03.2022 20:00,0,0,0,n/e,n/e,n/e,1,1,1
04.03.2022 20:00 - 04.03.2022 21:00,0,0,0,n/e,n/e,n/e,1,1,1
04.03.2022 21:00 - 04.03.2022 22:00,0,0,0,n/e,n/e,n/e,1,1,1
04.03.2022 22:00 - 04.03.2022 23:00,0,0,0,n/e,n/e,n/e,1,1,1
04.03.2022 23:00 - 05.03.2022 00:00,0,0,0,n/e,n/e,n/e,1,1,1
05.03.2022 00:00 - 05.03.2022 01:00,0,0,0,n/e,n/e,n/e,1,1,1
05.03.2022 01:00 - 05.03.2022 02:00,0,0,0,n/e,n/e,n/e,1,1,1
05.03.2022 02:00 - 05.03.2022 03:00,0,0,0,n/e,n/e,n/e,1,1,1
05.03.2022 03:00 - 05.03.2022 04:00,0,0,0,n/e,n/e,n/e,1,1,1
05.03.2022 04:00 - 05.03.2022 05:00,0,0,0,n/e,n/e,n/e,1,1,1
05.03.2022 05:00 - 05.03.2022 06:00,0,0,0,n/e,n/e,n/e,1,1,1
05.03.2022 06:00 - 05.03.2022 07:00,0,0,0,n/e,n/e,n/e,1,1,1
05.03.2022 07:00 - 05.03.2022 08:00,10,10,10,n/e,n/e,n/e,1,1,1
05.03.2022 08:00 - 05.03.2022 09:00,55,55,55,n/e,n/e,n/e,1,1,1
05.03.2022 09:00 - 05.03.2022 10:00,125,125,125,n/e,n/e,n/e,1,1,1
05.03.2022 10:00 - 05.03.2022 11:00,165,165,165,n/e,n/e,n/e,1,1,1
05.03.2022 11:00 - 05.03.2022 12:00,185,185,185,n/e,n/e,n/e,1,1,1
05.03.2022 12:00 - 05.03.2022 13:00,175,175,175,n/e,n/e,n/e,1,1,1
05.03.2022 13:00 - 05.03.2022 14:00,145,145,145,n/e,n/e,n/e,1,1,1
05.03.2022 14:00 - 05.03.2022 15:00,80,80,80,n/e,n/e,n/e,1,1,1
05.03.2022 15:00 - 05.03.2022 16:00,10,10,10,n/e,n/e,n/e,1,1,1
05.03.2022 16:00 - 05.03.2022 17:00,5,5,5,n/e,n/e,n/e,1,1,1
05.03.2022 17:00 - 05.03.2022 18:00,0,0,0,n/e,n/e,n/e,1,1,1
05.03.2022 18:00 - 05.03.2022 19:00,0,0,0,n/e,n/e,n/e,1,1,1
05.03.2022 19:00 - 05.03.2022 20:00,0,0,0,n/e,n/e,n/e,1,1,1
05.03.2022 20:00 - 05.03.2022 21:00,0,0,0,n/e,n/e,n/e,1,1,1
05.03.2022 21:00 - 05.03.2022 22:00,0,0,0,n/e,n/e,n/e,1,1,1
05.03.2022 22:00 - 05.03.2022 23:00,0,0,0,n/e,n/e,n/e,1,1,1
05.03.2022 23:00 - 06.03.2022 00:00,0,0,0,n/e,n/e,n/e,1,1,1
06.03.2022 00:00 - 06.03.2022 01:00,0,0,0,n/e,n/e,n/e,1,1,1
06.03.2022 01:00 - 06.03.2022 02:00,0,0,0,n/e,n/e,n/e,1,1,1
06.03.2022 02:00 - 06.03.2022 03:00,0,0,0,n/e,n/e,n/e,1,1,1
06.03.2022 03:00 - 06.03.2022 04:00,0,0,0,n/e,n/e,n/e,1,1,1
06.03.2022 04:00 - 06.03.2022 05:00,0,0,0,n/e,n/e,n/e,1,1,1
06.03.2022 05:00 - 06.03.2022 06:00,0,0,0,n/e,n/e,n/e,1,1,1
06.03.2022 06:00 - 06.03.2022 07:00,0,0,0,n/e,n/e,n/e,1,1,1
06.03.2022 07:00 - 06.03.2022 08:00,70,70,70,n/e,n/e,n/e,1,1,1
06.03.2022 08:00 - 06.03.2022 09:00,180,180,180,n/e,n/e,n/e,1,1,1
06.03.2022 09:00 - 06.03.2022 10:00,230,230,230,n/e,n/e,n/e,1,1,1
06.03.2022 10:00 - 06.03.2022 11:00,260,260,260,n/e,n/e,n/e,1,1,1
06.03.2022 11:00 - 06.03.2022 12:00,250,250,250,n/e,n/e,n/e,1,1,1
06.03.2022 12:00 - 06.03.2022 13:00,240,240,240,n/e,n/e,n/e,1,1,1
06.03.2022 13:00 - 06.03.2022 14:00,220,220,220,n/e,n/e,n/e,1,1,1
06.03.2022 14:00 - 06.03.2022 15:00,160,160,160,n/e,n/e,n/e,1,1,1
06.03.2022 15:00 - 06.03.2022 16:00,60,60,60,n/e,n/e,n/e,1,1,1
06.03.2022 16:00 - 06.03.2022 17:00,5,5,5,n/e,n/e,n/e,1,1,1
06.03.2022 17:00 - 06.03.2022 18:00,0,0,0,n/e,n/e,n/e,1,1,1
06.03.2022 18:00 - 06.03.2022 19:00,0,0,0,n/e,n/e,n/e,1,1,1
06.03.2022 19:00 - 06.03.2022 20:00,0,0,0,n/e,n/e,n/e,1,1,1
06.03.2022 20:00 - 06.03.2022 21:00,0,0,0,n/e,n/e,n/e,1,1,1
06.03.2022 21:00 - 06.03.2022 22:00,0,0,0,n/e,n/e,n/e,1,1,1
06.03.2022 22:00 - 06.03.2022 23:00,0,0,0,n/e,n/e,n/e,1,1,1
06.03.2022 23:00 - 07.03.2022 00:00,0,0,0,n/e,n/e,n/e,1,1,1
07.03.2022 00:00 - 07.03.2022 01:00,0,0,0,n/e,n/e,n/e,1,1,1
07.03.2022 01:00 - 07.03.2022 02:00,0,0,0,n/e,n/e,n/e,1,1,1
07.03.2022 02:00 - 07.03.2022 03:00,0,0,0,n/e,n/e,n/e,1,1,1
07.03.2022 03:00 - 07.03.2022 04:00,0,0,0,n/e,n/e,n/e,1,1,1
07.03.2022 04:00 - 07.03.2022 05:00,0,0,0,n/e,n/e,n/e,1,1,1
07.03.2022 05:00 - 07.03.2022 06:00,0,0,0,n/e,n/e,n/e,1,1,1
07.03.2022 06:00 - 07.03.2022 07:00,0,0,0,n/e,n/e,n/e,1,1,1
07.03.2022 07:00 - 07.03.2022 08:00,60,60,60,n/e,n/e,n/e,1,1,1
07.03.2022 08:00 - 07.03.2022 09:00,160,160,160,n/e,n/e,n/e,1,1,1
07.03.2022 09:00 - 07.03.2022 10:00,220,220,220,n/e,n/e,n/e,1,1,1
07.03.2022 10:00 - 07.03.2022 11:00,240,240,240,n/e,n/e,n/e,1,1,1
07.03.2022 11:00 - 07.03.2022 12:00,250,250,250,n/e,n/e,n/e,1,1,1
07.03.2022 12:00 - 07.03.2022 13:00,240,240,240,n/e,n/e,n/e,1,1,1
07.03.2022 13:00 - 07.03.2022 14:00,220,220,220,n/e,n/e,n/e,1,1,1
07.03.2022 14:00 - 07.03.2022 15:00,160,160,160,n/e,n/e,n/e,1,1,1
07.03.2022 15:00 - 07.03.2022 16:00,60,60,60,n/e,n/e,n/e,1,1,1
07.03.2022 16:00 - 07.03.2022 17:00,5,5,5,n/e,n/e,n/e,1,1,1
07.03.2022 17:00 - 07.03.2022 18:00,0,0,0,n/e,n/e,n/e,1,1,1
07.03.2022 18:00 - 07.03.2022 19:00,0,0,0,n/e,n/e,n/e,1,1,1
07.03.2022 19:00 - 07.03.2022 20:00,0,0,0,n/e,n/e,n/e,1,1,1
07.03.2022 20:00 - 07.03.2022 21:00,0,0,0,n/e,n/e,n/e,1,1,1
07.03.2022 21:00 - 07.03.2022 22:00,0,0,0,n/e,n/e,n/e,1,1,1
07.03.2022 22:00 - 07.03.2022 23:00,0,0,0,n/e,n/e,n/e,1,1,1
07.03.2022 23:00 - 08.03.2022 00:00,0,0,0,n/e,n/e,n/e,1,1,1
08.03.2022 00:00 - 08.03.2022 01:00,0,0,0,n/e,n/e,n/e,1,1,1
08.03.2022 01:00 - 08.03.2022 02:00,0,0,0,n/e,n/e,n/e,1,1,1
08.03.2022 02:00 - 08.03.2022 03:00,0,0,0,n/e,n/e,n/e,1,1,1
08.03.2022 03:00 - 08.03.2022 04:00,0,0,0,n/e,n/e,n/e,1,1,1
08.03.2022 04:00 - 08.03.2022 05:00,0,0,0,n/e,n/e,n/e,1,1,1
08.03.2022 05:00 - 08.03.2022 06:00,0,0,0,n/e,n/e,n/e,1,1,1
08.03.2022 06:00 - 08.03.2022 07:00,0,0,0,n/e,n/e,n/e,1,1,1
08.03.2022 07:00 - 08.03.2022 08:00,20,20,20,n/e,n/e,n/e,1,1,1
08.03.2022 08:00 - 08.03.2022 09:00,50,50,50,n/e,n/e,n/e,1,1,1
08.03.2022 09:00 - 08.03.2022 10:00,80,80,80,n/e,n/e,n/e,1,1,1
08.03.2022 10:00 - 08.03.2022 11:00,110,110,110,n/e,n/e,n/e,1,1,1
08.03.2022 11:00 - 08.03.2022 12:00,120,120,120,n/e,n/e,n/e,1,1,1
08.03.2022 12:00 - 08.03.2022 13:00,140,140,140,n/e,n/e,n/e,1,1,1
08.03.2022 13:00 - 08.03.2022 14:00,150,150,150,n/e,n/e,n/e,1,1,1
08.03.2022 14:00 - 08.03.2022 15:00,90,90,90,n/e,n/e,n/e,1,1,1
08.03.2022 15:00 - 08.03.2022 16:00,40,40,40,n/e,n/e,n/e,1,1,1
08.03.2022 16:00 - 08.03.2022 17:00,20,20,20,n/e,n/e,n/e,1,1,1
08.03.2022 17:00 - 08.03.2022 18:00,0,0,0,n/e,n/e,n/e,1,1,1
08.03.2022 18:00 - 08.03.2022 19:00,0,0,0,n/e,n/e,n/e,1,1,1
08.03.2022 19:00 - 08.03.2022 20:00,0,0,0,n/e,n/e,n/e,1,1,1
08.03.2022 20:00 - 08.03.2022 21:00,0,0,0,n/e,n/e,n/e,1,1,1
08.03.2022 21:00 - 08.03.2022 22:00,0,0,0,n/e,n/e,n/e,1,1,1
08.03.2022 22:00 - 08.03.2022 23:00,0,0,0,n/e,n/e,n/e,1,1,1
08.03.2022 23:00 - 09.03.2022 00:00,0,0,0,n/e,n/e,n/e,1,1,1
09.03.2022 00:00 - 09.03.2022 01:00,0,0,0,n/e,n/e,n/e,1,1,1
09.03.2022 01:00 - 09.03.2022 02:00,0,0,0,n/e,n/e,n/e,1,1,1
09.03.2022 02:00 - 09.03.2022 03:00,0,0,0,n/e,n/e,n/e,1,1,1
09.03.2022 03:00 - 09.03.2022 04:00,0,0,0,n/e,n/e,n/e,1,1,1
09.03.2022 04:00 - 09.03.2022 05:00,0,0,0,n/e,n/e,n/e,1,1,1
09.03.2022 05:00 - 09.03.2022 06:00,0,0,0,n/e,n/e,n/e,1,1,1
09.03.2022 06:00 - 09.03.2022 07:00,20,20,20,n/e,n/e,n/e,1,1,1
09.03.2022 07:00 - 09.03.2022 08:00,30,30,30,n/e,n/e,n/e,1,1,1
09.03.2022 08:00 - 09.03.2022 09:00,55,55,55,n/e,n/e,n/e,2,2,2
09.03.2022 09:00 - 09.03.2022 10:00,125,125,125,n/e,n/e,n/e,2,2,2
09.03.2022 10:00 - 09.03.2022 11:00,165,165,165,n/e,n/e,n/e,2,2,2
09.03.2022 11:00 - 09.03.2022 12:00,185,185,185,n/e,n/e,n/e,2,2,2
09.03.2022 12:00 - 09.03.2022 13:00,175,175,175,n/e,n/e,n/e,2,2,2
09.03.2022 13:00 - 09.03.2022 14:00,145,145,145,n/e,n/e,n/e,2,2,2
09.03.2022 14:00 - 09.03.2022 15:00,80,80,80,n/e,n/e,n/e,2,2,2
09.03.2022 15:00 - 09.03.2022 16:00,40,40,40,n/e,n/e,n/e,2,2,2
09.03.2022 16:00 - 09.03.2022 17:00,10,10,10,n/e,n/e,n/e,1,1,1
09.03.2022 17:00 - 09.03.2022 18:00,0,0,0,n/e,n/e,n/e,1,1,1
09.03.2022 18:00 - 09.03.2022 19:00,0,0,0,n/e,n/e,n/e,1,1,1
09.03.2022 19:00 - 09.03.2022 20:00,0,0,0,n/e,n/e,n/e,1,1,1
09.03.2022 20:00 - 09.03.2022 21:00,0,0,0,n/e,n/e,n/e,1,1,1
09.03.2022 21:00 - 09.03.2022 22:00,0,0,0,n/e,n/e,n/e,1,1,1
09.03.2022 22:00 - 09.03.2022 23:00,0,0,0,n/e,n/e,n/e,1,1,1
09.03.2022 23:00 - 10.03.2022 00:00,0,0,0,n/e,n/e,n/e,1,1,1
10.03.2022 00:00 - 10.03.2022 01:00,0,0,0,n/e,n/e,n/e,1,1,1
10.03.2022 01:00 - 10.03.2022 02:00,0,0,0,n/e,n/e,n/e,1,1,1
10.03.2022 02:00 - 10.03.2022 03:00,0,0,0,n/e,n/e,n/e,1,1,1
10.03.2022 03:00 - 10.03.2022 04:00,0,0,0,n/e,n/e,n/e,1,1,1
10.03.2022 04:00 - 10.03.2022 05:00,0,0,0,n/e,n/e,n/e,1,1,1
10.03.2022 05:00 - 10.03.2022 06:00,0,0,0,n/e,n/e,n/e,1,1,1
10.03.2022 06:00 - 10.03.2022 07:00,10,10,10,n/e,n/e,n/e,1,1,1
10.03.2022 07:00 - 10.03.2022 08:00,20,20,20,n/e,n/e,n/e,1,1,1
10.03.2022 08:00 - 10.03.2022 09:00,55,55,55,n/e,n/e,n/e,1,1,1
10.03.2022 09:00 - 10.03.2022 10:00,125,125,125,n/e,n/e,n/e,1,1,1
10.03.2022 10:00 - 10.03.2022 11:00,165,165,165,n/e,n/e,n/e,1,1,1
10.03.2022 11:00 - 10.03.2022 12:00,185,185,185,n/e,n/e,n/e,1,1,1
10.03.2022 12:00 - 10.03.2022 13:00,175,175,175,n/e,n/e,n/e,1,1,1
10.03.2022 13:00 - 10.03.2022 14:00,145,145,145,n/e,n/e,n/e,1,1,1
10.03.2022 14:00 - 10.03.2022 15:00,80,80,80,n/e,n/e,n/e,1,1,1
10.03.2022 15:00 - 10.03.2022 16:00,20,20,20,n/e,n/e,n/e,1,1,1
10.03.2022 16:00 - 10.03.2022 17:00,10,10,10,n/e,n/e,n/e,1,1,1
10.03.2022 17:00 - 10.03.2022 18:00,0,0,0,n/e,n/e,n/e,1,1,1
10.03.2022 18:00 - 10.03.2022 19:00,0,0,0,n/e,n/e,n/e,1,1,1
10.03.2022 19:00 - 10.03.2022 20:00,0,0,0,n/e,n/e,n/e,2,2,2
10.03.2022 20:00 - 10.03.2022 21:00,0,0,0,n/e,n/e,n/e,2,2,2
10.03.2022 21:00 - 10.03.2022 22:00,0,0,0,n/e,n/e,n/e,2,2,2
10.03.2022 22:00 - 10.03.2022 23:00,0,0,0,n/e,n/e,n/e,2,2,2
10.03.2022 23:00 - 11.03.2022 00:00,0,0,0,n/e,n/e,n/e,2,2,2
11.03.2022 00:00 - 11.03.2022 01:00,0,0,0,n/e,n/e,n/e,2,2,2
11.03.2022 01:00 - 11.03.2022 02:00,0,0,0,n/e,n/e,n/e,2,2,2
11.03.2022 02:00 - 11.03.2022 03:00,0,0,0,n/e,n/e,n/e,2,2,2
11.03.2022 03:00 - 11.03.2022 04:00,0,0,0,n/e,n/e,n/e,2,2,2
11.03.2022 04:00 - 11.03.2022 05:00,0,0,0,n/e,n/e,n/e,2,2,2
11.03.2022 05:00 - 11.03.2022 06:00,6,6,6,n/e,n/e,n/e,2,2,2
11.03.2022 06:00 - 11.03.2022 07:00,65,65,65,n/e,n/e,n/e,1,1,1
11.03.2022 07:00 - 11.03.2022 08:00,155,155,155,n/e,n/e,n/e,1,1,1
11.03.2022 08:00 - 11.03.2022 09:00,230,230,230,n/e,n/e,n/e,1,1,1
11.03.2022 09:00 - 11.03.2022 10:00,285,285,285,n/e,n/e,n/e,1,1,1
11.03.2022 10:00 - 11.03.2022 11:00,310,310,310,n/e,n/e,n/e,1,1,1
11.03.2022 11:00 - 11.03.2022 12:00,320,320,320,n/e,n/e,n/e,1,1,1
11.03.2022 12:00 - 11.03.2022 13:00,315,315,315,n/e,n/e,n/e,1,1,1
11.03.2022 13:00 - 11.03.2022 14:00,285,285,285,n/e,n/e,n/e,1,1,1
11.03.2022 14:00 - 11.03.2022 15:00,230,230,230,n/e,n/e,n/e,1,1,1
11.03.2022 15:00 - 11.03.2022 16:00,145,145,145,n/e,n/e,n/e,1,1,1
11.03.2022 16:00 - 11.03.2022 17:00,75,75,75,n/e,n/e,n/e,1,1,1
11.03.2022 17:00 - 11.03.2022 18:00,30,30,30,n/e,n/e,n/e,1,1,1
11.03.2022 18:00 - 11.03.2022 19:00,2,2,2,n/e,n/e,n/e,1,1,1
11.03.2022 19:00 - 11.03.2022 20:00,0,0,0,n/e,n/e,n/e,1,1,1
11.03.2022 20:00 - 11.03.2022 21:00,0,0,0,n/e,n/e,n/e,1,1,1
11.03.2022 21:00 - 11.03.2022 22:00,0,0,0,n/e,n/e,n/e,1,1,1
11.03.2022 22:00 - 11.03.2022 23:00,0,0,0,n/e,n/e,n/e,1,1,1
11.03.2022 23:00 - 12.03.2022 00:00,0,0,0,n/e,n/e,n/e,1,1,1
12.03.2022 00:00 - 12.03.2022 01:00,0,0,0,n/e,n/e,n/e,1,1,1
12.03.2022 01:00 - 12.03.2022 02:00,0,0,0,n/e,n/e,n/e,1,1,1
12.03.2022 02:00 - 12.03.2022 03:00,0,0,0,n/e,n/e,n/e,1,1,1
12.03.2022 03:00 - 12.03.2022 04:00,0,0,0,n/e,n/e,n/e,1,1,1
12.03.2022 04:00 - 12.03.2022 05:00,0,0,0,n/e,n/e,n/e,1,1,1
12.03.2022 05:00 - 12.03.2022 06:00,6,6,6,n/e,n/e,n/e,1,1,1
12.03.2022 06:00 - 12.03.2022 07:00,65,65,65,n/e,n/e,n/e,1,1,1
12.03.2022 07:00 - 12.03.2022 08:00,155,155,155,n/e,n/e,n/e,2,2,2
12.03.2022 08:00 - 12.03.2022 09:00,230,230,230,n/e,n/e,n/e,2,2,2
12.03.2022 09:00 - 12.03.2022 10:00,285,285,285,n/e,n/e,n/e,2,2,2
12.03.2022 10:00 - 12.03.2022 11:00,310,310,310,n/e,n/e,n/e,2,2,2
12.03.2022 11:00 - 12.03.2022 12:00,320,320,320,n/e,n/e,n/e,2,2,2
12.03.2022 12:00 - 12.03.2022 13:00,315,315,315,n/e,n/e,n/e,2,2,2
12.03.2022 13:00 - 12.03.2022 14:00,285,285,285,n/e,n/e,n/e,2,2,2
12.03.2022 14:00 - 12.03.2022 15:00,230,230,230,n/e,n/e,n/e,2,2,2
12.03.2022 15:00 - 12.03.2022 16:00,145,145,145,n/e,n/e,n/e,2,2,2
12.03.2022 16:00 - 12.03.2022 17:00,75,75,75,n/e,n/e,n/e,2,2,2
12.03.2022 17:00 - 12.03.2022 18:00,30,30,30,n/e,n/e,n/e,2,2,2
12.03.2022 18:00 - 12.03.2022 19:00,2,2,2,n/e,n/e,n/e,2,2,2
12.03.2022 19:00 - 12.03.2022 20:00,0,0,0,n/e,n/e,n/e,1,1,1
12.03.2022 20:00 - 12.03.2022 21:00,0,0,0,n/e,n/e,n/e,1,1,1
12.03.2022 21:00 - 12.03.2022 22:00,0,0,0,n/e,n/e,n/e,1,1,1
12.03.2022 22:00 - 12.03.2022 23:00,0,0,0,n/e,n/e,n/e,1,1,1
12.03.2022 23:00 - 13.03.2022 00:00,0,0,0,n/e,n/e,n/e,1,1,1
13.03.2022 00:00 - 13.03.2022 01:00,0,0,0,n/e,n/e,n/e,1,1,1
13.03.2022 01:00 - 13.03.2022 02:00,0,0,0,n/e,n/e,n/e,1,1,1
13.03.2022 02:00 - 13.03.2022 03:00,0,0,0,n/e,n/e,n/e,1,1,1
13.03.2022 03:00 - 13.03.2022 04:00,0,0,0,n/e,n/e,n/e,1,1,1
13.03.2022 04:00 - 13.03.2022 05:00,0,0,0,n/e,n/e,n/e,1,1,1
13.03.2022 05:00 - 13.03.2022 06:00,6,6,6,n/e,n/e,n/e,1,1,1
13.03.2022 06:00 - 13.03.2022 07:00,65,65,65,n/e,n/e,n/e,1,1,1
13.03.2022 07:00 - 13.03.2022 08:00,155,155,155,n/e,n/e,n/e,1,1,1
13.03.2022 08:00 - 13.03.2022 09:00,230,230,230,n/e,n/e,n/e,2,2,2
13.03.2022 09:00 - 13.03.2022 10:00,285,285,285,n/e,n/e,n/e,2,2,2
13.03.2022 10:00 - 13.03.2022 11:00,310,310,310,n/e,n/e,n/e,2,2,2
13.03.2022 11:00 - 13.03.2022 12:00,320,320,320,n/e,n/e,n/e,2,2,2
13.03.2022 12:00 - 13.03.2022 13:00,315,315,315,n/e,n/e,n/e,2,2,2
13.03.2022 13:00 - 13.03.2022 14:00,285,285,285,n/e,n/e,n/e,2,2,2
13.03.2022 14:00 - 13.03.2022 15:00,230,230,230,n/e,n/e,n/e,2,2,2
13.03.2022 15:00 - 13.03.2022 16:00,145,145,145,n/e,n/e,n/e,2,2,2
13.03.2022 16:00 - 13.03.2022 17:00,75,75,75,n/e,n/e,n/e,2,2,2
13.03.2022 17:00 - 13.03.2022 18:00,30,30,30,n/e,n/e,n/e,2,2,2
13.03.2022 18:00 - 13.03.2022 19:00,2,2,2,n/e,n/e,n/e,2,2,2
13.03.2022 19:00 - 13.03.2022 20:00,0,0,0,n/e,n/e,n/e,2,2,2
13.03.2022 20:00 - 13.03.2022 21:00,0,0,0,n/e,n/e,n/e,2,2,2
13.03.2022 21:00 - 13.03.2022 22:00,0,0,0,n/e,n/e,n/e,2,2,2
13.03.2022 22:00 - 13.03.2022 23:00,0,0,0,n/e,n/e,n/e,1,1,1
13.03.2022 23:00 - 14.03.2022 00:00,0,0,0,n/e,n/e,n/e,1,1,1
14.03.2022 00:00 - 14.03.2022 01:00,0,0,0,n/e,n/e,n/e,1,1,1
14.03.2022 01:00 - 14.03.2022 02:00,0,0,0,n/e,n/e,n/e,1,1,1
14.03.2022 02:00 - 14.03.2022 03:00,0,0,0,n/e,n/e,n/e,1,1,1
14.03.2022 03:00 - 14.03.2022 04:00,0,0,0,n/e,n/e,n/e,1,1,1
14.03.2022 04:00 - 14.03.2022 05:00,0,0,0,n/e,n/e,n/e,1,1,1
14.03.2022 05:00 - 14.03.2022 06:00,6,6,6,n/e,n/e,n/e,1,1,1
14.03.2022 06:00 - 14.03.2022 07:00,65,65,65,n/e,n/e,n/e,1,1,1
14.03.2022 07:00 - 14.03.2022 08:00,155,155,155,n/e,n/e,n/e,1,1,1
14.03.2022 08:00 - 14.03.2022 09:00,230,230,230,n/e,n/e,n/e,1,1,1
14.03.2022 09:00 - 14.03.2022 10:00,285,285,285,n/e,n/e,n/e,1,1,1
14.03.2022 10:00 - 14.03.2022 11:00,310,310,310,n/e,n/e,n/e,1,1,1
14.03.2022 11:00 - 14.03.2022 12:00,320,320,320,n/e,n/e,n/e,2,2,2
14.03.2022 12:00 - 14.03.2022 13:00,315,315,315,n/e,n/e,n/e,2,2,2
14.03.2022 13:00 - 14.03.2022 14:00,285,285,285,n/e,n/e,n/e,2,2,2
14.03.2022 14:00 - 14.03.2022 15:00,230,230,230,n/e,n/e,n/e,2,2,2
14.03.2022 15:00 - 14.03.2022 16:00,145,145,145,n/e,n/e,n/e,2,2,2
14.03.2022 16:00 - 14.03.2022 17:00,75,75,75,n/e,n/e,n/e,2,2,2
14.03.2022 17:00 - 14.03.2022 18:00,30,30,30,n/e,n/e,n/e,2,2,2
