MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Denmark (DK),Generation - Solar  [MW] Day Ahead/ Denmark (DK),Generation - Solar  [MW] Day Ahead/ Denmark (DK),Generation - Wind Offshore  [MW] Day Ahead/ Denmark (DK),Generation - Wind Offshore  [MW] Day Ahead/ Denmark (DK),Generation - Wind Offshore  [MW] Day Ahead/ Denmark (DK),Generation - Wind Onshore  [MW] Day Ahead/ Denmark (DK),Generation - Wind Onshore  [MW] Day Ahead/ Denmark (DK),Generation - Wind Onshore  [MW] Day Ahead/ Denmark (DK)
31.01.2022 02:00 - 31.01.2022 03:00,0,0,0,473,473,473,171,171,171
31.01.2022 03:00 - 31.01.2022 04:00,0,0,0,403,403,403,239,239,239
31.01.2022 04:00 - 31.01.2022 05:00,0,0,0,347,347,347,328,328,328
31.01.2022 05:00 - 31.01.2022 06:00,0,0,0,423,423,423,411,411,411
31.01.2022 06:00 - 31.01.2022 07:00,0,0,0,479,479,479,423,423,423
31.01.2022 07:00 - 31.01.2022 08:00,0,0,0,469,469,469,390,390,390
31.01.2022 08:00 - 31.01.2022 09:00,8,8,8,423,423,423,343,343,343
31.01.2022 09:00 - 31.01.2022 10:00,60,60,60,318,318,318,262,262,262
31.01.2022 10:00 - 31.01.2022 11:00,122,122,122,257,257,257,211,211,211
31.01.2022 11:00 - 31.01.2022 12:00,174,174,174,174,174,174,227,227,227
31.01.2022 12:00 - 31.01.2022 13:00,205,205,205,122,122,122,273,273,273
31.01.2022 13:00 - 31.01.2022 14:00,184,184,184,111,111,111,282,282,282
31.01.2022 14:00 - 31.01.2022 15:00,156,156,156,152,152,152,266,266,266
31.01.2022 15:00 - 31.01.2022 16:00,89,89,89,232,232,232,239,239,239
31.01.2022 16:00 - 31.01.2022 17:00,13,13,13,341,341,341,217,217,217
31.01.2022 17:00 - 31.01.2022 18:00,0,0,0,429,429,429,260,260,260
31.01.2022 18:00 - 31.01.2022 19:00,0,0,0,557,557,557,337,337,337
31.01.2022 19:00 - 31.01.2022 20:00,0,0,0,732,732,732,466,466,466
31.01.2022 20:00 - 31.01.2022 21:00,0,0,0,771,771,771,768,768,768
31.01.2022 21:00 - 31.01.2022 22:00,0,0,0,784,784,784,1073,1073,1073
31.01.2022 22:00 - 31.01.2022 23:00,0,0,0,826,826,826,1239,1239,1239
31.01.2022 23:00 - 01.02.2022 00:00,0,0,0,867,867,867,1362,1362,1362
01.02.2022 00:00 - 01.02.2022 01:00,0,0,0,924,924,924,1652,1652,1652
01.02.2022 01:00 - 01.02.2022 02:00,0,0,0,1103,1103,1103,1805,1805,1805
01.02.2022 02:00 - 01.02.2022 03:00,0,0,0,1154,1154,1154,1775,1775,1775
01.02.2022 03:00 - 01.02.2022 04:00,0,0,0,1131,1131,1131,1706,1706,1706
01.02.2022 04:00 - 01.02.2022 05:00,0,0,0,1169,1169,1169,1571,1571,1571
01.02.2022 05:00 - 01.02.2022 06:00,0,0,0,1221,1221,1221,1400,1400,1400
01.02.2022 06:00 - 01.02.2022 07:00,0,0,0,1221,1221,1221,1239,1239,1239
01.02.2022 07:00 - 01.02.2022 08:00,0,0,0,1250,1250,1250,1263,1263,1263
01.02.2022 08:00 - 01.02.2022 09:00,5,5,5,1211,1211,1211,1428,1428,1428
01.02.2022 09:00 - 01.02.2022 10:00,24,24,24,1138,1138,1138,1745,1745,1745
01.02.2022 10:00 - 01.02.2022 11:00,41,41,41,1225,1225,1225,2067,2067,2067
01.02.2022 11:00 - 01.02.2022 12:00,61,61,61,1281,1281,1281,2407,2407,2407
01.02.2022 12:00 - 01.02.2022 13:00,75,75,75,1223,1223,1223,2738,2738,2738
01.02.2022 13:00 - 01.02.2022 14:00,77,77,77,1204,1204,1204,2975,2975,2975
01.02.2022 14:00 - 01.02.2022 15:00,65,65,65,1207,1207,1207,3146,3146,3146
01.02.2022 15:00 - 01.02.2022 16:00,42,42,42,1197,1197,1197,3289,3289,3289
01.02.2022 16:00 - 01.02.2022 17:00,8,8,8,1161,1161,1161,3465,3465,3465
01.02.2022 17:00 - 01.02.2022 18:00,0,0,0,1171,1171,1171,3598,3598,3598
01.02.2022 18:00 - 01.02.2022 19:00,0,0,0,1187,1187,1187,3548,3548,3548
01.02.2022 19:00 - 01.02.2022 20:00,0,0,0,1210,1210,1210,3441,3441,3441
01.02.2022 20:00 - 01.02.2022 21:00,0,0,0,1235,1235,1235,3558,3558,3558
01.02.2022 21:00 - 01.02.2022 22:00,0,0,0,1314,1314,1314,3520,3520,3520
01.02.2022 22:00 - 01.02.2022 23:00,0,0,0,1277,1277,1277,3473,3473,3473
01.02.2022 23:00 - 02.02.2022 00:00,0,0,0,1218,1218,1218,3453,3453,3453
02.02.2022 00:00 - 02.02.2022 01:00,0,0,0,1210,1210,1210,3334,3334,3334
02.02.2022 01:00 - 02.02.2022 02:00,0,0,0,1203,1203,1203,3381,3381,3381
02.02.2022 02:00 - 02.02.2022 03:00,0,0,0,1208,1208,1208,3368,3368,3368
02.02.2022 03:00 - 02.02.2022 04:00,0,0,0,1281,1281,1281,3495,3495,3495
02.02.2022 04:00 - 02.02.2022 05:00,0,0,0,1325,1325,1325,3515,3515,3515
02.02.2022 05:00 - 02.02.2022 06:00,0,0,0,1199,1199,1199,3420,3420,3420
02.02.2022 06:00 - 02.02.2022 07:00,0,0,0,1155,1155,1155,2970,2970,2970
02.02.2022 07:00 - 02.02.2022 08:00,0,0,0,1201,1201,1201,2552,2552,2552
02.02.2022 08:00 - 02.02.2022 09:00,11,11,11,1207,1207,1207,2359,2359,2359
02.02.2022 09:00 - 02.02.2022 10:00,83,83,83,1267,1267,1267,2140,2140,2140
02.02.2022 10:00 - 02.02.2022 11:00,189,189,189,1264,1264,1264,2040,2040,2040
02.02.2022 11:00 - 02.02.2022 12:00,323,323,323,1264,1264,1264,2158,2158,2158
02.02.2022 12:00 - 02.02.2022 13:00,397,397,397,1194,1194,1194,2314,2314,2314
02.02.2022 13:00 - 02.02.2022 14:00,393,393,393,1010,1010,1010,2226,2226,2226
02.02.2022 14:00 - 02.02.2022 15:00,308,308,308,813,813,813,2069,2069,2069
02.02.2022 15:00 - 02.02.2022 16:00,159,159,159,724,724,724,1791,1791,1791
02.02.2022 16:00 - 02.02.2022 17:00,28,28,28,785,785,785,1517,1517,1517
02.02.2022 17:00 - 02.02.2022 18:00,0,0,0,793,793,793,1380,1380,1380
02.02.2022 18:00 - 02.02.2022 19:00,0,0,0,811,811,811,1206,1206,1206
02.02.2022 19:00 - 02.02.2022 20:00,0,0,0,857,857,857,987,987,987
02.02.2022 20:00 - 02.02.2022 21:00,0,0,0,684,684,684,920,920,920
02.02.2022 21:00 - 02.02.2022 22:00,0,0,0,533,533,533,842,842,842
02.02.2022 22:00 - 02.02.2022 23:00,0,0,0,408,408,408,785,785,785
02.02.2022 23:00 - 03.02.2022 00:00,0,0,0,330,330,330,716,716,716
03.02.2022 00:00 - 03.02.2022 01:00,0,0,0,525,525,525,1116,1116,1116
03.02.2022 01:00 - 03.02.2022 02:00,0,0,0,692,692,692,997,997,997
03.02.2022 02:00 - 03.02.2022 03:00,0,0,0,804,804,804,871,871,871
03.02.2022 03:00 - 03.02.2022 04:00,0,0,0,782,782,782,704,704,704
03.02.2022 04:00 - 03.02.2022 05:00,0,0,0,755,755,755,590,590,590
03.02.2022 05:00 - 03.02.2022 06:00,0,0,0,679,679,679,613,613,613
03.02.2022 06:00 - 03.02.2022 07:00,0,0,0,570,570,570,677,677,677
03.02.2022 07:00 - 03.02.2022 08:00,0,0,0,629,629,629,782,782,782
03.02.2022 08:00 - 03.02.2022 09:00,3,3,3,666,666,666,844,844,844
03.02.2022 09:00 - 03.02.2022 10:00,18,18,18,785,785,785,958,958,958
03.02.2022 10:00 - 03.02.2022 11:00,33,33,33,857,857,857,973,973,973
03.02.2022 11:00 - 03.02.2022 12:00,43,43,43,905,905,905,964,964,964
03.02.2022 12:00 - 03.02.2022 13:00,46,46,46,946,946,946,966,966,966
03.02.2022 13:00 - 03.02.2022 14:00,44,44,44,956,956,956,955,955,955
03.02.2022 14:00 - 03.02.2022 15:00,41,41,41,786,786,786,943,943,943
03.02.2022 15:00 - 03.02.2022 16:00,24,24,24,742,742,742,913,913,913
03.02.2022 16:00 - 03.02.2022 17:00,5,5,5,704,704,704,914,914,914
03.02.2022 17:00 - 03.02.2022 18:00,0,0,0,696,696,696,929,929,929
03.02.2022 18:00 - 03.02.2022 19:00,0,0,0,720,720,720,912,912,912
03.02.2022 19:00 - 03.02.2022 20:00,0,0,0,763,763,763,893,893,893
03.02.2022 20:00 - 03.02.2022 21:00,0,0,0,810,810,810,944,944,944
03.02.2022 21:00 - 03.02.2022 22:00,0,0,0,843,843,843,1006,1006,1006
03.02.2022 22:00 - 03.02.2022 23:00,0,0,0,884,884,884,1137,1137,1137
03.02.2022 23:00 - 04.02.2022 00:00,0,0,0,913,913,913,1328,1328,1328
04.02.2022 00:00 - 04.02.2022 01:00,0,0,0,1094,1094,1094,1423,1423,1423
04.02.2022 01:00 - 04.02.2022 02:00,0,0,0,1121,1121,1121,1657,1657,1657
04.02.2022 02:00 - 04.02.2022 03:00,0,0,0,1145,1145,1145,1893,1893,1893
04.02.2022 03:00 - 04.02.2022 04:00,0,0,0,1187,1187,1187,2194,2194,2194
04.02.2022 04:00 - 04.02.2022 05:00,0,0,0,1206,1206,1206,2431,2431,2431
04.02.2022 05:00 - 04.02.2022 06:00,0,0,0,1219,1219,1219,2583,2583,2583
04.02.2022 06:00 - 04.02.2022 07:00,0,0,0,1281,1281,1281,2588,2588,2588
04.02.2022 07:00 - 04.02.2022 08:00,0,0,0,1333,1333,1333,2632,2632,2632
04.02.2022 08:00 - 04.02.2022 09:00,3,3,3,1304,1304,1304,2473,2473,2473
04.02.2022 09:00 - 04.02.2022 10:00,18,18,18,1086,1086,1086,2080,2080,2080
04.02.2022 10:00 - 04.02.2022 11:00,34,34,34,1044,1044,1044,1805,1805,1805
04.02.2022 11:00 - 04.02.2022 12:00,43,43,43,1096,1096,1096,1630,1630,1630
04.02.2022 12:00 - 04.02.2022 13:00,46,46,46,1041,1041,1041,1572,1572,1572
04.02.2022 13:00 - 04.02.2022 14:00,44,44,44,786,786,786,1563,1563,1563
04.02.2022 14:00 - 04.02.2022 15:00,36,36,36,788,788,788,1567,1567,1567
04.02.2022 15:00 - 04.02.2022 16:00,25,25,25,806,806,806,1564,1564,1564
04.02.2022 16:00 - 04.02.2022 17:00,6,6,6,905,905,905,1567,1567,1567
04.02.2022 17:00 - 04.02.2022 18:00,0,0,0,993,993,993,1610,1610,1610
04.02.2022 18:00 - 04.02.2022 19:00,0,0,0,1104,1104,1104,1602,1602,1602
04.02.2022 19:00 - 04.02.2022 20:00,0,0,0,1218,1218,1218,1636,1636,1636
04.02.2022 20:00 - 04.02.2022 21:00,0,0,0,1257,1257,1257,1855,1855,1855
04.02.2022 21:00 - 04.02.2022 22:00,0,0,0,1301,1301,1301,2046,2046,2046
04.02.2022 22:00 - 04.02.2022 23:00,0,0,0,1336,1336,1336,2108,2108,2108
04.02.2022 23:00 - 05.02.2022 00:00,0,0,0,1369,1369,1369,2131,2131,2131
05.02.2022 00:00 - 05.02.2022 01:00,0,0,0,1386,1386,1386,2087,2087,2087
05.02.2022 01:00 - 05.02.2022 02:00,0,0,0,1387,1387,1387,2224,2224,2224
05.02.2022 02:00 - 05.02.2022 03:00,0,0,0,1372,1372,1372,2446,2446,2446
05.02.2022 03:00 - 05.02.2022 04:00,0,0,0,1372,1372,1372,2674,2674,2674
05.02.2022 04:00 - 05.02.2022 05:00,0,0,0,1377,1377,1377,2730,2730,2730
05.02.2022 05:00 - 05.02.2022 06:00,0,0,0,1355,1355,1355,2695,2695,2695
05.02.2022 06:00 - 05.02.2022 07:00,0,0,0,1370,1370,1370,2574,2574,2574
05.02.2022 07:00 - 05.02.2022 08:00,0,0,0,1374,1374,1374,2496,2496,2496
05.02.2022 08:00 - 05.02.2022 09:00,23,23,23,1374,1374,1374,2489,2489,2489
05.02.2022 09:00 - 05.02.2022 10:00,120,120,120,1364,1364,1364,2576,2576,2576
05.02.2022 10:00 - 05.02.2022 11:00,220,220,220,1400,1400,1400,2762,2762,2762
05.02.2022 11:00 - 05.02.2022 12:00,296,296,296,1392,1392,1392,2943,2943,2943
05.02.2022 12:00 - 05.02.2022 13:00,349,349,349,1383,1383,1383,3084,3084,3084
05.02.2022 13:00 - 05.02.2022 14:00,312,312,312,1368,1368,1368,3152,3152,3152
05.02.2022 14:00 - 05.02.2022 15:00,202,202,202,1353,1353,1353,3232,3232,3232
05.02.2022 15:00 - 05.02.2022 16:00,108,108,108,1363,1363,1363,3319,3319,3319
05.02.2022 16:00 - 05.02.2022 17:00,25,25,25,1273,1273,1273,3398,3398,3398
05.02.2022 17:00 - 05.02.2022 18:00,0,0,0,1196,1196,1196,3491,3491,3491
05.02.2022 18:00 - 05.02.2022 19:00,0,0,0,1206,1206,1206,3458,3458,3458
05.02.2022 19:00 - 05.02.2022 20:00,0,0,0,1251,1251,1251,3408,3408,3408
05.02.2022 20:00 - 05.02.2022 21:00,0,0,0,1252,1252,1252,3586,3586,3586
05.02.2022 21:00 - 05.02.2022 22:00,0,0,0,1262,1262,1262,3620,3620,3620
05.02.2022 22:00 - 05.02.2022 23:00,0,0,0,1283,1283,1283,3515,3515,3515
05.02.2022 23:00 - 06.02.2022 00:00,0,0,0,1292,1292,1292,3520,3520,3520
06.02.2022 00:00 - 06.02.2022 01:00,0,0,0,1427,1427,1427,3428,3428,3428
06.02.2022 01:00 - 06.02.2022 02:00,0,0,0,1427,1427,1427,3325,3325,3325
06.02.2022 02:00 - 06.02.2022 03:00,0,0,0,1413,1413,1413,3144,3144,3144
06.02.2022 03:00 - 06.02.2022 04:00,0,0,0,1425,1425,1425,2884,2884,2884
06.02.2022 04:00 - 06.02.2022 05:00,0,0,0,1394,1394,1394,2598,2598,2598
06.02.2022 05:00 - 06.02.2022 06:00,0,0,0,1364,1364,1364,2405,2405,2405
06.02.2022 06:00 - 06.02.2022 07:00,0,0,0,1340,1340,1340,2288,2288,2288
06.02.2022 07:00 - 06.02.2022 08:00,0,0,0,1300,1300,1300,2326,2326,2326
06.02.2022 08:00 - 06.02.2022 09:00,15,15,15,1296,1296,1296,2402,2402,2402
06.02.2022 09:00 - 06.02.2022 10:00,86,86,86,1286,1286,1286,2395,2395,2395
06.02.2022 10:00 - 06.02.2022 11:00,187,187,187,1338,1338,1338,2430,2430,2430
06.02.2022 11:00 - 06.02.2022 12:00,282,282,282,1361,1361,1361,2426,2426,2426
06.02.2022 12:00 - 06.02.2022 13:00,301,301,301,1350,1350,1350,2414,2414,2414
06.02.2022 13:00 - 06.02.2022 14:00,276,276,276,1311,1311,1311,2333,2333,2333
06.02.2022 14:00 - 06.02.2022 15:00,192,192,192,1275,1275,1275,2272,2272,2272
06.02.2022 15:00 - 06.02.2022 16:00,121,121,121,1266,1266,1266,2195,2195,2195
06.02.2022 16:00 - 06.02.2022 17:00,30,30,30,1220,1220,1220,1938,1938,1938
06.02.2022 17:00 - 06.02.2022 18:00,0,0,0,1210,1210,1210,1737,1737,1737
06.02.2022 18:00 - 06.02.2022 19:00,0,0,0,1291,1291,1291,1586,1586,1586
06.02.2022 19:00 - 06.02.2022 20:00,0,0,0,1315,1315,1315,1435,1435,1435
06.02.2022 20:00 - 06.02.2022 21:00,0,0,0,1298,1298,1298,1446,1446,1446
06.02.2022 21:00 - 06.02.2022 22:00,0,0,0,1284,1284,1284,1482,1482,1482
06.02.2022 22:00 - 06.02.2022 23:00,0,0,0,1308,1308,1308,1671,1671,1671
06.02.2022 23:00 - 07.02.2022 00:00,0,0,0,1360,1360,1360,2004,2004,2004
07.02.2022 00:00 - 07.02.2022 01:00,0,0,0,1229,1229,1229,2128,2128,2128
07.02.2022 01:00 - 07.02.2022 02:00,0,0,0,1296,1296,1296,2384,2384,2384
07.02.2022 02:00 - 07.02.2022 03:00,0,0,0,1345,1345,1345,2785,2785,2785
07.02.2022 03:00 - 07.02.2022 04:00,0,0,0,1289,1289,1289,3111,3111,3111
07.02.2022 04:00 - 07.02.2022 05:00,0,0,0,1268,1268,1268,3225,3225,3225
07.02.2022 05:00 - 07.02.2022 06:00,0,0,0,1230,1230,1230,3270,3270,3270
07.02.2022 06:00 - 07.02.2022 07:00,0,0,0,1245,1245,1245,3152,3152,3152
07.02.2022 07:00 - 07.02.2022 08:00,0,0,0,1240,1240,1240,3158,3158,3158
07.02.2022 08:00 - 07.02.2022 09:00,31,31,31,1238,1238,1238,3224,3224,3224
07.02.2022 09:00 - 07.02.2022 10:00,147,147,147,1218,1218,1218,3213,3213,3213
07.02.2022 10:00 - 07.02.2022 11:00,264,264,264,1236,1236,1236,3254,3254,3254
07.02.2022 11:00 - 07.02.2022 12:00,338,338,338,1224,1224,1224,3287,3287,3287
07.02.2022 12:00 - 07.02.2022 13:00,376,376,376,1253,1253,1253,3331,3331,3331
07.02.2022 13:00 - 07.02.2022 14:00,317,317,317,1276,1276,1276,3402,3402,3402
07.02.2022 14:00 - 07.02.2022 15:00,266,266,266,1309,1309,1309,3324,3324,3324
07.02.2022 15:00 - 07.02.2022 16:00,152,152,152,1382,1382,1382,3195,3195,3195
07.02.2022 16:00 - 07.02.2022 17:00,37,37,37,1375,1375,1375,3024,3024,3024
07.02.2022 17:00 - 07.02.2022 18:00,0,0,0,1312,1312,1312,2781,2781,2781
07.02.2022 18:00 - 07.02.2022 19:00,0,0,0,1285,1285,1285,2476,2476,2476
07.02.2022 19:00 - 07.02.2022 20:00,0,0,0,1306,1306,1306,2225,2225,2225
07.02.2022 20:00 - 07.02.2022 21:00,0,0,0,1316,1316,1316,2056,2056,2056
07.02.2022 21:00 - 07.02.2022 22:00,0,0,0,1357,1357,1357,1869,1869,1869
07.02.2022 22:00 - 07.02.2022 23:00,0,0,0,1359,1359,1359,1796,1796,1796
07.02.2022 23:00 - 08.02.2022 00:00,0,0,0,1334,1334,1334,1917,1917,1917
08.02.2022 00:00 - 08.02.2022 01:00,0,0,0,1359,1359,1359,2420,2420,2420
08.02.2022 01:00 - 08.02.2022 02:00,0,0,0,1391,1391,1391,2704,2704,2704
08.02.2022 02:00 - 08.02.2022 03:00,0,0,0,1406,1406,1406,3017,3017,3017
08.02.2022 03:00 - 08.02.2022 04:00,0,0,0,1388,1388,1388,3280,3280,3280
08.02.2022 04:00 - 08.02.2022 05:00,0,0,0,1353,1353,1353,3384,3384,3384
08.02.2022 05:00 - 08.02.2022 06:00,0,0,0,1360,1360,1360,3330,3330,3330
08.02.2022 06:00 - 08.02.2022 07:00,0,0,0,1355,1355,1355,3200,3200,3200
08.02.2022 07:00 - 08.02.2022 08:00,0,0,0,1359,1359,1359,3087,3087,3087
08.02.2022 08:00 - 08.02.2022 09:00,8,8,8,1349,1349,1349,2882,2882,2882
08.02.2022 09:00 - 08.02.2022 10:00,52,52,52,1329,1329,1329,2569,2569,2569
08.02.2022 10:00 - 08.02.2022 11:00,138,138,138,1368,1368,1368,2442,2442,2442
08.02.2022 11:00 - 08.02.2022 12:00,251,251,251,1379,1379,1379,2413,2413,2413
08.02.2022 12:00 - 08.02.2022 13:00,334,334,334,1346,1346,1346,2438,2438,2438
08.02.2022 13:00 - 08.02.2022 14:00,361,361,361,1329,1329,1329,2474,2474,2474
08.02.2022 14:00 - 08.02.2022 15:00,311,311,311,1274,1274,1274,2424,2424,2424
08.02.2022 15:00 - 08.02.2022 16:00,181,181,181,1301,1301,1301,2321,2321,2321
08.02.2022 16:00 - 08.02.2022 17:00,44,44,44,1279,1279,1279,2111,2111,2111
08.02.2022 17:00 - 08.02.2022 18:00,0,0,0,1203,1203,1203,1940,1940,1940
08.02.2022 18:00 - 08.02.2022 19:00,0,0,0,1157,1157,1157,1778,1778,1778
08.02.2022 19:00 - 08.02.2022 20:00,0,0,0,1146,1146,1146,1665,1665,1665
08.02.2022 20:00 - 08.02.2022 21:00,0,0,0,1146,1146,1146,1653,1653,1653
08.02.2022 21:00 - 08.02.2022 22:00,0,0,0,1136,1136,1136,1616,1616,1616
08.02.2022 22:00 - 08.02.2022 23:00,0,0,0,1049,1049,1049,1592,1592,1592
08.02.2022 23:00 - 09.02.2022 00:00,0,0,0,1043,1043,1043,1587,1587,1587
09.02.2022 00:00 - 09.02.2022 01:00,0,0,0,860,860,860,1740,1740,1740
09.02.2022 01:00 - 09.02.2022 02:00,0,0,0,866,866,866,1644,1644,1644
09.02.2022 02:00 - 09.02.2022 03:00,0,0,0,958,958,958,1688,1688,1688
09.02.2022 03:00 - 09.02.2022 04:00,0,0,0,1059,1059,1059,1777,1777,1777
09.02.2022 04:00 - 09.02.2022 05:00,0,0,0,1087,1087,1087,1812,1812,1812
09.02.2022 05:00 - 09.02.2022 06:00,0,0,0,1142,1142,1142,1825,1825,1825
09.02.2022 06:00 - 09.02.2022 07:00,0,0,0,1268,1268,1268,1869,1869,1869
09.02.2022 07:00 - 09.02.2022 08:00,0,0,0,1303,1303,1303,2016,2016,2016
09.02.2022 08:00 - 09.02.2022 09:00,15,15,15,1308,1308,1308,2204,2204,2204
09.02.2022 09:00 - 09.02.2022 10:00,81,81,81,1289,1289,1289,2402,2402,2402
09.02.2022 10:00 - 09.02.2022 11:00,170,170,170,1329,1329,1329,2548,2548,2548
09.02.2022 11:00 - 09.02.2022 12:00,236,236,236,1364,1364,1364,2702,2702,2702
09.02.2022 12:00 - 09.02.2022 13:00,297,297,297,1373,1373,1373,2811,2811,2811
09.02.2022 13:00 - 09.02.2022 14:00,324,324,324,1381,1381,1381,2906,2906,2906
09.02.2022 14:00 - 09.02.2022 15:00,280,280,280,1356,1356,1356,2949,2949,2949
09.02.2022 15:00 - 09.02.2022 16:00,171,171,171,1350,1350,1350,2900,2900,2900
09.02.2022 16:00 - 09.02.2022 17:00,51,51,51,1335,1335,1335,2761,2761,2761
09.02.2022 17:00 - 09.02.2022 18:00,0,0,0,1311,1311,1311,2570,2570,2570
09.02.2022 18:00 - 09.02.2022 19:00,0,0,0,1291,1291,1291,2315,2315,2315
09.02.2022 19:00 - 09.02.2022 20:00,0,0,0,1320,1320,1320,2172,2172,2172
09.02.2022 20:00 - 09.02.2022 21:00,0,0,0,1311,1311,1311,2144,2144,2144
09.02.2022 21:00 - 09.02.2022 22:00,0,0,0,1279,1279,1279,2057,2057,2057
09.02.2022 22:00 - 09.02.2022 23:00,0,0,0,1220,1220,1220,1963,1963,1963
09.02.2022 23:00 - 10.02.2022 00:00,0,0,0,1175,1175,1175,1903,1903,1903
10.02.2022 00:00 - 10.02.2022 01:00,0,0,0,1120,1120,1120,1922,1922,1922
10.02.2022 01:00 - 10.02.2022 02:00,0,0,0,1111,1111,1111,1830,1830,1830
10.02.2022 02:00 - 10.02.2022 03:00,0,0,0,1092,1092,1092,1773,1773,1773
10.02.2022 03:00 - 10.02.2022 04:00,0,0,0,1052,1052,1052,1718,1718,1718
10.02.2022 04:00 - 10.02.2022 05:00,0,0,0,1019,1019,1019,1697,1697,1697
10.02.2022 05:00 - 10.02.2022 06:00,0,0,0,1016,1016,1016,1679,1679,1679
10.02.2022 06:00 - 10.02.2022 07:00,0,0,0,1011,1011,1011,1604,1604,1604
10.02.2022 07:00 - 10.02.2022 08:00,0,0,0,1037,1037,1037,1580,1580,1580
10.02.2022 08:00 - 10.02.2022 09:00,25,25,25,1100,1100,1100,1514,1514,1514
10.02.2022 09:00 - 10.02.2022 10:00,118,118,118,1152,1152,1152,1445,1445,1445
10.02.2022 10:00 - 10.02.2022 11:00,256,256,256,1179,1179,1179,1545,1545,1545
10.02.2022 11:00 - 10.02.2022 12:00,371,371,371,1145,1145,1145,1794,1794,1794
10.02.2022 12:00 - 10.02.2022 13:00,420,420,420,1187,1187,1187,2036,2036,2036
10.02.2022 13:00 - 10.02.2022 14:00,413,413,413,1225,1225,1225,2217,2217,2217
10.02.2022 14:00 - 10.02.2022 15:00,330,330,330,1204,1204,1204,2281,2281,2281
10.02.2022 15:00 - 10.02.2022 16:00,172,172,172,1221,1221,1221,2241,2241,2241
10.02.2022 16:00 - 10.02.2022 17:00,46,46,46,1216,1216,1216,2051,2051,2051
10.02.2022 17:00 - 10.02.2022 18:00,0,0,0,1159,1159,1159,1820,1820,1820
10.02.2022 18:00 - 10.02.2022 19:00,0,0,0,1142,1142,1142,1668,1668,1668
10.02.2022 19:00 - 10.02.2022 20:00,0,0,0,1165,1165,1165,1532,1532,1532
10.02.2022 20:00 - 10.02.2022 21:00,0,0,0,1112,1112,1112,1498,1498,1498
10.02.2022 21:00 - 10.02.2022 22:00,0,0,0,1064,1064,1064,1377,1377,1377
10.02.2022 22:00 - 10.02.2022 23:00,0,0,0,1012,1012,1012,1318,1318,1318
10.02.2022 23:00 - 11.02.2022 00:00,0,0,0,936,936,936,1424,1424,1424
11.02.2022 00:00 - 11.02.2022 01:00,0,0,0,606,606,606,797,797,797
11.02.2022 01:00 - 11.02.2022 02:00,0,0,0,509,509,509,717,717,717
11.02.2022 02:00 - 11.02.2022 03:00,0,0,0,389,389,389,679,679,679
11.02.2022 03:00 - 11.02.2022 04:00,0,0,0,335,335,335,663,663,663
11.02.2022 04:00 - 11.02.2022 05:00,0,0,0,349,349,349,720,720,720
11.02.2022 05:00 - 11.02.2022 06:00,0,0,0,626,626,626,877,877,877
11.02.2022 06:00 - 11.02.2022 07:00,0,0,0,938,938,938,1053,1053,1053
11.02.2022 07:00 - 11.02.2022 08:00,0,0,0,1016,1016,1016,1176,1176,1176
11.02.2022 08:00 - 11.02.2022 09:00,39,39,39,1072,1072,1072,1365,1365,1365
11.02.2022 09:00 - 11.02.2022 10:00,168,168,168,1107,1107,1107,1468,1468,1468
11.02.2022 10:00 - 11.02.2022 11:00,306,306,306,1172,1172,1172,1599,1599,1599
11.02.2022 11:00 - 11.02.2022 12:00,421,421,421,1165,1165,1165,1793,1793,1793
11.02.2022 12:00 - 11.02.2022 13:00,511,511,511,1187,1187,1187,1869,1869,1869
11.02.2022 13:00 - 11.02.2022 14:00,506,506,506,1215,1215,1215,1826,1826,1826
11.02.2022 14:00 - 11.02.2022 15:00,406,406,406,1127,1127,1127,1742,1742,1742
11.02.2022 15:00 - 11.02.2022 16:00,232,232,232,1053,1053,1053,1504,1504,1504
11.02.2022 16:00 - 11.02.2022 17:00,67,67,67,952,952,952,1160,1160,1160
11.02.2022 17:00 - 11.02.2022 18:00,0,0,0,766,766,766,908,908,908
11.02.2022 18:00 - 11.02.2022 19:00,0,0,0,511,511,511,802,802,802
11.02.2022 19:00 - 11.02.2022 20:00,0,0,0,460,460,460,752,752,752
11.02.2022 20:00 - 11.02.2022 21:00,0,0,0,471,471,471,756,756,756
11.02.2022 21:00 - 11.02.2022 22:00,0,0,0,504,504,504,800,800,800
11.02.2022 22:00 - 11.02.2022 23:00,0,0,0,516,516,516,901,901,901
11.02.2022 23:00 - 12.02.2022 00:00,0,0,0,573,573,573,1061,1061,1061
12.02.2022 00:00 - 12.02.2022 01:00,0,0,0,740,740,740,1313,1313,1313
12.02.2022 01:00 - 12.02.2022 02:00,0,0,0,855,855,855,1351,1351,1351
12.02.2022 02:00 - 12.02.2022 03:00,0,0,0,962,962,962,1474,1474,1474
12.02.2022 03:00 - 12.02.2022 04:00,0,0,0,1056,1056,1056,1606,1606,1606
12.02.2022 04:00 - 12.02.2022 05:00,0,0,0,1119,1119,1119,1782,1782,1782
12.02.2022 05:00 - 12.02.2022 06:00,0,0,0,1164,1164,1164,1941,1941,1941
12.02.2022 06:00 - 12.02.2022 07:00,0,0,0,1194,1194,1194,2035,2035,2035
12.02.2022 07:00 - 12.02.2022 08:00,0,0,0,1210,1210,1210,2188,2188,2188
