"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Spain (ES)","Actual Total Load [MW] - Spain (ES)"
"06.05.2022 07:00 - 06.05.2022 08:00","26632","26042"
"06.05.2022 08:00 - 06.05.2022 09:00","28318","27823"
"06.05.2022 09:00 - 06.05.2022 10:00","29011","28352"
"06.05.2022 10:00 - 06.05.2022 11:00","29089","28499"
"06.05.2022 11:00 - 06.05.2022 12:00","29081","28701"
"06.05.2022 12:00 - 06.05.2022 13:00","29175","28945"
"06.05.2022 13:00 - 06.05.2022 14:00","29173","28874"
"06.05.2022 14:00 - 06.05.2022 15:00","28682","28320"
"06.05.2022 15:00 - 06.05.2022 16:00","27884","27381"
"06.05.2022 16:00 - 06.05.2022 17:00","27385","26990"
"06.05.2022 17:00 - 06.05.2022 18:00","27062","26719"
"06.05.2022 18:00 - 06.05.2022 19:00","26897","26424"
"06.05.2022 19:00 - 06.05.2022 20:00","27099","26507"
"06.05.2022 20:00 - 06.05.2022 21:00","27580","26992"
"06.05.2022 21:00 - 06.05.2022 22:00","28817","28121"
"06.05.2022 22:00 - 06.05.2022 23:00","27249","26857"
"06.05.2022 23:00 - 07.05.2022 00:00","25114","24717"
"07.05.2022 00:00 - 07.05.2022 01:00","23546","23320"
"07.05.2022 01:00 - 07.05.2022 02:00","22207","21980"
"07.05.2022 02:00 - 07.05.2022 03:00","21078","21001"
"07.05.2022 03:00 - 07.05.2022 04:00","20435","20381"
"07.05.2022 04:00 - 07.05.2022 05:00","20127","20019"
"07.05.2022 05:00 - 07.05.2022 06:00","20018","19947"
"07.05.2022 06:00 - 07.05.2022 07:00","20457","20482"
"07.05.2022 07:00 - 07.05.2022 08:00","20722","20902"
"07.05.2022 08:00 - 07.05.2022 09:00","22130","22588"
"07.05.2022 09:00 - 07.05.2022 10:00","24029","24383"
"07.05.2022 10:00 - 07.05.2022 11:00","25100","25472"
"07.05.2022 11:00 - 07.05.2022 12:00","25275","25537"
"07.05.2022 12:00 - 07.05.2022 13:00","25333","25589"
"07.05.2022 13:00 - 07.05.2022 14:00","25428","25759"
"07.05.2022 14:00 - 07.05.2022 15:00","25028","25335"
"07.05.2022 15:00 - 07.05.2022 16:00","23944","24073"
"07.05.2022 16:00 - 07.05.2022 17:00","23250","23300"
"07.05.2022 17:00 - 07.05.2022 18:00","22910","23113"
"07.05.2022 18:00 - 07.05.2022 19:00","22837","23185"
"07.05.2022 19:00 - 07.05.2022 20:00","23155","23471"
"07.05.2022 20:00 - 07.05.2022 21:00","23873","24133"
"07.05.2022 21:00 - 07.05.2022 22:00","25636","25627"
"07.05.2022 22:00 - 07.05.2022 23:00","24833","24782"
"07.05.2022 23:00 - 08.05.2022 00:00","23016","22950"
"08.05.2022 00:00 - 08.05.2022 01:00","21523","21312"
"08.05.2022 01:00 - 08.05.2022 02:00","20283","20030"
"08.05.2022 02:00 - 08.05.2022 03:00","19364","19095"
"08.05.2022 03:00 - 08.05.2022 04:00","18744","18572"
"08.05.2022 04:00 - 08.05.2022 05:00","18447","18261"
"08.05.2022 05:00 - 08.05.2022 06:00","18481","18315"
"08.05.2022 06:00 - 08.05.2022 07:00","18803","18577"
"08.05.2022 07:00 - 08.05.2022 08:00","18666","18418"
"08.05.2022 08:00 - 08.05.2022 09:00","19546","19342"
"08.05.2022 09:00 - 08.05.2022 10:00","21066","21069"
"08.05.2022 10:00 - 08.05.2022 11:00","22367","22276"
"08.05.2022 11:00 - 08.05.2022 12:00","22945","22851"
"08.05.2022 12:00 - 08.05.2022 13:00","23055","23079"
"08.05.2022 13:00 - 08.05.2022 14:00","23454","23516"
"08.05.2022 14:00 - 08.05.2022 15:00","23459","23493"
"08.05.2022 15:00 - 08.05.2022 16:00","22397","22294"
"08.05.2022 16:00 - 08.05.2022 17:00","21710","21605"
"08.05.2022 17:00 - 08.05.2022 18:00","21567","21638"
"08.05.2022 18:00 - 08.05.2022 19:00","21889","21933"
"08.05.2022 19:00 - 08.05.2022 20:00","22474","22556"
"08.05.2022 20:00 - 08.05.2022 21:00","23644","23479"
"08.05.2022 21:00 - 08.05.2022 22:00","25352","25404"
"08.05.2022 22:00 - 08.05.2022 23:00","24853","25065"
"08.05.2022 23:00 - 09.05.2022 00:00","22986","23070"
"09.05.2022 00:00 - 09.05.2022 01:00","21378","21470"
"09.05.2022 01:00 - 09.05.2022 02:00","20179","20372"
"09.05.2022 02:00 - 09.05.2022 03:00","19501","19700"
"09.05.2022 03:00 - 09.05.2022 04:00","19204","19425"
"09.05.2022 04:00 - 09.05.2022 05:00","19257","19562"
"09.05.2022 05:00 - 09.05.2022 06:00","20056","20336"
"09.05.2022 06:00 - 09.05.2022 07:00","22553","23138"
"09.05.2022 07:00 - 09.05.2022 08:00","25167","25647"
"09.05.2022 08:00 - 09.05.2022 09:00","27357","27566"
"09.05.2022 09:00 - 09.05.2022 10:00","28312","27998"
"09.05.2022 10:00 - 09.05.2022 11:00","28689","28260"
"09.05.2022 11:00 - 09.05.2022 12:00","28867","28368"
"09.05.2022 12:00 - 09.05.2022 13:00","29219","28847"
"09.05.2022 13:00 - 09.05.2022 14:00","29431","29049"
"09.05.2022 14:00 - 09.05.2022 15:00","29054","28695"
"09.05.2022 15:00 - 09.05.2022 16:00","28364","28031"
"09.05.2022 16:00 - 09.05.2022 17:00","27984","27725"
"09.05.2022 17:00 - 09.05.2022 18:00","27985","27602"
"09.05.2022 18:00 - 09.05.2022 19:00","27762","27406"
"09.05.2022 19:00 - 09.05.2022 20:00","27906","27791"
"09.05.2022 20:00 - 09.05.2022 21:00","28362","28299"
"09.05.2022 21:00 - 09.05.2022 22:00","29261","29399"
"09.05.2022 22:00 - 09.05.2022 23:00","27526","27724"
"09.05.2022 23:00 - 10.05.2022 00:00","25005","25236"
"10.05.2022 00:00 - 10.05.2022 01:00","23518","23969"
"10.05.2022 01:00 - 10.05.2022 02:00","22308","22574"
"10.05.2022 02:00 - 10.05.2022 03:00","21502","21673"
"10.05.2022 03:00 - 10.05.2022 04:00","21189","21349"
"10.05.2022 04:00 - 10.05.2022 05:00","21178","21204"
"10.05.2022 05:00 - 10.05.2022 06:00","21760","21751"
"10.05.2022 06:00 - 10.05.2022 07:00","24121","24045"
"10.05.2022 07:00 - 10.05.2022 08:00","26495","26364"
"10.05.2022 08:00 - 10.05.2022 09:00","28236","28057"
"10.05.2022 09:00 - 10.05.2022 10:00","28775","28665"
"10.05.2022 10:00 - 10.05.2022 11:00","28860","29033"
"10.05.2022 11:00 - 10.05.2022 12:00","28994","29465"
"10.05.2022 12:00 - 10.05.2022 13:00","29493","29566"
"10.05.2022 13:00 - 10.05.2022 14:00","29750","29708"
"10.05.2022 14:00 - 10.05.2022 15:00","29489","29175"
"10.05.2022 15:00 - 10.05.2022 16:00","28835","28484"
"10.05.2022 16:00 - 10.05.2022 17:00","28491","28041"
"10.05.2022 17:00 - 10.05.2022 18:00","28398","28174"
"10.05.2022 18:00 - 10.05.2022 19:00","28202","27860"
"10.05.2022 19:00 - 10.05.2022 20:00","28523","28303"
"10.05.2022 20:00 - 10.05.2022 21:00","29094","28831"
"10.05.2022 21:00 - 10.05.2022 22:00","29824","29699"
"10.05.2022 22:00 - 10.05.2022 23:00","28028","28203"
"10.05.2022 23:00 - 11.05.2022 00:00","25442","25605"
"11.05.2022 00:00 - 11.05.2022 01:00","24242","24356"
"11.05.2022 01:00 - 11.05.2022 02:00","22855","22889"
"11.05.2022 02:00 - 11.05.2022 03:00","21905","22072"
"11.05.2022 03:00 - 11.05.2022 04:00","21489","21694"
"11.05.2022 04:00 - 11.05.2022 05:00","21375","21598"
"11.05.2022 05:00 - 11.05.2022 06:00","21898","22053"
"11.05.2022 06:00 - 11.05.2022 07:00","24164","24192"
"11.05.2022 07:00 - 11.05.2022 08:00","26577","26566"
"11.05.2022 08:00 - 11.05.2022 09:00","28471","27532"
"11.05.2022 09:00 - 11.05.2022 10:00","29134","27598"
"11.05.2022 10:00 - 11.05.2022 11:00","29439","27721"
"11.05.2022 11:00 - 11.05.2022 12:00","29807","28183"
"11.05.2022 12:00 - 11.05.2022 13:00","30137","29578"
"11.05.2022 13:00 - 11.05.2022 14:00","30290","29864"
"11.05.2022 14:00 - 11.05.2022 15:00","29807","29457"
"11.05.2022 15:00 - 11.05.2022 16:00","29038","28680"
"11.05.2022 16:00 - 11.05.2022 17:00","28661","28379"
"11.05.2022 17:00 - 11.05.2022 18:00","28628","28261"
"11.05.2022 18:00 - 11.05.2022 19:00","28270","28002"
"11.05.2022 19:00 - 11.05.2022 20:00","28598","28194"
"11.05.2022 20:00 - 11.05.2022 21:00","29010","28851"
"11.05.2022 21:00 - 11.05.2022 22:00","29693","29738"
"11.05.2022 22:00 - 11.05.2022 23:00","28144","27944"
"11.05.2022 23:00 - 12.05.2022 00:00","25720","25449"
"12.05.2022 00:00 - 12.05.2022 01:00","24163","24197"
"12.05.2022 01:00 - 12.05.2022 02:00","22752","22956"
"12.05.2022 02:00 - 12.05.2022 03:00","21898","22234"
"12.05.2022 03:00 - 12.05.2022 04:00","21540","21906"
"12.05.2022 04:00 - 12.05.2022 05:00","21450","21857"
"12.05.2022 05:00 - 12.05.2022 06:00","21924","22343"
"12.05.2022 06:00 - 12.05.2022 07:00","24091","24406"
"12.05.2022 07:00 - 12.05.2022 08:00","26401","26656"
"12.05.2022 08:00 - 12.05.2022 09:00","27695","28074"
"12.05.2022 09:00 - 12.05.2022 10:00","28068","28436"
"12.05.2022 10:00 - 12.05.2022 11:00","28301","28621"
"12.05.2022 11:00 - 12.05.2022 12:00","28625","28848"
"12.05.2022 12:00 - 12.05.2022 13:00","29439","29361"
"12.05.2022 13:00 - 12.05.2022 14:00","29690","29621"
"12.05.2022 14:00 - 12.05.2022 15:00","29306","29381"
"12.05.2022 15:00 - 12.05.2022 16:00","28622","28667"
"12.05.2022 16:00 - 12.05.2022 17:00","28309","28565"
"12.05.2022 17:00 - 12.05.2022 18:00","28232","28516"
"12.05.2022 18:00 - 12.05.2022 19:00","27939","28132"
"12.05.2022 19:00 - 12.05.2022 20:00","27940","28360"
"12.05.2022 20:00 - 12.05.2022 21:00","28402","28850"
"12.05.2022 21:00 - 12.05.2022 22:00","29525","29668"
"12.05.2022 22:00 - 12.05.2022 23:00","27842","28121"
"12.05.2022 23:00 - 13.05.2022 00:00","25327","25861"
"13.05.2022 00:00 - 13.05.2022 01:00","24252","24520"
"13.05.2022 01:00 - 13.05.2022 02:00","22966","23316"
"13.05.2022 02:00 - 13.05.2022 03:00","22166","22496"
"13.05.2022 03:00 - 13.05.2022 04:00","21792","22181"
"13.05.2022 04:00 - 13.05.2022 05:00","21681","22045"
"13.05.2022 05:00 - 13.05.2022 06:00","22185","22405"
"13.05.2022 06:00 - 13.05.2022 07:00","24213","24392"
"13.05.2022 07:00 - 13.05.2022 08:00","26310","26595"
"13.05.2022 08:00 - 13.05.2022 09:00","27862","28121"
"13.05.2022 09:00 - 13.05.2022 10:00","28402","28622"
"13.05.2022 10:00 - 13.05.2022 11:00","28776","29001"
"13.05.2022 11:00 - 13.05.2022 12:00","28989","29398"
"13.05.2022 12:00 - 13.05.2022 13:00","29500","29753"
"13.05.2022 13:00 - 13.05.2022 14:00","29738","29947"
"13.05.2022 14:00 - 13.05.2022 15:00","29391","29471"
"13.05.2022 15:00 - 13.05.2022 16:00","28618","28652"
"13.05.2022 16:00 - 13.05.2022 17:00","28355","28270"
"13.05.2022 17:00 - 13.05.2022 18:00","28229","28293"
"13.05.2022 18:00 - 13.05.2022 19:00","27870","27993"
"13.05.2022 19:00 - 13.05.2022 20:00","27983","28156"
"13.05.2022 20:00 - 13.05.2022 21:00","28076","28338"
"13.05.2022 21:00 - 13.05.2022 22:00","28857","28931"
"13.05.2022 22:00 - 13.05.2022 23:00","27554","27587"
"13.05.2022 23:00 - 14.05.2022 00:00","25360","25652"
"14.05.2022 00:00 - 14.05.2022 01:00","24268","24509"
"14.05.2022 01:00 - 14.05.2022 02:00","22979","23339"
"14.05.2022 02:00 - 14.05.2022 03:00","21961","22220"
"14.05.2022 03:00 - 14.05.2022 04:00","21381","21610"
"14.05.2022 04:00 - 14.05.2022 05:00","21039","21195"
"14.05.2022 05:00 - 14.05.2022 06:00","20809","20987"
"14.05.2022 06:00 - 14.05.2022 07:00","21073","21243"
"14.05.2022 07:00 - 14.05.2022 08:00","21320","21486"
"14.05.2022 08:00 - 14.05.2022 09:00","22695","22739"
"14.05.2022 09:00 - 14.05.2022 10:00","24342","24746"
"14.05.2022 10:00 - 14.05.2022 11:00","25547","25562"
"14.05.2022 11:00 - 14.05.2022 12:00","26062","25976"
"14.05.2022 12:00 - 14.05.2022 13:00","26453","25768"
"14.05.2022 13:00 - 14.05.2022 14:00","26844","25953"
"14.05.2022 14:00 - 14.05.2022 15:00","26510","25488"
"14.05.2022 15:00 - 14.05.2022 16:00","25454","24805"
"14.05.2022 16:00 - 14.05.2022 17:00","24768","24383"
"14.05.2022 17:00 - 14.05.2022 18:00","24540","24073"
"14.05.2022 18:00 - 14.05.2022 19:00","24447","24298"
"14.05.2022 19:00 - 14.05.2022 20:00","24712","24449"
"14.05.2022 20:00 - 14.05.2022 21:00","25154","24867"
"14.05.2022 21:00 - 14.05.2022 22:00","26472","26168"
"14.05.2022 22:00 - 14.05.2022 23:00","25776","25409"
"14.05.2022 23:00 - 15.05.2022 00:00","23980","23709"
"15.05.2022 00:00 - 15.05.2022 01:00","22536","22099"
"15.05.2022 01:00 - 15.05.2022 02:00","21398","21044"
"15.05.2022 02:00 - 15.05.2022 03:00","20364","20064"
"15.05.2022 03:00 - 15.05.2022 04:00","19760","19523"
"15.05.2022 04:00 - 15.05.2022 05:00","19347","19121"
"15.05.2022 05:00 - 15.05.2022 06:00","19320","19143"
"15.05.2022 06:00 - 15.05.2022 07:00","19474","19331"
"15.05.2022 07:00 - 15.05.2022 08:00","19154","19214"
"15.05.2022 08:00 - 15.05.2022 09:00","19763","20005"
"15.05.2022 09:00 - 15.05.2022 10:00","21373","21541"
"15.05.2022 10:00 - 15.05.2022 11:00","22569","22644"
"15.05.2022 11:00 - 15.05.2022 12:00","23303","23203"
"15.05.2022 12:00 - 15.05.2022 13:00","23511","23467"
"15.05.2022 13:00 - 15.05.2022 14:00","24006","23933"
"15.05.2022 14:00 - 15.05.2022 15:00","24037","23830"
"15.05.2022 15:00 - 15.05.2022 16:00","23125","22725"
"15.05.2022 16:00 - 15.05.2022 17:00","22599","22050"
"15.05.2022 17:00 - 15.05.2022 18:00","22502","22055"
"15.05.2022 18:00 - 15.05.2022 19:00","22789","22558"
"15.05.2022 19:00 - 15.05.2022 20:00","23281","23210"
"15.05.2022 20:00 - 15.05.2022 21:00","24182","24228"
"15.05.2022 21:00 - 15.05.2022 22:00","25766","25544"
"15.05.2022 22:00 - 15.05.2022 23:00","25426","25473"
"15.05.2022 23:00 - 16.05.2022 00:00","23662","23694"
"16.05.2022 00:00 - 16.05.2022 01:00","22240","22202"
"16.05.2022 01:00 - 16.05.2022 02:00","21210","21147"
"16.05.2022 02:00 - 16.05.2022 03:00","20448","20401"
"16.05.2022 03:00 - 16.05.2022 04:00","20142","20042"
"16.05.2022 04:00 - 16.05.2022 05:00","20032","20099"
"16.05.2022 05:00 - 16.05.2022 06:00","20705","20674"
"16.05.2022 06:00 - 16.05.2022 07:00","22992","22787"
"16.05.2022 07:00 - 16.05.2022 08:00","25229","25007"
"16.05.2022 08:00 - 16.05.2022 09:00","26894","26636"
"16.05.2022 09:00 - 16.05.2022 10:00","27676","27497"
"16.05.2022 10:00 - 16.05.2022 11:00","28122","28068"
"16.05.2022 11:00 - 16.05.2022 12:00","28456","28663"
"16.05.2022 12:00 - 16.05.2022 13:00","28834","28981"
"16.05.2022 13:00 - 16.05.2022 14:00","29150","29328"
"16.05.2022 14:00 - 16.05.2022 15:00","28826","28915"
"16.05.2022 15:00 - 16.05.2022 16:00","28160","28240"
"16.05.2022 16:00 - 16.05.2022 17:00","27908","27939"
"16.05.2022 17:00 - 16.05.2022 18:00","27878","27967"
"16.05.2022 18:00 - 16.05.2022 19:00","27793","27757"
"16.05.2022 19:00 - 16.05.2022 20:00","28015","28142"
"16.05.2022 20:00 - 16.05.2022 21:00","28501","28507"
"16.05.2022 21:00 - 16.05.2022 22:00","29165","29253"
"16.05.2022 22:00 - 16.05.2022 23:00","27735","27960"
"16.05.2022 23:00 - 17.05.2022 00:00","25497","25557"
"17.05.2022 00:00 - 17.05.2022 01:00","24260","24337"
"17.05.2022 01:00 - 17.05.2022 02:00","23074","23187"
"17.05.2022 02:00 - 17.05.2022 03:00","22189","22268"
"17.05.2022 03:00 - 17.05.2022 04:00","21830","21893"
"17.05.2022 04:00 - 17.05.2022 05:00","21757","21790"
"17.05.2022 05:00 - 17.05.2022 06:00","22236","22264"
"17.05.2022 06:00 - 17.05.2022 07:00","24298","24411"
"17.05.2022 07:00 - 17.05.2022 08:00","26588","26543"
"17.05.2022 08:00 - 17.05.2022 09:00","28222","27923"
"17.05.2022 09:00 - 17.05.2022 10:00","29097","28787"
"17.05.2022 10:00 - 17.05.2022 11:00","29529","29191"
"17.05.2022 11:00 - 17.05.2022 12:00","30052","29583"
"17.05.2022 12:00 - 17.05.2022 13:00","30513","30141"
"17.05.2022 13:00 - 17.05.2022 14:00","30808","30300"
"17.05.2022 14:00 - 17.05.2022 15:00","30408","29648"
"17.05.2022 15:00 - 17.05.2022 16:00","29817","29064"
"17.05.2022 16:00 - 17.05.2022 17:00","29578","28830"
"17.05.2022 17:00 - 17.05.2022 18:00","29625","28855"
"17.05.2022 18:00 - 17.05.2022 19:00","29383","28637"
"17.05.2022 19:00 - 17.05.2022 20:00","29625","28771"
"17.05.2022 20:00 - 17.05.2022 21:00","29937","29032"
"17.05.2022 21:00 - 17.05.2022 22:00","30277","29663"
"17.05.2022 22:00 - 17.05.2022 23:00","28710","28355"
"17.05.2022 23:00 - 18.05.2022 00:00","26313","25757"
"18.05.2022 00:00 - 18.05.2022 01:00","24788","24696"
"18.05.2022 01:00 - 18.05.2022 02:00","23539","23660"
"18.05.2022 02:00 - 18.05.2022 03:00","22606","22717"
"18.05.2022 03:00 - 18.05.2022 04:00","22153","22418"
"18.05.2022 04:00 - 18.05.2022 05:00","22081","22282"
"18.05.2022 05:00 - 18.05.2022 06:00","22487","22703"
"18.05.2022 06:00 - 18.05.2022 07:00","24522","24502"
"18.05.2022 07:00 - 18.05.2022 08:00","26768","26694"
"18.05.2022 08:00 - 18.05.2022 09:00","28327","28477"
"18.05.2022 09:00 - 18.05.2022 10:00","29258","29080"
"18.05.2022 10:00 - 18.05.2022 11:00","29765","29752"
"18.05.2022 11:00 - 18.05.2022 12:00","30224","30450"
"18.05.2022 12:00 - 18.05.2022 13:00","30828","30979"
"18.05.2022 13:00 - 18.05.2022 14:00","31146","31283"
"18.05.2022 14:00 - 18.05.2022 15:00","30733","30960"
"18.05.2022 15:00 - 18.05.2022 16:00","30100","30457"
"18.05.2022 16:00 - 18.05.2022 17:00","29915","30217"
"18.05.2022 17:00 - 18.05.2022 18:00","29893","30073"
"18.05.2022 18:00 - 18.05.2022 19:00","29595","29529"
"18.05.2022 19:00 - 18.05.2022 20:00","29628","29453"
"18.05.2022 20:00 - 18.05.2022 21:00","29801","29594"
"18.05.2022 21:00 - 18.05.2022 22:00","30326","30044"
"18.05.2022 22:00 - 18.05.2022 23:00","28720","28490"
"18.05.2022 23:00 - 19.05.2022 00:00","26397","26078"
"19.05.2022 00:00 - 19.05.2022 01:00","24793","25072"
"19.05.2022 01:00 - 19.05.2022 02:00","23636","23616"
"19.05.2022 02:00 - 19.05.2022 03:00","22688","22978"
"19.05.2022 03:00 - 19.05.2022 04:00","22339","22695"
"19.05.2022 04:00 - 19.05.2022 05:00","22218","22656"
"19.05.2022 05:00 - 19.05.2022 06:00","22636","23023"
"19.05.2022 06:00 - 19.05.2022 07:00","24528","24852"
"19.05.2022 07:00 - 19.05.2022 08:00","26685","26988"
"19.05.2022 08:00 - 19.05.2022 09:00","28402","28707"
"19.05.2022 09:00 - 19.05.2022 10:00","29106","29613"
"19.05.2022 10:00 - 19.05.2022 11:00","29602","30196"
"19.05.2022 11:00 - 19.05.2022 12:00","30072","30759"
"19.05.2022 12:00 - 19.05.2022 13:00","30633","31464"
"19.05.2022 13:00 - 19.05.2022 14:00","30970","31756"
"19.05.2022 14:00 - 19.05.2022 15:00","30650","31426"
"19.05.2022 15:00 - 19.05.2022 16:00","30159","30859"
"19.05.2022 16:00 - 19.05.2022 17:00","30038","30736"
"19.05.2022 17:00 - 19.05.2022 18:00","29983","30632"
"19.05.2022 18:00 - 19.05.2022 19:00","29526","30056"
"19.05.2022 19:00 - 19.05.2022 20:00","29522","30063"
"19.05.2022 20:00 - 19.05.2022 21:00","29591","30220"
"19.05.2022 21:00 - 19.05.2022 22:00","30126","30572"
"19.05.2022 22:00 - 19.05.2022 23:00","28647","29123"
"19.05.2022 23:00 - 20.05.2022 00:00","26312","26829"
"20.05.2022 00:00 - 20.05.2022 01:00","25277","25618"
"20.05.2022 01:00 - 20.05.2022 02:00","24023","24221"
"20.05.2022 02:00 - 20.05.2022 03:00","23237","23292"
"20.05.2022 03:00 - 20.05.2022 04:00","22876","22938"
"20.05.2022 04:00 - 20.05.2022 05:00","22724","22781"
"20.05.2022 05:00 - 20.05.2022 06:00","23104","23166"
"20.05.2022 06:00 - 20.05.2022 07:00","24995","24995"
"20.05.2022 07:00 - 20.05.2022 08:00","27101","27040"
"20.05.2022 08:00 - 20.05.2022 09:00","28806","28664"
"20.05.2022 09:00 - 20.05.2022 10:00","29730","29611"
"20.05.2022 10:00 - 20.05.2022 11:00","30398","30167"
"20.05.2022 11:00 - 20.05.2022 12:00","30938","30823"
"20.05.2022 12:00 - 20.05.2022 13:00","31527","31520"
"20.05.2022 13:00 - 20.05.2022 14:00","31848","31840"
"20.05.2022 14:00 - 20.05.2022 15:00","31487","31469"
"20.05.2022 15:00 - 20.05.2022 16:00","30840","30737"
"20.05.2022 16:00 - 20.05.2022 17:00","30613","30480"
"20.05.2022 17:00 - 20.05.2022 18:00","30432","30282"
"20.05.2022 18:00 - 20.05.2022 19:00","29926","29932"
"20.05.2022 19:00 - 20.05.2022 20:00","29810","29659"
"20.05.2022 20:00 - 20.05.2022 21:00","29566","29446"
"20.05.2022 21:00 - 20.05.2022 22:00","29919","29739"
"20.05.2022 22:00 - 20.05.2022 23:00","28611","28537"
"20.05.2022 23:00 - 21.05.2022 00:00","26510","26259"
"21.05.2022 00:00 - 21.05.2022 01:00","25210","25414"
"21.05.2022 01:00 - 21.05.2022 02:00","23880","24087"
"21.05.2022 02:00 - 21.05.2022 03:00","22802","22963"
"21.05.2022 03:00 - 21.05.2022 04:00","22207","22287"
"21.05.2022 04:00 - 21.05.2022 05:00","21814","21912"
"21.05.2022 05:00 - 21.05.2022 06:00","21552","21679"
"21.05.2022 06:00 - 21.05.2022 07:00","21657","21716"
"21.05.2022 07:00 - 21.05.2022 08:00","21924","22182"
"21.05.2022 08:00 - 21.05.2022 09:00","23341","23719"
"21.05.2022 09:00 - 21.05.2022 10:00","25235","25577"
"21.05.2022 10:00 - 21.05.2022 11:00","26440","26997"
"21.05.2022 11:00 - 21.05.2022 12:00","27077","27487"
"21.05.2022 12:00 - 21.05.2022 13:00","27465","27905"
"21.05.2022 13:00 - 21.05.2022 14:00","27953","28260"
"21.05.2022 14:00 - 21.05.2022 15:00","27779","27874"
"21.05.2022 15:00 - 21.05.2022 16:00","27064","27016"
"21.05.2022 16:00 - 21.05.2022 17:00","26528","26486"
"21.05.2022 17:00 - 21.05.2022 18:00","26176","26204"
"21.05.2022 18:00 - 21.05.2022 19:00","26053","26290"
"21.05.2022 19:00 - 21.05.2022 20:00","26207","26361"
"21.05.2022 20:00 - 21.05.2022 21:00","26310","26580"
"21.05.2022 21:00 - 21.05.2022 22:00","27408","27326"
"21.05.2022 22:00 - 21.05.2022 23:00","26826","26537"
"21.05.2022 23:00 - 22.05.2022 00:00","25010","24667"
"22.05.2022 00:00 - 22.05.2022 01:00","23235","23111"
"22.05.2022 01:00 - 22.05.2022 02:00","22027","21737"
"22.05.2022 02:00 - 22.05.2022 03:00","20994","20753"
"22.05.2022 03:00 - 22.05.2022 04:00","20405","20216"
"22.05.2022 04:00 - 22.05.2022 05:00","20007","19916"
"22.05.2022 05:00 - 22.05.2022 06:00","19896","19795"
"22.05.2022 06:00 - 22.05.2022 07:00","19968","19834"
"22.05.2022 07:00 - 22.05.2022 08:00","19816","19827"
"22.05.2022 08:00 - 22.05.2022 09:00","20548","20853"
"22.05.2022 09:00 - 22.05.2022 10:00","22036","22435"
"22.05.2022 10:00 - 22.05.2022 11:00","23414","23750"
"22.05.2022 11:00 - 22.05.2022 12:00","24241","24227"
"22.05.2022 12:00 - 22.05.2022 13:00","24742","24663"
"22.05.2022 13:00 - 22.05.2022 14:00","25381","25301"
"22.05.2022 14:00 - 22.05.2022 15:00","25439","25308"
"22.05.2022 15:00 - 22.05.2022 16:00","24502","24273"
"22.05.2022 16:00 - 22.05.2022 17:00","23987","23425"
"22.05.2022 17:00 - 22.05.2022 18:00","23802","23446"
"22.05.2022 18:00 - 22.05.2022 19:00","24007","23840"
"22.05.2022 19:00 - 22.05.2022 20:00","24480","24094"
"22.05.2022 20:00 - 22.05.2022 21:00","25258","24932"
"22.05.2022 21:00 - 22.05.2022 22:00","26460","26065"
"22.05.2022 22:00 - 22.05.2022 23:00","26219","26108"
"22.05.2022 23:00 - 23.05.2022 00:00","24342","24355"
"23.05.2022 00:00 - 23.05.2022 01:00","22968","23032"
"23.05.2022 01:00 - 23.05.2022 02:00","21739","21647"
"23.05.2022 02:00 - 23.05.2022 02:15","20943","20962"
"23.05.2022 02:15 - 23.05.2022 02:30","20943","20962"
"23.05.2022 02:30 - 23.05.2022 02:45","20943","20962"
"23.05.2022 02:45 - 23.05.2022 03:00","20943","20962"
"23.05.2022 03:00 - 23.05.2022 03:15","20613","20684"
"23.05.2022 03:15 - 23.05.2022 03:30","20613","20684"
"23.05.2022 03:30 - 23.05.2022 03:45","20613","20684"
"23.05.2022 03:45 - 23.05.2022 04:00","20613","20684"
"23.05.2022 04:00 - 23.05.2022 04:15","20629","20732"
"23.05.2022 04:15 - 23.05.2022 04:30","20629","20732"
"23.05.2022 04:30 - 23.05.2022 04:45","20629","20732"
"23.05.2022 04:45 - 23.05.2022 05:00","20629","20732"
"23.05.2022 05:00 - 23.05.2022 05:15","21311","21251"
"23.05.2022 05:15 - 23.05.2022 05:30","21311","21251"
"23.05.2022 05:30 - 23.05.2022 05:45","21311","21251"
"23.05.2022 05:45 - 23.05.2022 06:00","21311","21251"
"23.05.2022 06:00 - 23.05.2022 06:15","23611","23521"
"23.05.2022 06:15 - 23.05.2022 06:30","23611","23521"
"23.05.2022 06:30 - 23.05.2022 06:45","23611","23521"
"23.05.2022 06:45 - 23.05.2022 07:00","23611","23521"
"23.05.2022 07:00 - 23.05.2022 07:15","26191","25917"
"23.05.2022 07:15 - 23.05.2022 07:30","26191","25917"
"23.05.2022 07:30 - 23.05.2022 07:45","26191","25917"
"23.05.2022 07:45 - 23.05.2022 08:00","26191","25917"
"23.05.2022 08:00 - 23.05.2022 08:15","28283","27832"
"23.05.2022 08:15 - 23.05.2022 08:30","28283","27832"
"23.05.2022 08:30 - 23.05.2022 08:45","28283","27832"
"23.05.2022 08:45 - 23.05.2022 09:00","28283","27832"
"23.05.2022 09:00 - 23.05.2022 09:15","29291","28854"
"23.05.2022 09:15 - 23.05.2022 09:30","29291","28854"
"23.05.2022 09:30 - 23.05.2022 09:45","29291","28854"
"23.05.2022 09:45 - 23.05.2022 10:00","29291","28854"
