"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Spain (ES)","Actual Total Load [MW] - Spain (ES)"
"15.01.2022 04:00 - 15.01.2022 05:00","22966","23196"
"15.01.2022 05:00 - 15.01.2022 06:00","22993","23109"
"15.01.2022 06:00 - 15.01.2022 07:00","23927","23648"
"15.01.2022 07:00 - 15.01.2022 08:00","25469","25212"
"15.01.2022 08:00 - 15.01.2022 09:00","27023","26854"
"15.01.2022 09:00 - 15.01.2022 10:00","29539","29216"
"15.01.2022 10:00 - 15.01.2022 11:00","31373","30864"
"15.01.2022 11:00 - 15.01.2022 12:00","31525","30880"
"15.01.2022 12:00 - 15.01.2022 13:00","31205","30391"
"15.01.2022 13:00 - 15.01.2022 14:00","31268","30378"
"15.01.2022 14:00 - 15.01.2022 15:00","31013","29999"
"15.01.2022 15:00 - 15.01.2022 16:00","29696","28900"
"15.01.2022 16:00 - 15.01.2022 17:00","28974","28285"
"15.01.2022 17:00 - 15.01.2022 18:00","29075","28395"
"15.01.2022 18:00 - 15.01.2022 19:00","30948","30611"
"15.01.2022 19:00 - 15.01.2022 20:00","32250","31987"
"15.01.2022 20:00 - 15.01.2022 21:00","32657","32619"
"15.01.2022 21:00 - 15.01.2022 22:00","32290","32464"
"15.01.2022 22:00 - 15.01.2022 23:00","30100","30290"
"15.01.2022 23:00 - 16.01.2022 00:00","27760","27917"
"16.01.2022 00:00 - 16.01.2022 01:00","25973","25904"
"16.01.2022 01:00 - 16.01.2022 02:00","23994","24031"
"16.01.2022 02:00 - 16.01.2022 03:00","22529","22647"
"16.01.2022 03:00 - 16.01.2022 04:00","21719","21876"
"16.01.2022 04:00 - 16.01.2022 05:00","21351","21482"
"16.01.2022 05:00 - 16.01.2022 06:00","21329","21513"
"16.01.2022 06:00 - 16.01.2022 07:00","21859","21984"
"16.01.2022 07:00 - 16.01.2022 08:00","22760","22725"
"16.01.2022 08:00 - 16.01.2022 09:00","23536","23430"
"16.01.2022 09:00 - 16.01.2022 10:00","25472","25557"
"16.01.2022 10:00 - 16.01.2022 11:00","27415","27535"
"16.01.2022 11:00 - 16.01.2022 12:00","28062","28260"
"16.01.2022 12:00 - 16.01.2022 13:00","28175","28140"
"16.01.2022 13:00 - 16.01.2022 14:00","28653","28600"
"16.01.2022 14:00 - 16.01.2022 15:00","28757","28662"
"16.01.2022 15:00 - 16.01.2022 16:00","27509","27476"
"16.01.2022 16:00 - 16.01.2022 17:00","26839","26821"
"16.01.2022 17:00 - 16.01.2022 18:00","27072","26841"
"16.01.2022 18:00 - 16.01.2022 19:00","29507","29284"
"16.01.2022 19:00 - 16.01.2022 20:00","31287","31522"
"16.01.2022 20:00 - 16.01.2022 21:00","32433","32496"
"16.01.2022 21:00 - 16.01.2022 22:00","32170","32252"
"16.01.2022 22:00 - 16.01.2022 23:00","30125","30518"
"16.01.2022 23:00 - 17.01.2022 00:00","27543","27753"
"17.01.2022 00:00 - 17.01.2022 01:00","25533","25349"
"17.01.2022 01:00 - 17.01.2022 02:00","23832","23671"
"17.01.2022 02:00 - 17.01.2022 03:00","22784","22793"
"17.01.2022 03:00 - 17.01.2022 04:00","22337","22555"
"17.01.2022 04:00 - 17.01.2022 05:00","22400","22646"
"17.01.2022 05:00 - 17.01.2022 06:00","23266","23511"
"17.01.2022 06:00 - 17.01.2022 07:00","26440","26620"
"17.01.2022 07:00 - 17.01.2022 08:00","31128","31345"
"17.01.2022 08:00 - 17.01.2022 09:00","34080","33900"
"17.01.2022 09:00 - 17.01.2022 10:00","35243","34758"
"17.01.2022 10:00 - 17.01.2022 11:00","35822","35113"
"17.01.2022 11:00 - 17.01.2022 12:00","35645","34896"
"17.01.2022 12:00 - 17.01.2022 13:00","35359","34600"
"17.01.2022 13:00 - 17.01.2022 14:00","35209","34828"
"17.01.2022 14:00 - 17.01.2022 15:00","34636","34234"
"17.01.2022 15:00 - 17.01.2022 16:00","33903","33478"
"17.01.2022 16:00 - 17.01.2022 17:00","33627","33241"
"17.01.2022 17:00 - 17.01.2022 18:00","33763","33495"
"17.01.2022 18:00 - 17.01.2022 19:00","35436","35083"
"17.01.2022 19:00 - 17.01.2022 20:00","36876","36637"
"17.01.2022 20:00 - 17.01.2022 21:00","37218","37064"
"17.01.2022 21:00 - 17.01.2022 22:00","36146","35863"
"17.01.2022 22:00 - 17.01.2022 23:00","32960","32645"
"17.01.2022 23:00 - 18.01.2022 00:00","29745","29424"
"18.01.2022 00:00 - 18.01.2022 01:00","27617","27824"
"18.01.2022 01:00 - 18.01.2022 02:00","25787","26008"
"18.01.2022 02:00 - 18.01.2022 03:00","24724","24935"
"18.01.2022 03:00 - 18.01.2022 04:00","24371","24480"
"18.01.2022 04:00 - 18.01.2022 05:00","24306","24407"
"18.01.2022 05:00 - 18.01.2022 06:00","25009","25001"
"18.01.2022 06:00 - 18.01.2022 07:00","27703","27860"
"18.01.2022 07:00 - 18.01.2022 08:00","32200","32423"
"18.01.2022 08:00 - 18.01.2022 09:00","34659","35017"
"18.01.2022 09:00 - 18.01.2022 10:00","35448","36089"
"18.01.2022 10:00 - 18.01.2022 11:00","35788","36448"
"18.01.2022 11:00 - 18.01.2022 12:00","35480","35991"
"18.01.2022 12:00 - 18.01.2022 13:00","35168","35679"
"18.01.2022 13:00 - 18.01.2022 14:00","35165","35381"
"18.01.2022 14:00 - 18.01.2022 15:00","34560","34638"
"18.01.2022 15:00 - 18.01.2022 16:00","33826","33809"
"18.01.2022 16:00 - 18.01.2022 17:00","33569","33472"
"18.01.2022 17:00 - 18.01.2022 18:00","33811","33672"
"18.01.2022 18:00 - 18.01.2022 19:00","35494","35195"
"18.01.2022 19:00 - 18.01.2022 20:00","37069","36916"
"18.01.2022 20:00 - 18.01.2022 21:00","37586","37324"
"18.01.2022 21:00 - 18.01.2022 22:00","36334","36150"
"18.01.2022 22:00 - 18.01.2022 23:00","33150","33007"
"18.01.2022 23:00 - 19.01.2022 00:00","29962","29637"
"19.01.2022 00:00 - 19.01.2022 01:00","27939","27837"
