"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Germany (DE)","Generation - Solar  [MW] Intraday / Germany (DE)","Generation - Solar  [MW] Current / Germany (DE)","Generation - Wind Offshore  [MW] Day Ahead/ Germany (DE)","Generation - Wind Offshore  [MW] Intraday / Germany (DE)","Generation - Wind Offshore  [MW] Current / Germany (DE)","Generation - Wind Onshore  [MW] Day Ahead/ Germany (DE)","Generation - Wind Onshore  [MW] Intraday / Germany (DE)","Generation - Wind Onshore  [MW] Current / Germany (DE)"
"01.01.2022 13:15 - 01.01.2022 13:30","6536","6986","n/e","4714","5035","n/e","9279","9870","n/e"
"01.01.2022 13:30 - 01.01.2022 13:45","6237","6651","n/e","4823","5110","n/e","8911","9565","n/e"
"01.01.2022 13:45 - 01.01.2022 14:00","5853","6233","n/e","4929","5186","n/e","8551","9268","n/e"
"01.01.2022 14:00 - 01.01.2022 14:15","5400","5559","n/e","5025","5293","n/e","8227","9011","n/e"
"01.01.2022 14:15 - 01.01.2022 14:30","4891","4979","n/e","5100","5366","n/e","8058","8867","n/e"
"01.01.2022 14:30 - 01.01.2022 14:45","4295","4329","n/e","5172","5433","n/e","7893","8740","n/e"
"01.01.2022 14:45 - 01.01.2022 15:00","3635","3645","n/e","5243","5495","n/e","7731","8640","n/e"
"01.01.2022 15:00 - 01.01.2022 15:15","2944","2947","n/e","5213","5538","n/e","7582","8557","n/e"
"01.01.2022 15:15 - 01.01.2022 15:30","2254","2247","n/e","5270","5569","n/e","7618","8636","n/e"
"01.01.2022 15:30 - 01.01.2022 15:45","1564","1554","n/e","5316","5596","n/e","7668","8678","n/e"
"01.01.2022 15:45 - 01.01.2022 16:00","958","946","n/e","5368","5620","n/e","7728","8707","n/e"
"01.01.2022 16:00 - 01.01.2022 16:15","455","428","n/e","5413","5647","n/e","7810","8821","n/e"
"01.01.2022 16:15 - 01.01.2022 16:30","224","199","n/e","5455","5661","n/e","8130","9221","n/e"
"01.01.2022 16:30 - 01.01.2022 16:45","34","37","n/e","5498","5677","n/e","8448","9628","n/e"
"01.01.2022 16:45 - 01.01.2022 17:00","10","11","n/e","5544","5692","n/e","8765","10047","n/e"
"01.01.2022 17:00 - 01.01.2022 17:15","0","0","n/e","5586","5704","n/e","9072","10463","n/e"
"01.01.2022 17:15 - 01.01.2022 17:30","0","0","n/e","5617","5718","n/e","9468","10940","n/e"
"01.01.2022 17:30 - 01.01.2022 17:45","0","0","n/e","5653","5729","n/e","9847","11394","n/e"
"01.01.2022 17:45 - 01.01.2022 18:00","0","0","n/e","5684","5906","n/e","10236","11845","n/e"
"01.01.2022 18:00 - 01.01.2022 18:15","0","0","n/e","5921","5605","n/e","10609","12267","n/e"
"01.01.2022 18:15 - 01.01.2022 18:30","0","0","n/e","5601","5613","n/e","10986","12631","n/e"
"01.01.2022 18:30 - 01.01.2022 18:45","0","0","n/e","5631","5623","n/e","11365","12986","n/e"
"01.01.2022 18:45 - 01.01.2022 19:00","0","0","n/e","5663","5631","n/e","11740","13345","n/e"
"01.01.2022 19:00 - 01.01.2022 19:15","0","0","n/e","5691","5641","n/e","12098","13693","n/e"
"01.01.2022 19:15 - 01.01.2022 19:30","0","0","n/e","5716","5655","n/e","12419","13973","n/e"
"01.01.2022 19:30 - 01.01.2022 19:45","0","0","n/e","5744","5668","n/e","12739","14247","n/e"
"01.01.2022 19:45 - 01.01.2022 20:00","0","0","n/e","5774","5685","n/e","13059","14529","n/e"
"01.01.2022 20:00 - 01.01.2022 20:15","0","0","n/e","5806","5704","n/e","13371","14801","n/e"
"01.01.2022 20:15 - 01.01.2022 20:30","0","0","n/e","5839","5725","n/e","13660","15065","n/e"
"01.01.2022 20:30 - 01.01.2022 20:45","0","0","n/e","5874","5750","n/e","13948","15320","n/e"
"01.01.2022 20:45 - 01.01.2022 21:00","0","0","n/e","5908","5779","n/e","14228","15558","n/e"
"01.01.2022 21:00 - 01.01.2022 21:15","0","0","n/e","5945","5809","n/e","14517","15783","n/e"
"01.01.2022 21:15 - 01.01.2022 21:30","0","0","n/e","5982","5847","n/e","14811","16024","n/e"
"01.01.2022 21:30 - 01.01.2022 21:45","0","0","n/e","6018","5893","n/e","15107","16240","n/e"
"01.01.2022 21:45 - 01.01.2022 22:00","0","0","n/e","6057","5934","n/e","15410","16460","n/e"
"01.01.2022 22:00 - 01.01.2022 22:15","0","0","n/e","6118","6003","n/e","15479","16427","n/e"
"01.01.2022 22:15 - 01.01.2022 22:30","0","0","n/e","6138","6039","n/e","15702","16565","n/e"
"01.01.2022 22:30 - 01.01.2022 22:45","0","0","n/e","6157","6071","n/e","15933","16704","n/e"
"01.01.2022 22:45 - 01.01.2022 23:00","0","0","n/e","6173","6105","n/e","16179","16846","n/e"
"01.01.2022 23:00 - 01.01.2022 23:15","0","0","n/e","6184","6133","n/e","16430","17000","n/e"
"01.01.2022 23:15 - 01.01.2022 23:30","0","0","n/e","6183","6157","n/e","16684","17132","n/e"
"01.01.2022 23:30 - 01.01.2022 23:45","0","0","n/e","6183","6179","n/e","16943","17265","n/e"
"01.01.2022 23:45 - 02.01.2022 00:00","0","0","n/e","6178","6192","n/e","17199","17387","n/e"
"02.01.2022 00:00 - 02.01.2022 00:15","0","0","n/e","6409","6698","n/e","17309","18241","n/e"
"02.01.2022 00:15 - 02.01.2022 00:30","0","0","n/e","6397","6713","n/e","17402","18352","n/e"
"02.01.2022 00:30 - 02.01.2022 00:45","0","0","n/e","6385","6735","n/e","17475","18301","n/e"
"02.01.2022 00:45 - 02.01.2022 01:00","0","0","n/e","6366","6708","n/e","17562","18420","n/e"
"02.01.2022 01:00 - 02.01.2022 01:15","0","0","n/e","6168","6708","n/e","17642","18411","n/e"
"02.01.2022 01:15 - 02.01.2022 01:30","0","0","n/e","6151","6685","n/e","17695","18249","n/e"
"02.01.2022 01:30 - 02.01.2022 01:45","0","0","n/e","6134","6665","n/e","17737","18118","n/e"
"02.01.2022 01:45 - 02.01.2022 02:00","0","0","n/e","6111","6582","n/e","17772","18558","n/e"
"02.01.2022 02:00 - 02.01.2022 02:15","0","0","n/e","6091","6582","n/e","17807","18705","n/e"
"02.01.2022 02:15 - 02.01.2022 02:30","0","0","n/e","6073","6606","n/e","17862","18181","n/e"
"02.01.2022 02:30 - 02.01.2022 02:45","0","0","n/e","6047","6599","n/e","17908","17567","n/e"
"02.01.2022 02:45 - 02.01.2022 03:00","0","0","n/e","6023","6572","n/e","17956","17975","n/e"
"02.01.2022 03:00 - 02.01.2022 03:15","0","0","n/e","5989","6538","n/e","17995","17876","n/e"
"02.01.2022 03:15 - 02.01.2022 03:30","0","0","n/e","5953","6540","n/e","18030","17938","n/e"
"02.01.2022 03:30 - 02.01.2022 03:45","0","0","n/e","5914","6504","n/e","18076","18021","n/e"
"02.01.2022 03:45 - 02.01.2022 04:00","0","0","n/e","5871","6408","n/e","18118","18370","n/e"
"02.01.2022 04:00 - 02.01.2022 04:15","0","0","n/e","5826","6096","n/e","18155","18672","n/e"
"02.01.2022 04:15 - 02.01.2022 04:30","0","0","n/e","5783","6084","n/e","18126","18537","n/e"
"02.01.2022 04:30 - 02.01.2022 04:45","0","0","n/e","5738","6054","n/e","18101","18044","n/e"
"02.01.2022 04:45 - 02.01.2022 05:00","0","0","n/e","5689","6068","n/e","18080","18063","n/e"
"02.01.2022 05:00 - 02.01.2022 05:15","0","0","n/e","5641","5969","n/e","18064","17871","n/e"
"02.01.2022 05:15 - 02.01.2022 05:30","0","0","n/e","5607","5912","n/e","18093","18033","n/e"
"02.01.2022 05:30 - 02.01.2022 05:45","0","0","n/e","5568","5892","n/e","18125","18140","n/e"
"02.01.2022 05:45 - 02.01.2022 06:00","0","0","n/e","5520","5853","n/e","18157","17878","n/e"
"02.01.2022 06:00 - 02.01.2022 06:15","0","0","n/e","5478","6054","n/e","18442","18015","n/e"
"02.01.2022 06:15 - 02.01.2022 06:30","0","0","n/e","5424","6010","n/e","18552","17733","n/e"
"02.01.2022 06:30 - 02.01.2022 06:45","0","0","n/e","5371","6079","n/e","18663","17736","n/e"
"02.01.2022 06:45 - 02.01.2022 07:00","0","0","n/e","5309","5928","n/e","18772","18199","n/e"
"02.01.2022 07:00 - 02.01.2022 07:15","0","0","n/e","5256","5949","n/e","18892","18473","n/e"
"02.01.2022 07:15 - 02.01.2022 07:30","0","0","n/e","5250","5858","n/e","19057","18699","n/e"
"02.01.2022 07:30 - 02.01.2022 07:45","0","0","n/e","5244","5724","n/e","19230","19587","n/e"
"02.01.2022 07:45 - 02.01.2022 08:00","0","0","n/e","5235","5673","n/e","19412","19866","n/e"
"02.01.2022 08:00 - 02.01.2022 08:15","14","15","n/e","5212","5627","n/e","19614","20280","n/e"
"02.01.2022 08:15 - 02.01.2022 08:30","84","88","n/e","5175","5612","n/e","19860","20951","n/e"
"02.01.2022 08:30 - 02.01.2022 08:45","376","329","n/e","5136","5591","n/e","20118","21689","n/e"
"02.01.2022 08:45 - 02.01.2022 09:00","660","618","n/e","5098","5580","n/e","20374","21747","n/e"
"02.01.2022 09:00 - 02.01.2022 09:15","1023","972","n/e","5060","5571","n/e","20668","22062","n/e"
"02.01.2022 09:15 - 02.01.2022 09:30","1443","1416","n/e","5066","5572","n/e","20958","22412","n/e"
"02.01.2022 09:30 - 02.01.2022 09:45","1901","1871","n/e","5069","5571","n/e","21291","22930","n/e"
"02.01.2022 09:45 - 02.01.2022 10:00","2390","2332","n/e","5059","5563","n/e","21620","23315","n/e"
"02.01.2022 10:00 - 02.01.2022 10:15","2816","2760","n/e","5060","5566","n/e","21928","23682","n/e"
"02.01.2022 10:15 - 02.01.2022 10:30","3230","3206","n/e","5125","5606","n/e","22206","24214","n/e"
"02.01.2022 10:30 - 02.01.2022 10:45","3621","3671","n/e","5176","5642","n/e","22448","24730","n/e"
"02.01.2022 10:45 - 02.01.2022 11:00","3976","4107","n/e","5219","5685","n/e","22668","25243","n/e"
"02.01.2022 11:00 - 02.01.2022 11:15","4294","4529","n/e","5248","5415","n/e","22886","25739","n/e"
"02.01.2022 11:15 - 02.01.2022 11:30","4588","4879","n/e","5310","5440","n/e","23396","26371","n/e"
"02.01.2022 11:30 - 02.01.2022 11:45","4788","5130","n/e","5362","5474","n/e","23908","27011","n/e"
"02.01.2022 11:45 - 02.01.2022 12:00","4899","5256","n/e","5413","5502","n/e","24391","27631","n/e"
"02.01.2022 12:00 - 02.01.2022 12:15","4970","5352","n/e","5453","5534","n/e","24815","28199","n/e"
"02.01.2022 12:15 - 02.01.2022 12:30","5004","5372","n/e","5481","5490","n/e","25351","28791","n/e"
"02.01.2022 12:30 - 02.01.2022 12:45","4940","5281","n/e","5507","5536","n/e","25883","29342","n/e"
"02.01.2022 12:45 - 02.01.2022 13:00","4789","5090","n/e","5531","5587","n/e","26429","29879","n/e"
"02.01.2022 13:00 - 02.01.2022 13:15","4620","4851","n/e","5557","5636","n/e","27033","30436","n/e"
"02.01.2022 13:15 - 02.01.2022 13:30","4432","4620","n/e","5583","5720","n/e","27646","30991","n/e"
"02.01.2022 13:30 - 02.01.2022 13:45","4205","4352","n/e","5607","5804","n/e","28201","31492","n/e"
"02.01.2022 13:45 - 02.01.2022 14:00","3911","4017","n/e","5631","5884","n/e","28739","31972","n/e"
"02.01.2022 14:00 - 02.01.2022 14:15","3615","3329","n/e","5652","5954","n/e","29242","31696","n/e"
"02.01.2022 14:15 - 02.01.2022 14:30","3302","2989","n/e","5621","5997","n/e","29832","32028","n/e"
"02.01.2022 14:30 - 02.01.2022 14:45","2898","2626","n/e","5659","6035","n/e","30451","32544","n/e"
"02.01.2022 14:45 - 02.01.2022 15:00","2446","2239","n/e","5697","6066","n/e","31036","33016","n/e"
"02.01.2022 15:00 - 02.01.2022 15:15","1962","1826","n/e","5726","6044","n/e","31572","33444","n/e"
"02.01.2022 15:15 - 02.01.2022 15:30","1498","1393","n/e","5738","6090","n/e","32014","33816","n/e"
"02.01.2022 15:30 - 02.01.2022 15:45","1050","964","n/e","5744","6137","n/e","32440","34739","n/e"
"02.01.2022 15:45 - 02.01.2022 16:00","657","604","n/e","5748","6176","n/e","32824","35073","n/e"
"02.01.2022 16:00 - 02.01.2022 16:15","358","332","n/e","5750","6209","n/e","33174","35377","n/e"
"02.01.2022 16:15 - 02.01.2022 16:30","152","143","n/e","5808","6116","n/e","33418","35552","n/e"
"02.01.2022 16:30 - 02.01.2022 16:45","33","24","n/e","5863","5977","n/e","33650","35725","n/e"
"02.01.2022 16:45 - 02.01.2022 17:00","9","7","n/e","5910","5998","n/e","33888","35890","n/e"
"02.01.2022 17:00 - 02.01.2022 17:15","0","0","n/e","5957","6012","n/e","34099","36037","n/e"
"02.01.2022 17:15 - 02.01.2022 17:30","0","0","n/e","5998","6027","n/e","34211","36069","n/e"
"02.01.2022 17:30 - 02.01.2022 17:45","0","0","n/e","6035","6039","n/e","34314","36089","n/e"
"02.01.2022 17:45 - 02.01.2022 18:00","0","0","n/e","6072","6051","n/e","34422","36105","n/e"
"02.01.2022 18:00 - 02.01.2022 18:15","0","0","n/e","6101","6062","n/e","34507","36096","n/e"
"02.01.2022 18:15 - 02.01.2022 18:30","0","0","n/e","6132","6076","n/e","34539","35997","n/e"
"02.01.2022 18:30 - 02.01.2022 18:45","0","0","n/e","6160","6127","n/e","34568","35903","n/e"
"02.01.2022 18:45 - 02.01.2022 19:00","0","0","n/e","6191","6139","n/e","34583","35807","n/e"
"02.01.2022 19:00 - 02.01.2022 19:15","0","0","n/e","6210","6144","n/e","34598","35725","n/e"
"02.01.2022 19:15 - 02.01.2022 19:30","0","0","n/e","6236","6140","n/e","34519","35568","n/e"
"02.01.2022 19:30 - 02.01.2022 19:45","0","0","n/e","6257","6136","n/e","34442","35424","n/e"
"02.01.2022 19:45 - 02.01.2022 20:00","0","0","n/e","6281","6128","n/e","34323","35290","n/e"
"02.01.2022 20:00 - 02.01.2022 20:15","0","0","n/e","6329","6123","n/e","34178","35178","n/e"
"02.01.2022 20:15 - 02.01.2022 20:30","0","0","n/e","6324","6122","n/e","33977","34986","n/e"
"02.01.2022 20:30 - 02.01.2022 20:45","0","0","n/e","6322","6115","n/e","33847","34819","n/e"
"02.01.2022 20:45 - 02.01.2022 21:00","0","0","n/e","6319","6113","n/e","33716","34628","n/e"
"02.01.2022 21:00 - 02.01.2022 21:15","0","0","n/e","6316","6109","n/e","33587","34409","n/e"
"02.01.2022 21:15 - 02.01.2022 21:30","0","0","n/e","6313","6333","n/e","33457","34160","n/e"
"02.01.2022 21:30 - 02.01.2022 21:45","0","0","n/e","6307","6326","n/e","33318","33889","n/e"
"02.01.2022 21:45 - 02.01.2022 22:00","0","0","n/e","6301","6361","n/e","33125","33579","n/e"
"02.01.2022 22:00 - 02.01.2022 22:15","0","0","n/e","6298","6403","n/e","32341","32725","n/e"
"02.01.2022 22:15 - 02.01.2022 22:30","0","0","n/e","6305","6408","n/e","32096","32413","n/e"
"02.01.2022 22:30 - 02.01.2022 22:45","0","0","n/e","6311","6409","n/e","31983","32161","n/e"
"02.01.2022 22:45 - 02.01.2022 23:00","0","0","n/e","6316","6410","n/e","31846","31887","n/e"
"02.01.2022 23:00 - 02.01.2022 23:15","0","0","n/e","6324","6409","n/e","31698","31610","n/e"
"02.01.2022 23:15 - 02.01.2022 23:30","0","0","n/e","6343","6415","n/e","31618","31445","n/e"
"02.01.2022 23:30 - 02.01.2022 23:45","0","0","n/e","6364","6426","n/e","31538","31263","n/e"
"02.01.2022 23:45 - 03.01.2022 00:00","0","0","n/e","6377","6434","n/e","31431","31090","n/e"
"03.01.2022 00:00 - 03.01.2022 00:15","0","0","n/e","6291","5850","n/e","30241","28938","n/e"
"03.01.2022 00:15 - 03.01.2022 00:30","0","0","n/e","6377","6044","n/e","30266","29195","n/e"
"03.01.2022 00:30 - 03.01.2022 00:45","0","0","n/e","6456","6307","n/e","30226","29298","n/e"
"03.01.2022 00:45 - 03.01.2022 01:00","0","0","n/e","6368","6515","n/e","30157","29369","n/e"
"03.01.2022 01:00 - 03.01.2022 01:15","0","0","n/e","6323","6342","n/e","30073","29221","n/e"
"03.01.2022 01:15 - 03.01.2022 01:30","0","0","n/e","6349","6334","n/e","30138","29074","n/e"
