"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Germany (DE)","Generation - Solar  [MW] Intraday / Germany (DE)","Generation - Solar  [MW] Current / Germany (DE)","Generation - Wind Offshore  [MW] Day Ahead/ Germany (DE)","Generation - Wind Offshore  [MW] Intraday / Germany (DE)","Generation - Wind Offshore  [MW] Current / Germany (DE)","Generation - Wind Onshore  [MW] Day Ahead/ Germany (DE)","Generation - Wind Onshore  [MW] Intraday / Germany (DE)","Generation - Wind Onshore  [MW] Current / Germany (DE)"
"12.01.2022 08:45 - 12.01.2022 09:00","822","866","n/e","1438","1345","n/e","3338","3168","n/e"
"12.01.2022 09:00 - 12.01.2022 09:15","1270","1418","n/e","1477","1418","n/e","3362","3173","n/e"
"12.01.2022 09:15 - 12.01.2022 09:30","1797","2013","n/e","1556","1536","n/e","3393","3200","n/e"
"12.01.2022 09:30 - 12.01.2022 09:45","2367","2622","n/e","1633","1656","n/e","3427","3218","n/e"
"12.01.2022 09:45 - 12.01.2022 10:00","2961","3239","n/e","1717","1778","n/e","3455","3234","n/e"
"12.01.2022 10:00 - 12.01.2022 10:15","3545","3845","n/e","1797","1895","n/e","3484","3256","n/e"
"12.01.2022 10:15 - 12.01.2022 10:30","4086","4420","n/e","1881","1990","n/e","3469","3283","n/e"
"12.01.2022 10:30 - 12.01.2022 10:45","4582","4934","n/e","1967","2090","n/e","3458","3298","n/e"
"12.01.2022 10:45 - 12.01.2022 11:00","5038","5411","n/e","2054","2185","n/e","3441","3311","n/e"
"12.01.2022 11:00 - 12.01.2022 11:15","5449","5786","n/e","2131","2270","n/e","3436","3314","n/e"
"12.01.2022 11:15 - 12.01.2022 11:30","5815","6214","n/e","2209","2293","n/e","3446","3333","n/e"
"12.01.2022 11:30 - 12.01.2022 11:45","6109","6528","n/e","2287","2320","n/e","3456","3365","n/e"
"12.01.2022 11:45 - 12.01.2022 12:00","6357","6785","n/e","2366","2348","n/e","3473","3392","n/e"
"12.01.2022 12:00 - 12.01.2022 12:15","6556","6972","n/e","2448","2385","n/e","3496","3434","n/e"
"12.01.2022 12:15 - 12.01.2022 12:30","6678","7085","n/e","2544","2421","n/e","3555","3494","n/e"
"12.01.2022 12:30 - 12.01.2022 12:45","6710","7111","n/e","2634","2458","n/e","3624","3563","n/e"
"12.01.2022 12:45 - 12.01.2022 13:00","6668","7062","n/e","2735","2497","n/e","3680","3642","n/e"
"12.01.2022 13:00 - 12.01.2022 13:15","6565","6908","n/e","2831","2545","n/e","3734","3721","n/e"
"12.01.2022 13:15 - 12.01.2022 13:30","6383","6699","n/e","2915","2642","n/e","3828","3821","n/e"
"12.01.2022 13:30 - 12.01.2022 13:45","6113","6400","n/e","2999","2741","n/e","3920","3901","n/e"
"12.01.2022 13:45 - 12.01.2022 14:00","5763","5980","n/e","3087","2836","n/e","3996","3983","n/e"
"12.01.2022 14:00 - 12.01.2022 14:15","5354","5557","n/e","3180","2935","n/e","4096","4057","n/e"
"12.01.2022 14:15 - 12.01.2022 14:30","4899","5041","n/e","3267","3027","n/e","4258","4216","n/e"
"12.01.2022 14:30 - 12.01.2022 14:45","4366","4454","n/e","3356","3125","n/e","4419","4380","n/e"
"12.01.2022 14:45 - 12.01.2022 15:00","3747","3845","n/e","3443","3220","n/e","4572","4568","n/e"
"12.01.2022 15:00 - 12.01.2022 15:15","3125","3204","n/e","3516","3437","n/e","4749","4764","n/e"
"12.01.2022 15:15 - 12.01.2022 15:30","2505","2569","n/e","3582","3559","n/e","5006","5027","n/e"
"12.01.2022 15:30 - 12.01.2022 15:45","1901","1930","n/e","3628","3670","n/e","5272","5332","n/e"
"12.01.2022 15:45 - 12.01.2022 16:00","1317","1317","n/e","3688","3780","n/e","5548","5659","n/e"
"12.01.2022 16:00 - 12.01.2022 16:15","792","776","n/e","3752","3889","n/e","5843","6029","n/e"
"12.01.2022 16:15 - 12.01.2022 16:30","335","324","n/e","3816","3939","n/e","6244","6426","n/e"
"12.01.2022 16:30 - 12.01.2022 16:45","64","51","n/e","3886","3990","n/e","6645","6813","n/e"
"12.01.2022 16:45 - 12.01.2022 17:00","14","7","n/e","3953","4040","n/e","6993","7160","n/e"
"12.01.2022 17:00 - 12.01.2022 17:15","0","0","n/e","4015","4086","n/e","7364","7502","n/e"
"12.01.2022 17:15 - 12.01.2022 17:30","0","0","n/e","4060","4106","n/e","7694","7772","n/e"
"12.01.2022 17:30 - 12.01.2022 17:45","0","0","n/e","4104","4126","n/e","7988","8024","n/e"
"12.01.2022 17:45 - 12.01.2022 18:00","0","0","n/e","4142","4145","n/e","8276","8274","n/e"
"12.01.2022 18:00 - 12.01.2022 18:15","0","0","n/e","4183","4160","n/e","8556","8510","n/e"
"12.01.2022 18:15 - 12.01.2022 18:30","0","0","n/e","4214","4178","n/e","8790","8708","n/e"
"12.01.2022 18:30 - 12.01.2022 18:45","0","0","n/e","4236","4195","n/e","9027","8907","n/e"
"12.01.2022 18:45 - 12.01.2022 19:00","0","0","n/e","4262","4210","n/e","9269","9112","n/e"
"12.01.2022 19:00 - 12.01.2022 19:15","0","0","n/e","4288","4229","n/e","9503","9314","n/e"
"12.01.2022 19:15 - 12.01.2022 19:30","0","0","n/e","4340","4277","n/e","9687","9496","n/e"
"12.01.2022 19:30 - 12.01.2022 19:45","0","0","n/e","4384","4321","n/e","9871","9684","n/e"
"12.01.2022 19:45 - 12.01.2022 20:00","0","0","n/e","4427","4364","n/e","10057","9887","n/e"
"12.01.2022 20:00 - 12.01.2022 20:15","0","0","n/e","4476","4414","n/e","10244","10102","n/e"
"12.01.2022 20:15 - 12.01.2022 20:30","0","0","n/e","4521","4468","n/e","10462","10307","n/e"
"12.01.2022 20:30 - 12.01.2022 20:45","0","0","n/e","4631","4522","n/e","10682","10501","n/e"
"12.01.2022 20:45 - 12.01.2022 21:00","0","0","n/e","4691","4575","n/e","10906","10698","n/e"
"12.01.2022 21:00 - 12.01.2022 21:15","0","0","n/e","4730","4624","n/e","11119","10900","n/e"
"12.01.2022 21:15 - 12.01.2022 21:30","0","0","n/e","4758","4711","n/e","11347","11109","n/e"
"12.01.2022 21:30 - 12.01.2022 21:45","0","0","n/e","4782","4748","n/e","11576","11329","n/e"
"12.01.2022 21:45 - 12.01.2022 22:00","0","0","n/e","4806","4784","n/e","11799","11544","n/e"
"12.01.2022 22:00 - 12.01.2022 22:15","0","0","n/e","4837","4814","n/e","11839","11604","n/e"
"12.01.2022 22:15 - 12.01.2022 22:30","0","0","n/e","4846","4807","n/e","12008","11795","n/e"
"12.01.2022 22:30 - 12.01.2022 22:45","0","0","n/e","4856","4800","n/e","12178","11986","n/e"
"12.01.2022 22:45 - 12.01.2022 23:00","0","0","n/e","4861","4795","n/e","12357","12178","n/e"
"12.01.2022 23:00 - 12.01.2022 23:15","0","0","n/e","4871","4789","n/e","12534","12369","n/e"
"12.01.2022 23:15 - 12.01.2022 23:30","0","0","n/e","4939","4788","n/e","12666","12533","n/e"
"12.01.2022 23:30 - 12.01.2022 23:45","0","0","n/e","4969","4787","n/e","12801","12698","n/e"
"12.01.2022 23:45 - 13.01.2022 00:00","0","0","n/e","4987","4789","n/e","12939","12866","n/e"
"13.01.2022 00:00 - 13.01.2022 00:15","0","0","n/e","4904","4624","n/e","12953","12713","n/e"
"13.01.2022 00:15 - 13.01.2022 00:30","0","0","n/e","4949","4704","n/e","13114","12766","n/e"
"13.01.2022 00:30 - 13.01.2022 00:45","0","0","n/e","4991","4865","n/e","13269","12960","n/e"
"13.01.2022 00:45 - 13.01.2022 01:00","0","0","n/e","5033","5046","n/e","13424","13316","n/e"
"13.01.2022 01:00 - 13.01.2022 01:15","0","0","n/e","4950","5138","n/e","13586","13430","n/e"
"13.01.2022 01:15 - 13.01.2022 01:30","0","0","n/e","4978","5200","n/e","13762","13781","n/e"
"13.01.2022 01:30 - 13.01.2022 01:45","0","0","n/e","5000","5192","n/e","13928","14106","n/e"
"13.01.2022 01:45 - 13.01.2022 02:00","0","0","n/e","5027","5167","n/e","14094","14311","n/e"
"13.01.2022 02:00 - 13.01.2022 02:15","0","0","n/e","5048","5209","n/e","14254","14728","n/e"
"13.01.2022 02:15 - 13.01.2022 02:30","0","0","n/e","5071","5263","n/e","14403","14883","n/e"
"13.01.2022 02:30 - 13.01.2022 02:45","0","0","n/e","5090","5368","n/e","14546","14962","n/e"
"13.01.2022 02:45 - 13.01.2022 03:00","0","0","n/e","5111","5438","n/e","14693","15290","n/e"
"13.01.2022 03:00 - 13.01.2022 03:15","0","0","n/e","5206","5484","n/e","14838","15603","n/e"
"13.01.2022 03:15 - 13.01.2022 03:30","0","0","n/e","5260","5444","n/e","14985","15749","n/e"
"13.01.2022 03:30 - 13.01.2022 03:45","0","0","n/e","5304","5468","n/e","15142","15862","n/e"
"13.01.2022 03:45 - 13.01.2022 04:00","0","0","n/e","5357","5498","n/e","15304","16044","n/e"
"13.01.2022 04:00 - 13.01.2022 04:15","0","0","n/e","5401","5510","n/e","15473","16252","n/e"
"13.01.2022 04:15 - 13.01.2022 04:30","0","0","n/e","5430","5486","n/e","15626","16527","n/e"
"13.01.2022 04:30 - 13.01.2022 04:45","0","0","n/e","5447","5447","n/e","15784","16587","n/e"
"13.01.2022 04:45 - 13.01.2022 05:00","0","0","n/e","5471","5441","n/e","15943","16621","n/e"
"13.01.2022 05:00 - 13.01.2022 05:15","0","0","n/e","5461","5453","n/e","16092","16761","n/e"
"13.01.2022 05:15 - 13.01.2022 05:30","0","0","n/e","5449","5358","n/e","16222","16901","n/e"
"13.01.2022 05:30 - 13.01.2022 05:45","0","0","n/e","5435","5348","n/e","16362","16800","n/e"
"13.01.2022 05:45 - 13.01.2022 06:00","0","0","n/e","5418","5418","n/e","16508","16849","n/e"
"13.01.2022 06:00 - 13.01.2022 06:15","0","0","n/e","5391","5385","n/e","16902","17258","n/e"
"13.01.2022 06:15 - 13.01.2022 06:30","0","0","n/e","5357","5275","n/e","17001","17095","n/e"
"13.01.2022 06:30 - 13.01.2022 06:45","0","0","n/e","5325","5203","n/e","17076","17133","n/e"
"13.01.2022 06:45 - 13.01.2022 07:00","0","0","n/e","5293","5135","n/e","17151","17290","n/e"
"13.01.2022 07:00 - 13.01.2022 07:15","0","0","n/e","5255","5049","n/e","17230","17489","n/e"
"13.01.2022 07:15 - 13.01.2022 07:30","0","0","n/e","5221","4956","n/e","17292","17549","n/e"
"13.01.2022 07:30 - 13.01.2022 07:45","0","0","n/e","5185","4956","n/e","17361","17525","n/e"
"13.01.2022 07:45 - 13.01.2022 08:00","0","0","n/e","5147","4905","n/e","17399","17514","n/e"
"13.01.2022 08:00 - 13.01.2022 08:15","16","11","n/e","5083","4846","n/e","17434","17537","n/e"
"13.01.2022 08:15 - 13.01.2022 08:30","113","83","n/e","5046","4792","n/e","17456","17364","n/e"
"13.01.2022 08:30 - 13.01.2022 08:45","520","499","n/e","5014","4739","n/e","17471","17169","n/e"
"13.01.2022 08:45 - 13.01.2022 09:00","952","916","n/e","4978","4687","n/e","17478","16998","n/e"
"13.01.2022 09:00 - 13.01.2022 09:15","1528","1456","n/e","4952","4643","n/e","17506","16962","n/e"
"13.01.2022 09:15 - 13.01.2022 09:30","2196","2041","n/e","4947","4665","n/e","17534","16949","n/e"
"13.01.2022 09:30 - 13.01.2022 09:45","2929","2671","n/e","4948","4682","n/e","17570","16958","n/e"
"13.01.2022 09:45 - 13.01.2022 10:00","3705","3347","n/e","4943","4698","n/e","17618","16922","n/e"
"13.01.2022 10:00 - 13.01.2022 10:15","4524","4042","n/e","4951","4717","n/e","17635","16896","n/e"
"13.01.2022 10:15 - 13.01.2022 10:30","5305","4757","n/e","4979","4779","n/e","17592","16860","n/e"
"13.01.2022 10:30 - 13.01.2022 10:45","6034","5361","n/e","5006","4838","n/e","17543","16832","n/e"
"13.01.2022 10:45 - 13.01.2022 11:00","6741","6003","n/e","5034","4899","n/e","17495","16811","n/e"
"13.01.2022 11:00 - 13.01.2022 11:15","7359","6622","n/e","5065","4879","n/e","17468","16815","n/e"
"13.01.2022 11:15 - 13.01.2022 11:30","7893","7120","n/e","5087","4929","n/e","17502","16868","n/e"
"13.01.2022 11:30 - 13.01.2022 11:45","8314","7545","n/e","5114","5028","n/e","17529","16909","n/e"
"13.01.2022 11:45 - 13.01.2022 12:00","8701","7908","n/e","5137","5080","n/e","17551","16935","n/e"
"13.01.2022 12:00 - 13.01.2022 12:15","9006","8239","n/e","5158","5125","n/e","17552","16957","n/e"
"13.01.2022 12:15 - 13.01.2022 12:30","9204","8459","n/e","5175","5154","n/e","17505","16987","n/e"
"13.01.2022 12:30 - 13.01.2022 12:45","9290","8615","n/e","5189","5178","n/e","17464","17018","n/e"
"13.01.2022 12:45 - 13.01.2022 13:00","9298","8635","n/e","5207","5212","n/e","17424","17053","n/e"
"13.01.2022 13:00 - 13.01.2022 13:15","9186","8507","n/e","5221","5235","n/e","17394","17081","n/e"
"13.01.2022 13:15 - 13.01.2022 13:30","8982","8310","n/e","5225","5235","n/e","17364","17077","n/e"
"13.01.2022 13:30 - 13.01.2022 13:45","8690","8004","n/e","5225","5237","n/e","17337","17068","n/e"
"13.01.2022 13:45 - 13.01.2022 14:00","8248","7632","n/e","5225","5236","n/e","17312","17054","n/e"
"13.01.2022 14:00 - 13.01.2022 14:15","7713","8042","n/e","5222","5231","n/e","17268","16679","n/e"
"13.01.2022 14:15 - 13.01.2022 14:30","7066","7387","n/e","5213","5158","n/e","17188","16707","n/e"
"13.01.2022 14:30 - 13.01.2022 14:45","6314","6552","n/e","5204","5128","n/e","17104","16731","n/e"
"13.01.2022 14:45 - 13.01.2022 15:00","5474","5694","n/e","5198","5096","n/e","17032","16768","n/e"
"13.01.2022 15:00 - 13.01.2022 15:15","4591","4750","n/e","5159","4959","n/e","16977","16827","n/e"
"13.01.2022 15:15 - 13.01.2022 15:30","3709","3799","n/e","5153","4943","n/e","17032","16903","n/e"
"13.01.2022 15:30 - 13.01.2022 15:45","2837","2893","n/e","5143","4931","n/e","17091","16985","n/e"
"13.01.2022 15:45 - 13.01.2022 16:00","1994","2027","n/e","5136","4918","n/e","17152","17072","n/e"
"13.01.2022 16:00 - 13.01.2022 16:15","1220","1203","n/e","5129","4910","n/e","17230","17179","n/e"
"13.01.2022 16:15 - 13.01.2022 16:30","526","457","n/e","5119","4917","n/e","17333","17307","n/e"
"13.01.2022 16:30 - 13.01.2022 16:45","83","66","n/e","5109","4920","n/e","17444","17448","n/e"
"13.01.2022 16:45 - 13.01.2022 17:00","9","3","n/e","5099","4926","n/e","17551","17571","n/e"
"13.01.2022 17:00 - 13.01.2022 17:15","0","0","n/e","5093","4939","n/e","17652","17691","n/e"
"13.01.2022 17:15 - 13.01.2022 17:30","0","0","n/e","5102","4972","n/e","17749","17811","n/e"
"13.01.2022 17:30 - 13.01.2022 17:45","0","0","n/e","5114","4999","n/e","17844","17927","n/e"
"13.01.2022 17:45 - 13.01.2022 18:00","0","0","n/e","5124","5026","n/e","17946","18046","n/e"
"13.01.2022 18:00 - 13.01.2022 18:15","0","0","n/e","5137","5067","n/e","18046","18157","n/e"
"13.01.2022 18:15 - 13.01.2022 18:30","0","0","n/e","5162","5138","n/e","18138","18250","n/e"
"13.01.2022 18:30 - 13.01.2022 18:45","0","0","n/e","5184","5205","n/e","18230","18343","n/e"
"13.01.2022 18:45 - 13.01.2022 19:00","0","0","n/e","5214","5276","n/e","18315","18445","n/e"
"13.01.2022 19:00 - 13.01.2022 19:15","0","0","n/e","5242","5338","n/e","18411","18556","n/e"
"13.01.2022 19:15 - 13.01.2022 19:30","0","0","n/e","5291","5399","n/e","18479","18666","n/e"
"13.01.2022 19:30 - 13.01.2022 19:45","0","0","n/e","5346","5563","n/e","18543","18764","n/e"
"13.01.2022 19:45 - 13.01.2022 20:00","0","0","n/e","5401","5624","n/e","18602","18861","n/e"
"13.01.2022 20:00 - 13.01.2022 20:15","0","0","n/e","5445","5680","n/e","18644","18938","n/e"
"13.01.2022 20:15 - 13.01.2022 20:30","0","0","n/e","5579","5738","n/e","18673","19020","n/e"
"13.01.2022 20:30 - 13.01.2022 20:45","0","0","n/e","5630","5787","n/e","18701","19101","n/e"
"13.01.2022 20:45 - 13.01.2022 21:00","0","0","n/e","5678","5833","n/e","18733","19178","n/e"
"13.01.2022 21:00 - 13.01.2022 21:15","0","0","n/e","5726","5882","n/e","18773","19257","n/e"
"13.01.2022 21:15 - 13.01.2022 21:30","0","0","n/e","5773","5914","n/e","18840","19360","n/e"
"13.01.2022 21:30 - 13.01.2022 21:45","0","0","n/e","5817","5944","n/e","18907","19456","n/e"
"13.01.2022 21:45 - 13.01.2022 22:00","0","0","n/e","5863","5978","n/e","18966","19553","n/e"
"13.01.2022 22:00 - 13.01.2022 22:15","0","0","n/e","5919","6017","n/e","18691","19309","n/e"
"13.01.2022 22:15 - 13.01.2022 22:30","0","0","n/e","5925","6035","n/e","18717","19353","n/e"
"13.01.2022 22:30 - 13.01.2022 22:45","0","0","n/e","5927","6049","n/e","18742","19402","n/e"
"13.01.2022 22:45 - 13.01.2022 23:00","0","0","n/e","5935","6066","n/e","18771","19456","n/e"
"13.01.2022 23:00 - 13.01.2022 23:15","0","0","n/e","5932","6079","n/e","18806","19516","n/e"
"13.01.2022 23:15 - 13.01.2022 23:30","0","0","n/e","5936","6084","n/e","18839","19544","n/e"
"13.01.2022 23:30 - 13.01.2022 23:45","0","0","n/e","5932","6084","n/e","18873","19566","n/e"
"13.01.2022 23:45 - 14.01.2022 00:00","0","0","n/e","5965","6087","n/e","18902","19574","n/e"
"14.01.2022 00:00 - 14.01.2022 00:15","0","0","n/e","5930","6103","n/e","19255","19830","n/e"
"14.01.2022 00:15 - 14.01.2022 00:30","0","0","n/e","5931","6142","n/e","19211","19770","n/e"
"14.01.2022 00:30 - 14.01.2022 00:45","0","0","n/e","5935","6251","n/e","19161","19757","n/e"
"14.01.2022 00:45 - 14.01.2022 01:00","0","0","n/e","5938","6390","n/e","19113","19677","n/e"
"14.01.2022 01:00 - 14.01.2022 01:15","0","0","n/e","6035","6425","n/e","19062","19483","n/e"
"14.01.2022 01:15 - 14.01.2022 01:30","0","0","n/e","6005","6439","n/e","19020","19317","n/e"
"14.01.2022 01:30 - 14.01.2022 01:45","0","0","n/e","5974","6482","n/e","18967","19193","n/e"
"14.01.2022 01:45 - 14.01.2022 02:00","0","0","n/e","5943","6481","n/e","18906","19043","n/e"
"14.01.2022 02:00 - 14.01.2022 02:15","0","0","n/e","5913","6490","n/e","18841","19003","n/e"
"14.01.2022 02:15 - 14.01.2022 02:30","0","0","n/e","5886","6525","n/e","18813","18986","n/e"
"14.01.2022 02:30 - 14.01.2022 02:45","0","0","n/e","5858","6516","n/e","18794","19052","n/e"
"14.01.2022 02:45 - 14.01.2022 03:00","0","0","n/e","5828","6522","n/e","18789","18954","n/e"
"14.01.2022 03:00 - 14.01.2022 03:15","0","0","n/e","5802","6530","n/e","18789","18898","n/e"
"14.01.2022 03:15 - 14.01.2022 03:30","0","0","n/e","5785","6526","n/e","18808","19094","n/e"
"14.01.2022 03:30 - 14.01.2022 03:45","0","0","n/e","5772","6476","n/e","18848","19225","n/e"
"14.01.2022 03:45 - 14.01.2022 04:00","0","0","n/e","5757","6423","n/e","18888","19286","n/e"
"14.01.2022 04:00 - 14.01.2022 04:15","0","0","n/e","5736","6353","n/e","18937","19368","n/e"
"14.01.2022 04:15 - 14.01.2022 04:30","0","0","n/e","5710","6276","n/e","18993","19485","n/e"
"14.01.2022 04:30 - 14.01.2022 04:45","0","0","n/e","5681","6220","n/e","19049","19602","n/e"
"14.01.2022 04:45 - 14.01.2022 05:00","0","0","n/e","5655","6166","n/e","19099","19708","n/e"
"14.01.2022 05:00 - 14.01.2022 05:15","0","0","n/e","5624","6153","n/e","19143","19957","n/e"
"14.01.2022 05:15 - 14.01.2022 05:30","0","0","n/e","5579","6100","n/e","19188","20104","n/e"
"14.01.2022 05:30 - 14.01.2022 05:45","0","0","n/e","5533","6032","n/e","19231","19909","n/e"
"14.01.2022 05:45 - 14.01.2022 06:00","0","0","n/e","5485","5975","n/e","19273","20148","n/e"
"14.01.2022 06:00 - 14.01.2022 06:15","0","0","n/e","5362","5846","n/e","19672","20823","n/e"
"14.01.2022 06:15 - 14.01.2022 06:30","0","0","n/e","5257","5728","n/e","19653","20608","n/e"
"14.01.2022 06:30 - 14.01.2022 06:45","0","0","n/e","5157","5625","n/e","19625","20688","n/e"
"14.01.2022 06:45 - 14.01.2022 07:00","0","0","n/e","5053","5437","n/e","19593","20839","n/e"
"14.01.2022 07:00 - 14.01.2022 07:15","0","0","n/e","4800","5028","n/e","19545","20866","n/e"
"14.01.2022 07:15 - 14.01.2022 07:30","0","0","n/e","4824","4857","n/e","19473","20711","n/e"
"14.01.2022 07:30 - 14.01.2022 07:45","0","0","n/e","4851","4831","n/e","19391","20434","n/e"
"14.01.2022 07:45 - 14.01.2022 08:00","0","0","n/e","4799","4885","n/e","19300","20396","n/e"
"14.01.2022 08:00 - 14.01.2022 08:15","13","26","n/e","4817","4927","n/e","19194","20230","n/e"
"14.01.2022 08:15 - 14.01.2022 08:30","131","157","n/e","4821","4938","n/e","19065","20068","n/e"
"14.01.2022 08:30 - 14.01.2022 08:45","846","784","n/e","4824","4943","n/e","18939","19841","n/e"
"14.01.2022 08:45 - 14.01.2022 09:00","1593","1461","n/e","4829","4951","n/e","18795","19545","n/e"
"14.01.2022 09:00 - 14.01.2022 09:15","2403","2204","n/e","4818","4941","n/e","18689","19394","n/e"
"14.01.2022 09:15 - 14.01.2022 09:30","3228","2955","n/e","4787","4860","n/e","18566","19218","n/e"
"14.01.2022 09:30 - 14.01.2022 09:45","4024","3719","n/e","4754","4783","n/e","18446","19043","n/e"
"14.01.2022 09:45 - 14.01.2022 10:00","4851","4501","n/e","4718","4700","n/e","18295","18857","n/e"
"14.01.2022 10:00 - 14.01.2022 10:15","5635","5252","n/e","4668","4605","n/e","18165","18690","n/e"
"14.01.2022 10:15 - 14.01.2022 10:30","6368","5984","n/e","4583","4476","n/e","17996","18455","n/e"
"14.01.2022 10:30 - 14.01.2022 10:45","7066","6653","n/e","4490","4345","n/e","17823","18219","n/e"
"14.01.2022 10:45 - 14.01.2022 11:00","7704","7291","n/e","4393","4210","n/e","17651","17962","n/e"
"14.01.2022 11:00 - 14.01.2022 11:15","8287","7890","n/e","4453","4131","n/e","17485","17688","n/e"
"14.01.2022 11:15 - 14.01.2022 11:30","8793","8388","n/e","4371","4026","n/e","17368","17434","n/e"
"14.01.2022 11:30 - 14.01.2022 11:45","9204","8778","n/e","4265","3914","n/e","17248","17187","n/e"
"14.01.2022 11:45 - 14.01.2022 12:00","9551","9097","n/e","4164","3812","n/e","17125","16978","n/e"
"14.01.2022 12:00 - 14.01.2022 12:15","9804","9338","n/e","4028","3685","n/e","17015","16692","n/e"
"14.01.2022 12:15 - 14.01.2022 12:30","9959","9421","n/e","3852","3574","n/e","16876","16475","n/e"
"14.01.2022 12:30 - 14.01.2022 12:45","10001","9435","n/e","3681","3465","n/e","16719","16243","n/e"
"14.01.2022 12:45 - 14.01.2022 13:00","9934","9360","n/e","3424","3300","n/e","16519","16015","n/e"
"14.01.2022 13:00 - 14.01.2022 13:15","9780","9238","n/e","3296","3198","n/e","16315","15799","n/e"
"14.01.2022 13:15 - 14.01.2022 13:30","9486","8917","n/e","3191","3087","n/e","16155","15663","n/e"
"14.01.2022 13:30 - 14.01.2022 13:45","9085","8536","n/e","3088","2965","n/e","15992","15519","n/e"
"14.01.2022 13:45 - 14.01.2022 14:00","8641","8054","n/e","2979","2863","n/e","15775","15409","n/e"
"14.01.2022 14:00 - 14.01.2022 14:15","8098","7284","n/e","2870","2766","n/e","15530","15122","n/e"
"14.01.2022 14:15 - 14.01.2022 14:30","7410","6633","n/e","2787","2681","n/e","15377","15048","n/e"
"14.01.2022 14:30 - 14.01.2022 14:45","6604","5918","n/e","2705","2594","n/e","15207","14964","n/e"
"14.01.2022 14:45 - 14.01.2022 15:00","5733","5166","n/e","2613","2510","n/e","15020","14870","n/e"
"14.01.2022 15:00 - 14.01.2022 15:15","4808","4345","n/e","2536","2517","n/e","14875","14789","n/e"
"14.01.2022 15:15 - 14.01.2022 15:30","3889","3530","n/e","2468","2462","n/e","14724","14599","n/e"
"14.01.2022 15:30 - 14.01.2022 15:45","3015","2746","n/e","2406","2404","n/e","14505","14382","n/e"
"14.01.2022 15:45 - 14.01.2022 16:00","2170","1980","n/e","2330","2345","n/e","14299","14172","n/e"
"14.01.2022 16:00 - 14.01.2022 16:15","1379","1268","n/e","2267","2289","n/e","14060","13954","n/e"
"14.01.2022 16:15 - 14.01.2022 16:30","698","645","n/e","2203","2228","n/e","13770","13619","n/e"
"14.01.2022 16:30 - 14.01.2022 16:45","204","192","n/e","2137","2163","n/e","13477","13278","n/e"
"14.01.2022 16:45 - 14.01.2022 17:00","5","13","n/e","2070","2097","n/e","13166","12921","n/e"
"14.01.2022 17:00 - 14.01.2022 17:15","0","0","n/e","2005","2032","n/e","12847","12545","n/e"
"14.01.2022 17:15 - 14.01.2022 17:30","0","0","n/e","1945","1972","n/e","12535","12145","n/e"
"14.01.2022 17:30 - 14.01.2022 17:45","0","0","n/e","1880","1903","n/e","12221","11753","n/e"
"14.01.2022 17:45 - 14.01.2022 18:00","0","0","n/e","1816","1831","n/e","11912","11360","n/e"
"14.01.2022 18:00 - 14.01.2022 18:15","0","0","n/e","1754","1761","n/e","11579","10955","n/e"
"14.01.2022 18:15 - 14.01.2022 18:30","0","0","n/e","1697","1689","n/e","11220","10556","n/e"
"14.01.2022 18:30 - 14.01.2022 18:45","0","0","n/e","1639","1617","n/e","10864","10169","n/e"
"14.01.2022 18:45 - 14.01.2022 19:00","0","0","n/e","1578","1540","n/e","10507","9789","n/e"
"14.01.2022 19:00 - 14.01.2022 19:15","0","0","n/e","1526","1466","n/e","10161","9416","n/e"
"14.01.2022 19:15 - 14.01.2022 19:30","0","0","n/e","1476","1410","n/e","9816","9033","n/e"
"14.01.2022 19:30 - 14.01.2022 19:45","0","0","n/e","1428","1352","n/e","9476","8658","n/e"
"14.01.2022 19:45 - 14.01.2022 20:00","0","0","n/e","1381","1296","n/e","9141","8297","n/e"
"14.01.2022 20:00 - 14.01.2022 20:15","0","0","n/e","1333","1243","n/e","8822","7945","n/e"
"14.01.2022 20:15 - 14.01.2022 20:30","0","0","n/e","1286","1192","n/e","8554","7613","n/e"
"14.01.2022 20:30 - 14.01.2022 20:45","0","0","n/e","1236","1144","n/e","8286","7278","n/e"
"14.01.2022 20:45 - 14.01.2022 21:00","0","0","n/e","1190","1097","n/e","8018","6947","n/e"
"14.01.2022 21:00 - 14.01.2022 21:15","0","0","n/e","1142","1051","n/e","7762","6631","n/e"
"14.01.2022 21:15 - 14.01.2022 21:30","0","0","n/e","1096","1009","n/e","7555","6380","n/e"
"14.01.2022 21:30 - 14.01.2022 21:45","0","0","n/e","1050","961","n/e","7351","6143","n/e"
"14.01.2022 21:45 - 14.01.2022 22:00","0","0","n/e","1009","923","n/e","7149","5909","n/e"
"14.01.2022 22:00 - 14.01.2022 22:15","0","0","n/e","968","888","n/e","6896","5674","n/e"
"14.01.2022 22:15 - 14.01.2022 22:30","0","0","n/e","933","851","n/e","6727","5471","n/e"
"14.01.2022 22:30 - 14.01.2022 22:45","0","0","n/e","896","818","n/e","6560","5286","n/e"
"14.01.2022 22:45 - 14.01.2022 23:00","0","0","n/e","857","785","n/e","6399","5114","n/e"
"14.01.2022 23:00 - 14.01.2022 23:15","0","0","n/e","826","755","n/e","6241","4973","n/e"
"14.01.2022 23:15 - 14.01.2022 23:30","0","0","n/e","800","731","n/e","6112","4878","n/e"
