MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Bulgaria (BG),Generation - Solar  [MW] Day Ahead/ Bulgaria (BG),Generation - Solar  [MW] Day Ahead/ Bulgaria (BG),Generation - Wind Offshore  [MW] Day Ahead/ Bulgaria (BG),Generation - Wind Offshore  [MW] Intraday / Bulgaria (BG),Generation - Wind Offshore  [MW] Current / Bulgaria (BG),Generation - Wind Onshore  [MW] Day Ahead/ Bulgaria (BG),Generation - Wind Onshore  [MW] Day Ahead/ Bulgaria (BG),Generation - Wind Onshore  [MW] Day Ahead/ Bulgaria (BG)
08.02.2022 15:00 - 08.02.2022 16:00,144,144,144,N/A,n/e,n/e,612,612,612
08.02.2022 16:00 - 08.02.2022 17:00,7,7,7,N/A,n/e,n/e,509,509,509
08.02.2022 17:00 - 08.02.2022 18:00,0,0,0,N/A,n/e,n/e,452,452,452
08.02.2022 18:00 - 08.02.2022 19:00,0,0,0,N/A,n/e,n/e,406,406,406
08.02.2022 19:00 - 08.02.2022 20:00,0,0,0,N/A,n/e,n/e,488,488,488
08.02.2022 20:00 - 08.02.2022 21:00,0,0,0,N/A,n/e,n/e,454,454,454
08.02.2022 21:00 - 08.02.2022 22:00,0,0,0,N/A,n/e,n/e,432,432,432
08.02.2022 22:00 - 08.02.2022 23:00,0,0,0,N/A,n/e,n/e,406,406,406
08.02.2022 23:00 - 09.02.2022 00:00,0,0,0,N/A,n/e,n/e,527,527,527
09.02.2022 00:00 - 09.02.2022 01:00,0,0,0,N/A,n/e,n/e,448,448,448
09.02.2022 01:00 - 09.02.2022 02:00,0,0,0,N/A,n/e,n/e,398,398,398
09.02.2022 02:00 - 09.02.2022 03:00,0,0,0,N/A,n/e,n/e,327,327,327
09.02.2022 03:00 - 09.02.2022 04:00,0,0,0,N/A,n/e,n/e,353,353,353
09.02.2022 04:00 - 09.02.2022 05:00,0,0,0,N/A,n/e,n/e,253,253,253
09.02.2022 05:00 - 09.02.2022 06:00,0,0,0,N/A,n/e,n/e,248,248,248
09.02.2022 06:00 - 09.02.2022 07:00,5,5,5,N/A,n/e,n/e,261,261,261
09.02.2022 07:00 - 09.02.2022 08:00,134,134,134,N/A,n/e,n/e,422,422,422
09.02.2022 08:00 - 09.02.2022 09:00,325,325,325,N/A,n/e,n/e,477,477,477
09.02.2022 09:00 - 09.02.2022 10:00,481,481,481,N/A,n/e,n/e,432,432,432
09.02.2022 10:00 - 09.02.2022 11:00,583,583,583,N/A,n/e,n/e,412,412,412
09.02.2022 11:00 - 09.02.2022 12:00,619,619,619,N/A,n/e,n/e,401,401,401
09.02.2022 12:00 - 09.02.2022 13:00,599,599,599,N/A,n/e,n/e,435,435,435
09.02.2022 13:00 - 09.02.2022 14:00,504,504,504,N/A,n/e,n/e,324,324,324
09.02.2022 14:00 - 09.02.2022 15:00,347,347,347,N/A,n/e,n/e,210,210,210
09.02.2022 15:00 - 09.02.2022 16:00,152,152,152,N/A,n/e,n/e,138,138,138
09.02.2022 16:00 - 09.02.2022 17:00,7,7,7,N/A,n/e,n/e,92,92,92
09.02.2022 17:00 - 09.02.2022 18:00,0,0,0,N/A,n/e,n/e,111,111,111
09.02.2022 18:00 - 09.02.2022 19:00,0,0,0,N/A,n/e,n/e,143,143,143
09.02.2022 19:00 - 09.02.2022 20:00,0,0,0,N/A,n/e,n/e,118,118,118
09.02.2022 20:00 - 09.02.2022 21:00,0,0,0,N/A,n/e,n/e,170,170,170
09.02.2022 21:00 - 09.02.2022 22:00,0,0,0,N/A,n/e,n/e,327,327,327
09.02.2022 22:00 - 09.02.2022 23:00,0,0,0,N/A,n/e,n/e,425,425,425
09.02.2022 23:00 - 10.02.2022 00:00,0,0,0,N/A,n/e,n/e,99,99,99
10.02.2022 00:00 - 10.02.2022 01:00,0,0,0,N/A,n/e,n/e,84,84,84
10.02.2022 01:00 - 10.02.2022 02:00,0,0,0,N/A,n/e,n/e,97,97,97
10.02.2022 02:00 - 10.02.2022 03:00,0,0,0,N/A,n/e,n/e,106,106,106
10.02.2022 03:00 - 10.02.2022 04:00,0,0,0,N/A,n/e,n/e,107,107,107
10.02.2022 04:00 - 10.02.2022 05:00,0,0,0,N/A,n/e,n/e,71,71,71
10.02.2022 05:00 - 10.02.2022 06:00,0,0,0,N/A,n/e,n/e,44,44,44
10.02.2022 06:00 - 10.02.2022 07:00,5,5,5,N/A,n/e,n/e,56,56,56
10.02.2022 07:00 - 10.02.2022 08:00,146,146,146,N/A,n/e,n/e,52,52,52
10.02.2022 08:00 - 10.02.2022 09:00,347,347,347,N/A,n/e,n/e,59,59,59
10.02.2022 09:00 - 10.02.2022 10:00,512,512,512,N/A,n/e,n/e,4,4,4
10.02.2022 10:00 - 10.02.2022 11:00,615,615,615,N/A,n/e,n/e,2,2,2
10.02.2022 11:00 - 10.02.2022 12:00,651,651,651,N/A,n/e,n/e,0,0,0
10.02.2022 12:00 - 10.02.2022 13:00,612,612,612,N/A,n/e,n/e,0,0,0
10.02.2022 13:00 - 10.02.2022 14:00,508,508,508,N/A,n/e,n/e,12,12,12
10.02.2022 14:00 - 10.02.2022 15:00,349,349,349,N/A,n/e,n/e,48,48,48
10.02.2022 15:00 - 10.02.2022 16:00,155,155,155,N/A,n/e,n/e,80,80,80
10.02.2022 16:00 - 10.02.2022 17:00,8,8,8,N/A,n/e,n/e,110,110,110
10.02.2022 17:00 - 10.02.2022 18:00,0,0,0,N/A,n/e,n/e,158,158,158
10.02.2022 18:00 - 10.02.2022 19:00,0,0,0,N/A,n/e,n/e,177,177,177
10.02.2022 19:00 - 10.02.2022 20:00,0,0,0,N/A,n/e,n/e,180,180,180
10.02.2022 20:00 - 10.02.2022 21:00,0,0,0,N/A,n/e,n/e,207,207,207
10.02.2022 21:00 - 10.02.2022 22:00,0,0,0,N/A,n/e,n/e,284,284,284
10.02.2022 22:00 - 10.02.2022 23:00,0,0,0,N/A,n/e,n/e,313,313,313
10.02.2022 23:00 - 11.02.2022 00:00,0,0,0,N/A,n/e,n/e,328,328,328
11.02.2022 00:00 - 11.02.2022 01:00,0,0,0,N/A,n/e,n/e,284,284,284
11.02.2022 01:00 - 11.02.2022 02:00,0,0,0,N/A,n/e,n/e,292,292,292
11.02.2022 02:00 - 11.02.2022 03:00,0,0,0,N/A,n/e,n/e,308,308,308
11.02.2022 03:00 - 11.02.2022 04:00,0,0,0,N/A,n/e,n/e,293,293,293
11.02.2022 04:00 - 11.02.2022 05:00,0,0,0,N/A,n/e,n/e,281,281,281
11.02.2022 05:00 - 11.02.2022 06:00,0,0,0,N/A,n/e,n/e,279,279,279
11.02.2022 06:00 - 11.02.2022 07:00,6,6,6,N/A,n/e,n/e,268,268,268
11.02.2022 07:00 - 11.02.2022 08:00,153,153,153,N/A,n/e,n/e,252,252,252
11.02.2022 08:00 - 11.02.2022 09:00,357,357,357,N/A,n/e,n/e,193,193,193
11.02.2022 09:00 - 11.02.2022 10:00,525,525,525,N/A,n/e,n/e,141,141,141
11.02.2022 10:00 - 11.02.2022 11:00,630,630,630,N/A,n/e,n/e,85,85,85
11.02.2022 11:00 - 11.02.2022 12:00,666,666,666,N/A,n/e,n/e,59,59,59
11.02.2022 12:00 - 11.02.2022 13:00,626,626,626,N/A,n/e,n/e,48,48,48
11.02.2022 13:00 - 11.02.2022 14:00,520,520,520,N/A,n/e,n/e,38,38,38
11.02.2022 14:00 - 11.02.2022 15:00,359,359,359,N/A,n/e,n/e,47,47,47
11.02.2022 15:00 - 11.02.2022 16:00,162,162,162,N/A,n/e,n/e,77,77,77
11.02.2022 16:00 - 11.02.2022 17:00,10,10,10,N/A,n/e,n/e,87,87,87
11.02.2022 17:00 - 11.02.2022 18:00,0,0,0,N/A,n/e,n/e,107,107,107
11.02.2022 18:00 - 11.02.2022 19:00,0,0,0,N/A,n/e,n/e,104,104,104
11.02.2022 19:00 - 11.02.2022 20:00,0,0,0,N/A,n/e,n/e,61,61,61
11.02.2022 20:00 - 11.02.2022 21:00,0,0,0,N/A,n/e,n/e,69,69,69
11.02.2022 21:00 - 11.02.2022 22:00,0,0,0,N/A,n/e,n/e,101,101,101
11.02.2022 22:00 - 11.02.2022 23:00,0,0,0,N/A,n/e,n/e,141,141,141
11.02.2022 23:00 - 12.02.2022 00:00,0,0,0,N/A,n/e,n/e,63,63,63
12.02.2022 00:00 - 12.02.2022 01:00,0,0,0,N/A,n/e,n/e,74,74,74
12.02.2022 01:00 - 12.02.2022 02:00,0,0,0,N/A,n/e,n/e,81,81,81
12.02.2022 02:00 - 12.02.2022 03:00,0,0,0,N/A,n/e,n/e,81,81,81
12.02.2022 03:00 - 12.02.2022 04:00,0,0,0,N/A,n/e,n/e,83,83,83
12.02.2022 04:00 - 12.02.2022 05:00,0,0,0,N/A,n/e,n/e,96,96,96
12.02.2022 05:00 - 12.02.2022 06:00,0,0,0,N/A,n/e,n/e,188,188,188
12.02.2022 06:00 - 12.02.2022 07:00,4,4,4,N/A,n/e,n/e,353,353,353
12.02.2022 07:00 - 12.02.2022 08:00,107,107,107,N/A,n/e,n/e,506,506,506
12.02.2022 08:00 - 12.02.2022 09:00,271,271,271,N/A,n/e,n/e,462,462,462
12.02.2022 09:00 - 12.02.2022 10:00,414,414,414,N/A,n/e,n/e,498,498,498
12.02.2022 10:00 - 12.02.2022 11:00,514,514,514,N/A,n/e,n/e,482,482,482
12.02.2022 11:00 - 12.02.2022 12:00,564,564,564,N/A,n/e,n/e,477,477,477
12.02.2022 12:00 - 12.02.2022 13:00,524,524,524,N/A,n/e,n/e,465,465,465
12.02.2022 13:00 - 12.02.2022 14:00,403,403,403,N/A,n/e,n/e,438,438,438
12.02.2022 14:00 - 12.02.2022 15:00,226,226,226,N/A,n/e,n/e,406,406,406
12.02.2022 15:00 - 12.02.2022 16:00,86,86,86,N/A,n/e,n/e,370,370,370
12.02.2022 16:00 - 12.02.2022 17:00,4,4,4,N/A,n/e,n/e,322,322,322
12.02.2022 17:00 - 12.02.2022 18:00,0,0,0,N/A,n/e,n/e,329,329,329
12.02.2022 18:00 - 12.02.2022 19:00,0,0,0,N/A,n/e,n/e,339,339,339
12.02.2022 19:00 - 12.02.2022 20:00,0,0,0,N/A,n/e,n/e,325,325,325
12.02.2022 20:00 - 12.02.2022 21:00,0,0,0,N/A,n/e,n/e,349,349,349
12.02.2022 21:00 - 12.02.2022 22:00,0,0,0,N/A,n/e,n/e,343,343,343
12.02.2022 22:00 - 12.02.2022 23:00,0,0,0,N/A,n/e,n/e,328,328,328
12.02.2022 23:00 - 13.02.2022 00:00,0,0,0,N/A,n/e,n/e,231,231,231
13.02.2022 00:00 - 13.02.2022 01:00,0,0,0,N/A,n/e,n/e,191,191,191
13.02.2022 01:00 - 13.02.2022 02:00,0,0,0,N/A,n/e,n/e,223,223,223
13.02.2022 02:00 - 13.02.2022 03:00,0,0,0,N/A,n/e,n/e,235,235,235
13.02.2022 03:00 - 13.02.2022 04:00,0,0,0,N/A,n/e,n/e,218,218,218
13.02.2022 04:00 - 13.02.2022 05:00,0,0,0,N/A,n/e,n/e,203,203,203
13.02.2022 05:00 - 13.02.2022 06:00,0,0,0,N/A,n/e,n/e,167,167,167
13.02.2022 06:00 - 13.02.2022 07:00,1,1,1,N/A,n/e,n/e,156,156,156
13.02.2022 07:00 - 13.02.2022 08:00,58,58,58,N/A,n/e,n/e,158,158,158
13.02.2022 08:00 - 13.02.2022 09:00,179,179,179,N/A,n/e,n/e,178,178,178
13.02.2022 09:00 - 13.02.2022 10:00,316,316,316,N/A,n/e,n/e,204,204,204
13.02.2022 10:00 - 13.02.2022 11:00,420,420,420,N/A,n/e,n/e,240,240,240
13.02.2022 11:00 - 13.02.2022 12:00,471,471,471,N/A,n/e,n/e,261,261,261
13.02.2022 12:00 - 13.02.2022 13:00,465,465,465,N/A,n/e,n/e,227,227,227
13.02.2022 13:00 - 13.02.2022 14:00,380,380,380,N/A,n/e,n/e,220,220,220
13.02.2022 14:00 - 13.02.2022 15:00,248,248,248,N/A,n/e,n/e,231,231,231
13.02.2022 15:00 - 13.02.2022 16:00,98,98,98,N/A,n/e,n/e,129,129,129
13.02.2022 16:00 - 13.02.2022 17:00,5,5,5,N/A,n/e,n/e,80,80,80
13.02.2022 17:00 - 13.02.2022 18:00,0,0,0,N/A,n/e,n/e,66,66,66
13.02.2022 18:00 - 13.02.2022 19:00,0,0,0,N/A,n/e,n/e,84,84,84
13.02.2022 19:00 - 13.02.2022 20:00,0,0,0,N/A,n/e,n/e,72,72,72
13.02.2022 20:00 - 13.02.2022 21:00,0,0,0,N/A,n/e,n/e,47,47,47
13.02.2022 21:00 - 13.02.2022 22:00,0,0,0,N/A,n/e,n/e,42,42,42
13.02.2022 22:00 - 13.02.2022 23:00,0,0,0,N/A,n/e,n/e,44,44,44
13.02.2022 23:00 - 14.02.2022 00:00,0,0,0,N/A,n/e,n/e,43,43,43
14.02.2022 00:00 - 14.02.2022 01:00,0,0,0,N/A,n/e,n/e,32,32,32
14.02.2022 01:00 - 14.02.2022 02:00,0,0,0,N/A,n/e,n/e,14,14,14
14.02.2022 02:00 - 14.02.2022 03:00,0,0,0,N/A,n/e,n/e,10,10,10
14.02.2022 03:00 - 14.02.2022 04:00,0,0,0,N/A,n/e,n/e,14,14,14
14.02.2022 04:00 - 14.02.2022 05:00,0,0,0,N/A,n/e,n/e,22,22,22
14.02.2022 05:00 - 14.02.2022 06:00,0,0,0,N/A,n/e,n/e,15,15,15
14.02.2022 06:00 - 14.02.2022 07:00,7,7,7,N/A,n/e,n/e,8,8,8
14.02.2022 07:00 - 14.02.2022 08:00,132,132,132,N/A,n/e,n/e,5,5,5
14.02.2022 08:00 - 14.02.2022 09:00,317,317,317,N/A,n/e,n/e,0,0,0
14.02.2022 09:00 - 14.02.2022 10:00,496,496,496,N/A,n/e,n/e,0,0,0
14.02.2022 10:00 - 14.02.2022 11:00,612,612,612,N/A,n/e,n/e,1,1,1
14.02.2022 11:00 - 14.02.2022 12:00,649,649,649,N/A,n/e,n/e,0,0,0
14.02.2022 12:00 - 14.02.2022 13:00,611,611,611,N/A,n/e,n/e,1,1,1
14.02.2022 13:00 - 14.02.2022 14:00,497,497,497,N/A,n/e,n/e,1,1,1
14.02.2022 14:00 - 14.02.2022 15:00,336,336,336,N/A,n/e,n/e,4,4,4
14.02.2022 15:00 - 14.02.2022 16:00,159,159,159,N/A,n/e,n/e,8,8,8
14.02.2022 16:00 - 14.02.2022 17:00,12,12,12,N/A,n/e,n/e,11,11,11
14.02.2022 17:00 - 14.02.2022 18:00,0,0,0,N/A,n/e,n/e,18,18,18
14.02.2022 18:00 - 14.02.2022 19:00,0,0,0,N/A,n/e,n/e,21,21,21
14.02.2022 19:00 - 14.02.2022 20:00,0,0,0,N/A,n/e,n/e,20,20,20
14.02.2022 20:00 - 14.02.2022 21:00,0,0,0,N/A,n/e,n/e,20,20,20
14.02.2022 21:00 - 14.02.2022 22:00,0,0,0,N/A,n/e,n/e,23,23,23
14.02.2022 22:00 - 14.02.2022 23:00,0,0,0,N/A,n/e,n/e,23,23,23
14.02.2022 23:00 - 15.02.2022 00:00,0,0,0,N/A,n/e,n/e,23,23,23
15.02.2022 00:00 - 15.02.2022 01:00,0,0,0,N/A,n/e,n/e,27,27,27
15.02.2022 01:00 - 15.02.2022 02:00,0,0,0,N/A,n/e,n/e,30,30,30
15.02.2022 02:00 - 15.02.2022 03:00,0,0,0,N/A,n/e,n/e,36,36,36
15.02.2022 03:00 - 15.02.2022 04:00,0,0,0,N/A,n/e,n/e,42,42,42
15.02.2022 04:00 - 15.02.2022 05:00,0,0,0,N/A,n/e,n/e,65,65,65
15.02.2022 05:00 - 15.02.2022 06:00,0,0,0,N/A,n/e,n/e,95,95,95
15.02.2022 06:00 - 15.02.2022 07:00,10,10,10,N/A,n/e,n/e,138,138,138
15.02.2022 07:00 - 15.02.2022 08:00,170,170,170,N/A,n/e,n/e,159,159,159
15.02.2022 08:00 - 15.02.2022 09:00,370,370,370,N/A,n/e,n/e,149,149,149
15.02.2022 09:00 - 15.02.2022 10:00,536,536,536,N/A,n/e,n/e,151,151,151
15.02.2022 10:00 - 15.02.2022 11:00,636,636,636,N/A,n/e,n/e,142,142,142
15.02.2022 11:00 - 15.02.2022 12:00,674,674,674,N/A,n/e,n/e,137,137,137
15.02.2022 12:00 - 15.02.2022 13:00,636,636,636,N/A,n/e,n/e,132,132,132
15.02.2022 13:00 - 15.02.2022 14:00,532,532,532,N/A,n/e,n/e,138,138,138
15.02.2022 14:00 - 15.02.2022 15:00,375,375,375,N/A,n/e,n/e,136,136,136
15.02.2022 15:00 - 15.02.2022 16:00,177,177,177,N/A,n/e,n/e,130,130,130
15.02.2022 16:00 - 15.02.2022 17:00,15,15,15,N/A,n/e,n/e,141,141,141
15.02.2022 17:00 - 15.02.2022 18:00,0,0,0,N/A,n/e,n/e,148,148,148
15.02.2022 18:00 - 15.02.2022 19:00,0,0,0,N/A,n/e,n/e,133,133,133
15.02.2022 19:00 - 15.02.2022 20:00,0,0,0,N/A,n/e,n/e,154,154,154
15.02.2022 20:00 - 15.02.2022 21:00,0,0,0,N/A,n/e,n/e,171,171,171
15.02.2022 21:00 - 15.02.2022 22:00,0,0,0,N/A,n/e,n/e,181,181,181
15.02.2022 22:00 - 15.02.2022 23:00,0,0,0,N/A,n/e,n/e,175,175,175
15.02.2022 23:00 - 16.02.2022 00:00,0,0,0,N/A,n/e,n/e,302,302,302
16.02.2022 00:00 - 16.02.2022 01:00,0,0,0,N/A,n/e,n/e,313,313,313
16.02.2022 01:00 - 16.02.2022 02:00,0,0,0,N/A,n/e,n/e,255,255,255
16.02.2022 02:00 - 16.02.2022 03:00,0,0,0,N/A,n/e,n/e,196,196,196
16.02.2022 03:00 - 16.02.2022 04:00,0,0,0,N/A,n/e,n/e,188,188,188
16.02.2022 04:00 - 16.02.2022 05:00,0,0,0,N/A,n/e,n/e,170,170,170
16.02.2022 05:00 - 16.02.2022 06:00,0,0,0,N/A,n/e,n/e,174,174,174
16.02.2022 06:00 - 16.02.2022 07:00,7,7,7,N/A,n/e,n/e,178,178,178
16.02.2022 07:00 - 16.02.2022 08:00,116,116,116,N/A,n/e,n/e,180,180,180
16.02.2022 08:00 - 16.02.2022 09:00,259,259,259,N/A,n/e,n/e,163,163,163
16.02.2022 09:00 - 16.02.2022 10:00,380,380,380,N/A,n/e,n/e,189,189,189
16.02.2022 10:00 - 16.02.2022 11:00,465,465,465,N/A,n/e,n/e,213,213,213
16.02.2022 11:00 - 16.02.2022 12:00,502,502,502,N/A,n/e,n/e,222,222,222
16.02.2022 12:00 - 16.02.2022 13:00,472,472,472,N/A,n/e,n/e,234,234,234
16.02.2022 13:00 - 16.02.2022 14:00,379,379,379,N/A,n/e,n/e,240,240,240
16.02.2022 14:00 - 16.02.2022 15:00,240,240,240,N/A,n/e,n/e,255,255,255
16.02.2022 15:00 - 16.02.2022 16:00,91,91,91,N/A,n/e,n/e,327,327,327
16.02.2022 16:00 - 16.02.2022 17:00,5,5,5,N/A,n/e,n/e,396,396,396
16.02.2022 17:00 - 16.02.2022 18:00,0,0,0,N/A,n/e,n/e,374,374,374
16.02.2022 18:00 - 16.02.2022 19:00,0,0,0,N/A,n/e,n/e,322,322,322
16.02.2022 19:00 - 16.02.2022 20:00,0,0,0,N/A,n/e,n/e,265,265,265
16.02.2022 20:00 - 16.02.2022 21:00,0,0,0,N/A,n/e,n/e,266,266,266
16.02.2022 21:00 - 16.02.2022 22:00,0,0,0,N/A,n/e,n/e,266,266,266
16.02.2022 22:00 - 16.02.2022 23:00,0,0,0,N/A,n/e,n/e,224,224,224
16.02.2022 23:00 - 17.02.2022 00:00,0,0,0,N/A,n/e,n/e,384,384,384
17.02.2022 00:00 - 17.02.2022 01:00,0,0,0,N/A,n/e,n/e,380,380,380
17.02.2022 01:00 - 17.02.2022 02:00,0,0,0,N/A,n/e,n/e,354,354,354
17.02.2022 02:00 - 17.02.2022 03:00,0,0,0,N/A,n/e,n/e,360,360,360
17.02.2022 03:00 - 17.02.2022 04:00,0,0,0,N/A,n/e,n/e,345,345,345
17.02.2022 04:00 - 17.02.2022 05:00,0,0,0,N/A,n/e,n/e,304,304,304
17.02.2022 05:00 - 17.02.2022 06:00,0,0,0,N/A,n/e,n/e,340,340,340
17.02.2022 06:00 - 17.02.2022 07:00,9,9,9,N/A,n/e,n/e,386,386,386
17.02.2022 07:00 - 17.02.2022 08:00,131,131,131,N/A,n/e,n/e,315,315,315
17.02.2022 08:00 - 17.02.2022 09:00,302,302,302,N/A,n/e,n/e,281,281,281
17.02.2022 09:00 - 17.02.2022 10:00,447,447,447,N/A,n/e,n/e,295,295,295
17.02.2022 10:00 - 17.02.2022 11:00,541,541,541,N/A,n/e,n/e,329,329,329
17.02.2022 11:00 - 17.02.2022 12:00,599,599,599,N/A,n/e,n/e,356,356,356
17.02.2022 12:00 - 17.02.2022 13:00,593,593,593,N/A,n/e,n/e,371,371,371
17.02.2022 13:00 - 17.02.2022 14:00,501,501,501,N/A,n/e,n/e,407,407,407
17.02.2022 14:00 - 17.02.2022 15:00,334,334,334,N/A,n/e,n/e,458,458,458
17.02.2022 15:00 - 17.02.2022 16:00,145,145,145,N/A,n/e,n/e,482,482,482
17.02.2022 16:00 - 17.02.2022 17:00,13,13,13,N/A,n/e,n/e,474,474,474
17.02.2022 17:00 - 17.02.2022 18:00,0,0,0,N/A,n/e,n/e,432,432,432
17.02.2022 18:00 - 17.02.2022 19:00,0,0,0,N/A,n/e,n/e,357,357,357
17.02.2022 19:00 - 17.02.2022 20:00,0,0,0,N/A,n/e,n/e,376,376,376
17.02.2022 20:00 - 17.02.2022 21:00,0,0,0,N/A,n/e,n/e,398,398,398
17.02.2022 21:00 - 17.02.2022 22:00,0,0,0,N/A,n/e,n/e,382,382,382
17.02.2022 22:00 - 17.02.2022 23:00,0,0,0,N/A,n/e,n/e,355,355,355
17.02.2022 23:00 - 18.02.2022 00:00,0,0,0,N/A,n/e,n/e,302,302,302
18.02.2022 00:00 - 18.02.2022 01:00,0,0,0,N/A,n/e,n/e,292,292,292
18.02.2022 01:00 - 18.02.2022 02:00,0,0,0,N/A,n/e,n/e,385,385,385
18.02.2022 02:00 - 18.02.2022 03:00,0,0,0,N/A,n/e,n/e,451,451,451
18.02.2022 03:00 - 18.02.2022 04:00,0,0,0,N/A,n/e,n/e,588,588,588
18.02.2022 04:00 - 18.02.2022 05:00,0,0,0,N/A,n/e,n/e,649,649,649
18.02.2022 05:00 - 18.02.2022 06:00,0,0,0,N/A,n/e,n/e,660,660,660
18.02.2022 06:00 - 18.02.2022 07:00,14,14,14,N/A,n/e,n/e,663,663,663
18.02.2022 07:00 - 18.02.2022 08:00,188,188,188,N/A,n/e,n/e,658,658,658
18.02.2022 08:00 - 18.02.2022 09:00,396,396,396,N/A,n/e,n/e,657,657,657
18.02.2022 09:00 - 18.02.2022 10:00,556,556,556,N/A,n/e,n/e,660,660,660
18.02.2022 10:00 - 18.02.2022 11:00,664,664,664,N/A,n/e,n/e,638,638,638
18.02.2022 11:00 - 18.02.2022 12:00,702,702,702,N/A,n/e,n/e,607,607,607
18.02.2022 12:00 - 18.02.2022 13:00,666,666,666,N/A,n/e,n/e,557,557,557
18.02.2022 13:00 - 18.02.2022 14:00,550,550,550,N/A,n/e,n/e,429,429,429
18.02.2022 14:00 - 18.02.2022 15:00,396,396,396,N/A,n/e,n/e,404,404,404
18.02.2022 15:00 - 18.02.2022 16:00,198,198,198,N/A,n/e,n/e,302,302,302
18.02.2022 16:00 - 18.02.2022 17:00,23,23,23,N/A,n/e,n/e,142,142,142
18.02.2022 17:00 - 18.02.2022 18:00,0,0,0,N/A,n/e,n/e,126,126,126
18.02.2022 18:00 - 18.02.2022 19:00,0,0,0,N/A,n/e,n/e,166,166,166
18.02.2022 19:00 - 18.02.2022 20:00,0,0,0,N/A,n/e,n/e,205,205,205
18.02.2022 20:00 - 18.02.2022 21:00,0,0,0,N/A,n/e,n/e,165,165,165
18.02.2022 21:00 - 18.02.2022 22:00,0,0,0,N/A,n/e,n/e,149,149,149
18.02.2022 22:00 - 18.02.2022 23:00,0,0,0,N/A,n/e,n/e,135,135,135
18.02.2022 23:00 - 19.02.2022 00:00,0,0,0,N/A,n/e,n/e,35,35,35
19.02.2022 00:00 - 19.02.2022 01:00,0,0,0,N/A,n/e,n/e,7,7,7
19.02.2022 01:00 - 19.02.2022 02:00,0,0,0,N/A,n/e,n/e,45,45,45
19.02.2022 02:00 - 19.02.2022 03:00,0,0,0,N/A,n/e,n/e,44,44,44
19.02.2022 03:00 - 19.02.2022 04:00,0,0,0,N/A,n/e,n/e,35,35,35
19.02.2022 04:00 - 19.02.2022 05:00,0,0,0,N/A,n/e,n/e,45,45,45
19.02.2022 05:00 - 19.02.2022 06:00,0,0,0,N/A,n/e,n/e,94,94,94
19.02.2022 06:00 - 19.02.2022 07:00,18,18,18,N/A,n/e,n/e,143,143,143
19.02.2022 07:00 - 19.02.2022 08:00,192,192,192,N/A,n/e,n/e,193,193,193
19.02.2022 08:00 - 19.02.2022 09:00,400,400,400,N/A,n/e,n/e,308,308,308
19.02.2022 09:00 - 19.02.2022 10:00,566,566,566,N/A,n/e,n/e,395,395,395
19.02.2022 10:00 - 19.02.2022 11:00,669,669,669,N/A,n/e,n/e,464,464,464
19.02.2022 11:00 - 19.02.2022 12:00,712,712,712,N/A,n/e,n/e,495,495,495
19.02.2022 12:00 - 19.02.2022 13:00,676,676,676,N/A,n/e,n/e,504,504,504
19.02.2022 13:00 - 19.02.2022 14:00,557,557,557,N/A,n/e,n/e,489,489,489
19.02.2022 14:00 - 19.02.2022 15:00,399,399,399,N/A,n/e,n/e,476,476,476
19.02.2022 15:00 - 19.02.2022 16:00,197,197,197,N/A,n/e,n/e,452,452,452
19.02.2022 16:00 - 19.02.2022 17:00,21,21,21,N/A,n/e,n/e,444,444,444
19.02.2022 17:00 - 19.02.2022 18:00,0,0,0,N/A,n/e,n/e,447,447,447
19.02.2022 18:00 - 19.02.2022 19:00,0,0,0,N/A,n/e,n/e,406,406,406
19.02.2022 19:00 - 19.02.2022 20:00,0,0,0,N/A,n/e,n/e,324,324,324
19.02.2022 20:00 - 19.02.2022 21:00,0,0,0,N/A,n/e,n/e,217,217,217
19.02.2022 21:00 - 19.02.2022 22:00,0,0,0,N/A,n/e,n/e,99,99,99
19.02.2022 22:00 - 19.02.2022 23:00,0,0,0,N/A,n/e,n/e,42,42,42
19.02.2022 23:00 - 20.02.2022 00:00,0,0,0,N/A,n/e,n/e,78,78,78
20.02.2022 00:00 - 20.02.2022 01:00,0,0,0,N/A,n/e,n/e,8,8,8
20.02.2022 01:00 - 20.02.2022 02:00,0,0,0,N/A,n/e,n/e,0,0,0
20.02.2022 02:00 - 20.02.2022 03:00,0,0,0,N/A,n/e,n/e,0,0,0
20.02.2022 03:00 - 20.02.2022 04:00,0,0,0,N/A,n/e,n/e,0,0,0
20.02.2022 04:00 - 20.02.2022 05:00,0,0,0,N/A,n/e,n/e,46,46,46
20.02.2022 05:00 - 20.02.2022 06:00,0,0,0,N/A,n/e,n/e,106,106,106
20.02.2022 06:00 - 20.02.2022 07:00,2,2,2,N/A,n/e,n/e,105,105,105
20.02.2022 07:00 - 20.02.2022 08:00,37,37,37,N/A,n/e,n/e,120,120,120
20.02.2022 08:00 - 20.02.2022 09:00,113,113,113,N/A,n/e,n/e,89,89,89
20.02.2022 09:00 - 20.02.2022 10:00,196,196,196,N/A,n/e,n/e,34,34,34
20.02.2022 10:00 - 20.02.2022 11:00,262,262,262,N/A,n/e,n/e,21,21,21
20.02.2022 11:00 - 20.02.2022 12:00,312,312,312,N/A,n/e,n/e,5,5,5
