MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Bulgaria (BG),Generation - Solar  [MW] Day Ahead/ Bulgaria (BG),Generation - Solar  [MW] Day Ahead/ Bulgaria (BG),Generation - Wind Offshore  [MW] Day Ahead/ Bulgaria (BG),Generation - Wind Offshore  [MW] Intraday / Bulgaria (BG),Generation - Wind Offshore  [MW] Current / Bulgaria (BG),Generation - Wind Onshore  [MW] Day Ahead/ Bulgaria (BG),Generation - Wind Onshore  [MW] Day Ahead/ Bulgaria (BG),Generation - Wind Onshore  [MW] Day Ahead/ Bulgaria (BG)
03.01.2022 12:00 - 03.01.2022 13:00,311,311,311,N/A,n/e,n/e,250,250,250
03.01.2022 13:00 - 03.01.2022 14:00,246,246,246,N/A,n/e,n/e,199,199,199
03.01.2022 14:00 - 03.01.2022 15:00,126,126,126,N/A,n/e,n/e,164,164,164
03.01.2022 15:00 - 03.01.2022 16:00,17,17,17,N/A,n/e,n/e,156,156,156
03.01.2022 16:00 - 03.01.2022 17:00,0,0,0,N/A,n/e,n/e,185,185,185
03.01.2022 17:00 - 03.01.2022 18:00,0,0,0,N/A,n/e,n/e,249,249,249
03.01.2022 18:00 - 03.01.2022 19:00,0,0,0,N/A,n/e,n/e,308,308,308
03.01.2022 19:00 - 03.01.2022 20:00,0,0,0,N/A,n/e,n/e,303,303,303
03.01.2022 20:00 - 03.01.2022 21:00,0,0,0,N/A,n/e,n/e,352,352,352
03.01.2022 21:00 - 03.01.2022 22:00,0,0,0,N/A,n/e,n/e,379,379,379
03.01.2022 22:00 - 03.01.2022 23:00,0,0,0,N/A,n/e,n/e,498,498,498
03.01.2022 23:00 - 04.01.2022 00:00,0,0,0,N/A,n/e,n/e,507,507,507
04.01.2022 00:00 - 04.01.2022 01:00,0,0,0,N/A,n/e,n/e,520,520,520
04.01.2022 01:00 - 04.01.2022 02:00,0,0,0,N/A,n/e,n/e,475,475,475
04.01.2022 02:00 - 04.01.2022 03:00,0,0,0,N/A,n/e,n/e,454,454,454
04.01.2022 03:00 - 04.01.2022 04:00,0,0,0,N/A,n/e,n/e,339,339,339
04.01.2022 04:00 - 04.01.2022 05:00,0,0,0,N/A,n/e,n/e,382,382,382
04.01.2022 05:00 - 04.01.2022 06:00,0,0,0,N/A,n/e,n/e,422,422,422
04.01.2022 06:00 - 04.01.2022 07:00,0,0,0,N/A,n/e,n/e,392,392,392
04.01.2022 07:00 - 04.01.2022 08:00,32,32,32,N/A,n/e,n/e,379,379,379
04.01.2022 08:00 - 04.01.2022 09:00,158,158,158,N/A,n/e,n/e,314,314,314
04.01.2022 09:00 - 04.01.2022 10:00,291,291,291,N/A,n/e,n/e,172,172,172
04.01.2022 10:00 - 04.01.2022 11:00,389,389,389,N/A,n/e,n/e,48,48,48
04.01.2022 11:00 - 04.01.2022 12:00,431,431,431,N/A,n/e,n/e,12,12,12
04.01.2022 12:00 - 04.01.2022 13:00,396,396,396,N/A,n/e,n/e,2,2,2
04.01.2022 13:00 - 04.01.2022 14:00,309,309,309,N/A,n/e,n/e,7,7,7
04.01.2022 14:00 - 04.01.2022 15:00,170,170,170,N/A,n/e,n/e,29,29,29
04.01.2022 15:00 - 04.01.2022 16:00,25,25,25,N/A,n/e,n/e,49,49,49
04.01.2022 16:00 - 04.01.2022 17:00,0,0,0,N/A,n/e,n/e,116,116,116
04.01.2022 17:00 - 04.01.2022 18:00,0,0,0,N/A,n/e,n/e,208,208,208
04.01.2022 18:00 - 04.01.2022 19:00,0,0,0,N/A,n/e,n/e,372,372,372
04.01.2022 19:00 - 04.01.2022 20:00,0,0,0,N/A,n/e,n/e,414,414,414
04.01.2022 20:00 - 04.01.2022 21:00,0,0,0,N/A,n/e,n/e,427,427,427
04.01.2022 21:00 - 04.01.2022 22:00,0,0,0,N/A,n/e,n/e,305,305,305
04.01.2022 22:00 - 04.01.2022 23:00,0,0,0,N/A,n/e,n/e,371,371,371
04.01.2022 23:00 - 05.01.2022 00:00,0,0,0,N/A,n/e,n/e,423,423,423
05.01.2022 00:00 - 05.01.2022 01:00,0,0,0,N/A,n/e,n/e,377,377,377
05.01.2022 01:00 - 05.01.2022 02:00,0,0,0,N/A,n/e,n/e,334,334,334
05.01.2022 02:00 - 05.01.2022 03:00,0,0,0,N/A,n/e,n/e,268,268,268
05.01.2022 03:00 - 05.01.2022 04:00,0,0,0,N/A,n/e,n/e,217,217,217
05.01.2022 04:00 - 05.01.2022 05:00,0,0,0,N/A,n/e,n/e,189,189,189
05.01.2022 05:00 - 05.01.2022 06:00,0,0,0,N/A,n/e,n/e,192,192,192
05.01.2022 06:00 - 05.01.2022 07:00,0,0,0,N/A,n/e,n/e,199,199,199
05.01.2022 07:00 - 05.01.2022 08:00,48,48,48,N/A,n/e,n/e,192,192,192
05.01.2022 08:00 - 05.01.2022 09:00,186,186,186,N/A,n/e,n/e,194,194,194
05.01.2022 09:00 - 05.01.2022 10:00,311,311,311,N/A,n/e,n/e,182,182,182
05.01.2022 10:00 - 05.01.2022 11:00,392,392,392,N/A,n/e,n/e,214,214,214
05.01.2022 11:00 - 05.01.2022 12:00,423,423,423,N/A,n/e,n/e,244,244,244
05.01.2022 12:00 - 05.01.2022 13:00,396,396,396,N/A,n/e,n/e,227,227,227
05.01.2022 13:00 - 05.01.2022 14:00,306,306,306,N/A,n/e,n/e,265,265,265
05.01.2022 14:00 - 05.01.2022 15:00,167,167,167,N/A,n/e,n/e,313,313,313
05.01.2022 15:00 - 05.01.2022 16:00,26,26,26,N/A,n/e,n/e,315,315,315
05.01.2022 16:00 - 05.01.2022 17:00,0,0,0,N/A,n/e,n/e,319,319,319
05.01.2022 17:00 - 05.01.2022 18:00,0,0,0,N/A,n/e,n/e,349,349,349
05.01.2022 18:00 - 05.01.2022 19:00,0,0,0,N/A,n/e,n/e,359,359,359
05.01.2022 19:00 - 05.01.2022 20:00,0,0,0,N/A,n/e,n/e,337,337,337
05.01.2022 20:00 - 05.01.2022 21:00,0,0,0,N/A,n/e,n/e,313,313,313
05.01.2022 21:00 - 05.01.2022 22:00,0,0,0,N/A,n/e,n/e,308,308,308
05.01.2022 22:00 - 05.01.2022 23:00,0,0,0,N/A,n/e,n/e,314,314,314
05.01.2022 23:00 - 06.01.2022 00:00,0,0,0,N/A,n/e,n/e,465,465,465
06.01.2022 00:00 - 06.01.2022 01:00,0,0,0,N/A,n/e,n/e,476,476,476
