MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Ireland (IE),Generation - Solar  [MW] Intraday / Ireland (IE),Generation - Solar  [MW] Current / Ireland (IE),Generation - Wind Offshore  [MW] Day Ahead/ Ireland (IE),Generation - Wind Offshore  [MW] Intraday / Ireland (IE),Generation - Wind Offshore  [MW] Current / Ireland (IE),Generation - Wind Onshore  [MW] Day Ahead/ Ireland (IE),Generation - Wind Onshore  [MW] Day Ahead/ Ireland (IE),Generation - Wind Onshore  [MW] Day Ahead/ Ireland (IE)
28.03.2022 17:00 - 28.03.2022 18:00,n/e,n/e,n/e,N/A,n/e,n/e,86,86,86
28.03.2022 18:00 - 28.03.2022 19:00,n/e,n/e,n/e,N/A,n/e,n/e,82,82,82
28.03.2022 19:00 - 28.03.2022 20:00,n/e,n/e,n/e,N/A,n/e,n/e,81,81,81
28.03.2022 20:00 - 28.03.2022 21:00,n/e,n/e,n/e,N/A,n/e,n/e,86,86,86
28.03.2022 21:00 - 28.03.2022 22:00,n/e,n/e,n/e,N/A,n/e,n/e,98,98,98
28.03.2022 22:00 - 28.03.2022 23:00,n/e,n/e,n/e,N/A,n/e,n/e,119,119,119
28.03.2022 23:00 - 29.03.2022 00:00,n/e,n/e,n/e,N/A,n/e,n/e,137,137,137
29.03.2022 00:00 - 29.03.2022 01:00,n/e,n/e,n/e,N/A,n/e,n/e,151,151,151
29.03.2022 01:00 - 29.03.2022 02:00,n/e,n/e,n/e,N/A,n/e,n/e,137,137,137
29.03.2022 02:00 - 29.03.2022 03:00,n/e,n/e,n/e,N/A,n/e,n/e,135,135,135
29.03.2022 03:00 - 29.03.2022 04:00,n/e,n/e,n/e,N/A,n/e,n/e,118,118,118
29.03.2022 04:00 - 29.03.2022 05:00,n/e,n/e,n/e,N/A,n/e,n/e,97,97,97
29.03.2022 05:00 - 29.03.2022 06:00,n/e,n/e,n/e,N/A,n/e,n/e,90,90,90
29.03.2022 06:00 - 29.03.2022 07:00,n/e,n/e,n/e,N/A,n/e,n/e,87,87,87
29.03.2022 07:00 - 29.03.2022 08:00,n/e,n/e,n/e,N/A,n/e,n/e,90,90,90
29.03.2022 08:00 - 29.03.2022 09:00,n/e,n/e,n/e,N/A,n/e,n/e,95,95,95
29.03.2022 09:00 - 29.03.2022 10:00,n/e,n/e,n/e,N/A,n/e,n/e,102,102,102
29.03.2022 10:00 - 29.03.2022 11:00,n/e,n/e,n/e,N/A,n/e,n/e,107,107,107
29.03.2022 11:00 - 29.03.2022 12:00,n/e,n/e,n/e,N/A,n/e,n/e,98,98,98
29.03.2022 12:00 - 29.03.2022 13:00,n/e,n/e,n/e,N/A,n/e,n/e,87,87,87
29.03.2022 13:00 - 29.03.2022 14:00,n/e,n/e,n/e,N/A,n/e,n/e,90,90,90
29.03.2022 14:00 - 29.03.2022 15:00,n/e,n/e,n/e,N/A,n/e,n/e,99,99,99
29.03.2022 15:00 - 29.03.2022 16:00,n/e,n/e,n/e,N/A,n/e,n/e,103,103,103
29.03.2022 16:00 - 29.03.2022 17:00,n/e,n/e,n/e,N/A,n/e,n/e,106,106,106
29.03.2022 17:00 - 29.03.2022 18:00,n/e,n/e,n/e,N/A,n/e,n/e,119,119,119
29.03.2022 18:00 - 29.03.2022 19:00,n/e,n/e,n/e,N/A,n/e,n/e,140,140,140
29.03.2022 19:00 - 29.03.2022 20:00,n/e,n/e,n/e,N/A,n/e,n/e,157,157,157
29.03.2022 20:00 - 29.03.2022 21:00,n/e,n/e,n/e,N/A,n/e,n/e,173,173,173
29.03.2022 21:00 - 29.03.2022 22:00,n/e,n/e,n/e,N/A,n/e,n/e,202,202,202
29.03.2022 22:00 - 29.03.2022 23:00,n/e,n/e,n/e,N/A,n/e,n/e,248,248,248
29.03.2022 23:00 - 30.03.2022 00:00,n/e,n/e,n/e,N/A,n/e,n/e,269,269,269
30.03.2022 00:00 - 30.03.2022 01:00,n/e,n/e,n/e,N/A,n/e,n/e,251,251,251
30.03.2022 01:00 - 30.03.2022 02:00,n/e,n/e,n/e,N/A,n/e,n/e,215,215,215
30.03.2022 02:00 - 30.03.2022 03:00,n/e,n/e,n/e,N/A,n/e,n/e,201,201,201
30.03.2022 03:00 - 30.03.2022 04:00,n/e,n/e,n/e,N/A,n/e,n/e,199,199,199
30.03.2022 04:00 - 30.03.2022 05:00,n/e,n/e,n/e,N/A,n/e,n/e,209,209,209
30.03.2022 05:00 - 30.03.2022 06:00,n/e,n/e,n/e,N/A,n/e,n/e,221,221,221
30.03.2022 06:00 - 30.03.2022 07:00,n/e,n/e,n/e,N/A,n/e,n/e,249,249,249
30.03.2022 07:00 - 30.03.2022 08:00,n/e,n/e,n/e,N/A,n/e,n/e,294,294,294
30.03.2022 08:00 - 30.03.2022 09:00,n/e,n/e,n/e,N/A,n/e,n/e,354,354,354
30.03.2022 09:00 - 30.03.2022 10:00,n/e,n/e,n/e,N/A,n/e,n/e,398,398,398
30.03.2022 10:00 - 30.03.2022 11:00,n/e,n/e,n/e,N/A,n/e,n/e,421,421,421
30.03.2022 11:00 - 30.03.2022 12:00,n/e,n/e,n/e,N/A,n/e,n/e,446,446,446
30.03.2022 12:00 - 30.03.2022 13:00,n/e,n/e,n/e,N/A,n/e,n/e,515,515,515
30.03.2022 13:00 - 30.03.2022 14:00,n/e,n/e,n/e,N/A,n/e,n/e,643,643,643
30.03.2022 14:00 - 30.03.2022 15:00,n/e,n/e,n/e,N/A,n/e,n/e,816,816,816
30.03.2022 15:00 - 30.03.2022 16:00,n/e,n/e,n/e,N/A,n/e,n/e,990,990,990
30.03.2022 16:00 - 30.03.2022 17:00,n/e,n/e,n/e,N/A,n/e,n/e,1143,1143,1143
30.03.2022 17:00 - 30.03.2022 18:00,n/e,n/e,n/e,N/A,n/e,n/e,1314,1314,1314
30.03.2022 18:00 - 30.03.2022 19:00,n/e,n/e,n/e,N/A,n/e,n/e,1518,1518,1518
30.03.2022 19:00 - 30.03.2022 20:00,n/e,n/e,n/e,N/A,n/e,n/e,1693,1693,1693
30.03.2022 20:00 - 30.03.2022 21:00,n/e,n/e,n/e,N/A,n/e,n/e,1822,1822,1822
30.03.2022 21:00 - 30.03.2022 22:00,n/e,n/e,n/e,N/A,n/e,n/e,1903,1903,1903
30.03.2022 22:00 - 30.03.2022 23:00,n/e,n/e,n/e,N/A,n/e,n/e,2006,2006,2006
30.03.2022 23:00 - 31.03.2022 00:00,n/e,n/e,n/e,N/A,n/e,n/e,2105,2105,2105
31.03.2022 00:00 - 31.03.2022 01:00,n/e,n/e,n/e,N/A,n/e,n/e,2150,2150,2150
31.03.2022 01:00 - 31.03.2022 02:00,n/e,n/e,n/e,N/A,n/e,n/e,1775,1775,1775
31.03.2022 02:00 - 31.03.2022 03:00,n/e,n/e,n/e,N/A,n/e,n/e,1644,1644,1644
31.03.2022 03:00 - 31.03.2022 04:00,n/e,n/e,n/e,N/A,n/e,n/e,1482,1482,1482
31.03.2022 04:00 - 31.03.2022 05:00,n/e,n/e,n/e,N/A,n/e,n/e,1318,1318,1318
31.03.2022 05:00 - 31.03.2022 06:00,n/e,n/e,n/e,N/A,n/e,n/e,1269,1269,1269
31.03.2022 06:00 - 31.03.2022 07:00,n/e,n/e,n/e,N/A,n/e,n/e,1243,1243,1243
31.03.2022 07:00 - 31.03.2022 08:00,n/e,n/e,n/e,N/A,n/e,n/e,1246,1246,1246
31.03.2022 08:00 - 31.03.2022 09:00,n/e,n/e,n/e,N/A,n/e,n/e,1250,1250,1250
31.03.2022 09:00 - 31.03.2022 10:00,n/e,n/e,n/e,N/A,n/e,n/e,1245,1245,1245
31.03.2022 10:00 - 31.03.2022 11:00,n/e,n/e,n/e,N/A,n/e,n/e,1255,1255,1255
31.03.2022 11:00 - 31.03.2022 12:00,n/e,n/e,n/e,N/A,n/e,n/e,1281,1281,1281
31.03.2022 12:00 - 31.03.2022 13:00,n/e,n/e,n/e,N/A,n/e,n/e,1309,1309,1309
31.03.2022 13:00 - 31.03.2022 14:00,n/e,n/e,n/e,N/A,n/e,n/e,1293,1293,1293
31.03.2022 14:00 - 31.03.2022 15:00,n/e,n/e,n/e,N/A,n/e,n/e,1273,1273,1273
31.03.2022 15:00 - 31.03.2022 16:00,n/e,n/e,n/e,N/A,n/e,n/e,1237,1237,1237
31.03.2022 16:00 - 31.03.2022 17:00,n/e,n/e,n/e,N/A,n/e,n/e,1193,1193,1193
31.03.2022 17:00 - 31.03.2022 18:00,n/e,n/e,n/e,N/A,n/e,n/e,1172,1172,1172
31.03.2022 18:00 - 31.03.2022 19:00,n/e,n/e,n/e,N/A,n/e,n/e,1156,1156,1156
31.03.2022 19:00 - 31.03.2022 20:00,n/e,n/e,n/e,N/A,n/e,n/e,1126,1126,1126
31.03.2022 20:00 - 31.03.2022 21:00,n/e,n/e,n/e,N/A,n/e,n/e,1075,1075,1075
31.03.2022 21:00 - 31.03.2022 22:00,n/e,n/e,n/e,N/A,n/e,n/e,993,993,993
31.03.2022 22:00 - 31.03.2022 23:00,n/e,n/e,n/e,N/A,n/e,n/e,937,937,937
31.03.2022 23:00 - 01.04.2022 00:00,n/e,n/e,n/e,N/A,n/e,n/e,919,919,919
01.04.2022 00:00 - 01.04.2022 01:00,n/e,n/e,n/e,N/A,n/e,n/e,916,916,916
01.04.2022 01:00 - 01.04.2022 02:00,n/e,n/e,n/e,N/A,n/e,n/e,814,814,814
01.04.2022 02:00 - 01.04.2022 03:00,n/e,n/e,n/e,N/A,n/e,n/e,784,784,784
01.04.2022 03:00 - 01.04.2022 04:00,n/e,n/e,n/e,N/A,n/e,n/e,734,734,734
01.04.2022 04:00 - 01.04.2022 05:00,n/e,n/e,n/e,N/A,n/e,n/e,673,673,673
01.04.2022 05:00 - 01.04.2022 06:00,n/e,n/e,n/e,N/A,n/e,n/e,604,604,604
01.04.2022 06:00 - 01.04.2022 07:00,n/e,n/e,n/e,N/A,n/e,n/e,567,567,567
01.04.2022 07:00 - 01.04.2022 08:00,n/e,n/e,n/e,N/A,n/e,n/e,523,523,523
01.04.2022 08:00 - 01.04.2022 09:00,n/e,n/e,n/e,N/A,n/e,n/e,478,478,478
01.04.2022 09:00 - 01.04.2022 10:00,n/e,n/e,n/e,N/A,n/e,n/e,441,441,441
01.04.2022 10:00 - 01.04.2022 11:00,n/e,n/e,n/e,N/A,n/e,n/e,385,385,385
01.04.2022 11:00 - 01.04.2022 12:00,n/e,n/e,n/e,N/A,n/e,n/e,322,322,322
01.04.2022 12:00 - 01.04.2022 13:00,n/e,n/e,n/e,N/A,n/e,n/e,308,308,308
01.04.2022 13:00 - 01.04.2022 14:00,n/e,n/e,n/e,N/A,n/e,n/e,281,281,281
01.04.2022 14:00 - 01.04.2022 15:00,n/e,n/e,n/e,N/A,n/e,n/e,253,253,253
01.04.2022 15:00 - 01.04.2022 16:00,n/e,n/e,n/e,N/A,n/e,n/e,236,236,236
01.04.2022 16:00 - 01.04.2022 17:00,n/e,n/e,n/e,N/A,n/e,n/e,225,225,225
01.04.2022 17:00 - 01.04.2022 18:00,n/e,n/e,n/e,N/A,n/e,n/e,226,226,226
01.04.2022 18:00 - 01.04.2022 19:00,n/e,n/e,n/e,N/A,n/e,n/e,237,237,237
01.04.2022 19:00 - 01.04.2022 20:00,n/e,n/e,n/e,N/A,n/e,n/e,249,249,249
01.04.2022 20:00 - 01.04.2022 21:00,n/e,n/e,n/e,N/A,n/e,n/e,242,242,242
01.04.2022 21:00 - 01.04.2022 22:00,n/e,n/e,n/e,N/A,n/e,n/e,219,219,219
01.04.2022 22:00 - 01.04.2022 23:00,n/e,n/e,n/e,N/A,n/e,n/e,208,208,208
01.04.2022 23:00 - 02.04.2022 00:00,n/e,n/e,n/e,N/A,n/e,n/e,202,202,202
02.04.2022 00:00 - 02.04.2022 01:00,n/e,n/e,n/e,N/A,n/e,n/e,201,201,201
02.04.2022 01:00 - 02.04.2022 02:00,n/e,n/e,n/e,N/A,n/e,n/e,879,879,879
02.04.2022 02:00 - 02.04.2022 03:00,n/e,n/e,n/e,N/A,n/e,n/e,871,871,871
02.04.2022 03:00 - 02.04.2022 04:00,n/e,n/e,n/e,N/A,n/e,n/e,831,831,831
02.04.2022 04:00 - 02.04.2022 05:00,n/e,n/e,n/e,N/A,n/e,n/e,829,829,829
02.04.2022 05:00 - 02.04.2022 06:00,n/e,n/e,n/e,N/A,n/e,n/e,856,856,856
02.04.2022 06:00 - 02.04.2022 07:00,n/e,n/e,n/e,N/A,n/e,n/e,858,858,858
02.04.2022 07:00 - 02.04.2022 08:00,n/e,n/e,n/e,N/A,n/e,n/e,823,823,823
02.04.2022 08:00 - 02.04.2022 09:00,n/e,n/e,n/e,N/A,n/e,n/e,773,773,773
02.04.2022 09:00 - 02.04.2022 10:00,n/e,n/e,n/e,N/A,n/e,n/e,741,741,741
02.04.2022 10:00 - 02.04.2022 11:00,n/e,n/e,n/e,N/A,n/e,n/e,708,708,708
02.04.2022 11:00 - 02.04.2022 12:00,n/e,n/e,n/e,N/A,n/e,n/e,695,695,695
02.04.2022 12:00 - 02.04.2022 13:00,n/e,n/e,n/e,N/A,n/e,n/e,703,703,703
02.04.2022 13:00 - 02.04.2022 14:00,n/e,n/e,n/e,N/A,n/e,n/e,689,689,689
02.04.2022 14:00 - 02.04.2022 15:00,n/e,n/e,n/e,N/A,n/e,n/e,663,663,663
02.04.2022 15:00 - 02.04.2022 16:00,n/e,n/e,n/e,N/A,n/e,n/e,646,646,646
02.04.2022 16:00 - 02.04.2022 17:00,n/e,n/e,n/e,N/A,n/e,n/e,641,641,641
02.04.2022 17:00 - 02.04.2022 18:00,n/e,n/e,n/e,N/A,n/e,n/e,650,650,650
02.04.2022 18:00 - 02.04.2022 19:00,n/e,n/e,n/e,N/A,n/e,n/e,644,644,644
02.04.2022 19:00 - 02.04.2022 20:00,n/e,n/e,n/e,N/A,n/e,n/e,610,610,610
02.04.2022 20:00 - 02.04.2022 21:00,n/e,n/e,n/e,N/A,n/e,n/e,537,537,537
02.04.2022 21:00 - 02.04.2022 22:00,n/e,n/e,n/e,N/A,n/e,n/e,445,445,445
02.04.2022 22:00 - 02.04.2022 23:00,n/e,n/e,n/e,N/A,n/e,n/e,383,383,383
02.04.2022 23:00 - 03.04.2022 00:00,n/e,n/e,n/e,N/A,n/e,n/e,344,344,344
03.04.2022 00:00 - 03.04.2022 01:00,n/e,n/e,n/e,N/A,n/e,n/e,304,304,304
03.04.2022 01:00 - 03.04.2022 02:00,n/e,n/e,n/e,N/A,n/e,n/e,226,226,226
03.04.2022 02:00 - 03.04.2022 03:00,n/e,n/e,n/e,N/A,n/e,n/e,172,172,172
03.04.2022 03:00 - 03.04.2022 04:00,n/e,n/e,n/e,N/A,n/e,n/e,126,126,126
03.04.2022 04:00 - 03.04.2022 05:00,n/e,n/e,n/e,N/A,n/e,n/e,97,97,97
03.04.2022 05:00 - 03.04.2022 06:00,n/e,n/e,n/e,N/A,n/e,n/e,87,87,87
03.04.2022 06:00 - 03.04.2022 07:00,n/e,n/e,n/e,N/A,n/e,n/e,88,88,88
03.04.2022 07:00 - 03.04.2022 08:00,n/e,n/e,n/e,N/A,n/e,n/e,90,90,90
03.04.2022 08:00 - 03.04.2022 09:00,n/e,n/e,n/e,N/A,n/e,n/e,88,88,88
03.04.2022 09:00 - 03.04.2022 10:00,n/e,n/e,n/e,N/A,n/e,n/e,86,86,86
03.04.2022 10:00 - 03.04.2022 11:00,n/e,n/e,n/e,N/A,n/e,n/e,93,93,93
03.04.2022 11:00 - 03.04.2022 12:00,n/e,n/e,n/e,N/A,n/e,n/e,112,112,112
03.04.2022 12:00 - 03.04.2022 13:00,n/e,n/e,n/e,N/A,n/e,n/e,158,158,158
03.04.2022 13:00 - 03.04.2022 14:00,n/e,n/e,n/e,N/A,n/e,n/e,236,236,236
03.04.2022 14:00 - 03.04.2022 15:00,n/e,n/e,n/e,N/A,n/e,n/e,340,340,340
03.04.2022 15:00 - 03.04.2022 16:00,n/e,n/e,n/e,N/A,n/e,n/e,468,468,468
03.04.2022 16:00 - 03.04.2022 17:00,n/e,n/e,n/e,N/A,n/e,n/e,620,620,620
03.04.2022 17:00 - 03.04.2022 18:00,n/e,n/e,n/e,N/A,n/e,n/e,791,791,791
03.04.2022 18:00 - 03.04.2022 19:00,n/e,n/e,n/e,N/A,n/e,n/e,959,959,959
03.04.2022 19:00 - 03.04.2022 20:00,n/e,n/e,n/e,N/A,n/e,n/e,1133,1133,1133
03.04.2022 20:00 - 03.04.2022 21:00,n/e,n/e,n/e,N/A,n/e,n/e,1324,1324,1324
03.04.2022 21:00 - 03.04.2022 22:00,n/e,n/e,n/e,N/A,n/e,n/e,1506,1506,1506
03.04.2022 22:00 - 03.04.2022 23:00,n/e,n/e,n/e,N/A,n/e,n/e,1713,1713,1713
03.04.2022 23:00 - 04.04.2022 00:00,n/e,n/e,n/e,N/A,n/e,n/e,1962,1962,1962
04.04.2022 00:00 - 04.04.2022 01:00,n/e,n/e,n/e,N/A,n/e,n/e,2229,2229,2229
04.04.2022 01:00 - 04.04.2022 02:00,n/e,n/e,n/e,N/A,n/e,n/e,2237,2237,2237
04.04.2022 02:00 - 04.04.2022 03:00,n/e,n/e,n/e,N/A,n/e,n/e,2402,2402,2402
04.04.2022 03:00 - 04.04.2022 04:00,n/e,n/e,n/e,N/A,n/e,n/e,2511,2511,2511
04.04.2022 04:00 - 04.04.2022 05:00,n/e,n/e,n/e,N/A,n/e,n/e,2607,2607,2607
04.04.2022 05:00 - 04.04.2022 06:00,n/e,n/e,n/e,N/A,n/e,n/e,2647,2647,2647
04.04.2022 06:00 - 04.04.2022 07:00,n/e,n/e,n/e,N/A,n/e,n/e,2654,2654,2654
04.04.2022 07:00 - 04.04.2022 08:00,n/e,n/e,n/e,N/A,n/e,n/e,2674,2674,2674
04.04.2022 08:00 - 04.04.2022 09:00,n/e,n/e,n/e,N/A,n/e,n/e,2716,2716,2716
04.04.2022 09:00 - 04.04.2022 10:00,n/e,n/e,n/e,N/A,n/e,n/e,2720,2720,2720
04.04.2022 10:00 - 04.04.2022 11:00,n/e,n/e,n/e,N/A,n/e,n/e,2714,2714,2714
04.04.2022 11:00 - 04.04.2022 12:00,n/e,n/e,n/e,N/A,n/e,n/e,2703,2703,2703
04.04.2022 12:00 - 04.04.2022 13:00,n/e,n/e,n/e,N/A,n/e,n/e,2718,2718,2718
04.04.2022 13:00 - 04.04.2022 14:00,n/e,n/e,n/e,N/A,n/e,n/e,2764,2764,2764
04.04.2022 14:00 - 04.04.2022 15:00,n/e,n/e,n/e,N/A,n/e,n/e,2793,2793,2793
04.04.2022 15:00 - 04.04.2022 16:00,n/e,n/e,n/e,N/A,n/e,n/e,2823,2823,2823
04.04.2022 16:00 - 04.04.2022 17:00,n/e,n/e,n/e,N/A,n/e,n/e,2842,2842,2842
04.04.2022 17:00 - 04.04.2022 18:00,n/e,n/e,n/e,N/A,n/e,n/e,2844,2844,2844
04.04.2022 18:00 - 04.04.2022 19:00,n/e,n/e,n/e,N/A,n/e,n/e,2814,2814,2814
04.04.2022 19:00 - 04.04.2022 20:00,n/e,n/e,n/e,N/A,n/e,n/e,2765,2765,2765
04.04.2022 20:00 - 04.04.2022 21:00,n/e,n/e,n/e,N/A,n/e,n/e,2757,2757,2757
04.04.2022 21:00 - 04.04.2022 22:00,n/e,n/e,n/e,N/A,n/e,n/e,2772,2772,2772
04.04.2022 22:00 - 04.04.2022 23:00,n/e,n/e,n/e,N/A,n/e,n/e,2752,2752,2752
04.04.2022 23:00 - 05.04.2022 00:00,n/e,n/e,n/e,N/A,n/e,n/e,2712,2712,2712
05.04.2022 00:00 - 05.04.2022 01:00,n/e,n/e,n/e,N/A,n/e,n/e,2668,2668,2668
05.04.2022 01:00 - 05.04.2022 02:00,n/e,n/e,n/e,N/A,n/e,n/e,2391,2391,2391
05.04.2022 02:00 - 05.04.2022 03:00,n/e,n/e,n/e,N/A,n/e,n/e,2368,2368,2368
05.04.2022 03:00 - 05.04.2022 04:00,n/e,n/e,n/e,N/A,n/e,n/e,2355,2355,2355
05.04.2022 04:00 - 05.04.2022 05:00,n/e,n/e,n/e,N/A,n/e,n/e,2351,2351,2351
05.04.2022 05:00 - 05.04.2022 06:00,n/e,n/e,n/e,N/A,n/e,n/e,2330,2330,2330
05.04.2022 06:00 - 05.04.2022 07:00,n/e,n/e,n/e,N/A,n/e,n/e,2265,2265,2265
05.04.2022 07:00 - 05.04.2022 08:00,n/e,n/e,n/e,N/A,n/e,n/e,2230,2230,2230
05.04.2022 08:00 - 05.04.2022 09:00,n/e,n/e,n/e,N/A,n/e,n/e,2208,2208,2208
05.04.2022 09:00 - 05.04.2022 10:00,n/e,n/e,n/e,N/A,n/e,n/e,2219,2219,2219
05.04.2022 10:00 - 05.04.2022 11:00,n/e,n/e,n/e,N/A,n/e,n/e,2317,2317,2317
05.04.2022 11:00 - 05.04.2022 12:00,n/e,n/e,n/e,N/A,n/e,n/e,2435,2435,2435
05.04.2022 12:00 - 05.04.2022 13:00,n/e,n/e,n/e,N/A,n/e,n/e,2584,2584,2584
05.04.2022 13:00 - 05.04.2022 14:00,n/e,n/e,n/e,N/A,n/e,n/e,2744,2744,2744
05.04.2022 14:00 - 05.04.2022 15:00,n/e,n/e,n/e,N/A,n/e,n/e,2869,2869,2869
05.04.2022 15:00 - 05.04.2022 16:00,n/e,n/e,n/e,N/A,n/e,n/e,2960,2960,2960
05.04.2022 16:00 - 05.04.2022 17:00,n/e,n/e,n/e,N/A,n/e,n/e,3027,3027,3027
05.04.2022 17:00 - 05.04.2022 18:00,n/e,n/e,n/e,N/A,n/e,n/e,3047,3047,3047
05.04.2022 18:00 - 05.04.2022 19:00,n/e,n/e,n/e,N/A,n/e,n/e,3031,3031,3031
05.04.2022 19:00 - 05.04.2022 20:00,n/e,n/e,n/e,N/A,n/e,n/e,3038,3038,3038
05.04.2022 20:00 - 05.04.2022 21:00,n/e,n/e,n/e,N/A,n/e,n/e,3092,3092,3092
05.04.2022 21:00 - 05.04.2022 22:00,n/e,n/e,n/e,N/A,n/e,n/e,3105,3105,3105
05.04.2022 22:00 - 05.04.2022 23:00,n/e,n/e,n/e,N/A,n/e,n/e,3073,3073,3073
05.04.2022 23:00 - 06.04.2022 00:00,n/e,n/e,n/e,N/A,n/e,n/e,3033,3033,3033
06.04.2022 00:00 - 06.04.2022 01:00,n/e,n/e,n/e,N/A,n/e,n/e,3015,3015,3015
06.04.2022 01:00 - 06.04.2022 02:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
06.04.2022 02:00 - 06.04.2022 03:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
06.04.2022 03:00 - 06.04.2022 04:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
06.04.2022 04:00 - 06.04.2022 05:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
06.04.2022 05:00 - 06.04.2022 06:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
06.04.2022 06:00 - 06.04.2022 07:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
06.04.2022 07:00 - 06.04.2022 08:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
06.04.2022 08:00 - 06.04.2022 09:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
06.04.2022 09:00 - 06.04.2022 10:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
06.04.2022 10:00 - 06.04.2022 11:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
06.04.2022 11:00 - 06.04.2022 12:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
06.04.2022 12:00 - 06.04.2022 13:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
06.04.2022 13:00 - 06.04.2022 14:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
06.04.2022 14:00 - 06.04.2022 15:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
06.04.2022 15:00 - 06.04.2022 16:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
06.04.2022 16:00 - 06.04.2022 17:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
06.04.2022 17:00 - 06.04.2022 18:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
06.04.2022 18:00 - 06.04.2022 19:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
06.04.2022 19:00 - 06.04.2022 20:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
06.04.2022 20:00 - 06.04.2022 21:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
06.04.2022 21:00 - 06.04.2022 22:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
06.04.2022 22:00 - 06.04.2022 23:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
06.04.2022 23:00 - 07.04.2022 00:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
07.04.2022 00:00 - 07.04.2022 01:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
07.04.2022 01:00 - 07.04.2022 02:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
07.04.2022 02:00 - 07.04.2022 03:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
07.04.2022 03:00 - 07.04.2022 04:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
07.04.2022 04:00 - 07.04.2022 05:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
07.04.2022 05:00 - 07.04.2022 06:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
07.04.2022 06:00 - 07.04.2022 07:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
07.04.2022 07:00 - 07.04.2022 08:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
07.04.2022 08:00 - 07.04.2022 09:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
07.04.2022 09:00 - 07.04.2022 10:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
07.04.2022 10:00 - 07.04.2022 11:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
07.04.2022 11:00 - 07.04.2022 12:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
07.04.2022 12:00 - 07.04.2022 13:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
07.04.2022 13:00 - 07.04.2022 14:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
07.04.2022 14:00 - 07.04.2022 15:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
07.04.2022 15:00 - 07.04.2022 16:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
07.04.2022 16:00 - 07.04.2022 17:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
07.04.2022 17:00 - 07.04.2022 18:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
07.04.2022 18:00 - 07.04.2022 19:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
07.04.2022 19:00 - 07.04.2022 20:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
07.04.2022 20:00 - 07.04.2022 21:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
