MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Germany (DE),Generation - Solar  [MW] Intraday / Germany (DE),Generation - Solar  [MW] Day Ahead/ Germany (DE),Generation - Wind Offshore  [MW] Day Ahead/ Germany (DE),Generation - Wind Offshore  [MW] Intraday / Germany (DE),Generation - Wind Offshore  [MW] Day Ahead/ Germany (DE),Generation - Wind Onshore  [MW] Day Ahead/ Germany (DE),Generation - Wind Onshore  [MW] Intraday / Germany (DE),Generation - Wind Onshore  [MW] Day Ahead/ Germany (DE)
01.01.2022 14:45 - 01.01.2022 15:00,3635,3645,3635,5243,5495,5243,7731,8640,7731
01.01.2022 15:00 - 01.01.2022 15:15,2944,2947,2944,5213,5538,5213,7582,8557,7582
01.01.2022 15:15 - 01.01.2022 15:30,2254,2247,2254,5270,5569,5270,7618,8636,7618
01.01.2022 15:30 - 01.01.2022 15:45,1564,1554,1564,5316,5596,5316,7668,8678,7668
01.01.2022 15:45 - 01.01.2022 16:00,958,946,958,5368,5620,5368,7728,8707,7728
01.01.2022 16:00 - 01.01.2022 16:15,455,428,455,5413,5647,5413,7810,8821,7810
01.01.2022 16:15 - 01.01.2022 16:30,224,199,224,5455,5661,5455,8130,9221,8130
01.01.2022 16:30 - 01.01.2022 16:45,34,37,34,5498,5677,5498,8448,9628,8448
01.01.2022 16:45 - 01.01.2022 17:00,10,11,10,5544,5692,5544,8765,10047,8765
01.01.2022 17:00 - 01.01.2022 17:15,0,0,0,5586,5704,5586,9072,10463,9072
01.01.2022 17:15 - 01.01.2022 17:30,0,0,0,5617,5718,5617,9468,10940,9468
01.01.2022 17:30 - 01.01.2022 17:45,0,0,0,5653,5729,5653,9847,11394,9847
01.01.2022 17:45 - 01.01.2022 18:00,0,0,0,5684,5906,5684,10236,11845,10236
01.01.2022 18:00 - 01.01.2022 18:15,0,0,0,5921,5605,5921,10609,12267,10609
01.01.2022 18:15 - 01.01.2022 18:30,0,0,0,5601,5613,5601,10986,12631,10986
01.01.2022 18:30 - 01.01.2022 18:45,0,0,0,5631,5623,5631,11365,12986,11365
01.01.2022 18:45 - 01.01.2022 19:00,0,0,0,5663,5631,5663,11740,13345,11740
01.01.2022 19:00 - 01.01.2022 19:15,0,0,0,5691,5641,5691,12098,13693,12098
01.01.2022 19:15 - 01.01.2022 19:30,0,0,0,5716,5655,5716,12419,13973,12419
01.01.2022 19:30 - 01.01.2022 19:45,0,0,0,5744,5668,5744,12739,14247,12739
01.01.2022 19:45 - 01.01.2022 20:00,0,0,0,5774,5685,5774,13059,14529,13059
01.01.2022 20:00 - 01.01.2022 20:15,0,0,0,5806,5704,5806,13371,14801,13371
01.01.2022 20:15 - 01.01.2022 20:30,0,0,0,5839,5725,5839,13660,15065,13660
01.01.2022 20:30 - 01.01.2022 20:45,0,0,0,5874,5750,5874,13948,15320,13948
01.01.2022 20:45 - 01.01.2022 21:00,0,0,0,5908,5779,5908,14228,15558,14228
01.01.2022 21:00 - 01.01.2022 21:15,0,0,0,5945,5809,5945,14517,15783,14517
01.01.2022 21:15 - 01.01.2022 21:30,0,0,0,5982,5847,5982,14811,16024,14811
01.01.2022 21:30 - 01.01.2022 21:45,0,0,0,6018,5893,6018,15107,16240,15107
01.01.2022 21:45 - 01.01.2022 22:00,0,0,0,6057,5934,6057,15410,16460,15410
01.01.2022 22:00 - 01.01.2022 22:15,0,0,0,6118,6003,6118,15479,16427,15479
01.01.2022 22:15 - 01.01.2022 22:30,0,0,0,6138,6039,6138,15702,16565,15702
01.01.2022 22:30 - 01.01.2022 22:45,0,0,0,6157,6071,6157,15933,16704,15933
01.01.2022 22:45 - 01.01.2022 23:00,0,0,0,6173,6105,6173,16179,16846,16179
01.01.2022 23:00 - 01.01.2022 23:15,0,0,0,6184,6133,6184,16430,17000,16430
01.01.2022 23:15 - 01.01.2022 23:30,0,0,0,6183,6157,6183,16684,17132,16684
01.01.2022 23:30 - 01.01.2022 23:45,0,0,0,6183,6179,6183,16943,17265,16943
01.01.2022 23:45 - 02.01.2022 00:00,0,0,0,6178,6192,6178,17199,17387,17199
02.01.2022 00:00 - 02.01.2022 00:15,0,0,0,6409,6698,6409,17309,18241,17309
02.01.2022 00:15 - 02.01.2022 00:30,0,0,0,6397,6713,6397,17402,18352,17402
02.01.2022 00:30 - 02.01.2022 00:45,0,0,0,6385,6735,6385,17475,18301,17475
02.01.2022 00:45 - 02.01.2022 01:00,0,0,0,6366,6708,6366,17562,18420,17562
