MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Germany (DE),Generation - Solar  [MW] Intraday / Germany (DE),Generation - Solar  [MW] Day Ahead/ Germany (DE),Generation - Wind Offshore  [MW] Day Ahead/ Germany (DE),Generation - Wind Offshore  [MW] Intraday / Germany (DE),Generation - Wind Offshore  [MW] Day Ahead/ Germany (DE),Generation - Wind Onshore  [MW] Day Ahead/ Germany (DE),Generation - Wind Onshore  [MW] Intraday / Germany (DE),Generation - Wind Onshore  [MW] Day Ahead/ Germany (DE)
23.02.2022 21:00 - 23.02.2022 21:15,0,0,0,5528,5527,5528,19768,19919,19768
23.02.2022 21:15 - 23.02.2022 21:30,0,0,0,5528,5540,5528,20044,20208,20044
23.02.2022 21:30 - 23.02.2022 21:45,0,0,0,5530,5547,5530,20316,20488,20316
23.02.2022 21:45 - 23.02.2022 22:00,0,0,0,5528,5578,5528,20565,20746,20565
23.02.2022 22:00 - 23.02.2022 22:15,0,0,0,5586,5610,5586,20375,20565,20375
23.02.2022 22:15 - 23.02.2022 22:30,0,0,0,5592,5615,5592,20541,20738,20541
23.02.2022 22:30 - 23.02.2022 22:45,0,0,0,5599,5622,5599,20707,20914,20707
23.02.2022 22:45 - 23.02.2022 23:00,0,0,0,5606,5624,5606,20871,21086,20871
23.02.2022 23:00 - 23.02.2022 23:15,0,0,0,5610,5630,5610,21020,21238,21020
23.02.2022 23:15 - 23.02.2022 23:30,0,0,0,5610,5635,5610,21135,21372,21135
23.02.2022 23:30 - 23.02.2022 23:45,0,0,0,5613,5639,5613,21242,21515,21242
23.02.2022 23:45 - 24.02.2022 00:00,0,0,0,5617,5644,5617,21347,21657,21347
24.02.2022 00:00 - 24.02.2022 00:15,0,0,0,5882,5453,5882,22116,21630,22116
24.02.2022 00:15 - 24.02.2022 00:30,0,0,0,5890,5477,5890,22173,21687,22173
24.02.2022 00:30 - 24.02.2022 00:45,0,0,0,5899,5557,5899,22244,21879,22244
24.02.2022 00:45 - 24.02.2022 01:00,0,0,0,5905,5462,5905,22293,21969,22293
24.02.2022 01:00 - 24.02.2022 01:15,0,0,0,5419,5329,5419,22378,22068,22378
24.02.2022 01:15 - 24.02.2022 01:30,0,0,0,5426,5289,5426,22439,22289,22439
24.02.2022 01:30 - 24.02.2022 01:45,0,0,0,5433,5293,5433,22504,22586,22504
24.02.2022 01:45 - 24.02.2022 02:00,0,0,0,5441,5285,5441,22564,22788,22564
24.02.2022 02:00 - 24.02.2022 02:15,0,0,0,5445,5217,5445,22615,22913,22615
24.02.2022 02:15 - 24.02.2022 02:30,0,0,0,5445,5282,5445,22647,23201,22647
24.02.2022 02:30 - 24.02.2022 02:45,0,0,0,5447,5224,5447,22673,23269,22673
24.02.2022 02:45 - 24.02.2022 03:00,0,0,0,5448,5260,5448,22677,23251,22677
24.02.2022 03:00 - 24.02.2022 03:15,0,0,0,5450,5380,5450,22649,23295,22649
24.02.2022 03:15 - 24.02.2022 03:30,0,0,0,5453,5347,5453,22661,23384,22661
24.02.2022 03:30 - 24.02.2022 03:45,0,0,0,5455,5354,5455,22659,23321,22659
24.02.2022 03:45 - 24.02.2022 04:00,0,0,0,5460,5346,5460,22659,23351,22659
24.02.2022 04:00 - 24.02.2022 04:15,0,0,0,5461,5336,5461,22663,23486,22663
24.02.2022 04:15 - 24.02.2022 04:30,0,0,0,5465,5343,5465,22647,23620,22647
24.02.2022 04:30 - 24.02.2022 04:45,0,0,0,5471,5375,5471,22627,23794,22627
24.02.2022 04:45 - 24.02.2022 05:00,0,0,0,5474,5392,5474,22612,23936,22612
24.02.2022 05:00 - 24.02.2022 05:15,0,0,0,5471,5465,5471,22589,24030,22589
24.02.2022 05:15 - 24.02.2022 05:30,0,0,0,5464,5442,5464,22571,23952,22571
24.02.2022 05:30 - 24.02.2022 05:45,0,0,0,5455,5442,5455,22556,23343,22556
24.02.2022 05:45 - 24.02.2022 06:00,0,0,0,5438,5438,5438,22548,23323,22548
24.02.2022 06:00 - 24.02.2022 06:15,0,0,0,5379,5412,5379,22959,23694,22959
24.02.2022 06:15 - 24.02.2022 06:30,0,0,0,5334,5410,5334,22929,23610,22929
24.02.2022 06:30 - 24.02.2022 06:45,0,0,0,5279,5408,5279,22905,23486,22905
24.02.2022 06:45 - 24.02.2022 07:00,0,0,0,5227,5401,5227,22873,23421,22873
24.02.2022 07:00 - 24.02.2022 07:15,10,16,10,5167,5380,5167,22843,23445,22843
24.02.2022 07:15 - 24.02.2022 07:30,123,158,123,5115,5260,5115,22781,23228,22781
24.02.2022 07:30 - 24.02.2022 07:45,702,736,702,5062,5164,5062,22738,22846,22738
24.02.2022 07:45 - 24.02.2022 08:00,1399,1477,1399,5006,5131,5006,22697,22770,22697
24.02.2022 08:00 - 24.02.2022 08:15,2272,2448,2272,4971,5087,4971,22663,22595,22663
24.02.2022 08:15 - 24.02.2022 08:30,3235,3557,3235,4959,4972,4959,22714,22365,22714
24.02.2022 08:30 - 24.02.2022 08:45,4260,4695,4260,4937,4842,4937,22777,22137,22777
24.02.2022 08:45 - 24.02.2022 09:00,5342,5853,5342,4924,4724,4924,22830,21972,22830
24.02.2022 09:00 - 24.02.2022 09:15,6465,7054,6465,4891,4605,4891,22831,21900,22831
24.02.2022 09:15 - 24.02.2022 09:30,7537,8187,7537,4854,4513,4854,22560,21681,22560
24.02.2022 09:30 - 24.02.2022 09:45,8584,9286,8584,4816,4418,4816,22285,21495,22285
24.02.2022 09:45 - 24.02.2022 10:00,9589,10316,9589,4779,4317,4779,22017,21333,22017
24.02.2022 10:00 - 24.02.2022 10:15,10507,11301,10507,4737,4232,4737,21754,21110,21754
24.02.2022 10:15 - 24.02.2022 10:30,11368,12188,11368,4689,4212,4689,21927,21203,21927
24.02.2022 10:30 - 24.02.2022 10:45,12127,12846,12127,4637,4151,4637,22137,21339,22137
24.02.2022 10:45 - 24.02.2022 11:00,12756,13429,12756,4582,4081,4582,22368,21535,22368
24.02.2022 11:00 - 24.02.2022 11:15,13317,13996,13317,4518,4004,4518,22611,21816,22611
24.02.2022 11:15 - 24.02.2022 11:30,13751,14474,13751,4447,3953,4447,23375,22427,23375
24.02.2022 11:30 - 24.02.2022 11:45,13998,14760,13998,4344,3901,4344,24157,23227,24157
24.02.2022 11:45 - 24.02.2022 12:00,14086,14862,14086,4242,3855,4242,24931,24152,24931
24.02.2022 12:00 - 24.02.2022 12:15,14106,14903,14106,4129,3813,4129,25619,25048,25619
24.02.2022 12:15 - 24.02.2022 12:30,14013,14869,14013,4032,3797,4032,26402,25999,26402
24.02.2022 12:30 - 24.02.2022 12:45,13772,14716,13772,3935,3772,3935,27234,27168,27234
24.02.2022 12:45 - 24.02.2022 13:00,13427,14446,13427,3761,3677,3761,28010,28133,28010
24.02.2022 13:00 - 24.02.2022 13:15,13011,14131,13011,3706,3652,3706,28692,29000,28692
24.02.2022 13:15 - 24.02.2022 13:30,12522,13711,12522,3727,3664,3727,29175,29711,29175
24.02.2022 13:30 - 24.02.2022 13:45,11931,13161,11931,3736,3675,3736,29663,30384,29663
24.02.2022 13:45 - 24.02.2022 14:00,11229,12474,11229,3751,3707,3751,30127,31009,30127
24.02.2022 14:00 - 24.02.2022 14:15,10470,11697,10470,3789,3752,3789,30487,31234,30487
24.02.2022 14:15 - 24.02.2022 14:30,9633,10883,9633,3914,3830,3914,30661,31520,30661
24.02.2022 14:30 - 24.02.2022 14:45,8766,9924,8766,4014,3912,4014,30807,31781,30807
24.02.2022 14:45 - 24.02.2022 15:00,7917,8908,7917,4266,3977,4266,30917,32011,30917
24.02.2022 15:00 - 24.02.2022 15:15,7063,7870,7063,4377,3840,4377,31008,32200,31008
24.02.2022 15:15 - 24.02.2022 15:30,6237,6855,6237,4503,3963,4503,31065,32387,31065
24.02.2022 15:30 - 24.02.2022 15:45,5404,5844,5404,4635,4070,4635,31078,32543,31078
24.02.2022 15:45 - 24.02.2022 16:00,4584,4854,4584,4755,4189,4755,31088,32691,31088
24.02.2022 16:00 - 24.02.2022 16:15,3782,3930,3782,4844,4299,4844,31094,32838,31094
24.02.2022 16:15 - 24.02.2022 16:30,3019,3079,3019,4936,4500,4936,31170,33003,31170
24.02.2022 16:30 - 24.02.2022 16:45,2297,2314,2297,4969,4707,4969,31231,33107,31231
24.02.2022 16:45 - 24.02.2022 17:00,1631,1627,1631,4999,4917,4999,31277,33204,31277
24.02.2022 17:00 - 24.02.2022 17:15,1035,1027,1035,5034,5105,5034,31297,33267,31297
24.02.2022 17:15 - 24.02.2022 17:30,571,567,571,5115,5063,5115,31352,33255,31352
24.02.2022 17:30 - 24.02.2022 17:45,251,248,251,5261,5169,5261,31328,33226,31328
24.02.2022 17:45 - 24.02.2022 18:00,15,16,15,5334,5264,5334,31301,33196,31301
24.02.2022 18:00 - 24.02.2022 18:15,0,0,0,5392,5327,5392,31309,33175,31309
24.02.2022 18:15 - 24.02.2022 18:30,0,0,0,5476,5364,5476,31344,33236,31344
24.02.2022 18:30 - 24.02.2022 18:45,0,0,0,5521,5395,5521,31364,33215,31364
24.02.2022 18:45 - 24.02.2022 19:00,0,0,0,5563,5422,5563,31345,33143,31345
24.02.2022 19:00 - 24.02.2022 19:15,0,0,0,5593,5451,5593,31387,33080,31387
24.02.2022 19:15 - 24.02.2022 19:30,0,0,0,5604,5483,5604,31483,32929,31483
24.02.2022 19:30 - 24.02.2022 19:45,0,0,0,5620,5514,5620,31516,32743,31516
24.02.2022 19:45 - 24.02.2022 20:00,0,0,0,5615,5545,5615,31568,32649,31568
24.02.2022 20:00 - 24.02.2022 20:15,0,0,0,5600,5569,5600,31662,32595,31662
24.02.2022 20:15 - 24.02.2022 20:30,0,0,0,5601,5588,5601,31584,32492,31584
24.02.2022 20:30 - 24.02.2022 20:45,0,0,0,5595,5612,5595,31492,32411,31492
24.02.2022 20:45 - 24.02.2022 21:00,0,0,0,5584,5627,5584,31399,32296,31399
24.02.2022 21:00 - 24.02.2022 21:15,0,0,0,5567,5631,5567,31241,32185,31241
24.02.2022 21:15 - 24.02.2022 21:30,0,0,0,5549,5639,5549,31033,32014,31033
24.02.2022 21:30 - 24.02.2022 21:45,0,0,0,5529,5654,5529,30829,31866,30829
24.02.2022 21:45 - 24.02.2022 22:00,0,0,0,5497,5656,5497,30647,31788,30647
24.02.2022 22:00 - 24.02.2022 22:15,0,0,0,5465,5655,5465,29986,31147,29986
24.02.2022 22:15 - 24.02.2022 22:30,0,0,0,5495,5670,5495,29857,30924,29857
24.02.2022 22:30 - 24.02.2022 22:45,0,0,0,5528,5682,5528,29707,30646,29707
24.02.2022 22:45 - 24.02.2022 23:00,0,0,0,5559,5687,5559,29551,30364,29551
24.02.2022 23:00 - 24.02.2022 23:15,0,0,0,5506,5688,5506,29390,30115,29390
24.02.2022 23:15 - 24.02.2022 23:30,0,0,0,5520,5694,5520,29271,29987,29271
24.02.2022 23:30 - 24.02.2022 23:45,0,0,0,5536,5699,5536,29143,29851,29143
24.02.2022 23:45 - 25.02.2022 00:00,0,0,0,5548,5705,5548,29000,29708,29000
25.02.2022 00:00 - 25.02.2022 00:15,0,0,0,5842,5194,5842,29718,29406,29718
25.02.2022 00:15 - 25.02.2022 00:30,0,0,0,5851,5183,5851,29625,29347,29625
25.02.2022 00:30 - 25.02.2022 00:45,0,0,0,5857,5258,5857,29511,29684,29511
25.02.2022 00:45 - 25.02.2022 01:00,0,0,0,5868,5339,5868,29399,29599,29399
25.02.2022 01:00 - 25.02.2022 01:15,0,0,0,5258,5560,5258,29310,29358,29310
25.02.2022 01:15 - 25.02.2022 01:30,0,0,0,5265,5578,5265,29270,29388,29270
25.02.2022 01:30 - 25.02.2022 01:45,0,0,0,5269,5599,5269,29229,29378,29229
25.02.2022 01:45 - 25.02.2022 02:00,0,0,0,5275,5609,5275,29188,29718,29188
25.02.2022 02:00 - 25.02.2022 02:15,0,0,0,5276,5609,5276,29171,30002,29171
25.02.2022 02:15 - 25.02.2022 02:30,0,0,0,5278,5589,5278,29173,30101,29173
25.02.2022 02:30 - 25.02.2022 02:45,0,0,0,5280,5534,5280,29185,30180,29185
25.02.2022 02:45 - 25.02.2022 03:00,0,0,0,5283,5505,5283,29204,30053,29204
25.02.2022 03:00 - 25.02.2022 03:15,0,0,0,5284,5456,5284,29217,30052,29217
25.02.2022 03:15 - 25.02.2022 03:30,0,0,0,5285,5453,5285,29234,30104,29234
25.02.2022 03:30 - 25.02.2022 03:45,0,0,0,5284,5485,5284,29268,30370,29268
25.02.2022 03:45 - 25.02.2022 04:00,0,0,0,5282,5502,5282,29306,30366,29306
25.02.2022 04:00 - 25.02.2022 04:15,0,0,0,5283,5526,5283,29328,30267,29328
25.02.2022 04:15 - 25.02.2022 04:30,0,0,0,5560,5532,5560,29356,30323,29356
25.02.2022 04:30 - 25.02.2022 04:45,0,0,0,5562,5521,5562,29410,30295,29410
25.02.2022 04:45 - 25.02.2022 05:00,0,0,0,5565,5510,5565,29462,30279,29462
25.02.2022 05:00 - 25.02.2022 05:15,0,0,0,5566,5489,5566,29483,30339,29483
25.02.2022 05:15 - 25.02.2022 05:30,0,0,0,5561,5486,5561,29527,30315,29527
25.02.2022 05:30 - 25.02.2022 05:45,0,0,0,5562,5498,5562,29588,30353,29588
25.02.2022 05:45 - 25.02.2022 06:00,0,0,0,5557,5499,5557,29654,30496,29654
25.02.2022 06:00 - 25.02.2022 06:15,0,0,0,5538,5474,5538,30200,31402,30200
25.02.2022 06:15 - 25.02.2022 06:30,0,0,0,5523,5466,5523,30255,31330,30255
25.02.2022 06:30 - 25.02.2022 06:45,0,0,0,5514,5498,5514,30321,31104,30321
25.02.2022 06:45 - 25.02.2022 07:00,0,0,0,5501,5526,5501,30381,31036,30381
25.02.2022 07:00 - 25.02.2022 07:15,18,50,18,5497,5571,5497,30435,31221,30435
25.02.2022 07:15 - 25.02.2022 07:30,389,359,389,5496,5580,5496,30537,31270,30537
25.02.2022 07:30 - 25.02.2022 07:45,1123,1061,1123,5495,5559,5495,30656,31448,30656
25.02.2022 07:45 - 25.02.2022 08:00,2218,2115,2218,5492,5585,5492,30769,31547,30769
25.02.2022 08:00 - 25.02.2022 08:15,3472,3361,3472,5491,5603,5491,30831,31650,30831
25.02.2022 08:15 - 25.02.2022 08:30,4874,4745,4874,5493,5617,5493,30905,31592,30905
25.02.2022 08:30 - 25.02.2022 08:45,6140,6193,6140,5492,5630,5492,30980,31592,30980
25.02.2022 08:45 - 25.02.2022 09:00,7518,7699,7518,5498,5646,5498,31043,31646,31043
25.02.2022 09:00 - 25.02.2022 09:15,8905,9177,8905,5500,5661,5500,31092,31683,31092
25.02.2022 09:15 - 25.02.2022 09:30,10162,10545,10162,5503,5671,5503,31203,31740,31203
25.02.2022 09:30 - 25.02.2022 09:45,11277,11816,11277,5506,5683,5506,31289,31870,31289
25.02.2022 09:45 - 25.02.2022 10:00,12314,12948,12314,5510,5696,5510,31346,32100,31346
25.02.2022 10:00 - 25.02.2022 10:15,13204,13948,13204,5511,5709,5511,31389,32346,31389
25.02.2022 10:15 - 25.02.2022 10:30,13953,14793,13953,5515,5764,5515,31800,32670,31800
25.02.2022 10:30 - 25.02.2022 10:45,14590,15456,14590,5517,5773,5517,32177,32956,32177
25.02.2022 10:45 - 25.02.2022 11:00,15013,15901,15013,5517,5771,5517,32501,33175,32501
25.02.2022 11:00 - 25.02.2022 11:15,15346,16250,15346,5519,5777,5519,32754,33345,32754
25.02.2022 11:15 - 25.02.2022 11:30,15561,16416,15561,5522,5785,5522,32694,33396,32694
25.02.2022 11:30 - 25.02.2022 11:45,15296,16317,15296,5527,5792,5527,32617,33390,32617
25.02.2022 11:45 - 25.02.2022 12:00,15255,16320,15255,5529,5801,5529,32531,33373,32531
25.02.2022 12:00 - 25.02.2022 12:15,15222,16250,15222,5531,5809,5531,32441,33355,32441
25.02.2022 12:15 - 25.02.2022 12:30,15092,16085,15092,5534,5811,5534,32352,33307,32352
25.02.2022 12:30 - 25.02.2022 12:45,14878,15793,14878,5534,5815,5534,32242,33201,32242
25.02.2022 12:45 - 25.02.2022 13:00,14541,15360,14541,5504,5819,5504,32122,33086,32122
25.02.2022 13:00 - 25.02.2022 13:15,14176,14951,14176,5502,5824,5502,32030,32945,32030
25.02.2022 13:15 - 25.02.2022 13:30,13751,14433,13751,5498,5831,5498,31923,32727,31923
25.02.2022 13:30 - 25.02.2022 13:45,13220,13873,13220,5493,5828,5493,31799,32474,31799
25.02.2022 13:45 - 25.02.2022 14:00,12526,13200,12526,5483,5834,5483,31652,32192,31652
25.02.2022 14:00 - 25.02.2022 14:15,11841,12342,11841,5475,5839,5475,31482,31735,31482
25.02.2022 14:15 - 25.02.2022 14:30,11075,11604,11075,5469,5843,5469,31111,31357,31111
25.02.2022 14:30 - 25.02.2022 14:45,10168,10788,10168,5460,5847,5460,30685,30893,30685
25.02.2022 14:45 - 25.02.2022 15:00,9351,9908,9351,5449,5849,5449,30231,30520,30231
25.02.2022 15:00 - 25.02.2022 15:15,8528,9032,8528,5437,5414,5437,29790,30157,29790
25.02.2022 15:15 - 25.02.2022 15:30,7648,8128,7648,5419,5408,5419,29434,29688,29434
25.02.2022 15:30 - 25.02.2022 15:45,6760,7165,6760,5400,5397,5400,29048,29218,29048
25.02.2022 15:45 - 25.02.2022 16:00,5867,6166,5867,5375,5384,5375,28650,28771,28650
25.02.2022 16:00 - 25.02.2022 16:15,4970,5176,4970,5351,5364,5351,28228,28239,28228
25.02.2022 16:15 - 25.02.2022 16:30,4073,4191,4073,5336,5326,5336,27794,27720,27794
25.02.2022 16:30 - 25.02.2022 16:45,3196,3232,3196,5320,5283,5320,27313,27099,27313
25.02.2022 16:45 - 25.02.2022 17:00,2330,2295,2330,5303,5246,5303,26833,26645,26833
25.02.2022 17:00 - 25.02.2022 17:15,1531,1456,1531,5285,5205,5285,26356,26223,26356
25.02.2022 17:15 - 25.02.2022 17:30,868,787,868,5267,5155,5267,25958,25819,25958
25.02.2022 17:30 - 25.02.2022 17:45,391,314,391,5253,5099,5253,25541,25422,25541
25.02.2022 17:45 - 25.02.2022 18:00,26,31,26,5231,5045,5231,25133,25032,25133
25.02.2022 18:00 - 25.02.2022 18:15,0,0,0,5207,4996,5207,24767,24765,24767
25.02.2022 18:15 - 25.02.2022 18:30,0,0,0,5190,4967,5190,24647,24621,24647
25.02.2022 18:30 - 25.02.2022 18:45,0,0,0,5175,4945,5175,24520,24509,24520
25.02.2022 18:45 - 25.02.2022 19:00,0,0,0,5157,4920,5157,24410,24428,24410
25.02.2022 19:00 - 25.02.2022 19:15,0,0,0,5143,4851,5143,24336,24410,24336
25.02.2022 19:15 - 25.02.2022 19:30,0,0,0,5138,4995,5138,24343,24419,24343
25.02.2022 19:30 - 25.02.2022 19:45,0,0,0,5124,4978,5124,24344,24451,24344
25.02.2022 19:45 - 25.02.2022 20:00,0,0,0,5119,4963,5119,24341,24494,24341
25.02.2022 20:00 - 25.02.2022 20:15,0,0,0,5103,4940,5103,24355,24503,24355
25.02.2022 20:15 - 25.02.2022 20:30,0,0,0,5086,4927,5086,24382,24511,24382
25.02.2022 20:30 - 25.02.2022 20:45,0,0,0,5066,4917,5066,24391,24455,24391
25.02.2022 20:45 - 25.02.2022 21:00,0,0,0,5047,4906,5047,24397,24387,24397
25.02.2022 21:00 - 25.02.2022 21:15,0,0,0,5020,4879,5020,24389,24304,24389
25.02.2022 21:15 - 25.02.2022 21:30,0,0,0,4981,4826,4981,24270,24190,24270
25.02.2022 21:30 - 25.02.2022 21:45,0,0,0,4939,4816,4939,24125,24093,24125
25.02.2022 21:45 - 25.02.2022 22:00,0,0,0,4900,4766,4900,23965,23973,23965
25.02.2022 22:00 - 25.02.2022 22:15,0,0,0,4900,4705,4900,23413,23432,23413
25.02.2022 22:15 - 25.02.2022 22:30,0,0,0,4800,4623,4800,23148,23242,23148
25.02.2022 22:30 - 25.02.2022 22:45,0,0,0,4700,4538,4700,22874,23024,22874
25.02.2022 22:45 - 25.02.2022 23:00,0,0,0,4596,4452,4596,22603,22803,22603
25.02.2022 23:00 - 25.02.2022 23:15,0,0,0,4491,4357,4491,22334,22586,22334
25.02.2022 23:15 - 25.02.2022 23:30,0,0,0,4372,4250,4372,22060,22338,22060
25.02.2022 23:30 - 25.02.2022 23:45,0,0,0,4251,4133,4251,21763,22070,21763
25.02.2022 23:45 - 26.02.2022 00:00,0,0,0,4119,4007,4119,21469,21791,21469
26.02.2022 00:00 - 26.02.2022 00:15,0,0,0,3939,3775,3939,21365,21228,21365
26.02.2022 00:15 - 26.02.2022 00:30,0,0,0,3793,3493,3793,21109,20919,21109
26.02.2022 00:30 - 26.02.2022 00:45,0,0,0,3647,3435,3647,20822,20589,20822
26.02.2022 00:45 - 26.02.2022 01:00,0,0,0,3495,3464,3495,20504,20026,20504
26.02.2022 01:00 - 26.02.2022 01:15,0,0,0,3506,3443,3506,20148,19551,20148
26.02.2022 01:15 - 26.02.2022 01:30,0,0,0,3326,3245,3326,19740,18943,19740
26.02.2022 01:30 - 26.02.2022 01:45,0,0,0,3136,3048,3136,19304,18572,19304
26.02.2022 01:45 - 26.02.2022 02:00,0,0,0,2948,2801,2948,18810,18284,18810
26.02.2022 02:00 - 26.02.2022 02:15,0,0,0,2759,2469,2759,18247,17675,18247
26.02.2022 02:15 - 26.02.2022 02:30,0,0,0,2570,2215,2570,17804,17236,17804
26.02.2022 02:30 - 26.02.2022 02:45,0,0,0,2381,2112,2381,17352,16527,17352
26.02.2022 02:45 - 26.02.2022 03:00,0,0,0,2197,1903,2197,16905,15953,16905
26.02.2022 03:00 - 26.02.2022 03:15,0,0,0,2016,1796,2016,16461,15428,16461
26.02.2022 03:15 - 26.02.2022 03:30,0,0,0,1869,1569,1869,15989,15025,15989
26.02.2022 03:30 - 26.02.2022 03:45,0,0,0,1717,1399,1717,15543,14858,15543
26.02.2022 03:45 - 26.02.2022 04:00,0,0,0,1571,1179,1571,15090,14409,15090
26.02.2022 04:00 - 26.02.2022 04:15,0,0,0,1430,1044,1430,14625,13936,14625
26.02.2022 04:15 - 26.02.2022 04:30,0,0,0,1313,897,1313,14132,13344,14132
26.02.2022 04:30 - 26.02.2022 04:45,0,0,0,1197,825,1197,13636,12796,13636
26.02.2022 04:45 - 26.02.2022 05:00,0,0,0,1077,767,1077,13134,12310,13134
26.02.2022 05:00 - 26.02.2022 05:15,0,0,0,971,748,971,12632,11728,12632
26.02.2022 05:15 - 26.02.2022 05:30,0,0,0,889,744,889,12087,11241,12087
26.02.2022 05:30 - 26.02.2022 05:45,0,0,0,805,706,805,11594,10657,11594
26.02.2022 05:45 - 26.02.2022 06:00,0,0,0,727,699,727,11105,10287,11105
26.02.2022 06:00 - 26.02.2022 06:15,0,0,0,657,623,657,10757,10133,10757
26.02.2022 06:15 - 26.02.2022 06:30,0,0,0,615,562,615,10312,9721,10312
26.02.2022 06:30 - 26.02.2022 06:45,0,0,0,571,521,571,9880,9384,9880
26.02.2022 06:45 - 26.02.2022 07:00,0,0,0,536,465,536,9452,8888,9452
26.02.2022 07:00 - 26.02.2022 07:15,30,36,30,501,427,501,9038,8459,9038
26.02.2022 07:15 - 26.02.2022 07:30,255,226,255,469,407,469,8534,8078,8534
26.02.2022 07:30 - 26.02.2022 07:45,697,574,697,445,382,445,8066,7613,8066
26.02.2022 07:45 - 26.02.2022 08:00,1452,1231,1452,419,372,419,7602,7157,7602
26.02.2022 08:00 - 26.02.2022 08:15,2434,2091,2434,391,367,391,7159,6681,7159
26.02.2022 08:15 - 26.02.2022 08:30,3579,3117,3579,368,372,368,6685,6169,6685
26.02.2022 08:30 - 26.02.2022 08:45,4809,4240,4809,346,356,346,6221,5706,6221
26.02.2022 08:45 - 26.02.2022 09:00,6058,5352,6058,328,342,328,5764,5210,5764
26.02.2022 09:00 - 26.02.2022 09:15,7316,6452,7316,308,325,308,5318,4785,5318
26.02.2022 09:15 - 26.02.2022 09:30,8624,7589,8624,300,313,300,4884,4406,4884
26.02.2022 09:30 - 26.02.2022 09:45,9903,8717,9903,287,300,287,4497,4029,4497
26.02.2022 09:45 - 26.02.2022 10:00,11164,9808,11164,276,288,276,4085,3653,4085
26.02.2022 10:00 - 26.02.2022 10:15,12446,10893,12446,271,281,271,3719,3295,3719
26.02.2022 10:15 - 26.02.2022 10:30,13640,11897,13640,278,280,278,3454,3146,3454
26.02.2022 10:30 - 26.02.2022 10:45,14697,12773,14697,284,285,284,3224,2996,3224
26.02.2022 10:45 - 26.02.2022 11:00,15600,13510,15600,285,291,285,2964,2803,2964
26.02.2022 11:00 - 26.02.2022 11:15,16445,14178,16445,295,292,295,2713,2617,2713
26.02.2022 11:15 - 26.02.2022 11:30,17194,14763,17194,314,306,314,2551,2482,2551
26.02.2022 11:30 - 26.02.2022 11:45,17846,15244,17846,330,322,330,2389,2348,2389
26.02.2022 11:45 - 26.02.2022 12:00,18342,15599,18342,350,343,350,2225,2211,2225
26.02.2022 12:00 - 26.02.2022 12:15,18770,15903,18770,372,352,372,2068,2080,2068
26.02.2022 12:15 - 26.02.2022 12:30,19040,16083,19040,390,372,390,1970,2020,1970
26.02.2022 12:30 - 26.02.2022 12:45,19205,16151,19205,409,389,409,1872,1967,1872
26.02.2022 12:45 - 26.02.2022 13:00,19245,16175,19245,430,403,430,1774,1899,1774
26.02.2022 13:00 - 26.02.2022 13:15,19215,16149,19215,449,418,449,1682,1839,1682
26.02.2022 13:15 - 26.02.2022 13:30,19036,15990,19036,454,417,454,1625,1826,1625
26.02.2022 13:30 - 26.02.2022 13:45,18711,15749,18711,464,417,464,1584,1814,1584
26.02.2022 13:45 - 26.02.2022 14:00,18243,15374,18243,476,417,476,1522,1803,1522
26.02.2022 14:00 - 26.02.2022 14:15,17664,16107,17664,480,418,480,1470,1772,1470
26.02.2022 14:15 - 26.02.2022 14:30,16925,15450,16925,476,409,476,1436,1778,1436
26.02.2022 14:30 - 26.02.2022 14:45,16040,14675,16040,485,408,485,1402,1784,1402
26.02.2022 14:45 - 26.02.2022 15:00,14947,13717,14947,484,400,484,1364,1790,1364
26.02.2022 15:00 - 26.02.2022 15:15,13755,12665,13755,480,383,480,1332,1797,1332
26.02.2022 15:15 - 26.02.2022 15:30,12398,11465,12398,474,387,474,1316,1813,1316
26.02.2022 15:30 - 26.02.2022 15:45,10957,10165,10957,472,387,472,1313,1829,1313
26.02.2022 15:45 - 26.02.2022 16:00,9472,8797,9472,467,384,467,1319,1844,1319
26.02.2022 16:00 - 26.02.2022 16:15,7986,7422,7986,465,387,465,1319,1852,1319
26.02.2022 16:15 - 26.02.2022 16:30,6486,6034,6486,471,396,471,1338,1856,1338
26.02.2022 16:30 - 26.02.2022 16:45,5031,4673,5031,482,407,482,1361,1840,1361
26.02.2022 16:45 - 26.02.2022 17:00,3664,3372,3664,489,418,489,1374,1822,1374
26.02.2022 17:00 - 26.02.2022 17:15,2411,2206,2411,502,431,502,1398,1851,1398
26.02.2022 17:15 - 26.02.2022 17:30,1359,1232,1359,526,454,526,1547,2001,1547
26.02.2022 17:30 - 26.02.2022 17:45,549,483,549,557,472,557,1688,2156,1688
26.02.2022 17:45 - 26.02.2022 18:00,131,118,131,585,494,585,1832,2317,1832
26.02.2022 18:00 - 26.02.2022 18:15,1,1,1,614,518,614,1984,2489,1984
26.02.2022 18:15 - 26.02.2022 18:30,0,0,0,665,550,665,2203,2710,2203
26.02.2022 18:30 - 26.02.2022 18:45,0,0,0,718,584,718,2415,2927,2415
26.02.2022 18:45 - 26.02.2022 19:00,0,0,0,767,621,767,2627,3136,2627
26.02.2022 19:00 - 26.02.2022 19:15,0,0,0,818,660,818,2841,3361,2841
26.02.2022 19:15 - 26.02.2022 19:30,0,0,0,883,713,883,3069,3611,3069
