"Production Type","2022 [MW]"
"Biomass","1870"
"Fossil Brown coal/Lignite","n/e"
"Fossil Coal-derived gas","n/e"
"Fossil Gas","1621"
"Fossil Hard coal","3165"
"Fossil Oil","997"
"Fossil Oil shale","n/e"
"Fossil Peat","n/e"
"Geothermal","n/e"
"Hydro Pumped Storage","n/e"
"Hydro Run-of-river and poundage","7"
"Hydro Water Reservoir","n/e"
"Marine","n/e"
"Nuclear","n/e"
"Other","n/e"
"Other renewable","137"
"Solar","1536"
"Waste","384"
"Wind Offshore","2305"
"Wind Onshore","4644"
"Total Grand capacity","16666"
