Time (CET/CEST),Generation - Solar  [MW] Day Ahead/ United Kindom (UK),Generation - Solar  [MW] Day Ahead/ United Kindom (UK),Generation - Solar  [MW] Day Ahead/ United Kindom (UK),Generation - Wind Offshore  [MW] Day Ahead/ United Kindom (UK),Generation - Wind Offshore  [MW] Intraday / United Kindom (UK),Generation - Wind Offshore  [MW] Current / United Kindom (UK),Generation - Wind Onshore  [MW] Day Ahead/ United Kindom (UK),Generation - Wind Onshore  [MW] Day Ahead/ United Kindom (UK),Generation - Wind Onshore  [MW] Day Ahead/ United Kindom (UK)
25.02.2022 20:00 - 25.02.2022 20:30,0,0,0,0,0,0,1845,1845,1845
25.02.2022 20:30 - 25.02.2022 21:00,0,0,0,0,0,0,1944,1944,1944
25.02.2022 21:00 - 25.02.2022 21:30,0,0,0,0,0,0,1955,1955,1955
25.02.2022 21:30 - 25.02.2022 22:00,0,0,0,0,0,0,1972,1972,1972
25.02.2022 22:00 - 25.02.2022 22:30,0,0,0,0,0,0,2021,2021,2021
25.02.2022 22:30 - 25.02.2022 23:00,0,0,0,0,0,0,2071,2071,2071
25.02.2022 23:00 - 25.02.2022 23:30,0,0,0,0,0,0,2069,2069,2069
25.02.2022 23:30 - 26.02.2022 00:00,0,0,0,0,0,0,2076,2076,2076
26.02.2022 00:00 - 26.02.2022 00:30,0,0,0,0,0,0,2127,2127,2127
26.02.2022 00:30 - 26.02.2022 01:00,0,0,0,0,0,0,2175,2175,2175
26.02.2022 01:00 - 26.02.2022 01:30,0,0,0,0,0,0,2191,2191,2191
26.02.2022 01:30 - 26.02.2022 02:00,0,0,0,0,0,0,2223,2223,2223
26.02.2022 02:00 - 26.02.2022 02:30,0,0,0,0,0,0,2261,2261,2261
26.02.2022 02:30 - 26.02.2022 03:00,0,0,0,0,0,0,2296,2296,2296
26.02.2022 03:00 - 26.02.2022 03:30,0,0,0,0,0,0,2326,2326,2326
26.02.2022 03:30 - 26.02.2022 04:00,0,0,0,0,0,0,2359,2359,2359
26.02.2022 04:00 - 26.02.2022 04:30,0,0,0,0,0,0,2414,2414,2414
26.02.2022 04:30 - 26.02.2022 05:00,0,0,0,0,0,0,2472,2472,2472
26.02.2022 05:00 - 26.02.2022 05:30,0,0,0,0,0,0,2519,2519,2519
26.02.2022 05:30 - 26.02.2022 06:00,0,0,0,0,0,0,2558,2558,2558
26.02.2022 06:00 - 26.02.2022 06:30,0,0,0,0,0,0,2588,2588,2588
26.02.2022 06:30 - 26.02.2022 07:00,0,0,0,0,0,0,2621,2621,2621
26.02.2022 07:00 - 26.02.2022 07:30,105,105,105,0,0,0,2700,2700,2700
26.02.2022 07:30 - 26.02.2022 08:00,800,800,800,0,0,0,2779,2779,2779
26.02.2022 08:00 - 26.02.2022 08:30,1960,1960,1960,0,0,0,2922,2922,2922
26.02.2022 08:30 - 26.02.2022 09:00,3158,3158,3158,0,0,0,3071,3071,3071
26.02.2022 09:00 - 26.02.2022 09:30,4125,4125,4125,0,0,0,3224,3224,3224
26.02.2022 09:30 - 26.02.2022 10:00,5086,5086,5086,0,0,0,3367,3367,3367
26.02.2022 10:00 - 26.02.2022 10:30,5630,5630,5630,0,0,0,3584,3584,3584
26.02.2022 10:30 - 26.02.2022 11:00,5801,5801,5801,0,0,0,3799,3799,3799
26.02.2022 11:00 - 26.02.2022 11:30,5972,5972,5972,0,0,0,3997,3997,3997
26.02.2022 11:30 - 26.02.2022 12:00,6283,6283,6283,0,0,0,4179,4179,4179
26.02.2022 12:00 - 26.02.2022 12:30,6653,6653,6653,0,0,0,4195,4195,4195
26.02.2022 12:30 - 26.02.2022 13:00,6763,6763,6763,0,0,0,4177,4177,4177
26.02.2022 13:00 - 26.02.2022 13:30,6932,6932,6932,0,0,0,4305,4305,4305
26.02.2022 13:30 - 26.02.2022 14:00,6175,6175,6175,0,0,0,4378,4378,4378
26.02.2022 14:00 - 26.02.2022 14:30,5434,5434,5434,0,0,0,4286,4286,4286
26.02.2022 14:30 - 26.02.2022 15:00,4849,4849,4849,0,0,0,4133,4133,4133
26.02.2022 15:00 - 26.02.2022 15:30,3888,3888,3888,0,0,0,3970,3970,3970
26.02.2022 15:30 - 26.02.2022 16:00,2955,2955,2955,0,0,0,3771,3771,3771
26.02.2022 16:00 - 26.02.2022 16:30,1934,1934,1934,0,0,0,3740,3740,3740
26.02.2022 16:30 - 26.02.2022 17:00,956,956,956,0,0,0,3677,3677,3677
26.02.2022 17:00 - 26.02.2022 17:30,217,217,217,0,0,0,3715,3715,3715
26.02.2022 17:30 - 26.02.2022 18:00,0,0,0,0,0,0,3721,3721,3721
26.02.2022 18:00 - 26.02.2022 18:30,0,0,0,0,0,0,3742,3742,3742
26.02.2022 18:30 - 26.02.2022 19:00,0,0,0,0,0,0,3715,3715,3715
26.02.2022 19:00 - 26.02.2022 19:30,0,0,0,0,0,0,3739,3739,3739
26.02.2022 19:30 - 26.02.2022 20:00,0,0,0,0,0,0,3756,3756,3756
26.02.2022 20:00 - 26.02.2022 20:30,0,0,0,0,0,0,3710,3710,3710
26.02.2022 20:30 - 26.02.2022 21:00,0,0,0,0,0,0,3644,3644,3644
26.02.2022 21:00 - 26.02.2022 21:30,0,0,0,0,0,0,3604,3604,3604
26.02.2022 21:30 - 26.02.2022 22:00,0,0,0,0,0,0,3550,3550,3550
26.02.2022 22:00 - 26.02.2022 22:30,0,0,0,0,0,0,3558,3558,3558
26.02.2022 22:30 - 26.02.2022 23:00,0,0,0,0,0,0,3556,3556,3556
26.02.2022 23:00 - 26.02.2022 23:30,0,0,0,0,0,0,3518,3518,3518
26.02.2022 23:30 - 27.02.2022 00:00,0,0,0,0,0,0,3476,3476,3476
27.02.2022 00:00 - 27.02.2022 00:30,0,0,0,0,0,0,3532,3532,3532
27.02.2022 00:30 - 27.02.2022 01:00,0,0,0,0,0,0,3564,3564,3564
27.02.2022 01:00 - 27.02.2022 01:30,0,0,0,0,0,0,3480,3480,3480
27.02.2022 01:30 - 27.02.2022 02:00,0,0,0,0,0,0,3401,3401,3401
27.02.2022 02:00 - 27.02.2022 02:30,0,0,0,0,0,0,3347,3347,3347
27.02.2022 02:30 - 27.02.2022 03:00,0,0,0,0,0,0,3296,3296,3296
27.02.2022 03:00 - 27.02.2022 03:30,0,0,0,0,0,0,3156,3156,3156
27.02.2022 03:30 - 27.02.2022 04:00,0,0,0,0,0,0,2997,2997,2997
27.02.2022 04:00 - 27.02.2022 04:30,0,0,0,0,0,0,3030,3030,3030
27.02.2022 04:30 - 27.02.2022 05:00,0,0,0,0,0,0,3060,3060,3060
27.02.2022 05:00 - 27.02.2022 05:30,0,0,0,0,0,0,2921,2921,2921
27.02.2022 05:30 - 27.02.2022 06:00,0,0,0,0,0,0,2783,2783,2783
27.02.2022 06:00 - 27.02.2022 06:30,0,0,0,0,0,0,2761,2761,2761
27.02.2022 06:30 - 27.02.2022 07:00,0,0,0,0,0,0,2741,2741,2741
27.02.2022 07:00 - 27.02.2022 07:30,110,110,110,0,0,0,2741,2741,2741
27.02.2022 07:30 - 27.02.2022 08:00,883,883,883,0,0,0,2722,2722,2722
27.02.2022 08:00 - 27.02.2022 08:30,2211,2211,2211,0,0,0,2776,2776,2776
27.02.2022 08:30 - 27.02.2022 09:00,3512,3512,3512,0,0,0,2847,2847,2847
27.02.2022 09:00 - 27.02.2022 09:30,4615,4615,4615,0,0,0,2897,2897,2897
27.02.2022 09:30 - 27.02.2022 10:00,5644,5644,5644,0,0,0,2955,2955,2955
27.02.2022 10:00 - 27.02.2022 10:30,6531,6531,6531,0,0,0,3153,3153,3153
27.02.2022 10:30 - 27.02.2022 11:00,7303,7303,7303,0,0,0,3365,3365,3365
27.02.2022 11:00 - 27.02.2022 11:30,7909,7909,7909,0,0,0,3463,3463,3463
27.02.2022 11:30 - 27.02.2022 12:00,8292,8292,8292,0,0,0,3535,3535,3535
27.02.2022 12:00 - 27.02.2022 12:30,8389,8389,8389,0,0,0,3576,3576,3576
27.02.2022 12:30 - 27.02.2022 13:00,8295,8295,8295,0,0,0,3616,3616,3616
27.02.2022 13:00 - 27.02.2022 13:30,7981,7981,7981,0,0,0,3714,3714,3714
27.02.2022 13:30 - 27.02.2022 14:00,7423,7423,7423,0,0,0,3795,3795,3795
27.02.2022 14:00 - 27.02.2022 14:30,6588,6588,6588,0,0,0,3801,3801,3801
27.02.2022 14:30 - 27.02.2022 15:00,5705,5705,5705,0,0,0,3791,3791,3791
27.02.2022 15:00 - 27.02.2022 15:30,4669,4669,4669,0,0,0,3629,3629,3629
27.02.2022 15:30 - 27.02.2022 16:00,3566,3566,3566,0,0,0,3446,3446,3446
27.02.2022 16:00 - 27.02.2022 16:30,2323,2323,2323,0,0,0,3340,3340,3340
27.02.2022 16:30 - 27.02.2022 17:00,1096,1096,1096,0,0,0,3237,3237,3237
27.02.2022 17:00 - 27.02.2022 17:30,207,207,207,0,0,0,3165,3165,3165
27.02.2022 17:30 - 27.02.2022 18:00,0,0,0,0,0,0,3100,3100,3100
27.02.2022 18:00 - 27.02.2022 18:30,0,0,0,0,0,0,3148,3148,3148
27.02.2022 18:30 - 27.02.2022 19:00,0,0,0,0,0,0,3214,3214,3214
27.02.2022 19:00 - 27.02.2022 19:30,0,0,0,0,0,0,3226,3226,3226
27.02.2022 19:30 - 27.02.2022 20:00,0,0,0,0,0,0,3242,3242,3242
27.02.2022 20:00 - 27.02.2022 20:30,0,0,0,0,0,0,3295,3295,3295
27.02.2022 20:30 - 27.02.2022 21:00,0,0,0,0,0,0,3349,3349,3349
27.02.2022 21:00 - 27.02.2022 21:30,0,0,0,0,0,0,3301,3301,3301
27.02.2022 21:30 - 27.02.2022 22:00,0,0,0,0,0,0,3261,3261,3261
27.02.2022 22:00 - 27.02.2022 22:30,0,0,0,0,0,0,3252,3252,3252
27.02.2022 22:30 - 27.02.2022 23:00,0,0,0,0,0,0,3237,3237,3237
27.02.2022 23:00 - 27.02.2022 23:30,0,0,0,0,0,0,3255,3255,3255
27.02.2022 23:30 - 28.02.2022 00:00,0,0,0,0,0,0,3286,3286,3286
28.02.2022 00:00 - 28.02.2022 00:30,0,0,0,0,0,0,3341,3341,3341
28.02.2022 00:30 - 28.02.2022 01:00,0,0,0,0,0,0,3398,3398,3398
28.02.2022 01:00 - 28.02.2022 01:30,0,0,0,0,0,0,3359,3359,3359
28.02.2022 01:30 - 28.02.2022 02:00,0,0,0,0,0,0,3315,3315,3315
28.02.2022 02:00 - 28.02.2022 02:30,0,0,0,0,0,0,3232,3232,3232
28.02.2022 02:30 - 28.02.2022 03:00,0,0,0,0,0,0,3146,3146,3146
28.02.2022 03:00 - 28.02.2022 03:30,0,0,0,0,0,0,3133,3133,3133
28.02.2022 03:30 - 28.02.2022 04:00,0,0,0,0,0,0,3129,3129,3129
28.02.2022 04:00 - 28.02.2022 04:30,0,0,0,0,0,0,3083,3083,3083
28.02.2022 04:30 - 28.02.2022 05:00,0,0,0,0,0,0,3043,3043,3043
28.02.2022 05:00 - 28.02.2022 05:30,0,0,0,0,0,0,3121,3121,3121
28.02.2022 05:30 - 28.02.2022 06:00,0,0,0,0,0,0,3177,3177,3177
28.02.2022 06:00 - 28.02.2022 06:30,0,0,0,0,0,0,3106,3106,3106
28.02.2022 06:30 - 28.02.2022 07:00,0,0,0,0,0,0,3020,3020,3020
28.02.2022 07:00 - 28.02.2022 07:30,44,44,44,0,0,0,2955,2955,2955
28.02.2022 07:30 - 28.02.2022 08:00,200,200,200,0,0,0,2884,2884,2884
28.02.2022 08:00 - 28.02.2022 08:30,506,506,506,0,0,0,2847,2847,2847
28.02.2022 08:30 - 28.02.2022 09:00,797,797,797,0,0,0,2814,2814,2814
28.02.2022 09:00 - 28.02.2022 09:30,1274,1274,1274,0,0,0,2849,2849,2849
28.02.2022 09:30 - 28.02.2022 10:00,1816,1816,1816,0,0,0,2877,2877,2877
28.02.2022 10:00 - 28.02.2022 10:30,2217,2217,2217,0,0,0,2943,2943,2943
28.02.2022 10:30 - 28.02.2022 11:00,2441,2441,2441,0,0,0,3015,3015,3015
28.02.2022 11:00 - 28.02.2022 11:30,2206,2206,2206,0,0,0,2951,2951,2951
28.02.2022 11:30 - 28.02.2022 12:00,2020,2020,2020,0,0,0,2872,2872,2872
28.02.2022 12:00 - 28.02.2022 12:30,1854,1854,1854,0,0,0,2772,2772,2772
28.02.2022 12:30 - 28.02.2022 13:00,1846,1846,1846,0,0,0,2671,2671,2671
28.02.2022 13:00 - 28.02.2022 13:30,1501,1501,1501,0,0,0,2473,2473,2473
28.02.2022 13:30 - 28.02.2022 14:00,1358,1358,1358,0,0,0,2284,2284,2284
28.02.2022 14:00 - 28.02.2022 14:30,1157,1157,1157,0,0,0,2090,2090,2090
28.02.2022 14:30 - 28.02.2022 15:00,848,848,848,0,0,0,1930,1930,1930
28.02.2022 15:00 - 28.02.2022 15:30,604,604,604,0,0,0,1900,1900,1900
28.02.2022 15:30 - 28.02.2022 16:00,388,388,388,0,0,0,1927,1927,1927
28.02.2022 16:00 - 28.02.2022 16:30,196,196,196,0,0,0,1735,1735,1735
28.02.2022 16:30 - 28.02.2022 17:00,80,80,80,0,0,0,1613,1613,1613
28.02.2022 17:00 - 28.02.2022 17:30,21,21,21,0,0,0,1393,1393,1393
28.02.2022 17:30 - 28.02.2022 18:00,0,0,0,0,0,0,1250,1250,1250
28.02.2022 18:00 - 28.02.2022 18:30,0,0,0,0,0,0,1159,1159,1159
28.02.2022 18:30 - 28.02.2022 19:00,0,0,0,0,0,0,1130,1130,1130
28.02.2022 19:00 - 28.02.2022 19:30,0,0,0,0,0,0,1165,1165,1165
28.02.2022 19:30 - 28.02.2022 20:00,0,0,0,0,0,0,1241,1241,1241
28.02.2022 20:00 - 28.02.2022 20:30,0,0,0,0,0,0,1209,1209,1209
28.02.2022 20:30 - 28.02.2022 21:00,0,0,0,0,0,0,1223,1223,1223
28.02.2022 21:00 - 28.02.2022 21:30,0,0,0,0,0,0,1183,1183,1183
28.02.2022 21:30 - 28.02.2022 22:00,0,0,0,0,0,0,1181,1181,1181
28.02.2022 22:00 - 28.02.2022 22:30,0,0,0,0,0,0,1138,1138,1138
28.02.2022 22:30 - 28.02.2022 23:00,0,0,0,0,0,0,1119,1119,1119
28.02.2022 23:00 - 28.02.2022 23:30,0,0,0,0,0,0,1088,1088,1088
28.02.2022 23:30 - 01.03.2022 00:00,0,0,0,0,0,0,1119,1119,1119
01.03.2022 00:00 - 01.03.2022 00:30,0,0,0,0,0,0,1059,1059,1059
01.03.2022 00:30 - 01.03.2022 01:00,0,0,0,0,0,0,1028,1028,1028
01.03.2022 01:00 - 01.03.2022 01:30,0,0,0,0,0,0,1010,1010,1010
01.03.2022 01:30 - 01.03.2022 02:00,0,0,0,0,0,0,1022,1022,1022
01.03.2022 02:00 - 01.03.2022 02:30,0,0,0,0,0,0,1005,1005,1005
01.03.2022 02:30 - 01.03.2022 03:00,0,0,0,0,0,0,1010,1010,1010
01.03.2022 03:00 - 01.03.2022 03:30,0,0,0,0,0,0,979,979,979
01.03.2022 03:30 - 01.03.2022 04:00,0,0,0,0,0,0,967,967,967
01.03.2022 04:00 - 01.03.2022 04:30,0,0,0,0,0,0,969,969,969
01.03.2022 04:30 - 01.03.2022 05:00,0,0,0,0,0,0,995,995,995
01.03.2022 05:00 - 01.03.2022 05:30,0,0,0,0,0,0,1003,1003,1003
01.03.2022 05:30 - 01.03.2022 06:00,0,0,0,0,0,0,1047,1047,1047
01.03.2022 06:00 - 01.03.2022 06:30,0,0,0,0,0,0,1033,1033,1033
01.03.2022 06:30 - 01.03.2022 07:00,0,0,0,0,0,0,1050,1050,1050
01.03.2022 07:00 - 01.03.2022 07:30,49,49,49,0,0,0,1016,1016,1016
01.03.2022 07:30 - 01.03.2022 08:00,289,289,289,0,0,0,1026,1026,1026
01.03.2022 08:00 - 01.03.2022 08:30,727,727,727,0,0,0,1049,1049,1049
01.03.2022 08:30 - 01.03.2022 09:00,1313,1313,1313,0,0,0,1098,1098,1098
01.03.2022 09:00 - 01.03.2022 09:30,1785,1785,1785,0,0,0,1108,1108,1108
01.03.2022 09:30 - 01.03.2022 10:00,2186,2186,2186,0,0,0,1154,1154,1154
01.03.2022 10:00 - 01.03.2022 10:30,2742,2742,2742,0,0,0,1205,1205,1205
01.03.2022 10:30 - 01.03.2022 11:00,3064,3064,3064,0,0,0,1273,1273,1273
01.03.2022 11:00 - 01.03.2022 11:30,3188,3188,3188,0,0,0,1293,1293,1293
01.03.2022 11:30 - 01.03.2022 12:00,3253,3253,3253,0,0,0,1337,1337,1337
01.03.2022 12:00 - 01.03.2022 12:30,3124,3124,3124,0,0,0,1373,1373,1373
01.03.2022 12:30 - 01.03.2022 13:00,3045,3045,3045,0,0,0,1437,1437,1437
01.03.2022 13:00 - 01.03.2022 13:30,2812,2812,2812,0,0,0,1465,1465,1465
01.03.2022 13:30 - 01.03.2022 14:00,2521,2521,2521,0,0,0,1504,1504,1504
01.03.2022 14:00 - 01.03.2022 14:30,2262,2262,2262,0,0,0,1469,1469,1469
01.03.2022 14:30 - 01.03.2022 15:00,1835,1835,1835,0,0,0,1456,1456,1456
01.03.2022 15:00 - 01.03.2022 15:30,1434,1434,1434,0,0,0,1516,1516,1516
01.03.2022 15:30 - 01.03.2022 16:00,1004,1004,1004,0,0,0,1612,1612,1612
01.03.2022 16:00 - 01.03.2022 16:30,661,661,661,0,0,0,1510,1510,1510
01.03.2022 16:30 - 01.03.2022 17:00,320,320,320,0,0,0,1442,1442,1442
01.03.2022 17:00 - 01.03.2022 17:30,83,83,83,0,0,0,1422,1422,1422
01.03.2022 17:30 - 01.03.2022 18:00,0,0,0,0,0,0,1443,1443,1443
01.03.2022 18:00 - 01.03.2022 18:30,0,0,0,0,0,0,1460,1460,1460
01.03.2022 18:30 - 01.03.2022 19:00,0,0,0,0,0,0,1508,1508,1508
01.03.2022 19:00 - 01.03.2022 19:30,0,0,0,0,0,0,1524,1524,1524
01.03.2022 19:30 - 01.03.2022 20:00,0,0,0,0,0,0,1561,1561,1561
01.03.2022 20:00 - 01.03.2022 20:30,0,0,0,0,0,0,1664,1664,1664
01.03.2022 20:30 - 01.03.2022 21:00,0,0,0,0,0,0,1791,1791,1791
01.03.2022 21:00 - 01.03.2022 21:30,0,0,0,0,0,0,1817,1817,1817
01.03.2022 21:30 - 01.03.2022 22:00,0,0,0,0,0,0,1865,1865,1865
01.03.2022 22:00 - 01.03.2022 22:30,0,0,0,0,0,0,1890,1890,1890
01.03.2022 22:30 - 01.03.2022 23:00,0,0,0,0,0,0,1931,1931,1931
01.03.2022 23:00 - 01.03.2022 23:30,0,0,0,0,0,0,1968,1968,1968
01.03.2022 23:30 - 02.03.2022 00:00,0,0,0,0,0,0,2013,2013,2013
02.03.2022 00:00 - 02.03.2022 00:30,0,0,0,0,0,0,2063,2063,2063
02.03.2022 00:30 - 02.03.2022 01:00,0,0,0,0,0,0,2137,2137,2137
02.03.2022 01:00 - 02.03.2022 01:30,0,0,0,0,0,0,2111,2111,2111
02.03.2022 01:30 - 02.03.2022 02:00,0,0,0,0,0,0,2096,2096,2096
02.03.2022 02:00 - 02.03.2022 02:30,0,0,0,0,0,0,2141,2141,2141
02.03.2022 02:30 - 02.03.2022 03:00,0,0,0,0,0,0,2195,2195,2195
02.03.2022 03:00 - 02.03.2022 03:30,0,0,0,0,0,0,2173,2173,2173
02.03.2022 03:30 - 02.03.2022 04:00,0,0,0,0,0,0,2153,2153,2153
02.03.2022 04:00 - 02.03.2022 04:30,0,0,0,0,0,0,2206,2206,2206
02.03.2022 04:30 - 02.03.2022 05:00,0,0,0,0,0,0,2274,2274,2274
02.03.2022 05:00 - 02.03.2022 05:30,0,0,0,0,0,0,2318,2318,2318
02.03.2022 05:30 - 02.03.2022 06:00,0,0,0,0,0,0,2364,2364,2364
02.03.2022 06:00 - 02.03.2022 06:30,0,0,0,0,0,0,2342,2342,2342
02.03.2022 06:30 - 02.03.2022 07:00,0,0,0,0,0,0,2346,2346,2346
02.03.2022 07:00 - 02.03.2022 07:30,10,10,10,0,0,0,2285,2285,2285
02.03.2022 07:30 - 02.03.2022 08:00,79,79,79,0,0,0,2238,2238,2238
02.03.2022 08:00 - 02.03.2022 08:30,187,187,187,0,0,0,2395,2395,2395
02.03.2022 08:30 - 02.03.2022 09:00,342,342,342,0,0,0,2571,2571,2571
02.03.2022 09:00 - 02.03.2022 09:30,503,503,503,0,0,0,2712,2712,2712
02.03.2022 09:30 - 02.03.2022 10:00,628,628,628,0,0,0,2852,2852,2852
02.03.2022 10:00 - 02.03.2022 10:30,762,762,762,0,0,0,2950,2950,2950
02.03.2022 10:30 - 02.03.2022 11:00,944,944,944,0,0,0,3057,3057,3057
02.03.2022 11:00 - 02.03.2022 11:30,1036,1036,1036,0,0,0,3154,3154,3154
02.03.2022 11:30 - 02.03.2022 12:00,1108,1108,1108,0,0,0,3247,3247,3247
02.03.2022 12:00 - 02.03.2022 12:30,1240,1240,1240,0,0,0,3273,3273,3273
02.03.2022 12:30 - 02.03.2022 13:00,1384,1384,1384,0,0,0,3296,3296,3296
02.03.2022 13:00 - 02.03.2022 13:30,1404,1404,1404,0,0,0,3211,3211,3211
02.03.2022 13:30 - 02.03.2022 14:00,1279,1279,1279,0,0,0,3126,3126,3126
02.03.2022 14:00 - 02.03.2022 14:30,1115,1115,1115,0,0,0,3108,3108,3108
02.03.2022 14:30 - 02.03.2022 15:00,835,835,835,0,0,0,3093,3093,3093
02.03.2022 15:00 - 02.03.2022 15:30,646,646,646,0,0,0,2999,2999,2999
02.03.2022 15:30 - 02.03.2022 16:00,532,532,532,0,0,0,2903,2903,2903
02.03.2022 16:00 - 02.03.2022 16:30,303,303,303,0,0,0,2852,2852,2852
02.03.2022 16:30 - 02.03.2022 17:00,124,124,124,0,0,0,2819,2819,2819
02.03.2022 17:00 - 02.03.2022 17:30,27,27,27,0,0,0,2804,2804,2804
02.03.2022 17:30 - 02.03.2022 18:00,0,0,0,0,0,0,2803,2803,2803
02.03.2022 18:00 - 02.03.2022 18:30,0,0,0,0,0,0,2856,2856,2856
02.03.2022 18:30 - 02.03.2022 19:00,0,0,0,0,0,0,2910,2910,2910
02.03.2022 19:00 - 02.03.2022 19:30,0,0,0,0,0,0,2904,2904,2904
02.03.2022 19:30 - 02.03.2022 20:00,0,0,0,0,0,0,2909,2909,2909
02.03.2022 20:00 - 02.03.2022 20:30,0,0,0,0,0,0,2836,2836,2836
02.03.2022 20:30 - 02.03.2022 21:00,0,0,0,0,0,0,2771,2771,2771
02.03.2022 21:00 - 02.03.2022 21:30,0,0,0,0,0,0,2792,2792,2792
02.03.2022 21:30 - 02.03.2022 22:00,0,0,0,0,0,0,2820,2820,2820
02.03.2022 22:00 - 02.03.2022 22:30,0,0,0,0,0,0,2715,2715,2715
02.03.2022 22:30 - 02.03.2022 23:00,0,0,0,0,0,0,2623,2623,2623
02.03.2022 23:00 - 02.03.2022 23:30,0,0,0,0,0,0,2585,2585,2585
02.03.2022 23:30 - 03.03.2022 00:00,0,0,0,0,0,0,2566,2566,2566
03.03.2022 00:00 - 03.03.2022 00:30,0,0,0,0,0,0,2454,2454,2454
03.03.2022 00:30 - 03.03.2022 01:00,0,0,0,0,0,0,2359,2359,2359
03.03.2022 01:00 - 03.03.2022 01:30,0,0,0,0,0,0,2315,2315,2315
03.03.2022 01:30 - 03.03.2022 02:00,0,0,0,0,0,0,2286,2286,2286
03.03.2022 02:00 - 03.03.2022 02:30,0,0,0,0,0,0,2230,2230,2230
03.03.2022 02:30 - 03.03.2022 03:00,0,0,0,0,0,0,2186,2186,2186
03.03.2022 03:00 - 03.03.2022 03:30,0,0,0,0,0,0,2179,2179,2179
03.03.2022 03:30 - 03.03.2022 04:00,0,0,0,0,0,0,2192,2192,2192
03.03.2022 04:00 - 03.03.2022 04:30,0,0,0,0,0,0,2125,2125,2125
03.03.2022 04:30 - 03.03.2022 05:00,0,0,0,0,0,0,2067,2067,2067
03.03.2022 05:00 - 03.03.2022 05:30,0,0,0,0,0,0,1998,1998,1998
03.03.2022 05:30 - 03.03.2022 06:00,0,0,0,0,0,0,1940,1940,1940
03.03.2022 06:00 - 03.03.2022 06:30,0,0,0,0,0,0,1870,1870,1870
03.03.2022 06:30 - 03.03.2022 07:00,0,0,0,0,0,0,1811,1811,1811
03.03.2022 07:00 - 03.03.2022 07:30,114,114,114,0,0,0,1777,1777,1777
03.03.2022 07:30 - 03.03.2022 08:00,479,479,479,0,0,0,1771,1771,1771
03.03.2022 08:00 - 03.03.2022 08:30,921,921,921,0,0,0,1695,1695,1695
03.03.2022 08:30 - 03.03.2022 09:00,1164,1164,1164,0,0,0,1653,1653,1653
03.03.2022 09:00 - 03.03.2022 09:30,1350,1350,1350,0,0,0,1589,1589,1589
03.03.2022 09:30 - 03.03.2022 10:00,1577,1577,1577,0,0,0,1551,1551,1551
03.03.2022 10:00 - 03.03.2022 10:30,1839,1839,1839,0,0,0,1443,1443,1443
03.03.2022 10:30 - 03.03.2022 11:00,2291,2291,2291,0,0,0,1375,1375,1375
03.03.2022 11:00 - 03.03.2022 11:30,2450,2450,2450,0,0,0,1367,1367,1367
03.03.2022 11:30 - 03.03.2022 12:00,2527,2527,2527,0,0,0,1386,1386,1386
03.03.2022 12:00 - 03.03.2022 12:30,2644,2644,2644,0,0,0,1319,1319,1319
03.03.2022 12:30 - 03.03.2022 13:00,2433,2433,2433,0,0,0,1275,1275,1275
03.03.2022 13:00 - 03.03.2022 13:30,2192,2192,2192,0,0,0,1241,1241,1241
03.03.2022 13:30 - 03.03.2022 14:00,1774,1774,1774,0,0,0,1256,1256,1256
03.03.2022 14:00 - 03.03.2022 14:30,1504,1504,1504,0,0,0,1203,1203,1203
03.03.2022 14:30 - 03.03.2022 15:00,1466,1466,1466,0,0,0,1225,1225,1225
03.03.2022 15:00 - 03.03.2022 15:30,1172,1172,1172,0,0,0,1140,1140,1140
03.03.2022 15:30 - 03.03.2022 16:00,784,784,784,0,0,0,1094,1094,1094
03.03.2022 16:00 - 03.03.2022 16:30,519,519,519,0,0,0,1022,1022,1022
03.03.2022 16:30 - 03.03.2022 17:00,249,249,249,0,0,0,977,977,977
03.03.2022 17:00 - 03.03.2022 17:30,71,71,71,0,0,0,970,970,970
03.03.2022 17:30 - 03.03.2022 18:00,0,0,0,0,0,0,998,998,998
03.03.2022 18:00 - 03.03.2022 18:30,0,0,0,0,0,0,958,958,958
03.03.2022 18:30 - 03.03.2022 19:00,0,0,0,0,0,0,941,941,941
03.03.2022 19:00 - 03.03.2022 19:30,0,0,0,0,0,0,894,894,894
03.03.2022 19:30 - 03.03.2022 20:00,0,0,0,0,0,0,887,887,887
03.03.2022 20:00 - 03.03.2022 20:30,0,0,0,0,0,0,805,805,805
03.03.2022 20:30 - 03.03.2022 21:00,0,0,0,0,0,0,753,753,753
03.03.2022 21:00 - 03.03.2022 21:30,0,0,0,0,0,0,697,697,697
03.03.2022 21:30 - 03.03.2022 22:00,0,0,0,0,0,0,691,691,691
03.03.2022 22:00 - 03.03.2022 22:30,0,0,0,0,0,0,649,649,649
03.03.2022 22:30 - 03.03.2022 23:00,0,0,0,0,0,0,646,646,646
03.03.2022 23:00 - 03.03.2022 23:30,0,0,0,0,0,0,611,611,611
03.03.2022 23:30 - 04.03.2022 00:00,0,0,0,0,0,0,612,612,612
04.03.2022 00:00 - 04.03.2022 00:30,0,0,0,0,0,0,619,619,619
04.03.2022 00:30 - 04.03.2022 01:00,0,0,0,0,0,0,670,670,670
04.03.2022 01:00 - 04.03.2022 01:30,0,0,0,0,0,0,662,662,662
04.03.2022 01:30 - 04.03.2022 02:00,0,0,0,0,0,0,686,686,686
