Time (CET/CEST),Generation - Solar  [MW] Day Ahead/ United Kindom (UK),Generation - Solar  [MW] Day Ahead/ United Kindom (UK),Generation - Solar  [MW] Day Ahead/ United Kindom (UK),Generation - Wind Offshore  [MW] Day Ahead/ United Kindom (UK),Generation - Wind Offshore  [MW] Intraday / United Kindom (UK),Generation - Wind Offshore  [MW] Current / United Kindom (UK),Generation - Wind Onshore  [MW] Day Ahead/ United Kindom (UK),Generation - Wind Onshore  [MW] Day Ahead/ United Kindom (UK),Generation - Wind Onshore  [MW] Day Ahead/ United Kindom (UK)
02.01.2022 08:00 - 02.01.2022 08:30,2,2,2,0,0,0,3111,3111,3111
02.01.2022 08:30 - 02.01.2022 09:00,157,157,157,0,0,0,3105,3105,3105
02.01.2022 09:00 - 02.01.2022 09:30,731,731,731,0,0,0,3204,3204,3204
02.01.2022 09:30 - 02.01.2022 10:00,1330,1330,1330,0,0,0,3320,3320,3320
02.01.2022 10:00 - 02.01.2022 10:30,1777,1777,1777,0,0,0,3413,3413,3413
02.01.2022 10:30 - 02.01.2022 11:00,2141,2141,2141,0,0,0,3506,3506,3506
02.01.2022 11:00 - 02.01.2022 11:30,2000,2000,2000,0,0,0,3718,3718,3718
02.01.2022 11:30 - 02.01.2022 12:00,2254,2254,2254,0,0,0,3893,3893,3893
02.01.2022 12:00 - 02.01.2022 12:30,1548,1548,1548,0,0,0,3838,3838,3838
02.01.2022 12:30 - 02.01.2022 13:00,1588,1588,1588,0,0,0,3778,3778,3778
02.01.2022 13:00 - 02.01.2022 13:30,1091,1091,1091,0,0,0,3801,3801,3801
02.01.2022 13:30 - 02.01.2022 14:00,700,700,700,0,0,0,3807,3807,3807
02.01.2022 14:00 - 02.01.2022 14:30,431,431,431,0,0,0,3851,3851,3851
02.01.2022 14:30 - 02.01.2022 15:00,367,367,367,0,0,0,3854,3854,3854
02.01.2022 15:00 - 02.01.2022 15:30,219,219,219,0,0,0,3858,3858,3858
02.01.2022 15:30 - 02.01.2022 16:00,53,53,53,0,0,0,3862,3862,3862
02.01.2022 16:00 - 02.01.2022 16:30,0,0,0,0,0,0,3859,3859,3859
02.01.2022 16:30 - 02.01.2022 17:00,0,0,0,0,0,0,3851,3851,3851
02.01.2022 17:00 - 02.01.2022 17:30,0,0,0,0,0,0,3924,3924,3924
02.01.2022 17:30 - 02.01.2022 18:00,0,0,0,0,0,0,3979,3979,3979
02.01.2022 18:00 - 02.01.2022 18:30,0,0,0,0,0,0,3991,3991,3991
02.01.2022 18:30 - 02.01.2022 19:00,0,0,0,0,0,0,3983,3983,3983
02.01.2022 19:00 - 02.01.2022 19:30,0,0,0,0,0,0,4122,4122,4122
02.01.2022 19:30 - 02.01.2022 20:00,0,0,0,0,0,0,4224,4224,4224
02.01.2022 20:00 - 02.01.2022 20:30,0,0,0,0,0,0,4312,4312,4312
02.01.2022 20:30 - 02.01.2022 21:00,0,0,0,0,0,0,4375,4375,4375
02.01.2022 21:00 - 02.01.2022 21:30,0,0,0,0,0,0,4392,4392,4392
02.01.2022 21:30 - 02.01.2022 22:00,0,0,0,0,0,0,4370,4370,4370
02.01.2022 22:00 - 02.01.2022 22:30,0,0,0,0,0,0,4409,4409,4409
02.01.2022 22:30 - 02.01.2022 23:00,0,0,0,0,0,0,4428,4428,4428
02.01.2022 23:00 - 02.01.2022 23:30,0,0,0,0,0,0,4431,4431,4431
02.01.2022 23:30 - 03.01.2022 00:00,0,0,0,0,0,0,4413,4413,4413
03.01.2022 00:00 - 03.01.2022 00:30,0,0,0,0,0,0,4410,4410,4410
03.01.2022 00:30 - 03.01.2022 01:00,0,0,0,0,0,0,4387,4387,4387
03.01.2022 01:00 - 03.01.2022 01:30,0,0,0,0,0,0,4420,4420,4420
03.01.2022 01:30 - 03.01.2022 02:00,0,0,0,0,0,0,4427,4427,4427
03.01.2022 02:00 - 03.01.2022 02:30,0,0,0,0,0,0,4438,4438,4438
03.01.2022 02:30 - 03.01.2022 03:00,0,0,0,0,0,0,4434,4434,4434
03.01.2022 03:00 - 03.01.2022 03:30,0,0,0,0,0,0,4443,4443,4443
03.01.2022 03:30 - 03.01.2022 04:00,0,0,0,0,0,0,4412,4412,4412
