MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Italy (IT),Generation - Solar  [MW] Intraday / Italy (IT),Generation - Solar  [MW] Current / Italy (IT),Generation - Wind Offshore  [MW] Day Ahead/ Italy (IT),Generation - Wind Offshore  [MW] Intraday / Italy (IT),Generation - Wind Offshore  [MW] Current / Italy (IT),Generation - Wind Onshore  [MW] Day Ahead/ Italy (IT),Generation - Wind Onshore  [MW] Intraday / Italy (IT),Generation - Wind Onshore  [MW] Current / Italy (IT)
03.01.2022 09:00 - 03.01.2022 10:00,2086,2086,2086,N/A,n/e,n/e,1443,2096,1443
03.01.2022 10:00 - 03.01.2022 11:00,3181,3181,3181,N/A,n/e,n/e,1426,2072,1426
03.01.2022 11:00 - 03.01.2022 12:00,3784,3784,3784,N/A,n/e,n/e,1664,2302,1664
03.01.2022 12:00 - 03.01.2022 13:00,3892,3892,3892,N/A,n/e,n/e,2069,2608,2069
03.01.2022 13:00 - 03.01.2022 14:00,3570,3570,3570,N/A,n/e,n/e,2253,2918,2253
03.01.2022 14:00 - 03.01.2022 15:00,2764,2764,2764,N/A,n/e,n/e,2191,2847,2191
03.01.2022 15:00 - 03.01.2022 16:00,1498,1498,1498,N/A,n/e,n/e,2043,2681,2043
03.01.2022 16:00 - 03.01.2022 17:00,242,242,242,N/A,n/e,n/e,1745,2403,1745
03.01.2022 17:00 - 03.01.2022 18:00,0,0,0,N/A,n/e,n/e,1706,2313,1706
03.01.2022 18:00 - 03.01.2022 19:00,0,0,0,N/A,n/e,n/e,1692,2258,1692
03.01.2022 19:00 - 03.01.2022 20:00,0,0,0,N/A,n/e,n/e,1564,2096,1564
03.01.2022 20:00 - 03.01.2022 21:00,0,0,0,N/A,n/e,n/e,1444,2023,1444
03.01.2022 21:00 - 03.01.2022 22:00,0,0,0,N/A,n/e,n/e,1388,1923,1388
03.01.2022 22:00 - 03.01.2022 23:00,0,0,0,N/A,n/e,n/e,1358,1843,1358
03.01.2022 23:00 - 04.01.2022 00:00,0,0,0,N/A,n/e,n/e,1397,2001,1397
04.01.2022 00:00 - 04.01.2022 01:00,0,0,0,N/A,n/e,n/e,2194,2194,2194
04.01.2022 01:00 - 04.01.2022 02:00,0,0,0,N/A,n/e,n/e,2422,2422,2422
04.01.2022 02:00 - 04.01.2022 03:00,0,0,0,N/A,n/e,n/e,2559,2559,2559
04.01.2022 03:00 - 04.01.2022 04:00,0,0,0,N/A,n/e,n/e,2721,2721,2721
04.01.2022 04:00 - 04.01.2022 05:00,0,0,0,N/A,n/e,n/e,2858,2858,2858
04.01.2022 05:00 - 04.01.2022 06:00,0,0,0,N/A,n/e,n/e,2902,2902,2902
04.01.2022 06:00 - 04.01.2022 07:00,0,0,0,N/A,n/e,n/e,2968,2968,2968
04.01.2022 07:00 - 04.01.2022 08:00,36,36,36,N/A,n/e,n/e,3054,3054,3054
04.01.2022 08:00 - 04.01.2022 09:00,758,758,758,N/A,n/e,n/e,3132,3104,3132
04.01.2022 09:00 - 04.01.2022 10:00,2084,2084,2086,N/A,n/e,n/e,3201,3142,3201
04.01.2022 10:00 - 04.01.2022 11:00,3223,3223,3219,N/A,n/e,n/e,3245,3185,3245
04.01.2022 11:00 - 04.01.2022 12:00,3890,3890,3869,N/A,n/e,n/e,3435,3382,3435
04.01.2022 12:00 - 04.01.2022 13:00,4063,4063,4047,N/A,n/e,n/e,3613,3564,3613
04.01.2022 13:00 - 04.01.2022 14:00,3825,3825,3776,N/A,n/e,n/e,3822,3808,3822
04.01.2022 14:00 - 04.01.2022 15:00,3048,3048,2968,N/A,n/e,n/e,3846,3842,3846
04.01.2022 15:00 - 04.01.2022 16:00,1713,1713,1650,N/A,n/e,n/e,3748,3756,3748
04.01.2022 16:00 - 04.01.2022 17:00,318,318,304,N/A,n/e,n/e,3666,3682,3666
04.01.2022 17:00 - 04.01.2022 18:00,0,0,0,N/A,n/e,n/e,3763,3783,3763
04.01.2022 18:00 - 04.01.2022 19:00,0,0,0,N/A,n/e,n/e,3902,3906,3902
04.01.2022 19:00 - 04.01.2022 20:00,0,0,0,N/A,n/e,n/e,3990,4001,3990
04.01.2022 20:00 - 04.01.2022 21:00,0,0,0,N/A,n/e,n/e,4039,4031,4039
04.01.2022 21:00 - 04.01.2022 22:00,0,0,0,N/A,n/e,n/e,4074,4053,4074
04.01.2022 22:00 - 04.01.2022 23:00,0,0,0,N/A,n/e,n/e,4171,4146,4171
04.01.2022 23:00 - 05.01.2022 00:00,0,0,0,N/A,n/e,n/e,4240,4218,4240
05.01.2022 00:00 - 05.01.2022 01:00,0,0,0,N/A,n/e,n/e,3989,3989,3989
05.01.2022 01:00 - 05.01.2022 02:00,0,0,0,N/A,n/e,n/e,4080,4080,4080
05.01.2022 02:00 - 05.01.2022 03:00,0,0,0,N/A,n/e,n/e,4128,4128,4128
05.01.2022 03:00 - 05.01.2022 04:00,0,0,0,N/A,n/e,n/e,4214,4214,4214
05.01.2022 04:00 - 05.01.2022 05:00,0,0,0,N/A,n/e,n/e,4219,4219,4219
05.01.2022 05:00 - 05.01.2022 06:00,0,0,0,N/A,n/e,n/e,4196,4196,4196
05.01.2022 06:00 - 05.01.2022 07:00,0,0,0,N/A,n/e,n/e,4157,4157,4157
05.01.2022 07:00 - 05.01.2022 08:00,48,48,48,N/A,n/e,n/e,4133,4133,4133
05.01.2022 08:00 - 05.01.2022 09:00,916,916,916,N/A,n/e,n/e,4049,4020,4049
05.01.2022 09:00 - 05.01.2022 10:00,2457,2457,2457,N/A,n/e,n/e,3805,3783,3805
05.01.2022 10:00 - 05.01.2022 11:00,3780,3780,3781,N/A,n/e,n/e,3560,3564,3560
05.01.2022 11:00 - 05.01.2022 12:00,4520,4520,4521,N/A,n/e,n/e,3610,3599,3610
