Time (CET/CEST),Day-ahead Total Load Forecast [MW] - United Kindom (UK),Actual Total Load [MW] - United Kindom (UK)
22.04.2022 07:00 - 22.04.2022 07:30,28664,28664
22.04.2022 07:30 - 22.04.2022 08:00,28432,28432
22.04.2022 08:00 - 22.04.2022 08:30,28515,28515
22.04.2022 08:30 - 22.04.2022 09:00,27896,27896
22.04.2022 09:00 - 22.04.2022 09:30,27238,27238
22.04.2022 09:30 - 22.04.2022 10:00,26603,26603
22.04.2022 10:00 - 22.04.2022 10:30,26218,26218
22.04.2022 10:30 - 22.04.2022 11:00,25994,25994
22.04.2022 11:00 - 22.04.2022 11:30,25762,25762
22.04.2022 11:30 - 22.04.2022 12:00,25378,25378
22.04.2022 12:00 - 22.04.2022 12:30,24893,24893
22.04.2022 12:30 - 22.04.2022 13:00,23892,23892
22.04.2022 13:00 - 22.04.2022 13:30,23457,23457
22.04.2022 13:30 - 22.04.2022 14:00,23140,23140
22.04.2022 14:00 - 22.04.2022 14:30,23093,23093
22.04.2022 14:30 - 22.04.2022 15:00,23659,23659
22.04.2022 15:00 - 22.04.2022 15:30,24451,24451
22.04.2022 15:30 - 22.04.2022 16:00,25455,25455
22.04.2022 16:00 - 22.04.2022 16:30,26510,26510
22.04.2022 16:30 - 22.04.2022 17:00,26904,26904
22.04.2022 17:00 - 22.04.2022 17:30,27438,27438
22.04.2022 17:30 - 22.04.2022 18:00,27733,27733
22.04.2022 18:00 - 22.04.2022 18:30,28515,28515
22.04.2022 18:30 - 22.04.2022 19:00,28556,28556
22.04.2022 19:00 - 22.04.2022 19:30,28310,28310
22.04.2022 19:30 - 22.04.2022 20:00,27861,27861
22.04.2022 20:00 - 22.04.2022 20:30,27015,27015
22.04.2022 20:30 - 22.04.2022 21:00,26117,26117
22.04.2022 21:00 - 22.04.2022 21:30,25037,25037
22.04.2022 21:30 - 22.04.2022 22:00,23739,23739
22.04.2022 22:00 - 22.04.2022 22:30,22368,22368
22.04.2022 22:30 - 22.04.2022 23:00,20991,20991
22.04.2022 23:00 - 22.04.2022 23:30,20208,20208
22.04.2022 23:30 - 23.04.2022 00:00,19725,19725
23.04.2022 00:00 - 23.04.2022 00:30,19502,19502
23.04.2022 00:30 - 23.04.2022 01:00,19506,19506
23.04.2022 01:00 - 23.04.2022 01:30,19334,19334
23.04.2022 01:30 - 23.04.2022 02:00,18933,18933
23.04.2022 02:00 - 23.04.2022 02:30,18520,18520
23.04.2022 02:30 - 23.04.2022 03:00,18407,18407
23.04.2022 03:00 - 23.04.2022 03:30,18127,18127
23.04.2022 03:30 - 23.04.2022 04:00,18044,18044
23.04.2022 04:00 - 23.04.2022 04:30,18158,18158
23.04.2022 04:30 - 23.04.2022 05:00,18309,18309
23.04.2022 05:00 - 23.04.2022 05:30,19281,19281
23.04.2022 05:30 - 23.04.2022 06:00,19941,19941
23.04.2022 06:00 - 23.04.2022 06:30,21148,21148
23.04.2022 06:30 - 23.04.2022 07:00,22061,22061
23.04.2022 07:00 - 23.04.2022 07:30,22984,22984
23.04.2022 07:30 - 23.04.2022 08:00,23374,23374
23.04.2022 08:00 - 23.04.2022 08:30,23968,23968
23.04.2022 08:30 - 23.04.2022 09:00,23772,23772
23.04.2022 09:00 - 23.04.2022 09:30,23429,23429
23.04.2022 09:30 - 23.04.2022 10:00,23049,23049
23.04.2022 10:00 - 23.04.2022 10:30,22515,22515
23.04.2022 10:30 - 23.04.2022 11:00,22063,22063
23.04.2022 11:00 - 23.04.2022 11:30,21593,21593
23.04.2022 11:30 - 23.04.2022 12:00,21040,21040
23.04.2022 12:00 - 23.04.2022 12:30,20253,20253
23.04.2022 12:30 - 23.04.2022 13:00,19524,19524
23.04.2022 13:00 - 23.04.2022 13:30,18986,18986
23.04.2022 13:30 - 23.04.2022 14:00,18985,18985
23.04.2022 14:00 - 23.04.2022 14:30,19203,19203
23.04.2022 14:30 - 23.04.2022 15:00,19572,19572
23.04.2022 15:00 - 23.04.2022 15:30,20375,20375
23.04.2022 15:30 - 23.04.2022 16:00,21602,21602
23.04.2022 16:00 - 23.04.2022 16:30,23132,23132
23.04.2022 16:30 - 23.04.2022 17:00,24192,24192
23.04.2022 17:00 - 23.04.2022 17:30,25166,25166
23.04.2022 17:30 - 23.04.2022 18:00,25801,25801
23.04.2022 18:00 - 23.04.2022 18:30,25972,25972
23.04.2022 18:30 - 23.04.2022 19:00,26107,26107
23.04.2022 19:00 - 23.04.2022 19:30,26197,26197
23.04.2022 19:30 - 23.04.2022 20:00,26080,26080
23.04.2022 20:00 - 23.04.2022 20:30,25713,25713
23.04.2022 20:30 - 23.04.2022 21:00,24928,24928
23.04.2022 21:00 - 23.04.2022 21:30,23772,23772
23.04.2022 21:30 - 23.04.2022 22:00,22679,22679
23.04.2022 22:00 - 23.04.2022 22:30,21687,21687
23.04.2022 22:30 - 23.04.2022 23:00,20719,20719
23.04.2022 23:00 - 23.04.2022 23:30,19857,19857
23.04.2022 23:30 - 24.04.2022 00:00,19374,19374
24.04.2022 00:00 - 24.04.2022 00:30,19063,19063
24.04.2022 00:30 - 24.04.2022 01:00,19160,19160
24.04.2022 01:00 - 24.04.2022 01:30,18819,18819
24.04.2022 01:30 - 24.04.2022 02:00,18483,18483
24.04.2022 02:00 - 24.04.2022 02:30,18071,18071
24.04.2022 02:30 - 24.04.2022 03:00,18003,18003
24.04.2022 03:00 - 24.04.2022 03:30,17600,17600
24.04.2022 03:30 - 24.04.2022 04:00,17381,17381
24.04.2022 04:00 - 24.04.2022 04:30,17472,17472
24.04.2022 04:30 - 24.04.2022 05:00,17311,17311
24.04.2022 05:00 - 24.04.2022 05:30,17830,17830
24.04.2022 05:30 - 24.04.2022 06:00,18304,18304
24.04.2022 06:00 - 24.04.2022 06:30,19019,19019
24.04.2022 06:30 - 24.04.2022 07:00,19471,19471
24.04.2022 07:00 - 24.04.2022 07:30,19960,19960
24.04.2022 07:30 - 24.04.2022 08:00,19930,19930
24.04.2022 08:00 - 24.04.2022 08:30,20086,20086
24.04.2022 08:30 - 24.04.2022 09:00,19735,19735
24.04.2022 09:00 - 24.04.2022 09:30,19463,19463
24.04.2022 09:30 - 24.04.2022 10:00,18965,18965
24.04.2022 10:00 - 24.04.2022 10:30,18656,18656
24.04.2022 10:30 - 24.04.2022 11:00,18544,18544
24.04.2022 11:00 - 24.04.2022 11:30,18935,18935
24.04.2022 11:30 - 24.04.2022 12:00,19077,19077
24.04.2022 12:00 - 24.04.2022 12:30,19294,19294
24.04.2022 12:30 - 24.04.2022 13:00,19327,19327
24.04.2022 13:00 - 24.04.2022 13:30,19651,19651
24.04.2022 13:30 - 24.04.2022 14:00,19795,19795
24.04.2022 14:00 - 24.04.2022 14:30,20292,20292
24.04.2022 14:30 - 24.04.2022 15:00,21065,21065
24.04.2022 15:00 - 24.04.2022 15:30,22278,22278
24.04.2022 15:30 - 24.04.2022 16:00,23466,23466
24.04.2022 16:00 - 24.04.2022 16:30,24635,24635
24.04.2022 16:30 - 24.04.2022 17:00,25830,25830
24.04.2022 17:00 - 24.04.2022 17:30,26790,26790
24.04.2022 17:30 - 24.04.2022 18:00,27364,27364
24.04.2022 18:00 - 24.04.2022 18:30,27705,27705
24.04.2022 18:30 - 24.04.2022 19:00,27801,27801
24.04.2022 19:00 - 24.04.2022 19:30,28105,28105
24.04.2022 19:30 - 24.04.2022 20:00,28095,28095
24.04.2022 20:00 - 24.04.2022 20:30,27250,27250
24.04.2022 20:30 - 24.04.2022 21:00,26025,26025
24.04.2022 21:00 - 24.04.2022 21:30,24726,24726
24.04.2022 21:30 - 24.04.2022 22:00,23514,23514
24.04.2022 22:00 - 24.04.2022 22:30,22158,22158
24.04.2022 22:30 - 24.04.2022 23:00,21017,21017
24.04.2022 23:00 - 24.04.2022 23:30,20341,20341
24.04.2022 23:30 - 25.04.2022 00:00,19932,19932
25.04.2022 00:00 - 25.04.2022 00:30,19868,19868
25.04.2022 00:30 - 25.04.2022 01:00,20158,20158
25.04.2022 01:00 - 25.04.2022 01:30,20250,20250
25.04.2022 01:30 - 25.04.2022 02:00,20090,20090
25.04.2022 02:00 - 25.04.2022 02:30,19866,19866
25.04.2022 02:30 - 25.04.2022 03:00,19693,19693
25.04.2022 03:00 - 25.04.2022 03:30,19657,19657
25.04.2022 03:30 - 25.04.2022 04:00,19764,19764
25.04.2022 04:00 - 25.04.2022 04:30,20513,20513
25.04.2022 04:30 - 25.04.2022 05:00,21303,21303
25.04.2022 05:00 - 25.04.2022 05:30,23476,23476
25.04.2022 05:30 - 25.04.2022 06:00,25585,25585
25.04.2022 06:00 - 25.04.2022 06:30,28045,28045
25.04.2022 06:30 - 25.04.2022 07:00,29175,29175
25.04.2022 07:00 - 25.04.2022 07:30,30018,30018
25.04.2022 07:30 - 25.04.2022 08:00,29841,29841
25.04.2022 08:00 - 25.04.2022 08:30,30179,30179
25.04.2022 08:30 - 25.04.2022 09:00,29976,29976
25.04.2022 09:00 - 25.04.2022 09:30,29479,29479
25.04.2022 09:30 - 25.04.2022 10:00,29193,29193
25.04.2022 10:00 - 25.04.2022 10:30,29055,29055
25.04.2022 10:30 - 25.04.2022 11:00,28919,28919
25.04.2022 11:00 - 25.04.2022 11:30,28993,28993
25.04.2022 11:30 - 25.04.2022 12:00,28671,28671
25.04.2022 12:00 - 25.04.2022 12:30,28158,28158
25.04.2022 12:30 - 25.04.2022 13:00,28397,28397
25.04.2022 13:00 - 25.04.2022 13:30,28110,28110
25.04.2022 13:30 - 25.04.2022 14:00,27910,27910
25.04.2022 14:00 - 25.04.2022 14:30,27886,27886
25.04.2022 14:30 - 25.04.2022 15:00,28309,28309
25.04.2022 15:00 - 25.04.2022 15:30,29282,29282
25.04.2022 15:30 - 25.04.2022 16:00,30224,30224
25.04.2022 16:00 - 25.04.2022 16:30,31180,31180
25.04.2022 16:30 - 25.04.2022 17:00,32035,32035
25.04.2022 17:00 - 25.04.2022 17:30,32281,32281
25.04.2022 17:30 - 25.04.2022 18:00,32347,32347
25.04.2022 18:00 - 25.04.2022 18:30,32001,32001
25.04.2022 18:30 - 25.04.2022 19:00,31851,31851
25.04.2022 19:00 - 25.04.2022 19:30,31703,31703
25.04.2022 19:30 - 25.04.2022 20:00,31685,31685
25.04.2022 20:00 - 25.04.2022 20:30,30969,30969
25.04.2022 20:30 - 25.04.2022 21:00,29576,29576
25.04.2022 21:00 - 25.04.2022 21:30,28247,28247
25.04.2022 21:30 - 25.04.2022 22:00,26795,26795
25.04.2022 22:00 - 25.04.2022 22:30,24789,24789
25.04.2022 22:30 - 25.04.2022 23:00,23585,23585
25.04.2022 23:00 - 25.04.2022 23:30,22777,22777
25.04.2022 23:30 - 26.04.2022 00:00,22273,22273
26.04.2022 00:00 - 26.04.2022 00:30,21965,21965
26.04.2022 00:30 - 26.04.2022 01:00,21934,21934
26.04.2022 01:00 - 26.04.2022 01:30,21675,21675
26.04.2022 01:30 - 26.04.2022 02:00,21412,21412
26.04.2022 02:00 - 26.04.2022 02:30,21210,21210
26.04.2022 02:30 - 26.04.2022 03:00,21061,21061
26.04.2022 03:00 - 26.04.2022 03:30,21012,21012
26.04.2022 03:30 - 26.04.2022 04:00,21246,21246
26.04.2022 04:00 - 26.04.2022 04:30,21958,21958
26.04.2022 04:30 - 26.04.2022 05:00,22638,22638
26.04.2022 05:00 - 26.04.2022 05:30,24553,24553
26.04.2022 05:30 - 26.04.2022 06:00,26622,26622
26.04.2022 06:00 - 26.04.2022 06:30,29391,29391
26.04.2022 06:30 - 26.04.2022 07:00,30159,30159
26.04.2022 07:00 - 26.04.2022 07:30,30388,30388
26.04.2022 07:30 - 26.04.2022 08:00,29792,29792
26.04.2022 08:00 - 26.04.2022 08:30,29779,29779
26.04.2022 08:30 - 26.04.2022 09:00,28922,28922
26.04.2022 09:00 - 26.04.2022 09:30,27731,27731
26.04.2022 09:30 - 26.04.2022 10:00,27213,27213
26.04.2022 10:00 - 26.04.2022 10:30,26804,26804
26.04.2022 10:30 - 26.04.2022 11:00,26418,26418
26.04.2022 11:00 - 26.04.2022 11:30,26525,26525
26.04.2022 11:30 - 26.04.2022 12:00,26525,26525
26.04.2022 12:00 - 26.04.2022 12:30,26242,26242
26.04.2022 12:30 - 26.04.2022 13:00,26193,26193
26.04.2022 13:00 - 26.04.2022 13:30,26587,26587
26.04.2022 13:30 - 26.04.2022 14:00,26600,26600
26.04.2022 14:00 - 26.04.2022 14:30,27042,27042
26.04.2022 14:30 - 26.04.2022 15:00,27929,27929
26.04.2022 15:00 - 26.04.2022 15:30,29049,29049
26.04.2022 15:30 - 26.04.2022 16:00,30377,30377
26.04.2022 16:00 - 26.04.2022 16:30,31283,31283
26.04.2022 16:30 - 26.04.2022 17:00,31704,31704
26.04.2022 17:00 - 26.04.2022 17:30,31803,31803
26.04.2022 17:30 - 26.04.2022 18:00,32216,32216
26.04.2022 18:00 - 26.04.2022 18:30,32181,32181
26.04.2022 18:30 - 26.04.2022 19:00,32188,32188
26.04.2022 19:00 - 26.04.2022 19:30,31832,31832
26.04.2022 19:30 - 26.04.2022 20:00,31528,31528
26.04.2022 20:00 - 26.04.2022 20:30,30952,30952
26.04.2022 20:30 - 26.04.2022 21:00,29591,29591
26.04.2022 21:00 - 26.04.2022 21:30,27933,27933
26.04.2022 21:30 - 26.04.2022 22:00,26487,26487
26.04.2022 22:00 - 26.04.2022 22:30,24655,24655
26.04.2022 22:30 - 26.04.2022 23:00,23448,23448
26.04.2022 23:00 - 26.04.2022 23:30,22543,22543
26.04.2022 23:30 - 27.04.2022 00:00,22031,22031
27.04.2022 00:00 - 27.04.2022 00:30,21766,21766
27.04.2022 00:30 - 27.04.2022 01:00,21889,21889
27.04.2022 01:00 - 27.04.2022 01:30,21847,21847
27.04.2022 01:30 - 27.04.2022 02:00,21518,21518
27.04.2022 02:00 - 27.04.2022 02:30,21397,21397
27.04.2022 02:30 - 27.04.2022 03:00,21267,21267
27.04.2022 03:00 - 27.04.2022 03:30,21237,21237
27.04.2022 03:30 - 27.04.2022 04:00,21363,21363
27.04.2022 04:00 - 27.04.2022 04:30,22006,22006
27.04.2022 04:30 - 27.04.2022 05:00,22793,22793
27.04.2022 05:00 - 27.04.2022 05:30,25038,25038
27.04.2022 05:30 - 27.04.2022 06:00,27048,27048
27.04.2022 06:00 - 27.04.2022 06:30,29838,29838
27.04.2022 06:30 - 27.04.2022 07:00,30870,30870
27.04.2022 07:00 - 27.04.2022 07:30,31655,31655
27.04.2022 07:30 - 27.04.2022 08:00,31567,31567
27.04.2022 08:00 - 27.04.2022 08:30,31760,31760
27.04.2022 08:30 - 27.04.2022 09:00,31571,31571
27.04.2022 09:00 - 27.04.2022 09:30,31942,31942
27.04.2022 09:30 - 27.04.2022 10:00,31652,31652
27.04.2022 10:00 - 27.04.2022 10:30,31678,31678
27.04.2022 10:30 - 27.04.2022 11:00,31587,31587
27.04.2022 11:00 - 27.04.2022 11:30,31963,31963
27.04.2022 11:30 - 27.04.2022 12:00,31751,31751
27.04.2022 12:00 - 27.04.2022 12:30,31291,31291
27.04.2022 12:30 - 27.04.2022 13:00,30740,30740
27.04.2022 13:00 - 27.04.2022 13:30,30055,30055
27.04.2022 13:30 - 27.04.2022 14:00,29726,29726
27.04.2022 14:00 - 27.04.2022 14:30,29744,29744
27.04.2022 14:30 - 27.04.2022 15:00,30317,30317
27.04.2022 15:00 - 27.04.2022 15:30,31020,31020
27.04.2022 15:30 - 27.04.2022 16:00,31660,31660
27.04.2022 16:00 - 27.04.2022 16:30,32427,32427
27.04.2022 16:30 - 27.04.2022 17:00,33083,33083
27.04.2022 17:00 - 27.04.2022 17:30,33237,33237
27.04.2022 17:30 - 27.04.2022 18:00,33368,33368
27.04.2022 18:00 - 27.04.2022 18:30,33360,33360
27.04.2022 18:30 - 27.04.2022 19:00,33067,33067
27.04.2022 19:00 - 27.04.2022 19:30,32818,32818
27.04.2022 19:30 - 27.04.2022 20:00,32549,32549
27.04.2022 20:00 - 27.04.2022 20:30,32200,32200
27.04.2022 20:30 - 27.04.2022 21:00,30770,30770
27.04.2022 21:00 - 27.04.2022 21:30,29005,29005
27.04.2022 21:30 - 27.04.2022 22:00,27335,27335
27.04.2022 22:00 - 27.04.2022 22:30,25483,25483
27.04.2022 22:30 - 27.04.2022 23:00,24230,24230
27.04.2022 23:00 - 27.04.2022 23:30,23271,23271
27.04.2022 23:30 - 28.04.2022 00:00,22695,22695
28.04.2022 00:00 - 28.04.2022 00:30,22466,22466
28.04.2022 00:30 - 28.04.2022 01:00,22729,22729
28.04.2022 01:00 - 28.04.2022 01:30,22682,22682
28.04.2022 01:30 - 28.04.2022 02:00,22356,22356
28.04.2022 02:00 - 28.04.2022 02:30,22250,22250
28.04.2022 02:30 - 28.04.2022 03:00,22088,22088
28.04.2022 03:00 - 28.04.2022 03:30,22133,22133
28.04.2022 03:30 - 28.04.2022 04:00,22134,22134
28.04.2022 04:00 - 28.04.2022 04:30,22789,22789
28.04.2022 04:30 - 28.04.2022 05:00,23347,23347
28.04.2022 05:00 - 28.04.2022 05:30,25447,25447
28.04.2022 05:30 - 28.04.2022 06:00,27240,27240
28.04.2022 06:00 - 28.04.2022 06:30,30260,30260
28.04.2022 06:30 - 28.04.2022 07:00,31659,31659
28.04.2022 07:00 - 28.04.2022 07:30,32756,32756
28.04.2022 07:30 - 28.04.2022 08:00,32626,32626
28.04.2022 08:00 - 28.04.2022 08:30,32580,32580
28.04.2022 08:30 - 28.04.2022 09:00,32336,32336
28.04.2022 09:00 - 28.04.2022 09:30,32185,32185
28.04.2022 09:30 - 28.04.2022 10:00,31913,31913
28.04.2022 10:00 - 28.04.2022 10:30,31637,31637
28.04.2022 10:30 - 28.04.2022 11:00,31431,31431
28.04.2022 11:00 - 28.04.2022 11:30,31825,31825
28.04.2022 11:30 - 28.04.2022 12:00,31614,31614
28.04.2022 12:00 - 28.04.2022 12:30,30943,30943
28.04.2022 12:30 - 28.04.2022 13:00,30474,30474
28.04.2022 13:00 - 28.04.2022 13:30,30237,30237
28.04.2022 13:30 - 28.04.2022 14:00,30142,30142
28.04.2022 14:00 - 28.04.2022 14:30,29887,29887
28.04.2022 14:30 - 28.04.2022 15:00,30278,30278
28.04.2022 15:00 - 28.04.2022 15:30,31136,31136
28.04.2022 15:30 - 28.04.2022 16:00,32058,32058
28.04.2022 16:00 - 28.04.2022 16:30,32810,32810
28.04.2022 16:30 - 28.04.2022 17:00,33195,33195
28.04.2022 17:00 - 28.04.2022 17:30,33414,33414
28.04.2022 17:30 - 28.04.2022 18:00,33536,33536
28.04.2022 18:00 - 28.04.2022 18:30,33315,33315
28.04.2022 18:30 - 28.04.2022 19:00,33059,33059
28.04.2022 19:00 - 28.04.2022 19:30,32898,32898
28.04.2022 19:30 - 28.04.2022 20:00,32646,32646
28.04.2022 20:00 - 28.04.2022 20:30,31744,31744
28.04.2022 20:30 - 28.04.2022 21:00,30588,30588
28.04.2022 21:00 - 28.04.2022 21:30,28736,28736
28.04.2022 21:30 - 28.04.2022 22:00,27622,27622
28.04.2022 22:00 - 28.04.2022 22:30,25650,25650
28.04.2022 22:30 - 28.04.2022 23:00,24499,24499
28.04.2022 23:00 - 28.04.2022 23:30,23500,23500
28.04.2022 23:30 - 29.04.2022 00:00,22904,22904
29.04.2022 00:00 - 29.04.2022 00:30,22752,22752
29.04.2022 00:30 - 29.04.2022 01:00,22982,22982
29.04.2022 01:00 - 29.04.2022 01:30,22803,22803
29.04.2022 01:30 - 29.04.2022 02:00,22520,22520
29.04.2022 02:00 - 29.04.2022 02:30,22306,22306
29.04.2022 02:30 - 29.04.2022 03:00,22118,22118
29.04.2022 03:00 - 29.04.2022 03:30,22164,22164
29.04.2022 03:30 - 29.04.2022 04:00,22079,22079
29.04.2022 04:00 - 29.04.2022 04:30,22711,22711
29.04.2022 04:30 - 29.04.2022 05:00,23309,23309
29.04.2022 05:00 - 29.04.2022 05:30,25247,25247
29.04.2022 05:30 - 29.04.2022 06:00,27190,27190
29.04.2022 06:00 - 29.04.2022 06:30,29831,29831
29.04.2022 06:30 - 29.04.2022 07:00,30653,30653
29.04.2022 07:00 - 29.04.2022 07:30,31617,31617
29.04.2022 07:30 - 29.04.2022 08:00,31371,31371
29.04.2022 08:00 - 29.04.2022 08:30,31325,31325
29.04.2022 08:30 - 29.04.2022 09:00,30784,30784
29.04.2022 09:00 - 29.04.2022 09:30,30268,30268
29.04.2022 09:30 - 29.04.2022 10:00,29957,29957
29.04.2022 10:00 - 29.04.2022 10:30,29795,29795
29.04.2022 10:30 - 29.04.2022 11:00,29564,29564
29.04.2022 11:00 - 29.04.2022 11:30,29441,29441
29.04.2022 11:30 - 29.04.2022 12:00,28869,28869
29.04.2022 12:00 - 29.04.2022 12:30,27859,27859
29.04.2022 12:30 - 29.04.2022 13:00,27344,27344
29.04.2022 13:00 - 29.04.2022 13:30,26791,26791
29.04.2022 13:30 - 29.04.2022 14:00,26463,26463
29.04.2022 14:00 - 29.04.2022 14:30,26379,26379
29.04.2022 14:30 - 29.04.2022 15:00,26743,26743
29.04.2022 15:00 - 29.04.2022 15:30,27648,27648
29.04.2022 15:30 - 29.04.2022 16:00,28322,28322
29.04.2022 16:00 - 29.04.2022 16:30,28980,28980
29.04.2022 16:30 - 29.04.2022 17:00,29758,29758
29.04.2022 17:00 - 29.04.2022 17:30,30004,30004
29.04.2022 17:30 - 29.04.2022 18:00,30502,30502
29.04.2022 18:00 - 29.04.2022 18:30,30907,30907
29.04.2022 18:30 - 29.04.2022 19:00,30850,30850
29.04.2022 19:00 - 29.04.2022 19:30,30862,30862
29.04.2022 19:30 - 29.04.2022 20:00,30968,30968
29.04.2022 20:00 - 29.04.2022 20:30,30330,30330
29.04.2022 20:30 - 29.04.2022 21:00,29459,29459
29.04.2022 21:00 - 29.04.2022 21:30,27980,27980
29.04.2022 21:30 - 29.04.2022 22:00,26708,26708
29.04.2022 22:00 - 29.04.2022 22:30,24867,24867
29.04.2022 22:30 - 29.04.2022 23:00,23813,23813
29.04.2022 23:00 - 29.04.2022 23:30,23040,23040
29.04.2022 23:30 - 30.04.2022 00:00,22572,22572
30.04.2022 00:00 - 30.04.2022 00:30,22278,22278
30.04.2022 00:30 - 30.04.2022 01:00,22254,22254
30.04.2022 01:00 - 30.04.2022 01:30,21964,21964
30.04.2022 01:30 - 30.04.2022 02:00,21668,21668
30.04.2022 02:00 - 30.04.2022 02:30,21516,21516
30.04.2022 02:30 - 30.04.2022 03:00,21233,21233
30.04.2022 03:00 - 30.04.2022 03:30,21061,21061
30.04.2022 03:30 - 30.04.2022 04:00,20926,20926
30.04.2022 04:00 - 30.04.2022 04:30,20994,20994
30.04.2022 04:30 - 30.04.2022 05:00,21125,21125
30.04.2022 05:00 - 30.04.2022 05:30,22003,22003
30.04.2022 05:30 - 30.04.2022 06:00,22667,22667
30.04.2022 06:00 - 30.04.2022 06:30,23582,23582
30.04.2022 06:30 - 30.04.2022 07:00,23907,23907
30.04.2022 07:00 - 30.04.2022 07:30,24398,24398
30.04.2022 07:30 - 30.04.2022 08:00,24384,24384
30.04.2022 08:00 - 30.04.2022 08:30,24203,24203
30.04.2022 08:30 - 30.04.2022 09:00,23607,23607
30.04.2022 09:00 - 30.04.2022 09:30,23070,23070
30.04.2022 09:30 - 30.04.2022 10:00,22235,22235
30.04.2022 10:00 - 30.04.2022 10:30,21433,21433
30.04.2022 10:30 - 30.04.2022 11:00,21092,21092
30.04.2022 11:00 - 30.04.2022 11:30,20802,20802
30.04.2022 11:30 - 30.04.2022 12:00,20453,20453
30.04.2022 12:00 - 30.04.2022 12:30,20131,20131
30.04.2022 12:30 - 30.04.2022 13:00,19970,19970
30.04.2022 13:00 - 30.04.2022 13:30,20002,20002
30.04.2022 13:30 - 30.04.2022 14:00,20088,20088
30.04.2022 14:00 - 30.04.2022 14:30,20550,20550
30.04.2022 14:30 - 30.04.2022 15:00,21174,21174
30.04.2022 15:00 - 30.04.2022 15:30,22205,22205
30.04.2022 15:30 - 30.04.2022 16:00,23763,23763
30.04.2022 16:00 - 30.04.2022 16:30,25544,25544
30.04.2022 16:30 - 30.04.2022 17:00,26276,26276
30.04.2022 17:00 - 30.04.2022 17:30,26999,26999
30.04.2022 17:30 - 30.04.2022 18:00,27655,27655
30.04.2022 18:00 - 30.04.2022 18:30,27957,27957
30.04.2022 18:30 - 30.04.2022 19:00,27978,27978
30.04.2022 19:00 - 30.04.2022 19:30,28185,28185
30.04.2022 19:30 - 30.04.2022 20:00,28135,28135
30.04.2022 20:00 - 30.04.2022 20:30,27674,27674
30.04.2022 20:30 - 30.04.2022 21:00,26900,26900
30.04.2022 21:00 - 30.04.2022 21:30,25573,25573
30.04.2022 21:30 - 30.04.2022 22:00,24354,24354
30.04.2022 22:00 - 30.04.2022 22:30,23072,23072
30.04.2022 22:30 - 30.04.2022 23:00,22096,22096
30.04.2022 23:00 - 30.04.2022 23:30,21229,21229
30.04.2022 23:30 - 01.05.2022 00:00,20664,20664
01.05.2022 00:00 - 01.05.2022 00:30,20369,20369
01.05.2022 00:30 - 01.05.2022 01:00,20469,20469
01.05.2022 01:00 - 01.05.2022 01:30,20319,20319
01.05.2022 01:30 - 01.05.2022 02:00,19935,19935
01.05.2022 02:00 - 01.05.2022 02:30,19633,19633
01.05.2022 02:30 - 01.05.2022 03:00,19351,19351
01.05.2022 03:00 - 01.05.2022 03:30,19174,19174
01.05.2022 03:30 - 01.05.2022 04:00,18912,18912
01.05.2022 04:00 - 01.05.2022 04:30,18967,18967
01.05.2022 04:30 - 01.05.2022 05:00,18852,18852
01.05.2022 05:00 - 01.05.2022 05:30,19421,19421
01.05.2022 05:30 - 01.05.2022 06:00,20016,20016
01.05.2022 06:00 - 01.05.2022 06:30,20972,20972
01.05.2022 06:30 - 01.05.2022 07:00,21831,21831
01.05.2022 07:00 - 01.05.2022 07:30,23031,23031
01.05.2022 07:30 - 01.05.2022 08:00,23841,23841
01.05.2022 08:00 - 01.05.2022 08:30,24785,24785
01.05.2022 08:30 - 01.05.2022 09:00,25205,25205
01.05.2022 09:00 - 01.05.2022 09:30,25927,25927
01.05.2022 09:30 - 01.05.2022 10:00,25983,25983
01.05.2022 10:00 - 01.05.2022 10:30,26481,26481
01.05.2022 10:30 - 01.05.2022 11:00,26728,26728
01.05.2022 11:00 - 01.05.2022 11:30,27012,27012
01.05.2022 11:30 - 01.05.2022 12:00,27091,27091
01.05.2022 12:00 - 01.05.2022 12:30,26943,26943
01.05.2022 12:30 - 01.05.2022 13:00,26369,26369
01.05.2022 13:00 - 01.05.2022 13:30,26221,26221
01.05.2022 13:30 - 01.05.2022 14:00,26329,26329
01.05.2022 14:00 - 01.05.2022 14:30,26530,26530
01.05.2022 14:30 - 01.05.2022 15:00,26848,26848
01.05.2022 15:00 - 01.05.2022 15:30,27241,27241
01.05.2022 15:30 - 01.05.2022 16:00,27823,27823
01.05.2022 16:00 - 01.05.2022 16:30,28748,28748
01.05.2022 16:30 - 01.05.2022 17:00,29111,29111
01.05.2022 17:00 - 01.05.2022 17:30,28948,28948
01.05.2022 17:30 - 01.05.2022 18:00,29047,29047
01.05.2022 18:00 - 01.05.2022 18:30,28795,28795
01.05.2022 18:30 - 01.05.2022 19:00,28445,28445
01.05.2022 19:00 - 01.05.2022 19:30,28530,28530
01.05.2022 19:30 - 01.05.2022 20:00,28167,28167
01.05.2022 20:00 - 01.05.2022 20:30,27604,27604
01.05.2022 20:30 - 01.05.2022 21:00,26719,26719
01.05.2022 21:00 - 01.05.2022 21:30,25689,25689
01.05.2022 21:30 - 01.05.2022 22:00,24466,24466
01.05.2022 22:00 - 01.05.2022 22:30,23251,23251
01.05.2022 22:30 - 01.05.2022 23:00,22326,22326
