Time (CET/CEST),Day-ahead Total Load Forecast [MW] - Ireland (IE),Actual Total Load [MW] - Ireland (IE)
01.01.2022 00:00 - 01.01.2022 00:30,3608,3267
01.01.2022 00:30 - 01.01.2022 01:00,3591,3247
01.01.2022 01:00 - 01.01.2022 01:30,3658,3130
01.01.2022 01:30 - 01.01.2022 02:00,3495,3089
01.01.2022 02:00 - 01.01.2022 02:30,3346,2989
01.01.2022 02:30 - 01.01.2022 03:00,3206,2914
01.01.2022 03:00 - 01.01.2022 03:30,3117,2819
01.01.2022 03:30 - 01.01.2022 04:00,3029,2742
01.01.2022 04:00 - 01.01.2022 04:30,2963,2676
01.01.2022 04:30 - 01.01.2022 05:00,2923,2611
01.01.2022 05:00 - 01.01.2022 05:30,2898,2569
01.01.2022 05:30 - 01.01.2022 06:00,2867,2559
01.01.2022 06:00 - 01.01.2022 06:30,2867,2527
01.01.2022 06:30 - 01.01.2022 07:00,2883,2532
01.01.2022 07:00 - 01.01.2022 07:30,2944,2516
01.01.2022 07:30 - 01.01.2022 08:00,3017,2547
01.01.2022 08:00 - 01.01.2022 08:30,3127,2561
01.01.2022 08:30 - 01.01.2022 09:00,3228,2584
01.01.2022 09:00 - 01.01.2022 09:30,3315,2636
01.01.2022 09:30 - 01.01.2022 10:00,3408,2642
01.01.2022 10:00 - 01.01.2022 10:30,3574,2726
01.01.2022 10:30 - 01.01.2022 11:00,3736,2849
01.01.2022 11:00 - 01.01.2022 11:30,3874,2849
01.01.2022 11:30 - 01.01.2022 12:00,3976,2849
01.01.2022 12:00 - 01.01.2022 12:30,4047,3234
01.01.2022 12:30 - 01.01.2022 13:00,4093,3328
01.01.2022 13:00 - 01.01.2022 13:30,4135,3443
01.01.2022 13:30 - 01.01.2022 14:00,4157,3551
01.01.2022 14:00 - 01.01.2022 14:30,4152,3624
01.01.2022 14:30 - 01.01.2022 15:00,4115,3647
01.01.2022 15:00 - 01.01.2022 15:30,4085,3647
01.01.2022 15:30 - 01.01.2022 16:00,4079,3647
01.01.2022 16:00 - 01.01.2022 16:30,4087,3567
01.01.2022 16:30 - 01.01.2022 17:00,4109,3566
01.01.2022 17:00 - 01.01.2022 17:30,4202,3619
01.01.2022 17:30 - 01.01.2022 18:00,4427,3729
01.01.2022 18:00 - 01.01.2022 18:30,4722,3976
01.01.2022 18:30 - 01.01.2022 19:00,4832,4052
01.01.2022 19:00 - 01.01.2022 19:30,4808,4012
