MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ France (FR),Generation - Solar  [MW] Day Ahead/ France (FR),Generation - Solar  [MW] Current / France (FR),Generation - Wind Offshore  [MW] Day Ahead/ France (FR),Generation - Wind Offshore  [MW] Intraday / France (FR),Generation - Wind Offshore  [MW] Current / France (FR),Generation - Wind Onshore  [MW] Day Ahead/ France (FR),Generation - Wind Onshore  [MW] Day Ahead/ France (FR),Generation - Wind Onshore  [MW] Current / France (FR)
21.04.2022 08:00 - 21.04.2022 09:00,503,503,507,n/e,n/e,n/e,3367,3367,2884
21.04.2022 09:00 - 21.04.2022 10:00,1715,1715,1641,n/e,n/e,n/e,2918,2918,2514
21.04.2022 10:00 - 21.04.2022 11:00,3244,3244,3235,n/e,n/e,n/e,2469,2469,2904
21.04.2022 11:00 - 21.04.2022 12:00,4562,4562,4701,n/e,n/e,n/e,2021,2021,2214
21.04.2022 12:00 - 21.04.2022 13:00,5615,5615,5442,n/e,n/e,n/e,2244,2244,2469
21.04.2022 13:00 - 21.04.2022 14:00,6057,6057,6057,n/e,n/e,n/e,2468,2468,2822
21.04.2022 14:00 - 21.04.2022 15:00,6103,6103,6250,n/e,n/e,n/e,2694,2694,3227
21.04.2022 15:00 - 21.04.2022 16:00,5728,5728,6100,n/e,n/e,n/e,2720,2720,3234
21.04.2022 16:00 - 21.04.2022 17:00,5004,5004,5315,n/e,n/e,n/e,2745,2745,3255
21.04.2022 17:00 - 21.04.2022 18:00,3989,3989,4179,n/e,n/e,n/e,2771,2771,3287
21.04.2022 18:00 - 21.04.2022 19:00,2815,2815,2861,n/e,n/e,n/e,3245,3245,3545
21.04.2022 19:00 - 21.04.2022 20:00,1396,1396,1376,n/e,n/e,n/e,3718,3718,3806
21.04.2022 20:00 - 21.04.2022 21:00,323,323,308,n/e,n/e,n/e,4190,4190,4073
21.04.2022 21:00 - 21.04.2022 22:00,0,0,0,n/e,n/e,n/e,4215,4215,4206
21.04.2022 22:00 - 21.04.2022 23:00,0,0,0,n/e,n/e,n/e,4241,4241,4340
21.04.2022 23:00 - 22.04.2022 00:00,0,0,0,n/e,n/e,n/e,4267,4267,4474
22.04.2022 00:00 - 22.04.2022 01:00,0,0,0,n/e,n/e,n/e,4051,4051,3728
22.04.2022 01:00 - 22.04.2022 02:00,0,0,0,n/e,n/e,n/e,3958,3958,3623
22.04.2022 02:00 - 22.04.2022 03:00,0,0,0,n/e,n/e,n/e,3865,3865,3508
22.04.2022 03:00 - 22.04.2022 04:00,0,0,0,n/e,n/e,n/e,3887,3887,3556
22.04.2022 04:00 - 22.04.2022 05:00,0,0,0,n/e,n/e,n/e,3908,3908,3597
22.04.2022 05:00 - 22.04.2022 06:00,0,0,0,n/e,n/e,n/e,3930,3930,3641
22.04.2022 06:00 - 22.04.2022 07:00,0,0,0,n/e,n/e,n/e,3590,3590,3360
22.04.2022 07:00 - 22.04.2022 08:00,17,17,17,n/e,n/e,n/e,3249,3249,4443
22.04.2022 08:00 - 22.04.2022 09:00,712,712,709,n/e,n/e,n/e,2910,2910,3807
22.04.2022 09:00 - 22.04.2022 10:00,2287,2287,2257,n/e,n/e,n/e,2629,2629,3225
22.04.2022 10:00 - 22.04.2022 11:00,4160,4160,4161,n/e,n/e,n/e,2351,2351,3853
22.04.2022 11:00 - 22.04.2022 12:00,5645,5645,5784,n/e,n/e,n/e,2075,2075,3070
22.04.2022 12:00 - 22.04.2022 13:00,6820,6820,6946,n/e,n/e,n/e,2072,2072,2775
22.04.2022 13:00 - 22.04.2022 14:00,7256,7256,7522,n/e,n/e,n/e,2076,2076,2632
22.04.2022 14:00 - 22.04.2022 15:00,7433,7433,7631,n/e,n/e,n/e,2083,2083,2577
22.04.2022 15:00 - 22.04.2022 16:00,7203,7203,7238,n/e,n/e,n/e,2115,2115,2482
22.04.2022 16:00 - 22.04.2022 17:00,6529,6529,6392,n/e,n/e,n/e,2148,2148,2408
22.04.2022 17:00 - 22.04.2022 18:00,5262,5262,5029,n/e,n/e,n/e,2182,2182,2356
22.04.2022 18:00 - 22.04.2022 19:00,3518,3518,3330,n/e,n/e,n/e,2425,2425,2388
22.04.2022 19:00 - 22.04.2022 20:00,1590,1590,1576,n/e,n/e,n/e,2670,2670,2425
22.04.2022 20:00 - 22.04.2022 21:00,353,353,347,n/e,n/e,n/e,2915,2915,2473
22.04.2022 21:00 - 22.04.2022 22:00,0,0,0,n/e,n/e,n/e,3371,3371,3099
22.04.2022 22:00 - 22.04.2022 23:00,0,0,0,n/e,n/e,n/e,3827,3827,3728
22.04.2022 23:00 - 23.04.2022 00:00,0,0,0,n/e,n/e,n/e,4283,4283,4358
23.04.2022 00:00 - 23.04.2022 01:00,0,0,0,n/e,n/e,n/e,4024,4024,3809
23.04.2022 01:00 - 23.04.2022 02:00,0,0,0,n/e,n/e,n/e,4246,4246,3993
23.04.2022 02:00 - 23.04.2022 03:00,0,0,0,n/e,n/e,n/e,4472,4472,4178
23.04.2022 03:00 - 23.04.2022 04:00,0,0,0,n/e,n/e,n/e,4776,4776,4395
23.04.2022 04:00 - 23.04.2022 05:00,0,0,0,n/e,n/e,n/e,5082,5082,4613
23.04.2022 05:00 - 23.04.2022 06:00,0,0,0,n/e,n/e,n/e,5389,5389,4832
23.04.2022 06:00 - 23.04.2022 07:00,0,0,0,n/e,n/e,n/e,5425,5425,4958
23.04.2022 07:00 - 23.04.2022 08:00,15,15,17,n/e,n/e,n/e,5462,5462,5180
23.04.2022 08:00 - 23.04.2022 09:00,492,492,540,n/e,n/e,n/e,5500,5500,5044
23.04.2022 09:00 - 23.04.2022 10:00,1604,1604,1687,n/e,n/e,n/e,5376,5376,4800
23.04.2022 10:00 - 23.04.2022 11:00,3045,3045,2461,n/e,n/e,n/e,5251,5251,5735
23.04.2022 11:00 - 23.04.2022 12:00,4304,4304,3289,n/e,n/e,n/e,5125,5125,5292
23.04.2022 12:00 - 23.04.2022 13:00,5186,5186,4172,n/e,n/e,n/e,5290,5290,5284
23.04.2022 13:00 - 23.04.2022 14:00,5380,5380,4641,n/e,n/e,n/e,5457,5457,5377
23.04.2022 14:00 - 23.04.2022 15:00,5544,5544,4676,n/e,n/e,n/e,5623,5623,5530
23.04.2022 15:00 - 23.04.2022 16:00,5200,5200,4580,n/e,n/e,n/e,5567,5567,5611
23.04.2022 16:00 - 23.04.2022 17:00,4654,4654,4129,n/e,n/e,n/e,5511,5511,5707
23.04.2022 17:00 - 23.04.2022 18:00,3734,3734,3363,n/e,n/e,n/e,5454,5454,5823
23.04.2022 18:00 - 23.04.2022 19:00,2516,2516,2341,n/e,n/e,n/e,5111,5111,5397
23.04.2022 19:00 - 23.04.2022 20:00,1169,1169,1143,n/e,n/e,n/e,4766,4766,4980
23.04.2022 20:00 - 23.04.2022 21:00,276,276,268,n/e,n/e,n/e,4424,4424,4576
23.04.2022 21:00 - 23.04.2022 22:00,0,0,0,n/e,n/e,n/e,4161,4161,4289
23.04.2022 22:00 - 23.04.2022 23:00,0,0,0,n/e,n/e,n/e,3898,3898,4005
23.04.2022 23:00 - 24.04.2022 00:00,0,0,0,n/e,n/e,n/e,3635,3635,3723
24.04.2022 00:00 - 24.04.2022 01:00,0,0,0,n/e,n/e,n/e,3478,3478,3780
24.04.2022 01:00 - 24.04.2022 02:00,0,0,0,n/e,n/e,n/e,3458,3458,3483
24.04.2022 02:00 - 24.04.2022 03:00,0,0,0,n/e,n/e,n/e,3440,3440,3210
24.04.2022 03:00 - 24.04.2022 04:00,0,0,0,n/e,n/e,n/e,3163,3163,2967
24.04.2022 04:00 - 24.04.2022 05:00,0,0,0,n/e,n/e,n/e,2889,2889,2740
24.04.2022 05:00 - 24.04.2022 06:00,0,0,0,n/e,n/e,n/e,2618,2618,2522
24.04.2022 06:00 - 24.04.2022 07:00,0,0,0,n/e,n/e,n/e,2636,2636,2555
24.04.2022 07:00 - 24.04.2022 08:00,15,15,17,n/e,n/e,n/e,2660,2660,2549
24.04.2022 08:00 - 24.04.2022 09:00,463,463,521,n/e,n/e,n/e,2691,2691,2429
24.04.2022 09:00 - 24.04.2022 10:00,1417,1417,1613,n/e,n/e,n/e,2642,2642,2382
24.04.2022 10:00 - 24.04.2022 11:00,2596,2596,2749,n/e,n/e,n/e,2595,2595,2430
24.04.2022 11:00 - 24.04.2022 12:00,3586,3586,3635,n/e,n/e,n/e,2549,2549,2357
24.04.2022 12:00 - 24.04.2022 13:00,4198,4198,4394,n/e,n/e,n/e,2644,2644,2546
24.04.2022 13:00 - 24.04.2022 14:00,4607,4607,4830,n/e,n/e,n/e,2743,2743,2768
24.04.2022 14:00 - 24.04.2022 15:00,4627,4627,5181,n/e,n/e,n/e,2843,2843,3008
24.04.2022 15:00 - 24.04.2022 16:00,4603,4603,5144,n/e,n/e,n/e,2888,2888,3085
24.04.2022 16:00 - 24.04.2022 17:00,4318,4318,4581,n/e,n/e,n/e,2935,2935,3164
24.04.2022 17:00 - 24.04.2022 18:00,3689,3689,3991,n/e,n/e,n/e,2985,2985,3245
24.04.2022 18:00 - 24.04.2022 19:00,2885,2885,2968,n/e,n/e,n/e,3093,3093,3306
24.04.2022 19:00 - 24.04.2022 20:00,1536,1536,1598,n/e,n/e,n/e,3203,3203,3369
24.04.2022 20:00 - 24.04.2022 21:00,398,398,415,n/e,n/e,n/e,3315,3315,3435
24.04.2022 21:00 - 24.04.2022 22:00,0,0,0,n/e,n/e,n/e,3336,3336,3534
24.04.2022 22:00 - 24.04.2022 23:00,0,0,0,n/e,n/e,n/e,3360,3360,3634
24.04.2022 23:00 - 25.04.2022 00:00,0,0,0,n/e,n/e,n/e,3385,3385,3734
25.04.2022 00:00 - 25.04.2022 01:00,0,0,0,n/e,n/e,n/e,3442,3442,3426
25.04.2022 01:00 - 25.04.2022 02:00,0,0,0,n/e,n/e,n/e,3258,3258,3246
25.04.2022 02:00 - 25.04.2022 03:00,0,0,0,n/e,n/e,n/e,3076,3076,3066
25.04.2022 03:00 - 25.04.2022 04:00,0,0,0,n/e,n/e,n/e,2949,2949,2939
25.04.2022 04:00 - 25.04.2022 05:00,0,0,0,n/e,n/e,n/e,2823,2823,2812
25.04.2022 05:00 - 25.04.2022 06:00,0,0,0,n/e,n/e,n/e,2696,2696,2687
25.04.2022 06:00 - 25.04.2022 07:00,0,0,0,n/e,n/e,n/e,2510,2510,2501
25.04.2022 07:00 - 25.04.2022 08:00,31,31,29,n/e,n/e,n/e,2324,2324,3077
25.04.2022 08:00 - 25.04.2022 09:00,774,774,783,n/e,n/e,n/e,2137,2137,2750
25.04.2022 09:00 - 25.04.2022 10:00,2316,2316,2384,n/e,n/e,n/e,1951,1951,2404
25.04.2022 10:00 - 25.04.2022 11:00,3947,3947,3900,n/e,n/e,n/e,1765,1765,2697
25.04.2022 11:00 - 25.04.2022 12:00,5447,5447,5227,n/e,n/e,n/e,1579,1579,2226
25.04.2022 12:00 - 25.04.2022 13:00,6449,6449,5985,n/e,n/e,n/e,1638,1638,2107
25.04.2022 13:00 - 25.04.2022 14:00,6949,6949,6678,n/e,n/e,n/e,1701,1701,2076
25.04.2022 14:00 - 25.04.2022 15:00,7130,7130,6750,n/e,n/e,n/e,1765,1765,2098
25.04.2022 15:00 - 25.04.2022 16:00,6583,6583,6537,n/e,n/e,n/e,1957,1957,2326
25.04.2022 16:00 - 25.04.2022 17:00,5901,5901,5929,n/e,n/e,n/e,2148,2148,2566
25.04.2022 17:00 - 25.04.2022 18:00,4826,4826,5022,n/e,n/e,n/e,2342,2342,2818
25.04.2022 18:00 - 25.04.2022 19:00,3613,3613,3738,n/e,n/e,n/e,2349,2349,2651
25.04.2022 19:00 - 25.04.2022 20:00,1891,1891,1945,n/e,n/e,n/e,2358,2358,2487
25.04.2022 20:00 - 25.04.2022 21:00,498,498,510,n/e,n/e,n/e,2367,2367,2331
25.04.2022 21:00 - 25.04.2022 22:00,1,1,1,n/e,n/e,n/e,2328,2328,2278
25.04.2022 22:00 - 25.04.2022 23:00,0,0,0,n/e,n/e,n/e,2290,2290,2226
25.04.2022 23:00 - 26.04.2022 00:00,0,0,0,n/e,n/e,n/e,2251,2251,2175
26.04.2022 00:00 - 26.04.2022 01:00,0,0,0,n/e,n/e,n/e,1840,1840,1801
26.04.2022 01:00 - 26.04.2022 02:00,0,0,0,n/e,n/e,n/e,1774,1774,1734
26.04.2022 02:00 - 26.04.2022 03:00,0,0,0,n/e,n/e,n/e,1709,1709,1670
26.04.2022 03:00 - 26.04.2022 04:00,0,0,0,n/e,n/e,n/e,1713,1713,1681
26.04.2022 04:00 - 26.04.2022 05:00,0,0,0,n/e,n/e,n/e,1716,1716,1694
26.04.2022 05:00 - 26.04.2022 06:00,0,0,0,n/e,n/e,n/e,1719,1719,1709
26.04.2022 06:00 - 26.04.2022 07:00,0,0,0,n/e,n/e,n/e,1619,1619,1589
26.04.2022 07:00 - 26.04.2022 08:00,40,40,42,n/e,n/e,n/e,1520,1520,1958
26.04.2022 08:00 - 26.04.2022 09:00,924,924,962,n/e,n/e,n/e,1421,1421,1724
26.04.2022 09:00 - 26.04.2022 10:00,2756,2756,2830,n/e,n/e,n/e,1417,1417,1666
26.04.2022 10:00 - 26.04.2022 11:00,4837,4837,5032,n/e,n/e,n/e,1414,1414,1913
26.04.2022 11:00 - 26.04.2022 12:00,6532,6532,6667,n/e,n/e,n/e,1412,1412,1801
26.04.2022 12:00 - 26.04.2022 13:00,7558,7558,7717,n/e,n/e,n/e,1594,1594,1849
26.04.2022 13:00 - 26.04.2022 14:00,8198,8198,8219,n/e,n/e,n/e,1778,1778,1934
26.04.2022 14:00 - 26.04.2022 15:00,8179,8179,8280,n/e,n/e,n/e,1962,1962,2033
26.04.2022 15:00 - 26.04.2022 16:00,7825,7825,7823,n/e,n/e,n/e,2099,2099,2204
26.04.2022 16:00 - 26.04.2022 17:00,6950,6950,6921,n/e,n/e,n/e,2237,2237,2382
26.04.2022 17:00 - 26.04.2022 18:00,5736,5736,5658,n/e,n/e,n/e,2375,2375,2565
26.04.2022 18:00 - 26.04.2022 19:00,4064,4064,4054,n/e,n/e,n/e,2628,2628,2813
26.04.2022 19:00 - 26.04.2022 20:00,2094,2094,2071,n/e,n/e,n/e,2882,2882,3067
26.04.2022 20:00 - 26.04.2022 21:00,563,563,547,n/e,n/e,n/e,3135,3135,3323
26.04.2022 21:00 - 26.04.2022 22:00,1,1,1,n/e,n/e,n/e,3259,3259,3551
26.04.2022 22:00 - 26.04.2022 23:00,0,0,0,n/e,n/e,n/e,3383,3383,3780
26.04.2022 23:00 - 27.04.2022 00:00,0,0,0,n/e,n/e,n/e,3507,3507,4008
27.04.2022 00:00 - 27.04.2022 01:00,0,0,0,n/e,n/e,n/e,3588,3588,3695
27.04.2022 01:00 - 27.04.2022 02:00,0,0,0,n/e,n/e,n/e,3633,3633,3724
27.04.2022 02:00 - 27.04.2022 03:00,0,0,0,n/e,n/e,n/e,3677,3677,3747
27.04.2022 03:00 - 27.04.2022 04:00,0,0,0,n/e,n/e,n/e,3672,3672,3747
27.04.2022 04:00 - 27.04.2022 05:00,0,0,0,n/e,n/e,n/e,3666,3666,3742
27.04.2022 05:00 - 27.04.2022 06:00,0,0,0,n/e,n/e,n/e,3659,3659,3736
27.04.2022 06:00 - 27.04.2022 07:00,0,0,0,n/e,n/e,n/e,3659,3659,3661
27.04.2022 07:00 - 27.04.2022 08:00,65,65,67,n/e,n/e,n/e,3659,3659,4946
27.04.2022 08:00 - 27.04.2022 09:00,1186,1186,1190,n/e,n/e,n/e,3658,3658,4496
27.04.2022 09:00 - 27.04.2022 10:00,3352,3352,3375,n/e,n/e,n/e,3517,3517,4025
27.04.2022 10:00 - 27.04.2022 11:00,5795,5795,5745,n/e,n/e,n/e,3376,3376,4684
27.04.2022 11:00 - 27.04.2022 12:00,7621,7621,7788,n/e,n/e,n/e,3234,3234,4098
27.04.2022 12:00 - 27.04.2022 13:00,8861,8861,8970,n/e,n/e,n/e,3651,3651,4022
27.04.2022 13:00 - 27.04.2022 14:00,9509,9509,9462,n/e,n/e,n/e,4067,4067,4092
27.04.2022 14:00 - 27.04.2022 15:00,9643,9643,9241,n/e,n/e,n/e,4483,4483,4248
27.04.2022 15:00 - 27.04.2022 16:00,9248,9248,8806,n/e,n/e,n/e,4540,4540,4171
27.04.2022 16:00 - 27.04.2022 17:00,8194,8194,7942,n/e,n/e,n/e,4597,4597,4116
27.04.2022 17:00 - 27.04.2022 18:00,6709,6709,6285,n/e,n/e,n/e,4655,4655,4080
27.04.2022 18:00 - 27.04.2022 19:00,4528,4528,4357,n/e,n/e,n/e,4936,4936,4311
27.04.2022 19:00 - 27.04.2022 20:00,2266,2266,2186,n/e,n/e,n/e,5218,5218,4548
27.04.2022 20:00 - 27.04.2022 21:00,580,580,565,n/e,n/e,n/e,5500,5500,4798
27.04.2022 21:00 - 27.04.2022 22:00,2,2,1,n/e,n/e,n/e,5580,5580,5120
27.04.2022 22:00 - 27.04.2022 23:00,0,0,0,n/e,n/e,n/e,5660,5660,5445
27.04.2022 23:00 - 28.04.2022 00:00,0,0,0,n/e,n/e,n/e,5741,5741,5770
28.04.2022 00:00 - 28.04.2022 01:00,0,0,0,n/e,n/e,n/e,5499,5499,5388
28.04.2022 01:00 - 28.04.2022 02:00,0,0,0,n/e,n/e,n/e,5278,5278,5270
28.04.2022 02:00 - 28.04.2022 03:00,0,0,0,n/e,n/e,n/e,5058,5058,5146
28.04.2022 03:00 - 28.04.2022 04:00,0,0,0,n/e,n/e,n/e,4806,4806,4844
28.04.2022 04:00 - 28.04.2022 05:00,0,0,0,n/e,n/e,n/e,4553,4553,4536
28.04.2022 05:00 - 28.04.2022 06:00,0,0,0,n/e,n/e,n/e,4301,4301,4229
28.04.2022 06:00 - 28.04.2022 07:00,0,0,0,n/e,n/e,n/e,4119,4119,3984
28.04.2022 07:00 - 28.04.2022 08:00,72,72,78,n/e,n/e,n/e,3938,3938,4822
28.04.2022 08:00 - 28.04.2022 09:00,995,995,1038,n/e,n/e,n/e,3757,3757,4248
28.04.2022 09:00 - 28.04.2022 10:00,2730,2730,2915,n/e,n/e,n/e,3418,3418,3641
28.04.2022 10:00 - 28.04.2022 11:00,4819,4819,4867,n/e,n/e,n/e,3080,3080,4103
28.04.2022 11:00 - 28.04.2022 12:00,6476,6476,6625,n/e,n/e,n/e,2743,2743,3467
28.04.2022 12:00 - 28.04.2022 13:00,7582,7582,7692,n/e,n/e,n/e,2896,2896,3299
28.04.2022 13:00 - 28.04.2022 14:00,8244,8244,8470,n/e,n/e,n/e,3050,3050,3242
28.04.2022 14:00 - 28.04.2022 15:00,8648,8648,8822,n/e,n/e,n/e,3204,3204,3247
28.04.2022 15:00 - 28.04.2022 16:00,8514,8514,8464,n/e,n/e,n/e,2897,2897,2887
28.04.2022 16:00 - 28.04.2022 17:00,7622,7622,8076,n/e,n/e,n/e,2590,2590,2540
28.04.2022 17:00 - 28.04.2022 18:00,6265,6265,6786,n/e,n/e,n/e,2284,2284,2209
28.04.2022 18:00 - 28.04.2022 19:00,4459,4459,4769,n/e,n/e,n/e,2523,2523,2402
28.04.2022 19:00 - 28.04.2022 20:00,2338,2338,2458,n/e,n/e,n/e,2763,2763,2600
28.04.2022 20:00 - 28.04.2022 21:00,639,639,667,n/e,n/e,n/e,3004,3004,2805
28.04.2022 21:00 - 28.04.2022 22:00,2,2,2,n/e,n/e,n/e,3419,3419,3429
28.04.2022 22:00 - 28.04.2022 23:00,0,0,0,n/e,n/e,n/e,3835,3835,4055
28.04.2022 23:00 - 29.04.2022 00:00,0,0,0,n/e,n/e,n/e,4251,4251,4681
29.04.2022 00:00 - 29.04.2022 01:00,0,0,0,n/e,n/e,n/e,4038,4038,4095
29.04.2022 01:00 - 29.04.2022 02:00,0,0,0,n/e,n/e,n/e,3813,3813,3896
29.04.2022 02:00 - 29.04.2022 03:00,0,0,0,n/e,n/e,n/e,3591,3591,3699
29.04.2022 03:00 - 29.04.2022 04:00,0,0,0,n/e,n/e,n/e,3448,3448,3511
29.04.2022 04:00 - 29.04.2022 05:00,0,0,0,n/e,n/e,n/e,3307,3307,3327
29.04.2022 05:00 - 29.04.2022 06:00,0,0,0,n/e,n/e,n/e,3165,3165,3144
29.04.2022 06:00 - 29.04.2022 07:00,0,0,0,n/e,n/e,n/e,2962,2962,2946
29.04.2022 07:00 - 29.04.2022 08:00,83,83,76,n/e,n/e,n/e,2760,2760,2492
29.04.2022 08:00 - 29.04.2022 09:00,1188,1188,1163,n/e,n/e,n/e,2559,2559,2325
29.04.2022 09:00 - 29.04.2022 10:00,3324,3324,3245,n/e,n/e,n/e,2200,2200,2053
29.04.2022 10:00 - 29.04.2022 11:00,5686,5686,4888,n/e,n/e,n/e,1840,1840,1807
29.04.2022 11:00 - 29.04.2022 12:00,7563,7563,6660,n/e,n/e,n/e,1480,1480,1500
29.04.2022 12:00 - 29.04.2022 13:00,8767,8767,7721,n/e,n/e,n/e,1613,1613,1603
29.04.2022 13:00 - 29.04.2022 14:00,9175,9175,8449,n/e,n/e,n/e,1745,1745,1717
29.04.2022 14:00 - 29.04.2022 15:00,9135,9135,8611,n/e,n/e,n/e,1879,1879,1838
29.04.2022 15:00 - 29.04.2022 16:00,8766,8766,8155,n/e,n/e,n/e,1986,1986,1954
29.04.2022 16:00 - 29.04.2022 17:00,7850,7850,7286,n/e,n/e,n/e,2093,2093,2072
29.04.2022 17:00 - 29.04.2022 18:00,6337,6337,5921,n/e,n/e,n/e,2199,2199,2192
29.04.2022 18:00 - 29.04.2022 19:00,4440,4440,4250,n/e,n/e,n/e,2566,2566,2586
29.04.2022 19:00 - 29.04.2022 20:00,2339,2339,2289,n/e,n/e,n/e,2933,2933,2986
29.04.2022 20:00 - 29.04.2022 21:00,656,656,668,n/e,n/e,n/e,3301,3301,3387
29.04.2022 21:00 - 29.04.2022 22:00,3,3,3,n/e,n/e,n/e,3674,3674,3654
29.04.2022 22:00 - 29.04.2022 23:00,0,0,0,n/e,n/e,n/e,4046,4046,3923
29.04.2022 23:00 - 30.04.2022 00:00,0,0,0,n/e,n/e,n/e,4420,4420,4192
30.04.2022 00:00 - 30.04.2022 01:00,0,0,0,n/e,n/e,n/e,3658,3658,3468
30.04.2022 01:00 - 30.04.2022 02:00,0,0,0,n/e,n/e,n/e,3347,3347,3241
30.04.2022 02:00 - 30.04.2022 03:00,0,0,0,n/e,n/e,n/e,3037,3037,3014
30.04.2022 03:00 - 30.04.2022 04:00,0,0,0,n/e,n/e,n/e,3017,3017,3006
30.04.2022 04:00 - 30.04.2022 05:00,0,0,0,n/e,n/e,n/e,2997,2997,2999
30.04.2022 05:00 - 30.04.2022 06:00,0,0,0,n/e,n/e,n/e,2978,2978,2993
30.04.2022 06:00 - 30.04.2022 07:00,0,0,0,n/e,n/e,n/e,2812,2812,2821
30.04.2022 07:00 - 30.04.2022 08:00,79,79,82,n/e,n/e,n/e,2646,2646,3322
30.04.2022 08:00 - 30.04.2022 09:00,1087,1087,1091,n/e,n/e,n/e,2480,2480,2997
30.04.2022 09:00 - 30.04.2022 10:00,3000,3000,2956,n/e,n/e,n/e,2368,2368,2797
30.04.2022 10:00 - 30.04.2022 11:00,5252,5252,4891,n/e,n/e,n/e,2256,2256,2906
30.04.2022 11:00 - 30.04.2022 12:00,6949,6949,6803,n/e,n/e,n/e,2145,2145,2713
30.04.2022 12:00 - 30.04.2022 13:00,8094,8094,7944,n/e,n/e,n/e,2227,2227,2780
30.04.2022 13:00 - 30.04.2022 14:00,8820,8820,8763,n/e,n/e,n/e,2309,2309,2868
30.04.2022 14:00 - 30.04.2022 15:00,8915,8915,8931,n/e,n/e,n/e,2391,2391,2968
30.04.2022 15:00 - 30.04.2022 16:00,8826,8826,8729,n/e,n/e,n/e,2645,2645,3162
30.04.2022 16:00 - 30.04.2022 17:00,8263,8263,7986,n/e,n/e,n/e,2899,2899,3364
30.04.2022 17:00 - 30.04.2022 18:00,7034,7034,6671,n/e,n/e,n/e,3153,3153,3570
30.04.2022 18:00 - 30.04.2022 19:00,5023,5023,4827,n/e,n/e,n/e,3314,3314,3680
30.04.2022 19:00 - 30.04.2022 20:00,2633,2633,2555,n/e,n/e,n/e,3476,3476,3795
30.04.2022 20:00 - 30.04.2022 21:00,743,743,744,n/e,n/e,n/e,3638,3638,3911
30.04.2022 21:00 - 30.04.2022 22:00,4,4,4,n/e,n/e,n/e,3387,3387,3629
30.04.2022 22:00 - 30.04.2022 23:00,0,0,0,n/e,n/e,n/e,3136,3136,3348
30.04.2022 23:00 - 01.05.2022 00:00,0,0,0,n/e,n/e,n/e,2885,2885,3069
01.05.2022 00:00 - 01.05.2022 01:00,0,0,0,n/e,n/e,n/e,2724,2724,2666
01.05.2022 01:00 - 01.05.2022 02:00,0,0,0,n/e,n/e,n/e,2607,2607,2551
01.05.2022 02:00 - 01.05.2022 03:00,0,0,0,n/e,n/e,n/e,2491,2491,2438
01.05.2022 03:00 - 01.05.2022 04:00,0,0,0,n/e,n/e,n/e,2356,2356,2308
01.05.2022 04:00 - 01.05.2022 05:00,0,0,0,n/e,n/e,n/e,2222,2222,2181
01.05.2022 05:00 - 01.05.2022 06:00,0,0,0,n/e,n/e,n/e,2088,2088,2054
01.05.2022 06:00 - 01.05.2022 07:00,0,0,0,n/e,n/e,n/e,1994,1994,1932
01.05.2022 07:00 - 01.05.2022 08:00,105,105,108,n/e,n/e,n/e,1901,1901,1981
01.05.2022 08:00 - 01.05.2022 09:00,1276,1276,1301,n/e,n/e,n/e,1808,1808,1821
01.05.2022 09:00 - 01.05.2022 10:00,3473,3473,3553,n/e,n/e,n/e,1571,1571,1572
01.05.2022 10:00 - 01.05.2022 11:00,5912,5912,5822,n/e,n/e,n/e,1335,1335,1396
01.05.2022 11:00 - 01.05.2022 12:00,7766,7766,7638,n/e,n/e,n/e,1100,1100,1156
01.05.2022 12:00 - 01.05.2022 13:00,8979,8979,9060,n/e,n/e,n/e,1074,1074,1179
01.05.2022 13:00 - 01.05.2022 14:00,9552,9552,9548,n/e,n/e,n/e,1048,1048,1215
01.05.2022 14:00 - 01.05.2022 15:00,9589,9589,9647,n/e,n/e,n/e,1022,1022,1257
01.05.2022 15:00 - 01.05.2022 16:00,9040,9040,9255,n/e,n/e,n/e,1116,1116,1342
01.05.2022 16:00 - 01.05.2022 17:00,8149,8149,8312,n/e,n/e,n/e,1209,1209,1431
01.05.2022 17:00 - 01.05.2022 18:00,6614,6614,6764,n/e,n/e,n/e,1303,1303,1522
01.05.2022 18:00 - 01.05.2022 19:00,4625,4625,4770,n/e,n/e,n/e,1455,1455,1612
01.05.2022 19:00 - 01.05.2022 20:00,2374,2374,2411,n/e,n/e,n/e,1608,1608,1704
01.05.2022 20:00 - 01.05.2022 21:00,676,676,702,n/e,n/e,n/e,1761,1761,1796
01.05.2022 21:00 - 01.05.2022 22:00,4,4,4,n/e,n/e,n/e,2075,2075,2066
01.05.2022 22:00 - 01.05.2022 23:00,0,0,0,n/e,n/e,n/e,2388,2388,2336
01.05.2022 23:00 - 02.05.2022 00:00,0,0,0,n/e,n/e,n/e,2702,2702,2607
02.05.2022 00:00 - 02.05.2022 01:00,0,0,0,n/e,n/e,n/e,2544,2544,2567
02.05.2022 01:00 - 02.05.2022 02:00,0,0,0,n/e,n/e,n/e,2470,2470,2534
02.05.2022 02:00 - 02.05.2022 03:00,0,0,0,n/e,n/e,n/e,2397,2397,2502
02.05.2022 03:00 - 02.05.2022 04:00,0,0,0,n/e,n/e,n/e,2280,2280,2367
02.05.2022 04:00 - 02.05.2022 05:00,0,0,0,n/e,n/e,n/e,2164,2164,2233
02.05.2022 05:00 - 02.05.2022 06:00,0,0,0,n/e,n/e,n/e,2047,2047,2099
