MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ France (FR),Generation - Solar  [MW] Day Ahead/ France (FR),Generation - Solar  [MW] Current / France (FR),Generation - Wind Offshore  [MW] Day Ahead/ France (FR),Generation - Wind Offshore  [MW] Intraday / France (FR),Generation - Wind Offshore  [MW] Current / France (FR),Generation - Wind Onshore  [MW] Day Ahead/ France (FR),Generation - Wind Onshore  [MW] Day Ahead/ France (FR),Generation - Wind Onshore  [MW] Current / France (FR)
03.01.2022 09:00 - 03.01.2022 10:00,183,183,183,n/e,n/e,n/e,8559,8559,8690
03.01.2022 10:00 - 03.01.2022 11:00,1077,1077,1140,n/e,n/e,n/e,8773,8773,8479
03.01.2022 11:00 - 03.01.2022 12:00,2117,2117,2236,n/e,n/e,n/e,8985,8985,8658
03.01.2022 12:00 - 03.01.2022 13:00,2789,2789,2836,n/e,n/e,n/e,9195,9195,8829
03.01.2022 13:00 - 03.01.2022 14:00,2957,2957,3001,n/e,n/e,n/e,9403,9403,9005
03.01.2022 14:00 - 03.01.2022 15:00,2710,2710,2652,n/e,n/e,n/e,9278,9278,8520
03.01.2022 15:00 - 03.01.2022 16:00,1867,1867,1812,n/e,n/e,n/e,9154,9154,8032
03.01.2022 16:00 - 03.01.2022 17:00,752,752,717,n/e,n/e,n/e,9031,9031,7544
03.01.2022 17:00 - 03.01.2022 18:00,44,44,44,n/e,n/e,n/e,8640,8640,7315
03.01.2022 18:00 - 03.01.2022 19:00,0,0,0,n/e,n/e,n/e,8248,8248,7086
03.01.2022 19:00 - 03.01.2022 20:00,0,0,0,n/e,n/e,n/e,7856,7856,6859
03.01.2022 20:00 - 03.01.2022 21:00,0,0,0,n/e,n/e,n/e,7515,7515,6590
03.01.2022 21:00 - 03.01.2022 22:00,0,0,0,n/e,n/e,n/e,7176,7176,6324
03.01.2022 22:00 - 03.01.2022 23:00,0,0,0,n/e,n/e,n/e,6835,6835,6059
03.01.2022 23:00 - 04.01.2022 00:00,0,0,0,n/e,n/e,n/e,6819,6819,6165
04.01.2022 00:00 - 04.01.2022 01:00,0,0,0,n/e,n/e,n/e,6230,6230,6139
04.01.2022 01:00 - 04.01.2022 02:00,0,0,0,n/e,n/e,n/e,6216,6216,6022
04.01.2022 02:00 - 04.01.2022 03:00,0,0,0,n/e,n/e,n/e,6478,6478,6158
04.01.2022 03:00 - 04.01.2022 04:00,0,0,0,n/e,n/e,n/e,6744,6744,6302
04.01.2022 04:00 - 04.01.2022 05:00,0,0,0,n/e,n/e,n/e,7014,7014,6464
04.01.2022 05:00 - 04.01.2022 06:00,0,0,0,n/e,n/e,n/e,7163,7163,6682
04.01.2022 06:00 - 04.01.2022 07:00,0,0,0,n/e,n/e,n/e,7316,7316,6915
04.01.2022 07:00 - 04.01.2022 08:00,0,0,0,n/e,n/e,n/e,7474,7474,7069
04.01.2022 08:00 - 04.01.2022 09:00,0,0,0,n/e,n/e,n/e,7465,7465,6707
04.01.2022 09:00 - 04.01.2022 10:00,195,195,190,n/e,n/e,n/e,7463,7463,6303
04.01.2022 10:00 - 04.01.2022 11:00,1156,1156,1090,n/e,n/e,n/e,7463,7463,5669
04.01.2022 11:00 - 04.01.2022 12:00,2202,2202,2090,n/e,n/e,n/e,7345,7345,5376
04.01.2022 12:00 - 04.01.2022 13:00,2757,2757,2701,n/e,n/e,n/e,7230,7230,5083
04.01.2022 13:00 - 04.01.2022 14:00,2851,2851,2873,n/e,n/e,n/e,7114,7114,4794
04.01.2022 14:00 - 04.01.2022 15:00,2293,2293,2566,n/e,n/e,n/e,6323,6323,4977
04.01.2022 15:00 - 04.01.2022 16:00,1510,1510,1735,n/e,n/e,n/e,5531,5531,5168
04.01.2022 16:00 - 04.01.2022 17:00,604,604,691,n/e,n/e,n/e,4740,4740,5355
