"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Romania (RO)","Generation - Solar  [MW] Intraday / Romania (RO)","Generation - Solar  [MW] Current / Romania (RO)","Generation - Wind Offshore  [MW] Day Ahead/ Romania (RO)","Generation - Wind Offshore  [MW] Intraday / Romania (RO)","Generation - Wind Offshore  [MW] Current / Romania (RO)","Generation - Wind Onshore  [MW] Day Ahead/ Romania (RO)","Generation - Wind Onshore  [MW] Intraday / Romania (RO)","Generation - Wind Onshore  [MW] Current / Romania (RO)"
"02.01.2022 12:45 - 02.01.2022 13:00","235","235","235","n/e","n/e","n/e","204","204","204"
"02.01.2022 13:00 - 02.01.2022 13:15","175","175","175","n/e","n/e","n/e","89","89","89"
"02.01.2022 13:15 - 02.01.2022 13:30","172","172","172","n/e","n/e","n/e","89","89","89"
"02.01.2022 13:30 - 02.01.2022 13:45","169","169","169","n/e","n/e","n/e","89","89","89"
"02.01.2022 13:45 - 02.01.2022 14:00","165","165","165","n/e","n/e","n/e","88","88","88"
"02.01.2022 14:00 - 02.01.2022 14:15","80","80","80","n/e","n/e","n/e","58","58","58"
"02.01.2022 14:15 - 02.01.2022 14:30","78","78","78","n/e","n/e","n/e","58","58","58"
"02.01.2022 14:30 - 02.01.2022 14:45","75","75","75","n/e","n/e","n/e","57","57","57"
"02.01.2022 14:45 - 02.01.2022 15:00","73","73","73","n/e","n/e","n/e","57","57","57"
"02.01.2022 15:00 - 02.01.2022 15:15","13","13","13","n/e","n/e","n/e","102","102","102"
"02.01.2022 15:15 - 02.01.2022 15:30","12","12","12","n/e","n/e","n/e","102","102","102"
"02.01.2022 15:30 - 02.01.2022 15:45","11","11","11","n/e","n/e","n/e","102","102","102"
"02.01.2022 15:45 - 02.01.2022 16:00","11","11","11","n/e","n/e","n/e","102","102","102"
"02.01.2022 16:00 - 02.01.2022 16:15","0","0","0","n/e","n/e","n/e","181","181","181"
"02.01.2022 16:15 - 02.01.2022 16:30","0","0","0","n/e","n/e","n/e","181","181","181"
"02.01.2022 16:30 - 02.01.2022 16:45","0","0","0","n/e","n/e","n/e","181","181","181"
"02.01.2022 16:45 - 02.01.2022 17:00","0","0","0","n/e","n/e","n/e","181","181","181"
"02.01.2022 17:00 - 02.01.2022 17:15","0","0","0","n/e","n/e","n/e","275","275","275"
"02.01.2022 17:15 - 02.01.2022 17:30","0","0","0","n/e","n/e","n/e","275","275","275"
"02.01.2022 17:30 - 02.01.2022 17:45","0","0","0","n/e","n/e","n/e","275","275","275"
"02.01.2022 17:45 - 02.01.2022 18:00","0","0","0","n/e","n/e","n/e","275","275","275"
"02.01.2022 18:00 - 02.01.2022 18:15","0","0","0","n/e","n/e","n/e","390","390","390"
"02.01.2022 18:15 - 02.01.2022 18:30","0","0","0","n/e","n/e","n/e","390","390","390"
"02.01.2022 18:30 - 02.01.2022 18:45","0","0","0","n/e","n/e","n/e","391","391","391"
"02.01.2022 18:45 - 02.01.2022 19:00","0","0","0","n/e","n/e","n/e","391","391","391"
"02.01.2022 19:00 - 02.01.2022 19:15","0","0","0","n/e","n/e","n/e","566","566","566"
"02.01.2022 19:15 - 02.01.2022 19:30","0","0","0","n/e","n/e","n/e","567","567","567"
"02.01.2022 19:30 - 02.01.2022 19:45","0","0","0","n/e","n/e","n/e","567","567","567"
"02.01.2022 19:45 - 02.01.2022 20:00","0","0","0","n/e","n/e","n/e","567","567","567"
"02.01.2022 20:00 - 02.01.2022 20:15","0","0","0","n/e","n/e","n/e","826","826","826"
"02.01.2022 20:15 - 02.01.2022 20:30","0","0","0","n/e","n/e","n/e","830","830","830"
"02.01.2022 20:30 - 02.01.2022 20:45","0","0","0","n/e","n/e","n/e","833","833","833"
"02.01.2022 20:45 - 02.01.2022 21:00","0","0","0","n/e","n/e","n/e","837","837","837"
"02.01.2022 21:00 - 02.01.2022 21:15","0","0","0","n/e","n/e","n/e","1168","1168","1168"
"02.01.2022 21:15 - 02.01.2022 21:30","0","0","0","n/e","n/e","n/e","1170","1170","1170"
"02.01.2022 21:30 - 02.01.2022 21:45","0","0","0","n/e","n/e","n/e","1171","1171","1171"
"02.01.2022 21:45 - 02.01.2022 22:00","0","0","0","n/e","n/e","n/e","1172","1172","1172"
"02.01.2022 22:00 - 02.01.2022 22:15","0","0","0","n/e","n/e","n/e","1392","1392","1392"
"02.01.2022 22:15 - 02.01.2022 22:30","0","0","0","n/e","n/e","n/e","1392","1392","1392"
"02.01.2022 22:30 - 02.01.2022 22:45","0","0","0","n/e","n/e","n/e","1393","1393","1393"
"02.01.2022 22:45 - 02.01.2022 23:00","0","0","0","n/e","n/e","n/e","1393","1393","1393"
