"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Romania (RO)","Generation - Solar  [MW] Intraday / Romania (RO)","Generation - Solar  [MW] Current / Romania (RO)","Generation - Wind Offshore  [MW] Day Ahead/ Romania (RO)","Generation - Wind Offshore  [MW] Intraday / Romania (RO)","Generation - Wind Offshore  [MW] Current / Romania (RO)","Generation - Wind Onshore  [MW] Day Ahead/ Romania (RO)","Generation - Wind Onshore  [MW] Intraday / Romania (RO)","Generation - Wind Onshore  [MW] Current / Romania (RO)"
"09.04.2022 19:30 - 09.04.2022 19:45","1","1","1","n/e","n/e","n/e","961","961","961"
"09.04.2022 19:45 - 09.04.2022 20:00","1","1","1","n/e","n/e","n/e","962","962","962"
"09.04.2022 20:00 - 09.04.2022 20:15","1","1","1","n/e","n/e","n/e","953","953","953"
"09.04.2022 20:15 - 09.04.2022 20:30","1","1","1","n/e","n/e","n/e","952","952","952"
"09.04.2022 20:30 - 09.04.2022 20:45","1","1","1","n/e","n/e","n/e","951","951","951"
"09.04.2022 20:45 - 09.04.2022 21:00","1","1","1","n/e","n/e","n/e","950","950","950"
"09.04.2022 21:00 - 09.04.2022 21:15","1","1","1","n/e","n/e","n/e","878","878","878"
"09.04.2022 21:15 - 09.04.2022 21:30","1","1","1","n/e","n/e","n/e","877","877","877"
"09.04.2022 21:30 - 09.04.2022 21:45","1","1","1","n/e","n/e","n/e","875","875","875"
"09.04.2022 21:45 - 09.04.2022 22:00","1","1","1","n/e","n/e","n/e","874","874","874"
"09.04.2022 22:00 - 09.04.2022 22:15","1","1","1","n/e","n/e","n/e","816","816","816"
"09.04.2022 22:15 - 09.04.2022 22:30","1","1","1","n/e","n/e","n/e","815","815","815"
"09.04.2022 22:30 - 09.04.2022 22:45","1","1","1","n/e","n/e","n/e","814","814","814"
"09.04.2022 22:45 - 09.04.2022 23:00","1","1","1","n/e","n/e","n/e","813","813","813"
"09.04.2022 23:00 - 09.04.2022 23:15","1","1","1","n/e","n/e","n/e","722","608","608"
"09.04.2022 23:15 - 09.04.2022 23:30","1","1","1","n/e","n/e","n/e","721","607","607"
"09.04.2022 23:30 - 09.04.2022 23:45","1","1","1","n/e","n/e","n/e","720","606","606"
"09.04.2022 23:45 - 10.04.2022 00:00","1","1","1","n/e","n/e","n/e","720","610","610"
"10.04.2022 00:00 - 10.04.2022 00:15","1","1","1","n/e","n/e","n/e","545","504","504"
"10.04.2022 00:15 - 10.04.2022 00:30","1","1","1","n/e","n/e","n/e","545","503","503"
"10.04.2022 00:30 - 10.04.2022 00:45","1","1","1","n/e","n/e","n/e","544","503","503"
"10.04.2022 00:45 - 10.04.2022 01:00","1","1","1","n/e","n/e","n/e","543","502","502"
"10.04.2022 01:00 - 10.04.2022 01:15","1","1","1","n/e","n/e","n/e","434","421","421"
"10.04.2022 01:15 - 10.04.2022 01:30","1","1","1","n/e","n/e","n/e","434","421","421"
"10.04.2022 01:30 - 10.04.2022 01:45","1","1","1","n/e","n/e","n/e","434","421","421"
"10.04.2022 01:45 - 10.04.2022 02:00","1","1","1","n/e","n/e","n/e","434","422","422"
"10.04.2022 02:00 - 10.04.2022 02:15","1","1","1","n/e","n/e","n/e","374","389","389"
"10.04.2022 02:15 - 10.04.2022 02:30","1","1","1","n/e","n/e","n/e","375","390","390"
"10.04.2022 02:30 - 10.04.2022 02:45","1","1","1","n/e","n/e","n/e","375","390","390"
"10.04.2022 02:45 - 10.04.2022 03:00","1","1","1","n/e","n/e","n/e","375","390","390"
"10.04.2022 03:00 - 10.04.2022 03:15","1","1","1","n/e","n/e","n/e","414","473","473"
"10.04.2022 03:15 - 10.04.2022 03:30","1","1","1","n/e","n/e","n/e","414","473","473"
"10.04.2022 03:30 - 10.04.2022 03:45","1","1","1","n/e","n/e","n/e","415","474","474"
"10.04.2022 03:45 - 10.04.2022 04:00","1","1","1","n/e","n/e","n/e","415","480","480"
"10.04.2022 04:00 - 10.04.2022 04:15","1","1","1","n/e","n/e","n/e","535","665","665"
"10.04.2022 04:15 - 10.04.2022 04:30","1","1","1","n/e","n/e","n/e","536","668","668"
"10.04.2022 04:30 - 10.04.2022 04:45","1","1","1","n/e","n/e","n/e","537","682","682"
"10.04.2022 04:45 - 10.04.2022 05:00","1","1","1","n/e","n/e","n/e","538","695","695"
"10.04.2022 05:00 - 10.04.2022 05:15","1","1","1","n/e","n/e","n/e","712","951","951"
"10.04.2022 05:15 - 10.04.2022 05:30","1","1","1","n/e","n/e","n/e","713","951","951"
"10.04.2022 05:30 - 10.04.2022 05:45","2","2","2","n/e","n/e","n/e","713","991","991"
"10.04.2022 05:45 - 10.04.2022 06:00","2","2","2","n/e","n/e","n/e","714","990","990"
"10.04.2022 06:00 - 10.04.2022 06:15","10","10","10","n/e","n/e","n/e","895","1131","1131"
"10.04.2022 06:15 - 10.04.2022 06:30","11","11","11","n/e","n/e","n/e","895","1132","1132"
"10.04.2022 06:30 - 10.04.2022 06:45","13","13","13","n/e","n/e","n/e","896","1133","1133"
"10.04.2022 06:45 - 10.04.2022 07:00","15","15","15","n/e","n/e","n/e","896","1133","1133"
"10.04.2022 07:00 - 10.04.2022 07:15","51","51","51","n/e","n/e","n/e","992","1110","1110"
"10.04.2022 07:15 - 10.04.2022 07:30","54","54","54","n/e","n/e","n/e","993","1111","1111"
"10.04.2022 07:30 - 10.04.2022 07:45","59","59","59","n/e","n/e","n/e","994","1112","1112"
"10.04.2022 07:45 - 10.04.2022 08:00","63","63","63","n/e","n/e","n/e","995","1114","1114"
"10.04.2022 08:00 - 10.04.2022 08:15","115","115","115","n/e","n/e","n/e","1022","1025","1025"
"10.04.2022 08:15 - 10.04.2022 08:30","121","121","121","n/e","n/e","n/e","1022","1025","1025"
"10.04.2022 08:30 - 10.04.2022 08:45","126","126","126","n/e","n/e","n/e","1022","1025","1025"
"10.04.2022 08:45 - 10.04.2022 09:00","131","131","131","n/e","n/e","n/e","1022","1025","1025"
"10.04.2022 09:00 - 10.04.2022 09:15","175","175","175","n/e","n/e","n/e","998","998","998"
"10.04.2022 09:15 - 10.04.2022 09:30","179","179","179","n/e","n/e","n/e","998","998","998"
"10.04.2022 09:30 - 10.04.2022 09:45","183","183","183","n/e","n/e","n/e","997","997","997"
"10.04.2022 09:45 - 10.04.2022 10:00","188","188","188","n/e","n/e","n/e","997","997","997"
"10.04.2022 10:00 - 10.04.2022 10:15","216","216","216","n/e","n/e","n/e","992","992","992"
"10.04.2022 10:15 - 10.04.2022 10:30","220","220","220","n/e","n/e","n/e","992","992","992"
"10.04.2022 10:30 - 10.04.2022 10:45","221","221","221","n/e","n/e","n/e","991","991","991"
"10.04.2022 10:45 - 10.04.2022 11:00","224","224","224","n/e","n/e","n/e","990","990","990"
"10.04.2022 11:00 - 10.04.2022 11:15","255","255","255","n/e","n/e","n/e","974","974","974"
"10.04.2022 11:15 - 10.04.2022 11:30","257","257","257","n/e","n/e","n/e","975","975","975"
"10.04.2022 11:30 - 10.04.2022 11:45","258","258","258","n/e","n/e","n/e","975","975","975"
"10.04.2022 11:45 - 10.04.2022 12:00","258","258","258","n/e","n/e","n/e","975","975","975"
"10.04.2022 12:00 - 10.04.2022 12:15","265","265","265","n/e","n/e","n/e","1038","1038","1038"
"10.04.2022 12:15 - 10.04.2022 12:30","265","265","265","n/e","n/e","n/e","1040","1040","1040"
"10.04.2022 12:30 - 10.04.2022 12:45","264","264","264","n/e","n/e","n/e","1041","1041","1041"
"10.04.2022 12:45 - 10.04.2022 13:00","264","264","264","n/e","n/e","n/e","1043","1043","1043"
"10.04.2022 13:00 - 10.04.2022 13:15","258","258","258","n/e","n/e","n/e","1388","1392","1392"
"10.04.2022 13:15 - 10.04.2022 13:30","256","256","256","n/e","n/e","n/e","1391","1395","1395"
"10.04.2022 13:30 - 10.04.2022 13:45","256","256","256","n/e","n/e","n/e","1393","1397","1397"
"10.04.2022 13:45 - 10.04.2022 14:00","256","256","256","n/e","n/e","n/e","1396","1400","1400"
"10.04.2022 14:00 - 10.04.2022 14:15","235","235","235","n/e","n/e","n/e","1789","1789","1789"
"10.04.2022 14:15 - 10.04.2022 14:30","234","234","234","n/e","n/e","n/e","1794","1794","1794"
"10.04.2022 14:30 - 10.04.2022 14:45","232","232","232","n/e","n/e","n/e","1798","1798","1798"
"10.04.2022 14:45 - 10.04.2022 15:00","229","229","229","n/e","n/e","n/e","1803","1803","1803"
"10.04.2022 15:00 - 10.04.2022 15:15","192","192","192","n/e","n/e","n/e","2086","2086","2086"
"10.04.2022 15:15 - 10.04.2022 15:30","188","188","188","n/e","n/e","n/e","2089","2089","2089"
"10.04.2022 15:30 - 10.04.2022 15:45","183","183","183","n/e","n/e","n/e","2092","2092","2092"
"10.04.2022 15:45 - 10.04.2022 16:00","179","179","179","n/e","n/e","n/e","2095","2095","2095"
"10.04.2022 16:00 - 10.04.2022 16:15","134","134","134","n/e","n/e","n/e","2247","2252","2252"
"10.04.2022 16:15 - 10.04.2022 16:30","129","129","129","n/e","n/e","n/e","2248","2253","2253"
"10.04.2022 16:30 - 10.04.2022 16:45","123","123","123","n/e","n/e","n/e","2250","2255","2255"
"10.04.2022 16:45 - 10.04.2022 17:00","117","117","117","n/e","n/e","n/e","2252","2257","2257"
"10.04.2022 17:00 - 10.04.2022 17:15","61","61","61","n/e","n/e","n/e","2291","2291","2291"
"10.04.2022 17:15 - 10.04.2022 17:30","55","55","55","n/e","n/e","n/e","2292","2292","2292"
"10.04.2022 17:30 - 10.04.2022 17:45","51","51","51","n/e","n/e","n/e","2292","2292","2292"
"10.04.2022 17:45 - 10.04.2022 18:00","47","47","47","n/e","n/e","n/e","2293","2293","2293"
"10.04.2022 18:00 - 10.04.2022 18:15","12","12","12","n/e","n/e","n/e","2290","2290","2290"
"10.04.2022 18:15 - 10.04.2022 18:30","9","9","9","n/e","n/e","n/e","2291","2291","2291"
"10.04.2022 18:30 - 10.04.2022 18:45","7","7","7","n/e","n/e","n/e","2291","2291","2291"
"10.04.2022 18:45 - 10.04.2022 19:00","6","6","6","n/e","n/e","n/e","2291","2291","2291"
"10.04.2022 19:00 - 10.04.2022 19:15","1","1","1","n/e","n/e","n/e","2269","2269","2269"
"10.04.2022 19:15 - 10.04.2022 19:30","1","1","1","n/e","n/e","n/e","2269","2269","2269"
"10.04.2022 19:30 - 10.04.2022 19:45","1","1","1","n/e","n/e","n/e","2269","2269","2269"
"10.04.2022 19:45 - 10.04.2022 20:00","1","1","1","n/e","n/e","n/e","2268","2268","2268"
"10.04.2022 20:00 - 10.04.2022 20:15","1","1","1","n/e","n/e","n/e","2300","2300","2300"
"10.04.2022 20:15 - 10.04.2022 20:30","1","1","1","n/e","n/e","n/e","2301","2301","2301"
"10.04.2022 20:30 - 10.04.2022 20:45","1","1","1","n/e","n/e","n/e","2302","2302","2302"
"10.04.2022 20:45 - 10.04.2022 21:00","1","1","1","n/e","n/e","n/e","2303","2303","2303"
"10.04.2022 21:00 - 10.04.2022 21:15","1","1","1","n/e","n/e","n/e","2352","2352","2352"
"10.04.2022 21:15 - 10.04.2022 21:30","1","1","1","n/e","n/e","n/e","2352","2352","2352"
"10.04.2022 21:30 - 10.04.2022 21:45","1","1","1","n/e","n/e","n/e","2352","2352","2352"
"10.04.2022 21:45 - 10.04.2022 22:00","1","1","1","n/e","n/e","n/e","2352","2352","2352"
"10.04.2022 22:00 - 10.04.2022 22:15","1","1","1","n/e","n/e","n/e","2357","2357","2357"
"10.04.2022 22:15 - 10.04.2022 22:30","1","1","1","n/e","n/e","n/e","2358","2358","2358"
"10.04.2022 22:30 - 10.04.2022 22:45","1","1","1","n/e","n/e","n/e","2358","2358","2358"
"10.04.2022 22:45 - 10.04.2022 23:00","1","1","1","n/e","n/e","n/e","2359","2359","2359"
"10.04.2022 23:00 - 10.04.2022 23:15","1","1","1","n/e","n/e","n/e","2369","2375","2375"
"10.04.2022 23:15 - 10.04.2022 23:30","1","1","1","n/e","n/e","n/e","2369","2375","2375"
"10.04.2022 23:30 - 10.04.2022 23:45","1","1","1","n/e","n/e","n/e","2369","2375","2375"
"10.04.2022 23:45 - 11.04.2022 00:00","1","1","1","n/e","n/e","n/e","2369","2375","2375"
"11.04.2022 00:00 - 11.04.2022 00:15","1","1","1","n/e","n/e","n/e","2443","2459","2459"
"11.04.2022 00:15 - 11.04.2022 00:30","1","1","1","n/e","n/e","n/e","2443","2459","2459"
"11.04.2022 00:30 - 11.04.2022 00:45","1","1","1","n/e","n/e","n/e","2443","2459","2459"
"11.04.2022 00:45 - 11.04.2022 01:00","1","1","1","n/e","n/e","n/e","2443","2459","2459"
"11.04.2022 01:00 - 11.04.2022 01:15","1","1","1","n/e","n/e","n/e","2437","2438","2438"
"11.04.2022 01:15 - 11.04.2022 01:30","1","1","1","n/e","n/e","n/e","2437","2438","2438"
"11.04.2022 01:30 - 11.04.2022 01:45","1","1","1","n/e","n/e","n/e","2437","2438","2438"
"11.04.2022 01:45 - 11.04.2022 02:00","1","1","1","n/e","n/e","n/e","2437","2438","2438"
"11.04.2022 02:00 - 11.04.2022 02:15","1","1","1","n/e","n/e","n/e","2470","2473","2473"
"11.04.2022 02:15 - 11.04.2022 02:30","1","1","1","n/e","n/e","n/e","2470","2473","2473"
"11.04.2022 02:30 - 11.04.2022 02:45","1","1","1","n/e","n/e","n/e","2471","2474","2474"
"11.04.2022 02:45 - 11.04.2022 03:00","1","1","1","n/e","n/e","n/e","2471","2474","2474"
"11.04.2022 03:00 - 11.04.2022 03:15","1","1","1","n/e","n/e","n/e","2499","2499","2499"
"11.04.2022 03:15 - 11.04.2022 03:30","1","1","1","n/e","n/e","n/e","2499","2499","2499"
"11.04.2022 03:30 - 11.04.2022 03:45","1","1","1","n/e","n/e","n/e","2499","2499","2499"
"11.04.2022 03:45 - 11.04.2022 04:00","1","1","1","n/e","n/e","n/e","2500","2500","2500"
"11.04.2022 04:00 - 11.04.2022 04:15","1","1","1","n/e","n/e","n/e","2522","2522","2522"
"11.04.2022 04:15 - 11.04.2022 04:30","1","1","1","n/e","n/e","n/e","2522","2522","2522"
"11.04.2022 04:30 - 11.04.2022 04:45","1","1","1","n/e","n/e","n/e","2523","2523","2523"
"11.04.2022 04:45 - 11.04.2022 05:00","1","1","1","n/e","n/e","n/e","2523","2523","2523"
"11.04.2022 05:00 - 11.04.2022 05:15","2","2","2","n/e","n/e","n/e","2537","2540","2540"
"11.04.2022 05:15 - 11.04.2022 05:30","2","2","2","n/e","n/e","n/e","2537","2540","2540"
"11.04.2022 05:30 - 11.04.2022 05:45","2","2","2","n/e","n/e","n/e","2537","2540","2540"
"11.04.2022 05:45 - 11.04.2022 06:00","2","2","2","n/e","n/e","n/e","2537","2561","2561"
"11.04.2022 06:00 - 11.04.2022 06:15","20","20","20","n/e","n/e","n/e","2551","2590","2590"
"11.04.2022 06:15 - 11.04.2022 06:30","23","23","23","n/e","n/e","n/e","2551","2590","2590"
"11.04.2022 06:30 - 11.04.2022 06:45","27","27","27","n/e","n/e","n/e","2550","2590","2590"
"11.04.2022 06:45 - 11.04.2022 07:00","32","32","32","n/e","n/e","n/e","2550","2590","2590"
"11.04.2022 07:00 - 11.04.2022 07:15","124","124","124","n/e","n/e","n/e","2524","2526","2526"
"11.04.2022 07:15 - 11.04.2022 07:30","135","135","135","n/e","n/e","n/e","2524","2526","2526"
"11.04.2022 07:30 - 11.04.2022 07:45","146","146","146","n/e","n/e","n/e","2524","2526","2526"
"11.04.2022 07:45 - 11.04.2022 08:00","157","157","157","n/e","n/e","n/e","2524","2526","2526"
"11.04.2022 08:00 - 11.04.2022 08:15","310","310","310","n/e","n/e","n/e","2531","2534","2534"
"11.04.2022 08:15 - 11.04.2022 08:30","324","324","324","n/e","n/e","n/e","2531","2534","2534"
"11.04.2022 08:30 - 11.04.2022 08:45","336","336","336","n/e","n/e","n/e","2531","2534","2534"
"11.04.2022 08:45 - 11.04.2022 09:00","348","348","348","n/e","n/e","n/e","2531","2534","2534"
"11.04.2022 09:00 - 11.04.2022 09:15","483","483","483","n/e","n/e","n/e","2564","2564","2564"
"11.04.2022 09:15 - 11.04.2022 09:30","493","493","493","n/e","n/e","n/e","2564","2564","2564"
"11.04.2022 09:30 - 11.04.2022 09:45","502","502","502","n/e","n/e","n/e","2564","2564","2564"
"11.04.2022 09:45 - 11.04.2022 10:00","510","510","510","n/e","n/e","n/e","2564","2564","2564"
"11.04.2022 10:00 - 11.04.2022 10:15","579","579","579","n/e","n/e","n/e","2557","2557","2557"
"11.04.2022 10:15 - 11.04.2022 10:30","585","585","585","n/e","n/e","n/e","2557","2557","2557"
"11.04.2022 10:30 - 11.04.2022 10:45","588","588","588","n/e","n/e","n/e","2557","2557","2557"
"11.04.2022 10:45 - 11.04.2022 11:00","591","591","591","n/e","n/e","n/e","2557","2557","2557"
"11.04.2022 11:00 - 11.04.2022 11:15","640","640","640","n/e","n/e","n/e","2540","2540","2540"
"11.04.2022 11:15 - 11.04.2022 11:30","641","641","641","n/e","n/e","n/e","2540","2540","2540"
"11.04.2022 11:30 - 11.04.2022 11:45","644","644","644","n/e","n/e","n/e","2540","2540","2540"
"11.04.2022 11:45 - 11.04.2022 12:00","644","644","644","n/e","n/e","n/e","2540","2540","2540"
"11.04.2022 12:00 - 11.04.2022 12:15","661","661","661","n/e","n/e","n/e","2537","2537","2537"
"11.04.2022 12:15 - 11.04.2022 12:30","660","660","660","n/e","n/e","n/e","2537","2537","2537"
"11.04.2022 12:30 - 11.04.2022 12:45","660","660","660","n/e","n/e","n/e","2537","2537","2537"
"11.04.2022 12:45 - 11.04.2022 13:00","661","660","660","n/e","n/e","n/e","2537","2537","2537"
"11.04.2022 13:00 - 11.04.2022 13:15","645","645","645","n/e","n/e","n/e","2537","2537","2537"
"11.04.2022 13:15 - 11.04.2022 13:30","643","643","643","n/e","n/e","n/e","2537","2537","2537"
"11.04.2022 13:30 - 11.04.2022 13:45","640","640","640","n/e","n/e","n/e","2537","2537","2537"
"11.04.2022 13:45 - 11.04.2022 14:00","636","636","636","n/e","n/e","n/e","2537","2537","2537"
"11.04.2022 14:00 - 11.04.2022 14:15","605","605","605","n/e","n/e","n/e","2535","2535","2535"
"11.04.2022 14:15 - 11.04.2022 14:30","602","602","602","n/e","n/e","n/e","2535","2535","2535"
"11.04.2022 14:30 - 11.04.2022 14:45","595","595","595","n/e","n/e","n/e","2535","2535","2535"
"11.04.2022 14:45 - 11.04.2022 15:00","588","588","588","n/e","n/e","n/e","2535","2535","2535"
"11.04.2022 15:00 - 11.04.2022 15:15","505","505","505","n/e","n/e","n/e","2532","2532","2532"
"11.04.2022 15:15 - 11.04.2022 15:30","493","493","493","n/e","n/e","n/e","2532","2532","2532"
"11.04.2022 15:30 - 11.04.2022 15:45","482","482","482","n/e","n/e","n/e","2531","2531","2531"
"11.04.2022 15:45 - 11.04.2022 16:00","473","473","473","n/e","n/e","n/e","2531","2531","2531"
"11.04.2022 16:00 - 11.04.2022 16:15","356","356","356","n/e","n/e","n/e","2457","2457","2457"
"11.04.2022 16:15 - 11.04.2022 16:30","344","344","344","n/e","n/e","n/e","2457","2457","2457"
"11.04.2022 16:30 - 11.04.2022 16:45","330","330","330","n/e","n/e","n/e","2457","2457","2457"
"11.04.2022 16:45 - 11.04.2022 17:00","317","317","317","n/e","n/e","n/e","2457","2457","2457"
"11.04.2022 17:00 - 11.04.2022 17:15","165","165","165","n/e","n/e","n/e","2274","2274","2274"
"11.04.2022 17:15 - 11.04.2022 17:30","149","149","149","n/e","n/e","n/e","2272","2272","2272"
"11.04.2022 17:30 - 11.04.2022 17:45","140","140","140","n/e","n/e","n/e","2271","2271","2271"
"11.04.2022 17:45 - 11.04.2022 18:00","132","132","132","n/e","n/e","n/e","2269","2269","2269"
"11.04.2022 18:00 - 11.04.2022 18:15","29","29","29","n/e","n/e","n/e","2055","2055","2055"
"11.04.2022 18:15 - 11.04.2022 18:30","25","25","25","n/e","n/e","n/e","2053","2053","2053"
"11.04.2022 18:30 - 11.04.2022 18:45","22","22","22","n/e","n/e","n/e","2051","2051","2051"
"11.04.2022 18:45 - 11.04.2022 19:00","20","20","20","n/e","n/e","n/e","2048","2048","2048"
"11.04.2022 19:00 - 11.04.2022 19:15","3","3","3","n/e","n/e","n/e","1782","1782","1782"
"11.04.2022 19:15 - 11.04.2022 19:30","3","3","3","n/e","n/e","n/e","1780","1780","1780"
"11.04.2022 19:30 - 11.04.2022 19:45","3","3","3","n/e","n/e","n/e","1778","1778","1778"
"11.04.2022 19:45 - 11.04.2022 20:00","3","3","3","n/e","n/e","n/e","1776","1776","1776"
"11.04.2022 20:00 - 11.04.2022 20:15","2","2","2","n/e","n/e","n/e","1662","1662","1662"
"11.04.2022 20:15 - 11.04.2022 20:30","2","2","2","n/e","n/e","n/e","1661","1661","1661"
"11.04.2022 20:30 - 11.04.2022 20:45","2","2","2","n/e","n/e","n/e","1660","1660","1660"
"11.04.2022 20:45 - 11.04.2022 21:00","2","2","2","n/e","n/e","n/e","1659","1659","1659"
"11.04.2022 21:00 - 11.04.2022 21:15","2","2","2","n/e","n/e","n/e","1679","1679","1679"
"11.04.2022 21:15 - 11.04.2022 21:30","2","2","2","n/e","n/e","n/e","1679","1679","1679"
"11.04.2022 21:30 - 11.04.2022 21:45","2","2","2","n/e","n/e","n/e","1679","1679","1679"
"11.04.2022 21:45 - 11.04.2022 22:00","2","2","2","n/e","n/e","n/e","1679","1679","1679"
"11.04.2022 22:00 - 11.04.2022 22:15","1","1","1","n/e","n/e","n/e","1692","1692","1692"
"11.04.2022 22:15 - 11.04.2022 22:30","1","1","1","n/e","n/e","n/e","1693","1693","1693"
"11.04.2022 22:30 - 11.04.2022 22:45","1","1","1","n/e","n/e","n/e","1693","1693","1693"
"11.04.2022 22:45 - 11.04.2022 23:00","1","1","1","n/e","n/e","n/e","1694","1694","1694"
"11.04.2022 23:00 - 11.04.2022 23:15","1","1","1","n/e","n/e","n/e","1735","1763","1763"
"11.04.2022 23:15 - 11.04.2022 23:30","1","1","1","n/e","n/e","n/e","1736","1763","1763"
"11.04.2022 23:30 - 11.04.2022 23:45","1","1","1","n/e","n/e","n/e","1736","1763","1763"
"11.04.2022 23:45 - 12.04.2022 00:00","1","1","1","n/e","n/e","n/e","1736","1764","1764"
"12.04.2022 00:00 - 12.04.2022 00:15","1","1","1","n/e","n/e","n/e","1776","1804","1804"
"12.04.2022 00:15 - 12.04.2022 00:30","1","1","1","n/e","n/e","n/e","1776","1815","1815"
"12.04.2022 00:30 - 12.04.2022 00:45","1","1","1","n/e","n/e","n/e","1776","1802","1802"
"12.04.2022 00:45 - 12.04.2022 01:00","1","1","1","n/e","n/e","n/e","1777","1812","1812"
"12.04.2022 01:00 - 12.04.2022 01:15","1","1","1","n/e","n/e","n/e","1774","1801","1801"
"12.04.2022 01:15 - 12.04.2022 01:30","1","1","1","n/e","n/e","n/e","1773","1800","1800"
"12.04.2022 01:30 - 12.04.2022 01:45","1","1","1","n/e","n/e","n/e","1773","1799","1799"
"12.04.2022 01:45 - 12.04.2022 02:00","1","1","1","n/e","n/e","n/e","1773","1797","1797"
"12.04.2022 02:00 - 12.04.2022 02:15","1","1","1","n/e","n/e","n/e","1748","1774","1774"
"12.04.2022 02:15 - 12.04.2022 02:30","1","1","1","n/e","n/e","n/e","1748","1764","1764"
"12.04.2022 02:30 - 12.04.2022 02:45","1","1","1","n/e","n/e","n/e","1748","1764","1764"
"12.04.2022 02:45 - 12.04.2022 03:00","1","1","1","n/e","n/e","n/e","1747","1766","1766"
"12.04.2022 03:00 - 12.04.2022 03:15","1","1","1","n/e","n/e","n/e","1690","1704","1704"
"12.04.2022 03:15 - 12.04.2022 03:30","1","1","1","n/e","n/e","n/e","1689","1703","1703"
"12.04.2022 03:30 - 12.04.2022 03:45","1","1","1","n/e","n/e","n/e","1688","1702","1702"
"12.04.2022 03:45 - 12.04.2022 04:00","1","1","1","n/e","n/e","n/e","1687","1703","1703"
"12.04.2022 04:00 - 12.04.2022 04:15","1","1","1","n/e","n/e","n/e","1602","1616","1616"
"12.04.2022 04:15 - 12.04.2022 04:30","1","1","1","n/e","n/e","n/e","1600","1619","1619"
"12.04.2022 04:30 - 12.04.2022 04:45","1","1","1","n/e","n/e","n/e","1599","1626","1626"
"12.04.2022 04:45 - 12.04.2022 05:00","1","1","1","n/e","n/e","n/e","1598","1642","1642"
"12.04.2022 05:00 - 12.04.2022 05:15","2","2","2","n/e","n/e","n/e","1499","1620","1620"
"12.04.2022 05:15 - 12.04.2022 05:30","2","2","2","n/e","n/e","n/e","1498","1619","1619"
"12.04.2022 05:30 - 12.04.2022 05:45","2","2","2","n/e","n/e","n/e","1497","1616","1616"
"12.04.2022 05:45 - 12.04.2022 06:00","2","2","2","n/e","n/e","n/e","1496","1613","1613"
"12.04.2022 06:00 - 12.04.2022 06:15","40","40","40","n/e","n/e","n/e","1369","1460","1460"
"12.04.2022 06:15 - 12.04.2022 06:30","46","45","45","n/e","n/e","n/e","1367","1458","1458"
"12.04.2022 06:30 - 12.04.2022 06:45","53","53","53","n/e","n/e","n/e","1365","1456","1456"
"12.04.2022 06:45 - 12.04.2022 07:00","63","64","64","n/e","n/e","n/e","1363","1454","1454"
"12.04.2022 07:00 - 12.04.2022 07:15","220","219","219","n/e","n/e","n/e","1158","1162","1162"
"12.04.2022 07:15 - 12.04.2022 07:30","234","234","234","n/e","n/e","n/e","1156","1160","1160"
"12.04.2022 07:30 - 12.04.2022 07:45","251","252","252","n/e","n/e","n/e","1153","1157","1157"
"12.04.2022 07:45 - 12.04.2022 08:00","267","268","268","n/e","n/e","n/e","1151","1155","1155"
"12.04.2022 08:00 - 12.04.2022 08:15","472","473","473","n/e","n/e","n/e","1141","1143","1143"
"12.04.2022 08:15 - 12.04.2022 08:30","491","492","492","n/e","n/e","n/e","1144","1146","1146"
"12.04.2022 08:30 - 12.04.2022 08:45","507","509","509","n/e","n/e","n/e","1147","1149","1149"
"12.04.2022 08:45 - 12.04.2022 09:00","522","524","524","n/e","n/e","n/e","1150","1152","1152"
"12.04.2022 09:00 - 12.04.2022 09:15","689","691","691","n/e","n/e","n/e","1266","1266","1266"
"12.04.2022 09:15 - 12.04.2022 09:30","702","704","704","n/e","n/e","n/e","1267","1267","1267"
"12.04.2022 09:30 - 12.04.2022 09:45","713","716","716","n/e","n/e","n/e","1268","1268","1268"
"12.04.2022 09:45 - 12.04.2022 10:00","722","724","724","n/e","n/e","n/e","1270","1270","1270"
"12.04.2022 10:00 - 12.04.2022 10:15","820","823","823","n/e","n/e","n/e","1376","1376","1376"
"12.04.2022 10:15 - 12.04.2022 10:30","826","830","830","n/e","n/e","n/e","1377","1377","1377"
"12.04.2022 10:30 - 12.04.2022 10:45","832","835","835","n/e","n/e","n/e","1378","1378","1378"
"12.04.2022 10:45 - 12.04.2022 11:00","834","838","838","n/e","n/e","n/e","1379","1379","1379"
"12.04.2022 11:00 - 12.04.2022 11:15","834","838","838","n/e","n/e","n/e","1412","1412","1412"
"12.04.2022 11:15 - 12.04.2022 11:30","835","839","839","n/e","n/e","n/e","1412","1412","1412"
"12.04.2022 11:30 - 12.04.2022 11:45","834","838","838","n/e","n/e","n/e","1412","1412","1412"
"12.04.2022 11:45 - 12.04.2022 12:00","834","838","838","n/e","n/e","n/e","1412","1412","1412"
"12.04.2022 12:00 - 12.04.2022 12:15","783","787","787","n/e","n/e","n/e","1372","1372","1372"
"12.04.2022 12:15 - 12.04.2022 12:30","783","787","787","n/e","n/e","n/e","1371","1371","1371"
"12.04.2022 12:30 - 12.04.2022 12:45","782","786","786","n/e","n/e","n/e","1370","1370","1370"
"12.04.2022 12:45 - 12.04.2022 13:00","780","784","784","n/e","n/e","n/e","1369","1369","1369"
