"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Greece (GR)","Generation - Solar  [MW] Intraday / Greece (GR)","Generation - Solar  [MW] Current / Greece (GR)","Generation - Wind Offshore  [MW] Day Ahead/ Greece (GR)","Generation - Wind Offshore  [MW] Intraday / Greece (GR)","Generation - Wind Offshore  [MW] Current / Greece (GR)","Generation - Wind Onshore  [MW] Day Ahead/ Greece (GR)","Generation - Wind Onshore  [MW] Intraday / Greece (GR)","Generation - Wind Onshore  [MW] Current / Greece (GR)"
"01.04.2022 22:00 - 01.04.2022 23:00","0","0","n/e","n/e","n/e","n/e","2314","2318","n/e"
"01.04.2022 23:00 - 02.04.2022 00:00","0","0","n/e","n/e","n/e","n/e","2312","2312","n/e"
"02.04.2022 00:00 - 02.04.2022 01:00","0","0","n/e","n/e","n/e","n/e","2336","2336","n/e"
"02.04.2022 01:00 - 02.04.2022 02:00","0","0","n/e","n/e","n/e","n/e","2320","2320","n/e"
"02.04.2022 02:00 - 02.04.2022 03:00","0","0","n/e","n/e","n/e","n/e","2273","2273","n/e"
"02.04.2022 03:00 - 02.04.2022 04:00","0","0","n/e","n/e","n/e","n/e","2205","2205","n/e"
"02.04.2022 04:00 - 02.04.2022 05:00","0","0","n/e","n/e","n/e","n/e","2126","2126","n/e"
"02.04.2022 05:00 - 02.04.2022 06:00","0","0","n/e","n/e","n/e","n/e","2035","2035","n/e"
"02.04.2022 06:00 - 02.04.2022 07:00","64","64","n/e","n/e","n/e","n/e","1981","1981","n/e"
"02.04.2022 07:00 - 02.04.2022 08:00","439","439","n/e","n/e","n/e","n/e","1943","1943","n/e"
"02.04.2022 08:00 - 02.04.2022 09:00","1081","1081","n/e","n/e","n/e","n/e","1943","1943","n/e"
"02.04.2022 09:00 - 02.04.2022 10:00","1653","1653","n/e","n/e","n/e","n/e","2027","2027","n/e"
"02.04.2022 10:00 - 02.04.2022 11:00","2032","2139","n/e","n/e","n/e","n/e","2168","2126","n/e"
"02.04.2022 11:00 - 02.04.2022 12:00","2222","2326","n/e","n/e","n/e","n/e","2289","2280","n/e"
"02.04.2022 12:00 - 02.04.2022 13:00","2255","2352","n/e","n/e","n/e","n/e","2361","2362","n/e"
"02.04.2022 13:00 - 02.04.2022 14:00","2143","2226","n/e","n/e","n/e","n/e","2403","2391","n/e"
"02.04.2022 14:00 - 02.04.2022 15:00","1894","1967","n/e","n/e","n/e","n/e","2425","2403","n/e"
"02.04.2022 15:00 - 02.04.2022 16:00","1511","1576","n/e","n/e","n/e","n/e","2437","2411","n/e"
"02.04.2022 16:00 - 02.04.2022 17:00","1005","1046","n/e","n/e","n/e","n/e","2412","2400","n/e"
"02.04.2022 17:00 - 02.04.2022 18:00","435","449","n/e","n/e","n/e","n/e","2374","2353","n/e"
"02.04.2022 18:00 - 02.04.2022 19:00","75","76","n/e","n/e","n/e","n/e","2323","2296","n/e"
"02.04.2022 19:00 - 02.04.2022 20:00","0","0","n/e","n/e","n/e","n/e","2261","2247","n/e"
"02.04.2022 20:00 - 02.04.2022 21:00","0","0","n/e","n/e","n/e","n/e","2203","2208","n/e"
"02.04.2022 21:00 - 02.04.2022 22:00","0","0","n/e","n/e","n/e","n/e","2164","2169","n/e"
"02.04.2022 22:00 - 02.04.2022 23:00","0","0","n/e","n/e","n/e","n/e","2122","2137","n/e"
"02.04.2022 23:00 - 03.04.2022 00:00","0","0","n/e","n/e","n/e","n/e","2114","2114","n/e"
"03.04.2022 00:00 - 03.04.2022 01:00","0","0","n/e","n/e","n/e","n/e","2084","2084","n/e"
"03.04.2022 01:00 - 03.04.2022 02:00","0","0","n/e","n/e","n/e","n/e","2058","2058","n/e"
"03.04.2022 02:00 - 03.04.2022 03:00","0","0","n/e","n/e","n/e","n/e","2020","2020","n/e"
"03.04.2022 03:00 - 03.04.2022 04:00","0","0","n/e","n/e","n/e","n/e","1967","1967","n/e"
"03.04.2022 04:00 - 03.04.2022 05:00","0","0","n/e","n/e","n/e","n/e","1895","1895","n/e"
"03.04.2022 05:00 - 03.04.2022 06:00","0","0","n/e","n/e","n/e","n/e","1849","1849","n/e"
"03.04.2022 06:00 - 03.04.2022 07:00","71","71","n/e","n/e","n/e","n/e","1815","1815","n/e"
"03.04.2022 07:00 - 03.04.2022 08:00","486","486","n/e","n/e","n/e","n/e","1782","1782","n/e"
"03.04.2022 08:00 - 03.04.2022 09:00","1185","1185","n/e","n/e","n/e","n/e","1780","1780","n/e"
"03.04.2022 09:00 - 03.04.2022 10:00","1813","1813","n/e","n/e","n/e","n/e","1840","1840","n/e"
"03.04.2022 10:00 - 03.04.2022 11:00","2238","2238","n/e","n/e","n/e","n/e","1900","1900","n/e"
"03.04.2022 11:00 - 03.04.2022 12:00","2461","2461","n/e","n/e","n/e","n/e","1935","1935","n/e"
"03.04.2022 12:00 - 03.04.2022 13:00","2516","2509","n/e","n/e","n/e","n/e","1969","1961","n/e"
"03.04.2022 13:00 - 03.04.2022 14:00","2409","2382","n/e","n/e","n/e","n/e","1995","2011","n/e"
"03.04.2022 14:00 - 03.04.2022 15:00","2127","2086","n/e","n/e","n/e","n/e","1998","2028","n/e"
"03.04.2022 15:00 - 03.04.2022 16:00","1690","1643","n/e","n/e","n/e","n/e","1969","2004","n/e"
"03.04.2022 16:00 - 03.04.2022 17:00","1120","1074","n/e","n/e","n/e","n/e","1893","1927","n/e"
"03.04.2022 17:00 - 03.04.2022 18:00","493","461","n/e","n/e","n/e","n/e","1742","1790","n/e"
"03.04.2022 18:00 - 03.04.2022 19:00","88","81","n/e","n/e","n/e","n/e","1582","1612","n/e"
"03.04.2022 19:00 - 03.04.2022 20:00","0","0","n/e","n/e","n/e","n/e","1425","1425","n/e"
"03.04.2022 20:00 - 03.04.2022 21:00","0","0","n/e","n/e","n/e","n/e","1266","1281","n/e"
"03.04.2022 21:00 - 03.04.2022 22:00","0","0","n/e","n/e","n/e","n/e","1117","1169","n/e"
"03.04.2022 22:00 - 03.04.2022 23:00","0","0","n/e","n/e","n/e","n/e","992","1050","n/e"
"03.04.2022 23:00 - 04.04.2022 00:00","0","0","n/e","n/e","n/e","n/e","913","913","n/e"
"04.04.2022 00:00 - 04.04.2022 01:00","0","0","n/e","n/e","n/e","n/e","836","836","n/e"
"04.04.2022 01:00 - 04.04.2022 02:00","0","0","n/e","n/e","n/e","n/e","727","727","n/e"
"04.04.2022 02:00 - 04.04.2022 03:00","0","0","n/e","n/e","n/e","n/e","650","650","n/e"
"04.04.2022 03:00 - 04.04.2022 04:00","0","0","n/e","n/e","n/e","n/e","577","577","n/e"
"04.04.2022 04:00 - 04.04.2022 05:00","0","0","n/e","n/e","n/e","n/e","512","512","n/e"
"04.04.2022 05:00 - 04.04.2022 06:00","0","0","n/e","n/e","n/e","n/e","452","452","n/e"
"04.04.2022 06:00 - 04.04.2022 07:00","56","56","n/e","n/e","n/e","n/e","402","402","n/e"
"04.04.2022 07:00 - 04.04.2022 08:00","331","331","n/e","n/e","n/e","n/e","353","353","n/e"
"04.04.2022 08:00 - 04.04.2022 09:00","790","790","n/e","n/e","n/e","n/e","331","331","n/e"
"04.04.2022 09:00 - 04.04.2022 10:00","1222","1222","n/e","n/e","n/e","n/e","303","303","n/e"
"04.04.2022 10:00 - 04.04.2022 11:00","1532","1532","n/e","n/e","n/e","n/e","297","297","n/e"
"04.04.2022 11:00 - 04.04.2022 12:00","1684","1684","n/e","n/e","n/e","n/e","329","329","n/e"
"04.04.2022 12:00 - 04.04.2022 13:00","1696","1640","n/e","n/e","n/e","n/e","387","341","n/e"
"04.04.2022 13:00 - 04.04.2022 14:00","1576","1534","n/e","n/e","n/e","n/e","425","404","n/e"
"04.04.2022 14:00 - 04.04.2022 15:00","1343","1303","n/e","n/e","n/e","n/e","450","437","n/e"
"04.04.2022 15:00 - 04.04.2022 16:00","1025","975","n/e","n/e","n/e","n/e","476","461","n/e"
"04.04.2022 16:00 - 04.04.2022 17:00","654","603","n/e","n/e","n/e","n/e","494","474","n/e"
"04.04.2022 17:00 - 04.04.2022 18:00","277","254","n/e","n/e","n/e","n/e","514","476","n/e"
"04.04.2022 18:00 - 04.04.2022 19:00","53","49","n/e","n/e","n/e","n/e","526","492","n/e"
"04.04.2022 19:00 - 04.04.2022 20:00","0","0","n/e","n/e","n/e","n/e","539","513","n/e"
"04.04.2022 20:00 - 04.04.2022 21:00","0","0","n/e","n/e","n/e","n/e","538","532","n/e"
"04.04.2022 21:00 - 04.04.2022 22:00","0","0","n/e","n/e","n/e","n/e","540","545","n/e"
"04.04.2022 22:00 - 04.04.2022 23:00","0","0","n/e","n/e","n/e","n/e","542","559","n/e"
"04.04.2022 23:00 - 05.04.2022 00:00","0","0","n/e","n/e","n/e","n/e","559","559","n/e"
"05.04.2022 00:00 - 05.04.2022 01:00","0","0","n/e","n/e","n/e","n/e","516","516","n/e"
"05.04.2022 01:00 - 05.04.2022 02:00","0","0","n/e","n/e","n/e","n/e","552","552","n/e"
"05.04.2022 02:00 - 05.04.2022 03:00","0","0","n/e","n/e","n/e","n/e","605","605","n/e"
"05.04.2022 03:00 - 05.04.2022 04:00","0","0","n/e","n/e","n/e","n/e","674","674","n/e"
"05.04.2022 04:00 - 05.04.2022 05:00","0","0","n/e","n/e","n/e","n/e","755","755","n/e"
"05.04.2022 05:00 - 05.04.2022 06:00","0","0","n/e","n/e","n/e","n/e","857","857","n/e"
"05.04.2022 06:00 - 05.04.2022 07:00","47","47","n/e","n/e","n/e","n/e","953","953","n/e"
"05.04.2022 07:00 - 05.04.2022 08:00","284","284","n/e","n/e","n/e","n/e","1022","1022","n/e"
"05.04.2022 08:00 - 05.04.2022 09:00","720","720","n/e","n/e","n/e","n/e","1050","1050","n/e"
"05.04.2022 09:00 - 05.04.2022 10:00","1182","1182","n/e","n/e","n/e","n/e","1031","1031","n/e"
"05.04.2022 10:00 - 05.04.2022 11:00","1562","1562","n/e","n/e","n/e","n/e","978","978","n/e"
"05.04.2022 11:00 - 05.04.2022 12:00","1807","1807","n/e","n/e","n/e","n/e","903","903","n/e"
"05.04.2022 12:00 - 05.04.2022 13:00","1919","1872","n/e","n/e","n/e","n/e","844","898","n/e"
"05.04.2022 13:00 - 05.04.2022 14:00","1882","1856","n/e","n/e","n/e","n/e","851","964","n/e"
"05.04.2022 14:00 - 05.04.2022 15:00","1692","1684","n/e","n/e","n/e","n/e","915","1027","n/e"
"05.04.2022 15:00 - 05.04.2022 16:00","1362","1367","n/e","n/e","n/e","n/e","984","1074","n/e"
"05.04.2022 16:00 - 05.04.2022 17:00","913","918","n/e","n/e","n/e","n/e","1026","1060","n/e"
"05.04.2022 17:00 - 05.04.2022 18:00","403","410","n/e","n/e","n/e","n/e","1021","975","n/e"
"05.04.2022 18:00 - 05.04.2022 19:00","74","77","n/e","n/e","n/e","n/e","995","870","n/e"
"05.04.2022 19:00 - 05.04.2022 20:00","0","0","n/e","n/e","n/e","n/e","954","777","n/e"
"05.04.2022 20:00 - 05.04.2022 21:00","0","0","n/e","n/e","n/e","n/e","891","683","n/e"
"05.04.2022 21:00 - 05.04.2022 22:00","0","0","n/e","n/e","n/e","n/e","824","588","n/e"
"05.04.2022 22:00 - 05.04.2022 23:00","0","0","n/e","n/e","n/e","n/e","756","519","n/e"
"05.04.2022 23:00 - 06.04.2022 00:00","0","0","n/e","n/e","n/e","n/e","478","478","n/e"
"06.04.2022 00:00 - 06.04.2022 01:00","0","0","n/e","n/e","n/e","n/e","433","433","n/e"
"06.04.2022 01:00 - 06.04.2022 02:00","0","0","n/e","n/e","n/e","n/e","413","413","n/e"
"06.04.2022 02:00 - 06.04.2022 03:00","0","0","n/e","n/e","n/e","n/e","394","394","n/e"
"06.04.2022 03:00 - 06.04.2022 04:00","0","0","n/e","n/e","n/e","n/e","382","382","n/e"
"06.04.2022 04:00 - 06.04.2022 05:00","0","0","n/e","n/e","n/e","n/e","362","362","n/e"
"06.04.2022 05:00 - 06.04.2022 06:00","0","0","n/e","n/e","n/e","n/e","335","335","n/e"
"06.04.2022 06:00 - 06.04.2022 07:00","78","78","n/e","n/e","n/e","n/e","312","312","n/e"
"06.04.2022 07:00 - 06.04.2022 08:00","479","479","n/e","n/e","n/e","n/e","296","296","n/e"
"06.04.2022 08:00 - 06.04.2022 09:00","1170","1170","n/e","n/e","n/e","n/e","274","274","n/e"
"06.04.2022 09:00 - 06.04.2022 10:00","1816","1816","n/e","n/e","n/e","n/e","255","255","n/e"
"06.04.2022 10:00 - 06.04.2022 11:00","2261","2261","n/e","n/e","n/e","n/e","257","257","n/e"
"06.04.2022 11:00 - 06.04.2022 12:00","2503","2503","n/e","n/e","n/e","n/e","278","278","n/e"
"06.04.2022 12:00 - 06.04.2022 13:00","2569","2653","n/e","n/e","n/e","n/e","302","237","n/e"
"06.04.2022 13:00 - 06.04.2022 14:00","2460","2547","n/e","n/e","n/e","n/e","342","310","n/e"
"06.04.2022 14:00 - 06.04.2022 15:00","2176","2260","n/e","n/e","n/e","n/e","396","354","n/e"
"06.04.2022 15:00 - 06.04.2022 16:00","1729","1795","n/e","n/e","n/e","n/e","440","382","n/e"
"06.04.2022 16:00 - 06.04.2022 17:00","1140","1176","n/e","n/e","n/e","n/e","468","369","n/e"
"06.04.2022 17:00 - 06.04.2022 18:00","490","505","n/e","n/e","n/e","n/e","470","359","n/e"
"06.04.2022 18:00 - 06.04.2022 19:00","87","88","n/e","n/e","n/e","n/e","502","392","n/e"
"06.04.2022 19:00 - 06.04.2022 20:00","0","0","n/e","n/e","n/e","n/e","578","454","n/e"
"06.04.2022 20:00 - 06.04.2022 21:00","0","0","n/e","n/e","n/e","n/e","644","532","n/e"
"06.04.2022 21:00 - 06.04.2022 22:00","0","0","n/e","n/e","n/e","n/e","708","616","n/e"
"06.04.2022 22:00 - 06.04.2022 23:00","0","0","n/e","n/e","n/e","n/e","796","686","n/e"
"06.04.2022 23:00 - 07.04.2022 00:00","0","0","n/e","n/e","n/e","n/e","769","769","n/e"
"07.04.2022 00:00 - 07.04.2022 01:00","0","0","n/e","n/e","n/e","n/e","894","894","n/e"
"07.04.2022 01:00 - 07.04.2022 02:00","0","0","n/e","n/e","n/e","n/e","1009","1009","n/e"
"07.04.2022 02:00 - 07.04.2022 03:00","0","0","n/e","n/e","n/e","n/e","1068","1068","n/e"
"07.04.2022 03:00 - 07.04.2022 04:00","0","0","n/e","n/e","n/e","n/e","1104","1104","n/e"
"07.04.2022 04:00 - 07.04.2022 05:00","0","0","n/e","n/e","n/e","n/e","1189","1189","n/e"
"07.04.2022 05:00 - 07.04.2022 06:00","0","0","n/e","n/e","n/e","n/e","1300","1300","n/e"
"07.04.2022 06:00 - 07.04.2022 07:00","62","62","n/e","n/e","n/e","n/e","1431","1431","n/e"
"07.04.2022 07:00 - 07.04.2022 08:00","351","351","n/e","n/e","n/e","n/e","1557","1557","n/e"
"07.04.2022 08:00 - 07.04.2022 09:00","830","830","n/e","n/e","n/e","n/e","1661","1661","n/e"
"07.04.2022 09:00 - 07.04.2022 10:00","1258","1258","n/e","n/e","n/e","n/e","1808","1808","n/e"
"07.04.2022 10:00 - 07.04.2022 11:00","1548","1548","n/e","n/e","n/e","n/e","1987","1987","n/e"
"07.04.2022 11:00 - 07.04.2022 12:00","1725","1725","n/e","n/e","n/e","n/e","2169","2169","n/e"
"07.04.2022 12:00 - 07.04.2022 13:00","1841","1865","n/e","n/e","n/e","n/e","2300","2354","n/e"
"07.04.2022 13:00 - 07.04.2022 14:00","1869","1919","n/e","n/e","n/e","n/e","2348","2372","n/e"
"07.04.2022 14:00 - 07.04.2022 15:00","1757","1816","n/e","n/e","n/e","n/e","2353","2344","n/e"
"07.04.2022 15:00 - 07.04.2022 16:00","1474","1515","n/e","n/e","n/e","n/e","2303","2329","n/e"
"07.04.2022 16:00 - 07.04.2022 17:00","1020","1033","n/e","n/e","n/e","n/e","2227","2273","n/e"
"07.04.2022 17:00 - 07.04.2022 18:00","457","459","n/e","n/e","n/e","n/e","2143","2198","n/e"
"07.04.2022 18:00 - 07.04.2022 19:00","85","84","n/e","n/e","n/e","n/e","2066","2121","n/e"
"07.04.2022 19:00 - 07.04.2022 20:00","0","0","n/e","n/e","n/e","n/e","1984","2038","n/e"
"07.04.2022 20:00 - 07.04.2022 21:00","0","0","n/e","n/e","n/e","n/e","1905","1936","n/e"
"07.04.2022 21:00 - 07.04.2022 22:00","0","0","n/e","n/e","n/e","n/e","1848","1866","n/e"
"07.04.2022 22:00 - 07.04.2022 23:00","0","0","n/e","n/e","n/e","n/e","1806","1841","n/e"
"07.04.2022 23:00 - 08.04.2022 00:00","0","0","n/e","n/e","n/e","n/e","1823","1823","n/e"
"08.04.2022 00:00 - 08.04.2022 01:00","0","0","n/e","n/e","n/e","n/e","1790","1790","n/e"
"08.04.2022 01:00 - 08.04.2022 02:00","0","0","n/e","n/e","n/e","n/e","1732","1732","n/e"
"08.04.2022 02:00 - 08.04.2022 03:00","0","0","n/e","n/e","n/e","n/e","1663","1663","n/e"
"08.04.2022 03:00 - 08.04.2022 04:00","0","0","n/e","n/e","n/e","n/e","1589","1589","n/e"
"08.04.2022 04:00 - 08.04.2022 05:00","0","0","n/e","n/e","n/e","n/e","1520","1520","n/e"
"08.04.2022 05:00 - 08.04.2022 06:00","0","0","n/e","n/e","n/e","n/e","1452","1452","n/e"
"08.04.2022 06:00 - 08.04.2022 07:00","82","82","n/e","n/e","n/e","n/e","1347","1347","n/e"
"08.04.2022 07:00 - 08.04.2022 08:00","571","571","n/e","n/e","n/e","n/e","1206","1206","n/e"
"08.04.2022 08:00 - 08.04.2022 09:00","1334","1334","n/e","n/e","n/e","n/e","1047","1047","n/e"
"08.04.2022 09:00 - 08.04.2022 10:00","1995","1995","n/e","n/e","n/e","n/e","925","925","n/e"
"08.04.2022 10:00 - 08.04.2022 11:00","2462","2462","n/e","n/e","n/e","n/e","862","862","n/e"
"08.04.2022 11:00 - 08.04.2022 12:00","2722","2722","n/e","n/e","n/e","n/e","855","855","n/e"
"08.04.2022 12:00 - 08.04.2022 13:00","2799","2773","n/e","n/e","n/e","n/e","902","904","n/e"
"08.04.2022 13:00 - 08.04.2022 14:00","2718","2694","n/e","n/e","n/e","n/e","983","974","n/e"
"08.04.2022 14:00 - 08.04.2022 15:00","2449","2428","n/e","n/e","n/e","n/e","1082","1074","n/e"
"08.04.2022 15:00 - 08.04.2022 16:00","1985","1965","n/e","n/e","n/e","n/e","1164","1177","n/e"
"08.04.2022 16:00 - 08.04.2022 17:00","1350","1320","n/e","n/e","n/e","n/e","1215","1237","n/e"
"08.04.2022 17:00 - 08.04.2022 18:00","596","581","n/e","n/e","n/e","n/e","1248","1268","n/e"
"08.04.2022 18:00 - 08.04.2022 19:00","91","100","n/e","n/e","n/e","n/e","1309","1327","n/e"
"08.04.2022 19:00 - 08.04.2022 20:00","0","0","n/e","n/e","n/e","n/e","1368","1387","n/e"
"08.04.2022 20:00 - 08.04.2022 21:00","0","0","n/e","n/e","n/e","n/e","1383","1428","n/e"
"08.04.2022 21:00 - 08.04.2022 22:00","0","0","n/e","n/e","n/e","n/e","1375","1443","n/e"
"08.04.2022 22:00 - 08.04.2022 23:00","0","0","n/e","n/e","n/e","n/e","1328","1418","n/e"
"08.04.2022 23:00 - 09.04.2022 00:00","0","0","n/e","n/e","n/e","n/e","1368","1368","n/e"
"09.04.2022 00:00 - 09.04.2022 01:00","0","0","n/e","n/e","n/e","n/e","1313","1313","n/e"
"09.04.2022 01:00 - 09.04.2022 02:00","0","0","n/e","n/e","n/e","n/e","1266","1266","n/e"
"09.04.2022 02:00 - 09.04.2022 03:00","0","0","n/e","n/e","n/e","n/e","1215","1215","n/e"
"09.04.2022 03:00 - 09.04.2022 04:00","0","0","n/e","n/e","n/e","n/e","1143","1143","n/e"
"09.04.2022 04:00 - 09.04.2022 05:00","0","0","n/e","n/e","n/e","n/e","1061","1061","n/e"
"09.04.2022 05:00 - 09.04.2022 06:00","0","0","n/e","n/e","n/e","n/e","998","998","n/e"
"09.04.2022 06:00 - 09.04.2022 07:00","95","95","n/e","n/e","n/e","n/e","955","955","n/e"
"09.04.2022 07:00 - 09.04.2022 08:00","563","563","n/e","n/e","n/e","n/e","919","919","n/e"
"09.04.2022 08:00 - 09.04.2022 09:00","1308","1308","n/e","n/e","n/e","n/e","899","899","n/e"
"09.04.2022 09:00 - 09.04.2022 10:00","1967","1967","n/e","n/e","n/e","n/e","928","928","n/e"
"09.04.2022 10:00 - 09.04.2022 11:00","2429","2429","n/e","n/e","n/e","n/e","1015","1015","n/e"
"09.04.2022 11:00 - 09.04.2022 12:00","2687","2687","n/e","n/e","n/e","n/e","1143","1143","n/e"
"09.04.2022 12:00 - 09.04.2022 13:00","2759","2773","n/e","n/e","n/e","n/e","1283","1339","n/e"
"09.04.2022 13:00 - 09.04.2022 14:00","2675","2691","n/e","n/e","n/e","n/e","1427","1503","n/e"
"09.04.2022 14:00 - 09.04.2022 15:00","2404","2420","n/e","n/e","n/e","n/e","1552","1639","n/e"
"09.04.2022 15:00 - 09.04.2022 16:00","1946","1956","n/e","n/e","n/e","n/e","1649","1747","n/e"
"09.04.2022 16:00 - 09.04.2022 17:00","1315","1315","n/e","n/e","n/e","n/e","1700","1792","n/e"
"09.04.2022 17:00 - 09.04.2022 18:00","583","582","n/e","n/e","n/e","n/e","1702","1778","n/e"
"09.04.2022 18:00 - 09.04.2022 19:00","104","102","n/e","n/e","n/e","n/e","1696","1744","n/e"
"09.04.2022 19:00 - 09.04.2022 20:00","0","0","n/e","n/e","n/e","n/e","1678","1706","n/e"
"09.04.2022 20:00 - 09.04.2022 21:00","0","0","n/e","n/e","n/e","n/e","1624","1659","n/e"
"09.04.2022 21:00 - 09.04.2022 22:00","0","0","n/e","n/e","n/e","n/e","1575","1642","n/e"
"09.04.2022 22:00 - 09.04.2022 23:00","0","0","n/e","n/e","n/e","n/e","1555","1640","n/e"
"09.04.2022 23:00 - 10.04.2022 00:00","0","0","n/e","n/e","n/e","n/e","1621","1621","n/e"
"10.04.2022 00:00 - 10.04.2022 01:00","0","0","n/e","n/e","n/e","n/e","1622","1622","n/e"
"10.04.2022 01:00 - 10.04.2022 02:00","0","0","n/e","n/e","n/e","n/e","1621","1621","n/e"
"10.04.2022 02:00 - 10.04.2022 03:00","0","0","n/e","n/e","n/e","n/e","1632","1632","n/e"
"10.04.2022 03:00 - 10.04.2022 04:00","0","0","n/e","n/e","n/e","n/e","1638","1638","n/e"
"10.04.2022 04:00 - 10.04.2022 05:00","0","0","n/e","n/e","n/e","n/e","1636","1636","n/e"
"10.04.2022 05:00 - 10.04.2022 06:00","0","0","n/e","n/e","n/e","n/e","1631","1631","n/e"
"10.04.2022 06:00 - 10.04.2022 07:00","94","94","n/e","n/e","n/e","n/e","1621","1621","n/e"
"10.04.2022 07:00 - 10.04.2022 08:00","452","452","n/e","n/e","n/e","n/e","1647","1647","n/e"
"10.04.2022 08:00 - 10.04.2022 09:00","1038","1038","n/e","n/e","n/e","n/e","1734","1734","n/e"
"10.04.2022 09:00 - 10.04.2022 10:00","1571","1571","n/e","n/e","n/e","n/e","1907","1907","n/e"
"10.04.2022 10:00 - 10.04.2022 11:00","1932","1932","n/e","n/e","n/e","n/e","2106","2106","n/e"
"10.04.2022 11:00 - 10.04.2022 12:00","2124","2124","n/e","n/e","n/e","n/e","2269","2269","n/e"
"10.04.2022 12:00 - 10.04.2022 13:00","2171","2204","n/e","n/e","n/e","n/e","2382","2397","n/e"
"10.04.2022 13:00 - 10.04.2022 14:00","2073","2114","n/e","n/e","n/e","n/e","2465","2495","n/e"
"10.04.2022 14:00 - 10.04.2022 15:00","1830","1889","n/e","n/e","n/e","n/e","2527","2530","n/e"
"10.04.2022 15:00 - 10.04.2022 16:00","1457","1512","n/e","n/e","n/e","n/e","2541","2535","n/e"
"10.04.2022 16:00 - 10.04.2022 17:00","961","998","n/e","n/e","n/e","n/e","2479","2490","n/e"
"10.04.2022 17:00 - 10.04.2022 18:00","425","444","n/e","n/e","n/e","n/e","2377","2406","n/e"
"10.04.2022 18:00 - 10.04.2022 19:00","93","85","n/e","n/e","n/e","n/e","2294","2318","n/e"
"10.04.2022 19:00 - 10.04.2022 20:00","0","0","n/e","n/e","n/e","n/e","2264","2254","n/e"
"10.04.2022 20:00 - 10.04.2022 21:00","0","0","n/e","n/e","n/e","n/e","2256","2221","n/e"
"10.04.2022 21:00 - 10.04.2022 22:00","0","0","n/e","n/e","n/e","n/e","2267","2218","n/e"
"10.04.2022 22:00 - 10.04.2022 23:00","0","0","n/e","n/e","n/e","n/e","2246","2234","n/e"
"10.04.2022 23:00 - 11.04.2022 00:00","0","0","n/e","n/e","n/e","n/e","2215","2215","n/e"
"11.04.2022 00:00 - 11.04.2022 01:00","0","0","n/e","n/e","n/e","n/e","2161","2161","n/e"
"11.04.2022 01:00 - 11.04.2022 02:00","0","0","n/e","n/e","n/e","n/e","2084","2084","n/e"
"11.04.2022 02:00 - 11.04.2022 03:00","0","0","n/e","n/e","n/e","n/e","2041","2041","n/e"
"11.04.2022 03:00 - 11.04.2022 04:00","0","0","n/e","n/e","n/e","n/e","2016","2016","n/e"
"11.04.2022 04:00 - 11.04.2022 05:00","0","0","n/e","n/e","n/e","n/e","2020","2020","n/e"
"11.04.2022 05:00 - 11.04.2022 06:00","0","0","n/e","n/e","n/e","n/e","2056","2056","n/e"
"11.04.2022 06:00 - 11.04.2022 07:00","94","94","n/e","n/e","n/e","n/e","2103","2103","n/e"
"11.04.2022 07:00 - 11.04.2022 08:00","522","522","n/e","n/e","n/e","n/e","2139","2139","n/e"
"11.04.2022 08:00 - 11.04.2022 09:00","1199","1199","n/e","n/e","n/e","n/e","2224","2224","n/e"
"11.04.2022 09:00 - 11.04.2022 10:00","1828","1828","n/e","n/e","n/e","n/e","2281","2281","n/e"
"11.04.2022 10:00 - 11.04.2022 11:00","2286","2286","n/e","n/e","n/e","n/e","2269","2269","n/e"
"11.04.2022 11:00 - 11.04.2022 12:00","2545","2545","n/e","n/e","n/e","n/e","2215","2215","n/e"
"11.04.2022 12:00 - 11.04.2022 13:00","2626","2637","n/e","n/e","n/e","n/e","2124","1967","n/e"
"11.04.2022 13:00 - 11.04.2022 14:00","2542","2547","n/e","n/e","n/e","n/e","2003","1842","n/e"
"11.04.2022 14:00 - 11.04.2022 15:00","2281","2287","n/e","n/e","n/e","n/e","1864","1704","n/e"
"11.04.2022 15:00 - 11.04.2022 16:00","1842","1853","n/e","n/e","n/e","n/e","1676","1569","n/e"
"11.04.2022 16:00 - 11.04.2022 17:00","1250","1254","n/e","n/e","n/e","n/e","1453","1392","n/e"
"11.04.2022 17:00 - 11.04.2022 18:00","566","570","n/e","n/e","n/e","n/e","1221","1166","n/e"
"11.04.2022 18:00 - 11.04.2022 19:00","108","107","n/e","n/e","n/e","n/e","1025","959","n/e"
"11.04.2022 19:00 - 11.04.2022 20:00","0","0","n/e","n/e","n/e","n/e","909","835","n/e"
"11.04.2022 20:00 - 11.04.2022 21:00","0","0","n/e","n/e","n/e","n/e","826","732","n/e"
"11.04.2022 21:00 - 11.04.2022 22:00","0","0","n/e","n/e","n/e","n/e","743","648","n/e"
"11.04.2022 22:00 - 11.04.2022 23:00","0","0","n/e","n/e","n/e","n/e","681","604","n/e"
"11.04.2022 23:00 - 12.04.2022 00:00","0","0","n/e","n/e","n/e","n/e","605","605","n/e"
"12.04.2022 00:00 - 12.04.2022 01:00","0","0","n/e","n/e","n/e","n/e","640","640","n/e"
"12.04.2022 01:00 - 12.04.2022 02:00","0","0","n/e","n/e","n/e","n/e","642","642","n/e"
"12.04.2022 02:00 - 12.04.2022 03:00","0","0","n/e","n/e","n/e","n/e","628","628","n/e"
