"Production Type","2022 [MW]"
"Biomass","1301"
"Fossil Brown coal/Lignite","n/e"
"Fossil Coal-derived gas","n/e"
"Fossil Gas","13074"
"Fossil Hard coal","1816"
"Fossil Oil","2762"
"Fossil Oil shale","n/e"
"Fossil Peat","n/e"
"Geothermal","2"
"Hydro Pumped Storage","5050"
"Hydro Run-of-river and poundage","11834"
"Hydro Water Reservoir","8785"
"Marine","243"
"Nuclear","61370"
"Other","1157"
"Other renewable","n/e"
"Solar","13154"
"Waste","947"
"Wind Offshore","20"
"Wind Onshore","19516"
"Total Grand capacity","141031"
