"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Denmark (DK)","Generation - Solar  [MW] Intraday / Denmark (DK)","Generation - Solar  [MW] Current / Denmark (DK)","Generation - Wind Offshore  [MW] Day Ahead/ Denmark (DK)","Generation - Wind Offshore  [MW] Intraday / Denmark (DK)","Generation - Wind Offshore  [MW] Current / Denmark (DK)","Generation - Wind Onshore  [MW] Day Ahead/ Denmark (DK)","Generation - Wind Onshore  [MW] Intraday / Denmark (DK)","Generation - Wind Onshore  [MW] Current / Denmark (DK)"
"04.01.2022 02:00 - 04.01.2022 03:00","0","n/e","n/e","693","n/e","n/e","1242","n/e","n/e"
"04.01.2022 03:00 - 04.01.2022 04:00","0","n/e","n/e","735","n/e","n/e","1217","n/e","n/e"
"04.01.2022 04:00 - 04.01.2022 05:00","0","n/e","n/e","734","n/e","n/e","1186","n/e","n/e"
"04.01.2022 05:00 - 04.01.2022 06:00","0","n/e","n/e","733","n/e","n/e","1153","n/e","n/e"
"04.01.2022 06:00 - 04.01.2022 07:00","0","n/e","n/e","843","n/e","n/e","1201","n/e","n/e"
"04.01.2022 07:00 - 04.01.2022 08:00","0","n/e","n/e","973","n/e","n/e","1286","n/e","n/e"
"04.01.2022 08:00 - 04.01.2022 09:00","0","n/e","n/e","1029","n/e","n/e","1393","n/e","n/e"
"04.01.2022 09:00 - 04.01.2022 10:00","22","n/e","n/e","984","n/e","n/e","1456","n/e","n/e"
"04.01.2022 10:00 - 04.01.2022 11:00","64","n/e","n/e","1002","n/e","n/e","1423","n/e","n/e"
"04.01.2022 11:00 - 04.01.2022 12:00","101","n/e","n/e","1106","n/e","n/e","1495","n/e","n/e"
"04.01.2022 12:00 - 04.01.2022 13:00","111","n/e","n/e","1116","n/e","n/e","1588","n/e","n/e"
"04.01.2022 13:00 - 04.01.2022 14:00","92","n/e","n/e","1095","n/e","n/e","1567","n/e","n/e"
"04.01.2022 14:00 - 04.01.2022 15:00","54","n/e","n/e","1133","n/e","n/e","1584","n/e","n/e"
"04.01.2022 15:00 - 04.01.2022 16:00","16","n/e","n/e","1105","n/e","n/e","1551","n/e","n/e"
"04.01.2022 16:00 - 04.01.2022 17:00","0","n/e","n/e","1103","n/e","n/e","1620","n/e","n/e"
"04.01.2022 17:00 - 04.01.2022 18:00","0","n/e","n/e","1148","n/e","n/e","1845","n/e","n/e"
