"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Poland (PL)","Generation - Solar  [MW] Intraday / Poland (PL)","Generation - Solar  [MW] Current / Poland (PL)","Generation - Wind Offshore  [MW] Day Ahead/ Poland (PL)","Generation - Wind Offshore  [MW] Intraday / Poland (PL)","Generation - Wind Offshore  [MW] Current / Poland (PL)","Generation - Wind Onshore  [MW] Day Ahead/ Poland (PL)","Generation - Wind Onshore  [MW] Intraday / Poland (PL)","Generation - Wind Onshore  [MW] Current / Poland (PL)"
"01.01.2022 00:00 - 01.01.2022 01:00","0","0","0","n/e","n/e","n/e","4006","3889","3889"
"01.01.2022 01:00 - 01.01.2022 02:00","0","0","0","n/e","n/e","n/e","3905","3890","3890"
"01.01.2022 02:00 - 01.01.2022 03:00","0","0","0","n/e","n/e","n/e","3870","3955","3955"
"01.01.2022 03:00 - 01.01.2022 04:00","0","0","0","n/e","n/e","n/e","3864","3920","3920"
"01.01.2022 04:00 - 01.01.2022 05:00","0","0","0","n/e","n/e","n/e","3814","3938","3938"
"01.01.2022 05:00 - 01.01.2022 06:00","0","0","0","n/e","n/e","n/e","3719","3910","3910"
"01.01.2022 06:00 - 01.01.2022 07:00","0","0","0","n/e","n/e","n/e","3637","3715","3715"
"01.01.2022 07:00 - 01.01.2022 08:00","0","0","0","n/e","n/e","n/e","3577","3579","3581"
"01.01.2022 08:00 - 01.01.2022 09:00","42","41","42","n/e","n/e","n/e","3509","3509","3575"
"01.01.2022 09:00 - 01.01.2022 10:00","163","163","160","n/e","n/e","n/e","3375","3225","3804"
"01.01.2022 10:00 - 01.01.2022 11:00","290","284","264","n/e","n/e","n/e","3192","3110","3674"
"01.01.2022 11:00 - 01.01.2022 12:00","349","337","305","n/e","n/e","n/e","3014","2950","3332"
"01.01.2022 12:00 - 01.01.2022 13:00","327","314","285","n/e","n/e","n/e","2769","2721","3008"
"01.01.2022 13:00 - 01.01.2022 14:00","241","231","218","n/e","n/e","n/e","2401","2405","2640"
"01.01.2022 14:00 - 01.01.2022 15:00","114","108","105","n/e","n/e","n/e","1973","2045","2233"
"01.01.2022 15:00 - 01.01.2022 16:00","18","16","20","n/e","n/e","n/e","1574","1682","1920"
"01.01.2022 16:00 - 01.01.2022 17:00","0","0","0","n/e","n/e","n/e","1236","1321","1585"
"01.01.2022 17:00 - 01.01.2022 18:00","0","0","0","n/e","n/e","n/e","957","1004","1078"
"01.01.2022 18:00 - 01.01.2022 19:00","0","0","0","n/e","n/e","n/e","757","784","820"
"01.01.2022 19:00 - 01.01.2022 20:00","0","0","0","n/e","n/e","n/e","662","697","705"
"01.01.2022 20:00 - 01.01.2022 21:00","0","0","0","n/e","n/e","n/e","646","711","660"
"01.01.2022 21:00 - 01.01.2022 22:00","0","0","0","n/e","n/e","n/e","684","765","731"
"01.01.2022 22:00 - 01.01.2022 23:00","0","0","0","n/e","n/e","n/e","807","875","826"
"01.01.2022 23:00 - 02.01.2022 00:00","0","0","0","n/e","n/e","n/e","1001","1069","958"
"02.01.2022 00:00 - 02.01.2022 01:00","0","0","0","n/e","n/e","n/e","1325","1278","1278"
"02.01.2022 01:00 - 02.01.2022 02:00","0","0","0","n/e","n/e","n/e","1680","1715","1715"
"02.01.2022 02:00 - 02.01.2022 03:00","0","0","0","n/e","n/e","n/e","2073","2078","2078"
"02.01.2022 03:00 - 02.01.2022 04:00","0","0","0","n/e","n/e","n/e","2423","2364","2364"
"02.01.2022 04:00 - 02.01.2022 05:00","0","0","0","n/e","n/e","n/e","2745","2690","2690"
"02.01.2022 05:00 - 02.01.2022 06:00","0","0","0","n/e","n/e","n/e","3021","3001","3001"
"02.01.2022 06:00 - 02.01.2022 07:00","0","0","0","n/e","n/e","n/e","3250","3175","3175"
"02.01.2022 07:00 - 02.01.2022 08:00","0","0","0","n/e","n/e","n/e","3445","3356","3295"
"02.01.2022 08:00 - 02.01.2022 09:00","105","107","113","n/e","n/e","n/e","3561","3567","3381"
"02.01.2022 09:00 - 02.01.2022 10:00","416","448","464","n/e","n/e","n/e","3596","3661","3460"
"02.01.2022 10:00 - 02.01.2022 11:00","714","804","799","n/e","n/e","n/e","3547","3697","3524"
"02.01.2022 11:00 - 02.01.2022 12:00","834","955","881","n/e","n/e","n/e","3443","3742","3563"
"02.01.2022 12:00 - 02.01.2022 13:00","767","879","608","n/e","n/e","n/e","3313","3745","3646"
"02.01.2022 13:00 - 02.01.2022 14:00","542","611","422","n/e","n/e","n/e","3206","3691","3637"
"02.01.2022 14:00 - 02.01.2022 15:00","241","260","188","n/e","n/e","n/e","3222","3673","3739"
"02.01.2022 15:00 - 02.01.2022 16:00","36","36","43","n/e","n/e","n/e","3393","3796","4151"
"02.01.2022 16:00 - 02.01.2022 17:00","0","0","0","n/e","n/e","n/e","3702","4068","4503"
"02.01.2022 17:00 - 02.01.2022 18:00","0","0","0","n/e","n/e","n/e","4112","4459","4889"
"02.01.2022 18:00 - 02.01.2022 19:00","0","0","0","n/e","n/e","n/e","4552","4912","5492"
"02.01.2022 19:00 - 02.01.2022 20:00","0","0","0","n/e","n/e","n/e","4956","5337","5777"
"02.01.2022 20:00 - 02.01.2022 21:00","0","0","0","n/e","n/e","n/e","5244","5692","5860"
"02.01.2022 21:00 - 02.01.2022 22:00","0","0","0","n/e","n/e","n/e","5412","5892","5752"
"02.01.2022 22:00 - 02.01.2022 23:00","0","0","0","n/e","n/e","n/e","5493","5950","5948"
"02.01.2022 23:00 - 03.01.2022 00:00","0","0","0","n/e","n/e","n/e","5474","5968","6006"
"03.01.2022 00:00 - 03.01.2022 01:00","0","0","0","n/e","n/e","n/e","5918","5940","5940"
"03.01.2022 01:00 - 03.01.2022 02:00","0","0","0","n/e","n/e","n/e","5708","5738","5738"
"03.01.2022 02:00 - 03.01.2022 03:00","0","0","0","n/e","n/e","n/e","5368","5246","5246"
"03.01.2022 03:00 - 03.01.2022 04:00","0","0","0","n/e","n/e","n/e","4879","4808","4808"
"03.01.2022 04:00 - 03.01.2022 05:00","0","0","0","n/e","n/e","n/e","4365","4268","4268"
"03.01.2022 05:00 - 03.01.2022 06:00","0","0","0","n/e","n/e","n/e","3930","3998","3998"
"03.01.2022 06:00 - 03.01.2022 07:00","0","0","0","n/e","n/e","n/e","3631","3463","3463"
"03.01.2022 07:00 - 03.01.2022 08:00","0","0","0","n/e","n/e","n/e","3550","3385","3405"
"03.01.2022 08:00 - 03.01.2022 09:00","76","87","85","n/e","n/e","n/e","3617","3347","3395"
"03.01.2022 09:00 - 03.01.2022 10:00","303","328","322","n/e","n/e","n/e","3718","3561","3606"
"03.01.2022 10:00 - 03.01.2022 11:00","556","592","597","n/e","n/e","n/e","3920","3833","3841"
"03.01.2022 11:00 - 03.01.2022 12:00","696","745","749","n/e","n/e","n/e","4220","4121","4158"
"03.01.2022 12:00 - 03.01.2022 13:00","693","731","632","n/e","n/e","n/e","4475","4374","4396"
"03.01.2022 13:00 - 03.01.2022 14:00","562","575","420","n/e","n/e","n/e","4620","4600","4625"
"03.01.2022 14:00 - 03.01.2022 15:00","296","298","215","n/e","n/e","n/e","4664","4676","4661"
"03.01.2022 15:00 - 03.01.2022 16:00","59","59","50","n/e","n/e","n/e","4593","4533","4586"
"03.01.2022 16:00 - 03.01.2022 17:00","0","0","0","n/e","n/e","n/e","4457","4357","4529"
"03.01.2022 17:00 - 03.01.2022 18:00","0","0","0","n/e","n/e","n/e","4349","4238","4394"
"03.01.2022 18:00 - 03.01.2022 19:00","0","0","0","n/e","n/e","n/e","4304","4168","4175"
"03.01.2022 19:00 - 03.01.2022 20:00","0","0","0","n/e","n/e","n/e","4283","4146","3968"
"03.01.2022 20:00 - 03.01.2022 21:00","0","0","0","n/e","n/e","n/e","4272","4162","4033"
"03.01.2022 21:00 - 03.01.2022 22:00","0","0","0","n/e","n/e","n/e","4272","4182","4260"
"03.01.2022 22:00 - 03.01.2022 23:00","0","0","0","n/e","n/e","n/e","4253","4177","4124"
"03.01.2022 23:00 - 04.01.2022 00:00","0","0","0","n/e","n/e","n/e","4219","4148","3869"
"04.01.2022 00:00 - 04.01.2022 01:00","0","0","0","n/e","n/e","n/e","3741","3897","3897"
"04.01.2022 01:00 - 04.01.2022 02:00","0","0","0","n/e","n/e","n/e","3535","3781","3781"
"04.01.2022 02:00 - 04.01.2022 03:00","0","0","0","n/e","n/e","n/e","3317","3583","3583"
"04.01.2022 03:00 - 04.01.2022 04:00","0","0","0","n/e","n/e","n/e","3112","3416","3416"
"04.01.2022 04:00 - 04.01.2022 05:00","0","0","0","n/e","n/e","n/e","2913","3291","3291"
"04.01.2022 05:00 - 04.01.2022 06:00","0","0","0","n/e","n/e","n/e","2705","3076","3076"
"04.01.2022 06:00 - 04.01.2022 07:00","0","0","0","n/e","n/e","n/e","2512","2944","2944"
"04.01.2022 07:00 - 04.01.2022 08:00","0","0","0","n/e","n/e","n/e","2357","2784","2796"
"04.01.2022 08:00 - 04.01.2022 09:00","97","100","109","n/e","n/e","n/e","2223","2547","2407"
"04.01.2022 09:00 - 04.01.2022 10:00","354","349","384","n/e","n/e","n/e","2092","2346","2358"
"04.01.2022 10:00 - 04.01.2022 11:00","559","514","396","n/e","n/e","n/e","1921","1697","2043"
"04.01.2022 11:00 - 04.01.2022 12:00","619","542","427","n/e","n/e","n/e","1722","1566","1561"
"04.01.2022 12:00 - 04.01.2022 13:00","537","461","364","n/e","n/e","n/e","1522","1409","1359"
"04.01.2022 13:00 - 04.01.2022 14:00","351","301","242","n/e","n/e","n/e","1373","1259","1231"
"04.01.2022 14:00 - 04.01.2022 15:00","155","139","109","n/e","n/e","n/e","1302","1204","1175"
"04.01.2022 15:00 - 04.01.2022 16:00","26","25","30","n/e","n/e","n/e","1278","1272","1293"
"04.01.2022 16:00 - 04.01.2022 17:00","0","0","0","n/e","n/e","n/e","1313","1416","1438"
"04.01.2022 17:00 - 04.01.2022 18:00","0","0","0","n/e","n/e","n/e","1358","1603","1628"
"04.01.2022 18:00 - 04.01.2022 19:00","0","0","0","n/e","n/e","n/e","1420","1815","1844"
"04.01.2022 19:00 - 04.01.2022 20:00","0","0","0","n/e","n/e","n/e","1532","2043","2142"
"04.01.2022 20:00 - 04.01.2022 21:00","0","0","0","n/e","n/e","n/e","1674","2253","2482"
"04.01.2022 21:00 - 04.01.2022 22:00","0","0","0","n/e","n/e","n/e","1849","2394","2879"
"04.01.2022 22:00 - 04.01.2022 23:00","0","0","0","n/e","n/e","n/e","2024","2491","2577"
"04.01.2022 23:00 - 05.01.2022 00:00","0","0","0","n/e","n/e","n/e","2153","2559","2797"
"05.01.2022 00:00 - 05.01.2022 01:00","0","0","0","n/e","n/e","n/e","2596","3092","3092"
"05.01.2022 01:00 - 05.01.2022 02:00","0","0","0","n/e","n/e","n/e","2550","3101","3101"
"05.01.2022 02:00 - 05.01.2022 03:00","0","0","0","n/e","n/e","n/e","2435","2916","2916"
"05.01.2022 03:00 - 05.01.2022 04:00","0","0","0","n/e","n/e","n/e","2273","2544","2544"
"05.01.2022 04:00 - 05.01.2022 05:00","0","0","0","n/e","n/e","n/e","2084","2211","2211"
"05.01.2022 05:00 - 05.01.2022 06:00","0","0","0","n/e","n/e","n/e","1907","2103","2103"
"05.01.2022 06:00 - 05.01.2022 07:00","0","0","0","n/e","n/e","n/e","1824","2103","2103"
"05.01.2022 07:00 - 05.01.2022 08:00","0","0","0","n/e","n/e","n/e","1868","2129","2158"
"05.01.2022 08:00 - 05.01.2022 09:00","68","74","82","n/e","n/e","n/e","1974","2195","2209"
