"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ France (FR)","Generation - Solar  [MW] Intraday / France (FR)","Generation - Solar  [MW] Current / France (FR)","Generation - Wind Offshore  [MW] Day Ahead/ France (FR)","Generation - Wind Offshore  [MW] Intraday / France (FR)","Generation - Wind Offshore  [MW] Current / France (FR)","Generation - Wind Onshore  [MW] Day Ahead/ France (FR)","Generation - Wind Onshore  [MW] Intraday / France (FR)","Generation - Wind Onshore  [MW] Current / France (FR)"
"03.01.2022 04:00 - 03.01.2022 05:00","0","n/e","0","n/e","n/e","n/e","8898","n/e","8615"
"03.01.2022 05:00 - 03.01.2022 06:00","0","n/e","0","n/e","n/e","n/e","8646","n/e","8493"
"03.01.2022 06:00 - 03.01.2022 07:00","0","n/e","0","n/e","n/e","n/e","8391","n/e","8371"
"03.01.2022 07:00 - 03.01.2022 08:00","0","n/e","0","n/e","n/e","n/e","8134","n/e","8709"
"03.01.2022 08:00 - 03.01.2022 09:00","0","n/e","0","n/e","n/e","n/e","8346","n/e","8687"
"03.01.2022 09:00 - 03.01.2022 10:00","183","n/e","183","n/e","n/e","n/e","8559","n/e","8690"
"03.01.2022 10:00 - 03.01.2022 11:00","1077","n/e","1140","n/e","n/e","n/e","8773","n/e","8479"
"03.01.2022 11:00 - 03.01.2022 12:00","2117","n/e","2236","n/e","n/e","n/e","8985","n/e","8658"
"03.01.2022 12:00 - 03.01.2022 13:00","2789","n/e","2836","n/e","n/e","n/e","9195","n/e","8829"
"03.01.2022 13:00 - 03.01.2022 14:00","2957","n/e","3001","n/e","n/e","n/e","9403","n/e","9005"
"03.01.2022 14:00 - 03.01.2022 15:00","2710","n/e","2652","n/e","n/e","n/e","9278","n/e","8520"
"03.01.2022 15:00 - 03.01.2022 16:00","1867","n/e","1812","n/e","n/e","n/e","9154","n/e","8032"
"03.01.2022 16:00 - 03.01.2022 17:00","752","n/e","717","n/e","n/e","n/e","9031","n/e","7544"
"03.01.2022 17:00 - 03.01.2022 18:00","44","n/e","44","n/e","n/e","n/e","8640","n/e","7315"
"03.01.2022 18:00 - 03.01.2022 19:00","0","n/e","0","n/e","n/e","n/e","8248","n/e","7086"
"03.01.2022 19:00 - 03.01.2022 20:00","0","n/e","0","n/e","n/e","n/e","7856","n/e","6859"
"03.01.2022 20:00 - 03.01.2022 21:00","0","n/e","0","n/e","n/e","n/e","7515","n/e","6590"
"03.01.2022 21:00 - 03.01.2022 22:00","0","n/e","0","n/e","n/e","n/e","7176","n/e","6324"
"03.01.2022 22:00 - 03.01.2022 23:00","0","n/e","0","n/e","n/e","n/e","6835","n/e","6059"
"03.01.2022 23:00 - 04.01.2022 00:00","0","n/e","0","n/e","n/e","n/e","6819","n/e","6165"
"04.01.2022 00:00 - 04.01.2022 01:00","0","n/e","0","n/e","n/e","n/e","6230","n/e","6139"
"04.01.2022 01:00 - 04.01.2022 02:00","0","n/e","0","n/e","n/e","n/e","6216","n/e","6022"
"04.01.2022 02:00 - 04.01.2022 03:00","0","n/e","0","n/e","n/e","n/e","6478","n/e","6158"
"04.01.2022 03:00 - 04.01.2022 04:00","0","n/e","0","n/e","n/e","n/e","6744","n/e","6302"
"04.01.2022 04:00 - 04.01.2022 05:00","0","n/e","0","n/e","n/e","n/e","7014","n/e","6464"
"04.01.2022 05:00 - 04.01.2022 06:00","0","n/e","0","n/e","n/e","n/e","7163","n/e","6682"
"04.01.2022 06:00 - 04.01.2022 07:00","0","n/e","0","n/e","n/e","n/e","7316","n/e","6915"
"04.01.2022 07:00 - 04.01.2022 08:00","0","n/e","0","n/e","n/e","n/e","7474","n/e","7069"
"04.01.2022 08:00 - 04.01.2022 09:00","0","n/e","0","n/e","n/e","n/e","7465","n/e","6707"
"04.01.2022 09:00 - 04.01.2022 10:00","195","n/e","190","n/e","n/e","n/e","7463","n/e","6303"
"04.01.2022 10:00 - 04.01.2022 11:00","1156","n/e","1090","n/e","n/e","n/e","7463","n/e","5669"
"04.01.2022 11:00 - 04.01.2022 12:00","2202","n/e","2090","n/e","n/e","n/e","7345","n/e","5376"
"04.01.2022 12:00 - 04.01.2022 13:00","2757","n/e","2701","n/e","n/e","n/e","7230","n/e","5083"
"04.01.2022 13:00 - 04.01.2022 14:00","2851","n/e","2873","n/e","n/e","n/e","7114","n/e","4794"
"04.01.2022 14:00 - 04.01.2022 15:00","2293","n/e","2566","n/e","n/e","n/e","6323","n/e","4977"
