"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ France (FR)","Generation - Solar  [MW] Intraday / France (FR)","Generation - Solar  [MW] Current / France (FR)","Generation - Wind Offshore  [MW] Day Ahead/ France (FR)","Generation - Wind Offshore  [MW] Intraday / France (FR)","Generation - Wind Offshore  [MW] Current / France (FR)","Generation - Wind Onshore  [MW] Day Ahead/ France (FR)","Generation - Wind Onshore  [MW] Intraday / France (FR)","Generation - Wind Onshore  [MW] Current / France (FR)"
"19.03.2022 21:00 - 19.03.2022 22:00","0","n/e","0","n/e","n/e","n/e","6006","n/e","6389"
"19.03.2022 22:00 - 19.03.2022 23:00","0","n/e","0","n/e","n/e","n/e","6131","n/e","6737"
"19.03.2022 23:00 - 20.03.2022 00:00","0","n/e","0","n/e","n/e","n/e","5603","n/e","6129"
"20.03.2022 00:00 - 20.03.2022 01:00","0","n/e","0","n/e","n/e","n/e","5460","n/e","5631"
"20.03.2022 01:00 - 20.03.2022 02:00","0","n/e","0","n/e","n/e","n/e","4938","n/e","4880"
"20.03.2022 02:00 - 20.03.2022 03:00","0","n/e","0","n/e","n/e","n/e","4574","n/e","4517"
"20.03.2022 03:00 - 20.03.2022 04:00","0","n/e","0","n/e","n/e","n/e","4212","n/e","4159"
"20.03.2022 04:00 - 20.03.2022 05:00","0","n/e","0","n/e","n/e","n/e","3850","n/e","3808"
"20.03.2022 05:00 - 20.03.2022 06:00","0","n/e","0","n/e","n/e","n/e","3618","n/e","3618"
"20.03.2022 06:00 - 20.03.2022 07:00","0","n/e","0","n/e","n/e","n/e","3387","n/e","3430"
"20.03.2022 07:00 - 20.03.2022 08:00","40","n/e","35","n/e","n/e","n/e","3157","n/e","3797"
"20.03.2022 08:00 - 20.03.2022 09:00","987","n/e","881","n/e","n/e","n/e","2946","n/e","3346"
"20.03.2022 09:00 - 20.03.2022 10:00","2845","n/e","2621","n/e","n/e","n/e","2735","n/e","2964"
"20.03.2022 10:00 - 20.03.2022 11:00","4558","n/e","3541","n/e","n/e","n/e","2525","n/e","2770"
"20.03.2022 11:00 - 20.03.2022 12:00","5814","n/e","4589","n/e","n/e","n/e","2548","n/e","2663"
"20.03.2022 12:00 - 20.03.2022 13:00","6374","n/e","5473","n/e","n/e","n/e","2573","n/e","2610"
"20.03.2022 13:00 - 20.03.2022 14:00","6373","n/e","5736","n/e","n/e","n/e","2599","n/e","2577"
"20.03.2022 14:00 - 20.03.2022 15:00","5968","n/e","5515","n/e","n/e","n/e","2551","n/e","2518"
"20.03.2022 15:00 - 20.03.2022 16:00","4979","n/e","4791","n/e","n/e","n/e","2504","n/e","2475"
"20.03.2022 16:00 - 20.03.2022 17:00","3594","n/e","3438","n/e","n/e","n/e","2457","n/e","2440"
"20.03.2022 17:00 - 20.03.2022 18:00","2021","n/e","1994","n/e","n/e","n/e","2371","n/e","2373"
"20.03.2022 18:00 - 20.03.2022 19:00","537","n/e","529","n/e","n/e","n/e","2285","n/e","2313"
"20.03.2022 19:00 - 20.03.2022 20:00","0","n/e","0","n/e","n/e","n/e","2201","n/e","2257"
"20.03.2022 20:00 - 20.03.2022 21:00","0","n/e","0","n/e","n/e","n/e","2629","n/e","2716"
"20.03.2022 21:00 - 20.03.2022 22:00","0","n/e","0","n/e","n/e","n/e","3058","n/e","3176"
"20.03.2022 22:00 - 20.03.2022 23:00","0","n/e","0","n/e","n/e","n/e","3489","n/e","3638"
"20.03.2022 23:00 - 21.03.2022 00:00","0","n/e","0","n/e","n/e","n/e","3764","n/e","3733"
"21.03.2022 00:00 - 21.03.2022 01:00","0","n/e","0","n/e","n/e","n/e","3700","n/e","3844"
"21.03.2022 01:00 - 21.03.2022 02:00","0","n/e","0","n/e","n/e","n/e","3849","n/e","4031"
"21.03.2022 02:00 - 21.03.2022 03:00","0","n/e","0","n/e","n/e","n/e","3741","n/e","3843"
"21.03.2022 03:00 - 21.03.2022 04:00","0","n/e","0","n/e","n/e","n/e","3633","n/e","3656"
"21.03.2022 04:00 - 21.03.2022 05:00","0","n/e","0","n/e","n/e","n/e","3526","n/e","3470"
"21.03.2022 05:00 - 21.03.2022 06:00","0","n/e","0","n/e","n/e","n/e","3742","n/e","3582"
"21.03.2022 06:00 - 21.03.2022 07:00","0","n/e","0","n/e","n/e","n/e","3958","n/e","3694"
"21.03.2022 07:00 - 21.03.2022 08:00","50","n/e","54","n/e","n/e","n/e","4174","n/e","3874"
"21.03.2022 08:00 - 21.03.2022 09:00","1102","n/e","1101","n/e","n/e","n/e","3955","n/e","3705"
"21.03.2022 09:00 - 21.03.2022 10:00","3127","n/e","3159","n/e","n/e","n/e","3736","n/e","3542"
"21.03.2022 10:00 - 21.03.2022 11:00","4984","n/e","4604","n/e","n/e","n/e","3517","n/e","3461"
"21.03.2022 11:00 - 21.03.2022 12:00","6232","n/e","5910","n/e","n/e","n/e","3433","n/e","3331"
"21.03.2022 12:00 - 21.03.2022 13:00","6862","n/e","6683","n/e","n/e","n/e","3350","n/e","3213"
"21.03.2022 13:00 - 21.03.2022 14:00","6885","n/e","6978","n/e","n/e","n/e","3267","n/e","3101"
"21.03.2022 14:00 - 21.03.2022 15:00","6641","n/e","6832","n/e","n/e","n/e","3341","n/e","3052"
"21.03.2022 15:00 - 21.03.2022 16:00","5761","n/e","6025","n/e","n/e","n/e","3415","n/e","3010"
"21.03.2022 16:00 - 21.03.2022 17:00","4409","n/e","4488","n/e","n/e","n/e","3489","n/e","2969"
"21.03.2022 17:00 - 21.03.2022 18:00","2526","n/e","2507","n/e","n/e","n/e","3579","n/e","3064"
"21.03.2022 18:00 - 21.03.2022 19:00","665","n/e","652","n/e","n/e","n/e","3669","n/e","3161"
"21.03.2022 19:00 - 21.03.2022 20:00","1","n/e","1","n/e","n/e","n/e","3758","n/e","3258"
"21.03.2022 20:00 - 21.03.2022 21:00","0","n/e","0","n/e","n/e","n/e","4351","n/e","3933"
"21.03.2022 21:00 - 21.03.2022 22:00","0","n/e","0","n/e","n/e","n/e","4945","n/e","4610"
"21.03.2022 22:00 - 21.03.2022 23:00","0","n/e","0","n/e","n/e","n/e","5537","n/e","5289"
"21.03.2022 23:00 - 22.03.2022 00:00","0","n/e","0","n/e","n/e","n/e","5622","n/e","5260"
"22.03.2022 00:00 - 22.03.2022 01:00","0","n/e","0","n/e","n/e","n/e","5312","n/e","5184"
"22.03.2022 01:00 - 22.03.2022 02:00","0","n/e","0","n/e","n/e","n/e","5362","n/e","5297"
"22.03.2022 02:00 - 22.03.2022 03:00","0","n/e","0","n/e","n/e","n/e","5203","n/e","5118"
"22.03.2022 03:00 - 22.03.2022 04:00","0","n/e","0","n/e","n/e","n/e","5046","n/e","4940"
"22.03.2022 04:00 - 22.03.2022 05:00","0","n/e","0","n/e","n/e","n/e","4888","n/e","4763"
"22.03.2022 05:00 - 22.03.2022 06:00","0","n/e","0","n/e","n/e","n/e","5036","n/e","4908"
"22.03.2022 06:00 - 22.03.2022 07:00","0","n/e","0","n/e","n/e","n/e","5187","n/e","5054"
"22.03.2022 07:00 - 22.03.2022 08:00","85","n/e","85","n/e","n/e","n/e","5339","n/e","4831"
"22.03.2022 08:00 - 22.03.2022 09:00","1413","n/e","1431","n/e","n/e","n/e","4847","n/e","4417"
"22.03.2022 09:00 - 22.03.2022 10:00","3821","n/e","3788","n/e","n/e","n/e","4355","n/e","4004"
"22.03.2022 10:00 - 22.03.2022 11:00","5896","n/e","6217","n/e","n/e","n/e","3863","n/e","3825"
"22.03.2022 11:00 - 22.03.2022 12:00","7423","n/e","7505","n/e","n/e","n/e","3784","n/e","3684"
"22.03.2022 12:00 - 22.03.2022 13:00","8066","n/e","8246","n/e","n/e","n/e","3705","n/e","3569"
"22.03.2022 13:00 - 22.03.2022 14:00","8218","n/e","8270","n/e","n/e","n/e","3627","n/e","3469"
"22.03.2022 14:00 - 22.03.2022 15:00","7843","n/e","7767","n/e","n/e","n/e","3604","n/e","3477"
"22.03.2022 15:00 - 22.03.2022 16:00","6842","n/e","6739","n/e","n/e","n/e","3580","n/e","3496"
"22.03.2022 16:00 - 22.03.2022 17:00","5164","n/e","5014","n/e","n/e","n/e","3556","n/e","3520"
"22.03.2022 17:00 - 22.03.2022 18:00","2945","n/e","2831","n/e","n/e","n/e","3386","n/e","3358"
"22.03.2022 18:00 - 22.03.2022 19:00","785","n/e","738","n/e","n/e","n/e","3215","n/e","3200"
"22.03.2022 19:00 - 22.03.2022 20:00","1","n/e","1","n/e","n/e","n/e","3044","n/e","3044"
"22.03.2022 20:00 - 22.03.2022 21:00","0","n/e","0","n/e","n/e","n/e","3451","n/e","3427"
"22.03.2022 21:00 - 22.03.2022 22:00","0","n/e","0","n/e","n/e","n/e","3858","n/e","3810"
"22.03.2022 22:00 - 22.03.2022 23:00","0","n/e","0","n/e","n/e","n/e","4265","n/e","4193"
"22.03.2022 23:00 - 23.03.2022 00:00","0","n/e","0","n/e","n/e","n/e","4098","n/e","3954"
"23.03.2022 00:00 - 23.03.2022 01:00","0","n/e","0","n/e","n/e","n/e","3674","n/e","3516"
"23.03.2022 01:00 - 23.03.2022 02:00","0","n/e","0","n/e","n/e","n/e","3469","n/e","3314"
"23.03.2022 02:00 - 23.03.2022 03:00","0","n/e","0","n/e","n/e","n/e","3299","n/e","3187"
"23.03.2022 03:00 - 23.03.2022 04:00","0","n/e","0","n/e","n/e","n/e","3129","n/e","3062"
"23.03.2022 04:00 - 23.03.2022 05:00","0","n/e","0","n/e","n/e","n/e","2961","n/e","2939"
"23.03.2022 05:00 - 23.03.2022 06:00","0","n/e","0","n/e","n/e","n/e","2876","n/e","2850"
"23.03.2022 06:00 - 23.03.2022 07:00","0","n/e","0","n/e","n/e","n/e","2791","n/e","2762"
"23.03.2022 07:00 - 23.03.2022 08:00","100","n/e","102","n/e","n/e","n/e","2706","n/e","2635"
"23.03.2022 08:00 - 23.03.2022 09:00","1533","n/e","1540","n/e","n/e","n/e","2546","n/e","2425"
"23.03.2022 09:00 - 23.03.2022 10:00","3993","n/e","4029","n/e","n/e","n/e","2387","n/e","2231"
"23.03.2022 10:00 - 23.03.2022 11:00","6170","n/e","6451","n/e","n/e","n/e","2227","n/e","2350"
"23.03.2022 11:00 - 23.03.2022 12:00","7612","n/e","7717","n/e","n/e","n/e","2233","n/e","2244"
"23.03.2022 12:00 - 23.03.2022 13:00","8318","n/e","8427","n/e","n/e","n/e","2239","n/e","2176"
"23.03.2022 13:00 - 23.03.2022 14:00","8427","n/e","8505","n/e","n/e","n/e","2246","n/e","2125"
"23.03.2022 14:00 - 23.03.2022 15:00","8033","n/e","8092","n/e","n/e","n/e","2216","n/e","2125"
"23.03.2022 15:00 - 23.03.2022 16:00","7045","n/e","7053","n/e","n/e","n/e","2186","n/e","2136"
"23.03.2022 16:00 - 23.03.2022 17:00","5362","n/e","5382","n/e","n/e","n/e","2156","n/e","2152"
"23.03.2022 17:00 - 23.03.2022 18:00","3093","n/e","3099","n/e","n/e","n/e","2087","n/e","2033"
"23.03.2022 18:00 - 23.03.2022 19:00","864","n/e","870","n/e","n/e","n/e","2018","n/e","1919"
"23.03.2022 19:00 - 23.03.2022 20:00","2","n/e","2","n/e","n/e","n/e","1949","n/e","1808"
"23.03.2022 20:00 - 23.03.2022 21:00","0","n/e","0","n/e","n/e","n/e","2235","n/e","2134"
"23.03.2022 21:00 - 23.03.2022 22:00","0","n/e","0","n/e","n/e","n/e","2520","n/e","2460"
"23.03.2022 22:00 - 23.03.2022 23:00","0","n/e","0","n/e","n/e","n/e","2808","n/e","2788"
"23.03.2022 23:00 - 24.03.2022 00:00","0","n/e","0","n/e","n/e","n/e","2748","n/e","2845"
"24.03.2022 00:00 - 24.03.2022 01:00","0","n/e","0","n/e","n/e","n/e","2967","n/e","2718"
"24.03.2022 01:00 - 24.03.2022 02:00","0","n/e","0","n/e","n/e","n/e","3062","n/e","2781"
"24.03.2022 02:00 - 24.03.2022 03:00","0","n/e","0","n/e","n/e","n/e","3000","n/e","2689"
"24.03.2022 03:00 - 24.03.2022 04:00","0","n/e","0","n/e","n/e","n/e","2938","n/e","2596"
"24.03.2022 04:00 - 24.03.2022 05:00","0","n/e","0","n/e","n/e","n/e","2877","n/e","2506"
"24.03.2022 05:00 - 24.03.2022 06:00","0","n/e","0","n/e","n/e","n/e","2933","n/e","2482"
"24.03.2022 06:00 - 24.03.2022 07:00","0","n/e","0","n/e","n/e","n/e","2990","n/e","2458"
"24.03.2022 07:00 - 24.03.2022 08:00","115","n/e","115","n/e","n/e","n/e","3046","n/e","2338"
"24.03.2022 08:00 - 24.03.2022 09:00","1565","n/e","1561","n/e","n/e","n/e","2926","n/e","2246"
"24.03.2022 09:00 - 24.03.2022 10:00","4001","n/e","3964","n/e","n/e","n/e","2805","n/e","2133"
"24.03.2022 10:00 - 24.03.2022 11:00","6131","n/e","6280","n/e","n/e","n/e","2684","n/e","2026"
"24.03.2022 11:00 - 24.03.2022 12:00","7491","n/e","7487","n/e","n/e","n/e","2381","n/e","1815"
"24.03.2022 12:00 - 24.03.2022 13:00","8196","n/e","8081","n/e","n/e","n/e","2081","n/e","1596"
"24.03.2022 13:00 - 24.03.2022 14:00","8265","n/e","8080","n/e","n/e","n/e","1784","n/e","1384"
"24.03.2022 14:00 - 24.03.2022 15:00","7896","n/e","7632","n/e","n/e","n/e","1802","n/e","1430"
"24.03.2022 15:00 - 24.03.2022 16:00","6824","n/e","6547","n/e","n/e","n/e","1820","n/e","1478"
"24.03.2022 16:00 - 24.03.2022 17:00","5203","n/e","5020","n/e","n/e","n/e","1838","n/e","1524"
"24.03.2022 17:00 - 24.03.2022 18:00","2977","n/e","2974","n/e","n/e","n/e","2134","n/e","1842"
"24.03.2022 18:00 - 24.03.2022 19:00","848","n/e","864","n/e","n/e","n/e","2430","n/e","2161"
"24.03.2022 19:00 - 24.03.2022 20:00","3","n/e","3","n/e","n/e","n/e","2725","n/e","2481"
"24.03.2022 20:00 - 24.03.2022 21:00","0","n/e","0","n/e","n/e","n/e","3242","n/e","3278"
"24.03.2022 21:00 - 24.03.2022 22:00","0","n/e","0","n/e","n/e","n/e","3759","n/e","4076"
"24.03.2022 22:00 - 24.03.2022 23:00","0","n/e","0","n/e","n/e","n/e","4278","n/e","4874"
"24.03.2022 23:00 - 25.03.2022 00:00","0","n/e","0","n/e","n/e","n/e","4266","n/e","4651"
"25.03.2022 00:00 - 25.03.2022 01:00","0","n/e","0","n/e","n/e","n/e","4661","n/e","4595"
"25.03.2022 01:00 - 25.03.2022 02:00","0","n/e","0","n/e","n/e","n/e","4523","n/e","4481"
"25.03.2022 02:00 - 25.03.2022 03:00","0","n/e","0","n/e","n/e","n/e","4352","n/e","4308"
"25.03.2022 03:00 - 25.03.2022 04:00","0","n/e","0","n/e","n/e","n/e","4182","n/e","4134"
"25.03.2022 04:00 - 25.03.2022 05:00","0","n/e","0","n/e","n/e","n/e","4011","n/e","3960"
"25.03.2022 05:00 - 25.03.2022 06:00","0","n/e","0","n/e","n/e","n/e","3955","n/e","3922"
"25.03.2022 06:00 - 25.03.2022 07:00","0","n/e","0","n/e","n/e","n/e","3899","n/e","3884"
"25.03.2022 07:00 - 25.03.2022 08:00","125","n/e","128","n/e","n/e","n/e","3844","n/e","3752"
"25.03.2022 08:00 - 25.03.2022 09:00","1528","n/e","1529","n/e","n/e","n/e","3415","n/e","3312"
"25.03.2022 09:00 - 25.03.2022 10:00","3880","n/e","3837","n/e","n/e","n/e","2986","n/e","2881"
"25.03.2022 10:00 - 25.03.2022 11:00","5977","n/e","5854","n/e","n/e","n/e","2557","n/e","2692"
"25.03.2022 11:00 - 25.03.2022 12:00","7370","n/e","7137","n/e","n/e","n/e","2702","n/e","2699"
"25.03.2022 12:00 - 25.03.2022 13:00","8139","n/e","7823","n/e","n/e","n/e","2849","n/e","2738"
"25.03.2022 13:00 - 25.03.2022 14:00","8231","n/e","8041","n/e","n/e","n/e","2998","n/e","2787"
"25.03.2022 14:00 - 25.03.2022 15:00","7856","n/e","7666","n/e","n/e","n/e","3249","n/e","3040"
"25.03.2022 15:00 - 25.03.2022 16:00","6765","n/e","6762","n/e","n/e","n/e","3499","n/e","3300"
"25.03.2022 16:00 - 25.03.2022 17:00","5106","n/e","5198","n/e","n/e","n/e","3749","n/e","3563"
"25.03.2022 17:00 - 25.03.2022 18:00","3011","n/e","3017","n/e","n/e","n/e","3904","n/e","3738"
"25.03.2022 18:00 - 25.03.2022 19:00","891","n/e","892","n/e","n/e","n/e","4059","n/e","3917"
"25.03.2022 19:00 - 25.03.2022 20:00","6","n/e","6","n/e","n/e","n/e","4213","n/e","4098"
"25.03.2022 20:00 - 25.03.2022 21:00","0","n/e","0","n/e","n/e","n/e","4764","n/e","4800"
"25.03.2022 21:00 - 25.03.2022 22:00","0","n/e","0","n/e","n/e","n/e","5316","n/e","5502"
"25.03.2022 22:00 - 25.03.2022 23:00","0","n/e","0","n/e","n/e","n/e","5868","n/e","6204"
"25.03.2022 23:00 - 26.03.2022 00:00","0","n/e","0","n/e","n/e","n/e","5799","n/e","6076"
"26.03.2022 00:00 - 26.03.2022 01:00","0","n/e","0","n/e","n/e","n/e","6095","n/e","6120"
"26.03.2022 01:00 - 26.03.2022 02:00","0","n/e","0","n/e","n/e","n/e","6101","n/e","6073"
"26.03.2022 02:00 - 26.03.2022 03:00","0","n/e","0","n/e","n/e","n/e","5900","n/e","5896"
"26.03.2022 03:00 - 26.03.2022 04:00","0","n/e","0","n/e","n/e","n/e","5701","n/e","5721"
"26.03.2022 04:00 - 26.03.2022 05:00","0","n/e","0","n/e","n/e","n/e","5500","n/e","5551"
"26.03.2022 05:00 - 26.03.2022 06:00","0","n/e","0","n/e","n/e","n/e","5515","n/e","5523"
"26.03.2022 06:00 - 26.03.2022 07:00","0","n/e","0","n/e","n/e","n/e","5532","n/e","5498"
"26.03.2022 07:00 - 26.03.2022 08:00","144","n/e","147","n/e","n/e","n/e","5549","n/e","6032"
"26.03.2022 08:00 - 26.03.2022 09:00","1610","n/e","1641","n/e","n/e","n/e","4969","n/e","5185"
"26.03.2022 09:00 - 26.03.2022 10:00","3949","n/e","4025","n/e","n/e","n/e","4387","n/e","4385"
"26.03.2022 10:00 - 26.03.2022 11:00","5891","n/e","6348","n/e","n/e","n/e","3806","n/e","3974"
"26.03.2022 11:00 - 26.03.2022 12:00","7231","n/e","7593","n/e","n/e","n/e","4315","n/e","4436"
"26.03.2022 12:00 - 26.03.2022 13:00","7932","n/e","8176","n/e","n/e","n/e","4825","n/e","4962"
"26.03.2022 13:00 - 26.03.2022 14:00","8001","n/e","8207","n/e","n/e","n/e","5337","n/e","5511"
"26.03.2022 14:00 - 26.03.2022 15:00","7620","n/e","7724","n/e","n/e","n/e","5426","n/e","5471"
"26.03.2022 15:00 - 26.03.2022 16:00","6580","n/e","6723","n/e","n/e","n/e","5516","n/e","5446"
"26.03.2022 16:00 - 26.03.2022 17:00","4998","n/e","5102","n/e","n/e","n/e","5605","n/e","5431"
"26.03.2022 17:00 - 26.03.2022 18:00","2968","n/e","3035","n/e","n/e","n/e","5659","n/e","5610"
"26.03.2022 18:00 - 26.03.2022 19:00","910","n/e","938","n/e","n/e","n/e","5713","n/e","5794"
"26.03.2022 19:00 - 26.03.2022 20:00","11","n/e","11","n/e","n/e","n/e","5766","n/e","5983"
"26.03.2022 20:00 - 26.03.2022 21:00","0","n/e","0","n/e","n/e","n/e","5981","n/e","6195"
"26.03.2022 21:00 - 26.03.2022 22:00","0","n/e","0","n/e","n/e","n/e","6198","n/e","6409"
"26.03.2022 22:00 - 26.03.2022 23:00","0","n/e","0","n/e","n/e","n/e","6415","n/e","6621"
"26.03.2022 23:00 - 27.03.2022 00:00","0","n/e","0","n/e","n/e","n/e","6210","n/e","6252"
"27.03.2022 00:00 - 27.03.2022 01:00","0","n/e","0","n/e","n/e","n/e","6184","n/e","6395"
"27.03.2022 01:00 - 27.03.2022 02:00","0","n/e","0","n/e","n/e","n/e","5845","n/e","6015"
"27.03.2022 02:00 - 27.03.2022 03:00","","","","","","","","",""
"27.03.2022 03:00 - 27.03.2022 04:00","0","n/e","0","n/e","n/e","n/e","5587","n/e","5671"
"27.03.2022 04:00 - 27.03.2022 05:00","0","n/e","0","n/e","n/e","n/e","5332","n/e","5332"
"27.03.2022 05:00 - 27.03.2022 06:00","0","n/e","0","n/e","n/e","n/e","5078","n/e","5001"
"27.03.2022 06:00 - 27.03.2022 07:00","0","n/e","0","n/e","n/e","n/e","4925","n/e","4810"
"27.03.2022 07:00 - 27.03.2022 08:00","0","n/e","0","n/e","n/e","n/e","4775","n/e","5203"
"27.03.2022 08:00 - 27.03.2022 09:00","132","n/e","0","n/e","n/e","n/e","4626","n/e","4900"
"27.03.2022 09:00 - 27.03.2022 10:00","1501","n/e","131","n/e","n/e","n/e","3721","n/e","4619"
"27.03.2022 10:00 - 27.03.2022 11:00","3741","n/e","1521","n/e","n/e","n/e","2816","n/e","3631"
"27.03.2022 11:00 - 27.03.2022 12:00","5668","n/e","3725","n/e","n/e","n/e","1909","n/e","2730"
"27.03.2022 12:00 - 27.03.2022 13:00","7183","n/e","5700","n/e","n/e","n/e","1905","n/e","1855"
"27.03.2022 13:00 - 27.03.2022 14:00","7930","n/e","7071","n/e","n/e","n/e","1902","n/e","1872"
"27.03.2022 14:00 - 27.03.2022 15:00","8173","n/e","7875","n/e","n/e","n/e","1901","n/e","1896"
"27.03.2022 15:00 - 27.03.2022 16:00","7774","n/e","7983","n/e","n/e","n/e","1814","n/e","1927"
"27.03.2022 16:00 - 27.03.2022 17:00","6844","n/e","7660","n/e","n/e","n/e","1727","n/e","1773"
"27.03.2022 17:00 - 27.03.2022 18:00","5254","n/e","6697","n/e","n/e","n/e","1639","n/e","1623"
"27.03.2022 18:00 - 27.03.2022 19:00","3105","n/e","5124","n/e","n/e","n/e","1631","n/e","1476"
"27.03.2022 19:00 - 27.03.2022 20:00","988","n/e","3040","n/e","n/e","n/e","1623","n/e","1453"
"27.03.2022 20:00 - 27.03.2022 21:00","16","n/e","953","n/e","n/e","n/e","1617","n/e","1434"
"27.03.2022 21:00 - 27.03.2022 22:00","0","n/e","15","n/e","n/e","n/e","1962","n/e","1415"
"27.03.2022 22:00 - 27.03.2022 23:00","0","n/e","0","n/e","n/e","n/e","2307","n/e","1912"
"27.03.2022 23:00 - 28.03.2022 00:00","N/A","n/e","0","n/e","n/e","n/e","N/A","n/e","2412"
"28.03.2022 00:00 - 28.03.2022 01:00","0","n/e","0","n/e","n/e","n/e","2666","n/e","2856"
"28.03.2022 01:00 - 28.03.2022 02:00","0","n/e","0","n/e","n/e","n/e","2561","n/e","2681"
"28.03.2022 02:00 - 28.03.2022 03:00","0","n/e","0","n/e","n/e","n/e","2459","n/e","2508"
"28.03.2022 03:00 - 28.03.2022 04:00","0","n/e","0","n/e","n/e","n/e","2358","n/e","2337"
"28.03.2022 04:00 - 28.03.2022 05:00","0","n/e","0","n/e","n/e","n/e","2184","n/e","2156"
"28.03.2022 05:00 - 28.03.2022 06:00","0","n/e","0","n/e","n/e","n/e","2011","n/e","1977"
"28.03.2022 06:00 - 28.03.2022 07:00","0","n/e","0","n/e","n/e","n/e","1839","n/e","1798"
"28.03.2022 07:00 - 28.03.2022 08:00","0","n/e","0","n/e","n/e","n/e","1837","n/e","1663"
"28.03.2022 08:00 - 28.03.2022 09:00","0","n/e","0","n/e","n/e","n/e","1835","n/e","1560"
"28.03.2022 09:00 - 28.03.2022 10:00","184","n/e","186","n/e","n/e","n/e","1833","n/e","1461"
"28.03.2022 10:00 - 28.03.2022 11:00","1707","n/e","1761","n/e","n/e","n/e","1755","n/e","1575"
"28.03.2022 11:00 - 28.03.2022 12:00","4008","n/e","4088","n/e","n/e","n/e","1677","n/e","1450"
"28.03.2022 12:00 - 28.03.2022 13:00","5975","n/e","6010","n/e","n/e","n/e","1599","n/e","1340"
"28.03.2022 13:00 - 28.03.2022 14:00","7213","n/e","7325","n/e","n/e","n/e","1596","n/e","1379"
"28.03.2022 14:00 - 28.03.2022 15:00","7810","n/e","7910","n/e","n/e","n/e","1592","n/e","1423"
"28.03.2022 15:00 - 28.03.2022 16:00","7896","n/e","7953","n/e","n/e","n/e","1589","n/e","1471"
"28.03.2022 16:00 - 28.03.2022 17:00","7389","n/e","7465","n/e","n/e","n/e","1590","n/e","1466"
"28.03.2022 17:00 - 28.03.2022 18:00","6397","n/e","6375","n/e","n/e","n/e","1591","n/e","1462"
"28.03.2022 18:00 - 28.03.2022 19:00","4802","n/e","4802","n/e","n/e","n/e","1591","n/e","1462"
"28.03.2022 19:00 - 28.03.2022 20:00","2789","n/e","2800","n/e","n/e","n/e","1649","n/e","1513"
"28.03.2022 20:00 - 28.03.2022 21:00","854","n/e","859","n/e","n/e","n/e","1708","n/e","1566"
"28.03.2022 21:00 - 28.03.2022 22:00","17","n/e","16","n/e","n/e","n/e","1767","n/e","1618"
"28.03.2022 22:00 - 28.03.2022 23:00","0","n/e","0","n/e","n/e","n/e","2116","n/e","2069"
"28.03.2022 23:00 - 29.03.2022 00:00","0","n/e","0","n/e","n/e","n/e","2465","n/e","2520"
"29.03.2022 00:00 - 29.03.2022 01:00","0","n/e","0","n/e","n/e","n/e","2452","n/e","2768"
"29.03.2022 01:00 - 29.03.2022 02:00","0","n/e","0","n/e","n/e","n/e","2826","n/e","3023"
"29.03.2022 02:00 - 29.03.2022 03:00","0","n/e","0","n/e","n/e","n/e","3201","n/e","3279"
"29.03.2022 03:00 - 29.03.2022 04:00","0","n/e","0","n/e","n/e","n/e","3577","n/e","3538"
"29.03.2022 04:00 - 29.03.2022 05:00","0","n/e","0","n/e","n/e","n/e","3618","n/e","3522"
"29.03.2022 05:00 - 29.03.2022 06:00","0","n/e","0","n/e","n/e","n/e","3660","n/e","3506"
"29.03.2022 06:00 - 29.03.2022 07:00","0","n/e","0","n/e","n/e","n/e","3703","n/e","3491"
"29.03.2022 07:00 - 29.03.2022 08:00","0","n/e","0","n/e","n/e","n/e","3717","n/e","2925"
"29.03.2022 08:00 - 29.03.2022 09:00","0","n/e","0","n/e","n/e","n/e","3731","n/e","2753"
"29.03.2022 09:00 - 29.03.2022 10:00","142","n/e","150","n/e","n/e","n/e","3746","n/e","2576"
"29.03.2022 10:00 - 29.03.2022 11:00","1257","n/e","1234","n/e","n/e","n/e","3268","n/e","2163"
"29.03.2022 11:00 - 29.03.2022 12:00","3025","n/e","2939","n/e","n/e","n/e","2791","n/e","1837"
"29.03.2022 12:00 - 29.03.2022 13:00","4612","n/e","4364","n/e","n/e","n/e","2314","n/e","1546"
"29.03.2022 13:00 - 29.03.2022 14:00","5637","n/e","5412","n/e","n/e","n/e","2324","n/e","1369"
"29.03.2022 14:00 - 29.03.2022 15:00","6211","n/e","6057","n/e","n/e","n/e","2334","n/e","1201"
"29.03.2022 15:00 - 29.03.2022 16:00","5945","n/e","6065","n/e","n/e","n/e","2344","n/e","1048"
"29.03.2022 16:00 - 29.03.2022 17:00","5295","n/e","5668","n/e","n/e","n/e","2388","n/e","1099"
"29.03.2022 17:00 - 29.03.2022 18:00","4270","n/e","4457","n/e","n/e","n/e","2432","n/e","1160"
"29.03.2022 18:00 - 29.03.2022 19:00","2855","n/e","3191","n/e","n/e","n/e","2476","n/e","1226"
"29.03.2022 19:00 - 29.03.2022 20:00","1643","n/e","1873","n/e","n/e","n/e","2572","n/e","1298"
"29.03.2022 20:00 - 29.03.2022 21:00","586","n/e","619","n/e","n/e","n/e","2667","n/e","1375"
"29.03.2022 21:00 - 29.03.2022 22:00","19","n/e","18","n/e","n/e","n/e","2765","n/e","1452"
"29.03.2022 22:00 - 29.03.2022 23:00","0","n/e","0","n/e","n/e","n/e","2743","n/e","1477"
