"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Belgium (BE)","Actual Total Load [MW] - Belgium (BE)"
"01.01.2022 00:00 - 01.01.2022 00:15","8661","8300"
"01.01.2022 00:15 - 01.01.2022 00:30","8544","8210"
"01.01.2022 00:30 - 01.01.2022 00:45","8404","8020"
"01.01.2022 00:45 - 01.01.2022 01:00","8248","7914"
"01.01.2022 01:00 - 01.01.2022 01:15","8399","7843"
"01.01.2022 01:15 - 01.01.2022 01:30","8324","7712"
"01.01.2022 01:30 - 01.01.2022 01:45","8218","7627"
"01.01.2022 01:45 - 01.01.2022 02:00","8113","7453"
"01.01.2022 02:00 - 01.01.2022 02:15","8019","7300"
"01.01.2022 02:15 - 01.01.2022 02:30","7931","7199"
"01.01.2022 02:30 - 01.01.2022 02:45","7872","7163"
"01.01.2022 02:45 - 01.01.2022 03:00","7785","7084"
"01.01.2022 03:00 - 01.01.2022 03:15","7699","7016"
"01.01.2022 03:15 - 01.01.2022 03:30","7608","7027"
"01.01.2022 03:30 - 01.01.2022 03:45","7572","7014"
"01.01.2022 03:45 - 01.01.2022 04:00","7517","6976"
"01.01.2022 04:00 - 01.01.2022 04:15","7463","6958"
"01.01.2022 04:15 - 01.01.2022 04:30","7417","6956"
"01.01.2022 04:30 - 01.01.2022 04:45","7422","6974"
"01.01.2022 04:45 - 01.01.2022 05:00","7418","6966"
"01.01.2022 05:00 - 01.01.2022 05:15","7405","7007"
"01.01.2022 05:15 - 01.01.2022 05:30","7387","6991"
"01.01.2022 05:30 - 01.01.2022 05:45","7419","7034"
"01.01.2022 05:45 - 01.01.2022 06:00","7438","7106"
"01.01.2022 06:00 - 01.01.2022 06:15","7480","7213"
"01.01.2022 06:15 - 01.01.2022 06:30","7524","7217"
"01.01.2022 06:30 - 01.01.2022 06:45","7598","7219"
"01.01.2022 06:45 - 01.01.2022 07:00","7558","7211"
"01.01.2022 07:00 - 01.01.2022 07:15","7511","7180"
"01.01.2022 07:15 - 01.01.2022 07:30","7475","7175"
