"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Lithuania (LT)","Generation - Solar  [MW] Intraday / Lithuania (LT)","Generation - Solar  [MW] Current / Lithuania (LT)","Generation - Wind Offshore  [MW] Day Ahead/ Lithuania (LT)","Generation - Wind Offshore  [MW] Intraday / Lithuania (LT)","Generation - Wind Offshore  [MW] Current / Lithuania (LT)","Generation - Wind Onshore  [MW] Day Ahead/ Lithuania (LT)","Generation - Wind Onshore  [MW] Intraday / Lithuania (LT)","Generation - Wind Onshore  [MW] Current / Lithuania (LT)"
"03.01.2022 10:00 - 03.01.2022 11:00","4","5","5","n/e","n/e","n/e","256","177","147"
"03.01.2022 11:00 - 03.01.2022 12:00","4","5","5","n/e","n/e","n/e","262","198","173"
"03.01.2022 12:00 - 03.01.2022 13:00","4","4","4","n/e","n/e","n/e","254","209","188"
"03.01.2022 13:00 - 03.01.2022 14:00","2","2","2","n/e","n/e","n/e","234","201","182"
"03.01.2022 14:00 - 03.01.2022 15:00","0","1","1","n/e","n/e","n/e","200","188","173"
"03.01.2022 15:00 - 03.01.2022 16:00","0","0","0","n/e","n/e","n/e","163","184","167"
"03.01.2022 16:00 - 03.01.2022 17:00","0","0","0","n/e","n/e","n/e","164","179","159"
"03.01.2022 17:00 - 03.01.2022 18:00","0","0","0","n/e","n/e","n/e","185","186","171"
"03.01.2022 18:00 - 03.01.2022 19:00","0","0","0","n/e","n/e","n/e","207","213","202"
"03.01.2022 19:00 - 03.01.2022 20:00","0","0","0","n/e","n/e","n/e","235","243","233"
"03.01.2022 20:00 - 03.01.2022 21:00","0","0","0","n/e","n/e","n/e","266","264","252"
"03.01.2022 21:00 - 03.01.2022 22:00","0","0","0","n/e","n/e","n/e","301","285","269"
"03.01.2022 22:00 - 03.01.2022 23:00","0","0","0","n/e","n/e","n/e","323","309","293"
"03.01.2022 23:00 - 04.01.2022 00:00","0","0","0","n/e","n/e","n/e","331","280","306"
"04.01.2022 00:00 - 04.01.2022 01:00","0","0","0","n/e","n/e","n/e","322","266","239"
"04.01.2022 01:00 - 04.01.2022 02:00","0","0","0","n/e","n/e","n/e","306","271","253"
"04.01.2022 02:00 - 04.01.2022 03:00","0","0","0","n/e","n/e","n/e","292","274","259"
"04.01.2022 03:00 - 04.01.2022 04:00","0","0","0","n/e","n/e","n/e","292","273","246"
"04.01.2022 04:00 - 04.01.2022 05:00","0","0","0","n/e","n/e","n/e","298","271","259"
"04.01.2022 05:00 - 04.01.2022 06:00","0","0","0","n/e","n/e","n/e","298","291","268"
"04.01.2022 06:00 - 04.01.2022 07:00","0","0","0","n/e","n/e","n/e","298","298","277"
"04.01.2022 07:00 - 04.01.2022 08:00","0","0","0","n/e","n/e","n/e","305","308","278"
"04.01.2022 08:00 - 04.01.2022 09:00","1","4","3","n/e","n/e","n/e","308","306","266"
"04.01.2022 09:00 - 04.01.2022 10:00","4","11","9","n/e","n/e","n/e","315","305","272"
"04.01.2022 10:00 - 04.01.2022 11:00","6","15","13","n/e","n/e","n/e","314","302","276"
"04.01.2022 11:00 - 04.01.2022 12:00","6","13","13","n/e","n/e","n/e","297","290","267"
"04.01.2022 12:00 - 04.01.2022 13:00","6","7","8","n/e","n/e","n/e","266","266","244"
"04.01.2022 13:00 - 04.01.2022 14:00","4","4","5","n/e","n/e","n/e","229","232","215"
"04.01.2022 14:00 - 04.01.2022 15:00","1","1","1","n/e","n/e","n/e","191","197","182"
"04.01.2022 15:00 - 04.01.2022 16:00","0","0","0","n/e","n/e","n/e","171","167","158"
"04.01.2022 16:00 - 04.01.2022 17:00","0","0","0","n/e","n/e","n/e","160","152","141"
"04.01.2022 17:00 - 04.01.2022 18:00","0","0","0","n/e","n/e","n/e","148","146","131"
"04.01.2022 18:00 - 04.01.2022 19:00","0","0","0","n/e","n/e","n/e","141","139","125"
"04.01.2022 19:00 - 04.01.2022 20:00","0","0","0","n/e","n/e","n/e","132","134","123"
"04.01.2022 20:00 - 04.01.2022 21:00","0","0","0","n/e","n/e","n/e","116","121","112"
"04.01.2022 21:00 - 04.01.2022 22:00","0","0","0","n/e","n/e","n/e","107","103","96"
"04.01.2022 22:00 - 04.01.2022 23:00","0","0","0","n/e","n/e","n/e","97","91","85"
"04.01.2022 23:00 - 05.01.2022 00:00","0","0","0","n/e","n/e","n/e","83","102","84"
"05.01.2022 00:00 - 05.01.2022 01:00","0","0","0","n/e","n/e","n/e","121","122","108"
"05.01.2022 01:00 - 05.01.2022 02:00","0","0","0","n/e","n/e","n/e","144","152","135"
"05.01.2022 02:00 - 05.01.2022 03:00","0","0","0","n/e","n/e","n/e","172","209","204"
"05.01.2022 03:00 - 05.01.2022 04:00","0","0","0","n/e","n/e","n/e","202","278","260"
"05.01.2022 04:00 - 05.01.2022 05:00","0","0","0","n/e","n/e","n/e","200","298","258"
"05.01.2022 05:00 - 05.01.2022 06:00","0","0","0","n/e","n/e","n/e","182","260","259"
"05.01.2022 06:00 - 05.01.2022 07:00","0","0","0","n/e","n/e","n/e","179","249","221"
"05.01.2022 07:00 - 05.01.2022 08:00","0","0","0","n/e","n/e","n/e","189","223","177"
"05.01.2022 08:00 - 05.01.2022 09:00","2","8","5","n/e","n/e","n/e","208","203","181"
"05.01.2022 09:00 - 05.01.2022 10:00","6","21","15","n/e","n/e","n/e","217","218","198"
"05.01.2022 10:00 - 05.01.2022 11:00","9","29","25","n/e","n/e","n/e","210","218","198"
"05.01.2022 11:00 - 05.01.2022 12:00","11","29","24","n/e","n/e","n/e","207","215","193"
"05.01.2022 12:00 - 05.01.2022 13:00","10","27","15","n/e","n/e","n/e","210","210","183"
"05.01.2022 13:00 - 05.01.2022 14:00","6","18","8","n/e","n/e","n/e","234","201","176"
"05.01.2022 14:00 - 05.01.2022 15:00","2","5","2","n/e","n/e","n/e","263","195","170"
"05.01.2022 15:00 - 05.01.2022 16:00","0","0","0","n/e","n/e","n/e","280","195","171"
"05.01.2022 16:00 - 05.01.2022 17:00","0","0","0","n/e","n/e","n/e","303","209","186"
"05.01.2022 17:00 - 05.01.2022 18:00","0","0","0","n/e","n/e","n/e","309","234","212"
"05.01.2022 18:00 - 05.01.2022 19:00","0","0","0","n/e","n/e","n/e","322","266","246"
"05.01.2022 19:00 - 05.01.2022 20:00","0","0","0","n/e","n/e","n/e","337","284","265"
"05.01.2022 20:00 - 05.01.2022 21:00","0","0","0","n/e","n/e","n/e","340","291","270"
"05.01.2022 21:00 - 05.01.2022 22:00","0","0","0","n/e","n/e","n/e","330","299","277"
"05.01.2022 22:00 - 05.01.2022 23:00","0","0","0","n/e","n/e","n/e","309","296","279"
"05.01.2022 23:00 - 06.01.2022 00:00","0","0","0","n/e","n/e","n/e","268","313","270"
"06.01.2022 00:00 - 06.01.2022 01:00","0","0","0","n/e","n/e","n/e","271","293","269"
"06.01.2022 01:00 - 06.01.2022 02:00","0","0","0","n/e","n/e","n/e","248","253","246"
"06.01.2022 02:00 - 06.01.2022 03:00","0","0","0","n/e","n/e","n/e","224","226","204"
"06.01.2022 03:00 - 06.01.2022 04:00","0","0","0","n/e","n/e","n/e","202","190","183"
"06.01.2022 04:00 - 06.01.2022 05:00","0","0","0","n/e","n/e","n/e","196","173","176"
"06.01.2022 05:00 - 06.01.2022 06:00","0","0","0","n/e","n/e","n/e","203","174","151"
"06.01.2022 06:00 - 06.01.2022 07:00","0","0","0","n/e","n/e","n/e","218","155","138"
"06.01.2022 07:00 - 06.01.2022 08:00","0","0","0","n/e","n/e","n/e","207","143","123"
