"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Lithuania (LT)","Generation - Solar  [MW] Intraday / Lithuania (LT)","Generation - Solar  [MW] Current / Lithuania (LT)","Generation - Wind Offshore  [MW] Day Ahead/ Lithuania (LT)","Generation - Wind Offshore  [MW] Intraday / Lithuania (LT)","Generation - Wind Offshore  [MW] Current / Lithuania (LT)","Generation - Wind Onshore  [MW] Day Ahead/ Lithuania (LT)","Generation - Wind Onshore  [MW] Intraday / Lithuania (LT)","Generation - Wind Onshore  [MW] Current / Lithuania (LT)"
"20.02.2022 18:00 - 20.02.2022 19:00","0","0","0","n/e","n/e","n/e","204","192","172"
"20.02.2022 19:00 - 20.02.2022 20:00","0","0","0","n/e","n/e","n/e","198","159","137"
"20.02.2022 20:00 - 20.02.2022 21:00","0","0","0","n/e","n/e","n/e","198","153","134"
"20.02.2022 21:00 - 20.02.2022 22:00","0","0","0","n/e","n/e","n/e","208","172","157"
"20.02.2022 22:00 - 20.02.2022 23:00","0","0","0","n/e","n/e","n/e","226","202","190"
"20.02.2022 23:00 - 21.02.2022 00:00","0","0","0","n/e","n/e","n/e","246","236","221"
"21.02.2022 00:00 - 21.02.2022 01:00","0","0","0","n/e","n/e","n/e","328","280","292"
"21.02.2022 01:00 - 21.02.2022 02:00","0","0","0","n/e","n/e","n/e","361","339","315"
"21.02.2022 02:00 - 21.02.2022 03:00","0","0","0","n/e","n/e","n/e","393","353","316"
"21.02.2022 03:00 - 21.02.2022 04:00","0","0","0","n/e","n/e","n/e","403","355","317"
"21.02.2022 04:00 - 21.02.2022 05:00","0","0","0","n/e","n/e","n/e","412","375","354"
"21.02.2022 05:00 - 21.02.2022 06:00","0","0","0","n/e","n/e","n/e","438","412","382"
"21.02.2022 06:00 - 21.02.2022 07:00","0","3","3","n/e","n/e","n/e","455","429","398"
"21.02.2022 07:00 - 21.02.2022 08:00","2","12","12","n/e","n/e","n/e","468","441","412"
"21.02.2022 08:00 - 21.02.2022 09:00","9","30","24","n/e","n/e","n/e","482","460","443"
"21.02.2022 09:00 - 21.02.2022 10:00","11","45","38","n/e","n/e","n/e","497","476","453"
"21.02.2022 10:00 - 21.02.2022 11:00","16","55","48","n/e","n/e","n/e","504","482","456"
"21.02.2022 11:00 - 21.02.2022 12:00","20","62","56","n/e","n/e","n/e","514","486","459"
"21.02.2022 12:00 - 21.02.2022 13:00","22","96","92","n/e","n/e","n/e","524","492","462"
"21.02.2022 13:00 - 21.02.2022 14:00","26","148","149","n/e","n/e","n/e","536","491","461"
"21.02.2022 14:00 - 21.02.2022 15:00","23","145","147","n/e","n/e","n/e","534","491","461"
"21.02.2022 15:00 - 21.02.2022 16:00","14","99","103","n/e","n/e","n/e","537","494","462"
"21.02.2022 16:00 - 21.02.2022 17:00","1","14","15","n/e","n/e","n/e","536","494","461"
"21.02.2022 17:00 - 21.02.2022 18:00","0","0","0","n/e","n/e","n/e","527","492","459"
"21.02.2022 18:00 - 21.02.2022 19:00","0","0","0","n/e","n/e","n/e","525","491","458"
"21.02.2022 19:00 - 21.02.2022 20:00","0","0","0","n/e","n/e","n/e","533","491","458"
"21.02.2022 20:00 - 21.02.2022 21:00","0","0","0","n/e","n/e","n/e","534","494","460"
"21.02.2022 21:00 - 21.02.2022 22:00","0","0","0","n/e","n/e","n/e","534","495","461"
"21.02.2022 22:00 - 21.02.2022 23:00","0","0","0","n/e","n/e","n/e","530","494","460"
"21.02.2022 23:00 - 22.02.2022 00:00","0","0","0","n/e","n/e","n/e","534","490","457"
"22.02.2022 00:00 - 22.02.2022 01:00","0","0","0","n/e","n/e","n/e","496","493","449"
"22.02.2022 01:00 - 22.02.2022 02:00","0","0","0","n/e","n/e","n/e","497","494","451"
"22.02.2022 02:00 - 22.02.2022 03:00","0","0","0","n/e","n/e","n/e","491","496","450"
"22.02.2022 03:00 - 22.02.2022 04:00","0","0","0","n/e","n/e","n/e","485","495","451"
"22.02.2022 04:00 - 22.02.2022 05:00","0","0","0","n/e","n/e","n/e","488","493","450"
"22.02.2022 05:00 - 22.02.2022 06:00","0","0","0","n/e","n/e","n/e","486","489","445"
"22.02.2022 06:00 - 22.02.2022 07:00","4","9","8","n/e","n/e","n/e","471","483","448"
"22.02.2022 07:00 - 22.02.2022 08:00","17","31","29","n/e","n/e","n/e","458","485","440"
"22.02.2022 08:00 - 22.02.2022 09:00","42","63","59","n/e","n/e","n/e","451","477","436"
"22.02.2022 09:00 - 22.02.2022 10:00","53","86","81","n/e","n/e","n/e","453","484","440"
"22.02.2022 10:00 - 22.02.2022 11:00","61","99","93","n/e","n/e","n/e","448","484","450"
"22.02.2022 11:00 - 22.02.2022 12:00","67","116","109","n/e","n/e","n/e","446","483","451"
"22.02.2022 12:00 - 22.02.2022 13:00","74","134","129","n/e","n/e","n/e","446","476","444"
"22.02.2022 13:00 - 22.02.2022 14:00","88","170","170","n/e","n/e","n/e","444","459","426"
"22.02.2022 14:00 - 22.02.2022 15:00","78","155","157","n/e","n/e","n/e","431","430","395"
"22.02.2022 15:00 - 22.02.2022 16:00","47","103","106","n/e","n/e","n/e","407","384","349"
"22.02.2022 16:00 - 22.02.2022 17:00","6","14","15","n/e","n/e","n/e","381","327","294"
"22.02.2022 17:00 - 22.02.2022 18:00","0","0","0","n/e","n/e","n/e","338","277","249"
"22.02.2022 18:00 - 22.02.2022 19:00","0","0","0","n/e","n/e","n/e","293","236","216"
"22.02.2022 19:00 - 22.02.2022 20:00","0","0","0","n/e","n/e","n/e","255","200","183"
"22.02.2022 20:00 - 22.02.2022 21:00","0","0","0","n/e","n/e","n/e","217","162","144"
"22.02.2022 21:00 - 22.02.2022 22:00","0","0","0","n/e","n/e","n/e","183","119","103"
"22.02.2022 22:00 - 22.02.2022 23:00","0","0","0","n/e","n/e","n/e","137","84","73"
"22.02.2022 23:00 - 23.02.2022 00:00","0","0","0","n/e","n/e","n/e","100","33","53"
"23.02.2022 00:00 - 23.02.2022 01:00","0","0","0","n/e","n/e","n/e","54","20","32"
"23.02.2022 01:00 - 23.02.2022 02:00","0","0","0","n/e","n/e","n/e","39","42","44"
"23.02.2022 02:00 - 23.02.2022 03:00","0","0","0","n/e","n/e","n/e","41","57","48"
"23.02.2022 03:00 - 23.02.2022 04:00","0","0","0","n/e","n/e","n/e","51","56","47"
"23.02.2022 04:00 - 23.02.2022 05:00","0","0","0","n/e","n/e","n/e","59","57","53"
"23.02.2022 05:00 - 23.02.2022 06:00","0","0","0","n/e","n/e","n/e","67","71","67"
"23.02.2022 06:00 - 23.02.2022 07:00","10","23","21","n/e","n/e","n/e","75","81","76"
"23.02.2022 07:00 - 23.02.2022 08:00","29","64","64","n/e","n/e","n/e","89","89","78"
"23.02.2022 08:00 - 23.02.2022 09:00","54","96","92","n/e","n/e","n/e","76","92","85"
"23.02.2022 09:00 - 23.02.2022 10:00","65","103","99","n/e","n/e","n/e","66","95","95"
"23.02.2022 10:00 - 23.02.2022 11:00","67","101","97","n/e","n/e","n/e","64","99","97"
"23.02.2022 11:00 - 23.02.2022 12:00","63","89","85","n/e","n/e","n/e","63","91","88"
"23.02.2022 12:00 - 23.02.2022 13:00","66","90","87","n/e","n/e","n/e","63","75","70"
"23.02.2022 13:00 - 23.02.2022 14:00","75","107","107","n/e","n/e","n/e","67","71","64"
"23.02.2022 14:00 - 23.02.2022 15:00","63","87","88","n/e","n/e","n/e","68","73","68"
"23.02.2022 15:00 - 23.02.2022 16:00","41","50","52","n/e","n/e","n/e","70","78","73"
"23.02.2022 16:00 - 23.02.2022 17:00","6","7","8","n/e","n/e","n/e","67","82","79"
"23.02.2022 17:00 - 23.02.2022 18:00","0","0","0","n/e","n/e","n/e","59","82","80"
"23.02.2022 18:00 - 23.02.2022 19:00","0","0","0","n/e","n/e","n/e","58","70","70"
"23.02.2022 19:00 - 23.02.2022 20:00","0","0","0","n/e","n/e","n/e","60","64","62"
"23.02.2022 20:00 - 23.02.2022 21:00","0","0","0","n/e","n/e","n/e","68","68","62"
"23.02.2022 21:00 - 23.02.2022 22:00","0","0","0","n/e","n/e","n/e","79","77","67"
"23.02.2022 22:00 - 23.02.2022 23:00","0","0","0","n/e","n/e","n/e","93","78","64"
"23.02.2022 23:00 - 24.02.2022 00:00","0","0","0","n/e","n/e","n/e","104","96","68"
"24.02.2022 00:00 - 24.02.2022 01:00","0","0","0","n/e","n/e","n/e","135","113","74"
"24.02.2022 01:00 - 24.02.2022 02:00","0","0","0","n/e","n/e","n/e","174","126","112"
"24.02.2022 02:00 - 24.02.2022 03:00","0","0","0","n/e","n/e","n/e","206","156","139"
"24.02.2022 03:00 - 24.02.2022 04:00","0","0","0","n/e","n/e","n/e","240","188","153"
"24.02.2022 04:00 - 24.02.2022 05:00","0","0","0","n/e","n/e","n/e","267","205","162"
"24.02.2022 05:00 - 24.02.2022 06:00","0","0","0","n/e","n/e","n/e","294","217","183"
"24.02.2022 06:00 - 24.02.2022 07:00","8","22","20","n/e","n/e","n/e","320","238","230"
"24.02.2022 07:00 - 24.02.2022 08:00","26","56","56","n/e","n/e","n/e","342","276","254"
"24.02.2022 08:00 - 24.02.2022 09:00","51","89","86","n/e","n/e","n/e","359","297","264"
"24.02.2022 09:00 - 24.02.2022 10:00","64","105","103","n/e","n/e","n/e","369","311","277"
"24.02.2022 10:00 - 24.02.2022 11:00","78","114","114","n/e","n/e","n/e","369","328","294"
"24.02.2022 11:00 - 24.02.2022 12:00","93","126","127","n/e","n/e","n/e","392","353","319"
"24.02.2022 12:00 - 24.02.2022 13:00","95","138","138","n/e","n/e","n/e","416","376","343"
"24.02.2022 13:00 - 24.02.2022 14:00","96","150","150","n/e","n/e","n/e","431","392","358"
"24.02.2022 14:00 - 24.02.2022 15:00","90","148","148","n/e","n/e","n/e","438","398","363"
"24.02.2022 15:00 - 24.02.2022 16:00","73","133","133","n/e","n/e","n/e","443","402","367"
"24.02.2022 16:00 - 24.02.2022 17:00","20","42","42","n/e","n/e","n/e","451","411","377"
"24.02.2022 17:00 - 24.02.2022 18:00","0","0","0","n/e","n/e","n/e","467","423","389"
"24.02.2022 18:00 - 24.02.2022 19:00","0","0","0","n/e","n/e","n/e","483","437","402"
"24.02.2022 19:00 - 24.02.2022 20:00","0","0","0","n/e","n/e","n/e","489","446","410"
"24.02.2022 20:00 - 24.02.2022 21:00","0","0","0","n/e","n/e","n/e","488","448","414"
"24.02.2022 21:00 - 24.02.2022 22:00","0","0","0","n/e","n/e","n/e","485","447","414"
"24.02.2022 22:00 - 24.02.2022 23:00","0","0","0","n/e","n/e","n/e","478","445","413"
"24.02.2022 23:00 - 25.02.2022 00:00","0","0","0","n/e","n/e","n/e","480","425","408"
"25.02.2022 00:00 - 25.02.2022 01:00","0","0","0","n/e","n/e","n/e","487","420","381"
"25.02.2022 01:00 - 25.02.2022 02:00","0","0","0","n/e","n/e","n/e","497","429","376"
"25.02.2022 02:00 - 25.02.2022 03:00","0","0","0","n/e","n/e","n/e","492","431","378"
"25.02.2022 03:00 - 25.02.2022 04:00","0","0","0","n/e","n/e","n/e","501","443","380"
"25.02.2022 04:00 - 25.02.2022 05:00","0","0","0","n/e","n/e","n/e","501","455","392"
"25.02.2022 05:00 - 25.02.2022 06:00","0","0","0","n/e","n/e","n/e","498","460","407"
"25.02.2022 06:00 - 25.02.2022 07:00","6","15","15","n/e","n/e","n/e","470","466","415"
"25.02.2022 07:00 - 25.02.2022 08:00","14","36","37","n/e","n/e","n/e","439","463","402"
"25.02.2022 08:00 - 25.02.2022 09:00","32","65","62","n/e","n/e","n/e","424","442","384"
"25.02.2022 09:00 - 25.02.2022 10:00","51","75","70","n/e","n/e","n/e","422","435","371"
"25.02.2022 10:00 - 25.02.2022 11:00","74","101","94","n/e","n/e","n/e","430","437","394"
"25.02.2022 11:00 - 25.02.2022 12:00","90","144","135","n/e","n/e","n/e","431","439","403"
"25.02.2022 12:00 - 25.02.2022 13:00","108","177","168","n/e","n/e","n/e","428","439","403"
"25.02.2022 13:00 - 25.02.2022 14:00","119","202","199","n/e","n/e","n/e","426","429","394"
"25.02.2022 14:00 - 25.02.2022 15:00","116","205","203","n/e","n/e","n/e","407","416","380"
"25.02.2022 15:00 - 25.02.2022 16:00","99","189","188","n/e","n/e","n/e","383","398","362"
"25.02.2022 16:00 - 25.02.2022 17:00","32","66","65","n/e","n/e","n/e","346","381","348"
"25.02.2022 17:00 - 25.02.2022 18:00","0","0","0","n/e","n/e","n/e","307","365","337"
"25.02.2022 18:00 - 25.02.2022 19:00","0","0","0","n/e","n/e","n/e","275","344","319"
"25.02.2022 19:00 - 25.02.2022 20:00","0","0","0","n/e","n/e","n/e","251","322","299"
"25.02.2022 20:00 - 25.02.2022 21:00","0","0","0","n/e","n/e","n/e","232","301","279"
"25.02.2022 21:00 - 25.02.2022 22:00","0","0","0","n/e","n/e","n/e","220","276","255"
"25.02.2022 22:00 - 25.02.2022 23:00","0","0","0","n/e","n/e","n/e","205","245","225"
"25.02.2022 23:00 - 26.02.2022 00:00","0","0","0","n/e","n/e","n/e","186","223","198"
"26.02.2022 00:00 - 26.02.2022 01:00","0","0","0","n/e","n/e","n/e","211","203","175"
"26.02.2022 01:00 - 26.02.2022 02:00","0","0","0","n/e","n/e","n/e","179","179","160"
"26.02.2022 02:00 - 26.02.2022 03:00","0","0","0","n/e","n/e","n/e","148","156","131"
"26.02.2022 03:00 - 26.02.2022 04:00","0","0","0","n/e","n/e","n/e","128","132","102"
"26.02.2022 04:00 - 26.02.2022 05:00","0","0","0","n/e","n/e","n/e","115","101","87"
"26.02.2022 05:00 - 26.02.2022 06:00","0","0","0","n/e","n/e","n/e","105","82","66"
"26.02.2022 06:00 - 26.02.2022 07:00","11","34","33","n/e","n/e","n/e","96","64","61"
"26.02.2022 07:00 - 26.02.2022 08:00","23","70","70","n/e","n/e","n/e","84","65","51"
"26.02.2022 08:00 - 26.02.2022 09:00","45","111","111","n/e","n/e","n/e","68","58","48"
"26.02.2022 09:00 - 26.02.2022 10:00","57","137","129","n/e","n/e","n/e","67","51","41"
"26.02.2022 10:00 - 26.02.2022 11:00","68","148","141","n/e","n/e","n/e","78","49","44"
"26.02.2022 11:00 - 26.02.2022 12:00","70","145","139","n/e","n/e","n/e","96","48","43"
"26.02.2022 12:00 - 26.02.2022 13:00","75","154","150","n/e","n/e","n/e","104","50","43"
"26.02.2022 13:00 - 26.02.2022 14:00","87","188","188","n/e","n/e","n/e","110","58","51"
"26.02.2022 14:00 - 26.02.2022 15:00","86","189","189","n/e","n/e","n/e","116","69","60"
"26.02.2022 15:00 - 26.02.2022 16:00","72","162","162","n/e","n/e","n/e","121","80","70"
"26.02.2022 16:00 - 26.02.2022 17:00","23","44","45","n/e","n/e","n/e","128","88","78"
"26.02.2022 17:00 - 26.02.2022 18:00","0","0","0","n/e","n/e","n/e","138","96","89"
"26.02.2022 18:00 - 26.02.2022 19:00","0","0","0","n/e","n/e","n/e","144","107","102"
"26.02.2022 19:00 - 26.02.2022 20:00","0","0","0","n/e","n/e","n/e","146","118","113"
"26.02.2022 20:00 - 26.02.2022 21:00","0","0","0","n/e","n/e","n/e","141","117","112"
"26.02.2022 21:00 - 26.02.2022 22:00","0","0","0","n/e","n/e","n/e","130","104","100"
"26.02.2022 22:00 - 26.02.2022 23:00","0","0","0","n/e","n/e","n/e","119","88","82"
"26.02.2022 23:00 - 27.02.2022 00:00","0","0","0","n/e","n/e","n/e","102","80","71"
"27.02.2022 00:00 - 27.02.2022 01:00","0","0","0","n/e","n/e","n/e","78","87","76"
"27.02.2022 01:00 - 27.02.2022 02:00","0","0","0","n/e","n/e","n/e","71","75","58"
"27.02.2022 02:00 - 27.02.2022 03:00","0","0","0","n/e","n/e","n/e","66","59","44"
"27.02.2022 03:00 - 27.02.2022 04:00","0","0","0","n/e","n/e","n/e","60","47","41"
"27.02.2022 04:00 - 27.02.2022 05:00","0","0","0","n/e","n/e","n/e","52","40","34"
"27.02.2022 05:00 - 27.02.2022 06:00","0","0","0","n/e","n/e","n/e","38","33","36"
"27.02.2022 06:00 - 27.02.2022 07:00","22","86","81","n/e","n/e","n/e","33","34","34"
"27.02.2022 07:00 - 27.02.2022 08:00","42","134","131","n/e","n/e","n/e","29","31","31"
"27.02.2022 08:00 - 27.02.2022 09:00","78","160","154","n/e","n/e","n/e","19","24","25"
"27.02.2022 09:00 - 27.02.2022 10:00","103","179","173","n/e","n/e","n/e","14","15","14"
"27.02.2022 10:00 - 27.02.2022 11:00","123","198","194","n/e","n/e","n/e","14","12","11"
"27.02.2022 11:00 - 27.02.2022 12:00","130","206","203","n/e","n/e","n/e","16","12","12"
"27.02.2022 12:00 - 27.02.2022 13:00","127","207","205","n/e","n/e","n/e","19","12","13"
"27.02.2022 13:00 - 27.02.2022 14:00","123","209","209","n/e","n/e","n/e","22","11","12"
"27.02.2022 14:00 - 27.02.2022 15:00","110","208","207","n/e","n/e","n/e","23","11","12"
"27.02.2022 15:00 - 27.02.2022 16:00","85","195","195","n/e","n/e","n/e","26","12","13"
"27.02.2022 16:00 - 27.02.2022 17:00","32","87","87","n/e","n/e","n/e","30","15","15"
"27.02.2022 17:00 - 27.02.2022 18:00","0","0","0","n/e","n/e","n/e","36","23","22"
"27.02.2022 18:00 - 27.02.2022 19:00","0","0","0","n/e","n/e","n/e","43","30","30"
"27.02.2022 19:00 - 27.02.2022 20:00","0","0","0","n/e","n/e","n/e","51","35","35"
"27.02.2022 20:00 - 27.02.2022 21:00","0","0","0","n/e","n/e","n/e","43","34","34"
"27.02.2022 21:00 - 27.02.2022 22:00","0","0","0","n/e","n/e","n/e","44","30","30"
"27.02.2022 22:00 - 27.02.2022 23:00","0","0","0","n/e","n/e","n/e","40","25","25"
"27.02.2022 23:00 - 28.02.2022 00:00","0","0","0","n/e","n/e","n/e","44","17","20"
"28.02.2022 00:00 - 28.02.2022 01:00","0","0","0","n/e","n/e","n/e","73","22","25"
"28.02.2022 01:00 - 28.02.2022 02:00","0","0","0","n/e","n/e","n/e","68","24","22"
"28.02.2022 02:00 - 28.02.2022 03:00","0","0","0","n/e","n/e","n/e","63","20","13"
"28.02.2022 03:00 - 28.02.2022 04:00","0","0","0","n/e","n/e","n/e","57","14","10"
"28.02.2022 04:00 - 28.02.2022 05:00","0","0","0","n/e","n/e","n/e","49","14","11"
"28.02.2022 05:00 - 28.02.2022 06:00","0","0","0","n/e","n/e","n/e","36","15","6"
"28.02.2022 06:00 - 28.02.2022 07:00","42","99","94","n/e","n/e","n/e","31","11","5"
"28.02.2022 07:00 - 28.02.2022 08:00","68","144","142","n/e","n/e","n/e","28","13","6"
"28.02.2022 08:00 - 28.02.2022 09:00","109","181","173","n/e","n/e","n/e","19","8","6"
"28.02.2022 09:00 - 28.02.2022 10:00","126","193","193","n/e","n/e","n/e","13","4","3"
"28.02.2022 10:00 - 28.02.2022 11:00","140","201","201","n/e","n/e","n/e","13","3","2"
"28.02.2022 11:00 - 28.02.2022 12:00","149","198","199","n/e","n/e","n/e","15","8","3"
"28.02.2022 12:00 - 28.02.2022 13:00","147","198","199","n/e","n/e","n/e","18","10","5"
"28.02.2022 13:00 - 28.02.2022 14:00","141","207","207","n/e","n/e","n/e","20","11","6"
"28.02.2022 14:00 - 28.02.2022 15:00","128","207","207","n/e","n/e","n/e","21","12","7"
"28.02.2022 15:00 - 28.02.2022 16:00","104","196","196","n/e","n/e","n/e","24","14","7"
"28.02.2022 16:00 - 28.02.2022 17:00","44","89","94","n/e","n/e","n/e","28","17","8"
"28.02.2022 17:00 - 28.02.2022 18:00","0","0","0","n/e","n/e","n/e","33","18","9"
"28.02.2022 18:00 - 28.02.2022 19:00","0","0","0","n/e","n/e","n/e","39","18","10"
"28.02.2022 19:00 - 28.02.2022 20:00","0","0","0","n/e","n/e","n/e","47","18","9"
"28.02.2022 20:00 - 28.02.2022 21:00","0","0","0","n/e","n/e","n/e","40","17","9"
"28.02.2022 21:00 - 28.02.2022 22:00","0","0","0","n/e","n/e","n/e","40","17","6"
"28.02.2022 22:00 - 28.02.2022 23:00","0","0","0","n/e","n/e","n/e","36","17","7"
"28.02.2022 23:00 - 01.03.2022 00:00","0","0","0","n/e","n/e","n/e","41","20","10"
"01.03.2022 00:00 - 01.03.2022 01:00","0","0","0","n/e","n/e","n/e","74","27","14"
"01.03.2022 01:00 - 01.03.2022 02:00","0","0","0","n/e","n/e","n/e","69","35","16"
"01.03.2022 02:00 - 01.03.2022 03:00","0","0","0","n/e","n/e","n/e","64","41","20"
"01.03.2022 03:00 - 01.03.2022 04:00","0","0","0","n/e","n/e","n/e","58","48","26"
"01.03.2022 04:00 - 01.03.2022 05:00","0","0","0","n/e","n/e","n/e","51","55","35"
"01.03.2022 05:00 - 01.03.2022 06:00","0","0","0","n/e","n/e","n/e","39","56","37"
"01.03.2022 06:00 - 01.03.2022 07:00","44","105","98","n/e","n/e","n/e","34","53","30"
"01.03.2022 07:00 - 01.03.2022 08:00","70","144","142","n/e","n/e","n/e","30","46","37"
"01.03.2022 08:00 - 01.03.2022 09:00","107","181","172","n/e","n/e","n/e","20","45","34"
"01.03.2022 09:00 - 01.03.2022 10:00","126","200","191","n/e","n/e","n/e","14","32","27"
"01.03.2022 10:00 - 01.03.2022 11:00","142","205","199","n/e","n/e","n/e","14","24","21"
"01.03.2022 11:00 - 01.03.2022 12:00","147","206","203","n/e","n/e","n/e","17","21","19"
"01.03.2022 12:00 - 01.03.2022 13:00","146","207","204","n/e","n/e","n/e","19","21","19"
"01.03.2022 13:00 - 01.03.2022 14:00","142","209","209","n/e","n/e","n/e","21","21","20"
"01.03.2022 14:00 - 01.03.2022 15:00","132","208","208","n/e","n/e","n/e","22","21","19"
"01.03.2022 15:00 - 01.03.2022 16:00","113","196","196","n/e","n/e","n/e","25","21","19"
"01.03.2022 16:00 - 01.03.2022 17:00","54","100","100","n/e","n/e","n/e","30","26","21"
"01.03.2022 17:00 - 01.03.2022 18:00","0","0","0","n/e","n/e","n/e","35","31","23"
"01.03.2022 18:00 - 01.03.2022 19:00","0","0","0","n/e","n/e","n/e","40","31","22"
"01.03.2022 19:00 - 01.03.2022 20:00","0","0","0","n/e","n/e","n/e","48","29","20"
"01.03.2022 20:00 - 01.03.2022 21:00","0","0","0","n/e","n/e","n/e","41","26","19"
"01.03.2022 21:00 - 01.03.2022 22:00","0","0","0","n/e","n/e","n/e","40","25","17"
"01.03.2022 22:00 - 01.03.2022 23:00","0","0","0","n/e","n/e","n/e","36","24","16"
"01.03.2022 23:00 - 02.03.2022 00:00","0","0","0","n/e","n/e","n/e","41","31","16"
"02.03.2022 00:00 - 02.03.2022 01:00","0","0","0","n/e","n/e","n/e","73","28","16"
"02.03.2022 01:00 - 02.03.2022 02:00","0","0","0","n/e","n/e","n/e","67","26","16"
"02.03.2022 02:00 - 02.03.2022 03:00","0","0","0","n/e","n/e","n/e","62","26","11"
"02.03.2022 03:00 - 02.03.2022 04:00","0","0","0","n/e","n/e","n/e","56","22","10"
"02.03.2022 04:00 - 02.03.2022 05:00","0","0","0","n/e","n/e","n/e","48","22","10"
"02.03.2022 05:00 - 02.03.2022 06:00","0","0","0","n/e","n/e","n/e","36","24","13"
"02.03.2022 06:00 - 02.03.2022 07:00","48","109","109","n/e","n/e","n/e","31","31","15"
"02.03.2022 07:00 - 02.03.2022 08:00","72","147","145","n/e","n/e","n/e","28","31","15"
"02.03.2022 08:00 - 02.03.2022 09:00","115","183","183","n/e","n/e","n/e","18","27","13"
"02.03.2022 09:00 - 02.03.2022 10:00","138","200","200","n/e","n/e","n/e","13","19","10"
"02.03.2022 10:00 - 02.03.2022 11:00","151","205","205","n/e","n/e","n/e","13","16","10"
"02.03.2022 11:00 - 02.03.2022 12:00","158","207","207","n/e","n/e","n/e","16","20","13"
"02.03.2022 12:00 - 02.03.2022 13:00","154","207","207","n/e","n/e","n/e","18","25","17"
"02.03.2022 13:00 - 02.03.2022 14:00","143","209","209","n/e","n/e","n/e","20","29","22"
"02.03.2022 14:00 - 02.03.2022 15:00","128","208","208","n/e","n/e","n/e","21","32","26"
"02.03.2022 15:00 - 02.03.2022 16:00","106","196","196","n/e","n/e","n/e","25","34","28"
"02.03.2022 16:00 - 02.03.2022 17:00","43","102","102","n/e","n/e","n/e","30","35","30"
"02.03.2022 17:00 - 02.03.2022 18:00","0","0","0","n/e","n/e","n/e","35","38","33"
"02.03.2022 18:00 - 02.03.2022 19:00","0","0","0","n/e","n/e","n/e","40","41","36"
"02.03.2022 19:00 - 02.03.2022 20:00","0","0","0","n/e","n/e","n/e","47","41","37"
"02.03.2022 20:00 - 02.03.2022 21:00","0","0","0","n/e","n/e","n/e","40","34","32"
"02.03.2022 21:00 - 02.03.2022 22:00","0","0","0","n/e","n/e","n/e","40","27","26"
"02.03.2022 22:00 - 02.03.2022 23:00","0","0","0","n/e","n/e","n/e","35","23","23"
"02.03.2022 23:00 - 03.03.2022 00:00","0","0","0","n/e","n/e","n/e","41","21","19"
"03.03.2022 00:00 - 03.03.2022 01:00","0","0","0","n/e","n/e","n/e","23","18","16"
"03.03.2022 01:00 - 03.03.2022 02:00","0","0","0","n/e","n/e","n/e","21","16","9"
"03.03.2022 02:00 - 03.03.2022 03:00","0","0","0","n/e","n/e","n/e","18","12","16"
"03.03.2022 03:00 - 03.03.2022 04:00","0","0","0","n/e","n/e","n/e","16","16","19"
"03.03.2022 04:00 - 03.03.2022 05:00","0","0","0","n/e","n/e","n/e","19","17","18"
"03.03.2022 05:00 - 03.03.2022 06:00","0","0","0","n/e","n/e","n/e","19","16","16"
"03.03.2022 06:00 - 03.03.2022 07:00","32","104","95","n/e","n/e","n/e","23","17","12"
"03.03.2022 07:00 - 03.03.2022 08:00","48","125","125","n/e","n/e","n/e","25","18","13"
"03.03.2022 08:00 - 03.03.2022 09:00","77","151","144","n/e","n/e","n/e","26","18","12"
"03.03.2022 09:00 - 03.03.2022 10:00","99","161","153","n/e","n/e","n/e","27","17","7"
"03.03.2022 10:00 - 03.03.2022 11:00","116","171","161","n/e","n/e","n/e","29","16","10"
"03.03.2022 11:00 - 03.03.2022 12:00","123","163","151","n/e","n/e","n/e","35","19","13"
"03.03.2022 12:00 - 03.03.2022 13:00","131","162","152","n/e","n/e","n/e","44","25","18"
"03.03.2022 13:00 - 03.03.2022 14:00","131","186","182","n/e","n/e","n/e","58","33","27"
"03.03.2022 14:00 - 03.03.2022 15:00","118","184","181","n/e","n/e","n/e","64","42","35"
"03.03.2022 15:00 - 03.03.2022 16:00","97","161","158","n/e","n/e","n/e","70","48","40"
"03.03.2022 16:00 - 03.03.2022 17:00","41","64","59","n/e","n/e","n/e","89","52","43"
"03.03.2022 17:00 - 03.03.2022 18:00","0","0","0","n/e","n/e","n/e","112","62","52"
"03.03.2022 18:00 - 03.03.2022 19:00","0","0","0","n/e","n/e","n/e","130","78","64"
"03.03.2022 19:00 - 03.03.2022 20:00","0","0","0","n/e","n/e","n/e","146","94","78"
"03.03.2022 20:00 - 03.03.2022 21:00","0","0","0","n/e","n/e","n/e","159","105","88"
"03.03.2022 21:00 - 03.03.2022 22:00","0","0","0","n/e","n/e","n/e","163","110","95"
"03.03.2022 22:00 - 03.03.2022 23:00","0","0","0","n/e","n/e","n/e","162","113","98"
"03.03.2022 23:00 - 04.03.2022 00:00","0","0","0","n/e","n/e","n/e","154","88","87"
"04.03.2022 00:00 - 04.03.2022 01:00","0","0","0","n/e","n/e","n/e","125","79","58"
"04.03.2022 01:00 - 04.03.2022 02:00","0","0","0","n/e","n/e","n/e","118","62","68"
"04.03.2022 02:00 - 04.03.2022 03:00","0","0","0","n/e","n/e","n/e","113","66","65"
"04.03.2022 03:00 - 04.03.2022 04:00","0","0","0","n/e","n/e","n/e","115","65","59"
