"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Luxembourg (LU)","Actual Total Load [MW] - Luxembourg (LU)"
"02.01.2022 02:00 - 02.01.2022 02:15","292","404"
"02.01.2022 02:15 - 02.01.2022 02:30","291","400"
"02.01.2022 02:30 - 02.01.2022 02:45","291","398"
"02.01.2022 02:45 - 02.01.2022 03:00","289","396"
"02.01.2022 03:00 - 02.01.2022 03:15","296","397"
"02.01.2022 03:15 - 02.01.2022 03:30","296","398"
"02.01.2022 03:30 - 02.01.2022 03:45","296","396"
"02.01.2022 03:45 - 02.01.2022 04:00","295","396"
"02.01.2022 04:00 - 02.01.2022 04:15","301","396"
"02.01.2022 04:15 - 02.01.2022 04:30","301","398"
"02.01.2022 04:30 - 02.01.2022 04:45","302","398"
"02.01.2022 04:45 - 02.01.2022 05:00","306","398"
"02.01.2022 05:00 - 02.01.2022 05:15","281","402"
"02.01.2022 05:15 - 02.01.2022 05:30","268","402"
"02.01.2022 05:30 - 02.01.2022 05:45","273","405"
"02.01.2022 05:45 - 02.01.2022 06:00","279","412"
"02.01.2022 06:00 - 02.01.2022 06:15","282","414"
"02.01.2022 06:15 - 02.01.2022 06:30","286","416"
"02.01.2022 06:30 - 02.01.2022 06:45","287","418"
"02.01.2022 06:45 - 02.01.2022 07:00","290","423"
"02.01.2022 07:00 - 02.01.2022 07:15","290","426"
"02.01.2022 07:15 - 02.01.2022 07:30","293","427"
"02.01.2022 07:30 - 02.01.2022 07:45","291","433"
"02.01.2022 07:45 - 02.01.2022 08:00","293","440"
"02.01.2022 08:00 - 02.01.2022 08:15","281","448"
"02.01.2022 08:15 - 02.01.2022 08:30","281","452"
"02.01.2022 08:30 - 02.01.2022 08:45","281","449"
"02.01.2022 08:45 - 02.01.2022 09:00","282","448"
"02.01.2022 09:00 - 02.01.2022 09:15","279","454"
"02.01.2022 09:15 - 02.01.2022 09:30","285","461"
"02.01.2022 09:30 - 02.01.2022 09:45","290","466"
"02.01.2022 09:45 - 02.01.2022 10:00","296","475"
"02.01.2022 10:00 - 02.01.2022 10:15","295","481"
"02.01.2022 10:15 - 02.01.2022 10:30","303","489"
"02.01.2022 10:30 - 02.01.2022 10:45","312","495"
"02.01.2022 10:45 - 02.01.2022 11:00","317","501"
"02.01.2022 11:00 - 02.01.2022 11:15","336","507"
"02.01.2022 11:15 - 02.01.2022 11:30","336","508"
"02.01.2022 11:30 - 02.01.2022 11:45","326","517"
"02.01.2022 11:45 - 02.01.2022 12:00","320","528"
"02.01.2022 12:00 - 02.01.2022 12:15","322","532"
"02.01.2022 12:15 - 02.01.2022 12:30","318","536"
"02.01.2022 12:30 - 02.01.2022 12:45","309","530"
"02.01.2022 12:45 - 02.01.2022 13:00","304","531"
"02.01.2022 13:00 - 02.01.2022 13:15","299","525"
"02.01.2022 13:15 - 02.01.2022 13:30","300","519"
"02.01.2022 13:30 - 02.01.2022 13:45","302","508"
"02.01.2022 13:45 - 02.01.2022 14:00","308","502"
"02.01.2022 14:00 - 02.01.2022 14:15","300","500"
"02.01.2022 14:15 - 02.01.2022 14:30","301","502"
"02.01.2022 14:30 - 02.01.2022 14:45","303","497"
"02.01.2022 14:45 - 02.01.2022 15:00","309","496"
