"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Cyprus (CY)","Actual Total Load [MW] - Cyprus (CY)"
"22.01.2022 03:30 - 22.01.2022 04:00","N/A","417"
"22.01.2022 04:00 - 22.01.2022 04:30","N/A","425"
"22.01.2022 04:30 - 22.01.2022 05:00","N/A","434"
"22.01.2022 05:00 - 22.01.2022 05:30","N/A","458"
"22.01.2022 05:30 - 22.01.2022 06:00","N/A","476"
"22.01.2022 06:00 - 22.01.2022 06:30","N/A","500"
"22.01.2022 06:30 - 22.01.2022 07:00","N/A","513"
"22.01.2022 07:00 - 22.01.2022 07:30","N/A","518"
"22.01.2022 07:30 - 22.01.2022 08:00","N/A","526"
"22.01.2022 08:00 - 22.01.2022 08:30","N/A","540"
"22.01.2022 08:30 - 22.01.2022 09:00","N/A","531"
"22.01.2022 09:00 - 22.01.2022 09:30","N/A","527"
"22.01.2022 09:30 - 22.01.2022 10:00","N/A","551"
"22.01.2022 10:00 - 22.01.2022 10:30","N/A","569"
"22.01.2022 10:30 - 22.01.2022 11:00","N/A","598"
"22.01.2022 11:00 - 22.01.2022 11:30","N/A","601"
"22.01.2022 11:30 - 22.01.2022 12:00","N/A","580"
"22.01.2022 12:00 - 22.01.2022 12:30","N/A","569"
"22.01.2022 12:30 - 22.01.2022 13:00","N/A","584"
"22.01.2022 13:00 - 22.01.2022 13:30","N/A","576"
"22.01.2022 13:30 - 22.01.2022 14:00","N/A","582"
"22.01.2022 14:00 - 22.01.2022 14:30","N/A","614"
"22.01.2022 14:30 - 22.01.2022 15:00","N/A","650"
"22.01.2022 15:00 - 22.01.2022 15:30","N/A","683"
"22.01.2022 15:30 - 22.01.2022 16:00","N/A","706"
"22.01.2022 16:00 - 22.01.2022 16:30","N/A","740"
"22.01.2022 16:30 - 22.01.2022 17:00","N/A","774"
"22.01.2022 17:00 - 22.01.2022 17:30","N/A","790"
"22.01.2022 17:30 - 22.01.2022 18:00","N/A","788"
"22.01.2022 18:00 - 22.01.2022 18:30","N/A","781"
"22.01.2022 18:30 - 22.01.2022 19:00","N/A","765"
"22.01.2022 19:00 - 22.01.2022 19:30","N/A","742"
"22.01.2022 19:30 - 22.01.2022 20:00","N/A","718"
"22.01.2022 20:00 - 22.01.2022 20:30","N/A","700"
"22.01.2022 20:30 - 22.01.2022 21:00","N/A","683"
"22.01.2022 21:00 - 22.01.2022 21:30","N/A","658"
"22.01.2022 21:30 - 22.01.2022 22:00","N/A","633"
"22.01.2022 22:00 - 22.01.2022 22:30","N/A","607"
"22.01.2022 22:30 - 22.01.2022 23:00","N/A","576"
"22.01.2022 23:00 - 22.01.2022 23:30","N/A","533"
"22.01.2022 23:30 - 23.01.2022 00:00","N/A","493"
"23.01.2022 00:00 - 23.01.2022 00:30","N/A","463"
"23.01.2022 00:30 - 23.01.2022 01:00","N/A","438"
"23.01.2022 01:00 - 23.01.2022 01:30","N/A","418"
"23.01.2022 01:30 - 23.01.2022 02:00","N/A","404"
"23.01.2022 02:00 - 23.01.2022 02:30","N/A","396"
"23.01.2022 02:30 - 23.01.2022 03:00","N/A","390"
"23.01.2022 03:00 - 23.01.2022 03:30","N/A","390"
"23.01.2022 03:30 - 23.01.2022 04:00","N/A","391"
"23.01.2022 04:00 - 23.01.2022 04:30","N/A","395"
"23.01.2022 04:30 - 23.01.2022 05:00","N/A","401"
"23.01.2022 05:00 - 23.01.2022 05:30","N/A","416"
"23.01.2022 05:30 - 23.01.2022 06:00","N/A","426"
"23.01.2022 06:00 - 23.01.2022 06:30","N/A","438"
"23.01.2022 06:30 - 23.01.2022 07:00","N/A","437"
"23.01.2022 07:00 - 23.01.2022 07:30","N/A","432"
"23.01.2022 07:30 - 23.01.2022 08:00","N/A","420"
"23.01.2022 08:00 - 23.01.2022 08:30","N/A","417"
"23.01.2022 08:30 - 23.01.2022 09:00","N/A","431"
"23.01.2022 09:00 - 23.01.2022 09:30","N/A","422"
"23.01.2022 09:30 - 23.01.2022 10:00","N/A","416"
"23.01.2022 10:00 - 23.01.2022 10:30","N/A","423"
"23.01.2022 10:30 - 23.01.2022 11:00","N/A","426"
"23.01.2022 11:00 - 23.01.2022 11:30","N/A","425"
"23.01.2022 11:30 - 23.01.2022 12:00","N/A","425"
"23.01.2022 12:00 - 23.01.2022 12:30","N/A","421"
"23.01.2022 12:30 - 23.01.2022 13:00","N/A","422"
"23.01.2022 13:00 - 23.01.2022 13:30","N/A","427"
"23.01.2022 13:30 - 23.01.2022 14:00","N/A","444"
"23.01.2022 14:00 - 23.01.2022 14:30","N/A","474"
"23.01.2022 14:30 - 23.01.2022 15:00","N/A","519"
"23.01.2022 15:00 - 23.01.2022 15:30","N/A","567"
"23.01.2022 15:30 - 23.01.2022 16:00","N/A","618"
"23.01.2022 16:00 - 23.01.2022 16:30","N/A","675"
"23.01.2022 16:30 - 23.01.2022 17:00","N/A","722"
"23.01.2022 17:00 - 23.01.2022 17:30","N/A","754"
"23.01.2022 17:30 - 23.01.2022 18:00","N/A","769"
"23.01.2022 18:00 - 23.01.2022 18:30","N/A","771"
"23.01.2022 18:30 - 23.01.2022 19:00","N/A","768"
"23.01.2022 19:00 - 23.01.2022 19:30","N/A","757"
"23.01.2022 19:30 - 23.01.2022 20:00","N/A","742"
"23.01.2022 20:00 - 23.01.2022 20:30","N/A","721"
"23.01.2022 20:30 - 23.01.2022 21:00","N/A","701"
"23.01.2022 21:00 - 23.01.2022 21:30","N/A","670"
"23.01.2022 21:30 - 23.01.2022 22:00","N/A","635"
"23.01.2022 22:00 - 23.01.2022 22:30","N/A","595"
"23.01.2022 22:30 - 23.01.2022 23:00","N/A","555"
"23.01.2022 23:00 - 23.01.2022 23:30","N/A","508"
"23.01.2022 23:30 - 24.01.2022 00:00","N/A","470"
"24.01.2022 00:00 - 24.01.2022 00:30","N/A","442"
"24.01.2022 00:30 - 24.01.2022 01:00","N/A","422"
"24.01.2022 01:00 - 24.01.2022 01:30","N/A","408"
"24.01.2022 01:30 - 24.01.2022 02:00","N/A","398"
"24.01.2022 02:00 - 24.01.2022 02:30","N/A","393"
"24.01.2022 02:30 - 24.01.2022 03:00","N/A","391"
"24.01.2022 03:00 - 24.01.2022 03:30","N/A","396"
"24.01.2022 03:30 - 24.01.2022 04:00","N/A","404"
"24.01.2022 04:00 - 24.01.2022 04:30","N/A","427"
"24.01.2022 04:30 - 24.01.2022 05:00","N/A","459"
"24.01.2022 05:00 - 24.01.2022 05:30","N/A","523"
"24.01.2022 05:30 - 24.01.2022 06:00","N/A","579"
"24.01.2022 06:00 - 24.01.2022 06:30","N/A","608"
"24.01.2022 06:30 - 24.01.2022 07:00","N/A","606"
"24.01.2022 07:00 - 24.01.2022 07:30","N/A","617"
"24.01.2022 07:30 - 24.01.2022 08:00","N/A","611"
"24.01.2022 08:00 - 24.01.2022 08:30","N/A","622"
"24.01.2022 08:30 - 24.01.2022 09:00","N/A","632"
"24.01.2022 09:00 - 24.01.2022 09:30","N/A","650"
"24.01.2022 09:30 - 24.01.2022 10:00","N/A","653"
"24.01.2022 10:00 - 24.01.2022 10:30","N/A","640"
"24.01.2022 10:30 - 24.01.2022 11:00","N/A","644"
"24.01.2022 11:00 - 24.01.2022 11:30","N/A","638"
"24.01.2022 11:30 - 24.01.2022 12:00","N/A","627"
"24.01.2022 12:00 - 24.01.2022 12:30","N/A","629"
"24.01.2022 12:30 - 24.01.2022 13:00","N/A","637"
"24.01.2022 13:00 - 24.01.2022 13:30","N/A","626"
"24.01.2022 13:30 - 24.01.2022 14:00","N/A","632"
"24.01.2022 14:00 - 24.01.2022 14:30","N/A","650"
"24.01.2022 14:30 - 24.01.2022 15:00","N/A","675"
"24.01.2022 15:00 - 24.01.2022 15:30","N/A","705"
"24.01.2022 15:30 - 24.01.2022 16:00","N/A","750"
"24.01.2022 16:00 - 24.01.2022 16:30","N/A","804"
"24.01.2022 16:30 - 24.01.2022 17:00","N/A","855"
"24.01.2022 17:00 - 24.01.2022 17:30","N/A","882"
"24.01.2022 17:30 - 24.01.2022 18:00","N/A","895"
"24.01.2022 18:00 - 24.01.2022 18:30","N/A","898"
"24.01.2022 18:30 - 24.01.2022 19:00","N/A","889"
"24.01.2022 19:00 - 24.01.2022 19:30","N/A","871"
"24.01.2022 19:30 - 24.01.2022 20:00","N/A","850"
"24.01.2022 20:00 - 24.01.2022 20:30","N/A","828"
"24.01.2022 20:30 - 24.01.2022 21:00","N/A","811"
"24.01.2022 21:00 - 24.01.2022 21:30","N/A","772"
"24.01.2022 21:30 - 24.01.2022 22:00","N/A","723"
"24.01.2022 22:00 - 24.01.2022 22:30","N/A","672"
"24.01.2022 22:30 - 24.01.2022 23:00","N/A","604"
"24.01.2022 23:00 - 24.01.2022 23:30","N/A","553"
"24.01.2022 23:30 - 25.01.2022 00:00","N/A","508"
"25.01.2022 00:00 - 25.01.2022 00:30","N/A","478"
"25.01.2022 00:30 - 25.01.2022 01:00","N/A","456"
"25.01.2022 01:00 - 25.01.2022 01:30","N/A","442"
"25.01.2022 01:30 - 25.01.2022 02:00","N/A","428"
"25.01.2022 02:00 - 25.01.2022 02:30","N/A","420"
"25.01.2022 02:30 - 25.01.2022 03:00","N/A","414"
"25.01.2022 03:00 - 25.01.2022 03:30","N/A","419"
"25.01.2022 03:30 - 25.01.2022 04:00","N/A","426"
"25.01.2022 04:00 - 25.01.2022 04:30","N/A","443"
"25.01.2022 04:30 - 25.01.2022 05:00","N/A","472"
"25.01.2022 05:00 - 25.01.2022 05:30","N/A","535"
"25.01.2022 05:30 - 25.01.2022 06:00","N/A","590"
"25.01.2022 06:00 - 25.01.2022 06:30","N/A","635"
"25.01.2022 06:30 - 25.01.2022 07:00","N/A","675"
"25.01.2022 07:00 - 25.01.2022 07:30","N/A","724"
"25.01.2022 07:30 - 25.01.2022 08:00","N/A","752"
"25.01.2022 08:00 - 25.01.2022 08:30","N/A","759"
"25.01.2022 08:30 - 25.01.2022 09:00","N/A","763"
"25.01.2022 09:00 - 25.01.2022 09:30","N/A","757"
"25.01.2022 09:30 - 25.01.2022 10:00","N/A","747"
"25.01.2022 10:00 - 25.01.2022 10:30","N/A","726"
"25.01.2022 10:30 - 25.01.2022 11:00","N/A","725"
"25.01.2022 11:00 - 25.01.2022 11:30","N/A","742"
"25.01.2022 11:30 - 25.01.2022 12:00","N/A","747"
"25.01.2022 12:00 - 25.01.2022 12:30","N/A","771"
"25.01.2022 12:30 - 25.01.2022 13:00","N/A","765"
"25.01.2022 13:00 - 25.01.2022 13:30","N/A","770"
"25.01.2022 13:30 - 25.01.2022 14:00","N/A","779"
"25.01.2022 14:00 - 25.01.2022 14:30","N/A","796"
"25.01.2022 14:30 - 25.01.2022 15:00","N/A","827"
"25.01.2022 15:00 - 25.01.2022 15:30","N/A","842"
"25.01.2022 15:30 - 25.01.2022 16:00","N/A","848"
"25.01.2022 16:00 - 25.01.2022 16:30","N/A","873"
"25.01.2022 16:30 - 25.01.2022 17:00","N/A","901"
"25.01.2022 17:00 - 25.01.2022 17:30","N/A","917"
"25.01.2022 17:30 - 25.01.2022 18:00","N/A","922"
"25.01.2022 18:00 - 25.01.2022 18:30","N/A","910"
"25.01.2022 18:30 - 25.01.2022 19:00","N/A","898"
"25.01.2022 19:00 - 25.01.2022 19:30","N/A","879"
"25.01.2022 19:30 - 25.01.2022 20:00","N/A","856"
"25.01.2022 20:00 - 25.01.2022 20:30","N/A","823"
"25.01.2022 20:30 - 25.01.2022 21:00","N/A","786"
"25.01.2022 21:00 - 25.01.2022 21:30","N/A","740"
"25.01.2022 21:30 - 25.01.2022 22:00","N/A","695"
"25.01.2022 22:00 - 25.01.2022 22:30","N/A","647"
"25.01.2022 22:30 - 25.01.2022 23:00","N/A","605"
"25.01.2022 23:00 - 25.01.2022 23:30","N/A","553"
"25.01.2022 23:30 - 26.01.2022 00:00","N/A","509"
"26.01.2022 00:00 - 26.01.2022 00:30","N/A","478"
"26.01.2022 00:30 - 26.01.2022 01:00","N/A","455"
"26.01.2022 01:00 - 26.01.2022 01:30","N/A","439"
"26.01.2022 01:30 - 26.01.2022 02:00","N/A","427"
"26.01.2022 02:00 - 26.01.2022 02:30","N/A","421"
"26.01.2022 02:30 - 26.01.2022 03:00","N/A","416"
"26.01.2022 03:00 - 26.01.2022 03:30","N/A","420"
"26.01.2022 03:30 - 26.01.2022 04:00","N/A","428"
"26.01.2022 04:00 - 26.01.2022 04:30","N/A","448"
"26.01.2022 04:30 - 26.01.2022 05:00","N/A","482"
"26.01.2022 05:00 - 26.01.2022 05:30","N/A","543"
"26.01.2022 05:30 - 26.01.2022 06:00","N/A","600"
"26.01.2022 06:00 - 26.01.2022 06:30","N/A","640"
"26.01.2022 06:30 - 26.01.2022 07:00","N/A","659"
"26.01.2022 07:00 - 26.01.2022 07:30","N/A","677"
"26.01.2022 07:30 - 26.01.2022 08:00","N/A","674"
"26.01.2022 08:00 - 26.01.2022 08:30","N/A","682"
"26.01.2022 08:30 - 26.01.2022 09:00","N/A","690"
"26.01.2022 09:00 - 26.01.2022 09:30","N/A","729"
"26.01.2022 09:30 - 26.01.2022 10:00","N/A","712"
"26.01.2022 10:00 - 26.01.2022 10:30","N/A","731"
"26.01.2022 10:30 - 26.01.2022 11:00","N/A","724"
"26.01.2022 11:00 - 26.01.2022 11:30","N/A","701"
"26.01.2022 11:30 - 26.01.2022 12:00","N/A","722"
"26.01.2022 12:00 - 26.01.2022 12:30","N/A","729"
"26.01.2022 12:30 - 26.01.2022 13:00","N/A","752"
"26.01.2022 13:00 - 26.01.2022 13:30","N/A","765"
"26.01.2022 13:30 - 26.01.2022 14:00","N/A","786"
"26.01.2022 14:00 - 26.01.2022 14:30","N/A","795"
"26.01.2022 14:30 - 26.01.2022 15:00","N/A","816"
"26.01.2022 15:00 - 26.01.2022 15:30","N/A","835"
"26.01.2022 15:30 - 26.01.2022 16:00","N/A","856"
"26.01.2022 16:00 - 26.01.2022 16:30","N/A","889"
"26.01.2022 16:30 - 26.01.2022 17:00","N/A","929"
"26.01.2022 17:00 - 26.01.2022 17:30","N/A","953"
"26.01.2022 17:30 - 26.01.2022 18:00","N/A","959"
"26.01.2022 18:00 - 26.01.2022 18:30","N/A","952"
"26.01.2022 18:30 - 26.01.2022 19:00","N/A","934"
"26.01.2022 19:00 - 26.01.2022 19:30","N/A","910"
"26.01.2022 19:30 - 26.01.2022 20:00","N/A","882"
"26.01.2022 20:00 - 26.01.2022 20:30","N/A","852"
"26.01.2022 20:30 - 26.01.2022 21:00","N/A","818"
"26.01.2022 21:00 - 26.01.2022 21:30","N/A","771"
"26.01.2022 21:30 - 26.01.2022 22:00","N/A","723"
"26.01.2022 22:00 - 26.01.2022 22:30","N/A","674"
"26.01.2022 22:30 - 26.01.2022 23:00","N/A","630"
"26.01.2022 23:00 - 26.01.2022 23:30","N/A","582"
"26.01.2022 23:30 - 27.01.2022 00:00","N/A","537"
"27.01.2022 00:00 - 27.01.2022 00:30","N/A","507"
"27.01.2022 00:30 - 27.01.2022 01:00","N/A","484"
"27.01.2022 01:00 - 27.01.2022 01:30","N/A","469"
"27.01.2022 01:30 - 27.01.2022 02:00","N/A","459"
"27.01.2022 02:00 - 27.01.2022 02:30","N/A","452"
"27.01.2022 02:30 - 27.01.2022 03:00","N/A","448"
"27.01.2022 03:00 - 27.01.2022 03:30","N/A","452"
"27.01.2022 03:30 - 27.01.2022 04:00","N/A","460"
"27.01.2022 04:00 - 27.01.2022 04:30","N/A","481"
"27.01.2022 04:30 - 27.01.2022 05:00","N/A","514"
"27.01.2022 05:00 - 27.01.2022 05:30","N/A","579"
"27.01.2022 05:30 - 27.01.2022 06:00","N/A","635"
"27.01.2022 06:00 - 27.01.2022 06:30","N/A","666"
"27.01.2022 06:30 - 27.01.2022 07:00","N/A","675"
"27.01.2022 07:00 - 27.01.2022 07:30","N/A","677"
"27.01.2022 07:30 - 27.01.2022 08:00","N/A","656"
"27.01.2022 08:00 - 27.01.2022 08:30","N/A","632"
"27.01.2022 08:30 - 27.01.2022 09:00","N/A","616"
"27.01.2022 09:00 - 27.01.2022 09:30","N/A","619"
"27.01.2022 09:30 - 27.01.2022 10:00","N/A","626"
"27.01.2022 10:00 - 27.01.2022 10:30","N/A","619"
"27.01.2022 10:30 - 27.01.2022 11:00","N/A","617"
"27.01.2022 11:00 - 27.01.2022 11:30","N/A","610"
"27.01.2022 11:30 - 27.01.2022 12:00","N/A","584"
"27.01.2022 12:00 - 27.01.2022 12:30","N/A","576"
"27.01.2022 12:30 - 27.01.2022 13:00","N/A","591"
"27.01.2022 13:00 - 27.01.2022 13:30","N/A","602"
"27.01.2022 13:30 - 27.01.2022 14:00","N/A","621"
"27.01.2022 14:00 - 27.01.2022 14:30","N/A","644"
"27.01.2022 14:30 - 27.01.2022 15:00","N/A","677"
"27.01.2022 15:00 - 27.01.2022 15:30","N/A","713"
"27.01.2022 15:30 - 27.01.2022 16:00","N/A","764"
"27.01.2022 16:00 - 27.01.2022 16:30","N/A","825"
"27.01.2022 16:30 - 27.01.2022 17:00","N/A","891"
"27.01.2022 17:00 - 27.01.2022 17:30","N/A","921"
"27.01.2022 17:30 - 27.01.2022 18:00","N/A","935"
"27.01.2022 18:00 - 27.01.2022 18:30","N/A","934"
"27.01.2022 18:30 - 27.01.2022 19:00","N/A","925"
"27.01.2022 19:00 - 27.01.2022 19:30","N/A","N/A"
"27.01.2022 19:30 - 27.01.2022 20:00","N/A","N/A"
"27.01.2022 20:00 - 27.01.2022 20:30","N/A","N/A"
"27.01.2022 20:30 - 27.01.2022 21:00","N/A","826"
"27.01.2022 21:00 - 27.01.2022 21:30","N/A","780"
"27.01.2022 21:30 - 27.01.2022 22:00","N/A","733"
"27.01.2022 22:00 - 27.01.2022 22:30","N/A","685"
"27.01.2022 22:30 - 27.01.2022 23:00","N/A","638"
"27.01.2022 23:00 - 27.01.2022 23:30","N/A","591"
"27.01.2022 23:30 - 28.01.2022 00:00","N/A","553"
"28.01.2022 00:00 - 28.01.2022 00:30","N/A","523"
"28.01.2022 00:30 - 28.01.2022 01:00","N/A","500"
"28.01.2022 01:00 - 28.01.2022 01:30","N/A","484"
"28.01.2022 01:30 - 28.01.2022 02:00","N/A","472"
"28.01.2022 02:00 - 28.01.2022 02:30","N/A","466"
"28.01.2022 02:30 - 28.01.2022 03:00","N/A","463"
"28.01.2022 03:00 - 28.01.2022 03:30","N/A","466"
"28.01.2022 03:30 - 28.01.2022 04:00","N/A","472"
"28.01.2022 04:00 - 28.01.2022 04:30","N/A","491"
"28.01.2022 04:30 - 28.01.2022 05:00","N/A","520"
"28.01.2022 05:00 - 28.01.2022 05:30","N/A","581"
"28.01.2022 05:30 - 28.01.2022 06:00","N/A","633"
"28.01.2022 06:00 - 28.01.2022 06:30","N/A","672"
"28.01.2022 06:30 - 28.01.2022 07:00","N/A","699"
"28.01.2022 07:00 - 28.01.2022 07:30","N/A","729"
"28.01.2022 07:30 - 28.01.2022 08:00","N/A","722"
"28.01.2022 08:00 - 28.01.2022 08:30","N/A","699"
"28.01.2022 08:30 - 28.01.2022 09:00","N/A","656"
"28.01.2022 09:00 - 28.01.2022 09:30","N/A","617"
"28.01.2022 09:30 - 28.01.2022 10:00","N/A","614"
"28.01.2022 10:00 - 28.01.2022 10:30","N/A","614"
"28.01.2022 10:30 - 28.01.2022 11:00","N/A","605"
"28.01.2022 11:00 - 28.01.2022 11:30","N/A","622"
"28.01.2022 11:30 - 28.01.2022 12:00","N/A","646"
"28.01.2022 12:00 - 28.01.2022 12:30","N/A","667"
"28.01.2022 12:30 - 28.01.2022 13:00","N/A","691"
"28.01.2022 13:00 - 28.01.2022 13:30","N/A","700"
"28.01.2022 13:30 - 28.01.2022 14:00","N/A","707"
"28.01.2022 14:00 - 28.01.2022 14:30","N/A","718"
"28.01.2022 14:30 - 28.01.2022 15:00","N/A","739"
"28.01.2022 15:00 - 28.01.2022 15:30","N/A","767"
"28.01.2022 15:30 - 28.01.2022 16:00","N/A","799"
"28.01.2022 16:00 - 28.01.2022 16:30","N/A","838"
"28.01.2022 16:30 - 28.01.2022 17:00","N/A","882"
"28.01.2022 17:00 - 28.01.2022 17:30","N/A","902"
"28.01.2022 17:30 - 28.01.2022 18:00","N/A","908"
"28.01.2022 18:00 - 28.01.2022 18:30","N/A","904"
"28.01.2022 18:30 - 28.01.2022 19:00","N/A","891"
"28.01.2022 19:00 - 28.01.2022 19:30","N/A","867"
"28.01.2022 19:30 - 28.01.2022 20:00","N/A","838"
"28.01.2022 20:00 - 28.01.2022 20:30","N/A","815"
"28.01.2022 20:30 - 28.01.2022 21:00","N/A","791"
"28.01.2022 21:00 - 28.01.2022 21:30","N/A","755"
"28.01.2022 21:30 - 28.01.2022 22:00","N/A","722"
"28.01.2022 22:00 - 28.01.2022 22:30","N/A","682"
"28.01.2022 22:30 - 28.01.2022 23:00","N/A","645"
"28.01.2022 23:00 - 28.01.2022 23:30","N/A","604"
"28.01.2022 23:30 - 29.01.2022 00:00","N/A","568"
"29.01.2022 00:00 - 29.01.2022 00:30","N/A","534"
"29.01.2022 00:30 - 29.01.2022 01:00","N/A","508"
"29.01.2022 01:00 - 29.01.2022 01:30","N/A","488"
"29.01.2022 01:30 - 29.01.2022 02:00","N/A","475"
"29.01.2022 02:00 - 29.01.2022 02:30","N/A","467"
"29.01.2022 02:30 - 29.01.2022 03:00","N/A","462"
"29.01.2022 03:00 - 29.01.2022 03:30","N/A","463"
"29.01.2022 03:30 - 29.01.2022 04:00","N/A","464"
"29.01.2022 04:00 - 29.01.2022 04:30","N/A","471"
"29.01.2022 04:30 - 29.01.2022 05:00","N/A","481"
"29.01.2022 05:00 - 29.01.2022 05:30","N/A","506"
"29.01.2022 05:30 - 29.01.2022 06:00","N/A","523"
"29.01.2022 06:00 - 29.01.2022 06:30","N/A","544"
"29.01.2022 06:30 - 29.01.2022 07:00","N/A","550"
"29.01.2022 07:00 - 29.01.2022 07:30","N/A","550"
"29.01.2022 07:30 - 29.01.2022 08:00","N/A","544"
"29.01.2022 08:00 - 29.01.2022 08:30","N/A","540"
"29.01.2022 08:30 - 29.01.2022 09:00","N/A","530"
"29.01.2022 09:00 - 29.01.2022 09:30","N/A","527"
"29.01.2022 09:30 - 29.01.2022 10:00","N/A","520"
"29.01.2022 10:00 - 29.01.2022 10:30","N/A","503"
"29.01.2022 10:30 - 29.01.2022 11:00","N/A","494"
"29.01.2022 11:00 - 29.01.2022 11:30","N/A","504"
"29.01.2022 11:30 - 29.01.2022 12:00","N/A","530"
"29.01.2022 12:00 - 29.01.2022 12:30","N/A","557"
"29.01.2022 12:30 - 29.01.2022 13:00","N/A","597"
"29.01.2022 13:00 - 29.01.2022 13:30","N/A","636"
"29.01.2022 13:30 - 29.01.2022 14:00","N/A","661"
"29.01.2022 14:00 - 29.01.2022 14:30","N/A","680"
"29.01.2022 14:30 - 29.01.2022 15:00","N/A","703"
"29.01.2022 15:00 - 29.01.2022 15:30","N/A","724"
"29.01.2022 15:30 - 29.01.2022 16:00","N/A","744"
"29.01.2022 16:00 - 29.01.2022 16:30","N/A","773"
"29.01.2022 16:30 - 29.01.2022 17:00","N/A","810"
"29.01.2022 17:00 - 29.01.2022 17:30","N/A","829"
"29.01.2022 17:30 - 29.01.2022 18:00","N/A","832"
"29.01.2022 18:00 - 29.01.2022 18:30","N/A","825"
"29.01.2022 18:30 - 29.01.2022 19:00","N/A","810"
"29.01.2022 19:00 - 29.01.2022 19:30","N/A","789"
"29.01.2022 19:30 - 29.01.2022 20:00","N/A","768"
"29.01.2022 20:00 - 29.01.2022 20:30","N/A","752"
"29.01.2022 20:30 - 29.01.2022 21:00","N/A","737"
"29.01.2022 21:00 - 29.01.2022 21:30","N/A","711"
"29.01.2022 21:30 - 29.01.2022 22:00","N/A","684"
"29.01.2022 22:00 - 29.01.2022 22:30","N/A","654"
"29.01.2022 22:30 - 29.01.2022 23:00","N/A","625"
"29.01.2022 23:00 - 29.01.2022 23:30","N/A","584"
"29.01.2022 23:30 - 30.01.2022 00:00","N/A","546"
"30.01.2022 00:00 - 30.01.2022 00:30","N/A","511"
"30.01.2022 00:30 - 30.01.2022 01:00","N/A","485"
"30.01.2022 01:00 - 30.01.2022 01:30","N/A","466"
"30.01.2022 01:30 - 30.01.2022 02:00","N/A","451"
"30.01.2022 02:00 - 30.01.2022 02:30","N/A","442"
"30.01.2022 02:30 - 30.01.2022 03:00","N/A","436"
"30.01.2022 03:00 - 30.01.2022 03:30","N/A","435"
"30.01.2022 03:30 - 30.01.2022 04:00","N/A","434"
"30.01.2022 04:00 - 30.01.2022 04:30","N/A","437"
"30.01.2022 04:30 - 30.01.2022 05:00","N/A","441"
"30.01.2022 05:00 - 30.01.2022 05:30","N/A","459"
"30.01.2022 05:30 - 30.01.2022 06:00","N/A","464"
"30.01.2022 06:00 - 30.01.2022 06:30","N/A","482"
"30.01.2022 06:30 - 30.01.2022 07:00","N/A","493"
"30.01.2022 07:00 - 30.01.2022 07:30","N/A","509"
"30.01.2022 07:30 - 30.01.2022 08:00","N/A","521"
"30.01.2022 08:00 - 30.01.2022 08:30","N/A","530"
"30.01.2022 08:30 - 30.01.2022 09:00","N/A","533"
"30.01.2022 09:00 - 30.01.2022 09:30","N/A","526"
"30.01.2022 09:30 - 30.01.2022 10:00","N/A","521"
"30.01.2022 10:00 - 30.01.2022 10:30","N/A","538"
"30.01.2022 10:30 - 30.01.2022 11:00","N/A","552"
"30.01.2022 11:00 - 30.01.2022 11:30","N/A","569"
"30.01.2022 11:30 - 30.01.2022 12:00","N/A","570"
"30.01.2022 12:00 - 30.01.2022 12:30","N/A","557"
"30.01.2022 12:30 - 30.01.2022 13:00","N/A","567"
"30.01.2022 13:00 - 30.01.2022 13:30","N/A","575"
"30.01.2022 13:30 - 30.01.2022 14:00","N/A","598"
"30.01.2022 14:00 - 30.01.2022 14:30","N/A","617"
"30.01.2022 14:30 - 30.01.2022 15:00","N/A","642"
"30.01.2022 15:00 - 30.01.2022 15:30","N/A","672"
"30.01.2022 15:30 - 30.01.2022 16:00","N/A","695"
"30.01.2022 16:00 - 30.01.2022 16:30","N/A","729"
"30.01.2022 16:30 - 30.01.2022 17:00","N/A","768"
"30.01.2022 17:00 - 30.01.2022 17:30","N/A","791"
"30.01.2022 17:30 - 30.01.2022 18:00","N/A","803"
"30.01.2022 18:00 - 30.01.2022 18:30","N/A","806"
"30.01.2022 18:30 - 30.01.2022 19:00","N/A","798"
"30.01.2022 19:00 - 30.01.2022 19:30","N/A","786"
"30.01.2022 19:30 - 30.01.2022 20:00","N/A","769"
"30.01.2022 20:00 - 30.01.2022 20:30","N/A","749"
"30.01.2022 20:30 - 30.01.2022 21:00","N/A","726"
"30.01.2022 21:00 - 30.01.2022 21:30","N/A","693"
"30.01.2022 21:30 - 30.01.2022 22:00","N/A","655"
"30.01.2022 22:00 - 30.01.2022 22:30","N/A","615"
"30.01.2022 22:30 - 30.01.2022 23:00","N/A","577"
"30.01.2022 23:00 - 30.01.2022 23:30","N/A","529"
"30.01.2022 23:30 - 31.01.2022 00:00","N/A","492"
"31.01.2022 00:00 - 31.01.2022 00:30","N/A","466"
"31.01.2022 00:30 - 31.01.2022 01:00","N/A","448"
"31.01.2022 01:00 - 31.01.2022 01:30","N/A","433"
"31.01.2022 01:30 - 31.01.2022 02:00","N/A","423"
"31.01.2022 02:00 - 31.01.2022 02:30","N/A","417"
"31.01.2022 02:30 - 31.01.2022 03:00","N/A","415"
"31.01.2022 03:00 - 31.01.2022 03:30","N/A","418"
"31.01.2022 03:30 - 31.01.2022 04:00","N/A","425"
"31.01.2022 04:00 - 31.01.2022 04:30","N/A","444"
"31.01.2022 04:30 - 31.01.2022 05:00","N/A","475"
