"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Cyprus (CY)","Actual Total Load [MW] - Cyprus (CY)"
"03.01.2022 01:00 - 03.01.2022 01:30","N/A","363"
"03.01.2022 01:30 - 03.01.2022 02:00","N/A","355"
"03.01.2022 02:00 - 03.01.2022 02:30","N/A","346"
"03.01.2022 02:30 - 03.01.2022 03:00","N/A","342"
"03.01.2022 03:00 - 03.01.2022 03:30","N/A","341"
"03.01.2022 03:30 - 03.01.2022 04:00","N/A","347"
"03.01.2022 04:00 - 03.01.2022 04:30","N/A","353"
"03.01.2022 04:30 - 03.01.2022 05:00","N/A","369"
"03.01.2022 05:00 - 03.01.2022 05:30","N/A","397"
"03.01.2022 05:30 - 03.01.2022 06:00","N/A","436"
"03.01.2022 06:00 - 03.01.2022 06:30","N/A","457"
"03.01.2022 06:30 - 03.01.2022 07:00","N/A","484"
"03.01.2022 07:00 - 03.01.2022 07:30","N/A","488"
"03.01.2022 07:30 - 03.01.2022 08:00","N/A","474"
"03.01.2022 08:00 - 03.01.2022 08:30","N/A","452"
"03.01.2022 08:30 - 03.01.2022 09:00","N/A","428"
"03.01.2022 09:00 - 03.01.2022 09:30","N/A","411"
"03.01.2022 09:30 - 03.01.2022 10:00","N/A","394"
"03.01.2022 10:00 - 03.01.2022 10:30","N/A","386"
"03.01.2022 10:30 - 03.01.2022 11:00","N/A","385"
"03.01.2022 11:00 - 03.01.2022 11:30","N/A","377"
"03.01.2022 11:30 - 03.01.2022 12:00","N/A","373"
"03.01.2022 12:00 - 03.01.2022 12:30","N/A","384"
"03.01.2022 12:30 - 03.01.2022 13:00","N/A","394"
"03.01.2022 13:00 - 03.01.2022 13:30","N/A","415"
"03.01.2022 13:30 - 03.01.2022 14:00","N/A","440"
"03.01.2022 14:00 - 03.01.2022 14:30","N/A","471"
"03.01.2022 14:30 - 03.01.2022 15:00","N/A","503"
"03.01.2022 15:00 - 03.01.2022 15:30","N/A","534"
"03.01.2022 15:30 - 03.01.2022 16:00","N/A","577"
"03.01.2022 16:00 - 03.01.2022 16:30","N/A","640"
"03.01.2022 16:30 - 03.01.2022 17:00","N/A","673"
"03.01.2022 17:00 - 03.01.2022 17:30","N/A","694"
"03.01.2022 17:30 - 03.01.2022 18:00","N/A","702"
"03.01.2022 18:00 - 03.01.2022 18:30","N/A","704"
"03.01.2022 18:30 - 03.01.2022 19:00","N/A","698"
"03.01.2022 19:00 - 03.01.2022 19:30","N/A","685"
"03.01.2022 19:30 - 03.01.2022 20:00","N/A","672"
"03.01.2022 20:00 - 03.01.2022 20:30","N/A","652"
"03.01.2022 20:30 - 03.01.2022 21:00","N/A","631"
"03.01.2022 21:00 - 03.01.2022 21:30","N/A","599"
"03.01.2022 21:30 - 03.01.2022 22:00","N/A","564"
"03.01.2022 22:00 - 03.01.2022 22:30","N/A","531"
"03.01.2022 22:30 - 03.01.2022 23:00","N/A","500"
"03.01.2022 23:00 - 03.01.2022 23:30","N/A","465"
"03.01.2022 23:30 - 04.01.2022 00:00","N/A","430"
"04.01.2022 00:00 - 04.01.2022 00:30","N/A","402"
"04.01.2022 00:30 - 04.01.2022 01:00","N/A","383"
"04.01.2022 01:00 - 04.01.2022 01:30","N/A","370"
"04.01.2022 01:30 - 04.01.2022 02:00","N/A","360"
"04.01.2022 02:00 - 04.01.2022 02:30","N/A","354"
"04.01.2022 02:30 - 04.01.2022 03:00","N/A","351"
"04.01.2022 03:00 - 04.01.2022 03:30","N/A","353"
"04.01.2022 03:30 - 04.01.2022 04:00","N/A","357"
"04.01.2022 04:00 - 04.01.2022 04:30","N/A","371"
"04.01.2022 04:30 - 04.01.2022 05:00","N/A","392"
"04.01.2022 05:00 - 04.01.2022 05:30","N/A","428"
