"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Spain (ES)","Generation - Solar  [MW] Intraday / Spain (ES)","Generation - Solar  [MW] Current / Spain (ES)","Generation - Wind Offshore  [MW] Day Ahead/ Spain (ES)","Generation - Wind Offshore  [MW] Intraday / Spain (ES)","Generation - Wind Offshore  [MW] Current / Spain (ES)","Generation - Wind Onshore  [MW] Day Ahead/ Spain (ES)","Generation - Wind Onshore  [MW] Intraday / Spain (ES)","Generation - Wind Onshore  [MW] Current / Spain (ES)"
"13.06.2022 21:00 - 13.06.2022 21:15","1250","1348","883","n/e","n/e","n/e","5751","5882","5328"
"13.06.2022 21:15 - 13.06.2022 21:30","946","1002","640","n/e","n/e","n/e","5776","5925","5345"
"13.06.2022 21:30 - 13.06.2022 21:45","721","758","484","n/e","n/e","n/e","5799","5968","5356"
"13.06.2022 21:45 - 13.06.2022 22:00","560","597","395","n/e","n/e","n/e","5812","6002","5356"
"13.06.2022 22:00 - 13.06.2022 22:15","411","468","347","n/e","n/e","n/e","5862","6085","5445"
"13.06.2022 22:15 - 13.06.2022 22:30","371","427","328","n/e","n/e","n/e","5832","6063","5415"
"13.06.2022 22:30 - 13.06.2022 22:45","353","401","312","n/e","n/e","n/e","5772","6000","5377"
"13.06.2022 22:45 - 13.06.2022 23:00","345","382","297","n/e","n/e","n/e","5686","5902","5329"
"13.06.2022 23:00 - 13.06.2022 23:15","351","368","277","n/e","n/e","n/e","5597","5801","5190"
"13.06.2022 23:15 - 13.06.2022 23:30","341","355","266","n/e","n/e","n/e","5490","5668","5112"
"13.06.2022 23:30 - 13.06.2022 23:45","320","340","256","n/e","n/e","n/e","5383","5534","5034"
"13.06.2022 23:45 - 14.06.2022 00:00","294","325","246","n/e","n/e","n/e","5277","5406","4958"
"14.06.2022 00:00 - 14.06.2022 00:15","270","303","303","n/e","n/e","n/e","4912","4888","4888"
"14.06.2022 00:15 - 14.06.2022 00:30","235","291","291","n/e","n/e","n/e","4764","4821","4821"
"14.06.2022 00:30 - 14.06.2022 00:45","214","280","280","n/e","n/e","n/e","4626","4754","4754"
"14.06.2022 00:45 - 14.06.2022 01:00","205","270","270","n/e","n/e","n/e","4498","4682","4682"
"14.06.2022 01:00 - 14.06.2022 01:15","204","278","278","n/e","n/e","n/e","4375","4446","4446"
"14.06.2022 01:15 - 14.06.2022 01:30","201","282","282","n/e","n/e","n/e","4258","4329","4329"
"14.06.2022 01:30 - 14.06.2022 01:45","194","287","287","n/e","n/e","n/e","4143","4213","4213"
"14.06.2022 01:45 - 14.06.2022 02:00","183","291","291","n/e","n/e","n/e","4031","4103","4103"
"14.06.2022 02:00 - 14.06.2022 02:15","169","224","224","n/e","n/e","n/e","3919","4160","4160"
"14.06.2022 02:15 - 14.06.2022 02:30","157","211","211","n/e","n/e","n/e","3813","4040","4040"
"14.06.2022 02:30 - 14.06.2022 02:45","147","202","202","n/e","n/e","n/e","3710","3929","3929"
"14.06.2022 02:45 - 14.06.2022 03:00","139","197","197","n/e","n/e","n/e","3615","3824","3824"
"14.06.2022 03:00 - 14.06.2022 03:15","130","147","147","n/e","n/e","n/e","3507","3974","3974"
"14.06.2022 03:15 - 14.06.2022 03:30","127","139","139","n/e","n/e","n/e","3434","3877","3877"
"14.06.2022 03:30 - 14.06.2022 03:45","126","132","132","n/e","n/e","n/e","3375","3782","3782"
"14.06.2022 03:45 - 14.06.2022 04:00","126","127","127","n/e","n/e","n/e","3328","3686","3686"
"14.06.2022 04:00 - 14.06.2022 04:15","131","139","139","n/e","n/e","n/e","3284","3517","3517"
"14.06.2022 04:15 - 14.06.2022 04:30","127","126","126","n/e","n/e","n/e","3250","3427","3427"
"14.06.2022 04:30 - 14.06.2022 04:45","120","112","112","n/e","n/e","n/e","3218","3335","3335"
"14.06.2022 04:45 - 14.06.2022 05:00","110","98","98","n/e","n/e","n/e","3184","3240","3240"
"14.06.2022 05:00 - 14.06.2022 05:15","99","88","88","n/e","n/e","n/e","3162","3219","3219"
"14.06.2022 05:15 - 14.06.2022 05:30","88","73","73","n/e","n/e","n/e","3118","3119","3119"
"14.06.2022 05:30 - 14.06.2022 05:45","78","60","60","n/e","n/e","n/e","3067","3014","3014"
"14.06.2022 05:45 - 14.06.2022 06:00","70","48","48","n/e","n/e","n/e","3008","2908","2908"
"14.06.2022 06:00 - 14.06.2022 06:15","71","39","39","n/e","n/e","n/e","2954","2943","2943"
"14.06.2022 06:15 - 14.06.2022 06:30","76","44","44","n/e","n/e","n/e","2885","2839","2839"
"14.06.2022 06:30 - 14.06.2022 06:45","94","69","69","n/e","n/e","n/e","2812","2736","2736"
"14.06.2022 06:45 - 14.06.2022 07:00","138","124","124","n/e","n/e","n/e","2736","2636","2636"
"14.06.2022 07:00 - 14.06.2022 07:15","308","310","310","n/e","n/e","n/e","2674","2652","2652"
"14.06.2022 07:15 - 14.06.2022 07:30","532","564","564","n/e","n/e","n/e","2583","2555","2555"
"14.06.2022 07:30 - 14.06.2022 07:45","868","906","906","n/e","n/e","n/e","2482","2459","2459"
"14.06.2022 07:45 - 14.06.2022 08:00","1309","1338","1338","n/e","n/e","n/e","2373","2365","2365"
"14.06.2022 08:00 - 14.06.2022 08:15","2315","2163","2163","n/e","n/e","n/e","2271","2145","2145"
"14.06.2022 08:15 - 14.06.2022 08:30","3075","2969","2969","n/e","n/e","n/e","2156","2058","2058"
"14.06.2022 08:30 - 14.06.2022 08:45","3900","3839","3839","n/e","n/e","n/e","2041","1974","1974"
"14.06.2022 08:45 - 14.06.2022 09:00","4746","4723","4723","n/e","n/e","n/e","1932","1894","1894"
"14.06.2022 09:00 - 14.06.2022 09:15","6145","6231","6252","n/e","n/e","n/e","1809","1809","1810"
"14.06.2022 09:15 - 14.06.2022 09:30","6964","7092","7023","n/e","n/e","n/e","1724","1740","1717"
"14.06.2022 09:30 - 14.06.2022 09:45","7653","7814","7704","n/e","n/e","n/e","1658","1678","1643"
"14.06.2022 09:45 - 14.06.2022 10:00","8230","8415","8307","n/e","n/e","n/e","1618","1634","1597"
"14.06.2022 10:00 - 14.06.2022 10:15","8916","9137","8674","n/e","n/e","n/e","1532","1539","1300"
"14.06.2022 10:15 - 14.06.2022 10:30","9386","9610","9159","n/e","n/e","n/e","1565","1563","1349"
"14.06.2022 10:30 - 14.06.2022 10:45","9834","10048","9599","n/e","n/e","n/e","1642","1634","1429"
"14.06.2022 10:45 - 14.06.2022 11:00","10249","10443","9987","n/e","n/e","n/e","1758","1746","1540"
"14.06.2022 11:00 - 14.06.2022 11:15","10789","10962","10506","n/e","n/e","n/e","1885","1866","1659"
"14.06.2022 11:15 - 14.06.2022 11:30","11077","11216","10767","n/e","n/e","n/e","2056","2039","1835"
"14.06.2022 11:30 - 14.06.2022 11:45","11275","11375","10976","n/e","n/e","n/e","2245","2232","2026"
"14.06.2022 11:45 - 14.06.2022 12:00","11403","11463","11145","n/e","n/e","n/e","2450","2444","2228"
"14.06.2022 12:00 - 14.06.2022 12:15","11506","11518","11216","n/e","n/e","n/e","2688","2693","2234"
"14.06.2022 12:15 - 14.06.2022 12:30","11580","11557","11364","n/e","n/e","n/e","2919","2935","2456"
"14.06.2022 12:30 - 14.06.2022 12:45","11663","11611","11501","n/e","n/e","n/e","3160","3187","2681"
"14.06.2022 12:45 - 14.06.2022 13:00","11749","11673","11622","n/e","n/e","n/e","3402","3436","2903"
"14.06.2022 13:00 - 14.06.2022 13:15","11879","11775","11644","n/e","n/e","n/e","3708","3767","2503"
"14.06.2022 13:15 - 14.06.2022 13:30","11930","11811","11614","n/e","n/e","n/e","3930","3977","2744"
"14.06.2022 13:30 - 14.06.2022 13:45","11946","11815","11552","n/e","n/e","n/e","4129","4147","2972"
"14.06.2022 13:45 - 14.06.2022 14:00","11926","11787","11475","n/e","n/e","n/e","4301","4280","3185"
"14.06.2022 14:00 - 14.06.2022 14:15","11933","11778","11480","n/e","n/e","n/e","4511","4430","2769"
"14.06.2022 14:15 - 14.06.2022 14:30","11850","11700","11453","n/e","n/e","n/e","4627","4508","2961"
"14.06.2022 14:30 - 14.06.2022 14:45","11740","11601","11405","n/e","n/e","n/e","4714","4568","3144"
"14.06.2022 14:45 - 14.06.2022 15:00","11607","11485","11330","n/e","n/e","n/e","4782","4621","3321"
"14.06.2022 15:00 - 14.06.2022 15:15","11483","11382","11481","n/e","n/e","n/e","4832","4650","3257"
"14.06.2022 15:15 - 14.06.2022 15:30","11321","11237","11311","n/e","n/e","n/e","4899","4718","3425"
"14.06.2022 15:30 - 14.06.2022 15:45","11152","11081","11106","n/e","n/e","n/e","4978","4806","3599"
"14.06.2022 15:45 - 14.06.2022 16:00","10970","10911","10875","n/e","n/e","n/e","5064","4905","3771"
"14.06.2022 16:00 - 14.06.2022 16:15","10829","10771","10678","n/e","n/e","n/e","5182","5038","3898"
"14.06.2022 16:15 - 14.06.2022 16:30","10607","10568","10440","n/e","n/e","n/e","5250","5125","4035"
"14.06.2022 16:30 - 14.06.2022 16:45","10357","10344","10187","n/e","n/e","n/e","5295","5190","4167"
"14.06.2022 16:45 - 14.06.2022 17:00","10078","10098","9919","n/e","n/e","n/e","5320","5234","4285"
"14.06.2022 17:00 - 14.06.2022 17:15","9849","9899","9813","n/e","n/e","n/e","5346","5288","4439"
"14.06.2022 17:15 - 14.06.2022 17:30","9512","9602","9501","n/e","n/e","n/e","5349","5302","4492"
"14.06.2022 17:30 - 14.06.2022 17:45","9148","9277","9172","n/e","n/e","n/e","5349","5305","4531"
"14.06.2022 17:45 - 14.06.2022 18:00","8756","8921","8812","n/e","n/e","n/e","5342","5294","4552"
"14.06.2022 18:00 - 14.06.2022 18:15","8445","8659","8297","n/e","n/e","n/e","5357","5309","4632"
"14.06.2022 18:15 - 14.06.2022 18:30","7994","8219","7846","n/e","n/e","n/e","5325","5258","4619"
"14.06.2022 18:30 - 14.06.2022 18:45","7513","7732","7338","n/e","n/e","n/e","5276","5184","4604"
"14.06.2022 18:45 - 14.06.2022 19:00","6988","7187","6769","n/e","n/e","n/e","5209","5093","4586"
"14.06.2022 19:00 - 14.06.2022 19:15","6676","6858","6267","n/e","n/e","n/e","5151","4986","4638"
"14.06.2022 19:15 - 14.06.2022 19:30","5984","6125","5517","n/e","n/e","n/e","5055","4894","4599"
"14.06.2022 19:30 - 14.06.2022 19:45","5206","5301","4722","n/e","n/e","n/e","4948","4814","4570"
"14.06.2022 19:45 - 14.06.2022 20:00","4382","4434","3921","n/e","n/e","n/e","4839","4744","4548"
"14.06.2022 20:00 - 14.06.2022 20:15","3708","3709","3213","n/e","n/e","n/e","4703","4678","4743"
"14.06.2022 20:15 - 14.06.2022 20:30","2916","2891","2562","n/e","n/e","n/e","4621","4618","4700"
"14.06.2022 20:30 - 14.06.2022 20:45","2228","2193","1967","n/e","n/e","n/e","4563","4558","4653"
"14.06.2022 20:45 - 14.06.2022 21:00","1653","1619","1446","n/e","n/e","n/e","4524","4500","4608"
"14.06.2022 21:00 - 14.06.2022 21:15","1196","1171","918","n/e","n/e","n/e","4497","4431","4533"
"14.06.2022 21:15 - 14.06.2022 21:30","844","828","664","n/e","n/e","n/e","4470","4388","4515"
"14.06.2022 21:30 - 14.06.2022 21:45","603","593","494","n/e","n/e","n/e","4438","4356","4500"
"14.06.2022 21:45 - 14.06.2022 22:00","453","446","390","n/e","n/e","n/e","4402","4333","4486"
"14.06.2022 22:00 - 14.06.2022 22:15","340","336","308","n/e","n/e","n/e","4363","4311","4285"
"14.06.2022 22:15 - 14.06.2022 22:30","313","308","285","n/e","n/e","n/e","4323","4300","4327"
"14.06.2022 22:30 - 14.06.2022 22:45","300","289","268","n/e","n/e","n/e","4285","4291","4369"
"14.06.2022 22:45 - 14.06.2022 23:00","294","274","254","n/e","n/e","n/e","4249","4280","4399"
"14.06.2022 23:00 - 14.06.2022 23:15","303","259","247","n/e","n/e","n/e","4207","4284","4721"
"14.06.2022 23:15 - 14.06.2022 23:30","291","250","234","n/e","n/e","n/e","4181","4258","4682"
"14.06.2022 23:30 - 14.06.2022 23:45","268","244","220","n/e","n/e","n/e","4160","4219","4636"
"14.06.2022 23:45 - 15.06.2022 00:00","239","238","207","n/e","n/e","n/e","4143","4170","4580"
"15.06.2022 00:00 - 15.06.2022 00:15","198","180","180","n/e","n/e","n/e","3851","4474","4474"
"15.06.2022 00:15 - 15.06.2022 00:30","182","174","174","n/e","n/e","n/e","3784","4462","4462"
"15.06.2022 00:30 - 15.06.2022 00:45","172","169","169","n/e","n/e","n/e","3729","4474","4474"
"15.06.2022 00:45 - 15.06.2022 01:00","166","164","164","n/e","n/e","n/e","3681","4492","4492"
"15.06.2022 01:00 - 15.06.2022 01:15","167","163","163","n/e","n/e","n/e","3652","4411","4411"
"15.06.2022 01:15 - 15.06.2022 01:30","161","157","157","n/e","n/e","n/e","3593","4357","4357"
"15.06.2022 01:30 - 15.06.2022 01:45","151","151","151","n/e","n/e","n/e","3521","4297","4297"
"15.06.2022 01:45 - 15.06.2022 02:00","138","145","145","n/e","n/e","n/e","3438","4230","4230"
"15.06.2022 02:00 - 15.06.2022 02:15","125","163","163","n/e","n/e","n/e","3353","4033","4033"
"15.06.2022 02:15 - 15.06.2022 02:30","110","150","150","n/e","n/e","n/e","3262","3944","3944"
"15.06.2022 02:30 - 15.06.2022 02:45","96","135","135","n/e","n/e","n/e","3173","3838","3838"
"15.06.2022 02:45 - 15.06.2022 03:00","84","120","120","n/e","n/e","n/e","3088","3719","3719"
"15.06.2022 03:00 - 15.06.2022 03:15","72","37","37","n/e","n/e","n/e","3003","3740","3740"
"15.06.2022 03:15 - 15.06.2022 03:30","64","37","37","n/e","n/e","n/e","2928","3601","3601"
"15.06.2022 03:30 - 15.06.2022 03:45","58","39","39","n/e","n/e","n/e","2856","3472","3472"
"15.06.2022 03:45 - 15.06.2022 04:00","54","43","43","n/e","n/e","n/e","2786","3346","3346"
"15.06.2022 04:00 - 15.06.2022 04:15","51","38","38","n/e","n/e","n/e","2734","3514","3514"
"15.06.2022 04:15 - 15.06.2022 04:30","48","38","38","n/e","n/e","n/e","2649","3379","3379"
"15.06.2022 04:30 - 15.06.2022 04:45","46","37","37","n/e","n/e","n/e","2553","3258","3258"
"15.06.2022 04:45 - 15.06.2022 05:00","43","35","35","n/e","n/e","n/e","2449","3142","3142"
"15.06.2022 05:00 - 15.06.2022 05:15","43","20","20","n/e","n/e","n/e","2337","3265","3265"
"15.06.2022 05:15 - 15.06.2022 05:30","38","18","18","n/e","n/e","n/e","2239","3114","3114"
"15.06.2022 05:30 - 15.06.2022 05:45","31","15","15","n/e","n/e","n/e","2153","2964","2964"
"15.06.2022 05:45 - 15.06.2022 06:00","23","12","12","n/e","n/e","n/e","2078","2816","2816"
"15.06.2022 06:00 - 15.06.2022 06:15","28","38","38","n/e","n/e","n/e","2002","2756","2756"
"15.06.2022 06:15 - 15.06.2022 06:30","45","40","40","n/e","n/e","n/e","1948","2644","2644"
"15.06.2022 06:30 - 15.06.2022 06:45","80","61","61","n/e","n/e","n/e","1902","2541","2541"
"15.06.2022 06:45 - 15.06.2022 07:00","151","116","116","n/e","n/e","n/e","1859","2441","2441"
"15.06.2022 07:00 - 15.06.2022 07:15","368","327","327","n/e","n/e","n/e","1838","2741","2741"
"15.06.2022 07:15 - 15.06.2022 07:30","634","614","614","n/e","n/e","n/e","1779","2629","2629"
"15.06.2022 07:30 - 15.06.2022 07:45","1015","986","986","n/e","n/e","n/e","1706","2519","2519"
"15.06.2022 07:45 - 15.06.2022 08:00","1496","1432","1432","n/e","n/e","n/e","1621","2408","2408"
"15.06.2022 08:00 - 15.06.2022 08:15","2537","2273","2273","n/e","n/e","n/e","1535","2600","2600"
"15.06.2022 08:15 - 15.06.2022 08:30","3287","2982","2982","n/e","n/e","n/e","1445","2471","2471"
"15.06.2022 08:30 - 15.06.2022 08:45","4069","3732","3732","n/e","n/e","n/e","1361","2346","2346"
"15.06.2022 08:45 - 15.06.2022 09:00","4842","4491","4491","n/e","n/e","n/e","1285","2222","2222"
"15.06.2022 09:00 - 15.06.2022 09:15","6049","5673","5595","n/e","n/e","n/e","1203","2115","2229"
"15.06.2022 09:15 - 15.06.2022 09:30","6734","6415","6309","n/e","n/e","n/e","1146","1987","2096"
"15.06.2022 09:30 - 15.06.2022 09:45","7288","7073","6967","n/e","n/e","n/e","1100","1855","1978"
"15.06.2022 09:45 - 15.06.2022 10:00","7739","7646","7562","n/e","n/e","n/e","1067","1731","1878"
"15.06.2022 10:00 - 15.06.2022 10:15","8236","8374","7975","n/e","n/e","n/e","1015","1572","1890"
"15.06.2022 10:15 - 15.06.2022 10:30","8616","8822","8468","n/e","n/e","n/e","1018","1502","1829"
"15.06.2022 10:30 - 15.06.2022 10:45","9005","9208","8898","n/e","n/e","n/e","1042","1472","1792"
"15.06.2022 10:45 - 15.06.2022 11:00","9387","9543","9269","n/e","n/e","n/e","1082","1471","1776"
"15.06.2022 11:00 - 15.06.2022 11:15","9897","9921","9209","n/e","n/e","n/e","1127","1482","1907"
"15.06.2022 11:15 - 15.06.2022 11:30","10189","10186","9464","n/e","n/e","n/e","1183","1505","1910"
"15.06.2022 11:30 - 15.06.2022 11:45","10399","10426","9674","n/e","n/e","n/e","1239","1523","1924"
"15.06.2022 11:45 - 15.06.2022 12:00","10543","10633","9846","n/e","n/e","n/e","1299","1543","1949"
"15.06.2022 12:00 - 15.06.2022 12:15","10675","10920","10069","n/e","n/e","n/e","1351","1534","1890"
"15.06.2022 12:15 - 15.06.2022 12:30","10760","11029","10190","n/e","n/e","n/e","1429","1583","1937"
"15.06.2022 12:30 - 15.06.2022 12:45","10846","11073","10278","n/e","n/e","n/e","1519","1658","1988"
"15.06.2022 12:45 - 15.06.2022 13:00","10929","11062","10336","n/e","n/e","n/e","1620","1754","2042"
"15.06.2022 13:00 - 15.06.2022 13:15","11054","11054","9999","n/e","n/e","n/e","1736","1863","2066"
"15.06.2022 13:15 - 15.06.2022 13:30","11097","10981","10007","n/e","n/e","n/e","1849","1984","2124"
"15.06.2022 13:30 - 15.06.2022 13:45","11104","10895","9991","n/e","n/e","n/e","1964","2109","2184"
"15.06.2022 13:45 - 15.06.2022 14:00","11077","10807","9953","n/e","n/e","n/e","2084","2239","2250"
"15.06.2022 14:00 - 15.06.2022 14:15","11076","10707","9534","n/e","n/e","n/e","2204","2374","2308"
"15.06.2022 14:15 - 15.06.2022 14:30","10986","10628","9495","n/e","n/e","n/e","2346","2521","2374"
"15.06.2022 14:30 - 15.06.2022 14:45","10868","10559","9445","n/e","n/e","n/e","2504","2680","2445"
"15.06.2022 14:45 - 15.06.2022 15:00","10724","10491","9381","n/e","n/e","n/e","2672","2852","2528"
"15.06.2022 15:00 - 15.06.2022 15:15","10603","10476","9370","n/e","n/e","n/e","2876","3036","2638"
"15.06.2022 15:15 - 15.06.2022 15:30","10418","10365","9274","n/e","n/e","n/e","3044","3236","2736"
"15.06.2022 15:30 - 15.06.2022 15:45","10215","10213","9161","n/e","n/e","n/e","3202","3450","2845"
"15.06.2022 15:45 - 15.06.2022 16:00","9991","10021","9026","n/e","n/e","n/e","3356","3666","2967"
"15.06.2022 16:00 - 15.06.2022 16:15","9815","9874","8773","n/e","n/e","n/e","3506","3947","3289"
"15.06.2022 16:15 - 15.06.2022 16:30","9533","9598","8589","n/e","n/e","n/e","3672","4130","3403"
"15.06.2022 16:30 - 15.06.2022 16:45","9218","9286","8385","n/e","n/e","n/e","3853","4278","3518"
"15.06.2022 16:45 - 15.06.2022 17:00","8877","8947","8159","n/e","n/e","n/e","4047","4400","3639"
"15.06.2022 17:00 - 15.06.2022 17:15","8563","8627","8001","n/e","n/e","n/e","4264","4510","4000"
"15.06.2022 17:15 - 15.06.2022 17:30","8194","8268","7694","n/e","n/e","n/e","4472","4620","4155"
"15.06.2022 17:30 - 15.06.2022 17:45","7822","7912","7360","n/e","n/e","n/e","4680","4742","4317"
"15.06.2022 17:45 - 15.06.2022 18:00","7435","7545","6999","n/e","n/e","n/e","4887","4874","4483"
"15.06.2022 18:00 - 15.06.2022 18:15","7172","7302","6911","n/e","n/e","n/e","5120","5017","4680"
"15.06.2022 18:15 - 15.06.2022 18:30","6694","6850","6479","n/e","n/e","n/e","5320","5159","4914"
"15.06.2022 18:30 - 15.06.2022 18:45","6154","6336","6002","n/e","n/e","n/e","5513","5301","5145"
"15.06.2022 18:45 - 15.06.2022 19:00","5559","5764","5480","n/e","n/e","n/e","5694","5439","5354"
"15.06.2022 19:00 - 15.06.2022 19:15","5116","5342","4666","n/e","n/e","n/e","5916","5597","5791"
"15.06.2022 19:15 - 15.06.2022 19:30","4419","4662","4055","n/e","n/e","n/e","6054","5720","5912"
"15.06.2022 19:30 - 15.06.2022 19:45","3704","3960","3426","n/e","n/e","n/e","6164","5832","5982"
"15.06.2022 19:45 - 15.06.2022 20:00","3004","3261","2803","n/e","n/e","n/e","6252","5934","6009"
"15.06.2022 20:00 - 15.06.2022 20:15","2411","2700","2179","n/e","n/e","n/e","6330","6037","5515"
"15.06.2022 20:15 - 15.06.2022 20:30","1830","2071","1697","n/e","n/e","n/e","6406","6131","5510"
"15.06.2022 20:30 - 15.06.2022 20:45","1368","1531","1267","n/e","n/e","n/e","6488","6224","5496"
"15.06.2022 20:45 - 15.06.2022 21:00","1013","1084","898","n/e","n/e","n/e","6571","6317","5474"
"15.06.2022 21:00 - 15.06.2022 21:15","779","737","462","n/e","n/e","n/e","6684","6418","6242"
"15.06.2022 21:15 - 15.06.2022 21:30","580","468","292","n/e","n/e","n/e","6748","6514","6226"
"15.06.2022 21:30 - 15.06.2022 21:45","431","288","181","n/e","n/e","n/e","6791","6608","6212"
"15.06.2022 21:45 - 15.06.2022 22:00","325","178","117","n/e","n/e","n/e","6808","6688","6191"
"15.06.2022 22:00 - 15.06.2022 22:15","234","97","72","n/e","n/e","n/e","6863","6834","6937"
"15.06.2022 22:15 - 15.06.2022 22:30","202","88","68","n/e","n/e","n/e","6814","6840","6847"
"15.06.2022 22:30 - 15.06.2022 22:45","187","85","68","n/e","n/e","n/e","6728","6791","6762"
"15.06.2022 22:45 - 15.06.2022 23:00","183","83","69","n/e","n/e","n/e","6614","6696","6676"
"15.06.2022 23:00 - 15.06.2022 23:15","192","83","73","n/e","n/e","n/e","6490","6601","6533"
"15.06.2022 23:15 - 15.06.2022 23:30","188","84","72","n/e","n/e","n/e","6355","6453","6450"
"15.06.2022 23:30 - 15.06.2022 23:45","173","85","69","n/e","n/e","n/e","6225","6300","6360"
"15.06.2022 23:45 - 16.06.2022 00:00","153","86","66","n/e","n/e","n/e","6101","6145","6263"
"16.06.2022 00:00 - 16.06.2022 00:15","68","70","70","n/e","n/e","n/e","4988","5709","5709"
"16.06.2022 00:15 - 16.06.2022 00:30","68","65","65","n/e","n/e","n/e","4959","5676","5676"
"16.06.2022 00:30 - 16.06.2022 00:45","68","59","59","n/e","n/e","n/e","4944","5643","5643"
"16.06.2022 00:45 - 16.06.2022 01:00","68","52","52","n/e","n/e","n/e","4932","5601","5601"
"16.06.2022 01:00 - 16.06.2022 01:15","71","27","27","n/e","n/e","n/e","4959","5138","5138"
"16.06.2022 01:15 - 16.06.2022 01:30","68","28","28","n/e","n/e","n/e","4917","5052","5052"
"16.06.2022 01:30 - 16.06.2022 01:45","63","30","30","n/e","n/e","n/e","4844","4958","4958"
"16.06.2022 01:45 - 16.06.2022 02:00","57","34","34","n/e","n/e","n/e","4746","4856","4856"
"16.06.2022 02:00 - 16.06.2022 02:15","52","52","52","n/e","n/e","n/e","4643","5396","5396"
"16.06.2022 02:15 - 16.06.2022 02:30","44","47","47","n/e","n/e","n/e","4525","5243","5243"
"16.06.2022 02:30 - 16.06.2022 02:45","36","39","39","n/e","n/e","n/e","4409","5083","5083"
"16.06.2022 02:45 - 16.06.2022 03:00","29","29","29","n/e","n/e","n/e","4296","4919","4919"
"16.06.2022 03:00 - 16.06.2022 03:15","22","3","3","n/e","n/e","n/e","4189","5085","5085"
"16.06.2022 03:15 - 16.06.2022 03:30","19","4","4","n/e","n/e","n/e","4080","4911","4911"
"16.06.2022 03:30 - 16.06.2022 03:45","17","4","4","n/e","n/e","n/e","3971","4743","4743"
"16.06.2022 03:45 - 16.06.2022 04:00","17","4","4","n/e","n/e","n/e","3863","4580","4580"
"16.06.2022 04:00 - 16.06.2022 04:15","18","6","6","n/e","n/e","n/e","3761","4767","4767"
"16.06.2022 04:15 - 16.06.2022 04:30","18","6","6","n/e","n/e","n/e","3651","4627","4627"
"16.06.2022 04:30 - 16.06.2022 04:45","17","7","7","n/e","n/e","n/e","3540","4495","4495"
"16.06.2022 04:45 - 16.06.2022 05:00","15","7","7","n/e","n/e","n/e","3430","4371","4371"
"16.06.2022 05:00 - 16.06.2022 05:15","12","10","10","n/e","n/e","n/e","3318","4442","4442"
"16.06.2022 05:15 - 16.06.2022 05:30","10","8","8","n/e","n/e","n/e","3216","4298","4298"
"16.06.2022 05:30 - 16.06.2022 05:45","8","5","5","n/e","n/e","n/e","3121","4161","4161"
"16.06.2022 05:45 - 16.06.2022 06:00","6","2","2","n/e","n/e","n/e","3034","4033","4033"
"16.06.2022 06:00 - 16.06.2022 06:15","11","24","24","n/e","n/e","n/e","2946","4165","4165"
"16.06.2022 06:15 - 16.06.2022 06:30","21","23","23","n/e","n/e","n/e","2873","4054","4054"
"16.06.2022 06:30 - 16.06.2022 06:45","41","43","43","n/e","n/e","n/e","2805","3953","3953"
"16.06.2022 06:45 - 16.06.2022 07:00","89","95","95","n/e","n/e","n/e","2737","3853","3853"
"16.06.2022 07:00 - 16.06.2022 07:15","244","255","255","n/e","n/e","n/e","2697","3703","3703"
"16.06.2022 07:15 - 16.06.2022 07:30","464","523","523","n/e","n/e","n/e","2605","3597","3597"
"16.06.2022 07:30 - 16.06.2022 07:45","795","871","871","n/e","n/e","n/e","2493","3484","3484"
"16.06.2022 07:45 - 16.06.2022 08:00","1218","1286","1286","n/e","n/e","n/e","2366","3359","3359"
"16.06.2022 08:00 - 16.06.2022 08:15","2280","2202","2202","n/e","n/e","n/e","2239","3480","3480"
"16.06.2022 08:15 - 16.06.2022 08:30","2977","2846","2846","n/e","n/e","n/e","2106","3334","3334"
"16.06.2022 08:30 - 16.06.2022 08:45","3679","3525","3525","n/e","n/e","n/e","1981","3178","3178"
"16.06.2022 08:45 - 16.06.2022 09:00","4366","4221","4221","n/e","n/e","n/e","1867","3014","3014"
"16.06.2022 09:00 - 16.06.2022 09:15","5391","5278","5170","n/e","n/e","n/e","1745","2862","2792"
"16.06.2022 09:15 - 16.06.2022 09:30","6036","5984","5822","n/e","n/e","n/e","1657","2690","2640"
"16.06.2022 09:30 - 16.06.2022 09:45","6606","6636","6433","n/e","n/e","n/e","1585","2521","2502"
"16.06.2022 09:45 - 16.06.2022 10:00","7110","7227","7004","n/e","n/e","n/e","1531","2365","2384"
"16.06.2022 10:00 - 16.06.2022 10:15","7742","8066","7643","n/e","n/e","n/e","1451","2168","2373"
"16.06.2022 10:15 - 16.06.2022 10:30","8169","8560","8147","n/e","n/e","n/e","1446","2078","2323"
"16.06.2022 10:30 - 16.06.2022 10:45","8564","8971","8598","n/e","n/e","n/e","1467","2033","2296"
"16.06.2022 10:45 - 16.06.2022 11:00","8923","9312","8997","n/e","n/e","n/e","1512","2027","2288"
"16.06.2022 11:00 - 16.06.2022 11:15","9361","9678","9326","n/e","n/e","n/e","1555","2018","2329"
"16.06.2022 11:15 - 16.06.2022 11:30","9645","9945","9660","n/e","n/e","n/e","1631","2061","2348"
"16.06.2022 11:30 - 16.06.2022 11:45","9883","10196","9945","n/e","n/e","n/e","1716","2116","2378"
"16.06.2022 11:45 - 16.06.2022 12:00","10081","10426","10183","n/e","n/e","n/e","1810","2182","2417"
