"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Spain (ES)","Generation - Solar  [MW] Intraday / Spain (ES)","Generation - Solar  [MW] Current / Spain (ES)","Generation - Wind Offshore  [MW] Day Ahead/ Spain (ES)","Generation - Wind Offshore  [MW] Intraday / Spain (ES)","Generation - Wind Offshore  [MW] Current / Spain (ES)","Generation - Wind Onshore  [MW] Day Ahead/ Spain (ES)","Generation - Wind Onshore  [MW] Intraday / Spain (ES)","Generation - Wind Onshore  [MW] Current / Spain (ES)"
"03.01.2022 06:00 - 03.01.2022 07:00","12","10","10","n/e","n/e","n/e","4474","3989","3989"
"03.01.2022 07:00 - 03.01.2022 08:00","16","12","12","n/e","n/e","n/e","4680","4396","4396"
"03.01.2022 08:00 - 03.01.2022 09:00","119","84","84","n/e","n/e","n/e","4896","4820","4943"
"03.01.2022 09:00 - 03.01.2022 10:00","1952","1810","1803","n/e","n/e","n/e","5142","5177","5266"
"03.01.2022 10:00 - 03.01.2022 11:00","5243","4977","4967","n/e","n/e","n/e","5184","5348","5248"
"03.01.2022 11:00 - 03.01.2022 12:00","6833","6650","6658","n/e","n/e","n/e","5133","5367","5122"
"03.01.2022 12:00 - 03.01.2022 13:00","7592","7386","7593","n/e","n/e","n/e","5061","5394","5312"
"03.01.2022 13:00 - 03.01.2022 14:00","7897","7613","7725","n/e","n/e","n/e","5308","5611","5933"
"03.01.2022 14:00 - 03.01.2022 15:00","7958","7629","7610","n/e","n/e","n/e","5657","5924","6349"
"03.01.2022 15:00 - 03.01.2022 16:00","7529","7125","7175","n/e","n/e","n/e","5916","6249","6837"
"03.01.2022 16:00 - 03.01.2022 17:00","5717","5291","5127","n/e","n/e","n/e","6490","6935","7089"
"03.01.2022 17:00 - 03.01.2022 18:00","2294","2141","2048","n/e","n/e","n/e","7258","7730","7259"
"03.01.2022 18:00 - 03.01.2022 19:00","183","174","250","n/e","n/e","n/e","8258","8611","8327"
"03.01.2022 19:00 - 03.01.2022 20:00","45","45","63","n/e","n/e","n/e","9145","9267","9040"
"03.01.2022 20:00 - 03.01.2022 21:00","41","37","26","n/e","n/e","n/e","9714","9833","9988"
"03.01.2022 21:00 - 03.01.2022 22:00","34","29","19","n/e","n/e","n/e","10239","10305","10511"
"03.01.2022 22:00 - 03.01.2022 23:00","28","26","14","n/e","n/e","n/e","10518","10636","10721"
"03.01.2022 23:00 - 04.01.2022 00:00","23","22","10","n/e","n/e","n/e","10878","10897","11076"
"04.01.2022 00:00 - 04.01.2022 01:00","25","8","8","n/e","n/e","n/e","11310","11388","11388"
"04.01.2022 01:00 - 04.01.2022 02:00","22","5","5","n/e","n/e","n/e","11643","11671","11671"
"04.01.2022 02:00 - 04.01.2022 03:00","20","3","3","n/e","n/e","n/e","11870","11815","11815"
"04.01.2022 03:00 - 04.01.2022 04:00","19","3","3","n/e","n/e","n/e","11885","11514","11514"
"04.01.2022 04:00 - 04.01.2022 05:00","16","2","2","n/e","n/e","n/e","11777","11168","11168"
"04.01.2022 05:00 - 04.01.2022 06:00","12","2","2","n/e","n/e","n/e","11660","11099","11099"
"04.01.2022 06:00 - 04.01.2022 07:00","10","4","4","n/e","n/e","n/e","11642","10776","10776"
"04.01.2022 07:00 - 04.01.2022 08:00","11","11","11","n/e","n/e","n/e","11497","10711","10711"
"04.01.2022 08:00 - 04.01.2022 09:00","73","86","86","n/e","n/e","n/e","11204","10571","10862"
"04.01.2022 09:00 - 04.01.2022 10:00","1412","1543","1549","n/e","n/e","n/e","10786","10446","10585"
"04.01.2022 10:00 - 04.01.2022 11:00","3897","3926","4059","n/e","n/e","n/e","10406","9974","9971"
"04.01.2022 11:00 - 04.01.2022 12:00","5211","5215","5113","n/e","n/e","n/e","10125","9416","9907"
"04.01.2022 12:00 - 04.01.2022 13:00","5610","5461","5349","n/e","n/e","n/e","10077","9432","10769"
