"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Ireland (IE)","Generation - Solar  [MW] Intraday / Ireland (IE)","Generation - Solar  [MW] Current / Ireland (IE)","Generation - Wind Offshore  [MW] Day Ahead/ Ireland (IE)","Generation - Wind Offshore  [MW] Intraday / Ireland (IE)","Generation - Wind Offshore  [MW] Current / Ireland (IE)","Generation - Wind Onshore  [MW] Day Ahead/ Ireland (IE)","Generation - Wind Onshore  [MW] Intraday / Ireland (IE)","Generation - Wind Onshore  [MW] Current / Ireland (IE)"
"02.01.2022 23:00 - 03.01.2022 00:00","n/e","n/e","n/e","N/A","n/e","n/e","3143","n/e","n/e"
"03.01.2022 00:00 - 03.01.2022 01:00","n/e","n/e","n/e","N/A","n/e","n/e","3175","n/e","n/e"
"03.01.2022 01:00 - 03.01.2022 02:00","n/e","n/e","n/e","N/A","n/e","n/e","2956","n/e","n/e"
"03.01.2022 02:00 - 03.01.2022 03:00","n/e","n/e","n/e","N/A","n/e","n/e","2868","n/e","n/e"
"03.01.2022 03:00 - 03.01.2022 04:00","n/e","n/e","n/e","N/A","n/e","n/e","2785","n/e","n/e"
"03.01.2022 04:00 - 03.01.2022 05:00","n/e","n/e","n/e","N/A","n/e","n/e","2714","n/e","n/e"
"03.01.2022 05:00 - 03.01.2022 06:00","n/e","n/e","n/e","N/A","n/e","n/e","2652","n/e","n/e"
"03.01.2022 06:00 - 03.01.2022 07:00","n/e","n/e","n/e","N/A","n/e","n/e","2555","n/e","n/e"
"03.01.2022 07:00 - 03.01.2022 08:00","n/e","n/e","n/e","N/A","n/e","n/e","2421","n/e","n/e"
"03.01.2022 08:00 - 03.01.2022 09:00","n/e","n/e","n/e","N/A","n/e","n/e","2247","n/e","n/e"
"03.01.2022 09:00 - 03.01.2022 10:00","n/e","n/e","n/e","N/A","n/e","n/e","2071","n/e","n/e"
"03.01.2022 10:00 - 03.01.2022 11:00","n/e","n/e","n/e","N/A","n/e","n/e","1879","n/e","n/e"
"03.01.2022 11:00 - 03.01.2022 12:00","n/e","n/e","n/e","N/A","n/e","n/e","1694","n/e","n/e"
"03.01.2022 12:00 - 03.01.2022 13:00","n/e","n/e","n/e","N/A","n/e","n/e","1503","n/e","n/e"
"03.01.2022 13:00 - 03.01.2022 14:00","n/e","n/e","n/e","N/A","n/e","n/e","1285","n/e","n/e"
"03.01.2022 14:00 - 03.01.2022 15:00","n/e","n/e","n/e","N/A","n/e","n/e","1051","n/e","n/e"
"03.01.2022 15:00 - 03.01.2022 16:00","n/e","n/e","n/e","N/A","n/e","n/e","823","n/e","n/e"
"03.01.2022 16:00 - 03.01.2022 17:00","n/e","n/e","n/e","N/A","n/e","n/e","625","n/e","n/e"
"03.01.2022 17:00 - 03.01.2022 18:00","n/e","n/e","n/e","N/A","n/e","n/e","470","n/e","n/e"
"03.01.2022 18:00 - 03.01.2022 19:00","n/e","n/e","n/e","N/A","n/e","n/e","370","n/e","n/e"
"03.01.2022 19:00 - 03.01.2022 20:00","n/e","n/e","n/e","N/A","n/e","n/e","332","n/e","n/e"
"03.01.2022 20:00 - 03.01.2022 21:00","n/e","n/e","n/e","N/A","n/e","n/e","363","n/e","n/e"
"03.01.2022 21:00 - 03.01.2022 22:00","n/e","n/e","n/e","N/A","n/e","n/e","452","n/e","n/e"
"03.01.2022 22:00 - 03.01.2022 23:00","n/e","n/e","n/e","N/A","n/e","n/e","563","n/e","n/e"
"03.01.2022 23:00 - 04.01.2022 00:00","n/e","n/e","n/e","N/A","n/e","n/e","692","n/e","n/e"
"04.01.2022 00:00 - 04.01.2022 01:00","n/e","n/e","n/e","N/A","n/e","n/e","852","n/e","n/e"
"04.01.2022 01:00 - 04.01.2022 02:00","n/e","n/e","n/e","N/A","n/e","n/e","1169","n/e","n/e"
"04.01.2022 02:00 - 04.01.2022 03:00","n/e","n/e","n/e","N/A","n/e","n/e","1466","n/e","n/e"
"04.01.2022 03:00 - 04.01.2022 04:00","n/e","n/e","n/e","N/A","n/e","n/e","1923","n/e","n/e"
"04.01.2022 04:00 - 04.01.2022 05:00","n/e","n/e","n/e","N/A","n/e","n/e","2306","n/e","n/e"
"04.01.2022 05:00 - 04.01.2022 06:00","n/e","n/e","n/e","N/A","n/e","n/e","2472","n/e","n/e"
"04.01.2022 06:00 - 04.01.2022 07:00","n/e","n/e","n/e","N/A","n/e","n/e","2403","n/e","n/e"
"04.01.2022 07:00 - 04.01.2022 08:00","n/e","n/e","n/e","N/A","n/e","n/e","2273","n/e","n/e"
"04.01.2022 08:00 - 04.01.2022 09:00","n/e","n/e","n/e","N/A","n/e","n/e","2188","n/e","n/e"
"04.01.2022 09:00 - 04.01.2022 10:00","n/e","n/e","n/e","N/A","n/e","n/e","2083","n/e","n/e"
"04.01.2022 10:00 - 04.01.2022 11:00","n/e","n/e","n/e","N/A","n/e","n/e","1950","n/e","n/e"
"04.01.2022 11:00 - 04.01.2022 12:00","n/e","n/e","n/e","N/A","n/e","n/e","1871","n/e","n/e"
"04.01.2022 12:00 - 04.01.2022 13:00","n/e","n/e","n/e","N/A","n/e","n/e","1863","n/e","n/e"
"04.01.2022 13:00 - 04.01.2022 14:00","n/e","n/e","n/e","N/A","n/e","n/e","1837","n/e","n/e"
"04.01.2022 14:00 - 04.01.2022 15:00","n/e","n/e","n/e","N/A","n/e","n/e","1804","n/e","n/e"
"04.01.2022 15:00 - 04.01.2022 16:00","n/e","n/e","n/e","N/A","n/e","n/e","1749","n/e","n/e"
"04.01.2022 16:00 - 04.01.2022 17:00","n/e","n/e","n/e","N/A","n/e","n/e","1691","n/e","n/e"
"04.01.2022 17:00 - 04.01.2022 18:00","n/e","n/e","n/e","N/A","n/e","n/e","1586","n/e","n/e"
"04.01.2022 18:00 - 04.01.2022 19:00","n/e","n/e","n/e","N/A","n/e","n/e","1461","n/e","n/e"
"04.01.2022 19:00 - 04.01.2022 20:00","n/e","n/e","n/e","N/A","n/e","n/e","1347","n/e","n/e"
"04.01.2022 20:00 - 04.01.2022 21:00","n/e","n/e","n/e","N/A","n/e","n/e","1245","n/e","n/e"
"04.01.2022 21:00 - 04.01.2022 22:00","n/e","n/e","n/e","N/A","n/e","n/e","1139","n/e","n/e"
"04.01.2022 22:00 - 04.01.2022 23:00","n/e","n/e","n/e","N/A","n/e","n/e","1043","n/e","n/e"
"04.01.2022 23:00 - 05.01.2022 00:00","n/e","n/e","n/e","N/A","n/e","n/e","965","n/e","n/e"
"05.01.2022 00:00 - 05.01.2022 01:00","n/e","n/e","n/e","N/A","n/e","n/e","890","n/e","n/e"
"05.01.2022 01:00 - 05.01.2022 02:00","n/e","n/e","n/e","N/A","n/e","n/e","564","n/e","n/e"
"05.01.2022 02:00 - 05.01.2022 03:00","n/e","n/e","n/e","N/A","n/e","n/e","498","n/e","n/e"
"05.01.2022 03:00 - 05.01.2022 04:00","n/e","n/e","n/e","N/A","n/e","n/e","430","n/e","n/e"
"05.01.2022 04:00 - 05.01.2022 05:00","n/e","n/e","n/e","N/A","n/e","n/e","405","n/e","n/e"
"05.01.2022 05:00 - 05.01.2022 06:00","n/e","n/e","n/e","N/A","n/e","n/e","352","n/e","n/e"
"05.01.2022 06:00 - 05.01.2022 07:00","n/e","n/e","n/e","N/A","n/e","n/e","319","n/e","n/e"
"05.01.2022 07:00 - 05.01.2022 08:00","n/e","n/e","n/e","N/A","n/e","n/e","295","n/e","n/e"
"05.01.2022 08:00 - 05.01.2022 09:00","n/e","n/e","n/e","N/A","n/e","n/e","267","n/e","n/e"
"05.01.2022 09:00 - 05.01.2022 10:00","n/e","n/e","n/e","N/A","n/e","n/e","258","n/e","n/e"
"05.01.2022 10:00 - 05.01.2022 11:00","n/e","n/e","n/e","N/A","n/e","n/e","259","n/e","n/e"
"05.01.2022 11:00 - 05.01.2022 12:00","n/e","n/e","n/e","N/A","n/e","n/e","258","n/e","n/e"
"05.01.2022 12:00 - 05.01.2022 13:00","n/e","n/e","n/e","N/A","n/e","n/e","266","n/e","n/e"
"05.01.2022 13:00 - 05.01.2022 14:00","n/e","n/e","n/e","N/A","n/e","n/e","284","n/e","n/e"
"05.01.2022 14:00 - 05.01.2022 15:00","n/e","n/e","n/e","N/A","n/e","n/e","306","n/e","n/e"
"05.01.2022 15:00 - 05.01.2022 16:00","n/e","n/e","n/e","N/A","n/e","n/e","341","n/e","n/e"
"05.01.2022 16:00 - 05.01.2022 17:00","n/e","n/e","n/e","N/A","n/e","n/e","393","n/e","n/e"
"05.01.2022 17:00 - 05.01.2022 18:00","n/e","n/e","n/e","N/A","n/e","n/e","478","n/e","n/e"
"05.01.2022 18:00 - 05.01.2022 19:00","n/e","n/e","n/e","N/A","n/e","n/e","645","n/e","n/e"
"05.01.2022 19:00 - 05.01.2022 20:00","n/e","n/e","n/e","N/A","n/e","n/e","897","n/e","n/e"
"05.01.2022 20:00 - 05.01.2022 21:00","n/e","n/e","n/e","N/A","n/e","n/e","1170","n/e","n/e"
"05.01.2022 21:00 - 05.01.2022 22:00","n/e","n/e","n/e","N/A","n/e","n/e","1426","n/e","n/e"
"05.01.2022 22:00 - 05.01.2022 23:00","n/e","n/e","n/e","N/A","n/e","n/e","1687","n/e","n/e"
"05.01.2022 23:00 - 06.01.2022 00:00","n/e","n/e","n/e","N/A","n/e","n/e","1978","n/e","n/e"
"06.01.2022 00:00 - 06.01.2022 01:00","n/e","n/e","n/e","N/A","n/e","n/e","2300","n/e","n/e"
"06.01.2022 01:00 - 06.01.2022 02:00","n/e","n/e","n/e","N/A","n/e","n/e","1723","n/e","n/e"
"06.01.2022 02:00 - 06.01.2022 03:00","n/e","n/e","n/e","N/A","n/e","n/e","2090","n/e","n/e"
"06.01.2022 03:00 - 06.01.2022 04:00","n/e","n/e","n/e","N/A","n/e","n/e","2526","n/e","n/e"
"06.01.2022 04:00 - 06.01.2022 05:00","n/e","n/e","n/e","N/A","n/e","n/e","2915","n/e","n/e"
"06.01.2022 05:00 - 06.01.2022 06:00","n/e","n/e","n/e","N/A","n/e","n/e","3190","n/e","n/e"
"06.01.2022 06:00 - 06.01.2022 07:00","n/e","n/e","n/e","N/A","n/e","n/e","3383","n/e","n/e"
"06.01.2022 07:00 - 06.01.2022 08:00","n/e","n/e","n/e","N/A","n/e","n/e","3530","n/e","n/e"
"06.01.2022 08:00 - 06.01.2022 09:00","n/e","n/e","n/e","N/A","n/e","n/e","3630","n/e","n/e"
"06.01.2022 09:00 - 06.01.2022 10:00","n/e","n/e","n/e","N/A","n/e","n/e","3689","n/e","n/e"
"06.01.2022 10:00 - 06.01.2022 11:00","n/e","n/e","n/e","N/A","n/e","n/e","3687","n/e","n/e"
"06.01.2022 11:00 - 06.01.2022 12:00","n/e","n/e","n/e","N/A","n/e","n/e","3564","n/e","n/e"
"06.01.2022 12:00 - 06.01.2022 13:00","n/e","n/e","n/e","N/A","n/e","n/e","3390","n/e","n/e"
"06.01.2022 13:00 - 06.01.2022 14:00","n/e","n/e","n/e","N/A","n/e","n/e","3265","n/e","n/e"
"06.01.2022 14:00 - 06.01.2022 15:00","n/e","n/e","n/e","N/A","n/e","n/e","3147","n/e","n/e"
"06.01.2022 15:00 - 06.01.2022 16:00","n/e","n/e","n/e","N/A","n/e","n/e","3012","n/e","n/e"
"06.01.2022 16:00 - 06.01.2022 17:00","n/e","n/e","n/e","N/A","n/e","n/e","2870","n/e","n/e"
"06.01.2022 17:00 - 06.01.2022 18:00","n/e","n/e","n/e","N/A","n/e","n/e","2740","n/e","n/e"
"06.01.2022 18:00 - 06.01.2022 19:00","n/e","n/e","n/e","N/A","n/e","n/e","2683","n/e","n/e"
"06.01.2022 19:00 - 06.01.2022 20:00","n/e","n/e","n/e","N/A","n/e","n/e","2651","n/e","n/e"
"06.01.2022 20:00 - 06.01.2022 21:00","n/e","n/e","n/e","N/A","n/e","n/e","2613","n/e","n/e"
"06.01.2022 21:00 - 06.01.2022 22:00","n/e","n/e","n/e","N/A","n/e","n/e","2576","n/e","n/e"
"06.01.2022 22:00 - 06.01.2022 23:00","n/e","n/e","n/e","N/A","n/e","n/e","2573","n/e","n/e"
"06.01.2022 23:00 - 07.01.2022 00:00","n/e","n/e","n/e","N/A","n/e","n/e","2584","n/e","n/e"
"07.01.2022 00:00 - 07.01.2022 01:00","n/e","n/e","n/e","N/A","n/e","n/e","2573","n/e","n/e"
"07.01.2022 01:00 - 07.01.2022 02:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"07.01.2022 02:00 - 07.01.2022 03:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"07.01.2022 03:00 - 07.01.2022 04:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"07.01.2022 04:00 - 07.01.2022 05:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"07.01.2022 05:00 - 07.01.2022 06:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"07.01.2022 06:00 - 07.01.2022 07:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"07.01.2022 07:00 - 07.01.2022 08:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"07.01.2022 08:00 - 07.01.2022 09:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"07.01.2022 09:00 - 07.01.2022 10:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"07.01.2022 10:00 - 07.01.2022 11:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"07.01.2022 11:00 - 07.01.2022 12:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"07.01.2022 12:00 - 07.01.2022 13:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"07.01.2022 13:00 - 07.01.2022 14:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"07.01.2022 14:00 - 07.01.2022 15:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"07.01.2022 15:00 - 07.01.2022 16:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"07.01.2022 16:00 - 07.01.2022 17:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"07.01.2022 17:00 - 07.01.2022 18:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"07.01.2022 18:00 - 07.01.2022 19:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"07.01.2022 19:00 - 07.01.2022 20:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"07.01.2022 20:00 - 07.01.2022 21:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"07.01.2022 21:00 - 07.01.2022 22:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"07.01.2022 22:00 - 07.01.2022 23:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"07.01.2022 23:00 - 08.01.2022 00:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"08.01.2022 00:00 - 08.01.2022 01:00","n/e","n/e","n/e","N/A","n/e","n/e","N/A","n/e","n/e"
"08.01.2022 01:00 - 08.01.2022 02:00","n/e","n/e","n/e","N/A","n/e","n/e","2932","n/e","n/e"
"08.01.2022 02:00 - 08.01.2022 03:00","n/e","n/e","n/e","N/A","n/e","n/e","3138","n/e","n/e"
"08.01.2022 03:00 - 08.01.2022 04:00","n/e","n/e","n/e","N/A","n/e","n/e","3331","n/e","n/e"
"08.01.2022 04:00 - 08.01.2022 05:00","n/e","n/e","n/e","N/A","n/e","n/e","3451","n/e","n/e"
"08.01.2022 05:00 - 08.01.2022 06:00","n/e","n/e","n/e","N/A","n/e","n/e","3539","n/e","n/e"
"08.01.2022 06:00 - 08.01.2022 07:00","n/e","n/e","n/e","N/A","n/e","n/e","3547","n/e","n/e"
"08.01.2022 07:00 - 08.01.2022 08:00","n/e","n/e","n/e","N/A","n/e","n/e","3465","n/e","n/e"
"08.01.2022 08:00 - 08.01.2022 09:00","n/e","n/e","n/e","N/A","n/e","n/e","3283","n/e","n/e"
"08.01.2022 09:00 - 08.01.2022 10:00","n/e","n/e","n/e","N/A","n/e","n/e","3164","n/e","n/e"
"08.01.2022 10:00 - 08.01.2022 11:00","n/e","n/e","n/e","N/A","n/e","n/e","3204","n/e","n/e"
"08.01.2022 11:00 - 08.01.2022 12:00","n/e","n/e","n/e","N/A","n/e","n/e","3324","n/e","n/e"
"08.01.2022 12:00 - 08.01.2022 13:00","n/e","n/e","n/e","N/A","n/e","n/e","3481","n/e","n/e"
"08.01.2022 13:00 - 08.01.2022 14:00","n/e","n/e","n/e","N/A","n/e","n/e","3562","n/e","n/e"
