"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Ireland (IE)","Generation - Solar  [MW] Intraday / Ireland (IE)","Generation - Solar  [MW] Current / Ireland (IE)","Generation - Wind Offshore  [MW] Day Ahead/ Ireland (IE)","Generation - Wind Offshore  [MW] Intraday / Ireland (IE)","Generation - Wind Offshore  [MW] Current / Ireland (IE)","Generation - Wind Onshore  [MW] Day Ahead/ Ireland (IE)","Generation - Wind Onshore  [MW] Intraday / Ireland (IE)","Generation - Wind Onshore  [MW] Current / Ireland (IE)"
"27.03.2022 06:00 - 27.03.2022 07:00","n/e","n/e","n/e","N/A","n/e","n/e","709","n/e","n/e"
"27.03.2022 07:00 - 27.03.2022 08:00","n/e","n/e","n/e","N/A","n/e","n/e","675","n/e","n/e"
"27.03.2022 08:00 - 27.03.2022 09:00","n/e","n/e","n/e","N/A","n/e","n/e","641","n/e","n/e"
"27.03.2022 09:00 - 27.03.2022 10:00","n/e","n/e","n/e","N/A","n/e","n/e","633","n/e","n/e"
"27.03.2022 10:00 - 27.03.2022 11:00","n/e","n/e","n/e","N/A","n/e","n/e","634","n/e","n/e"
"27.03.2022 11:00 - 27.03.2022 12:00","n/e","n/e","n/e","N/A","n/e","n/e","597","n/e","n/e"
"27.03.2022 12:00 - 27.03.2022 13:00","n/e","n/e","n/e","N/A","n/e","n/e","530","n/e","n/e"
"27.03.2022 13:00 - 27.03.2022 14:00","n/e","n/e","n/e","N/A","n/e","n/e","563","n/e","n/e"
"27.03.2022 14:00 - 27.03.2022 15:00","n/e","n/e","n/e","N/A","n/e","n/e","668","n/e","n/e"
"27.03.2022 15:00 - 27.03.2022 16:00","n/e","n/e","n/e","N/A","n/e","n/e","735","n/e","n/e"
"27.03.2022 16:00 - 27.03.2022 17:00","n/e","n/e","n/e","N/A","n/e","n/e","726","n/e","n/e"
"27.03.2022 17:00 - 27.03.2022 18:00","n/e","n/e","n/e","N/A","n/e","n/e","659","n/e","n/e"
"27.03.2022 18:00 - 27.03.2022 19:00","n/e","n/e","n/e","N/A","n/e","n/e","561","n/e","n/e"
"27.03.2022 19:00 - 27.03.2022 20:00","n/e","n/e","n/e","N/A","n/e","n/e","464","n/e","n/e"
"27.03.2022 20:00 - 27.03.2022 21:00","n/e","n/e","n/e","N/A","n/e","n/e","377","n/e","n/e"
"27.03.2022 21:00 - 27.03.2022 22:00","n/e","n/e","n/e","N/A","n/e","n/e","325","n/e","n/e"
"27.03.2022 22:00 - 27.03.2022 23:00","n/e","n/e","n/e","N/A","n/e","n/e","331","n/e","n/e"
"27.03.2022 23:00 - 28.03.2022 00:00","n/e","n/e","n/e","N/A","n/e","n/e","349","n/e","n/e"
"28.03.2022 00:00 - 28.03.2022 01:00","n/e","n/e","n/e","N/A","n/e","n/e","368","n/e","n/e"
"28.03.2022 01:00 - 28.03.2022 02:00","n/e","n/e","n/e","N/A","n/e","n/e","224","n/e","n/e"
"28.03.2022 02:00 - 28.03.2022 03:00","n/e","n/e","n/e","N/A","n/e","n/e","209","n/e","n/e"
"28.03.2022 03:00 - 28.03.2022 04:00","n/e","n/e","n/e","N/A","n/e","n/e","172","n/e","n/e"
"28.03.2022 04:00 - 28.03.2022 05:00","n/e","n/e","n/e","N/A","n/e","n/e","158","n/e","n/e"
"28.03.2022 05:00 - 28.03.2022 06:00","n/e","n/e","n/e","N/A","n/e","n/e","175","n/e","n/e"
"28.03.2022 06:00 - 28.03.2022 07:00","n/e","n/e","n/e","N/A","n/e","n/e","173","n/e","n/e"
"28.03.2022 07:00 - 28.03.2022 08:00","n/e","n/e","n/e","N/A","n/e","n/e","164","n/e","n/e"
"28.03.2022 08:00 - 28.03.2022 09:00","n/e","n/e","n/e","N/A","n/e","n/e","163","n/e","n/e"
"28.03.2022 09:00 - 28.03.2022 10:00","n/e","n/e","n/e","N/A","n/e","n/e","154","n/e","n/e"
"28.03.2022 10:00 - 28.03.2022 11:00","n/e","n/e","n/e","N/A","n/e","n/e","144","n/e","n/e"
"28.03.2022 11:00 - 28.03.2022 12:00","n/e","n/e","n/e","N/A","n/e","n/e","126","n/e","n/e"
"28.03.2022 12:00 - 28.03.2022 13:00","n/e","n/e","n/e","N/A","n/e","n/e","104","n/e","n/e"
"28.03.2022 13:00 - 28.03.2022 14:00","n/e","n/e","n/e","N/A","n/e","n/e","107","n/e","n/e"
"28.03.2022 14:00 - 28.03.2022 15:00","n/e","n/e","n/e","N/A","n/e","n/e","121","n/e","n/e"
"28.03.2022 15:00 - 28.03.2022 16:00","n/e","n/e","n/e","N/A","n/e","n/e","109","n/e","n/e"
"28.03.2022 16:00 - 28.03.2022 17:00","n/e","n/e","n/e","N/A","n/e","n/e","94","n/e","n/e"
"28.03.2022 17:00 - 28.03.2022 18:00","n/e","n/e","n/e","N/A","n/e","n/e","86","n/e","n/e"
"28.03.2022 18:00 - 28.03.2022 19:00","n/e","n/e","n/e","N/A","n/e","n/e","82","n/e","n/e"
"28.03.2022 19:00 - 28.03.2022 20:00","n/e","n/e","n/e","N/A","n/e","n/e","81","n/e","n/e"
"28.03.2022 20:00 - 28.03.2022 21:00","n/e","n/e","n/e","N/A","n/e","n/e","86","n/e","n/e"
"28.03.2022 21:00 - 28.03.2022 22:00","n/e","n/e","n/e","N/A","n/e","n/e","98","n/e","n/e"
"28.03.2022 22:00 - 28.03.2022 23:00","n/e","n/e","n/e","N/A","n/e","n/e","119","n/e","n/e"
"28.03.2022 23:00 - 29.03.2022 00:00","n/e","n/e","n/e","N/A","n/e","n/e","137","n/e","n/e"
"29.03.2022 00:00 - 29.03.2022 01:00","n/e","n/e","n/e","N/A","n/e","n/e","151","n/e","n/e"
"29.03.2022 01:00 - 29.03.2022 02:00","n/e","n/e","n/e","N/A","n/e","n/e","137","n/e","n/e"
"29.03.2022 02:00 - 29.03.2022 03:00","n/e","n/e","n/e","N/A","n/e","n/e","135","n/e","n/e"
"29.03.2022 03:00 - 29.03.2022 04:00","n/e","n/e","n/e","N/A","n/e","n/e","118","n/e","n/e"
"29.03.2022 04:00 - 29.03.2022 05:00","n/e","n/e","n/e","N/A","n/e","n/e","97","n/e","n/e"
"29.03.2022 05:00 - 29.03.2022 06:00","n/e","n/e","n/e","N/A","n/e","n/e","90","n/e","n/e"
"29.03.2022 06:00 - 29.03.2022 07:00","n/e","n/e","n/e","N/A","n/e","n/e","87","n/e","n/e"
"29.03.2022 07:00 - 29.03.2022 08:00","n/e","n/e","n/e","N/A","n/e","n/e","90","n/e","n/e"
"29.03.2022 08:00 - 29.03.2022 09:00","n/e","n/e","n/e","N/A","n/e","n/e","95","n/e","n/e"
"29.03.2022 09:00 - 29.03.2022 10:00","n/e","n/e","n/e","N/A","n/e","n/e","102","n/e","n/e"
"29.03.2022 10:00 - 29.03.2022 11:00","n/e","n/e","n/e","N/A","n/e","n/e","107","n/e","n/e"
"29.03.2022 11:00 - 29.03.2022 12:00","n/e","n/e","n/e","N/A","n/e","n/e","98","n/e","n/e"
"29.03.2022 12:00 - 29.03.2022 13:00","n/e","n/e","n/e","N/A","n/e","n/e","87","n/e","n/e"
"29.03.2022 13:00 - 29.03.2022 14:00","n/e","n/e","n/e","N/A","n/e","n/e","90","n/e","n/e"
"29.03.2022 14:00 - 29.03.2022 15:00","n/e","n/e","n/e","N/A","n/e","n/e","99","n/e","n/e"
"29.03.2022 15:00 - 29.03.2022 16:00","n/e","n/e","n/e","N/A","n/e","n/e","103","n/e","n/e"
"29.03.2022 16:00 - 29.03.2022 17:00","n/e","n/e","n/e","N/A","n/e","n/e","106","n/e","n/e"
"29.03.2022 17:00 - 29.03.2022 18:00","n/e","n/e","n/e","N/A","n/e","n/e","119","n/e","n/e"
"29.03.2022 18:00 - 29.03.2022 19:00","n/e","n/e","n/e","N/A","n/e","n/e","140","n/e","n/e"
"29.03.2022 19:00 - 29.03.2022 20:00","n/e","n/e","n/e","N/A","n/e","n/e","157","n/e","n/e"
"29.03.2022 20:00 - 29.03.2022 21:00","n/e","n/e","n/e","N/A","n/e","n/e","173","n/e","n/e"
"29.03.2022 21:00 - 29.03.2022 22:00","n/e","n/e","n/e","N/A","n/e","n/e","202","n/e","n/e"
"29.03.2022 22:00 - 29.03.2022 23:00","n/e","n/e","n/e","N/A","n/e","n/e","248","n/e","n/e"
"29.03.2022 23:00 - 30.03.2022 00:00","n/e","n/e","n/e","N/A","n/e","n/e","269","n/e","n/e"
"30.03.2022 00:00 - 30.03.2022 01:00","n/e","n/e","n/e","N/A","n/e","n/e","251","n/e","n/e"
"30.03.2022 01:00 - 30.03.2022 02:00","n/e","n/e","n/e","N/A","n/e","n/e","215","n/e","n/e"
"30.03.2022 02:00 - 30.03.2022 03:00","n/e","n/e","n/e","N/A","n/e","n/e","201","n/e","n/e"
"30.03.2022 03:00 - 30.03.2022 04:00","n/e","n/e","n/e","N/A","n/e","n/e","199","n/e","n/e"
"30.03.2022 04:00 - 30.03.2022 05:00","n/e","n/e","n/e","N/A","n/e","n/e","209","n/e","n/e"
"30.03.2022 05:00 - 30.03.2022 06:00","n/e","n/e","n/e","N/A","n/e","n/e","221","n/e","n/e"
"30.03.2022 06:00 - 30.03.2022 07:00","n/e","n/e","n/e","N/A","n/e","n/e","249","n/e","n/e"
"30.03.2022 07:00 - 30.03.2022 08:00","n/e","n/e","n/e","N/A","n/e","n/e","294","n/e","n/e"
"30.03.2022 08:00 - 30.03.2022 09:00","n/e","n/e","n/e","N/A","n/e","n/e","354","n/e","n/e"
"30.03.2022 09:00 - 30.03.2022 10:00","n/e","n/e","n/e","N/A","n/e","n/e","398","n/e","n/e"
"30.03.2022 10:00 - 30.03.2022 11:00","n/e","n/e","n/e","N/A","n/e","n/e","421","n/e","n/e"
"30.03.2022 11:00 - 30.03.2022 12:00","n/e","n/e","n/e","N/A","n/e","n/e","446","n/e","n/e"
"30.03.2022 12:00 - 30.03.2022 13:00","n/e","n/e","n/e","N/A","n/e","n/e","515","n/e","n/e"
"30.03.2022 13:00 - 30.03.2022 14:00","n/e","n/e","n/e","N/A","n/e","n/e","643","n/e","n/e"
"30.03.2022 14:00 - 30.03.2022 15:00","n/e","n/e","n/e","N/A","n/e","n/e","816","n/e","n/e"
"30.03.2022 15:00 - 30.03.2022 16:00","n/e","n/e","n/e","N/A","n/e","n/e","990","n/e","n/e"
"30.03.2022 16:00 - 30.03.2022 17:00","n/e","n/e","n/e","N/A","n/e","n/e","1143","n/e","n/e"
"30.03.2022 17:00 - 30.03.2022 18:00","n/e","n/e","n/e","N/A","n/e","n/e","1314","n/e","n/e"
"30.03.2022 18:00 - 30.03.2022 19:00","n/e","n/e","n/e","N/A","n/e","n/e","1518","n/e","n/e"
"30.03.2022 19:00 - 30.03.2022 20:00","n/e","n/e","n/e","N/A","n/e","n/e","1693","n/e","n/e"
"30.03.2022 20:00 - 30.03.2022 21:00","n/e","n/e","n/e","N/A","n/e","n/e","1822","n/e","n/e"
"30.03.2022 21:00 - 30.03.2022 22:00","n/e","n/e","n/e","N/A","n/e","n/e","1903","n/e","n/e"
"30.03.2022 22:00 - 30.03.2022 23:00","n/e","n/e","n/e","N/A","n/e","n/e","2006","n/e","n/e"
"30.03.2022 23:00 - 31.03.2022 00:00","n/e","n/e","n/e","N/A","n/e","n/e","2105","n/e","n/e"
"31.03.2022 00:00 - 31.03.2022 01:00","n/e","n/e","n/e","N/A","n/e","n/e","2150","n/e","n/e"
"31.03.2022 01:00 - 31.03.2022 02:00","n/e","n/e","n/e","N/A","n/e","n/e","1775","n/e","n/e"
"31.03.2022 02:00 - 31.03.2022 03:00","n/e","n/e","n/e","N/A","n/e","n/e","1644","n/e","n/e"
"31.03.2022 03:00 - 31.03.2022 04:00","n/e","n/e","n/e","N/A","n/e","n/e","1482","n/e","n/e"
"31.03.2022 04:00 - 31.03.2022 05:00","n/e","n/e","n/e","N/A","n/e","n/e","1318","n/e","n/e"
"31.03.2022 05:00 - 31.03.2022 06:00","n/e","n/e","n/e","N/A","n/e","n/e","1269","n/e","n/e"
"31.03.2022 06:00 - 31.03.2022 07:00","n/e","n/e","n/e","N/A","n/e","n/e","1243","n/e","n/e"
"31.03.2022 07:00 - 31.03.2022 08:00","n/e","n/e","n/e","N/A","n/e","n/e","1246","n/e","n/e"
"31.03.2022 08:00 - 31.03.2022 09:00","n/e","n/e","n/e","N/A","n/e","n/e","1250","n/e","n/e"
"31.03.2022 09:00 - 31.03.2022 10:00","n/e","n/e","n/e","N/A","n/e","n/e","1245","n/e","n/e"
"31.03.2022 10:00 - 31.03.2022 11:00","n/e","n/e","n/e","N/A","n/e","n/e","1255","n/e","n/e"
"31.03.2022 11:00 - 31.03.2022 12:00","n/e","n/e","n/e","N/A","n/e","n/e","1281","n/e","n/e"
"31.03.2022 12:00 - 31.03.2022 13:00","n/e","n/e","n/e","N/A","n/e","n/e","1309","n/e","n/e"
"31.03.2022 13:00 - 31.03.2022 14:00","n/e","n/e","n/e","N/A","n/e","n/e","1293","n/e","n/e"
"31.03.2022 14:00 - 31.03.2022 15:00","n/e","n/e","n/e","N/A","n/e","n/e","1273","n/e","n/e"
"31.03.2022 15:00 - 31.03.2022 16:00","n/e","n/e","n/e","N/A","n/e","n/e","1237","n/e","n/e"
"31.03.2022 16:00 - 31.03.2022 17:00","n/e","n/e","n/e","N/A","n/e","n/e","1193","n/e","n/e"
"31.03.2022 17:00 - 31.03.2022 18:00","n/e","n/e","n/e","N/A","n/e","n/e","1172","n/e","n/e"
"31.03.2022 18:00 - 31.03.2022 19:00","n/e","n/e","n/e","N/A","n/e","n/e","1156","n/e","n/e"
"31.03.2022 19:00 - 31.03.2022 20:00","n/e","n/e","n/e","N/A","n/e","n/e","1126","n/e","n/e"
"31.03.2022 20:00 - 31.03.2022 21:00","n/e","n/e","n/e","N/A","n/e","n/e","1075","n/e","n/e"
"31.03.2022 21:00 - 31.03.2022 22:00","n/e","n/e","n/e","N/A","n/e","n/e","993","n/e","n/e"
"31.03.2022 22:00 - 31.03.2022 23:00","n/e","n/e","n/e","N/A","n/e","n/e","937","n/e","n/e"
"31.03.2022 23:00 - 01.04.2022 00:00","n/e","n/e","n/e","N/A","n/e","n/e","919","n/e","n/e"
"01.04.2022 00:00 - 01.04.2022 01:00","n/e","n/e","n/e","N/A","n/e","n/e","916","n/e","n/e"
"01.04.2022 01:00 - 01.04.2022 02:00","n/e","n/e","n/e","N/A","n/e","n/e","814","n/e","n/e"
"01.04.2022 02:00 - 01.04.2022 03:00","n/e","n/e","n/e","N/A","n/e","n/e","784","n/e","n/e"
"01.04.2022 03:00 - 01.04.2022 04:00","n/e","n/e","n/e","N/A","n/e","n/e","734","n/e","n/e"
"01.04.2022 04:00 - 01.04.2022 05:00","n/e","n/e","n/e","N/A","n/e","n/e","673","n/e","n/e"
"01.04.2022 05:00 - 01.04.2022 06:00","n/e","n/e","n/e","N/A","n/e","n/e","604","n/e","n/e"
"01.04.2022 06:00 - 01.04.2022 07:00","n/e","n/e","n/e","N/A","n/e","n/e","567","n/e","n/e"
"01.04.2022 07:00 - 01.04.2022 08:00","n/e","n/e","n/e","N/A","n/e","n/e","523","n/e","n/e"
"01.04.2022 08:00 - 01.04.2022 09:00","n/e","n/e","n/e","N/A","n/e","n/e","478","n/e","n/e"
"01.04.2022 09:00 - 01.04.2022 10:00","n/e","n/e","n/e","N/A","n/e","n/e","441","n/e","n/e"
"01.04.2022 10:00 - 01.04.2022 11:00","n/e","n/e","n/e","N/A","n/e","n/e","385","n/e","n/e"
"01.04.2022 11:00 - 01.04.2022 12:00","n/e","n/e","n/e","N/A","n/e","n/e","322","n/e","n/e"
"01.04.2022 12:00 - 01.04.2022 13:00","n/e","n/e","n/e","N/A","n/e","n/e","308","n/e","n/e"
"01.04.2022 13:00 - 01.04.2022 14:00","n/e","n/e","n/e","N/A","n/e","n/e","281","n/e","n/e"
"01.04.2022 14:00 - 01.04.2022 15:00","n/e","n/e","n/e","N/A","n/e","n/e","253","n/e","n/e"
"01.04.2022 15:00 - 01.04.2022 16:00","n/e","n/e","n/e","N/A","n/e","n/e","236","n/e","n/e"
"01.04.2022 16:00 - 01.04.2022 17:00","n/e","n/e","n/e","N/A","n/e","n/e","225","n/e","n/e"
"01.04.2022 17:00 - 01.04.2022 18:00","n/e","n/e","n/e","N/A","n/e","n/e","226","n/e","n/e"
"01.04.2022 18:00 - 01.04.2022 19:00","n/e","n/e","n/e","N/A","n/e","n/e","237","n/e","n/e"
"01.04.2022 19:00 - 01.04.2022 20:00","n/e","n/e","n/e","N/A","n/e","n/e","249","n/e","n/e"
"01.04.2022 20:00 - 01.04.2022 21:00","n/e","n/e","n/e","N/A","n/e","n/e","242","n/e","n/e"
"01.04.2022 21:00 - 01.04.2022 22:00","n/e","n/e","n/e","N/A","n/e","n/e","219","n/e","n/e"
"01.04.2022 22:00 - 01.04.2022 23:00","n/e","n/e","n/e","N/A","n/e","n/e","208","n/e","n/e"
"01.04.2022 23:00 - 02.04.2022 00:00","n/e","n/e","n/e","N/A","n/e","n/e","202","n/e","n/e"
"02.04.2022 00:00 - 02.04.2022 01:00","n/e","n/e","n/e","N/A","n/e","n/e","201","n/e","n/e"
"02.04.2022 01:00 - 02.04.2022 02:00","n/e","n/e","n/e","N/A","n/e","n/e","879","n/e","n/e"
"02.04.2022 02:00 - 02.04.2022 03:00","n/e","n/e","n/e","N/A","n/e","n/e","871","n/e","n/e"
"02.04.2022 03:00 - 02.04.2022 04:00","n/e","n/e","n/e","N/A","n/e","n/e","831","n/e","n/e"
"02.04.2022 04:00 - 02.04.2022 05:00","n/e","n/e","n/e","N/A","n/e","n/e","829","n/e","n/e"
"02.04.2022 05:00 - 02.04.2022 06:00","n/e","n/e","n/e","N/A","n/e","n/e","856","n/e","n/e"
"02.04.2022 06:00 - 02.04.2022 07:00","n/e","n/e","n/e","N/A","n/e","n/e","858","n/e","n/e"
"02.04.2022 07:00 - 02.04.2022 08:00","n/e","n/e","n/e","N/A","n/e","n/e","823","n/e","n/e"
"02.04.2022 08:00 - 02.04.2022 09:00","n/e","n/e","n/e","N/A","n/e","n/e","773","n/e","n/e"
"02.04.2022 09:00 - 02.04.2022 10:00","n/e","n/e","n/e","N/A","n/e","n/e","741","n/e","n/e"
"02.04.2022 10:00 - 02.04.2022 11:00","n/e","n/e","n/e","N/A","n/e","n/e","708","n/e","n/e"
"02.04.2022 11:00 - 02.04.2022 12:00","n/e","n/e","n/e","N/A","n/e","n/e","695","n/e","n/e"
"02.04.2022 12:00 - 02.04.2022 13:00","n/e","n/e","n/e","N/A","n/e","n/e","703","n/e","n/e"
"02.04.2022 13:00 - 02.04.2022 14:00","n/e","n/e","n/e","N/A","n/e","n/e","689","n/e","n/e"
"02.04.2022 14:00 - 02.04.2022 15:00","n/e","n/e","n/e","N/A","n/e","n/e","663","n/e","n/e"
"02.04.2022 15:00 - 02.04.2022 16:00","n/e","n/e","n/e","N/A","n/e","n/e","646","n/e","n/e"
"02.04.2022 16:00 - 02.04.2022 17:00","n/e","n/e","n/e","N/A","n/e","n/e","641","n/e","n/e"
"02.04.2022 17:00 - 02.04.2022 18:00","n/e","n/e","n/e","N/A","n/e","n/e","650","n/e","n/e"
"02.04.2022 18:00 - 02.04.2022 19:00","n/e","n/e","n/e","N/A","n/e","n/e","644","n/e","n/e"
"02.04.2022 19:00 - 02.04.2022 20:00","n/e","n/e","n/e","N/A","n/e","n/e","610","n/e","n/e"
"02.04.2022 20:00 - 02.04.2022 21:00","n/e","n/e","n/e","N/A","n/e","n/e","537","n/e","n/e"
"02.04.2022 21:00 - 02.04.2022 22:00","n/e","n/e","n/e","N/A","n/e","n/e","445","n/e","n/e"
"02.04.2022 22:00 - 02.04.2022 23:00","n/e","n/e","n/e","N/A","n/e","n/e","383","n/e","n/e"
"02.04.2022 23:00 - 03.04.2022 00:00","n/e","n/e","n/e","N/A","n/e","n/e","344","n/e","n/e"
"03.04.2022 00:00 - 03.04.2022 01:00","n/e","n/e","n/e","N/A","n/e","n/e","304","n/e","n/e"
"03.04.2022 01:00 - 03.04.2022 02:00","n/e","n/e","n/e","N/A","n/e","n/e","226","n/e","n/e"
"03.04.2022 02:00 - 03.04.2022 03:00","n/e","n/e","n/e","N/A","n/e","n/e","172","n/e","n/e"
"03.04.2022 03:00 - 03.04.2022 04:00","n/e","n/e","n/e","N/A","n/e","n/e","126","n/e","n/e"
"03.04.2022 04:00 - 03.04.2022 05:00","n/e","n/e","n/e","N/A","n/e","n/e","97","n/e","n/e"
"03.04.2022 05:00 - 03.04.2022 06:00","n/e","n/e","n/e","N/A","n/e","n/e","87","n/e","n/e"
"03.04.2022 06:00 - 03.04.2022 07:00","n/e","n/e","n/e","N/A","n/e","n/e","88","n/e","n/e"
"03.04.2022 07:00 - 03.04.2022 08:00","n/e","n/e","n/e","N/A","n/e","n/e","90","n/e","n/e"
"03.04.2022 08:00 - 03.04.2022 09:00","n/e","n/e","n/e","N/A","n/e","n/e","88","n/e","n/e"
"03.04.2022 09:00 - 03.04.2022 10:00","n/e","n/e","n/e","N/A","n/e","n/e","86","n/e","n/e"
"03.04.2022 10:00 - 03.04.2022 11:00","n/e","n/e","n/e","N/A","n/e","n/e","93","n/e","n/e"
"03.04.2022 11:00 - 03.04.2022 12:00","n/e","n/e","n/e","N/A","n/e","n/e","112","n/e","n/e"
"03.04.2022 12:00 - 03.04.2022 13:00","n/e","n/e","n/e","N/A","n/e","n/e","158","n/e","n/e"
"03.04.2022 13:00 - 03.04.2022 14:00","n/e","n/e","n/e","N/A","n/e","n/e","236","n/e","n/e"
"03.04.2022 14:00 - 03.04.2022 15:00","n/e","n/e","n/e","N/A","n/e","n/e","340","n/e","n/e"
"03.04.2022 15:00 - 03.04.2022 16:00","n/e","n/e","n/e","N/A","n/e","n/e","468","n/e","n/e"
"03.04.2022 16:00 - 03.04.2022 17:00","n/e","n/e","n/e","N/A","n/e","n/e","620","n/e","n/e"
"03.04.2022 17:00 - 03.04.2022 18:00","n/e","n/e","n/e","N/A","n/e","n/e","791","n/e","n/e"
"03.04.2022 18:00 - 03.04.2022 19:00","n/e","n/e","n/e","N/A","n/e","n/e","959","n/e","n/e"
"03.04.2022 19:00 - 03.04.2022 20:00","n/e","n/e","n/e","N/A","n/e","n/e","1133","n/e","n/e"
"03.04.2022 20:00 - 03.04.2022 21:00","n/e","n/e","n/e","N/A","n/e","n/e","1324","n/e","n/e"
"03.04.2022 21:00 - 03.04.2022 22:00","n/e","n/e","n/e","N/A","n/e","n/e","1506","n/e","n/e"
"03.04.2022 22:00 - 03.04.2022 23:00","n/e","n/e","n/e","N/A","n/e","n/e","1713","n/e","n/e"
"03.04.2022 23:00 - 04.04.2022 00:00","n/e","n/e","n/e","N/A","n/e","n/e","1962","n/e","n/e"
"04.04.2022 00:00 - 04.04.2022 01:00","n/e","n/e","n/e","N/A","n/e","n/e","2229","n/e","n/e"
"04.04.2022 01:00 - 04.04.2022 02:00","n/e","n/e","n/e","N/A","n/e","n/e","2237","n/e","n/e"
"04.04.2022 02:00 - 04.04.2022 03:00","n/e","n/e","n/e","N/A","n/e","n/e","2402","n/e","n/e"
"04.04.2022 03:00 - 04.04.2022 04:00","n/e","n/e","n/e","N/A","n/e","n/e","2511","n/e","n/e"
"04.04.2022 04:00 - 04.04.2022 05:00","n/e","n/e","n/e","N/A","n/e","n/e","2607","n/e","n/e"
"04.04.2022 05:00 - 04.04.2022 06:00","n/e","n/e","n/e","N/A","n/e","n/e","2647","n/e","n/e"
"04.04.2022 06:00 - 04.04.2022 07:00","n/e","n/e","n/e","N/A","n/e","n/e","2654","n/e","n/e"
"04.04.2022 07:00 - 04.04.2022 08:00","n/e","n/e","n/e","N/A","n/e","n/e","2674","n/e","n/e"
"04.04.2022 08:00 - 04.04.2022 09:00","n/e","n/e","n/e","N/A","n/e","n/e","2716","n/e","n/e"
"04.04.2022 09:00 - 04.04.2022 10:00","n/e","n/e","n/e","N/A","n/e","n/e","2720","n/e","n/e"
"04.04.2022 10:00 - 04.04.2022 11:00","n/e","n/e","n/e","N/A","n/e","n/e","2714","n/e","n/e"
"04.04.2022 11:00 - 04.04.2022 12:00","n/e","n/e","n/e","N/A","n/e","n/e","2703","n/e","n/e"
"04.04.2022 12:00 - 04.04.2022 13:00","n/e","n/e","n/e","N/A","n/e","n/e","2718","n/e","n/e"
"04.04.2022 13:00 - 04.04.2022 14:00","n/e","n/e","n/e","N/A","n/e","n/e","2764","n/e","n/e"
"04.04.2022 14:00 - 04.04.2022 15:00","n/e","n/e","n/e","N/A","n/e","n/e","2793","n/e","n/e"
"04.04.2022 15:00 - 04.04.2022 16:00","n/e","n/e","n/e","N/A","n/e","n/e","2823","n/e","n/e"
"04.04.2022 16:00 - 04.04.2022 17:00","n/e","n/e","n/e","N/A","n/e","n/e","2842","n/e","n/e"
"04.04.2022 17:00 - 04.04.2022 18:00","n/e","n/e","n/e","N/A","n/e","n/e","2844","n/e","n/e"
"04.04.2022 18:00 - 04.04.2022 19:00","n/e","n/e","n/e","N/A","n/e","n/e","2814","n/e","n/e"
"04.04.2022 19:00 - 04.04.2022 20:00","n/e","n/e","n/e","N/A","n/e","n/e","2765","n/e","n/e"
"04.04.2022 20:00 - 04.04.2022 21:00","n/e","n/e","n/e","N/A","n/e","n/e","2757","n/e","n/e"
"04.04.2022 21:00 - 04.04.2022 22:00","n/e","n/e","n/e","N/A","n/e","n/e","2772","n/e","n/e"
"04.04.2022 22:00 - 04.04.2022 23:00","n/e","n/e","n/e","N/A","n/e","n/e","2752","n/e","n/e"
"04.04.2022 23:00 - 05.04.2022 00:00","n/e","n/e","n/e","N/A","n/e","n/e","2712","n/e","n/e"
"05.04.2022 00:00 - 05.04.2022 01:00","n/e","n/e","n/e","N/A","n/e","n/e","2668","n/e","n/e"
"05.04.2022 01:00 - 05.04.2022 02:00","n/e","n/e","n/e","N/A","n/e","n/e","2391","n/e","n/e"
"05.04.2022 02:00 - 05.04.2022 03:00","n/e","n/e","n/e","N/A","n/e","n/e","2368","n/e","n/e"
"05.04.2022 03:00 - 05.04.2022 04:00","n/e","n/e","n/e","N/A","n/e","n/e","2355","n/e","n/e"
"05.04.2022 04:00 - 05.04.2022 05:00","n/e","n/e","n/e","N/A","n/e","n/e","2351","n/e","n/e"
"05.04.2022 05:00 - 05.04.2022 06:00","n/e","n/e","n/e","N/A","n/e","n/e","2330","n/e","n/e"
"05.04.2022 06:00 - 05.04.2022 07:00","n/e","n/e","n/e","N/A","n/e","n/e","2265","n/e","n/e"
"05.04.2022 07:00 - 05.04.2022 08:00","n/e","n/e","n/e","N/A","n/e","n/e","2230","n/e","n/e"
"05.04.2022 08:00 - 05.04.2022 09:00","n/e","n/e","n/e","N/A","n/e","n/e","2208","n/e","n/e"
"05.04.2022 09:00 - 05.04.2022 10:00","n/e","n/e","n/e","N/A","n/e","n/e","2219","n/e","n/e"
"05.04.2022 10:00 - 05.04.2022 11:00","n/e","n/e","n/e","N/A","n/e","n/e","2317","n/e","n/e"
"05.04.2022 11:00 - 05.04.2022 12:00","n/e","n/e","n/e","N/A","n/e","n/e","2435","n/e","n/e"
"05.04.2022 12:00 - 05.04.2022 13:00","n/e","n/e","n/e","N/A","n/e","n/e","2584","n/e","n/e"
"05.04.2022 13:00 - 05.04.2022 14:00","n/e","n/e","n/e","N/A","n/e","n/e","2744","n/e","n/e"
"05.04.2022 14:00 - 05.04.2022 15:00","n/e","n/e","n/e","N/A","n/e","n/e","2869","n/e","n/e"
"05.04.2022 15:00 - 05.04.2022 16:00","n/e","n/e","n/e","N/A","n/e","n/e","2960","n/e","n/e"
"05.04.2022 16:00 - 05.04.2022 17:00","n/e","n/e","n/e","N/A","n/e","n/e","3027","n/e","n/e"
